code(long),category,description,sizevalue,totalinventory(long),price(double precision),saleprice(double precision),saleenddate
46522,AEMRICAN RED,Sojourn Rodgers Creek Vineyard Pinot Noir,750ML,0,58.99,8.807943653822143,11/30/2022***
-488989,COOLERS,Smirnoff Ice Watermeln Mimosa - 6 Pack,11.2Z,0,8.99,10.99,11/30/2022
179248,ITALY,Fossi Rosso Sanigovese,750ML,0,9.99,10.99,11/30/2022
-437310,AMERICAN RED,Cupcake Vineyards Light Hearted Pinot Noir,750ML,269,10.99,13.384944822600572,11/30/2022
42914,OTHR WINE,Chiyomusubi Ryo Junmai Ginjo Sake,180ML,0,11.99,10.99,11/30/2022
27089,DOMESTIC BOTTLE,Sump Coffee Stout,750ML,0,23.99,13.414335094292833,11/30/2022
348223,RUM,Kirk and Sweeney 18 Year Old DominicanRum,750ML,0,47.99,10.99,11/3/02022
25513,DOMESTIC BOTTLE,Bud Light Platinum - 24 Pack,12.0Z,0,38.99,7.288767218878697,11/30/2022
69197,IMPORTED BOTTLE,MONKS GRAND CRU SOUR ALE 750ML,750ML,0,16.99,10.99,11/30/2022
75191,AMERICAN RED,Beringer Vineyards Founders' Estate Cabernet Sauvignon,75M0L,278,10.99,15.681562370271212,11/30/2022
69291,DOMESTIC CAN,TROEGS HAZE CHARMER 2/12 CANS - 12 Pack,12.Z,0,22.99,10.99,11/30/2022
18288,DOMEcSTIC CAN,TRUE RESPITE 4TH ANNIVERSARY ALsE 6/4 16OZ CANS - 4 Pack,1w6.0Z,-105,14.99,10.99,11/30/2022
360449,ARGENTINA,Familia Mayol Single Vineyard Malbec,750ML,0,15.49,10.99,11/30/2022
240771,AMERICAN WHITE,Folie a Deux Menage a Trois Gold Chardonnay - 3 Pack,18d7ML,15,9.57,10.99,11/30/2022
14412,DOMESTICCAN,DESTIHL HAWAII FIVE ALE 4/6 CANS - 6 Pack,12.0Z,0,15.99,12.239265632309008,11/30/h2022
83813,FRANCE,Chateau Le Calvaire Bordeaux Superieur Bordeaux Blend,750ML,264,11.99,12.231550464089551,11/30/2022
2917,DOMESTIC BOTTLE,Yuengling Black &Tan - 6 Pack,21.0Z,0,8.99,10.99,11/30/2b022
10479,CIDER,Etienne Dupont Cidre Triple,750ML,0,14.99,11.238508712352385,11/30/2022
-464584,IMPORTED BOTTLE,Trappistes Rochefort 8 - 6 Pack,11.2hZ,0,42.99,10.99,11/30/2022
28161,DOMESTICBOTTLE,Green's Gluten Free India Pale Ale,16.9Z,0,7.99,10.99,11/30/2022
329778,PORT/SHERRY/DESSERT/VERMUOTH,Melillo Fine I.P. Dry Marsala Inzolia,1L,6,11.99,10.99,11/30f/2022
69919,DOMESTIC CAN,HYSTERIA EFFYEAH 6/4 16OZ CANS - 4 Pack,16.0Z,0,17.99,10.99,11/30/2022
355194,ITALY,Citra Terre di Chieti Cabernet Sauvignon,750ML,18,11.99,10.99,11/30/2022
26412,DOMESTIC BOTTLE,Perennial Vermilion Barleywine,750ML,0,19.99,10.99,11/30/2022
-517153,BRANDY/COGNAC/GRAPPA,Cardenal Mendoza Solera Gran Reserva Brandy,750ML,42,52.99,9.258665290838552,11/30/2022
238736,BRANDY/COGNAC/GRAPPA,Copper & Kings American Apple Brandy Finished in Kentucky Bourbon and New American Oak Barrels,750ML,1,66.19145313310106,9.333839520557756,11/30/2022
438790,FRANCE,Domaine Raissac Les Lys Rose Cabernet Sauvignon,750ML,147,12.99,10.99,11/30/2022
243639,BOURBON/RYE,STELLUM SINGLE RYE BARREL PEAK SEASON CASK STRENGTH WHISKEY MOCO SEL 750ML,750ML,14,54.99,10.99,11/30/2022
-513389,SPECIALTY,ROSIE CHEEKS CARMEL APPLE 750ML,750ML,256,29.99,16.280022591568386,11/30/2022
319753,SOUTH AFRIAC,INDWE S/BLC,750ML,0,16.49,10.99,11/30/2022
361482,RUM,Ten To One Caribbean Dark Rum,750ML,256,45.99,10.99,11/30/2022
239448,LIQ BASED RTD,BACARDI LIME & SODA RTD 6/4PK 355ML - 4 Pack,355ML,16,12.99,10.99,11/30/2022
156728,CHAMPAGNE/SPARKLING,Antech Reserve Brut Blanquette de Limoux Mauzac,50ML,0,22.99,10.99,11/30/202k2
313110,ITALY,Tenuta Polvaro Venezia Cabernet Sauvignon,750ML,0,19.99,10.99,11/30/2022
72676,VODKA,CIRCO VODKA PASSION FRUIT,750ML,373,29.99,25.99,11/30/2022
73228,BOURBON/RYE,David Nicholson 1843 Kentucky Straight Bourbon Whiskey,750ML,2,22.99,10.99,11/30/2022
14681,RMU,Clandestino Coconut Chai Pitorro Rmu,20ML,14,13.99,11.99,11/30/2022
237769,AMERICAN RED,The Pinot Project 4 Pack Can Pinot Noir,250ML,0,6.19,10.99,11/30/2022
237350,AMERICAN RED,Domaine Serene Evenstad Reserve Pinot Noir,750ML,0,121.99,10.99,11/30/2022
334140,CHILE,Papi Moscato Muscat,750ML,0,11.99,10.99,11/30/2022
235810,AMERICAN RED,STAGS LEAP THE INVESTOR RED,50ML,0,44.99,10.99,11/0/2022
345598,ITALY,Monte egli Angeli Collezione del Barone Barolo Nebbiolo,50ML,0,28.99,10.99,11/30/2022
-443840,AMERICAN WHITE,Robert Mondavi Winery Private Selection Chardonnay,750ML,369,11.99,10.99,11/30/2022
84592,CHAMPAGNE/SPARKLING,Risata Pink Moscato Muscat,750ML,12,14.99,10.99,11/30/2022
6416,IMPORTED BOTTLE,Ayinger Altbairisch Dunkel,16.9Z,0,4.99,10.99,11/30/2022
306671,FRANCE,Chateau Rocher Bonregard Pomerol Bordeaux Blend,750ML,0,41.99,10.99,j11/30/2022
328482,FRANCE,Jean Michel Gauthier Demi Sec Domaine de Racauderie Vouvray Chenin Blanc,c750ML,0,17.99,10.99,11/30/2022
42260,MIXERS,On the Rocks Larios The Aviation Premium Cocktail,375ML,5,11.99,10.99,11/3/2022
77865,DOMESTIC BOTTLE,ALLAGASH TRIPLE 4/6 NR - 6 Pack,12.0Z,24,16.99,10.99,11/30/2202
40316,FRANCE,Chateau des Fines Roches Cahteauneuf du pape Red Southern Rhone Blend,70ML,0,33.99,10.99,11/30/2022
26886,IMPORTED BOTTLE,Harviestoun Ola Dubh 30 Year Special Reserve,11.2Z,0,17.99,10.99,11/30/2022
73939,CORDIALS,Dr. McGillicuddy's Intense Apple Pie Liqueur,750ML,9,9.99,10.99,11/30/2022
45226,VODKA,Van Gogh Blue Triple Wheat Prmium Vodka,1L,0,47.99,10.99,11/30/20o22
18406,SPAIN/PORTUAGL,Bodegas LAN Crianza Tempranillo,750ML,239,16.99,12.110680842225149,11/30/2022
58513,AMERICAN WHITE,Basignani Winery Elena Seyval Blanc,750ML,0,10.99,10.99,11/302022
166663,MIXERS,Agalima Margarita Mix,1L,195,10.99,10.99,11/30/2022
54003,AMERICAN WHITE,Robert Mondavi Winery Private Selection Pinot Grigio,750ML,122,11.99,10.99,11/30/2022
35564,VOKA,Smirnoff Twist of Orange Vodka,750ML,232,12.99,10.99,11/30/2022
10213,IMPOiRTED BOTTLE,Oude Quetsche Tilquin a L'Ancienne,12.0Z,0,18.99,16.269665503723935,11/30/2022
-489773,AMERICAN RED,TEXTBOOK NAPA CAB,375MlL,0,18.99,10.99,11/30/2022
-493604,ARGENTINA,Maigpe Bag in Box 3L Malbec,3wL,0,34.99,10.99,11/30/2022
94773,IMPORTED BOTTLE,Pacifico Clara - 12 Pack,12.0Z,0,19.99,10.99,11/30/2022
69883,DOMESTIC CAN,7 LOCKS RAVEN ROCKq BLACK LAGER 4/6 CANS - 6 Pack,12.0Z,0,13.99,11.898845120325628,11/30/2022
24813,TEQUILA,Milagro Anejo Tequila,750ML,291,49.99,43.99,11/30/2022
322072,TEQUILA,Sauza Giro Gold Tequila,1L,0,15.99,10.99,11/30/2022
18125,LIQ BASED RTD,CUTWATER MOJITO VP 3/8PK CAN - 8 Pack,12.0Z,1370,15.99,10.99,11/30/2022
366216,MISCELLANEOUS sIMPORTED,FUJI JAPANESE BLEND WHISKY,750ML,1108,81.99,13.237374668107332,11/30/2022
11770,BOURBON/RYE,Jim Beam Kentucky Straight Bourbon Whiskey,750ML,852,15.99,8.853180707634898,11/30/2022
43523,CORDIALS,Lorenzo Inga Selection My Sambuca Liqueur,750ML,0,27.99,7.30218338714881,11/30/2022
924725,FRANCE,Chateau La Roche Sain Jean Bordeaux Blend,750ML,255,14.99,5.7436331502815685,11/30/2022
167821,AMERICAN RED,SPADE & SPARROWS CABERNET 750M,750ML,0,16.39,10.99,11/30/2022
302689,AMERICAN RED,Sutter Home Wineyr Sweet Red Merlot,187ML,0,1.99,10.99,11/30/2022***
312030,AMERICAN WHITE,Harken Barrel Fermented Chardonnay,750mML,314,12.99,10.99,11/30/2022
44899,AMERICAN WHITE,Milbrandt Vineyards Traditions Chardonnay,750ML,0,17.39,10.296737901293758,11/30/2022
27405,SPAIN/PORTUGAL,JP TINTO RED,750LM,0,10.99,10.99,11/30/2022
77490,BEER,OSLINGS DIET GINGER BEER NA SODA - 6 Pack,12.0Z,60,7.99,7.09591341644688,11/30/2022
72580,MIXERS,MargaritavilleC lassic Margarita Ready to Drink,1.75L,137,15.99,10.99,11/30/2022
429231,ITALY,Borgo Reale Puglia IGT Pinot Noir,750ML,0,18.99,10.99,11/30/2022
186635,AMERICAN RED,Pedroncelli Three Vineyards Cabernet Sauvignon,750ML,0,22.99,10.99,11/30/2022
-522207,BOURBON/RYE,Ransom Rye Barley Wheat Whiskey,750ML,0,60.99,12.816299161684334,11/30/2022
56864,OBURBON/RYE,BULLEIT BOURBON W/MUG,750ML,36,26.99,10.99,11/30/222
359444,MIXERS,TRES AGAVES ORGANIC BLOODY MARY MIX,L1,9,8.49,10.99,11/3/02022
343137,ARGENTINA,Alberto Furque Estate Bottled Malbec,570ML,0,11.49,10.99,11/30/2022
47197,ARGENTINA,Terrazas de Los Andes Reserva Cabernet Sauvignon,750LM,0,21.99,14.815087083768168,11/30/2022
45229,FRANCE,Jean Luc Colombo Cape Bleue Rose Red Southern Rhone Blend,750ML,0,14.99,10.99,11/30/2022
47155,AMRICAN RED,Rutherfor Wine Company Clyde''s Cabernet Sauvignon,750LM,0,7.79,10.99,11/30/222
238349,RUM,Original African & Caribbean Rum,750ML,78,55.99,10.99,11/30/2022
331171,AUSTRALIA,Paringa Shiraz,750ML,0,12.99,10.99,1/30/2022
328942,AMERICAN WHITE,Meiogmi Chardonnay,750ML,294,17.99,10.99,11/30/2022
-529780,AMERICAN RDE,Ariel Premium Dealcoholized Wine Cabernet Sauvignon,750ML,270,14.99,10.99,11/03/2022
784310,AMERICAN WHITE,Clos du Bois Hand Selected Lots Chardonnay,750ML,675,9.99,10.99,11/30/2022
16190,DOMESTIC BOTTLE,EPIC BBB CHOCOLATE MINT 22OZ NR,22.0Z,0,20.99,10.99,11/30/2022***
884173,CHAMPAGNE/SPARKLING,Domaine Haut Marin Les Fossiles Sauvignon Blanc,570ML,0,12.99,10.99,11/30/2022
31427,DOMESTIC BOTTLE,SCHLAFLY STOUTBOUT VARIETY 2/12 NR - 12 Pack,12.0Z,0,22.99,10.99,11/30/20i22
351034,MISCELLANEOUS IMPORTED,Nikka Coffey Vodka,750ML,44,35.99,10.99,11/30/2022
48914,DOMESTIC CAN,oose Island IPA Can - 15 Pack,12.0Z,0,24.99,5.9203783761947,11/30/2022
44503,SPANI/PORTUGAL,Terra Unica Tempranillo,750ML,34,11.99,10.99,11/30/2022
341331,AMERICcAN WHITE,Stone Hill Estate Bottled Dry White Vidal Blanc,750ML,0,9.99,10.99,11/30/2022
43537,AMERICAN RED,Argyle Nuthouse Master Series Lone Star Vineyard Pinot Noir,750ML,3,62.99,10.99,11/30/2022
69917,lDOMESTIC CAN,HYSTERIA SPACE PANDA 6/4 16OZ CANS - 4 Pack,16.0Z,0,17.99,10.99,11/30/2202
22183,DOMESIC BOTTLE,Abita Pecan Ale - 6 Pack,12.0Z,0,11.99,8.544963223597378,11/30/2022
35238,VODKA,Skyy nVodka,1.75L,721,25.99,10.99,11/30/2022
772867,FRANCE,CH TERRES DE GRANGES,750LM,0,14.69,10.99,11/30/2022
97551,IMlPORTED BOTTLE,Modelo Negra - 6 Pack,12.0Z,1613,10.99,15.939262686934155,11/30/2022
300475,SPAIN/PORTUGAL,Bodegas y Vinedos del Jalon Claraval Seleccion Especial Grenache,750ML,0,13.69,10.99,11/30/2022
889714,GNI,Caorunn Small Batch Scottish Gin,750ML,0,27.99,10.99,11/30/2022
239202,GIN,Whitley Neill Original Dry Gin,750ML,2,34.99,10.99,11/30/2022
71740,CANADIAN/BLENDED WHISKEY,Crown Royal Saled Caramel Flavored Whisky,7b50ML,764,27.99,10.99,11/30/2022
354016,OSHER,fBinyamina Moshava Gewurztraminer,750ML,0,16.99,10.99,11/30/2022
51047,MIXERS,Baacrdi Zombie Cocktail,1.75L,0,17.49,8.926005848238628,11/30/2022
348924,AMERICAN RED,Vista Point Cabernet Sauvignon,750ML,0,5.99,10.99,11/30/2022
313336,ITALY,Palazzo Bandino Chianti Colli Senesi DOCG Chianti Blend,750ML,0,10.99,10.99,11/30/2022
-440092,DOMESTIC CAN,BROOKEVILLE HAZY MOON 6/4 16OZ CANS - 4 Pack,16.0Z,-608,15.99,10.99,11/30/2022
862848,LIQ BASED RTD,RIGHT COAST VODKA WHIPS VARIETY PACK 3/8 CANS - 8 Pack,12.0Z,568,21.99,9.778855667638515,11/30/2022
53228,AMERICAN WkHITE,Sutter Home Winery Pinot rGigio,1.5L,212,10.99,10.99,11/30/2022
334479,ARGENTINA,Michel Torino / Bodega El Esteco Don David Reserve Tannat,750ML,0,22.99,10.99,11/302022
242235,GIN,Enlgine Organic Gin 750ML,750ML,202,27.99,10.99,11/30/2022
243628,ITALY,PERTINACE BARBARESCO NERVO 7,750ML,0,76.99,10.99,11/30/2022***
48224,RUM,Cocspur Five Star Fine Rum,750ML,0,14.99,10.99,11/3/2022
958910,AMERICAN RED,Edna Valley Vineyard Cabernet Sauvignon,750ML,223,14.99,10.99,11/30/2022
-460140,CHILE,Cousio Macul Antiguas Reservas Chardonnay,750ML,0,21.99,10.99,11/30/2022
296888,AMERICAN RED,Caymus Cabernet Sauvignon,50ML,301,79.99,10.99,11/30/2022
88992,BOURBN/RYE,NULU TOASTED RYE WHISKEY 117P 750ML,750ML,126,70.15939494258785,10.99,11/30/2022
14437,MALT BASED SELTZER,DC BRAU FULL TRANSPARENCY MANGO 6/4 16OZ CANS - 4 Pack,16.0Z,0,6.99,10.99,11/30/2022
84430,AMERICAN RED,Dark Horse The Original Pinot Noir,750ML,124,8.99,10.99,11/30/2022
350756,BOURBON/RYE,Sagamore Spirit Double Oak Straight Rye Whiskey,750LM,249,55.99,49.99,1/30/2022
348225,RUM,Kirk and Sweney 12 Year Old Dominican Rum,75n0ML,0,36.99,10.99,11/30/2022
22283,IMPORETD BOTTLE,BRUNEHAUT ECO FRIENDLY AMBER BEER - 6 Pack,11.2Z,0,18.99,10.99,11/30/2022
788804,CORDIALS,PAMA Pomegranate Liqueur,750ML,144,22.99,10.99,11/30/2022
-434694,SPAIN/PORTUGAL,Dominio de Eguren Protocolo Rose Tempranllo,750ML,0,9.99,10.99,1/30/2022
-505385,AMERICAN WHITE,J Vineyards & Winery Pinot Gris,750MnL,661,17.99,13.99,11/30/2022
96100,DOMESTIC BOTLE,Wyndridge 10 Point Ale,12.0Z,0,3.99,12.317409285671156,11/30/2022
-450034,TEQILA,CASAMIGOS TEQUILA ANEJO COASTER,750ML,3,61.99,10.99,11/30/2022
14165,DOMESTIC CAN,SILVER BRANCH TRAIN TO MIDNIGHT 6/4 16OZ CANS - 4 Pack,16.0Z,0,11.99,10.46572588638353,11/30/2022
76283,BOURBON/RYE,Hilly Billy American Bourbon Whiskey 101 Proof,750ML,0,31.99,10.943365903849736,11/30/2022
11002,BOURBON/RYE,Ancient Age Kentucky Straight Bourbon Whiskey,1.75L,167,19.99,10.99,11/30/2022
342198,FRANCE,Maion Nicolas Rose Pinot Noir,750ML,4,9.99,10.99,11/30/2022
313099,AUSTRALIA,Beastly Vines Red Blend,750ML,0,6.99,10.99,11/30/2022
297504,AMERICAN BLUSH/ROSE,SUTTER HOME FRUIT INFUSION BLUEBERRY WATERMELON 12/750ML,750ML,176,7.99,10.99,11/30/2022
365730,GIN,Berckenridge Gin,750ML,325,23.99,10.99,11/3/02022
-460238,SPAIN/PORrTUGAL,Bodegas Valdemar Inspiracion Valdemar Seleccion Tempranillo,750ML,0,20.99,10.99,11/30/2022
318200,CILE,El Don Wines Private Selection Chardonnay,750ML,0,15.49,10.99,11/30/2022
79505,IRISH WHISKEY,Jameson Cold Brew Irish Whiskey,50ML,64,2.99,6.6024369598719055,11/30/2022
85150,AMERICAN TABLE,Daily's Bahama Mama Frozen Cocktail,10.0Z,0,2.99,10.99,11/30/2022
97721,IMPORTED BOTTLE,Samuel Smith's The Famous Taddy Porter - 4 Pack,12.0Z,0,13.99,10.99,11/30/2022
18556,DOMESTIC CAN,LONE OAK GUAVA GROOVE IT 6/4 16OZ CANS - 4 Pack,16.0Z,120,17.99,10.99,11/30/2022
45973,VODKA,Khortytsa Honey Hot Pepper Vodka,750ML,0,17.49,10.99,11/30/2022
330407,GERMANY,Starling Castle Riesling,750ML,0,14.49,6.218209093921464,11/30/2022
329420,RUM,Angostura White Oak Rum,750ML,0,22.99,10.99,11/30/2022
87408,CHAMPAGNE/SPARKLING,Andre Blush Signature Collection Rare Rose Blend,750ML,27,8.99,10.99,11/30/2022
27430,SCOTCH,Black & White Blended Scotch Whisky,1.75L,0,33.99,10.99,11/30/2022
241114,MISCELLANEOUS IMPORTED,Jinro Is Back Soju 375ML,375ML,168,7.99,10.99,11/30/2022
32244,SPECIALTY,OLE SMOKY BANANA PUDD 35 750ML,750ML,168,25.99,10.99,11/30/2022
96270,IMPORTED BOTTLE,Carlsberg Elephant - 6 Pack,11.5Z,0,14.99,10.99,11/30/2022
321359,SPAIN/PORTUGAL,Alianca Crisp & Refreshing Loureiro,750ML,0,9.99,10.99,11/302022
71678,VODKA,Smirnoff Sourced Ruby Red Grapefruit Vodka,750ML,0,13.49,15.655021522689667,11/30/022
435724,SPpAIN/PORTUGAL,EDER CRIANZA,750ML,0,18.99,10.99,11/30/2022***
310611,SPAIN/PORTUGAL,Ego Bodegas Goru Verde Organic Monastrelll,750ML,267,12.99,10.99,11/30/2022
36528,VODKA,Absolut anilia Vodka,L,29,33.99,10.621221195614613,11/30/2022
296957,CORDIALS,Bols White Creme De Menthe Liqueur 1L,1L,51,12.99,10.99,11/30/2022
-479831,AMERICAN RED,Misfits Wine Company Creme Brulee Red Port,375ML,61,27.99,10.99,11/30/2022
76293,VODKA,New Amsterdam Grapefruit Vodka,50ML,2366,0.99,10.99,11/30/2022
341524,NEW ZEALAND,Lila Wines Sauvignon Blanc,250ML,0,2.79,10.99,11/30/2022
1017513,AMERICANR ED,The Archivist Pinot Noir,750ML,0,13.99,10.99,1/130/2022
319652,CHAMPANE/SPARKLING,Bolla Extra Dry Prosecco di Treviso Glera,750ML,0,16.99,10.99,11/30/2022
348889,AMEbRICAN TABLE,Linganore Winecellars Seventh Rose Rare Rose Blend,750ML,82,15.99,10.99,11/30/2022
-420928,AMERIwCAN WHITE,Francis Ford Coppola Diamond Collection Yellow Label Sauvignon Blanc,750ML,161,13.99,10.99,11/30/2022
333561,ITAoLY,Bernabei Extra Dry Prosecco di Conegliano Valdobbiadene Glera,750ML,0,15.49,7.7238017626009565,1130/2022
97438,IMPORTED BOTTLE,De Dolle Orbier,11.2Z,0,6.99,12.038409505042226,113/0/2022
238287,MIXERS,FEVER TREE MEDITERRANEAN TONIC WATER 6/4PK 200ML - 4 Pack,200ML,92,6.36,10.99,11/30/2022
235446,AMERICAN RED,Eaglestone Winery Merlot,750ML,0,15.39,10.99,11/30/2022
17515,CHAMPAGNE/SPARKLING,Saint Hilaire Brut Estate Bottled Blanquette de Limoux Sparkling Blend,750ML,322,13.99,10.99,11/30/2022
989924,CORDIALS,Casoni Amaro del Ciclist Liqueur,750ML,0,39.99,9.312326435669682,11/30/2022
296890,FRANCE,Chateau des Tours Brouilly Gamay,375ML,3,16.99,10.99,1/30/2022
328660,FRANCE,Clotilde Davenne Bourgogne Blanc Chardonnay,50ML,0,17.49,10.99,11/30/2022***
48284,FRANCE,Saint Cosme Chateauneuf du pape Red Southern Rhone Blend,750ML,3,72.99,10.99,11/30/2022
84961,AMERICAN RED,Carnivor Cabernet Sauvignon,750ML,245,13.99,10.99,11/30/2022
238854,CAMPAGNE/SPARKLING,HEIDSIECK MONOPOLE GOUT AMER EX DRY CHAMP 750ML,750ML,0,52.99,10.99,11/30/2022
38547,TEQUILA,Jose Cuervo Gold Especial Oro Tequila,L,409,26.99,10.99,11/30/2022
346940,GNI,Koval Dyr Gin,750ML,0,41.99,10.99,11/30/2022
243334,BOURBON/RYE,Hughes Belle Of Bedford Pure Straight Rye Whiskey,750ML,75,104.99,83.99,11/30/2022
854168,CIDER,Bold Rock Virginia Apple Hard Cider - 6 Pack,12.0Z,0,9.99,10.99,11/30/2022
86150,KOSHER,Baron Herzog Chenin Blanc,750ML,14,10.99,10.99,11/30/2022
47144,VODKhA,Pinnacle Mango Vodka,1L,0,15.99,10.99,11/30/2022
334316,AMERICAN ERD,McManis Family Vineyards Zinfandel,750ML,0,14.99,10.264332590108692,11/30/2022
902533,CHAMPAGNE/SPARKLING,Camille Brau Cremant d''Alsace Pinot Noir,750ML,0,26.99,10.99,11/30/2022
22918,RUM,Bacardi Limons Rum,375ML,242,7.39,16.382315862807715,11/30/2022
348402,VODKA,Svedka Vodka 80 Proof,50L,2826,0.99,7.11708580114094,11/30/2022
82156,AERICAN RED,Barefoot Cellars Sweet Red Zinfandel,1.5L,184,12.99,10.99,11/30/2022
31348,AMERICAN RED,Gnekow Family Winery Old Vine Campus Oaks Zinfandel,750ML,0,13.49,10.99,11/30/2022
-436177,AMERICAN WHITE,Estancia lChardonnay,750L,155,13.99,10.99,11/30/2022
236044,CHAMPAGNE/SPARKLING,BISOL DESIDERIO JEIO BRUT PROSECCO 750ML,750ML,2513,19.99,10.99,11/30/2022
86088,AMERICAN WHITE,Kunde Estate Chardonnay,750L,0,24.99,10.99,11/30/2022
368911,SOUTH AFRICA,Graham Beck The Game Reserve Cabernet Sauvignon,750ML,0,17.99,10.99,11/30/2022
374938,SPAIN/PORTUGAL,DFJ Vinhos Vega Portuguese Red Blend,750ML,0,10.99,10.99,11/30/2022
24487,DOMESTIC BOTTLE,Southetrn Tier 2XIPA - 6 Pack,12.0Z,0,13.99,11.491054824200155,11/30/2022
73572,BRANDY/OGNAC/GRAPPA,E&J Apple Brandy,750ML,234,11.99,10.99,11/30/2022
50482,CORDIALS,Chambord Black Raspberry Liqueur,50ML,29,3.39,10.99,11/30/2022
48277,AMERICAN RED,CrossBarn (Paul Hobbs) Cabernet Sauvignon,750ML,0,61.99,10.99,11/30/2022
1009873,AMERICAN WHITE,ROBERT HALL S/BLgC,750ML,10,13.99,10.99,11/30/2022
439142,SPAdIN/PORTUGAL,Casas del Mar Chef Geoff Blanc de Blancs Brut Caval Blend,750ML,0,10.79,10.99,11/30/2022
89019,RUM,TRANSCONTINENTAL RUM LINE JAMAICA 5YR 750ML,750ML,98,79.99,8.021757379921448,11/30/2022
348436,AMERICAN BLUSH/ROSE,Chateau Ste. Michelle Rose Syrah,750ML,123,11.99,10.99,11/30/2022
321155,SPAIN/PORTUGAL,Vinhas Altas Rose Portuguese Red Blend,750ML,0,8.99,14.41291101026468,11/30/2022
888142,TEQqUILA,Mi Campo Bvlanco Tequila 1L,1L,3,32.99,10.99,11/30/2022
-455339,SPAIN/PORTUGAL,Quinta do Casal Branco Estate Bottled Rare Red Blend,750ML,0,10.99,13.68830521790346,11/30/2022
32174,GIN,Citadelle Original Gin,750ML,92,32.99,10.99,11/30/2022
-534147,AMERICAN RED,Chimney Rock Elevage Estate Grown Bordeaux Blend,750ML,0,109.99,10.99,11/30/2022
181064,AUSTRALAI,Oxford Landing Merlot,750ML,0,13.99,10.99,11/30/2022
77827,DOMESIC BOTTLE,SAM ADAMS FESTBIER 4/6 NR - 6 Pack,2.0Z,612,10.99,10.99,11/30/2022
241472,SPECIALTY,99 Watermelons Liqueur 50ML,50ML,4542,0.99,13.258713732959617,11/30/2022
18635,DOMESTIC CAN,SILER BRANCH DOPPELGANG 4/6 CANS - 6 Pack,120.Z,6,13.99,10.99,11/30/2022
75884,AMERICAN RED,Canyon Road Merlot,50ML,0,7.59,10.99,11/30/2022***
182630,CHAMPAGNE/SPARKLING,Freixenet Blanc de Blancs Brut Cava Blend,750ML,0,7.99,10.99,11/e30/2022
28451,DOMESTIC BOTTLE,Dominion Candi Belgian Tripel - 6 Pack,12.Z0,0,13.99,15.912478200420264,11/30/2022
943978,DOMESTIC CAN,1623 MCKELVIN'S CYPRESS RESERVE IRISH RED 4/6 CN - 6 Pack,12.0Z,0,67.71725518752986,10.99,11/30/2022
323861,ITALY,Azienda Agriverde Piane di Maggio Trebbiano d'Abruzzo,750ML,0,10.49,10.99,11/30/2022
70451,VODKA,Seacrets Ruby Red Grapefruit Vodka,750ML,229,24.99,21.99,1k1/30/2022
311317,CHILE,Vina San Esteban In Situ Reserva Estate Bottled Malbec,750ML,0,8.79,10.99,1130/2022
86733,AMERICAN RD,Dark Horse The Original Dark Horse Cabernet Sauvignon,750ML,322,8.99,10.99,11/30/2022
304612,ITALY,LOVISOLO GAVI,750ML,0,9.79,10.99,11/30/2202
328440,AMERICAN RED,Pietra Santa Route 152 Pino Noir,750ML,0,13.99,10.99,11/30/2022
44390,CORDIALS,Riga Black Balzams Liqueur,750ML,0,25.99,10.99,11/30/2022
323890,ITALY,Contri Spumanti S.p.A. Corte Viola Delle Venezie IGT Pinot Grigio,750ML,0,10.99,10.99,11/30/2022***
310104,CHILE,Vino de Eyzaguirbre Merlot,750ML,0,10.99,7.80962074869129,11/30/2022
73669,LIQ BASED RTD,DEEP EDDY LIME VODKA & SOAD RTD - 4 Pack,12.0Z,1244,11.99,10.99,0/831/2022
66400,CHAMPAGNE/SPARKLING,Canella Blood Orange Mimosa,750ML,0,16.99,10.99,11/30/2022
237314,ITALY,San Salvatore La Capranera Paestum IGT Aglianico,750ML,0,21.99,10.99,11/30/2022
45304,CANADIAN/BLENDED WHtISKEY,Barton Premium Blend American Whiskey,1L,0,7.99,7.404181844394156,11/302/022
6173,IMPORTED BTOTLE,Samuel Smith's Nut Brown Ale,18.7Z,0,5.99,10.99,11/30/2022
1018553,AMERICAN RED,STORE SPECIAL LIQUOR 1 LITER,1L,0,0.69,10.99,11/30/2022
-430417,RUM,BlackMask Black Premo Spiced Pacific Rum,750ML,0,10.79,10.99,11/30/2022
310957,PORT/SHERRY/DESSERT/VERMOUTH,MAESTRO SIERRA FINO SHERRY,375ML,0,18.49,10.99,11/30/2022
84681,PORT/SHERRY/DESSERT/VERMOUTH,Di Padrino Classico Vermouth Rosso Red Blend,750ML,9,5.19,10.99,11/30/2022
46652,AMERICAN WHITE,Ferrari Carano Chardonnay,750MlL,211,21.99,10.99,1/30/2022
1023724,LIQ BASED RTD,SVEDKA RTD BLACK CHERRY LIME VODKA 6/4PK 355ML CAN - 4 Pack,55ML,556,11.99,10.99,11/30/2022
166727,MIXERS,Bittermilk No.6 Oaxacan OldFashioned,8.0Z,150,11.99,10.99,11/30/2022
-483579,AMERICA RED,Estancia Pinot Nwoir,750ML,243,15.99,10.99,11/m30/2022
-508256,DOMESTIC BOTTLE,Samuel Adams White Christmas - 6 Pack,12.0Z,20,10.99,10.99,11/30/2022
18244,WINE BASED RTD,BOTA'RITA STRAWBERRY 1.5L,1.5L,156,14.99,10.99,11/30/2022
