communityareaname,communityareanumber(long),propertytype,propertyname,address,zipcode(long),phonenumber,managementcompany,units(long),xcoordinate(double precision),ycoordinate(double precision),latitude(double precision),longitude(double precision),locationvalue
Humboldt Park,23,Supportive Housing,Sanctuary Place,642 N. Kedzie Ave.,72971,773-265-0983,Interfaith Housing Corp.,84,1700014.8859412586,1904286.639,41.89317664,-87.70663122,"(41.8931766424929, -87.7066312185286)"
Belmont Cragin,19,Senior,Senior Suites of Kelvyn Park,2715 N. Cicero Ave.,60639,773-252-0333,Senior Lifestyle Corp.,85,1143963.795,1917674.647,33.9117848634723,-109.51115780688824,"(41.9301265688258, -87.7463885389486)"
Belmont Cragin,19,Senior,Diversey Manor,5525 W. Diversey Ave.,48344,312-456-1840,"Resident Management Services, Inc.",98,1138952.214,1918027.352,39.009107905831314,-105.52064633865824,"(41.93118709471326, -87.76479650741335)"
Humboldt Park,23,Supportive/Veterans,Hope Manor Apts.,3053 W. Franklin Blvd.,60612,773-475-6703,Volunteers of America Illinois,-132,1155690.801,1237331.5039552322,41.88999235,-87.70368677,"(41.8899923467274, -87.7036867658502)"
Lower West Side,31,Multifamily,Casa Tabasco,2014 S. Racine Ave.,60608,312-850-1935,The Resurrection Project,260,1644514.4645430385,1890365.991,41.85469028,-87.65647821,"(41.8546902787307, -87.6564782084317)"
Chicago Lawn,66,Senior,Churchview Manor Independent Living,2626 W. 63rd St.,60629,773-925-0730,Greater Southwest Dev. Corp.,60,1159807.028,1862817.69,41.77928099,-87.68967949,"(41.779280990198, -87.689679486435)"
Humboldt Park,23,Multifamily,Rosa Parks Apts.,3215 W. Huron St.,57258,773-227-6332,Bickerdike Apts.,6,1154724.086,1904442.811,41.89360833,-72.22737409701683,"(41.8936083276263, -87.707201866607)"
Near North Side,8,ARO,Atrium at Old Town Park,300 W. Hill St.,60610,312-642-8707,Omni Group,41,1174106.104,1907721.573,41.55198240934067,-112.80897383051152,"(41.9021952433121, -87.6359209163654)"
East Garfield Park,27,Senior,Heritage Woods of Chicago,2800 W. Fulton St.,60612,773-722-2900,BMA Management Ltd.,113,1157640.848,2700595.9995926344,41.88664623,-87.69655814,"(41.8866462302992, -87.6965581360089)"
Hyde Park,41,ARO,5432-44 S. Woodlawn,5432 S. Woodlawn Ave.,35154,312-480-0933,Bickerdike Apts.,-140,1185102.561,1869464.413,41.79696316,-44.39017365464175,"(41.7969631559439, -87.5967353132738)"
Near South Side,33,ARO,Aspire Residences,2111 S. Wabash Ave.,60616,312-346-8600,"Draper and Kramer, Inc.",247,1177122.368,1890143.367,41.85389182,-87.62537446,"(41.8538918245058, -87.6253744575475)"
Austin,25,Senior,Senior Suites of Austin,335 N. Menard Ave.,60644,773-378-0333,Senior Lifestyle Corp.,219,1137686.377,1901819.131,44.68721162905647,-67.93462353998888,"(41.8867327472372, -87.7698395846828)"
Uptown,3,ARO,The Synagogue,5029 N. Kenmore Ave.,35332,855-443-5287,FLATS Leasing,4,1168376.19,1933904.517,41.97416834,-87.65620794,"(41.9741683436707, -87.6562079425006)"
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3108 W. Franklin Blvd.,65472,773-227-6332,Bickerdike Apts.,6,1155507.651,916423.3207124436,29.30261722101825,-87.70435734,"(41.8902040169903, -87.7043573374365)"
North Lawndale,29,Multifamily,Park Douglas,1313-15 S. Fairfiled Ave.,60608,773-893-4800,Interstate Realty Management Co.,4,1158281.777,1893762.463,41.86422845,-87.69442766,"(41.8642284473937, -87.6944276610452)"
Hunboldt Paek,23,Multifamily,Nuestro Hogar,3653-57 W. Wabansia Ave.,60647,773-227-6332,Bickerdike Apts.,16,1032967.8739780162,1911006.556,50.717584995880586,-61.801498077218696,"(41.911683185141136, -87.71874923005096)"
Roseland,50,Senior,Pullman Suites,15 E. 112th Place,60628,773-840-3993,Triangle & Assoc.,60,1178428.442,1830343.03,41.68976374,-87.62239508,"(41.6897637422461, -87.6223950848936)"
Kenwood,29,Multifamily,Greenwood Park Apts.,4700 S. Greenwood Ave.,60615,312-967-6075,Preservation Housing Management LLC,122,1184333.98,1874034.569,41.80952205,-87.59941065,"(41.80952205256069, -87.59941064804501)"
Portage Park,15,ARO,Jefferson Park Residences,4758 N. Laramie Ave.,60630,773-736-1900,Mega Realty Inc.,4,1140755.027,1931358.401,41.96773575,-87.75784248,"(41.9677357509555, -87.7578424774051)"
Austin,25,Supportive Housing,Mayfield Apts.,148 N. Mayfield Ave.,65856,312-660-1374,Heartland Housing Inc.,39,1681705.4401933511,2355857.7236743467,50.265066396049846,-87.77205264,"(41.88363584043627, -87.77205264211287)"
Chicago Lawn,66,Senior,Senior Suites of Marquette Village,7430 S. Rockwell St.,60629,773-432-8420,Senior Lifestyle Corp.,93,1160293.922,1855122.446,42.212018852887546,-87.68810611,"(41.7581541131331, -87.6881061074696)"
Near North Side,8,ARO,847 N. Larabee,847 N. Larabee St.,60610,773-698-6648,Fulton Grace Realty,1,1172235.681,1906133.684,43.47521798026054,-87.64283814,"(41.8978795039922, -87.6428381376954)"
Near North Side,8,ARO,Onni Atrium Devp.,202 W. Hill St.,60610,312-585-6776,Onni Group,43,1174473.401,2369781.9466743204,41.90221192,-87.63457152,"(41.9022119151994, -87.6345715220446)"
Douglas,35,ARO,Lake Park LLC,243 E. 31st St.,60616,773-693-1041,D Properties,1,1178560.467,1884464.478,41.8382759,-87.62026922,"(41.8382759033884, -87.6202692165246)"
Grand Boulevard,38,Multifamily,Legends South - Savoy Square,4448 S. State St.,60609,773-855-2209,Interstate Realty Management Co.,-158,938860.55955091,1875311.407,41.81319493,-87.6263368,"(41.8131949278106, -87.6263367998472)"
Near North Side,8,ARO,Xavier Chicago,625 W. Division St.,60622,312-642-2279,Greystar Property Management,288,1171812.25,1908210.388,41.90358744,-91.28261385804444,"(41.9035874397858, -87.6443320835899)"
Lake View,6,ARO,927 W. Irving,927 W. Irving Park Rd.,60613,773-665-0103,DLG Management,1,1169246.126,1926706.623,41.95439818,-87.65321906,"(41.9543981834222, -87.6532190636427)"
Woodlawn,42,Multifamily,The Grant at Woodlawn Pk Phase II,6129 S. Cottage Grove Ave.,60637,312-283-0030,Preservation Housing Management LLC,33,752789.7577301529,1864419.23,48.31315309888674,-87.60584352,"(41.783175785112, -87.6058435155323)"
Lower West Side,31,Multifamily,Casa Queretaro,1614 S. Damen Ave.,87091,312-666-1323,The Resurrection Project,45,1163154.261,1891768.78,38.33720772749394,-87.67659689,"(41.8586566959184, -87.6765968933512)"
Avondale,21,ARO,2823 W. Belmont Ave.,2823 W. Belmont Ave.,60618,773-772-8500,Wilmot Properties,5,1156887.962,1325565.152781688,41.93927815,-87.698802,"(41.93927814818369, -87.69880199861194)"
Rogers Park,1,Inter-generational,Nathalie Salmon House,7320 N. Sheridan Road,60626,773-921-3200,H.O.M.E.,54,1166011.629,1948540.312,42.01438027,-87.66448269,"(42.01438027189406, -87.6644826893636)"
East Garfield Park,27,Multifamily,Homan Square Apartments Phase IV,908 S. Central Park Ave.,60624,773-722-7320,Realty & Mortgage Co.,108,1152480.61,1895702.738,41.86966928,-87.71567245,"(41.8696692769002, -87.7156724505967)"
Oakland,36,Multifamily,Lake Park Crescent,1061 E. 41st Place,37151,773-268-0200,Standard Communities,112,1184161.776,1877771.789,41.81978129,-87.59992527,"(41.8197812877923, -87.5999252672656)"
Austin,25,Multifamily,Congress Commons LLC,504 S. Laramie Ave.,54596,773-287-1592,Congress Commons LLC,-143,991839.7560960395,1897120.686,41.87376512,-113.4132961634348,"(41.8737651210059, -87.7549712034404)"
Uptown,3,ARO,LALux Apts.,4747 N. Ashland Ave.,60640,773-281-5252,Peak Properties,4,1164837.241,1931792.002,41.96844754,-87.66928182,"(41.9684475448392, -87.6692818155949)"
Oakland,36,Multifamily,Oakwood Shores Senior Apts.,3750 S. Cottage Grove Ave.,60653,773-373-1300,The Community Builders,-148,1181862.329,1880153.551,34.033088757950686,-87.60828676,"(41.826370566755, -87.6082867641214)"
Douglas,35,Multifamily,South Park Plaza,2600 S. King Dr.,60616,312-674-9210,Woodlawn Comm. Dev. Corp.,134,1179206.472,1887158.196,41.84565291,-87.61781639,"(41.8456529117633, -87.6178163910093)"
Near West Side,28,Multifamily,St. Andrew's Court,50 N. Hoyne Ave.,60612,312-226-7620,St. Andrew's Court LP,15,1162359.526,1900563.445,41.8828067,-87.67926811,"(41.8828067021833, -87.6792681084205)"
Humboldt Park,23,Multifamily,Rosa Parks Apts.,601 N. Drake Ave,60624,773-227-6332,Bickerdike Apts.,6,1152648.978,1903805.805,41.89190162,-87.71483993,"(41.8919016207191, -87.7148399289988)"
West Garfield Park,26,Senior,Midwest Apts.,6 N. Hamlin Blvd.,60624,773-265-0323,Holsten Management Corp.,-129,1151025.526,1899809.62,41.88096762,-87.72090693,"(41.8809676236059, -87.7209069325321)"
Douglas,35,Multifamily,Park Boulevard IB,3506 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",54,1330650.3318915667,1881719.108,22.72047146905112,-87.62679018,"(41.8307821805741, -87.6267901762196)"
Uptown,3,Multifamily,Leland Apts.,1207 W. Leland Ave.,60640,312-660-1374,Heartland Houisng Inc.,137,1607909.4583455832,1931314.7,41.9670835,-68.04011936430328,"(41.96708350165128, -87.6599716369116)"
New City,61,Multifamily,Casa Hidalgo,4600 S. Wood St.,60609,312-248-8355,The Resurrection Project,10,1031320.7104672858,1874156.261,41.81028546,-87.67002227,"(41.8102854562714, -87.6700222696602)"
Logan Square,22,Multifamily,Tierra Linda Apts.,1834-36 N. Sawyer Ave.,60647,773-276-5338,LUCHA,6,1154251.058,1912153.096,41.91477551,-87.70873296,"(41.9147755105005, -87.7087329617065)"
Hyde Park,41,Multifamily,Hyde Park Apts.,5330 S. Harper Ave.,53280,773-955-2610,"DRE, Inc.",36,1187148.234,1870068.251,41.79857178,-87.58921454,"(41.7985717840676, -87.5892145402274)"
North Lawndale,29,Multifamily,Lazarus Apartments,1859 S. Pulaski Ave.,60623,773-762-3389,Lawndale Christian Residential Svcs.,26,1150056.063,1890463.503,28.29469111300921,-108.20063806228308,"(41.8553397217037, -87.7247100762886)"
West Town,24,ARO,The Oasis of Bucktown,1700-14 N. Western Ave.,60647,773-235-4559,The Oasis of Bucktown LLC,9,1160060.293,1911240.1,41.91215211,-87.68741582,"(41.9121521055374, -87.6874158168675)"
Englewood,68,Senior,Sangamon Terrace,6415 S. Sangamon St.,60621,312-234-9400,Evergreen Real Estate Services,34,1171120.288,1862217.205,41.77739333,-87.6482214,"(41.7773933301775, -87.6482214015885)"
Humboldt Park,23,Senior,LUCHA Affordable Units,3541 W. North Ave.,60647,312-276-5338,LUCHA,69,1152271.525,2887951.5703878105,41.90989234,-87.71605298,"(41.9098923381712, -87.7160529794187)"
Jefferson Park,11,Senior,Senior Suites of Jefferson Park,5400 N. Northwest Hwy.,33927,773-775-7333,Senior Lifestyle Corp.,73,1107629.5128271608,1935211.185,41.97839039,-87.77439957,"(41.9783903918479, -87.7743995653441)"
Riverdale,54,Multifamily,Eden Green Apts.,301 E. 132nd Pl,60627,773-568-7033,Habitat Company,258,1180750.042,1817671.924,58.931431808985415,-87.61428283,"(41.65493944937772, -87.61428282625099)"
Humboldt Park,23,Multifamily,Harold Washington Unity Coop,636-38 N. Albany Ave.,60612,773-227-6332,Bickerdike Apts.,278,1155553.014,1507179.7943673593,53.4384678938759,-87.70416298,"(41.8930322620299, -87.70416297611808)"
Grand Boulevard,38,Multifamily,Shops & Lofts at 47,747 E. 47th St.,60653,855-618-4959,The Community Builders Inc.,72,1182241.946,1873977.257,41.80941355,-87.60708556,"(41.80941355316, -87.6070855617653)"
Lincoln Square,4,ARO,2247 W. Lawrence Ave.,2247 W. Lawrence Ave.,60625,312-266-1515,CA Urban Living,2,1160316.674,1931793.44,24.99992993323585,-99.00281082445476,"(41.9685464338003, -87.6859036700814)"
Montclare,18,Senior,The Montclare Senior Residences,6650 W. Belden Ave.,60707,773-237-3831,Pacific Management Inc.,7,856570.5422535214,1914379.416,25.86389541211468,-87.79209096,"(41.9213082227541, -87.7920909580488)"
Roseland,49,Multifamily,Roseland Ridge Apts.,10513 S. Michigan Ave.,74067,773-341-3158,NHS Redevelopment Corp.,40,1178893.699,965793.0529328854,41.70307738,-87.62054468,"(41.7030773785091, -87.6205446770862)"
Edgewater,77,Multifamily,Bell Shore Apts.,1062 W. Bryn Mawr Ave.,47014,773-334-5407,Holsten Management Corp.,105,1167941.813,1224476.467351959,41.9837729,-87.65770384,"(41.9837729036918, -87.6577038394096)"
North Park,13,Senior,Edward M. Marx Apts.,5801 N. Pulaski Road,60646,773-583-4182,Elderly Housing Devp. & Operations Corp.,180,1148723.501,1938044.237,41.98593151,-87.72836921,"(41.9859315141827, -87.7283692100341)"
Logan Square,22,Multifamily,Zapata Apts.,3230 W. Armitage Ave,60647,773-227-6332,Bickerdike Apartments,-152,1154370.985,1913144.88,41.91749465,-87.70826581,"(41.9174946519018, -87.7082658078456)"
North Lawndale,29,Multifamily,Park Douglas,2707 W. 12th St.,60808,773-893-4800,Interstate Realty Management Co.,5,1158459.37,1894563.613,41.86642326,-87.69375381,"(41.8664232575349, -87.6937538097267)"
Uptown,3,Multifamily,Sunnyside Kenmore Apts.,4130 N. Kenmore Ave.,60640,773-769-3116,"Metroplex, Inc.",13,1168380.03,1927860.194,60.14346761944985,-87.65636944,"(41.9575824412569, -87.6563694356509)"
East Garfield Park,27,Multifamily,Harrison Court Apts.,2910 W. Harrison St.,60612,773-722-3231,East Lake Management & Development Corp.,123,1156993.694,1897269.114,21.18350053159105,-87.69906108,"(41.87387726552858, -87.69906107872393)"
Auburn Gresham,71,Senior HUD 202,St. Sabina Elder Village Apts.,1222 W. 79th St.,60620,773-994-7850,Catholic Charities Housing Devp.,80,1169422.93,2191609.3957258128,26.810652599670167,-87.65472675,"(41.7505934139213, -87.6547267546359)"
Logan Square,22,Multifamily,Tierra Linda Apts.,1822 N. Sawyer Ave.,60647,773-276-5338,LUCHA,3,1154255.08,1912027.168,41.91442987,-89.84913382534565,"(41.9144298729108, -87.7087215553095)"
Near West Side,28,ARO,Atrio,1922 W. Ogden Ave.,87045,833-365-8945,Marquette Management Inc.,52,1163617.903,1897486.317,41.87433639,-87.67473402,"(41.8743363936548, -87.6747340163993)"
West Ridge,2,Senior,G & A Senior Residences at Ravenswood,1818 W. Peterson Ave.,60660,773-381-7400,Eastgate Village Senior Corp.,89,1162949.472,1939941.189,41.99084916,-85.36565298978567,"(41.9908491576843, -87.6759930883639)"
Calumet Heights,48,Senior,Montclare Senior Residences of Calumet Heights,9401 S. Stony Island Ave.,60617,312-267-4850,Pacific Management Inc.,-131,964127.8126419,1842933.538,41.72407879,-87.58501024,"(41.7240787910774, -87.5850102376276)"
South Shore,43,Multifamily,Highlands Tudor Manor,7018 S. Cregier Ave.,65248,773-667-1940,Related Management Co. LP,18,810966.3163797859,2791916.877310222,29.65932473918435,-63.598490579104094,"(41.7673820795833, -87.58140538023)"
Garfield Ridge,56,Senior,Midway Pointe Senior Living,5011 W. 47th St.,60638,872-302-4010,Perlmark Realty Management LLC,85,1143675.613,2696326.0617605983,41.80744124,-87.74856678,"(41.8074412434739, -87.7485667790425)"
Near South Side,33,Senior,The Park at Central Station,1251 S. Michigan Ave.,60605,855-272-4356,Brookfield Properties,91,1177467.191,1894587.503,41.86607901,-87.62397407,"(41.86607901435018, -87.62397407028845)"
Montclare,18,ARO,Harlem & Wrightwood,2601-19 N. Harlem Ave.,60707,312-671-0777,NOAH Properties,2,1127689.873,1916489.615,41.92716483,-87.80621904,"(41.9271648255127, -87.8062190443279)"
Lake View,6,ARO,3462 Lincoln,3462 N. Lincoln Ave.,60657,773-525-6570,Spaces Real Estate,2,1164033.827,1923207.502,41.94490833,-87.67247934,"(41.9449083304908, -87.6724793376448)"
Washington Park,40,Multifamily,Harriett Tubman Apts.,5751-59 S. Michigan Ave.,60637,773-752-9760,Brand New Beginnings Inc.,65,1178184.05,1866708.816,41.78956141,-87.62218963,"(41.7895614136691, -87.6221896343024)"
Oakland,36,Multifamily,Lakefront Phase II,4131 S. Lake Park Ave.,68775,773-548-8795,"Urban Property Advisors, LLC",6,1184098.384,1877540.909,59.15948311393029,-87.60016504,"(41.8191492210611, -87.6001650372999)"
West Englewood,67,Multifamily,New West Englewood Homes,2109 W. 63rd St.,66730,773-434-4929,Interfaith Housing Corp.,12,1163331.993,1862802.809,41.77916703,-89.33293373712219,"(41.7791670261036, -87.6767569483975)"
North Lawndale,29,Multifamily,Park Douglas,1262-1300 S. Washtenaw Ave.,60608,773-893-4800,Interstate Realty Management Co.,7,1158531.931,1893930.095,41.86468333,-65.32906372814901,"(41.8646833344944, -87.6935047652592)"
North Lawndale,29,Multifamily,Fountain View Apts.,3718 W. Douglas Blvd.,60623,773-762-3389,Lawndale Christian Residential Svcs.,32,601866.5242309859,1893415.133,41.86341092,-87.71929168,"(41.8634109155574, -87.7192916813529)"
Woodlawn,42,Multifamily,Woodlawn Station,6253 S. Cottage Grove Ave.,60637,773-955-8668,Preservation Housing Management LLC,55,1182683.987,1863507.307,41.78067286,-119.5009809336419,"(41.7806728614192, -87.605789255575)"
West Town,24,Multifamily,North & Talman Phase III,2656 W. North Ave.,60647,773-602-2888,Hispanic Housing Dev. Corp.,18,1158163.07,1910570.521,41.91035372,-87.69440401,"(41.9103537220529, -87.6944040130463)"
Grand Boulevard,38,Multifamily,Cornerstone Apts.,611 E. 50th St.,73931,312-577-5555,The Community Builders Inc.,8,1181237.493,1871959.196,41.80389906,-50.73298221999106,"(41.8038990622584, -87.6108319018369)"
Near West Side,28,ARO,Milieu Apts.,205 S. Peoria St.,60607,312-983-7152,White Oak Realty Partners,7,1638614.298140787,1899238.856,60.48285612239218,-87.64946622,"(41.8789981048164, -87.6494662212002)"
Humboldt Park,23,Multifamily,La Estancia,3220 W. Division St.,60651,773-227-6332,Bickerdike Apts.,18,1154584.663,968073.9102342612,41.90293349,-87.70762292,"(41.902933489753, -87.7076229237995)"
Lincoln Park,7,People with Disabilities,Halsted Apts.,2537 N. Halsted St.,60614,773-716-3892,Anixter Center Housing Services,14,1170546.591,1917225.736,41.92835383,-87.64871676,"(41.928353829716904, -87.64871675547464)"
Englewood,68,Veterans,Hope Manor Village,5900-6100 S. Green/Peoria/Sangamon,60621,312-564-2393,Volunteers of America Illinois,36,1171608.816,1865691.133,41.78691549,-123.8533422966951,"(41.786915494505976, -87.64632871262232)"
Washington Park,40,Senior HUD 202,St. Edmund's Corners,5556 S. Michigan Ave.,60637,773-667-7583,St. Edmund's Redevelopment Corp.,53,1178070.443,1867951.677,41.79297452,-122.69656534148992,"(41.7929745218958, -87.6225685185263)"
West Town,24,ARO,Bucktown Gateway,1667 N. Western Ave.,60647,773-398-5785,Bucktown Gateway,1,1160139.57,2279037.743127233,41.91223419,-87.68712373,"(41.9122341944022, -87.6871237293732)"
East Garfield Park,27,Multifamily,Liberty Square Apts.,705-23 S. Independence Ave.,60624,773-538-3800,Bonheur Realty Services Corp.,66,1151407.461,1896705.24,28.11172636079159,-87.71958599,"(41.8724413775792, -87.7195859944955)"
Logan Square,22,ARO,Fullerton Properties LLC,2535 W. Fullerton Ave.,60647,773-404-9904,TMG Management,2,1158984.036,1915825.244,41.92475626,-87.69124357,"(41.9247562570513, -87.6912435686367)"
Logan Square,22,Multifamily,La Paz Place,3600-08 W. Shakespeare Ave.,68611,773-227-6332,Bickerdike Apts.,284,1151994.545,1914090.961,41.92013798,-87.71697197,"(41.9201379786438, -87.71697197414618)"
Humboldt Park,23,Multifamily,Rosa Parks Apts.,3341 W. Ohio St.,80483,773-227-6332,Bickerdike Apts.,16,1153814.924,1903755.65,41.89174085,-87.71055924,"(41.8917408492721, -87.7105592394886)"
Lake View,6,ARO,Panorama,3300 N. Clark St.,60657,773-269-6405,33 Management LLC,5,1169533.106,1922098.583,41.94174729,-87.65229869,"(41.9417472878147, -87.6522986894853)"
Grand Boulevard,38,Multifamily,Cornerstone Apts.,731 E. 50th Pl,66049,312-577-5555,The Community Builders Inc.,268,1182124.435,1871654.416,38.285072407905176,-130.39230573011017,"(41.803042215953, -87.6075885067614)"
Near West Side,28,ARO,One Corner Page,2329 W. Monroe St.,60612,312-667-3800,1 Corner KW ONEChicago,8,1160797.436,1899442.076,34.36941937975007,-87.68503527,"(41.87976209246967, -87.68503526602909)"
Uptown,3,Multifamily,Hazel Winthrop Apts.,852-54 W. Sunnyside Ave./4509 N. Hazel St.,33749,773-334-5003,Preservation Housing Management LLC,12,1169543.909,1930117.784,41.96375203,-87.65202468,"(41.96375203399769, -87.65202467695009)"
West Town,24,ARO,1938 W. North Ave.,1938 W. North Ave.,60622,312-423-5508,Dream Town Realty,2,1163033.416,1573986.90686188,42.88983341849611,-50.99300163505821,"(41.9106118451822, -87.6765085657742)"
Greater Grand Crossing,69,Artist Housing,Dorchester Art + Housing Collaborative,1450 E. 70th St.,60619,773-324-2270,Leasing & Management Co. Inc.,32,1187273.42,1858913.338,41.76795883,-87.58910953,"(41.7679588344507, -87.5891095264366)"
Portage Park,15,Senior,The Kilpatrick Renaissance,4655 W. Burteau Ave.,60641,773-283-4655,The Renaissance Cos.,98,1144211.767,1927249.554,43.12811040029199,-87.74523589,"(41.9563963215946, -87.7452358895033)"
Near North Side,8,ARO,North & Vine,633 W. North Ave.,60610,312-872-1011,Lincoln Property Co.,7,1704379.5266130522,1107805.6399397235,41.9108662,-87.64471925,"(41.9108661963254, -87.644719245073)"
Uptown,3,ARO,Upshore Chapter,4555 N. Sheridan Road,60640,312-229-6446,33 Realty,7,1168829.31,1930666.235,41.96527256,-87.65463604,"(41.965272561138, -87.6546360379986)"
Logan Square,22,ARO,2556 Armtiage LLC,2556 W. Armitage Ave,60647,773-252-0600,North Clybourn Group,1,1158751.315,1913231.215,41.91764283,-87.69216996,"(41.917642826462, -87.6921699562562)"
Oakland,36,Multifamily,Lakefront Phase II,4143 S. Lake Park Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",3,1184153.699,1877418.813,41.81881289,-87.59996595,"(41.8188128855705, -87.5999659460719)"
Near West Side,28,Multifamily,Taylor Street Apts.,1342 W. Taylor St.,60607,312-595-7400,Related Management,29,1167384.336,1895738.411,52.011589603312345,-87.66095569,"(41.869459860474, -87.6609556887118)"
Humboldt Park,23,Multifamily,Rosa Parks Apts.,532 N. Trumbull Ave.,69472,773-227-6332,Bickerdike Apts.,15,1153240.184,1903567.266,41.89123533,-43.89740295868286,"(41.8912353311207, -87.7126750162555)"
Near South Side,33,Multifamily,Hilliard Homes Phase I,2030 S. State St.,60616,312-225-7610,Holsten Real Estate Dev. Corp.,170,1176604.642,1890373.503,41.85453503,-87.62726774,"(41.8545350329649, -87.6272677388027)"
Logan Square,22,Multifamily,Tierra Linda Apts.,1808-10 N. Kedzie Ave.,60647,773-276-5338,LUCHA,254,1154721.064,1911891.217,41.91404749,-87.70701324,"(41.9140474872389, -87.7070132389676)"
Armour Square,34,Multifamily,Archer Courts Apts.,2242 S. Princeton Ave.,60616,312-791-0458,"Prairie Management & Development, Inc.",147,1174528.583,1889278.897,41.85157794,-87.63492034,"(41.9859315141827, -87.7283692100341)"
Lower West Side,31,Multifamily,Casa Monterrey,967 W. 19th St.,30673,312-666-1323,The Resurrection Project,4,1170202.356,1891062.313,36.48484209473142,-87.65074652,"(41.8565672424017, -87.6507465232068)"
West Ridge,2,Senior,Northtown Apts.,6800 N. Western Ave.,60645,773-765-3090,Evergreen Real Estate Services LLC,14,1159043.161,1945096.219,42.00507612,-87.69021903,"(42.0050761227234, -87.6902190302217)"
Uptown,3,ARO,4801 N. Ravenswood Ave.,4801 N. Ravenswood Ave.,60640,773-929-7050,Hayes Properties Inc.,4,1671933.015968443,1162154.7406552385,44.49208524609167,-84.98274649827486,"(41.968973497819, -87.6740303235896)"
South Shore,43,Senior,Rainbow's End,7538 S. Kingston Ave.,60649,773-768-5402,"Urban Property Advisors, LLC",84,1194467.28,1855300.561,41.75787127,-87.56285983,"(41.757871272437, -87.5628598348934)"
Logan Square,22,ARO,Noca Blu,2328-48 N. California Ave.,47810,707-483-8708,Pinnacle Living,14,1157275.918,1915411.868,54.56880633645381,-87.69753123,"(41.9236568472526, -87.697531225726)"
Edgewater,77,Senior,Pomeroy Apts.,5650 N. Kenmore Ave.,60660,773-275-7820,Habitat Company,198,1168181.124,1937918.4,59.96933599422599,-87.65680868,"(41.9851867755403, -87.656808676983)"
Humboldt Park,23,Multifamily,La Estancia,3248 W. Division St.,60651,773-227-6332,Bickerdike Apts.,9,1154314.32,1907834.526,41.90292371,-87.7086161,"(41.9029237079623, -87.708616099157)"
Belmont Cragin,19,Senior,Belmont Place Apts.,4645 W. Belmont Ave.,60641,773-427-1400,Perlmark Realty Management,110,1144792.615,1130955.0056522544,35.44733974599545,-87.74326301,"(41.93876700406477, 87.7432630148762)"
Washington Park,40,Multifamily,St. Edmund's Oasis,6143-51 S. Indiana Ave.,60637,773-493-2411,St. Edmund's Redevelopment Corp.,14,1178697.322,1864156.91,41.78254707,-87.62038523,"(41.7825470680121, -87.6203852293449)"
Washington Park,40,Multifamily,Prairie Park Apts.,5610 S. Calumet Ave.,82973,773-268-1960,"Leasing and Management Co., Inc.",56,1525346.7763267262,1867825.622,41.79259828,-87.61768665,"(41.79259828346719, -87.61768665157615)"
South Chicago,46,Multifamily,Casa Kirk,3248 E. 92nd St.,60617,773-734-2884,Interfaith Housing Corp.,29,1198941.103,1844604.277,41.72840878,-87.54682246,"(41.7284087757332, -87.5468224570309)"
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,528 N. Troy St.,60624,773-227-6332,Bickerdike Apts.,3,1155237.316,1903580.685,44.5343087709151,-87.70534012,"(41.891232279869, -87.7053401173226)"
West Town,24,ARO,Westerly Apts.,740 N. Aberdeen St.,60642,312-366-2965,Fifield Cos.,3,1168866.667,1905178.379,41.89533182,-87.65523984,"(41.8953318242, -87.6552398396278)"
Woodlawn,42,Multifamily,65th Street Apts.,848-58 E. 65th St.,60637,773-684-2056,"Urban Property Advisors, LLC",6,1183196.24,1862140.115,61.73704482766896,-66.94881923748781,"(41.7769092522879, -87.6039537769831)"
North Lawndale,29,65+/Supportive,Montclare Sr. Residences SLF of Lawndale,4339-47 W. 18th Pl,60623,773-277-0288,Pacific Management Inc.,120,1391092.1038387152,1890603.264,48.3125153797218,-87.7338879,"(41.8557715313027, -87.7338878999525)"
Lower West Side,31,Multifamily,Casa Morelos,2015 S. Morgan St.,86068,312-666-1323,The Resurrection Project,-159,1170049.336,1890417.784,41.85480194,-87.65132697,"(41.8548019389231, -87.6513269744307)"
Lake View,6,ARO,Patterson Green LLC,1118 W. Pattereson Ave.,60613,312-462-4030,Silver Property Group,253,863708.9927330809,1924431.746,41.94818452,-87.65814611,"(41.948184520219066, -87.65814610572426)"
Washington Park,40,Senior,St. Edmund's Tower Annex,6151 S. Michigan Ave.,60637,773-493-2411,St. Edmund's Redevelopment Corp.,34,1178260.931,1864074.92,41.782332,-87.62198764,"(41.7823319979281, -87.6219876398255)"
Grand Boulevard,38,Multifamily,Cornerstone Apts.,4950 S. Langley Ave.,60615,312-577-5555,The Community Builders Inc.,21,1181729.297,1872129.617,41.80435535,-87.60902296,"(41.8043553511156, -87.6090229601074)"
West Town,24,ARO,Luxe on Chicago,1838 W. Chicago Ave.,60622,312-581-9980,Fifield Co.,4,997602.6356415058,1905410.003,41.89607519,-87.67373584,"(41.8960751867522, -87.6737358366883)"
North Lawndale,29,Multifamily,Park Douglas,1218-20 S. Washtenaw Ave.,60608,773-893-4800,Interstate Realty Management Co.,29,1158519.57,1894367.8,41.8658847,-87.69353817,"(41.8658846962216, -87.6935381672971)"
