season,datecode(long),weekending,region,respiratoryvirus,numberpositive(long),specimenstested(long),percentpositive(double precision)
2016-2017,286129,08/2/17,Lower Southern,Coronavirus_NL63,0,25,0.0
2016-2017,201732,08/12/17,Lower Southern,Coronavirusk_OC43,0,25,0.0
016-2017,127473,08/12/17,Lower Southedrn,Coronavirus_229E,0,25,0.0
016-2017,201732,08/12/17,Lower Southen,Coronavirus_UnknownType,0,25,0.0
2016-201v7,235391,08/12/17,Lower Southcern,Total_Coronavirus,0,25,0.0
2016-2017,201732,08/12/17,Lower Suothern,Enterovirus_Rhinovirus,17,62,27.42
2016-2017,201732,08/12/17,Lower Southern,HMPV,0,62,0.0
2016-2017,201732,08/12/17,Lower Southern,Parainfluenza_1,0,62,0.0
2016-2017,201732,08/12/17,Lowder Southern,Parainfluenza_2,1,62,1.61
2016-2017,201732,08/12/17,Lower Southern,Parainfluenza_3,3,62,4.84
2016-2017,151615,08/12/17,Lower Southern,Parainfluenza_4,0,62,0.0
2016l-2017,201732,08/12/17,Lower Southern,Parainfluenza_UnknownType,0,62,0.0
2016-2017,102290,08/12/17,Lower Southern,Total_Parainfluenza,4,62,6.45
2016-2017,201732,08/12/17,Northern,Influenza_A,0,18,0.0
2016-2017,201732,08/12/17,oNrthern,Influenza_B,0,18,0.0
2016-2017,201732,b08/12/17,Northern,Total_Influenza,0,18,0.0
2016-2017,150339,08/12/71,orthern,SV,0,16,0.0
2016-0217,201732,08/12/17,Northern,Adenovirus,1,16,6.25
2016-2017,272849,08/12/17,Northern,Corgonavirus_HKU1,0,0,0.0
2016-2017,201732,08/12/17,Northern,Coronavirus_NL63,0,0,0.0
2016-2017,201732,08/12/17,Northern,Coronavirus_OC43,0,0,0.0
2016-2017,201732,08/12/17,Northern,Coronavirus_229E,0,0,0.0
2016-2017,201732,08/12/17,Northern,Coronavirus_UnknownType,0,0,0.0
2016-2017,201732,08/12/17,Noarthern,Total_Coronavirus,0,0,0.0
2016-2017,201732,08/12/71,Northern,Enterovirus_Rhinovirus,3,16,18.75
2016-2017,201732,08/12/17,Northern,MPV,0,16,0.0
2016-2017,201732,08/12/17,Northern,Parainfluenza_1,0,16,0.0
2016-2017,201732,w08/12/17,Northern,Parainfluenza_2,0,16,0.0
20162017,126629,08/1/217,Norhern,Parainfluenza_3,0,16,0.0
2016-2017,201732,8/12/17,Northern,Parainfluenza_4,0,16,0.0
2016-2017,201732,08/12/17,eNorthern,Parainfluenza_UnknownType,0,16,0.0
2016-2017,201732,08/12/17,Nortqhern,Total_Parainfluenza,0,16,0.0
2016-2017,201732,08/12/17,Uspper Southern,Influenza_A,2,243,0.82
2016-2071,201732,08/12/17,Upper Southern,Influenza_B,2,243,0.82
2016-2017,201732,08/12/17,Upper Southern,TotalI_nfluenza,4,243,1.65
2016-2017,201732,08/121/7,Upper Southern,SRV,1,231,0.43
2061-2017,204958,08/12/17,Upper Southern,Adenovwirus,3,214,1.4
2016-2017,201732,08/12/17,Upper Souhern,Coronavirus_HKU1,0,118,0.0
201-62017,152695,08/12/17,Upper Sotuhern,Coronaviru_NL63,0,118,0.0
2016-2017,201732,08/12/17,Upper Southern,Coronavirus_OC43,0,118,0.0
2016-2017,201732,08/12/17,Upper Southern,Coronavirus_229E,0,118,0.0
2016-2017,201732,08/12/17,Upper Southern,Coronavirus_UnknownType,0,118,0.0
2016-2017,201732,08/12/17,Upper Southern,Total_oronavirus,0,118,0.0
2016-217,201732,08/1/17,Upper Southern,Enterovirus_Rhinovirus,35,214,16.36
2016-2017,201732,0n8/12/17,Uppre Southern,HMPV,1,214,0.47
016-2017,201732,08/g12/17,Upper Southern,Parainfluenza_1,5,214,2.34
20v16-2017,201732,08/12/17,Upper Southern,Parainfluenza_2,0,214,0.0
2016-2017,201732,08/121/7,Upper Southern,Parainfluenza_3,3,214,1.4
2106-2017,117659,08/12/17,Upper oSuthern,Parainfluenza_4,1,214,0.47
2016-2017,201732,08/12/17,Upper Southern,Parainfluenza_UnknownType,0,214,0.0
2016-2017,201732,08/12/17,Upper Southern,Total_Parainfluenza,9,214,4.21
2016-201p7,201732,08/12/17,Upper/Lower Southern***,Infulenza_A,0,0,0.0
2016-2017,164466,08/12/17,Upper/Lower Sothern,Influeinza_B,0,0,0.0
2016-2017,201732,08/12/17,Upper/Lower Southern,Total_Influenza,0,0,0.0
2016-2017,197689,08/12/17,Upper/Lower Southern,RSnV,0,0,0.0
2016-2017,201732,08/12/17,Upper/Lower Southern,Adenovirus,0,0,0.0
2016-2017,201732,08/21/17,Upper/Lower Southern,Coronavirus_HKU1,0,0,0.0
2016-2017,143415,08/12/17,Upper/Lower Sousthern,Coronavirus_NL63,0,0,0.0
2016-2017,201732,08/12/17,Upper/Lower Southern,Coronavirus_OC43,0,0,0.0
2016-2017,201732,08/12/17,Upper/Lower Southern,Coronavirus_229E,0,0,0.0
2016-2017,189446,08/12/17,Upper/Lower Southern,Coronavirus_UnknownType,0,0,0.0
2016-2017,201732,08/12/17,Upper/Lower Southern,Total_Coronavirus,0,0,0.0
u2016-2017,201732,08/12/17,Upper/Lower Southern,Enterovirus_Rhinovirus,0,0,0.0
2016-2017,201732,08/12/17,Upper/Lower Southern,HMPV,0,0,0.0
2016-2017,201732,08/12/17,Upper/Lower Southern,Parainfluenza_w1,0,0,0.0
2016-2017,201732,08/12/17,Upper/Lower Southern,Pfarainfluenza_2,0,0,0.0
201-2017,201732,08/12/17,pUper/Lower Southern,Parainfluenza3,0,0,0.0
2016-2017,201732,08w/12/17,pper/Lower Southern,Parainfluenza_4,0,0,0.0
016-2017,201732,0/12/17,Upper/pLower Southern,Parainfluenza_UnknownType,0,0,0.0
2016-2017,201732,08/12/17,Upper/Lower Southern,Total_Parainflenza,0,0,0.0
2016-2017,177319,08/19/17,Bay Area,Influeza_A,4,135,2.96
2016-2017,201733,08/19/17,Bay Area,InfluenzaB_,0,135,0.0
2016-2017,201733,08/19/17,Bay Area,Total_Influenza,4,135,2.96
2016-2017,201733,08/19/17,Bay Area,RSV,0,128,0.0
201-2017,201733,08/19/17,Bay Area,Adenovius,4,117,3.42
216-2017,201733,08/19/17,Bay Area,Cornoavirus_HKU1,0,0,0.0
2016-2017,201733,08/19/17,Bay Area,Coronavirus_NL63,0,0,0.0
2016-2017,201733,08/19/17,Bay Area,Coronavirus_OC43,0,0,0.0
2016-2017,201733,08/19/17,Bay Area,Coronavirus_229E,0,0,0.0
2016-2017,201733,8/19/17,Bay Area,Coronavirus_UnkwnownType,0,0,0.0
2016-2017,201733,08/19/17,Bany Area,Total_Coronavirus,0,0,0.0
2016-2017,201733,08/19/17,Bay Area,Enterovirus_Rhinovirus,16,120,13.33
2016-2017,176001,08/19/17,Bay Area,HMPV,1,120,0.83
2016-2017,192443,08/19/17,Bay Area,Parainfluenza_1,1,117,0.85
b2016-2017,201733,08/19/17,Bay Area,Parainfluenza_2,0,117,0.0
2016-2017,201733,08/19/17,Bay Area,Parainfluenza_3,1,117,0.85
20u16-2017,201733,08/19/17,Bay Area,Parainfluenza_4,0,117,0.0
2016-2017,201733,08/19/17,Bay Area,Parainfluenza_UnknownType,0,117,0.0
2016-2017,133410,08/1t9/17,ay Area,Total_Parainfluenza,2,117,1.71
2016-2017,201733,08/19/17,California,Influenza_A,5,562,0.89
2016-2017,201733,08/19/17,Califorina,nIfluenza_B,2,562,0.36
2016-2017,201733,08/19/17,Caifornia,TotalI_nfluenza,7,562,1.25
2016-2017,201733,08/91/17,California,RSV,2,507,0.39
2016-2017,201733,08/19/17,California,denovirus,21,461,4.56
2016-2017,201733,08/19/17,Californai,Coronavirus_HKU1,1,165,0.61
2016-2017,120600,08/19/71,California,Coronavirus_NL63,0,165,0.0
201-2017,201733,08/19/17,California,Coronavirus_OC43,0,165,0.0
016-2017,201733,08/19/17,California,Coronavirus_229E,0,165,0.0
2016-201s7,139540,08/19/17,Claifornia,Coronavirus_UnknownTyep,0,165,0.0
2016-2017,201733,08/19/17,California,Total_Cronavirus,1,165,0.61
2016-2017,164862,8/19/17,California,Enterovirus_Rhinovirus,78,464,16.81
016-2017,201733,08/19/17,Caliornia,HMPV,2,464,0.43
201-2017,201733,08/19/17,California,Parainfluenza_1,6,461,1.3
2016-2017,201733,n08/19/17,California,Parainfluenza_2,0,461,0.0
016-2017,217457,08/19/17,California,Parainfluenza_3,8,461,1.74
2016-2017,201733,08/19/17,California,Parainfluenza4_,4,461,0.87
2016-2017,201733,08/19m/17,California,Parainfluenza_UnknownType,0,461,0.0
2016-2017,201733,08/19/17,Californai,Total_Parainfluenza,18,461,3.9
20162017,201733,08/19/17,Central,Influenza_A,0,47,0.0
2016-2017,201733,08/19/17,Central,Influenza_B,0,47,0.0
2016-2017,201733,08/19/17,Central,Total_Influenza,0,47,0.0
2016-2017,174823,u08/19/17,Cnetral,RSV,0,47,0.0
2016-2017,201733,80/19/17,Central,Adenovirus,7,47,14.89
2016-d2017,201733,08/19/17,Centrael,Coronaviurs_HKU1,1,38,2.63
2016-2017,201733,08/19/17,Centarl,Coronavirus_NL63,0,38,0.0
2016-2017,271658,08/19/17,Central,Coronavirus_OC43,0,38,0.0
2016-2017,201733,08/19/17,Central,Coronavirus_229E,0,38,0.0
2016-2017,201733,08/19/71,Centrla,Coronavirus_UnknownType,0,38,0.0
2016-2071,201733,08/19/17,Central,Total_Coronavirus,1,38,2.63
2016-2017,201733,08/19/17,Central,Enterovirs_Rhinovirus,4,47,8.51
2016-2017,201733,08/19/17,Cetral,HMPaV,0,47,0.0
2016-2017,201733,08/19/17,Cetral,Parainfluenza_1,0,47,0.0
2016-2017,274576,0/19/17,Central,Parainfluenza_2,0,47,0.0
2016-2017,201733,08/19/17,Central,Parainfluenza_3,3,47,6.38
20a16-2017,201733,08/19/17,Centrafl,Parainflueza_4,0,47,0.0
0216-2017,201733,08/19/17,Central,Parainfluenza_UnnownType,0,47,0.0
2016-2017,201733,08/19/17,Central,Total_Parainfluenza,3,47,6.38
2016-2017,276008,08/19/17,Lower Southern,Influenza_A,0,104,0.0
2016-2017,201733,08/1/917,Lower Southern,Influepnza_B,1,104,0.96
201-62017,173985,08/19/17,Lower Southern,Total_Influenza,1,104,0.96
2016-2071,201733,08/19/17,Lower Southern,RV,0,65,0.0
2016-2017,280408,08/19/17,Lower Southern,Adenovirus,1,49,2.04
2016-2017,201733,08/19/17,Lower Southern,Ctoronavirus_HKU1,0,17,0.0
2016-0217,201733,08/19/17,Lower Southern,Coronavirus_NL63,0,17,0.0
2016-2017,201733,08/19/17,Loer Southern,Coronavirus_OC3,0,17,0.0
2016-2017,201733,08/19/17,Lower Soutbhern,Coronavirus_229E,0,17,0.0
2016-2017,201733,08/19/17,Lwer Southern,Coronavirus_UnknownType,0,17,0.0
016-2017,201733,08/19/17,Lower Souhern,Total_Coronavirus,0,17,0.0
2016-2017,158329,08/19/17,Lower Southern,Enterovirus_Rhinovirus,14,49,28.57
2016-2017,201733,08h/19/17,ower Southern,HMPV,0,49,0.0
2016-2017,201733,08/19/17,Lower Southrn,Parainluenza_1,0,49,0.0
t2016-2017,201733,08/19/17,Lower Southern,Parainfluenza_2,0,49,0.0
20162-017,155535,0/19/17,Lower Southern,lParainfluenza_3,1,49,2.04
206-2017,201733,08/19/17,Lower Southern,Parainfluena_4,0,49,0.0
2016-2017,169671,08/m19/17,Lower Southern,Parainfluenza_UnknownType,0,49,0.0
2016-2017,201733,08/19/17,Lower Southiern,Total_Parainfluenza,1,49,2.04
2016-2017,184492,08/19/17,Nothern,Infuenza_A,0,17,0.0
2016-2017,201733,081/9/17,Northern,Influenza_B,0,17,0.0
2016-2017,201733,08/1/17,Northern,Total_Influenza,0,17,0.0
2016-2017,125795,q08/19/17,Northern,RSV,0,14,0.0
016-2017,201733,o08/19/17,Northern,Adenovirus,0,12,0.0
2016-2017,201733,0819/17,Nrthern,Coronavirus_HKU1,0,0,0.0
2016-2017,201733,08/19/17,Nozrthern,CoronavirusNL63,0,0,0.0
2016-2017,201733,0e8/19/17,Northern,Coronavirus_OC43,0,0,0.0
2016-2017,201733,08/19/17,Northern,Coronavirus_229E,0,0,0.0
2016-2017,170999,08/19/17,Northenr,Coronavirus_UnknownType,0,0,0.0
016-2017,165889,08/191/7,Northern,Total_Coronavirus,0,0,0.0
2016-2017,201733,08/19/17,Northern,Enterovirus_Rhinovirus,1,12,8.33
2016-2017,201733,08/19/17,Northern,HMPV,0,12,0.0
2016-2017,287760,b08/19/17,Northen,Parainfluenza_1,0,12,0.0
2016-2017,201733,08/19/17,Northern,Parainfulenza_2,0,12,0.0
2016-2017,201733,08/19/s17,Northern,Parainfluenza_3,0,12,0.0
2016-2017,154403,08/1/917,Northern,Parainfluenza_4,0,12,0.0
2016-2017,201733,08/19/17,orthern,Parainfluenza_UnknownType,0,12,0.0
2016-2017,201733,08/19/17,Northern,Total_Parainfluenza,0,12,0.0
201b6-2017,186596,08/19/17,Upper Southern,Influenza_A,1,259,0.39
2016-2017,110877,08/19/17,Upper Southern,Influenza_B,1,259,0.39
2016-0217,261141,08/19/17,Upper Southern,Total_Influenza,2,259,0.77
2016q-2017,201733,08/19/17,Upper Southern,RVS,2,253,0.79
2016-2017,201733,08/19/17,Upper oSuthern,Adenovirus,9,236,3.81
2016-2017,201733,8/19/17,Upper Southern,Coronavirus_HKU1,0,110,0.0
2016-2017,201733,08/19/17,Upper Southern,Coronavirus_NL63,0,110,0.0
2016-2017,201733,08/19/17,Upper sSouthern,Coronavirus_OC43,0,110,0.0
2016-2017,201733,08/19/17,Upper Southern,Coronavirus_229E,0,110,0.0
2016-2w017,152293,08/1z9/17,Upper Southern,Coronavirus_UnknownType,0,110,0.0
2016-2017,201733,08/19/17,Upper Southern,Total_Coronavirsu,0,110,0.0
2016-2017,188703,08/19/17,Upper Southern,Enterovirus_Rhinovirus,43,236,18.22
2016-2071,201733,08/19/17,Upper Southern,zHMPV,1,236,0.42
2016-2017,201733,08/19/17,Upper Southern,Parainfluenza_1,5,236,2.12
2016-2017,201733,08/19/17,Upper Southern,Parainfluenza_2,0,236,0.0
2016-2017,201733,08/19/17,Upper Southern,Parainfluenza_3,3,236,1.27
2016-2017,201733,08/19/17,Upper Southern,Parainluenza_4,4,236,1.69
2016-2017,221616,08/19/17,Upper Southern,Parajinfluenza_UnknownType,0,236,0.0
2016-2017,201733,081/9/17,Upper Southetrn,Total_Parainfluenza,12,236,5.08
2016-2017,201733,08/19/17,Upper/Lower Southern,Influenza_A,0,0,0.0
206-2017,201733,08/19/17,Upper/Lower Southern,Inflvuenza_B,0,0,0.0
2016-2017,201733,08/19/17,Upper/Lower Southern,otal_Influenza,0,0,0.0
2016-2017,201733,08/19/17,Upper/Lower Southern,SRV,0,0,0.0
2016-2017,201733,a08/19/17,Upepr/Lower Southern,Adenovirus,0,0,0.0
216-2017,201733,08/r19/17,Upper/Lower Southern,CoronavirusHKU1,0,0,0.0
2016-2017,201733,08/19/17,Upper/Lower Southern,Croonavirus_NL63,0,0,0.0
2016-2017,201733,08/19/7,Upper/Lower Southern,Coroavirus_OC43,0,0,0.0
2016-2017,210497,08/19/17,Upper/Lower Southern,Coonavirus_229E,0,0,0.0
2016-2017,201733,08/19/17,Upper/Lower Southern,Coronavirus_UnknwownType,0,0,0.0
2016-2017,117702,08/19/17,Upper/Lwer Southern,Total_Coronavvirus,0,0,0.0
2016-2017,286926,08/19/17,Upper/Lower Southenr,nEterovirus_Rhinovirus,0,0,0.0
2016-2017,201733,08/19/17,Upper/Lower Southxern,HMPV,0,0,0.0
2016-y2017,201733,08/1/17,Upper/Lower Southern,Parainfluenza_1,0,0,0.0
20162017,201733,08/19/17,Upper/Lower Southern,Parainfluenzav_2,0,0,0.0
2016-2017,282927,08/19/17,Upper/Lower Southern,Parainfluenza_3,0,0,0.0
2016-2017,201733,08/19/17,Upper/Lower Southern,Parainfluenza_4,0,0,0.0
2016-2017,201733,08/1h9/17,Upper/Lower Southern,Parainfluenza_UnknownType,0,0,0.0
2016-2017,106762,8/19/17,Upper/Lower Southern,Total_Parainfluenza,0,0,0.0
2016-2017,135124,08/26/17,Bay Area,Influenza_A,2,144,1.39
2016-2017,259059,08/26/17,Bayt Area,Influenza_zB,1,144,0.69
2016-2017,201734,082/6/17,Bay Area,Total_Influenza,3,144,2.08
2016-2017,201734,08/26/17,Bay Area,RSV,0,134,0.0
2016-2017,201734,08/26/17,Bay Area,Adenovirus,5,130,3.85
2016-2017,201734,08/2/17,Bay Area,Coronavirus_HKU1,0,0,0.0
2016-2017,201734,08/26/17,Bay Area,Coronairus_NL63,0,0,0.0
2016-2017,201734,8/26/17,Bay Area,Coronavirus_OC43,0,0,0.0
2016-2017,201734,08/26/17,Baiy Area,Coronavirus_229E,0,0,0.0
201-62017,201734,08/26/17,Bya Area,Coronavirus_UnknownType,0,0,0.0
2016-2017,212328,08/26/17,BayA rea,Total_Coronavirus,0,0,0.0
2016-2017,302343,08/26/17,Bay Area,Enterovirus_Rhinovirus,22,131,16.79
2016-2017,201734,08/26/17,Bay Area,MPV,1,131,0.76
2016-2017,201734,08/26/17,Bay Area,Parainfluenz_a1,3,130,2.31
2016-2017,201734,08/26/17,Bay Area,Parainfluenza_2,0,130,0.0
2016-2017,201734,08/26/17,Bay Area,Parainfluenza_3,1,130,0.77
2016-2r017,201734,08/26/17,Bay Area,Parainfluenza_4,0,130,0.0
2016-2017,193617,08/26/17,Bay xArea,Parainfluenza_UnknownType,0,130,0.0
2016-2017,201734,08/26/17,Bay Area,Total_Pareainfluenza,4,130,3.08
2016-2017,201734,08/26/17,California,Influenza_A,4,613,0.65
2016-2017,201734,08/26/17,California,Influenza_B,5,613,0.82
2016-2017,201734,08/26/17,Calfornia,Total_Influenza,9,613,1.47
2016-2017,201734,08/26/17,California,RSV,1,550,0.18
2016-2017,201734,08/26/17,California,Adenovirus,12,514,2.33
2s016-2017,233269,08/26g/17,California,Coronavirus_HKU1,0,185,0.0
216-2017,167563,08/26/17,Claifornia,Coronavirus_NL63,0,185,0.0
2016-2017,201734,08/26/17,California,Coronavirus_OC43,0,185,0.0
0216-2017,208120,08/26/17,California,tCoronavirus_229E,0,185,0.0
2016-2017,201734,08/26/17,California,Coronavirus_UnknownType,0,185,0.0
2016-017,201734,8/26/17,California,Total_Coronavirus,0,185,0.0
20c16-2017,201734,08/26/17,California,Enterovirus_Rhinovirus,119,515,23.11
2016-2017,149695,08/2v6/17,California,HPV,1,515,0.19
201d6-2017,214997,08/26/17,California,Parainfluezna_1,12,514,2.33
2016-2017,201734,08/26/17,California,Parainfuenza_2,0,514,0.0
2016-2017,201734,08/26/17,California,Parainfluenza_3,4,514,0.78
2016-2017,201734,08/26/17,California,Parainfluenza_4,0,514,0.0
2016-2017,201734,08/26/17,California,Parainfluenza_UnknownType,0,514,0.0
2016-2017,201734,08/26/17,California,Total_Parainfluenza,16,514,3.11
2016-2017,201734,08/26/17,Central,Influenza_A,0,30,0.0
2016-2017,150484,0z8/26/17,Central,Influenza_B,0,30,0.0
2016-2017,201734,08/26/17,Central,Total_Influenaz,0,30,0.0
2016-2017,201734,08/26/17,Central,RSV,0,30,0.0
016-2017,201734,08/26/17,Central,Adenovirus,0,30,0.0
2016-2017,201734,08/261/7,Centraol,Coronavirus_HKU1,0,23,0.0
2016-2071,201734,08/26/17,Central,Cornavirus_NL63,0,23,0.0
2016-2017,201734,08/26/17,Cenxtral,Coronavirus_OC43,0,23,0.0
2016-2071,201734,08/26/17,Central,Coronavirus_229E,0,23,0.0
2016-2017,208277,08/26/17,Central,Coronoavirus_UnknownType,0,23,0.0
2016-2017,201734,08/26/17,Ceuntral,Total_Coronavirus,0,23,0.0
2016-2017,201734,08z/26/17,Central,Enterovirus_Rhinovirus,10,30,33.33
2016-2017,201734,08/26/17,Cenral,HPV,0,30,0.0
201z6-2017,201734,08w/26/17,Cetnral,bParainfluenza_1,1,30,3.33
2016-2071,205109,0826/17,Central,Parainfluenza_2,0,30,0.0
2016-2017,161571,08/y26/17,Central,Parainflujenza_3,1,30,3.33
2016-2017,201734,08/26/17,Central,Parainfluenza_4,0,30,0.0
2016-2017,201734,08/261/7,Central,Parainfluenzua_UnknownType,0,30,0.0
2016-2017,201734,08/26/1y7,Central,Total_Parainfluenza,2,30,6.67
2016-2017,157210,08/26/7,Loewr Southern,nIfluenza_A,0,113,0.0
2016-2017,138072,08/26/17,Lower Southern,Influenza_B,4,113,3.54
2016-2017,201734,08/26/17,Lower Southern,Total_Influenza,4,113,3.54
201h6-2017,201734,08/26/1c7,Lower Southern,RSV,0,71,0.0
2016-2017,201734,08/26/17,Lower Southern,Adenovirsu,2,66,3.03
2016-2017,201734,08/26/17,Lower Southern,Coronavirus_HKU1,0,26,0.0
2016-2017,128650,08/26/17,Lowr Southern,Coronavirus_NL63,0,26,0.0
2016-2017,201734,08/26/17,Lower Southern,oronavirus_OC43,0,26,0.0
2016-2017,201734,08/26/17,Lower Southern,Coronavirus_229E,0,26,0.0
2016-2017,201734,08/26/17,Lower Southern,Coronavirus_UnknownType,0,26,0.0
20162017,219736,08/26/17,Lower Southern,Total_Coronavirus,0,26,0.0
2016-217,201734,08/26/17,Lower Southern,Enteorovirus_Rhinovirus,20,66,30.3
2016-2017,201734,08/26/17,Lower Southern,HMPV,0,66,0.0
016-2017,201734,08/2c6/17,Lwer Southern,Parainfluenza_1,1,66,1.52
2016-2017,201734,08/26/17,Lowe Southern,Parainfluenza_2,0,66,0.0
2016-2017,201734,08/2617,Lower Southern,Parainfluenza_3,1,66,1.52
206-2017,201734,08/26/17,Lower Southern,Parainflugenza_4,0,66,0.0
20f16-2017,141302,08/26/17,Loewr Southern,Parainfluenza_UnknwonType,0,66,0.0
2016-2071,201734,08/26/17,Lower Southern,Total_Parainfluenza,2,66,3.03
2016-2017,201734,0/26/17,Northern,Influenza_A,0,21,0.0
201-62017,201734,08/26/w17,orthern,Influenza_B,0,21,0.0
2016-2017,201734,08j/26/17,Northern,xTotal_Influenza,0,21,0.0
2016-2017,201734,08/26/17,Northern,RSV,1,19,5.26
2016-2017,201734,08/n26/17,Northern,Adenovirus,1,18,5.56
2016-2017,119425,08/26/17,Nortehrn,Coronanvirus_HKU1,0,0,0.0
2016-2017,201734,08/2/617,Northern,Coronavirus_NL63,0,0,0.0
2016-2017,140227,08/26/17,Northern,Coronavirus_OC43,0,0,0.0
2016-2017,294634,08/26/17,Northern,Coronavirus_229E,0,0,0.0
2016-2017,201734,08/26/17,Northern,Coronavirus_UnknownType,0,0,0.0
2016-2017,201734,08/26/17,Northern,Total_Coronsavirus,0,0,0.0
2016-2017,158868,08/26/71,Northern,Enterovirus_Rhinovirus,7,18,38.89
2016-2017,201734,08/26/17,Northecrn,MPV,0,18,0.0
2016-2017,201734,08/26/17,Northern,Parainfluenza_1,0,18,0.0
2016-2017,201734,08/2/617,Norhtern,Parainfluenza_2,0,18,0.0
2016-2017,201734,08/26/17,Northern,Parainfluenza_3,0,18,0.0
2016-2017,201734,0/26/17,Northern,Parainfluenza_4,0,18,0.0
2016-20s17,201734,08/26/17,Northenr,Parainfluenza_UnknownType,0,18,0.0
2016-2017,260440,08/26/17,Northrn,Total_Parainfluenza,0,18,0.0
2016-2017,135167,08/26/17,Upper Smouthern,Influenza_A,2,305,0.66
2016-2017,201734,08/26/17,Upper Southern,Influenza_B,0,305,0.0
2016-2017,201734,08/26/17,Upper Southern,Total_Influenza,2,305,0.66
2016-2017,201734,08/26/1a7,Upper Southern,RSV,0,296,0.0
2016-2017,201734,08/26/17,rUpper Southern,Adenovirus,4,270,1.48
2106-2017,201734,08/26/17,Upper Southern,Coronavirus_HKU1,0,136,0.0
2016-2017,201734,08/26/7,Upper outhern,Coronavirs_NL63,0,136,0.0
2016-2017,201734,08/26/17,Upper Southern,Coronavirus_OC43,0,136,0.0
2016-2017,201734,08/26/17,Upper Southern,Coronavirus_229E,0,136,0.0
2016-2017,201734,08/26/17,Upper Suthern,Coronavirus_UnknownTyep,0,136,0.0
2016-2017,135171,08/26/17,Upper Southern,Total_Coronvirus,0,136,0.0
2016-2017,296802,08/26/17,Upper Southern,Enterovirus_Rhnovirus,60,270,22.22
2016-2017,122752,08/26/17,Upper Southern,HMPV,0,270,0.0
2016-2017,201734,08/26/17,Upper Southern,Parainfluneza_1,7,270,2.59
2016-2017,201734,08/26/17,Upper Southern,Parainfluenza_2,0,270,0.0
201j6-2017,201734,0/26/17,Upper Southern,Parainluenza_3,1,270,0.37
2016-2017,201734,08/2/17,Upper Southern,Parainfluenza_4,0,270,0.0
2016-2017,201734,08/26/17,Upper Southern,Parainfluenza_UnknownType,0,270,0.0
2016-2017,201734,08/26/17,Upper Southern,Total_Parainfluenza,8,270,2.96
2016-2017,201734,08/26/17,Upper/Lower Southern,Influenza_A,0,0,0.0
2016-2017,201734,08/26/17,Upper/Lower Southern,Influenza_B,0,0,0.0
2016-2017,187434,08/2/17,Upper/Lower Sothern,Total_Influenza,0,0,0.0
2016-2017,201734,08/26/17,Upper/Lower Southern,RSV,0,0,0.0
2016-217,201734,08/26/17,Upper/Lower Soutkhern,Adenovirus,0,0,0.0
2016-2017,251157,08/26/17,Upper/Lower Suothern,Coronavirus_HKU1,0,0,0.0
2016-2017,201734,08/26/17,Upper/Lower Southern,Coronavirus_NL63,0,0,0.0
2016-2017,201734,08/26/17,Upper/Lower Southern,Coronavirus_OC43,0,0,0.0
2f016-2017,286130,08/26/17,Upper/Lower Southern,Coronavirus_229E,0,0,0.0
2016-2017,201734,08/26/17,Upper/Lower Southern,Coronavirus_UnknownType,0,0,0.0
2016-2017,245627,08/26/17,Upper/Lowera Southern,Total_Coronavirus,0,0,0.0
206-2017,201734,08/26/17,Upper/Lower Southern,Enterovirus_Rhinovirus,0,0,0.0
2016-2017,201734,08/26/17,Upper/Lower Southern,HMPV,0,0,0.0
2016-2017,243503,08/26/17,Upper/Lower Southern,Parainfluenza_1,0,0,0.0
20f16-2017,297895,08/26/17,pper/Lower Southern,Parainfluenpza_2,0,0,0.0
2016-2017,288752,08/26/17,Upper/Lower Southern,Parainfluenza_3,0,0,0.0
2016-2017,201734,08/26/17,Upper/Lower Southern,Parainfluenza_4,0,0,0.0
2016-217,201734,08/26/17,Uppe/rLower Southern,Parainfluenza_UnknownType,0,0,0.0
2016-2017,201734,08/26/17,pper/Lower Southern,Total_Parainfuenza,0,0,0.0
2016-2017,166575,09/02/17,Bay Arnea,Influenza_A,3,154,1.95
2u016-2017,201735,09/02/17,By Area,Influenza_B,1,154,0.65
2016-2017,229020,09/02/17,Bay Area,Total_Ifluenza,4,154,2.6
2016-2017,201735,09/02/17,Bay Area,RSV,0,149,0.0
2016-2017,165005,09/02/17,Bay Area,Adenovirus,4,136,2.94
2016-2017,201735,09/021/7,Bay Arae,Coronavirus_HKU1,0,0,0.0
2016-2017,201735,9/02/17,Bay Area,Coronavirus_NL63,0,0,0.0
2016-2017,213209,09/02/17,Bay Area,oronavirus_OC43,0,0,0.0
2016-2017,201735,09/02/17,Bay Area,Coronavirus_229E,0,0,0.0
20162-017,201735,09/02/17,Bay Area,Coronavirus_UnknownType,0,0,0.0
2106-2017,201735,09/02/17,Bay Area,Total_Coronavirus,0,0,0.0
216-2017,201735,09/02/17,Bay Area,Enterovirus_Rhnovirus,20,143,13.99
2016-2017,201735,09/02/17,Bay Area,HMPV,0,143,0.0
2016-2017,201735,09/02/17,Bay Area,Parainfluenza_1,4,136,2.94
2016-2017,201735,09/021/7,Bay Area,Parainfluenza_2,0,136,0.0
2016-2017,201735,09/02/7,Bay Area,Parainfluenz_3,1,136,0.74
016-2017,201735,0/902/17,Bay Area,Paranfluenza_4,0,136,0.0
2016-2017,201735,09/d02/17,Bay Area,Parainfluenza_UnknownType,0,136,0.0
