AGENCY CODE,STATE AGENCY,PROPERTY CLASSIFICATION,TYPE OF PROPERTY,NAME OF BUILDING,PHYSICAL ADDRESS,COUNTY,YEAR PROPERTY ACQUIRED,PURPOSE- BUILDING,SECTIONTOWNSHIPRANGE,SIZE OF STRUCTURE AND/OR ACRES,LIST VALUE,% OF PROPERTY BEING UTILIZED,YEAR BUILT,OCCUPANCY RATE OF THE BUILDING,VACANT SQUARE FOOTAGE,STATE EMPLOYEES AT THIS BUILDING,% OCCUPIED BY THE STATE,ADDITIONAL DESCRIPTION OF % OCCUPIED BY THE STATE,% OF THE BUILDING BEING LEASED OR SUBLEASED,ADDITIONAL DESCRIPTION % BUILDING LEASED OR SUBLEASED,"USAGE BY STATE: DAILY, WEEKLY, MONTHLY- BUILDING",ACRES,ACRES USED BY STATE,ADDITIONAL DESCRIPTION OF ACRES ,PURPOSE- LAND,"USAGE BY STATE: DAILY, WEEKLY, MONTHLY- LAND",% OF ACRES OF THE LAND BEING LEASED OR SUBLEASED,LISTED ON THE NATIONAL REGISTER OF HISTORIC PLACES,LISTED WITH THE NATIONAL TRUST FOR  HISTORIC PRESERVATION,PROPERTY IS OF POTENTIAL HISTORIC SIGNIFICANCE,Location 1
105,OCIA,OWNED,,,424 N 7TH STREET,KINGFISHER,2013,LAND,"SECTION 15, T16N, 7WIM",,"$205,900.00",0,,,,,0,,,,,,,,,,,,,,"424 N 7TH STREET
KINGFISHER, OK
(35.86437264400007, -97.93402417799996)"
530,OKLAHOMA PANHANDLE STATE UNIVERSITY,OWNED,ACADEMIC BUILDING,FRANKLIN HALL,227 COLLAGE STREET,TEXAS,1914,VACANT,"SECTION 35
TOWNSHIP 2
RANGE 13","17,280 SF","1,200,000",0,1914,0,,0,0,,,,,,,,,,,,,,"227 COLLAGE STREET
GOODWELL, OK
(36.591371405000075, -101.62930971399999)"
530,OKLAHOMA PANHANDLE STATE UNIVERSITY,OWNED,STORAGE BUILDING,NORTH HALL,314 W EAGLE BLVD,TEXAS,1923,VACANT/STORAGE,"SECTION 34
TOWNSHIP 2
RANGE 13","55,134  SF","1,600,000",10,1923,0,,0,10,,,,,,,,,,,,,,"314 W EAGLE BLVD
GOODWELL, OK
(36.595478153000045, -101.63747617199999)"
90,OMES,OWNED,ARMORY AND OFFICE ,23RD STREET ARMORY,200 NE 23RD & N WALNUT & NE 21ST ,OKLAHOMA,2010,FORMER MILITARY ARMORY,"SEC 27, T12, R3N","72,667 SF; 4 ACRES","REPLACEMENT VALUE 9,592,044",37,1939,37,42041,0,100,,37,DHS ,WEEKLY,,,,,,,,,YES,"200 NE 23RD &amp; N WALNUT &amp; NE 21ST
OKLAHOMA CITY, OK
(35.472030747000076, -97.52106835299998)"
90,OMES,OWNED,LAND,,NE 28TH AND CRESTON DR,OKLAHOMA,,,"SECTION 24                          TOWNSHIP 12N                        RANGE 3W, SW QTR",14.9 ACRES,,0,,,,0,,,,,,14.9,,VACANT,,,,,,,"NE 28TH AND CRESTON DR
OKLAHOMA CITY, OK
(35.49857179700007, -97.46928774599996)"
11,OSU-AGRICULTURE RESEARCH STATION,OWNED,SERVICES/SUPPORT BLDG,LINDLEY RESEARCH - PUMP HOUSE AT SHOP,,MCCURTAIN,2014,SERVICES--UTILITIES,,,,0,,,,,0,,,,,,,,,,,,,,"VALIANT, OK
(34.002280952000035, -95.09455877599999)"
11,OSU-AGRICULTURE RESEARCH STATION,OWNED,STORAGE BLDG,LINDLEY RESEARCH - STORAGE SHED,,MCCURTAIN,2014,ACADEMIC--STORAGE,,,,0,,,,,0,,,,,,,,,,,,,,"VALIANT, OK
(34.002280952000035, -95.09455877599999)"
13,OSU-INSTITUTE OF TECHNOLOGY OKMULGEE,OWNED,STORAGE BLDG,CIS STORAGE - OSU-IT ,1801 EAST 4TH STREET,OKMULGEE,,SERVICES--STORAGE/SCHEDULED FOR DEMO,,"5,884",,0,,,,,,,,,,,,,,,,,,,"1801 EAST 4TH STREET
OKMULGEE, OK
(35.62442785700006, -95.94393682299994)"
13,OSU-INSTITUTE OF TECHNOLOGY OKMULGEE,OWNED,STORAGE BUILDING,HOUSE AT KENNEDY & MISSION - OSU-IT ,,OKMULGEE,2014,SERVICES--STORAGE,,"2,841 SF",,0,1935,,,,100,,,,DAILY,,,,,,,,,,"OKMULGEE, OK
(35.62325274600005, -95.97584759999995)"
531,ROSE STATE COLLEGE      ,OWNED,LAND,,NE 10TH AND MIDWEST BLVD,OKLAHOMA,2012,VACANT LAND,"SECTION 26
TOWNSHIP 12N
RANGE 2 W I.M.",,"1,625,576",0,,,,,,,,,,37.85,,,EASEMENTS, VACANT LAND ,,,,,"NE 10TH AND MIDWEST BLVD
MIDWEST CITY, OK
(35.47860405900008, -97.38852667999998)"
531,ROSE STATE COLLEGE      ,OWNED,LAND,,NE 10TH AND MIDWEST BLVD,OKLAHOMA,2012,VACANT LAND,"SECTION 26
TOWNSHIP 12N
RANGE 2 W I.M.",,"371,770",0,,,,,,,,,,10.9,,,EASEMENTS, VACANT LAND ,,,,,"NE 10TH AND MIDWEST BLVD
MIDWEST CITY, OK
(35.47860405900008, -97.38852667999998)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,BUILDING,BUILDING 304,2ND STREET,WASHITA,2009,MANUFACTURING PLANT,,,,0,,,,,,,,,,,,,,,,,,,"2ND STREET
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,OFFICE BUILDING,BUILIDNG 302,2ND STREET,WASHITA,2009,OFFICE BUILDING,,"2,296 SF",,0,,,,,,,,,,,,,,,,,,,"2ND STREET
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,WAREHOUSE,BUILDING 804,AVENUE A,WASHITA,2006,WAREHOUSE,,"12,175SF",,0,,,,,,,,,,,,,,,,,,,"AVENUE A
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,STORAGE BUILDING,BUILDING 234,2ND STREET,WASHITA,2009,AIRCRAFT STORAGE,,"20,570 SF",,0,1955,,,,,,,,,,,,,,,,,,"2ND STREET
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,STORAGE BUILDING,BUILDING 233,2ND STREET,WASHITA,2009,AIRCRAFT STORAGE,,"32,670 SF",,0,1955,,,,,,,,,,,,,,,,,,"2ND STREET
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,HANGAR,BUILDING 232,2ND STREET,WASHITA,2009,AIRCRAFT STORAGE,,"20,570 SF",,0,1955,,,,,,,,,,,,,,,,,,"2ND STREET
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,STORAGE BUILDING,BUILDING 231/ HANGAR 231,2ND STREET,WASHITA,2009,AIRCRAFT STORAGE,,"20,537 SF",,0,1955,,,,,,,,,,,,,,,,,,"2ND STREET
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,HANGAR,HANGAR 117,2ND STREET,WASHITA,2009,,,"17,750 SF",,0,1955,,,,,,,,,,,,,,,,,,"2ND STREET
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,OFFICE BUILDING,BUILDING 231 A,2ND STREET,WASHITA,2009,OFFICE BUILDING,,"6,345 SF",,0,1978,,,,,,,,,,,,,,,,,,"2ND STREET
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,LAND,,GRASSY AREA SOUTH OF BUILDING 809 ACROSS RAILROAD TRACKS,WASHITA,2009,PARKING LOT,,,,0,,,,,,,,,,,,,,,,,,,"GRASSY AREA SOUTH OF BUILDING 809 ACROSS RAILROAD TRACKS
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,BUILDING,BUILDING 25,BUILDING 25,WASHITA,2009,VACANT,,"5,000 SF",,0,1960,,,,,,,,,,,,,,,,,,"BUILDING 25
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,OFFICE BUILDING,BUILDING 240,2ND STREET,WASHITA,2009,OFFICE BUILDING,,"11,741 SF",,0,1955,,,,,,,,,,,,,,,,,,"2ND STREET
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,STORAGE BUILDING,BUILDING 256,2ND STREET,WASHITA,2009,PARKING SPACE,,"5,484 SF",,0,,,,,,,,,,,,,,,,,,,"2ND STREET
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,SHOP BUILDING,BUILDING 257,2ND STREET,WASHITA,2009,SHOP BUILDING,,"3,000 SF",,0,,,,,,,,,,,,,,,,,,,"2ND STREET
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,BUILDING ,BUILDING 263,2ND STREET,WASHITA,2009,,,"17,087 SF",,0,,,,,,,,,,,,,,,,,,,"2ND STREET
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,BUILDING,BUILDING 291,2ND STREET,WASHITA,2009,VACANT,,,,0,,,,,,,,,,,,,,,,,,,"2ND STREET
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,BUILDING ,BUILDING 292,2ND STREET,WASHITA,2009,VACANT,,"2,100 SF",,0,,,,,,,,,,,,,,,,,,,"2ND STREET
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,SHOP BUILDING,BUILDING 327,2ND STREET,WASHITA,2009,"GARAGE, SHOP",,,,0,,,,,,,,,,,,,,,,,,,"2ND STREET
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,BUILDING ,BUILDING 405,2ND STREET,WASHITA,2009,,,,,0,,,,,,,,,,,,,,,,,,,"2ND STREET
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,BUILDING,BUILDING 720,2ND STREET,WASHITA,2009,,,,,0,,,,,,,,,,,,,,,,,,,"2ND STREET
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,WAREHOUSE,BUILDING 800,2ND STREET,WASHITA,2009,WAREHOUSE,,,,0,,,,,,,,,,,,,,,,,,,"2ND STREET
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,WAREHOUSE,BUILDING 803,AVENUE A,WASHITA,2006,WAREHOUSE,,"12,175 SF",,0,,,,,,,,,,,,,,,,,,,"AVENUE A
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,WAREHOUSE,BUILDING 807,AVENUE A,WASHITA,2006,WAREHOUSE,,"12,175 SF",,0,,,,,,,,,,,,,,,,,,,"AVENUE A
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,WAREHOUSE,BUILDING 808,AVENUE A,WASHITA,2006,WAREHOUSE,,"12,175 SF",,0,,,,,,,,,,,,,,,,,,,"AVENUE A
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,BUILDING ,BUILDING 836,2ND STREET,WASHITA,2009,,,"4,000 SF",,0,,,,,,,,,,,,,,,,,,,"2ND STREET
BURNS FLAT, OK
(35.363270053000065, -99.17023950399994)"
750,TULSA COMMUNITY COLLEGE,OWNED,ACADEMIC BUILDING,ALLIED HEALTH CLINIC MC,815 S CINCINNATI AVE,TULSA,1905,CLASSROOMS,"SECTION 12
TOWNSHIP 19N
RANGE 12E","5,600 SF","1,200,000",0,1925,0,,,0,,,, ,,,,,,,,,,"815 S CINCINNATI AVE
TULSA, OK
(36.148915602000045, -95.98585202699996)"
978,TURNPIKE AUTHORITY,OWNED,LAND,,WILL ROGERS TURNPIKE,ROGERS,1956,RIGHT-OF-WAY DECLARED AS SURPLUS ON 8/27/13,"S29, 31,32 T20N R15E",34.02 ACRES,"290,700",0,,,,,,,,,,34.02,,,,,,,,,"WILL ROGERS TURNPIKE
OK
(35.582685327000036, -97.50859803999998)"
825,UNIVERSITY HOSPITALS AUTHORITY,OWNED,OFFICE BUILDING,BIELSTEIN TOWER,940 NE 13TH ST,OKLAHOMA,1927,OFFICE SPACE,"SECTION 27
TOWNSHIP 12N
RANGE 3W SE QTR","184,783 SF",37.3 MILLION (ESTIMATED),10,1927,10,166305,25,10,,10,,DAILY,,,,,,,,,,"940 NE 13TH ST
OKLAHOMA CITY, OK
(35.45176321100007, -97.49502086999996)"
120,UNIVERSITY OF CENTRAL OKLAHOMA,OWNED,ACADEMIC BUILDING,OLD NORTH,"100 NORTH UNIVERSITY DRIVE EDMOND, OK 73034",OKLAHOMA,1893,OFFICE SPACE/CLASSROOMS,"SECTION: 25
TOWNSHIP: 14
RANGE: 03 WEST INDIAN MERIDIAN","35,821 SF","6,556,902.68",0,1893,,,  WAS 88  UNTIL CLOSED,100,,,,DAILY,,,,,,,YES,,YES,"100 NORTH UNIVERSITY DRIVE EDMOND, OK 73034
EDMOND, OK
(35.65591088700006, -97.47496467499997)"
120,UNIVERSITY OF CENTRAL OKLAHOMA,OWNED,LAND,,"825/829 AYERS  EDMOND, OK 73034",OKLAHOMA,2011,TWO VACANT LOTS FOR FUTURE USE,"SECTION: 25 
TOWNSHIP: 14N
RANGE: 3W",,"112,130",0,,,,,,,,,,0.4821,0.4821,,THIS LAND IS BEING HELD FOR FUTURE CAMPUS EXPANSION  CAN BE USED FOR TEMPORARY PARKING,,,,,,"825/829 AYERS EDMOND, OK 73034
EDMOND, OK
(35.65490200100004, -97.47812690699999)"
120,UNIVERSITY OF CENTRAL OKLAHOMA,LEASED,VACANT OFFICE BUILDING,ROBERTS BUILDING,"400 N. LITTLER, EDMOND, OK 73034",OKLAHOMA,2005,VACANT OFFICE BUILDING,"SECTION: 35
TOWNSHIP: 14N
RANGE: 3W"," 13,203 SF","550,000.00",50,1951,0,,7,,,,,MONTHLY,,,,,,,,,,"400 N. LITTLER, EDMOND, OK 73034
EDMOND, OK
(35.65938919200005, -97.47899866499995)"
150,UNIVERSITY OF SCIENCE AND ARTS,OWNED,RESIDENCE HALL,ADDAMS HALL,1875 WEST ALABAMA AVE,GRADY,1939,VACANT RESIDENCE HALL,"SECTION 32
TOWNSHIP 7N
RANGE 7W","22,236 SF","200,000",0,1939,,22236,0,0,,,,,,,,,,,YES,,,"1875 WEST ALABAMA AVE
CHICKASHA, OK
(35.03366968600005, -97.95695533899999)"
150,UNIVERSITY OF SCIENCE AND ARTS,OWNED,RESIDENCE HALL,ROBERTSON HALL,1875 S. 17TH,GRADY,1935,VACANT RESIDENCE HALL,"SECTION 32
TOWNSHIP 7N
RANGE 7W","12,354 SF","200,000",0,1935,0,12354,0,0,,,,,,,,,,,YES,,,"1875 S. 17TH
CHICKASHA, OK
(35.030764919000035, -97.95472863999998)"
150,UNIVERSITY OF SCIENCE AND ARTS,OWNED,RESIDENCE HALL,WILLARD HALL,1876 S. 17TH,GRADY,1919,VACANT RESIDENCE HALL,"SECTION 32
TOWNSHIP 7N
RANGE 7W","36,324 SF","2,000,000",0,1919,,36324,0,0,,,,,,,,,,,YES,,,"1876 S. 17TH
CHICKASHA, OK
(35.030764919000035, -97.95472863999998)"
650,VETERANS AFFAIRS,OWNED,OLD HOSPITAL,OKLAHOMA VETERANS CENTER- TALIHINA DIVISION,10014 SE 1138TH AVENUE,LATIMER,1976,STORAGE SPACE,"SECTION 33
TOWNSHIP 4 N
RANGE 21 E","29,480 SF",,50,1940,,,,100,,,,DAILY,,,,,,,,,,"10014 SE 1138TH AVENUE
TALIHINA, OK
(34.76675366100005, -95.08116021499995)"
650,VETERANS AFFAIRS,OWNED,CHILDREN'S HOSPITAL,OKLAHOMA VETERANS CENTER- TALIHINA DIVISION-HARPER BUILDING,10014 SE 1138TH AVENUE,LATIMER,,VACANT,"SECTION 33
TOWNSHIP 4 N
RANGE 21 E",,,0,1930,0,,,0,,,,,,,,,,,,,,"10014 SE 1138TH AVENUE
TALIHINA, OK
(34.76675366100005, -95.08116021499995)"
650,VETERANS AFFAIRS,OWNED,LAND,,10014 SE 1138TH AVENUE,LATIMER,,VACANT,,600ACRES (MOL),,0,,,,,,,,,,600,,,VACANT LAND,,,,,,"10014 SE 1138TH AVENUE
TALIHINA, OK
(34.76675366100005, -95.08116021499995)"
650,VETERANS AFFAIRS,OWNED,NURSES HOUSING,OKLAHOMA VETERANS CENTER- TALIHINA DIVISION-NUSES HALL,10014 SE 1138TH AVENUE,LATIMER,,VACANT,"SECTION 33
TOWNSHIP 4 N
RANGE 21 E",,,0,1926,0,,,0,,,,,,,,,,,,,,"10014 SE 1138TH AVENUE
TALIHINA, OK
(34.76675366100005, -95.08116021499995)"
