AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
7577,POLICE OFFICER                     ,M,W ,40 - 49,40,MAJOR CASE UNIT                                        ,FEDERAL TASK FORCES                                    ,16,914
7578,POLICE SERGEANT                    ,M,W ,40 - 49,48,TRAFFIC                                                ,2ND PLATOON                                            ,16,915
7579,POLICE OFFICER                     ,M,B ,50 - 59,53,PROPERTY ROOM SECTION                                  ,STAFF                                                  ,16,916
7581,POLICE OFFICER                     ,F,W ,50 - 59,50,4TH DIVISION                                           ,DETECTIVES 1                                           ,16,917
7582,DEPUTY POLICE CHIEF                ,M,B ,30 - 39,39,CHIEF`S STAFF                                          ,STAFF                                                  ,16,918
7583,POLICE LIEUTENANT                  ,M,W ,50 - 59,52,COMMUNITY EVENTS UNIT                                  ,STAFF                                                  ,16,919
7584,POLICE OFFICER                     ,M,B ,40 - 49,42,2ND DIVISION                                           ,DETECTIVES                                             ,16,920
7585,POLICE OFFICER                     ,M,W ,40 - 49,43,3RD DIVISION                                           ,1ST PLATOON                                            ,16,921
7586,POLICE SERGEANT                    ,M,W ,40 - 49,40,CIS HOMICIDE                                           ,STAFF                                                  ,16,922
7587,POLICE OFFICER                     ,M,W ,40 - 49,49,6TH DIVISION                                           ,3RD PLATOON                                            ,16,923
7588,POLICE OFFICER                     ,M,A ,50 - 59,53,TRAINING                                               ,RECRUITING AND SELECTION                               ,16,924
7589,POLICE OFFICER                     ,F,W ,30 - 39,39,TRAINING                                               ,STAFF                                                  ,16,925
7590,POLICE OFFICER                     ,M,W ,40 - 49,48,CIS ROBBERY                                            ,2ND PLATOON                                            ,16,926
7591,POLICE SERGEANT                    ,M,W ,40 - 49,40,WELLNESS UNIT                                          ,STAFF                                                  ,16,927
7592,POLICE OFFICER                     ,M,W ,40 - 49,45,4TH DIVISION                                           ,DETECTIVES                                             ,16,928
7594,POLICE OFFICER                     ,M,W ,40 - 49,41,6TH DIVISION                                           ,DETECTIVES                                             ,16,929
7595,POLICE OFFICER                     ,F,W ,40 - 49,45,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,16,930
7596,POLICE LIEUTENANT                  ,M,W ,40 - 49,49,CRIMINAL INTERDICTION                                  ,STAFF                                                  ,16,931
7598,POLICE OFFICER                     ,M,W ,40 - 49,48,CIS ROBBERY                                            ,2ND PLATOON                                            ,16,932
7599,POLICE SERGEANT                    ,M,W ,50 - 59,50,PERFORMANCE DIVISION                                   ,STAFF                                                  ,16,933
7600,POLICE OFFICER                     ,F,W ,40 - 49,40,MAJOR CRIME DIVISION                                   ,FUGITIVE APPREHENSION SQUAD                            ,16,934
7602,POLICE LIEUTENANT                  ,M,W ,40 - 49,41,ADMINISTRATIVE BUREAU                                  ,STAFF                                                  ,16,935
7603,POLICE OFFICER                     ,M,B ,40 - 49,42,4TH DIVISION                                           ,SUPPORT PLATOON                                        ,16,936
7604,POLICE OFFICER                     ,M,W ,40 - 49,40,2ND DIVISION                                           ,3RD PLATOON                                            ,16,937
7605,POLICE OFFICER                     ,M,W ,40 - 49,48,5TH DIVISION                                           ,RECRUITS                                               ,16,938
7606,POLICE OFFICER                     ,M,W ,40 - 49,40,7TH DIVISION                                           ,1ST PLATOON                                            ,16,939
7607,POLICE OFFICER                     ,M,W ,40 - 49,41,4TH DIVISION                                           ,3RD PLATOON                                            ,16,940
7608,POLICE OFFICER                     ,M,W ,40 - 49,41,TRAINING                                               ,BASIC ACADEMY                                          ,16,941
7609,POLICE MAJOR                       ,M,W ,40 - 49,42,TRAINING                                               ,STAFF                                                  ,16,942
7611,POLICE OFFICER                     ,M,W ,50 - 59,54,VIOLENT CRIME UNIT                                     ,SQUAD 1                                                ,16,943
7612,POLICE OFFICER                     ,F,B ,30 - 39,38,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,14,944
7614,POLICE OFFICER                     ,M,H ,40 - 49,43,FOCUSED INTELLIGENCE UNIT                              ,MAJOR CASE SQUAD                                       ,16,945
7615,POLICE OFFICER                     ,M,W ,40 - 49,40,8TH DIVISION                                           ,1ST PLATOON                                            ,16,946
7616,POLICE OFFICER                     ,M,W ,40 - 49,41,FOCUSED INTELLIGENCE UNIT                              ,MAJOR CASE SQUAD                                       ,16,947
7617,POLICE OFFICER                     ,M,W ,40 - 49,41,9TH DIVISION                                           ,STAFF                                                  ,16,948
7618,POLICE LIEUTENANT                  ,M,W ,40 - 49,49,TRAINING                                               ,BASIC ACADEMY                                          ,16,949
7619,POLICE OFFICER                     ,M,B ,40 - 49,49,4TH DIVISION                                           ,1ST PLATOON                                            ,16,950
7620,POLICE OFFICER                     ,M,B ,30 - 39,38,1ST DIVISION                                           ,BIKE PLATOON                                           ,16,951
7621,POLICE OFFICER                     ,M,W ,40 - 49,40,VIOLENT CRIME UNIT                                     ,SQUAD 2                                                ,16,952
7622,POLICE OFFICER                     ,M,W ,50 - 59,52,8TH DIVISION                                           ,RESOURCE OFFICERS                                      ,16,953
7623,POLICE OFFICER                     ,M,W ,50 - 59,50,9TH DIVISION                                           ,SQUAD 3                                                ,16,954
7624,POLICE OFFICER                     ,M,B ,OVER 60,63,2ND DIVISION                                           ,3RD PLATOON                                            ,16,955
7626,POLICE SERGEANT                    ,M,B ,40 - 49,43,1ST DIVISION                                           ,BIKE PLATOON                                           ,16,956
7627,POLICE OFFICER                     ,M,W ,40 - 49,40,VIOLENT CRIME UNIT                                     ,PLACE BASED INVESTIGATIONS                             ,16,957
7628,POLICE OFFICER                     ,M,W ,30 - 39,39,TRAFFIC                                                ,1ST PLATOON                                            ,16,958
7631,POLICE OFFICER                     ,M,W ,50 - 59,52,8TH DIVISION                                           ,1ST PLATOON                                            ,16,959
7632,POLICE OFFICER                     ,M,W ,40 - 49,45,5TH DIVISION                                           ,1ST PLATOON                                            ,16,960
7633,POLICE OFFICER                     ,M,W ,40 - 49,41,8TH DIVISION                                           ,2ND PLATOON                                            ,16,961
7634,POLICE SERGEANT                    ,M,W ,40 - 49,43,5TH DIVISION                                           ,2ND PLATOON                                            ,16,962
7635,POLICE LIEUTENANT                  ,M,W ,40 - 49,45,CRIMINAL INTERDICTION                                  ,STAFF                                                  ,16,963
7636,POLICE SERGEANT                    ,M,W ,40 - 49,40,CIS ROBBERY                                            ,2ND PLATOON                                            ,16,964
7637,POLICE OFFICER                     ,M,W ,40 - 49,43,PROPERTY ROOM SECTION                                  ,EVIDENCE TECH TEAM                                     ,16,965
7638,POLICE LIEUTENANT                  ,M,W ,30 - 39,39,4TH DIVISION                                           ,STAFF                                                  ,16,966
7640,POLICE OFFICER                     ,M,W ,40 - 49,43,AIR PATROL                                             ,STAFF                                                  ,16,967
7641,POLICE SERGEANT                    ,M,W ,40 - 49,43,MOUNTED PATROL                                         ,STAFF                                                  ,16,968
7642,POLICE SERGEANT                    ,M,W ,40 - 49,42,7TH DIVISION                                           ,1ST PLATOON                                            ,16,969
7643,POLICE OFFICER                     ,M,W ,40 - 49,41,MAJOR CRIME DIVISION                                   ,FUGITIVE APPREHENSION SQUAD                            ,16,970
7644,POLICE OFFICER                     ,M,W ,40 - 49,42,MAJOR CASE UNIT                                        ,INTERDICTION SQUAD                                     ,16,971
7645,POLICE SERGEANT                    ,M,W ,40 - 49,44,3RD DIVISION                                           ,1ST PLATOON                                            ,16,972
7646,POLICE MAJOR                       ,F,W ,30 - 39,39,ADMINISTRATIVE SERVICES DIVISION                       ,STAFF                                                  ,16,973
7647,POLICE OFFICER                     ,M,W ,50 - 59,53,4TH DIVISION                                           ,STAFF                                                  ,16,974
7648,POLICE OFFICER                     ,M,W ,40 - 49,40,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,16,975
7649,POLICE OFFICER                     ,M,W ,50 - 59,50,3RD DIVISION                                           ,2ND PLATOON                                            ,16,976
7650,POLICE SERGEANT                    ,M,W ,40 - 49,42,4TH DIVISION                                           ,DETECTIVES                                             ,16,977
7651,POLICE SERGEANT                    ,M,W ,40 - 49,45,2ND DIVISION                                           ,1ST PLATOON                                            ,16,978
7652,POLICE SERGEANT                    ,M,W ,40 - 49,41,6TH DIVISION                                           ,1ST PLATOON                                            ,15,979
7653,POLICE OFFICER                     ,F,W ,30 - 39,38,1ST DIVISION                                           ,2ND PLATOON                                            ,15,980
7655,POLICE SERGEANT                    ,M,W ,40 - 49,46,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,15,981
7656,POLICE OFFICER                     ,F,W ,30 - 39,38,2ND DIVISION                                           ,1ST PLATOON                                            ,15,982
7657,POLICE OFFICER                     ,M,B ,40 - 49,44,1ST DIVISION                                           ,2ND PLATOON                                            ,15,983
7659,POLICE OFFICER                     ,M,W ,40 - 49,40,COMPLAINT RESPONSE UNIT                                ,SQUAD 1                                                ,15,984
7660,POLICE SERGEANT                    ,M,W ,40 - 49,40,CHIEF`S STAFF                                          ,STAFF                                                  ,15,985
7661,POLICE SERGEANT                    ,M,W ,30 - 39,39,8TH DIVISION                                           ,1ST PLATOON                                            ,15,986
7662,POLICE SERGEANT                    ,M,W ,50 - 59,53,CIS HOMICIDE                                           ,SQUAD 1                                                ,15,987
7663,POLICE OFFICER                     ,M,W ,50 - 59,56,CRIMINAL INTERDICTION                                  ,STAFF                                                  ,15,988
7664,POLICE OFFICER                     ,M,W ,40 - 49,45,SWAT UNIT                                              ,SQUAD 2                                                ,15,989
7665,POLICE LIEUTENANT                  ,M,W ,50 - 59,54,5TH DIVISION                                           ,STAFF                                                  ,15,990
7666,POLICE SERGEANT                    ,F,W ,30 - 39,38,COMMUNITY EVENTS UNIT                                  ,STAFF                                                  ,15,991
7667,POLICE OFFICER                     ,M,W ,OVER 60,60,4TH DIVISION                                           ,1ST PLATOON                                            ,15,992
7668,POLICE OFFICER                     ,M,W ,40 - 49,40,MAJOR CASE UNIT                                        ,INTERDICTION SQUAD                                     ,15,993
7669,POLICE OFFICER                     ,M,W ,40 - 49,43,7TH DIVISION                                           ,1ST PLATOON                                            ,15,994
7670,POLICE SERGEANT                    ,M,A ,40 - 49,40,7TH DIVISION                                           ,1ST PLATOON                                            ,15,995
7671,POLICE LIEUTENANT                  ,M,A ,40 - 49,41,TRAINING                                               ,FIREARMS TRAINING UNIT                                 ,15,996
7673,POLICE SERGEANT                    ,M,H ,50 - 59,50,5TH DIVISION                                           ,1ST PLATOON                                            ,15,997
7674,POLICE OFFICER                     ,M,W ,OVER 60,63,1ST DIVISION                                           ,1ST PLATOON                                            ,15,998
2559,POLICE OFFICER                     ,M,W ,OVER 60,70,5TH DIVISION                                           ,3RD PLATOON                                            ,16,999
7035,POLICE OFFICER                     ,M,W ,30 - 39,38,SUPPORT UNIT                                           ,SCRIPT TEAM                                            ,11,1000
7723,POLICE LIEUTENANT                  ,M,W ,30 - 39,38,2ND DIVISION                                           ,STAFF                                                  ,14,1001
7704,POLICE MAJOR                       ,F,W ,40 - 49,43,SPECIAL OPERATIONS                                     ,STAFF                                                  ,15,1002
7716,POLICE SERGEANT                    ,M,W ,40 - 49,46,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,14,1003
7721,POLICE OFFICER                     ,M,B ,40 - 49,40,4TH DIVISION                                           ,STAFF                                                  ,14,1004
7703,POLICE OFFICER                     ,M,W ,30 - 39,38,8TH DIVISION                                           ,1ST PLATOON                                            ,15,1005
7694,POLICE SERGEANT                    ,F,W ,50 - 59,50,CIS SPECIAL VICTIMS                                    ,STAFF                                                  ,15,1006
7687,POLICE RECRUIT                     ,F,W ,40 - 49,48,TRAINING                                               ,RECRUITS                                               ,,1007
7677,POLICE OFFICER                     ,M,W ,30 - 39,38,7TH DIVISION                                           ,2ND PLATOON                                            ,15,1008
7690,POLICE OFFICER                     ,M,W ,50 - 59,53,3RD DIVISION                                           ,DETECTIVES                                             ,15,1009
7682,POLICE OFFICER                     ,M,W ,40 - 49,44,5TH DIVISION                                           ,1ST PLATOON                                            ,15,1010
7697,POLICE OFFICER                     ,F,W ,40 - 49,40,7TH DIVISION                                           ,1ST PLATOON                                            ,15,1011
7696,POLICE OFFICER                     ,F,W ,30 - 39,39,MAJOR CRIME DIVISION                                   ,STAFF                                                  ,15,1012
7679,POLICE LIEUTENANT                  ,M,W ,40 - 49,43,1ST DIVISION                                           ,STAFF                                                  ,15,1013
7684,POLICE SERGEANT                    ,M,W ,40 - 49,48,3RD DIVISION                                           ,1ST PLATOON                                            ,15,1014
7689,POLICE SERGEANT                    ,M,W ,50 - 59,56,CIS FORENSIC INVESTIGATIONS                            ,STAFF                                                  ,15,1015
7692,POLICE SERGEANT                    ,M,W ,40 - 49,41,6TH DIVISION                                           ,DETECTIVES                                             ,15,1016
7700,POLICE OFFICER                     ,M,B ,40 - 49,49,1ST DIVISION                                           ,BIKE PLATOON                                           ,15,1017
7685,POLICE SERGEANT                    ,M,W ,50 - 59,51,3RD DIVISION                                           ,1ST PLATOON                                            ,15,1018
7702,POLICE OFFICER                     ,M,W ,30 - 39,38,CANINE UNIT                                            ,3RD PLATOON                                            ,15,1019
7698,POLICE OFFICER                     ,M,W ,30 - 39,39,7TH DIVISION                                           ,1ST PLATOON                                            ,15,1020
7693,POLICE OFFICER                     ,M,W ,40 - 49,43,CIS ROBBERY                                            ,2ND PLATOON                                            ,15,1021
7699,POLICE SERGEANT                    ,M,W ,40 - 49,42,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,15,1022
7686,POLICE OFFICER                     ,M,W ,40 - 49,40,4TH DIVISION                                           ,DETECTIVES                                             ,12,1023
7695,POLICE OFFICER                     ,M,W ,40 - 49,40,2ND DIVISION                                           ,DETECTIVES                                             ,15,1024
7691,POLICE OFFICER                     ,M,W ,40 - 49,42,CANINE UNIT                                            ,3RD PLATOON                                            ,15,1025
7688,POLICE OFFICER                     ,M,W ,40 - 49,42,3RD DIVISION                                           ,DETECTIVES                                             ,15,1026
7683,POLICE SERGEANT                    ,M,W ,40 - 49,41,TRAINING                                               ,SPECIAL PROJECTS UNIT                                  ,15,1027
7678,POLICE SERGEANT                    ,M,B ,50 - 59,54,8TH DIVISION                                           ,1ST PLATOON                                            ,15,1028
7676,POLICE OFFICER                     ,M,H ,50 - 59,54,VIOLENT CRIME UNIT                                     ,SQUAD 2                                                ,15,1029
7705,POLICE SERGEANT                    ,M,W ,40 - 49,41,TRAINING                                               ,FIREARMS TRAINING UNIT                                 ,15,1030
7713,POLICE OFFICER                     ,M,W ,40 - 49,40,8TH DIVISION                                           ,DETECTIVES                                             ,14,1031
7707,POLICE OFFICER                     ,M,W ,50 - 59,57,MAJOR CRIME DIVISION                                   ,STAFF                                                  ,14,1032
7715,POLICE LIEUTENANT                  ,M,W ,30 - 39,38,ADMINISTRATIVE BUREAU                                  ,STAFF                                                  ,14,1033
7712,POLICE OFFICER                     ,M,W ,40 - 49,42,CIS ROBBERY                                            ,2ND PLATOON                                            ,14,1034
7709,POLICE OFFICER                     ,M,H ,50 - 59,59,3RD DIVISION                                           ,2ND PLATOON                                            ,14,1035
7706,POLICE SERGEANT                    ,M,W ,30 - 39,38,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,14,1036
7752,POLICE OFFICER                     ,M,B ,30 - 39,36,CHIEF`S STAFF                                          ,STAFF                                                  ,14,1037
7727,POLICE LIEUTENANT                  ,M,W ,40 - 49,44,6TH DIVISION                                           ,STAFF                                                  ,14,1038
7730,POLICE OFFICER                     ,M,W ,40 - 49,44,7TH DIVISION                                           ,1ST PLATOON                                            ,14,1039
7724,POLICE SERGEANT                    ,M,W ,40 - 49,47,CHIEF`S STAFF                                          ,STAFF                                                  ,14,1040
7720,POLICE OFFICER                     ,M,W ,40 - 49,44,TRAFFIC                                                ,1ST PLATOON                                            ,14,1041
7718,POLICE OFFICER                     ,M,W ,50 - 59,54,1ST DIVISION                                           ,3RD PLATOON                                            ,14,1042
7728,POLICE SERGEANT                    ,M,W ,30 - 39,38,MAJOR CASE UNIT                                        ,INTERDICTION SQUAD                                     ,14,1043
7726,POLICE SERGEANT                    ,M,W ,30 - 39,39,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,14,1044
7725,POLICE SERGEANT                    ,F,W ,40 - 49,41,CANINE UNIT                                            ,STAFF                                                  ,14,1045
7719,POLICE OFFICER                     ,M,W ,30 - 39,38,TRAINING                                               ,FIREARMS TRAINING UNIT                                 ,14,1046
7722,POLICE OFFICER                     ,M,W ,30 - 39,38,6TH DIVISION                                           ,DETECTIVES                                             ,14,1047
7738,POLICE OFFICER                     ,M,W ,30 - 39,39,TRAINING                                               ,BASIC ACADEMY                                          ,14,1048
7735,POLICE OFFICER                     ,M,W ,40 - 49,40,7TH DIVISION                                           ,2ND PLATOON                                            ,14,1049
7742,POLICE SERGEANT                    ,M,W ,30 - 39,38,SUPPORT UNIT                                           ,SCRIPT TEAM                                            ,14,1050
7739,POLICE OFFICER                     ,M,W ,40 - 49,45,6TH DIVISION                                           ,1ST PLATOON                                            ,14,1051
7751,POLICE OFFICER                     ,M,W ,50 - 59,54,TRAFFIC                                                ,2ND PLATOON                                            ,14,1052
7741,POLICE OFFICER                     ,M,W ,50 - 59,51,8TH DIVISION                                           ,STAFF                                                  ,14,1053
7748,POLICE OFFICER                     ,M,W ,40 - 49,41,MAJOR CASE UNIT                                        ,MAJOR CASE SQUAD                                       ,14,1054
7733,POLICE MAJOR                       ,M,W ,30 - 39,38,CRIMINAL INTERDICTION                                  ,STAFF                                                  ,14,1055
7746,POLICE SERGEANT                    ,M,W ,40 - 49,40,TRAFFIC                                                ,3RD PLATOON                                            ,14,1056
7736,POLICE OFFICER                     ,M,W ,40 - 49,41,TRAINING                                               ,BASIC ACADEMY                                          ,14,1057
7732,POLICE OFFICER                     ,M,W ,40 - 49,43,CANINE UNIT                                            ,3RD PLATOON                                            ,14,1058
7740,POLICE OFFICER                     ,M,W ,40 - 49,42,5TH DIVISION                                           ,1ST PLATOON                                            ,14,1059
7745,POLICE LIEUTENANT                  ,M,W ,30 - 39,38,8TH DIVISION                                           ,STAFF                                                  ,14,1060
7744,POLICE SERGEANT                    ,M,W ,40 - 49,40,MAJOR CRIME DIVISION                                   ,STAFF                                                  ,14,1061
7749,POLICE SERGEANT                    ,M,B ,40 - 49,46,6TH DIVISION                                           ,2ND PLATOON                                            ,14,1062
7734,POLICE SERGEANT                    ,M,W ,30 - 39,37,2ND DIVISION                                           ,STAFF                                                  ,14,1063
7737,POLICE OFFICER                     ,M,W ,30 - 39,38,FOCUSED INTELLIGENCE UNIT                              ,MAJOR CASE SQUAD                                       ,14,1064
7750,POLICE SERGEANT                    ,M,W ,40 - 49,41,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,14,1065
7018,POLICE OFFICER                     ,M,W ,30 - 39,33,8TH DIVISION                                           ,2ND PLATOON                                            ,11,1066
7753,POLICE OFFICER                     ,M,B ,40 - 49,48,4TH DIVISION                                           ,2ND PLATOON                                            ,14,1067
7763,POLICE OFFICER                     ,M,W ,50 - 59,50,1ST DIVISION                                           ,3RD PLATOON                                            ,14,1068
7757,POLICE OFFICER                     ,M,W ,40 - 49,45,SCHOOL RESOURCE OFFICERS                               ,STAFF                                                  ,14,1069
7758,POLICE LIEUTENANT                  ,M,W ,40 - 49,43,PATROL BUREAU                                          ,STAFF                                                  ,14,1070
7754,POLICE OFFICER                     ,M,W ,30 - 39,38,MAJOR CASE UNIT                                        ,MAJOR CASE SQUAD                                       ,14,1071
7762,POLICE OFFICER                     ,M,W ,50 - 59,51,2ND DIVISION                                           ,1ST PLATOON                                            ,14,1072
7764,POLICE OFFICER                     ,M,W ,40 - 49,42,TRAFFIC                                                ,2ND PLATOON                                            ,14,1073
7756,POLICE OFFICER                     ,M,W ,40 - 49,48,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,14,1074
7761,POLICE OFFICER                     ,M,W ,40 - 49,48,7TH DIVISION                                           ,2ND PLATOON                                            ,12,1075
7755,POLICE OFFICER                     ,M,W ,40 - 49,42,7TH DIVISION                                           ,1ST PLATOON                                            ,14,1076
7759,POLICE OFFICER                     ,M,W ,50 - 59,52,COMMUNITY POLICING UNIT                                ,STAFF                                                  ,14,1077
7765,POLICE OFFICER                     ,M,W ,40 - 49,45,8TH DIVISION                                           ,1ST PLATOON                                            ,14,1078
7766,POLICE OFFICER                     ,M,W ,30 - 39,39,3RD DIVISION                                           ,3RD PLATOON                                            ,14,1079
7782,POLICE OFFICER                     ,M,W ,50 - 59,59,7TH DIVISION                                           ,DETECTIVES                                             ,14,1080
7778,POLICE OFFICER                     ,M,W ,40 - 49,42,8TH DIVISION                                           ,2ND PLATOON                                            ,14,1081
7773,POLICE RECRUIT                     ,M,W ,40 - 49,42,TRAINING                                               ,RECRUITS                                               ,,1082
7775,POLICE OFFICER                     ,M,W ,40 - 49,43,6TH DIVISION                                           ,3RD PLATOON                                            ,14,1083
7781,POLICE OFFICER                     ,M,W ,30 - 39,39,2ND DIVISION                                           ,3RD PLATOON                                            ,14,1084
7783,POLICE OFFICER                     ,M,W ,30 - 39,38,3RD DIVISION                                           ,STAFF                                                  ,14,1085
7789,POLICE OFFICER                     ,M,A ,40 - 49,48,CIS HOMICIDE                                           ,SQUAD 2                                                ,14,1086
7780,POLICE OFFICER                     ,M,W ,30 - 39,36,2ND DIVISION                                           ,STAFF                                                  ,14,1087
7796,POLICE LIEUTENANT                  ,M,W ,30 - 39,37,2ND DIVISION                                           ,1ST PLATOON                                            ,14,1088
7791,POLICE LIEUTENANT                  ,M,W ,40 - 49,43,SWAT UNIT                                              ,SQUAD 1                                                ,14,1089
7787,POLICE SERGEANT                    ,M,W ,40 - 49,40,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,14,1090
7793,POLICE OFFICER                     ,M,W ,40 - 49,42,5TH DIVISION                                           ,1ST PLATOON                                            ,14,1091
7807,POLICE SERGEANT                    ,M,B ,40 - 49,48,2ND DIVISION                                           ,2ND PLATOON                                            ,14,1092
7797,POLICE OFFICER                     ,M,W ,30 - 39,36,1ST DIVISION                                           ,BIKE PLATOON                                           ,14,1093
7767,POLICE OFFICER                     ,M,W ,40 - 49,40,1ST DIVISION                                           ,3RD PLATOON                                            ,14,1094
7769,POLICE SERGEANT                    ,M,W ,30 - 39,37,PROPERTY ROOM SECTION                                  ,STAFF                                                  ,14,1095
7792,POLICE OFFICER                     ,M,W ,50 - 59,52,TRAINING                                               ,FIREARMS TRAINING UNIT                                 ,14,1096
7770,POLICE SERGEANT                    ,M,W ,40 - 49,40,COURT LIAISON OFFICE                                   ,STAFF                                                  ,14,1097
7801,POLICE OFFICER                     ,M,W ,40 - 49,46,TECHNICAL SERVICES                                     ,TECHNICAL SERVICES                                     ,14,1098
7771,POLICE OFFICER                     ,M,W ,40 - 49,43,CIS HOMICIDE                                           ,2ND PLATOON                                            ,14,1099
7772,POLICE OFFICER                     ,M,W ,40 - 49,43,TRAFFIC                                                ,1ST PLATOON                                            ,14,1100
7774,POLICE OFFICER                     ,F,W ,30 - 39,38,POLICE HUMAN RESOURCES                                 ,STAFF                                                  ,14,1101
7794,POLICE RECRUIT                     ,M,W ,30 - 39,39,TRAINING                                               ,RECRUITS                                               ,,1102
7776,POLICE RECRUIT                     ,M,W ,50 - 59,58,TRAINING                                               ,RECRUITS                                               ,,1103
7779,POLICE OFFICER                     ,M,W ,30 - 39,37,CIS HOMICIDE                                           ,3RD PLATOON                                            ,14,1104
7803,POLICE SERGEANT                    ,M,W ,40 - 49,44,8TH DIVISION                                           ,1ST PLATOON                                            ,14,1105
7802,POLICE OFFICER                     ,M,W ,30 - 39,37,8TH DIVISION                                           ,1ST PLATOON                                            ,14,1106
7790,POLICE SERGEANT                    ,M,W ,50 - 59,50,COURT LIAISON OFFICE                                   ,STAFF                                                  ,14,1107
7795,POLICE OFFICER                     ,M,W ,30 - 39,38,7TH DIVISION                                           ,1ST PLATOON                                            ,14,1108
7786,POLICE SERGEANT                    ,M,W ,40 - 49,44,8TH DIVISION                                           ,2ND PLATOON                                            ,14,1109
7806,POLICE OFFICER                     ,M,W ,40 - 49,49,CHIEF`S STAFF                                          ,STAFF                                                  ,14,1110
7809,POLICE MAJOR                       ,F,W ,30 - 39,37,1ST DIVISION                                           ,STAFF                                                  ,14,1111
7805,POLICE OFFICER                     ,F,W ,40 - 49,40,1ST DIVISION                                           ,1ST PLATOON                                            ,14,1112
7810,POLICE OFFICER                     ,M,W ,40 - 49,46,1ST DIVISION                                           ,DETECTIVES                                             ,14,1113
7808,POLICE OFFICER                     ,M,W ,40 - 49,49,MOUNTED PATROL                                         ,STAFF                                                  ,9,1114
7799,POLICE OFFICER                     ,M,W ,50 - 59,56,7TH DIVISION                                           ,1ST PLATOON                                            ,14,1115
7785,POLICE SERGEANT                    ,M,B ,50 - 59,55,5TH DIVISION                                           ,1ST PLATOON                                            ,14,1116
7804,POLICE SERGEANT                    ,M,W ,30 - 39,38,7TH DIVISION                                           ,1ST PLATOON                                            ,14,1117
7812,POLICE OFFICER                     ,M,W ,40 - 49,40,7TH DIVISION                                           ,1ST PLATOON                                            ,14,1118
7784,POLICE SERGEANT                    ,M,W ,30 - 39,37,PERFORMANCE DIVISION                                   ,STAFF                                                  ,14,1119
7813,POLICE OFFICER                     ,M,W ,40 - 49,46,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,14,1120
7840,POLICE OFFICER                     ,M,W ,40 - 49,49,TRAFFIC                                                ,2ND PLATOON                                            ,13,1121
7814,POLICE SERGEANT                    ,M,W ,30 - 39,38,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,13,1122
7815,POLICE OFFICER                     ,M,W ,40 - 49,42,CIS HOMICIDE                                           ,SQUAD 4                                                ,13,1123
7817,POLICE OFFICER                     ,M,W ,30 - 39,39,3RD DIVISION                                           ,1ST PLATOON                                            ,13,1124
7818,POLICE OFFICER                     ,M,W ,40 - 49,49,2ND DIVISION                                           ,DETECTIVES                                             ,13,1125
7837,POLICE OFFICER                     ,M,B ,40 - 49,47,VEHICLE IMPOUNDMENT                                    ,STAFF                                                  ,13,1126
7819,POLICE OFFICER                     ,M,W ,40 - 49,41,6TH DIVISION                                           ,DETECTIVES                                             ,13,1127
7820,POLICE SERGEANT                    ,M,W ,30 - 39,35,SWAT UNIT                                              ,SQUAD 1                                                ,13,1128
7821,POLICE SERGEANT                    ,M,W ,30 - 39,37,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,13,1129
7822,POLICE OFFICER                     ,M,W ,30 - 39,38,SWAT UNIT                                              ,SQUAD 2                                                ,13,1130
7823,POLICE OFFICER                     ,M,W ,40 - 49,40,1ST DIVISION                                           ,1ST PLATOON                                            ,13,1131
7824,POLICE OFFICER                     ,M,W ,40 - 49,43,AIR PATROL                                             ,STAFF                                                  ,13,1132
7825,POLICE RECRUIT                     ,M,W ,50 - 59,52,TRAINING                                               ,RECRUITS                                               ,,1133
7826,POLICE SERGEANT                    ,M,W ,40 - 49,41,CIS HOMICIDE                                           ,SQUAD 3                                                ,13,1134
7827,POLICE OFFICER                     ,M,W ,40 - 49,47,7TH DIVISION                                           ,2ND PLATOON                                            ,13,1135
7828,POLICE SERGEANT                    ,M,W ,40 - 49,40,6TH DIVISION                                           ,2ND PLATOON                                            ,13,1136
7849,POLICE OFFICER                     ,M,W ,40 - 49,46,NARCOTICS                                              ,MAJOR CASE SQUAD                                       ,13,1137
7848,POLICE OFFICER                     ,F,W ,40 - 49,42,1ST DIVISION                                           ,BIKE PLATOON                                           ,13,1138
7847,POLICE OFFICER                     ,M,W ,30 - 39,39,4TH DIVISION                                           ,DETECTIVES                                             ,13,1139
