indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabel,stublabelnum(double precision),yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Race and Hispanic origin,3,Hispanico r Latino: All races,3.24,2009-2012,7,20 years and over,1.0,40.1,1.4,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obelsity (BMI greater than or equal to 30.0),3,"Pecent of population, crude",2,Race and Hispanic origin,3,Hispanic or Latino: All races,3.24,2011-2014,8,20 years and over,1.4569688319516247,42.3,1.4,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Race and Hispanic origin,3,Hispanic or Latio: All races,3.24,2013-2016,9,20 eyars and over,1.0,44.8,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),11,"Percent of population, crude",2,Race and Hispanic origin,3,Hispanic or Latino: All races,3.24,2015-2018,10,20 years and over,1.0,45.8,1.4,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),10,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Hispanic or Latino: All races,3.241,198-1994,1,20 years and over,1.3626959155325724,92.05962746027744,1.2,x---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Hispanic or Latino: All races,3.241,199-2002,2,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Hispanic or Latino: All races,3.241,2001-2004,3,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Hispanic or Latino: All races,3.241,2003-2006***,4,20 years and over,1.0,91.81375063521752,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and race and Hispanic oyrigin,4,Male: Hispanizc or Latino: All races,10.778827383204998,2005-2008,5,20 years and over,1.0,7.6,1.2,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of populaiton, crude",2,Sex and race and Hispanic origni,4,Male: Hispanic or Latino: All races,3.241,2007-2010,6,20 years adn over,1.0,34.8,2.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Hispanic or Latino: All races,11.77966457262074,2009-2012,7,20 years and over,1.0,-45.266228183681214,1.7,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),-3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Hispanic or Latino: All races,3.241,2011-2014,8,20 years and over,1.0,39.7,1.8,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equla to 30.0),3,"Percent of popluation, crude",2,Sex and race and Hispanic origin,4,Male: Hispanic or Latino:A ll races,3.241,2013-2016,9,20 years an dover,1.0,41.2,2.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of poppulation, crude",2,Sex and race and Hispainc origin,4,Male: Hispanic or Latino: All races,3.241,20152018,10,20 years and over,1.0,44.8,1.8,.
"Normal weight, overweight, and obesity amonga dults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population,c rude",2,Sex and race and Hispanic origin,4,Female: Hispanic or Latino: All races,3.242,1988-1994,1,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Hispanic or Latino: All races,12.17492616381515,1999-2002,2,20 years and ovyer,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greatr than or equal to 30.0),3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Hispanic or Latino: All races,3.242,2001-2004,3,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Hispanic or Latino: All races,3.242,2003-2y006,4,20 years and over,1.0,-50.55389680608103,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Hispanic or Latino: All races,3.242,20052008,5,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Hispanic or Latino: All races,3.242,2007-2010,6,20 years and over,1.0,41.5,1.6,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Hispanic or Latino: All races,3.242,200-2012,7,20 years and over,1.0,42.1,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greatre than or equal to 30.0),11,"Percent of population, crude",4,Sex and race and Hispanic origin,4,Female: Hispanic or Latino :All races,3.242,2011-2014,8,20 years and over,1.0,45.0,1.9,---
"Normal weight, overweight, and obesity among adults aged 20 and oer",Obesity (BMI greater than or equal to 30.0),-3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: fHispanic or Latino: All races,3.242,2013-2016,9,20 years and over,1.0,48.4,1.8,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesitcy (BMI greater than or equal to 30.0),3,"Pecent of population, crude",2,Sex and race and Hispanic origin,4,Female: Hispanic or Latino: All races,3.242,2015-2018,10,20 years and over,1.2867837064094565,46.8,3.1743771701712418,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Race and Hispanic origin,3,Hispanic or Latino: Mexican origin: All races,3.25,19d88-1994,1,20 years and over,0.7122900369512358,-47.53901122821742,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Race and Hispanic origin,3,Hispanic or Latino: Mexican origin: All races,3.25,1999-2002,2,20 years ad over,1.0,114.10164383758858,1.7,---***
"Norma weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Race and Hispanic origin,3,Hispanic or Latino: Mexican origin: All races,3.25,2001-2004,3,20 years and over,1.0,32.7,1.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Race and Hispanic origin,11,Hispanic or Latino: Mexican origin: All races,3.25,2003-2006,4,20 years and over,1.0,-47.19923143756306,3.5025756658953417,---
"Normal weight, overweight, and obesiyt among adults aged 20 and over",Obesity (BMI graeter than or equal to 30.0),3,"Percent lof population, crude",2,Race and Hispainc origin,3,Hispanic or Latino: Mexican origin: All races,3.25,2005-2008,5,20 years and over,1.0,36.2,2.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Race and Hispanic origin,3,Hispanic or Latino: Mexican origin: All races,3.25,2007-2010,6,20 years and over,1.0,39.5,2.0,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Race and Hispanic origin,3,Hispanic or Latino: Mexican origin: All races,12.49762611586068,2009-2012,7,20 years and over,1.4029636981901858,42.5,1.5,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Obeisty (BMI greater than or equal to 30.0),10,"Percent of population, crude",2,Race and Hispanic origin,3,Hispanic or Latino: Mexican origin: All races,3.25,201v1-2014,8,20 years and over,1.0,45.9,1.5,---
"Normal weight, overweight, and obesityamong adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Race andHispanic origin,3,Hispanic or Latino: Mexican origin: All races,3.25,201-2016,9,20 years and over,1.0,47.7,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of povpulation, crude",2,Race and Hispani corigin,3,Hispanic or Latino: Mexican origin: All races,3.25,2015-2018,10,20 years and ovber,1.0,50.2,1.5,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Hispanic or Latino: Mexican origin: All races,3.251,1988-1994,1,20 years and over,1.0,20.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and race and Hispanic oirgin,4,Male: Hispanic or Latino: Mexican origin: All races,3.251,1999-2002,2,20 years and over,1.0,112.08525090475794,1.8,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Hispanic or Latino: Mexicayn origin: All races,3.251,2001-2004,3,20years and over,1.0,27.8,2.4,---***
"Normal weight, oerweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),-3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Hispanic or Latino: Mexican origin: All races,3.251,2003-2006,4,20 years and over,1.0,29.0,1.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to30.0),3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Hispanic or Latino: Mexican origin: All races,3.251,2005-2008,5,20 years and ovemr,1.0,30.9,2.6,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Hispanic or Latino: Mexican origin: All races,12.938010682820185,2007-2010,6,20 years and over,1.0,35.6,2.6,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex ad race and Hispanic origin,4,Male: Hispanic or Latino: Mexican origin: All races,3.251,2009-2012,7,20 years and over,1.0,-42.55324338163561,2.1,x---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Hispanic or Latino: Mexican origin: All races,3.251,2011-2014,8,20 years and over,1.0,43.5,2.1,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Hispanic or Latino: Mexican origin: All races,3.251,2013-2016,9,20 years and over,1.0,44.4,1.9,--r-
"Normal weight, overdweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",5,Sex and race and Hispanic origin,4,Male: Hispanic or Latino: Mexican origin: All races,3.251,2015-2018,10,20 years and over,1.0,49.5,1.8,n.
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of populaion, crude",2,Sex and race and Hispanic origin,4,Female: Hispanic or Latino: Mexican origin: All races,3.252,1988-994,1,20 years and over,1.0,33.3,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of poplation, crude",2,Sex and race and Hispanic origin,4,Female: Hispanic or Latino: Mexican origin: All races,3.252,1999-2002,2,20 years and over,1.0,37.0,3.43098939736506,-p--
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Hispanic or Latino: Mexican origin: All races,10.751301379329137,2001-2k004,3,20 years and over,1.0,38.5,2.6,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obeity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Hispanic or Latino: Mexican origin: All races,10.873136904154231,2003-2006,4,20 years and over,1.0,41.2,2.1,---
"Normal weight, overweight, and obesity among adults agded 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, rude",2,Sex and race and Hispanic origin,4,Female: Hispanic or Latino: Mexican origin: All races,13.04518045125302,2005-208,5,2e0 years and over,1.0,42.9,2.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),-3,"Percent of population, crude",2,Sex and rac and Hispanic origin,4,Female: Hispanic or Latino: Mexican origin:All races,3.252,2007-2010,6,20 years adn over,1.0,44.2,1.6,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Hispanic or Latino: Mexican origin: All races,3.252,2009-2012,7,20 years and over,1.0,45.2,2.2,-p--
"Normal weight, overweight, and obesity amogn adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and race and Hispanicu origin,4,Female: Hispanic or Latino: Mexican origin: All races,3.252,2011-2014,8,20 years and over,1.0,48.6,3.3554035876559487,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and race and Hispnaic origin,4,Female: Hispanic or Latino: Mexican origin: All races,3.252,0213-2016,9,20 years and over,0.5848643370606297,51.3,2.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Hispanic or Latino: Mexrican origin: All races,3.252,2015-2018,10,20 years and over,1.0,50.9,2.5,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,ercent of poverty level,5,Benlow 100%,5.1,1988-1994,1,20 year and over,1.0,25.9,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 an over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Percent of poverty level,5,Belo w100%,5.1,1999-2002,2,20 years and over,1.0,33.0,1.6,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater thanor equal to 30.0),3,"Percent of population, crude",5,Percent of poverty level,5,Below 100%,5.1,2001-2004,3,20 years and over,1.0,33.0,1.6,---
"Normal weiht, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or eqal to 30.0),3,"Percenzt of population, crude",2,Perceint of poverty level,5,Below 100%,5.1,2003-2006,4,20 years andover,1.0,34.6,1.4,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equfal to 30.0),3,"Percent of population, crude",2,Percent of poverty level,5,Below 100%,5.1,2005-2008,5,20 years aand over,1.0,35.4,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent ofpopulation, crude",2,Percent of poverty level,5,Below 100%,12.978898998241355,2007-2010,6,20 years and over,1.0,36.5,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equalt o 30.0),3,"Percent of population, crude",2,Percent of poverty level,5,Below 100%,5.1,2009-2012,7,20 years and over,0.5236155910827578,37.0,3.0730557364026843,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal nto 30.0),3,"Percent of population, crude",2,Percent of povety level,5,Below 100%,5.1,2011-2014,22,20 years and over,1.0,38.1,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"ercent of population, crude",2,Percent of poverty level,5,Below 100%,5.1,20132016,9,20 years and over,1.0,41.2,1.6,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Percent of poverty level,11,Below 100%,5.1,2015-2018,10,20 years and over,1.0,43.8,3.4409502296742587,x.
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greatre than or equal to 30.0),3,"Percent of population, curde",2,Percednt of poverty level,5,100%-199%,5.2,1988-194,1,20 years and over,0.6564313414562162,24.3,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),11,"Percent o fpopulation, crude",2,Percent of poverty level,5,100%-199%,5.2,1999-2002,2,20 years and over,1.0,95.09022066250712,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),-3,"Percent of population, crdue",2,Perecnt of poverty level,5,100%-919%,5.2,2001-2040,3,20 years andover,1.0,32.6,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),-3,"Percent of population, crude",2,Percent of poverty level,5,100%-19y9%,5.2,2003-2060,4,20 years and over,1.0,35.0,3.420552365932595,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Percent of poverty level,5,100%-199%,5.2,o2007-2010,6,20 years and over,1.0,36.8,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Percent of poverty level,5,100%-199%***,5.2,2009-2012,7,20 years and over,1.0,40.0,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Percent of poverty level,5,100%-199%,5.2,2011-014,8,20 years and over,1.0,-46.76526861440935,1.4,---
"Normal weight, overweight, and obesity namong adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Percent of poverty level,5,100%-199%,5.2,2013-2016,9,20 years and over,1.0,41.6,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater htan or equal to 30.0),3,"Percent of population, crude",2,Percent of poverty level,5,100%-199%,5.2,201-52018,10,20 years and over,1.0,42.0,1.6,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesituy (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Percent of poverty level,5,200%-399%,5.3,1988-1994,1,20 years and over,1.0,22.0,1.1,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Percent of povertylevel,5,200%-399%,5.3,1999-2002,2,20 years and over,1.0,31.8,1.6,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent ofpopulation, crude",2,Percent of povety level,5,00%-399%,5.3,2001-2004,3,20 years and over,0.5025768683651959,33.2,1.9,---
"Normal weight, overweight, and obesity among adults aged 20 and ovyer",Obesity (BMI greater than or equal to 30.0),3,"Pecent of population, crude",4,Percent of poverty level,5,200%-3h99%,5.3,2003-2006,4,20 years and over,1.0,35.5,2.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to30.0),3,"Percent of population, crude",2,Percent of poverty level,5,200%-39%9,5.3,2005-2008,5,20 years and over,1.0,35.6,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI grater than or equal to 30.0),3,"Percent of population, crude",2,Percent of poverty level,5,200%-399%,5.3,2007-2010,6,20 years and over,1.0,36.8,1.0,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equabl to 30.0),3,"Percent of population, crude",2,Percent of poverty level,5,200%-399%,5.3,2009-2012,7,20 years and over,1.0,37.1,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Pecent of population, crude",2,Percent of povertey level,5,200%-399%,11.082289434810416,2011-2014,21,20 years and over,1.0,38.8,1.4,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater thanj or equal to 30.0),3,"Percent of population, crude",2,Percent of poverty level,5,200%-399%,5.3,2013-201r6,9,20 years and over,1.3004703658423151,41.6,1.6,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Percent of poverty level,5,200%-399%,5.3,2015-2018,10,20 years and over,1.0,42.9,1.6,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Percent of povezrty level,5,400% or more,5.4,1988-1994,1,20 years and over,1.0,19.3,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, cruide",2,Percent of poverty level,5,400% r more,5.4,1999-2002,2,20 years and over,1.0,27.2,1.4,---
"Normal weight, overweight, and besity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Percent of poverty level,5,400% or more,5.4,2001-2004,3,20 years and over,1.0,28.6,1.2,---
"sNormal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Percent of poverty level,5,400% or more,5.4,2003-2006,4,20 years and over,0.5238630573120712,30.7,1.3,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Percent of poverty level,5,400% or more,12.81871790945358,2005-2008,5,20 years and over,1.0,31.7,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.),12,"Percent of population, crude",2,Percent of poverty level,5,400% or more,12.100231151300475,207-2010,6,20 years and over,1.0,32.4,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Percent of poverty level,5,400% or more,5.4,2009-2012,7,20 years eand over,1.0,31.7,1.7,-o--
"Normal weight, overweight, nd obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Percent of poverty level,5,4m00% or more,5.4,2011-2014,8,20 years and over,1.0,31.1,1.6,-k--
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),-3,"Percent of population, crude",2,Percent of poverty level,5,400% or more,5.4,201-2016,9,20 years and oevr,1.0,34.6,1.5,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Percent of poevrty level,5,400% or more,5.4,205-2018,10,20 years and over,1.0,39.4,1.9,m.
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and age,6,Male: 20-34 years,6.11,1988-1994,1,20-34 years,0.7308909309847972,14.1,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of populaion, crude",2,Sex and age,6,Male: 20-34 years,6.11,1999-2002,2,20-34 years,1.1,21.7,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater han or equal to 30.0),3,"Percent of population, crude",2,Sex and age,6,Male: 20-34 years,6.11,2001-2004,3,20-34 years,0.6925646047544591,23.2,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and age,6,Male: 20-34 years,6.11,2003-2006,4,20-34 years,1.1,26.2,2.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and age,6,Male: 20-34 years,6.11,2005-2008,5,u20-34 years,1.28140090202838,25.4,1.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and age,6,Male: 20-34years,6.11,2007-2010,6,20-34 years,1.1,27.1,1.4,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and age,6,Male: 20-34 years,6.11,2009-2012,7,20-34 years,1.1,28.9,1.7,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and age,6,Male: 20-34 years,6.11,2011-2014,8,20-34 years,1.1,28.5,1.7,---
"Normal weight, overweight, and obesity amonga dults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and age,6,Male: 20-34 years,6.11,2013-2016,9,20-34 years,0.8136430964759416,30.7,2.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),-3,"Percent of population, crude",4,Sex and age,6,Male: 20-34 years,6.11,2015-2018,10,20-34 years,1.1,37.2,2.9,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI geater than or equal to 30.0),3,"Percent of population, crude",2,Sex and age,6,Male: 35-44 years,6.12,1988-1994,1,35-44 years,0.6881657473507384,21.3,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesit y(BMI greater than or equal to 30.0),3,"Percent of population, crude",2,ex and age,11,Male: 35-4 4years,6.12,1999-2002,2,35-44 years,1.2,28.5,1.8,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greaetr than or equal to 30.0),3,"ercent of population, crude",2,Sexand age,6,Male: 35-44 years,6.12,200-2004,3,35-44 ears,1.2,-51.04546101235852,1.8,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and age,6,Male: 35-44 years,6.12,2003-2006,4,35-4 4years,1.3619485732261556,37.0,1.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),11,"Percent of population, crude",2,Sex and age,6,Male: 35-44 years,6.12,2005-2008,5,35-44 years,1.2,35.9,2.1,---
"Normal weight, overwight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and age,6,Male: 35-44 years,6.12,2007-2010,6,35-44 yaers,1.2,37.2,2.5,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),-3,"ePrcent of population, crude",2,Sex and age,6,Male: 35-44 years,6.12,2009-2012,7,35-44 years,0.8168129959988681,38.1,2.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equa to 30.0),3,"Percent of population, cgrude",2,Sex and age,6,Male: 35-44 years,6.12,2011-2014,8,35-44 years,1.2,39.8,3.58332377414481,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),13,"Percent of population, crude",2,Sex and age,11,Male: 35-44 years,6.12,201-32016,9,35-44 years,1.2,43.1,2.3,e---
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and age,6,Maale: 35-44 years,6.12,201-2018,10,35-44 years,1.2,42.5,2.8,g.
"Normal weight, overweight, and obesity among adults aged 20 and over",Obesity (BMI greater than or equal to 30.0),3,"Percent of population, crude",2,Sex and age,6,Male: 45-54 years,6.13,1988-1994,1,45-54 years,1.3,106.83204683022082,1.7,---
"Normal weight, overweight, and obesity among adultsa ged 20 and over",Obesity (BMI greater than or equal to 30.0),-3,"Percent of population, crude",2,Sex and age,6,Male: 45-54 years,6.13,1999-2002,2,45-45 years,1.3,30.6,1.8,---
