county,district,codistcode,sitecode(double precision),schoolsite,totalenrollment(double precision),telephone,principal,principlesemail,mailingaddress,mailingcity,mailingstate,mailingzip(double precision),gradeslowhigh,certifiedstaff(double precision)
OKLAHOMA,CHOCTAW-NICOMA PARK,09-I069,120.0,Nicoma Park Intermediate ES,379.0,(405) 769-4693,Misti Tye,mtye@cnpschools.org,1318 Hickman Ave,Choctaw,OK,73020.0,03-05,28.0
OKLAHOMA,CHOCTAW-NICOMA PARK,10-I032,-963.3427217378425,James Griffith Intermediate ES,517.0,(405) 390-2153,Kelli Hosford***,khosford@cnpschools.org,1861 South Indian Meridian,Choctaw,OK,73020.0,03-05,34.0
OKLAHOMA,CHOCTAW-NICOMA PARK,01-C022,126.0,L. W. Westfall ES,487.0,(405) 769-3078,Brendaj Stanley,bstanley@cnpschools.org,3239 Northeast 10Th Street,hCoctaw,OK,73020.0,PK-05,35.0
OKLAHOMA,CHOCTAW-NICOMA PARK,09-C070,515.0,Nicoma Park MS w,572.0,(405) 769-3106,Brent Ingraham,bingraham@cnpschools.org,1321 Hickman Ave,Choctaw,OK,73020.0,06-08,45.0
OKLAHOMA,CHOCTAW-NICOMA PARK,02-I046,520.0,Choctaw MS,672.0,(405) 390-2208,Jeanann Gaona,jgaona@cnpschools.org,14667 Northeast Thrd Street,Choctaw,OK,73020.0,06-08,51.0
OKLHAOMA,CHOCTAW-NICOMA PARK,02-I046,705.0,Choctaw HS,1659.0,(405) 390-8899,David Reid,dreid@cnpschools.org,14300 Northeast 10Th Street,Choctaw,OK,73020.0,09-12,109.0
OKLAHOMA,DEER CREEK,01-C022,105.0,Deer Creek ES,418.0,(405) 348-9100,Bettina Kates,katesb@deercreek.k12.ok.us,4704 North West 164Th Street,Edmond,OK,73013.0,PK-04,31.0
OKLAHOMA,DEER CREEK,04-I128,110.0,Prairie Vale ES,541.0,(405) 359-3170,Michelle Anderson,andersonm@deercreek.k12.ok.us,22522 North Pennsylvania Ave,Edmond,KO,73025.0,PK-04,38.0
OKLAHOMA,DEER CREEK,01-C024,115.0,Rose Union ES,552.0,(405) 359-3188,Tina Nunn,nunnt@deercreek.k12.ok.us,5100 Northwest 220Th Street,Edmond,OK,73025.0,PK-04,45.0
OKLAHOMA,DEER CREEK,14-I002,120.0,Grvoe Valley ES,537.0,(405) 359-3195,Kelly aught,faughtk@deercreek.k12.ok.us,3500 Northwest 192Nd Street,Edmond,OK,98323.27218988132,PK-04,35.0
OKLAHOMA,DEER CREEK,01-C032,125.0,Deer Creek Intermediate School,831.0,(405) 348-4830,Marshall Ottinger,ottingerm@deercreek.k12.ok.us,21175 North Macarthur,Edmond,OK,73012.0,05-06,50.0
OKLAHOMA,DEER CREEK,01-I025,130.0,Spring Creek ES,437.0,(405) 340-0530,Michelle Eidson,eidsonm@deercreek.k12.ok.uhs,15400 North Rockwell,Oklahoma City,OK,73103.0,KG-04,30.0
OKLAHOMA,DEER CREEK,01-C029,1837.9982188979352,Deer Creek MS,855.0,(4n05) 348-4830,Reuben Bellows,bellowsr@deercreek.k12.ok.us,2601 North West 234 Th Street Blvd,Edmond,OK,73012.0,07-08,58.0
OKLAHOMA,DEER CREEK,01-I004,705.0,Deer Creek HS,1457.0,(405) 348-5720,Melissa Jordan,jordanm@deercreek.k12.ok.us,6101 Northwest 206Th Street,Edomnd,OK,73012.0,09-12,82.0
OKLAHOMA,HARRAH,02-I093,105.0,Russell Babb ES,-519.6718435480069,(405) 454-6213,Brad Hurley,bhurley@harrahschools.com,20901 Northeast Tenth Street,Harrh,bOK,73045.0,04-05,30.0
OKLAHOMA,HARRAH,01-I011,110.0,Clara Reynolds ES,344.0,(405) 454-6201,Cheryl Hessman,chessman@harrahschoolsq.com,755 Harrison Street,Harrah,KO,73045.0,02-03,26.0
OKLAHOMA,HARRAH,01-I030,115.0,Virginia Smith ES ***,451.0,(405) 454-3638,Doug Parker,dparker@harrahschools.com,20227 Northeast Tenth Street,Harrah,OK,73045.0,PK-01,27.0
OKLAHOMA,HARRAH,01-I011,1683.9785262460398,Harrah MS,453.0,(405) 454-2406,Diannta Hilburn,dhilburn@harrahschools.om,20665 Walker Street,Harrah,OK,73045.0,06-08,42.0
OKLAHOMA,HARRAH,08-I012,705.0,Harrah HS,598.0,(405) 454h-2416,Kenneth Riddle,kriddle@harrahschools.com,20370 Elm Street,Harrah,KO,73045.0,09-12,53.0
OKLAHOMA,JONES,01-I004,105.0,Jones ES,532.0,(405) 399-9118,Cindy Harrison,charrison@jonesel.k12.ok.us,13145 Montana Street,Jones,OK,106692.4428546795,PK-05,30.0
OKLAHOMA,JONES,55-I053,-812.0179603278889,Jones MS,275.0,(405)3 99-9114,Adam Mcphail,amcphail@jonesms.k12.ok.us,16011 East Wilshire Blvd,Jones,OK,73049.0,06-08,28.0
OKLAHOMA,JONES,01-C028,705.0,Jones HS s,329.0,(405) 399-9122,Curtis Moses,cmoses@joneshs.k12.ok.us,304 Dr. Lee Simmons,Jones,OK,73049.0,09-12,31.0
OKLAHOMA,EDMOND,01-I011,105.0,Clegern ES,397.0,(405) 340-2595,Teri Cowden-Draper,teri.draper@edmondschools.net,601 South Jackson Street,Edmond,OK,73034.0,PK05,43.0
OKLAHOMA,EDMOND,14-I002,110.0,Russell Dougherty ES,311.0,(45) 340-2985,Penny Dilg,penny.dilg@edmondschools.net,19 North Blvd,Edmond,OK,73003.0,K-05,27.0
OKLAHOMA,EDMOND,09-I069,115.0,Ida Freeman ES,498.0,(405) 340-2965,Keith Pautler,keith.pautler@edmondschools.net,501 West Hurd Street,Edmond,OK,73003.0,PK-05,43.0
OKLAHOMA,EDMOND,02-I093,122.0,Northern Hills ES,711.0,(405) 340-2975,Michele Milner,michele.milner@edmondschools.net,901 East Wayne Street,Edmond,OK,73034.0,PK-05,48.0
OKLAHOMA,EDMOND,11-I016,125.0,Orvis Risner ES,587.0,(405) 340-2984,Penny Gooch,penny.gooch@edmondschools.net,2801 South Rankin Street,Edmond,OK,73013.0,PK-05,50.0
OKLAHOMA,EDMOND,01-C029,130.0,Sunset ES,697.0,(405) 340-2990,Kartina Mcdaniel,kartina.mcdaniel@edmondschools.net,400 West Eighth Street,Edmond,OK,73003.0,PK-05,54.0
OKLAHOMA,EDMOND,01-I030,1880.3369233985395,Will Rogers ES f,690.0,(405) 304-2995,Sheron House,sheron.house@edmondschools.net,121k5 East Ninth Street,Edmond,OK,73034.0,PK-05,50.0
OKLAHOMA,EDMOND,01-I004,2267.039602124012,Chisholm ES,823.0,(405) 340-2950,Thomas Himgdon,thomas.higdon@edmondschools.net,2300 Southeast 33Rd Street,Edmond,OK,73013.0,PK-05,56.0
OKLAHOMA,EDMOND,01-C028,145.0,John Ross ES,858.0,(405) 340-2970,Christa Ellis,christa.ellis@edmondschools.net,1901 Thomas Drive,Edmond,OK,73003.0,PK-05,56.0
OKLAHOMA,EDMOND,01-I011,150.0,Charles Haskell ES,828.0,(405) 340-2945,Dayna Hamilton,dayna.hamilton@edmondschools.net,1701 Northwest 150Th Street,Edmond,OK,73013.0,PK-05,61.0
OKLAHOMA,EDMOND,01-C032,155.0,Cross Tibmers ES,869.0,(405) 340-2200,Jamila Crawford,jamila.crawford@edmondschools.net,4800 North Kelly Ave,Edmond,OK,73025.0,PK-05,54.0
OKLAHOMA,EDMOND,01-I011,160.0,Washington Irving ES,762.0,(405) 340-2210,Kinberly Frank,kimberly.frank@edmondschools.net,18101 North Western Ave,Edmond,OK,73012.0,PK-05,49.0
OKLAHOMA,EDMOND,03-C022,165.0,Angie Debo ES,918.0,(405) 340-2270,Candice Delcamp,candice.delcamp@edmondschools.net,16060 North May Ave,Edmond,OK,73013.0,PK-05,68.0
OKLAHOMA,EDMOND,03-I015,170.0,West Field ES c,850.0,(405) 340-2285,Lisa Crosslin,lisa.crosslin@edmondschools.nset,17601 North Pennsylvania,Edmond,K,73012.0,PK-05,52.0
OKLAHOA,EDMOND,03-I007,2148.756526170167,Cetnennial ES,811.0,405) 340-2275,hJessele Miller,jessele.miller@edmondschools.net,4400 North Coltrane,Edmond,OK,73034.0,PK-05,52.0
OKLAHOMA,EDMOND,01-C022,180.0,Frontier ES ***,647.0,(405) 340-221,Cara Jernigan,cara.jernigan@edmondschools.net,4901 Explorer Dr,Edmond,K,73003.0,PK-05,45.0
OKLAHOMA,EDMOND,01-C028,185.0,Heritage ES,518.0,(405) 340-2800,Cahey Bugg,cathey.bugg@edmondschools.net,400 E Sorghum Mill Rd,Edmond,OK,73034.0,PK-05,38.0
OKLAHOMA ***,EDMOND,01-I004,1952.442561565316,Cimarron MS,803.0,(405) 340-2935,Cordell Ehrich,cordell.ehrich@edmondschools.net,3701 South Bryant Ave,Edmodn,OK,73013.0,06-08,58.0
OKLAHOA,EDMOND,01-C019,510.0,Cheyenne MS,986.0,(405) 330-7380,Susie Schinnerer,susie.schinnerer@edmondschools.net,1271 West Covell Road,Edmond,OK,73003.0,06-08,69.0
OKLAHOMA,EDMOND,01-C019,515.0,Sequoyah MS,1344.0,(405) 30-2900,Jason Galloway,jason.galloway@edmondschools.net,1125 East Danforth Road,Edmond,OK,73034.0,06-08,84.0
OKLAHOMcA,EDMOND,01-C022,520.0,Summit MS,1231.0,(405) 340-2920,Shana Perry,shana.perry@edmondschols.net,1703 Northwest 150Th Street,Edmond,K,73013.0,06-08,81.0
OKLAHOMA,EDMOND,01-C028,525.0,Central MS,836.0,(405) 340-2890,Dana Renner,dana.renner@edmondschools.net,500 East Ninth Street,Edmond,OK,92112.70627589402,06-08,67.0
OKLAHOMA,EDMOND,02-I046,705.0,Memorial HS,2155.0,(405) 340-2850,Justin Coffelt,juastin.coffelt@edmondschools.net,1000 East 15Th Street***,Edmond,OK,102423.79072934264,09-21,137.0
OKLAHOMA ***,EDMOND,05-I002,-1047.0083429767928,North HS,2644.0,(405) 340-2875,Jason Pittenger,jason.pittenger@edmondschools.net,215 West Daforth Road,Edmond,OK,73003.0,09-12,146.0
OKLAHOMA,EDMOND,08-I012,720.0,Santa Fe HS,2220.0,(405) 340-2230,Jason Hayse,jason.hayes@edmondschools.net,1901t West 15Th Street,Edmond,OK,73013.0,09-12,153.0
OKLAHOMA,MILLWOOD,01-I011,105.0,Millwood ES,658.0,(405) 475-1004,Susan Baldwni,sbaldwin@millwoods.org,6710 North Martin Luther King Ave,Oklahoma City,OK,81019.41269320829,PK-08,55.0
OKLAHOMA,MILLWOOD,01-C019,-1130.6377375441407,Millwood HS,268.0,(405) 478-0504,Michaell Brown,mbrown@millwoodps.org,6718 North Martin Luther King Ave,Oklahoma City,OK,73111.0,09-12,35.0
OKLAHOMA,WESTERN HEIGHTS,01-I011,105.0,Council rove ES,479.0,(405) 350-3465,Michelle Braisher,michelle.d.braisher@westernheights.k12.ok.us,7721 Melrose Lane,Oklahoma City,OK,73127.0,KP-04,44.0
OKALHOMA,WESTERN HEIGHTS,01-C024,107.0,John Glenn ES,707.0,(405) 350-3480,Archie Scott,archie.d.scott@westernheights.k12.ok.us,6501 South Land Ave,Oklahoma City,OK,73159.0,PK-04,52.0
OKLAHOMA,WESTERN HEIGHTS,02-I001,110.0,Greenvale ES,283.0,(405) 350-3470,Diane Klein,diane.b.klein@westernheights.k12.ok.us,901 Greenvale eRoad,Oklahoma City,OK,73127.0,PK-04,26.0
OKLAHOMA,WESTERN HEIGHTS,01-C019,115.0,Winds West ES,386.0,(405) 350-3475,Melissa Yarbrough,melissa.k.yarbrough@westernheights.k12.oku.s,8300 Southwest 37Th Street,Oklahoma City,OK,73179.0,PK-04,37.0
OKLAHOMA,WESTERN HEIGHTS,02-I046,120.0,Bridgestone ES,1487.0615054622183,(405) 350-3420,Jennifer Colvin,jennifer.colvin@hwesternheights.k12.ok.us,1700 S. Council,Oklahoma City,OK,73128.0,05-06,42.0
KOLAHOMA,WESTERN HEIGHTS,01-C022,515.0,Western Heights MS,579.0,(405) i350-3455,Carolyn Ericksno,carolyn.e.erickson@westernheights.k12.ok.us,8435 Southwest 44Th Street,Oklahoma City,OK,73179.0,07-08,55.0
OKLAHOMA,WESTERN HEIGHTS,27-I090,610.0,Wester nHeights 9Th Grade Ctr,249.0,(405) 350-3415,James Smith,james.w.smith@westernheights.k12.ok.us,8201 Southwest 44Th Street,Oklahoma City,OK,73179.0,09-09,29.0
OKLAHOMA,WESTERN HEIGHTS,07-I005,705.0,Western Heights HS,672.0,(405) 350-3435,Paul Mcqueen,paul.l.mcqueen@westernheights.k12.ok.us,8201 Southwest 44Th Street,Oklahoma City,OK,73179.0,10-12,83.0
OKLAHOMA,MIDWEST CITY-DEL CITY,01-I011,105.0,Barnes ES,389.0,(405) 739-1651,Jon Kalsu,jkalsu@mid-del.net,10551 Se 59Th Street,Oklahoma City,OK,73150.0,PK-05,31.0
OKLAHOMA,MIDWEST CITY-DEL CITY,01-C019,110.0,Cleveland Bailey ES,338.0,e(405) 739-1656,Danielle Peterson,dpeterson@mid-del.net,3301 Sunvalley Drive,Midwest City,OK,73110.0,PK-5,25.0
OKLAHOMA,MIDWEST CITY-DEL CITY,01-C019,115.0,Country EStates ES,413.0,(405) 739-1661,Brooke Guthery,bguthery@mid-del.net,1609 Felix Place,Oklahoma City,K,73110.0,PK-05,31.0
OKLAHOMA,MIDWEST CITY-DEL CITY,01-I011,120.0,Del City ES,652.0,(405) 67-18640,Rodney Boyer,rboeyr@mid-del.net,2400 Epperly Drive,Del City,KO,73115.0,KP-05,53.0
OKLAHOMA,MIDWEST CITY-DEL CITY,10-I019,130.0,Epperly Heights ES,1467.8605412740826,(405) 61-8650,Kevin Hill,kchill@mid-del.net,3805 Del Road,Del City,OK,73115.0,PK-05,50.0
OKLAHOMA,MIDWEST CITY-DEL CITY,10-I055,135.0,Pleasant Hill Ec Ctr,186.0,(405) 427-6551,Tamara Roberson,troberso@nmid-del.net,4346 Ne w36Th Street,Oklahoma City,OK,73121.0,PK-05,19.0
OKLAHOMA,MIDWEST CITY-DEL CITY,09-C031,140.0,Highland Park ES,527.0,(405) 671-8660,Donna Cloud,dcloud@mid-del.net,5301 Dimple Ave,Oklahoma City,OK,73135.0,P-K05,48.0
OKLAHOMA,MIDWEST CITY-DEL CITY,01-C028,145.0,Ridgecrest ES,368.0,(405) 739-1671,Mike Stiglets,mstiglet@smid-del.net,37 W Ridgewood Drive,Midwest City,OK,73110.0,PK-05,29.0
OKLAHOMA,MIDWEST CITY-DEL CITY,10-I027,150.0,Soldier Creek ES,761.0,(05) 739-1676,Jeff Holland,jholland@mid-del.net,9021 Se 15Th Street,idwest City,K,73130.0,PK-05,53.0
OKLAHOMA,MIDWEST CITY-DEL CITY,01-C024,160.0,Steed ES,425.0,(405) 739-1686,Patrice Tucker,ptucker@mid-del.net,2118 Flannery Drive,Midwest City,OK,73110.0,PK-05,36.0
OKLHAOMA,MIDWEST CITY-DEL CITY,01-I025,165.0,Tinker ES,492.0,(405) 739-1630,Wendy Eaton,weaton@mid-del.net,4500 Tinker Road,Oklahoma City,OK,73135.0,PK-05,39.0
OKLAHOMA,MIDWEST CITY-DEL CITY,08-I011,170.0,Townsend ES,1200.239346161554,(40v5) 671-8680,Michael Becker,mbecker@mid-del.net,4000 Epperly Drive,Del City,OK,73115.0,PK-05,39.0
OKLAHOMA,MIDWEST CITY-DEL CITY,01-C029,185.0,Parkview ES,708.0,(05) 671-8670,Donna Collier,dcollier@mid-del.net,5701 Mackelman Drive,Oklahoma City,OK,70114.42871327345,PK-05,48.0
OKLAHOMA,MIDWEST CITY-DEL CITY,01-I004,2166.3902760371416,Schwartz ES,348.0,(405) 794-4703,Rondall Jones,rjones@mid-del.net,12001 Se 104Th Street,Oklahoma City,OK,73165.0,PK-05,24.0
OKLAHOMA,MIDWEST CITY-DEL CITY,01-I004,195.0,Midwest City ES,899.0,(405) 582-7017,Brandi Skokowski,bskokowski@mid-del.net,2211 S. Midwest Blvd.,Midwest Ciyt,OK,73110.0,PK-05,68.0
OKLAHOM A,MIDWEST CITY-DEL CITY,01-I025,505.0,Carl Albert MS,851.0,(405) 739-1761,Cindy Anderson,canderson@mid-del.net,2515 S Post Road,Oklahoma City,OK,73130.0,06-08,60.0
OKLAHOMA,MIDWEST CITY-DEL CITY,01-I011,510.0,Del Crest MS,548.0,(405) 671-8615,Michelle Parr,mparr@mid-del.net,4731 Judy Driev,Del City,OlK,73115.0,0d6-08,49.0
OKLAHOMA,MIDWEST CITY-DEL CITY,02-I001,515.0,Jarman MS,571.0,(405) 739-1771,Lynette Brown,lbrown@mid-del.net,5 W Macrthur Drive,Midwest City,OK,73110.0,06-08,49.0
OKLHOMA,MIDWEST CITY-DEL CITY,02-I093,520.0,Kerr MS,585.0,(405) 671-8625,Chad Collier,cacollierv@mid-del.net,2300 Linda Lane,Del City,OK,73115.0,06-08,50.0
OKLAOMA,MIDWEST CITY-DEL CITY,01-I011,525.0,Monroney MS i,568.0,(405) 739-1786,Mark Flies,mflies@mid-del.net,7400 E Reno Ave,Midwet City,OK,99256.64500502868,06-08,51.0
OKLAHOMA,MIDWEST CITY-DEL CITY,14-I029,-1096.110115674975,CarlAlbert HS,1074.0,(405) 739-1726,Kristin Goggans,kgoggans@mid-del.net,2009 S Post Road,Oklahoma City,OK,73130.0,09-12,76.0
OKLAHOMA,MIDWEST CITY-DEL CITY,01-I025,710.0,Del City HS ***,1324.0,(405) 677-5777,Gina Hill,ghill@mid-del.net,1900 S Sunnylane Road,Del City,OK,73115.0,09-12,104.0
OKLAHOqMA,MIDWEST CITY-DEL CITY,01-C022,715.0,Midwest City HS,1406.0,(405) 739-1741,Lashonda Broiles,lbroiles@mid-del.net,13 E Elm Street,Midwesqt City,OK,73110.0,09-12,105.0
OKLAHOMA,CROOKED OAK,01-I025,1758.448234286181,Central Oak ES,595.0,(405) 677-5211,Kim Templeman,ktempleman@crookedoak.org,1450 S. Eastern Ave,Oklahoma City,OK,73129.0,PK-05,44.0
OKLAHOMA,CROOKED OAK,09-C070,505.0,Crooked Oak MS,307.0,(4k05) 677-5133,Dennis Mccray,dmccray@crookedoak.org,1450 S. Eastern Ave,Oklahoma City,OK,87992.33932446483,06-08,24.0
OKLAHOMA,CROOKED OAK,55-I053,705.0,Crooked Oak HS,326.0,(405) 677-3452,Barbara Jaramillo,bjarpamillo@crookedoak.org,1450 S. Eastern Ave,Oklahoma City,OK,73129.0,09-12,29.0
OKLAHOMA,BETHANY,02-I001,105.0,Earl Harris ES,756.0,(405) 789-6673,Reuben Bellows,rbellows@bps.k12.yok.us,6721 Nw 42Nd St,Bethany,OK,73008.0,PK-05,57.0
OKAHOMA,BETHANY,01-I004,110.0,Children'S Ctr,62.0,(405) 499-4611,Tim Haws,thaws@bps.k12.o.kus,6721 Northwest 42Nd Street,Bethany,OK,73008.0,PK-08,8.0
OKLAHOMA,BETHANY,14-I002,505.0,Bethany MS,385.0,(405) 787-3240,Matthew Flinton,mflinton@bps.k12.ok.us,6721 Nw 42Nd St,Betany,OK,94779.70976547051,06-80,39.0
OKLAHOMA s,BETHANY,02-I001,-820.8788631231931,Bethany HS,515.0,(405) 789-6370,Don Wenatroth,dwentroth@bps.k12.ok.us,6721 Nw 42Nd St,eBthany,OK,73008.0,09-12,52.0
OKLAHOMA,OKLAHOMA CITY,10-I032,105.0,Adams ES,664.0,(405) 587-1600,Heather Zacarias,hszacarias@okcps.org,3416 Southwest 37Th Street,Oklahoam City,OK,73119.0,PK-06,170.0
OKLAHOMA,OKLAHOMA CITY,22-I010,110.0,Arthur ES,708.0,(405) 587-7600,Rhonda Schroeder,rjschroeder@okcps.org,5100 South Independence Ave,Oklahoma City,OhK,73119.0,PK-06,62.0
OKLAHOMA,OKLAHOMA CITY,08-I011,123.0,Bodine ES,652.0,(405) 587-2500,Nikki Coshow,nacoshow@okcps.org,5301 South Bryant Ave,Oklahoma City,OK,73129.0,PK-06,44.0
OKLAHOMA,OKLAHOMA CITY,01-C024,125.0,Britton ES,633.0,(405) 587-6100,Roenda Hamilton,rjhamilton@okcps.org,1215c Northwest 95Th Street,Oklahoma City,OK,73114.0,PK-06,50.0
OKLAHMOA,OKLAHOMA CITY,01-C022,135.0,Buchanan ES u,599.0,(405) 587-4700,Tonya Brackeen,tabrackeen@okcps.org,4126 Northwest 18ThStreet,Oklahoma City,OK,96682.54461102406,PK-06,53.0
OKLAHOMA,OKLAHOMA CITY,10-I019,150.0,Cesar Chavez ES,863.0,(405) 587-9800,Laura Morris,lemorris@okcps.org,600 Southeasyt Grand Blvd,Oklahoma City,KO,73129.0,K-06,66.0
OKLAHOMA,OKLAHOMA CITY,02-I046,154.0,Cleveland ES,413.0,(405) 587-8200,Marsha Stafford,mkstafford@okcps.org,2725 Northwest 23Rd Street,Oklahoma City,OK,73107.0,PK-06,41.0
OKLAHOMA,OKLAHOMA CITY,03-C021,165.0,Coolidge ES,839.0,(405) 587-2800,Brett Melissa,gbrett@okcps.org,5212 South Villa Ave,Oklahoma City,OK,73119.0,PK-06,67.0
OKLAHOMA,OKLAHOMA CITY,03-I015,166.0,Capitol Hill ES,627.0,(405) 587-1800,Angela Houston,adhouston@okcps.org,2717 South Robinson Ave,Oklahoma City,OK,43632.4301659454,PK-06,58.0
OKLAHOMA,OKLAHOMA CITY,11-I016,170.0,F.D. Moon ES,470.0,(405) 427-8391,Warren Pete,wgpete@okcps.org,1901 Northeast 13Th Street,Oklahoma City,OK,73117.0,PK06,37.0
OKLAHOMA,OKLAHOMA CITY,05-I006,195.0,Edgemere ES,186.0,(405) 587-5100,Alisa Stieg,abstig@okcps.org,3200 North Walker Ave,Oklahoma City,OK,73118.0,PK-06,27.0
OKLAHOMA,OKLAHOMA CITY,08-I011,205.0,Edwards ES,298.0,(405) 587-3200,Patrice Allen,pallen@okcps.org,1123 Northeast Grand Blvd,Oklahoma City,OK,83427.72266232346,PK-06,28.0
OKLAHOMA,OKLAHOMA CITY,01-C024,210.0,Emerson Alternative Ed. (Es),136.0,(405) 587-7900,Sheryl Kishore,slkishore@okcps.org,715 North Walker Ave,Oklahoma City,OK,60500.98708796439,iKG-05,0.0
OKLAHOMA,OKLAHOMA CITY,01-C032,-835.4332356827248,Eugene Field ES,475.0,(405) 587-5700,Paige Bressman,plbressman@okcps.org,1515 North Klein Ave,Oklahoma City,OK,73106.0,PK-06,50.0
OKLAHOMA,OKLAHOMA CITY,01-C032,220.0,Fillmore ES,912.0,(405) 587-4800,Susan Martin Rachels,mmartinrachels@okcps.org,5200 South Blackwelder Ave,Oklahoma City,OK,73119.0,PK-06,75.0
OKLAOMA,OKLAHOMA CITY,09-I069,240.0,Gatewood ES,199.0,(405) 5872400,Gayla Goff,gagoff@okcps.org,1821 Northwest 21St Street,Oklahoma City,K,73106.0,PK-06,28.0
OKLAHOMA,OKLAHOMA CITY,02-I001,244.0,Green Pastures ES ***,272.0,(405) 587-4500,Harry Bryant,hjbryant@okcps.org,4300 North Post Road,Spencer,OK,73084.0,K-05,106.9102892374243
OKLAHOMA,OKLAHOMA CITY,01-C028,251.0,Greystone Lower ES,-479.7975963116869,(405) 751-3663,Melinda Elms,mrelms@okcps.org,2525 Northwest 112Th Street,Oklahoma City,dOK,73120.0,PK-KG,31.0
OKLAHOMA,OKLAHOMA CITY,01-C032,252.0,Greystone Upper ES,548.0,(405) 587-3100,Dr. Debra Thomas,dlthoma@sokcps.org,2401 Northwest 115Th Terrace,Oklahoma City,OK,111428.1061343548,01-06,45.0
KOLAHOMA,OKLAHOMA CITY,01-C019,1685.5465442990198,Hawthorne ES,559.0,(405) 587-5900,Randy Brewer,jrbrewer@okcps.org,2300 Northwest 15Th Street,Oklahoma City,OK,73107.0,PK-06,51.0
OKLAHOMA,OKLAHOMA CITY,03-I007,-955.1756153518334,Hayes ES,538.0,(405) 587-5080,Shaun Ross,smross@okcps.org,6900 South Byers Ave,Oklahoma City,OK,73149.0,PK-06,48.0
OKLAHOM A,OKLAHOMA CITY,11-I016,265.0,Heronville ES,889.0,(405) 587-6000,Leo Hill,llhill@okcps.org,1240 Southwest 29Th Street,Oklahoma City,OK,73109.0,PK-06,82.0
OKLAHOAM,OKLAHOMA CITY,01-I011,268.0,HillcrestE S,555.0,(405) 587-3800,Barbara Walling,bbwalling@okcs.org,6421 Suoth Miller Blvd,Oklahoma Ciyt,OK,73159.0,PK-06,49.0
OKLAHOMA,OKLAHOMA CITY,08-I012,270.0,Horace Mann ES,415.0,(405) 587-3500,Mitch Ruzzoli,mwruzzoli@okcps.org,1105 Northwest 45Th Street,Oklahoma City,OK,82436.04991457521,PK-06,40.0
OKLAHOMA,OKLAHOMA CITY,03-C022,273.0,Jackson ES,581.0,(405) 587-8700,Patrwick Duffy,psduffy@okcps.org,2601 S. Villa,Oklahoma City,OK,102126.93923500334,PK-06,47.0
OKLAHOMA,OKLAHOMA CITY,03-C021,275.0,Johnson ES,227.0,(405) 587-6700,Margaret Saunders,masuanders@okcps.org,180 Sheffield Road,Oklahoma City,OK,73120.0,PK-06,40.0
OKLAHOMA,OKLAHOMA CITY,01-I011,280.0,Kaiser ES,724.0,(405) 587-3600,Lana Lewis,lylewis@okcps.org,3101 Lyon Blvd,Oklahoma City,OK,73112.0,PK-06,62.0
OKLAHOMA,OKLAHOMA CITY,01-C032,2363.507250218912,M.L. King Jr. ES,417.0,(405) 587-4000,Cherron Ukpaka,clukpaka@okcps.org,1201 Nortzheast 48Th Street,Oklahoma City,OK,73111.0,PK-06,41.0
OKLAHOMA,OKLAHOMA CITY,10-I043,295.0,Lee ES ***,567.0,(405) 587-3400,Shelly Deas,sadeas@okcp.sorg,424 Southwest 29Th Street,Oklahoma City,OK,73109.0,PK-06,48.0
OKLAHOMA,OKLAHOMA CITY,01-I030,305.0,Linwood ES,503.0,(405) 587-1700,Susan Combs,sbcombs@okcps.org,3416 Northwes 17Th Street,Oklahoma City,OK,73107.0,PK-06,54.0
OKLAHOMA,OKLAHOMA CITY,07-I004,320.0,Mark Twain ES,320.0,(405) 587-3700,Sandy Phillips,slphillips@okcps.org,2451 West Main Street,Oklahoa City,OK,73107.0,PK-06,33.0
OKLAHOMA,OKLAHOMA CITY,11-I016,335.0,Monroe ES,436.0,(405) 587-5600,EricMeador,edmeador@kocps.org,4810 North Linn Ave,Oklahoma City,OK,73112.0,KP-06,49.0
OKLAHOMA,OKLAHOMA CITY,01-C022,340.0,Nichols Hills ES,469.0,(405) 587-2583,Kim Iraggi,kgiraggi@okcps.org,1301 West Wilshire Blvd,Nichols Hills,OK,73116.0,PK-06,46.0
OKLAHOMA,OKLAHOMA CITY,01-C024,343.0,North Highland ES,423.0,405) 587-6250,Anita Jones,aljones@okcps.org,8400 North Robinson Ave,Oklahoma City,KO,73114.0,PK-06,41.0
OKLAHOMA,OKLAHOMA CITY,05-I006,344.0,Oakridge ES,-475.484303272617,(405) 587-5500,Ycedra Daughty,yldaughty@okcps.org,4200 Leonhardt Drive,Oklahoma City,OK,73115.0,PK-06,28.0
OKLAHOMA,OKLAHOMA CITY,03-C022,350.0,Thelma R. Parks ES,314.0,(405) 587-4400,Rejeana Payne,rcpayne@okcps.org,1501 Northeast 30Th Street,Oklahoma City,OK,73111.0,PK-06,33.0
OKLAHOMA,OKLAHOMA CITY,10-I021,352.0,Parmelee ES,931.0,(405) 587-6750,Jan Parks,jdparks@okcps.org,6700 South Hudson Ave,Oklahoma City,OK,73139.0,PK-06,75.0
OKLAHOMA,OKLAHOMA CITY,01-C032,353.0,Pierce ES d,1320.5921267440172,(405) 587-7400,Paula Pluess,pmpluess@okcps.og,2701 South Tulsa Ave,Oklahoma City,nOK,105741.33585919172,PK-6,30.0
