Year,OSHPD_ID,Facility Name,County,Type of Ownership,Hospital Type,Teaching,Small/Rural,Average Licensed Beds,Average Available Beds,Average Staffed Beds,Bad Debts,Charity Care,Location
2014,106391042,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,San Joaquin,Non-Profit,Comparable,,,366,366,212,$21423744.00,$15527826.00,"STOCKTON, California
(37.957541, -121.292451)"
2014,106301140,CHAPMAN MEDICAL CENTER,Orange,Investor,Comparable,,,114,100,100,$4588100.00,$461039.00,"ORANGE, California
(33.791489, -117.853096)"
2014,106190857,DOCTORS HOSPITAL OF WEST COVINA,Los Angeles,Investor,Comparable,,,46,46,46,$-5842.00,$0.00,"WEST COVINA, California
(34.068896, -117.938239)"
2012,106110889,GLENN MEDICAL CENTER,Glenn,Non-Profit,Comparable,,Rural,47,15,15,$1407350.00,$15808.00,"WILLOWS, California
(39.520518, -122.198176)"
2012,106194010,AMERICAN RECOVERY CENTER,Los Angeles,Non-Profit,Comparable,,,156,156,156,$0.00,$0.00,"POMONA, California
(34.055118, -117.750048)"
2013,106190197,COMMUNITY HOSPITAL OF HUNTINGTON PARK,Los Angeles,Investor,Comparable,,,81,81,81,$32617379.00,$985234.00,"HUNTINGTON PARK, California
(33.979272, -118.219087)"
2013,106121080,ST. JOSEPH HOSPITAL - EUREKA,Humboldt,Non-Profit,Comparable,,,153,138,138,$15057000.00,$9344000.00,"EUREKA, California
(40.786143, -124.161309)"
2012,106370689,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER,San Diego,Non-Profit,Comparable,,,181,154,121,$620482.00,$5573386.00,"CORONADO, California
(32.693926, -117.190481)"
2014,106010735,ALAMEDA HOSPITAL,Alameda,Non-Profit,Comparable,,,281,236,236,$14559778.00,$304228.00,"ALAMEDA, California
(37.765336, -122.241873)"
2012,106434040,LUCILE S PACKARD CHILDREN'S HOSPITAL AT STANFORD,Santa Clara,Non-Profit,Comparable,Teaching,,311,311,311,$11522543.00,$1795839.00,"PALO ALTO, California
(37.445103, -122.160363)"
2014,106250956,MODOC MEDICAL CENTER,Modoc,City/County,Comparable,,Rural,87,87,50,$543511.00,$0.00,"ALTURAS, California
(41.490967, -120.542538)"
2013,106370745,SHARP MESA VISTA HOSPITAL,San Diego,Non-Profit,Comparable,,,149,149,104,$914980.00,$9894392.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2013,106400548,TWIN CITIES COMMUNITY HOSPITAL,San Luis Obispo,Investor,Comparable,,Rural,122,122,46,$7174072.00,$6039078.00,"TEMPLETON, California
(35.549809, -120.70491)"
2012,106410817,SETON MEDICAL CENTER,San Mateo,Non-Profit,Comparable,,,478,415,232,$9126698.00,$11986020.00,"DALY CITY, California
(37.691113, -122.472221)"
2013,106250956,MODOC MEDICAL CENTER,Modoc,City/County,Comparable,,Rural,87,87,48,$851627.00,$0.00,"ALTURAS, California
(41.490967, -120.542538)"
2014,106130699,EL CENTRO REGIONAL MEDICAL CENTER,Imperial,City/County,Comparable,,,161,161,161,$14745822.00,$11455873.00,"EL CENTRO, California
(32.792855, -115.565551)"
2012,106010735,ALAMEDA HOSPITAL,Alameda,Non-Profit,Comparable,,,281,236,236,$11065492.00,$1245720.00,"ALAMEDA, California
(37.765336, -122.241873)"
2014,106450949,MERCY MEDICAL CENTER - REDDING,Shasta,Non-Profit,Comparable,,,267,267,267,$33319193.00,$10341205.00,"REDDING, California
(40.574637, -122.38109)"
2013,106362041,HI-DESERT MEDICAL CENTER,San Bernardino,District,Comparable,,Rural,179,179,144,$8780464.00,$1589730.00,"JOSHUA TREE, California
(34.126919, -116.315127)"
2012,106190328,EAST VALLEY HOSPITAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,128,128,128,$2102945.00,$0.00,"GLENDORA, California
(34.136001, -117.865485)"
2012,106190712,SHRINERS HOSPITAL - LOS ANGELES,Los Angeles,Non-Profit,Shriners Hospitals,,,60,60,60,$0.00,$0.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,Humboldt,District,Comparable,,Rural,17,17,17,$2152357.00,$192753.00,"GARBERVILLE, California
(40.101491, -123.792756)"
2014,106013619,SAN LEANDRO HOSPITAL,Alameda,City/County,Comparable,,,93,93,93,$10188439.00,$1056508.00,"SAN LEANDRO, California
(37.728364, -122.158612)"
2013,106380929,CALIFORNIA PACIFIC MEDICAL CENTER,San Francisco,Non-Profit,Comparable,Teaching,,970,733,432,$51960000.00,$56877000.00,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2013,106454068,RESTPADD PHF,Shasta,Investor,Psychiatric Health Facilities,,,16,16,16,$0.00,$0.00,"REDDING, California
(40.574637, -122.38109)"
2013,106191225,TOM REDGATE MEMORIAL RECOVERY CENTER,Los Angeles,Non-Profit,Comparable,,,63,63,63,$0.00,$0.00,"LONG BEACH, California
(33.767168, -118.193723)"
2012,106190243,DOWNEY REGIONAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,199,199,181,$50897208.00,$9298400.00,"DOWNEY, California
(33.940946, -118.12752)"
2012,106331226,RIVERSIDE CENTER FOR BEHAVIORAL MEDICINE,Riverside,Investor,Comparable,,,68,68,48,$183351.00,$0.00,"RIVERSIDE, California
(33.980534, -117.377025)"
2012,106010937,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT HAWTHORNE,Alameda,Non-Profit,Comparable,,,509,509,509,$16891359.00,$34543859.00,"OAKLAND, California
(37.804828, -122.27248)"
2014,106010987,WASHINGTON HOSPITAL - FREMONT,Alameda,District,Comparable,,,341,316,147,$38033446.00,$13664621.00,"FREMONT, California
(37.550195, -121.980829)"
2012,106190170,CHILDREN'S HOSPITAL - LOS ANGELES,Los Angeles,Non-Profit,Comparable,Teaching,,603,347,347,$7383154.00,$2855217.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2012,106301127,KINDRED HOSPITAL - BREA,Orange,Investor,Comparable,,,86,86,86,$211086.00,$0.00,"BREA, California
(33.917763, -117.898326)"
2013,106370673,RADY CHILDREN'S HOSPITAL-SAN DIEGO,San Diego,Non-Profit,Comparable,Teaching,,520,382,310,$11505000.00,$15868713.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2012,106301248,LOS ALAMITOS MEDICAL CENTER,Orange,Investor,Comparable,,,167,167,117,$5537925.00,$4746238.00,"LOS ALAMITOS, California
(33.804939, -118.071876)"
2013,106190280,ENCINO HOSPITAL MEDICAL CENTER,Los Angeles,Investor,Comparable,,,150,150,150,$18007998.00,$863638.00,"ENCINO, California
(34.159199, -118.500298)"
2013,106331288,PALO VERDE HOSPITAL,Riverside,District,Comparable,,Rural,51,42,30,$7824626.00,$4784435.00,"BLYTHE, California
(33.610437, -114.596827)"
2013,106070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK,Contra Costa,Non-Profit,Comparable,,,572,399,233,$37111853.00,$63768668.00,"WALNUT CREEK, California
(37.901763, -122.061921)"
2013,106190524,MISSION COMMUNITY HOSPITAL - PANORAMA,Los Angeles,Non-Profit,Comparable,,,145,145,145,$6417061.00,$8986908.00,"PANORAMA CITY, California
(34.224701, -118.448898)"
2013,106560501,OJAI VALLEY COMMUNITY HOSPITAL,Ventura,Non-Profit,Comparable,,Rural,103,103,64,$1907892.00,$2165765.00,"OJAI, California
(34.447966, -119.242981)"
2013,106240924,MEMORIAL HOSPITAL - LOS BANOS,Merced,Non-Profit,Comparable,,Rural,46,46,46,$11499030.00,$10485473.00,"LOS BANOS, California
(37.061242, -120.845795)"
2013,106190434,KAISER FDN HOSP - WEST LA,Los Angeles,Non-Profit,Kaiser Foundation Health,,,305,305,137,$0.00,$0.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106391056,SUTTER TRACY COMMUNITY HOSPITAL,San Joaquin,Non-Profit,Comparable,,,82,82,82,$17646203.00,$13344435.00,"TRACY, California
(37.738534, -121.421127)"
2013,106190673,SAN DIMAS COMMUNITY HOSPITAL,Los Angeles,Investor,Comparable,,,101,101,101,$10852877.00,$1642069.00,"SAN DIMAS, California
(34.106678, -117.802753)"
2013,106190150,KEDREN COMMUNITY MENTAL HEALTH CENTER,Los Angeles,Non-Profit,Comparable,,,72,72,72,$0.00,$0.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2014,106190661,SILVER LAKE MEDICAL CENTER,Los Angeles,Investor,Comparable,,,234,211,211,$0.00,$0.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2014,106194219,KECK HOSPITAL OF USC,Los Angeles,Investor,Comparable,Teaching,,411,349,246,$22184924.00,$4019198.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2012,106190468,PROMISE HOSPITAL OF EAST LOS ANGELES,Los Angeles,Investor,Comparable,,,213,213,179,$2398679.00,$0.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2012,106070934,SUTTER DELTA MEDICAL CENTER,Contra Costa,Non-Profit,Comparable,,,145,145,145,$20859024.00,$39966475.00,"ANTIOCH, California
(38.016907, -121.813771)"
2013,106190587,COLLEGE MEDICAL CENTER,Los Angeles,Investor,Comparable,,,157,157,157,$8129953.00,$1660423.00,"LONG BEACH, California
(33.767168, -118.193723)"
2012,106491001,PETALUMA VALLEY HOSPITAL,Sonoma,Non-Profit,Comparable,,,80,59,28,$6402853.00,$7262893.00,"PETALUMA, California
(38.232474, -122.636846)"
2013,106010987,WASHINGTON HOSPITAL - FREMONT,Alameda,District,Comparable,,,353,299,299,$46992652.00,$20815758.00,"FREMONT, California
(37.550195, -121.980829)"
2014,106491064,SANTA ROSA MEMORIAL HOSPITAL,Sonoma,Non-Profit,Comparable,,,414,414,238,$34213188.00,$35466570.00,"SANTA ROSA, California
(38.439698, -122.715642)"
2012,106070904,DOCTORS MEDICAL CENTER - SAN PABLO,Contra Costa,Investor,Comparable,,,189,189,75,$65344812.00,$486373.00,"SAN PABLO, California
(37.960632, -122.34148)"
2012,106190159,TRI-CITY REGIONAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,107,107,38,$-381699.00,$11369771.00,"HAWAIIAN GARDENS, California
(33.829474, -118.081829)"
2014,106364050,CANYON RIDGE HOSPITAL,San Bernardino,Investor,Comparable,,,106,106,106,$650640.00,$786548.00,"CHINO, California
(34.010971, -117.689239)"
2014,106400524,SIERRA VISTA REGIONAL MEDICAL CENTER,San Luis Obispo,Investor,Comparable,,,164,164,60,$4698236.00,$7025106.00,"SAN LUIS OBISPO, California
(35.282619, -120.660014)"
2014,106190696,PACIFICA HOSPITAL OF THE VALLEY,Los Angeles,Investor,Comparable,,,231,231,231,$1873672.00,$3716369.00,"SUN VALLEY, California
(34.217499, -118.3694)"
2013,106190854,LOS ANGELES METROPOLITAN MEDICAL CENTER,Los Angeles,Investor,Comparable,,,213,210,210,$1401105.00,$198821.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2012,106190196,KINDRED HOSPITAL - SOUTH BAY,Los Angeles,Investor,Comparable,,,84,84,84,$0.00,$0.00,"GARDENA, California
(33.883764, -118.309144)"
2013,106361370,VICTOR VALLEY GLOBAL MEDICAL CENTER,San Bernardino,Investor,Comparable,,Rural,101,101,101,$13810274.00,$5305866.00,"VICTORVILLE, California
(34.5121, -117.323632)"
2014,106194967,STAR VIEW ADOLESCENT - PHF,Los Angeles,Investor,Psychiatric Health Facilities,,,16,16,16,$0.00,$0.00,"TORRANCE, California
(33.836318, -118.340038)"
2013,106574010,SUTTER DAVIS HOSPITAL,Yolo,Non-Profit,Comparable,,,48,48,48,$3063347.00,$9242972.00,"DAVIS, California
(38.546421, -121.745384)"
2013,106350784,HAZEL HAWKINS MEMORIAL HOSPITAL,San Benito,District,Comparable,,Rural,176,159,133,$6931644.00,$1897542.00,"HOLLISTER, California
(36.852513, -121.402063)"
2014,106190232,DEL AMO HOSPITAL,Los Angeles,Investor,Comparable,,,166,166,166,$1057397.00,$1080160.00,"TORRANCE, California
(33.836318, -118.340038)"
2013,106370721,KINDRED HOSPITAL - SAN DIEGO,San Diego,Investor,Comparable,,,70,66,64,$562753.00,$0.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2012,106301566,WESTERN MEDICAL CENTER-SANTA ANA,Orange,Investor,Comparable,,,228,228,228,$29513556.00,$13197740.00,"SANTA ANA, California
(33.749738, -117.869781)"
2013,106070924,CONTRA COSTA REGIONAL MEDICAL CENTER,Contra Costa,City/County,Comparable,,,146,146,101,$133113.00,$0.00,"MARTINEZ, California
(38.018992, -122.134855)"
2013,106301566,WESTERN MEDICAL CENTER-SANTA ANA,Orange,Investor,Comparable,,,228,228,228,$29037813.00,$16038264.00,"SANTA ANA, California
(33.749738, -117.869781)"
2013,106380868,LANGLEY PORTER PSYCHIATRIC INSTITUTE,San Francisco,Non-Profit,Comparable,,,67,22,22,$617976.00,$0.00,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2012,106190949,HENRY MAYO NEWHALL MEMORIAL HOSPITAL,Los Angeles,Non-Profit,Comparable,,,238,232,144,$19056786.00,$12231261.00,"VALENCIA, California
(34.389444, -118.564722)"
2013,106334457,OASIS PHF,Riverside,Investor,Psychiatric Health Facilities,,,16,16,16,$0.00,$0.00,"INDIO, California
(33.718649, -116.218182)"
2013,106190159,TRI-CITY REGIONAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,107,107,44,$548591.00,$8574604.00,"HAWAIIAN GARDENS, California
(33.829474, -118.081829)"
2012,106490919,SUTTER MEDICAL CENTER - SANTA ROSA,Sonoma,Non-Profit,Comparable,,,135,135,115,$7506996.00,$9585160.00,"SANTA ROSA, California
(38.439698, -122.715642)"
2013,106361768,PATTON STATE HOSPITAL,San Bernardino,State,State Hospitals,,,1287,1527,1527,$0.00,$0.00,"PATTON, California
(34.135799, -117.223099)"
2013,106190517,PROVIDENCE TARZANA MEDICAL CENTER,Los Angeles,Investor,Comparable,,,245,245,201,$6625350.00,$18895458.00,"TARZANA, California
(34.173302, -118.553101)"
2013,106481015,ST. HELENA HOSPITAL - BEHAVIORAL HEALTH,Solano,Non-Profit,Comparable,,,61,61,56,$477521.00,$272039.00,"VALLEJO, California
(38.101088, -122.254959)"
2014,106194010,AMERICAN RECOVERY CENTER,Los Angeles,Non-Profit,Comparable,,,156,156,156,$0.00,$0.00,"POMONA, California
(34.055118, -117.750048)"
2014,106331288,PALO VERDE HOSPITAL,Riverside,District,Comparable,,Rural,51,42,31,$8630040.00,$2747270.00,"BLYTHE, California
(33.610437, -114.596827)"
2012,106331293,PARKVIEW COMMUNITY HOSPITAL,Riverside,Non-Profit,Comparable,,,193,193,120,$6576227.00,$3782168.00,"RIVERSIDE, California
(33.980534, -117.377025)"
2013,106104023,SAN JOAQUIN VALLEY REHAB HOSPITAL,Fresno,Investor,Comparable,,,62,62,49,$256568.00,$132969.00,"FRESNO, California
(36.731654, -119.785856)"
2014,106491338,PALM DRIVE HOSPITAL,Sonoma,District,Comparable,,Rural,37,28,9,$575888.00,$76431.00,"SEBASTOPOL, California
(38.402084, -122.824191)"
2013,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,Riverside,Non-Profit,Comparable,,,106,106,106,$14778065.00,$0.00,"MURRIETA, California
(33.559752, -117.220777)"
2013,106494019,KAISER FDN HOSP - SANTA ROSA,Sonoma,Non-Profit,Kaiser Foundation Health,,,173,173,78,$0.00,$0.00,"SANTA ROSA, California
(38.439698, -122.715642)"
2012,106154022,HEALTHSOUTH BAKERSFIELD REGIONAL REHAB HOSPITAL,Kern,Investor,Comparable,,,66,66,66,$403197.00,$0.00,"BAKERSFIELD, California
(35.373405, -119.018911)"
2013,106514033,NORTH VALLEY BEHAVIORAL HEALTH-PHF,Sutter,Investor,Psychiatric Health Facilities,,,16,16,16,$0.00,$0.00,"YUBA CITY, California
(39.13222, -121.625147)"
2014,106190197,COMMUNITY HOSPITAL OF HUNTINGTON PARK,Los Angeles,Investor,Comparable,,,81,81,81,$31892767.00,$1819391.00,"HUNTINGTON PARK, California
(33.979272, -118.219087)"
2013,106194981,LA CASA PHF,Los Angeles,Investor,Psychiatric Health Facilities,,,16,16,16,$0.00,$0.00,"LONG BEACH, California
(33.767168, -118.193723)"
2014,106370705,FALLBROOK HOSPITAL DISTRICT,San Diego,District,Comparable,,Rural,146,146,146,$3268041.00,$0.00,"FALLBROOK, California
(33.38206, -117.251355)"
2013,106124004,SEMPERVIRENS - PHF,Humboldt,City/County,Psychiatric Health Facilities,,,16,16,16,$0.00,$0.00,"EUREKA, California
(40.786143, -124.161309)"
2013,106190525,LONG BEACH MEMORIAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,Teaching,,462,462,293,$10579236.00,$75832819.00,"LONG BEACH, California
(33.767168, -118.193723)"
2012,106341006,UNIVERSITY OF CALIFORNIA - DAVIS MEDICAL CENTER,Sacramento,Non-Profit,Comparable,Teaching,,619,581,562,$81908071.00,$264109227.00,"SACRAMENTO, California
(38.582087, -121.50012)"
2012,106190525,LONG BEACH MEMORIAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,Teaching,,462,462,300,$44579580.00,$43369486.00,"LONG BEACH, California
(33.767168, -118.193723)"
2013,106490919,SUTTER MEDICAL CENTER - SANTA ROSA,Sonoma,Non-Profit,Comparable,,,135,135,115,$11200221.00,$10464959.00,"SANTA ROSA, California
(38.439698, -122.715642)"
2012,106190400,HUNTINGTON MEMORIAL HOSPITAL,Los Angeles,Non-Profit,Comparable,,,548,548,334,$104417703.00,$15604224.00,"PASADENA, California
(34.14955, -118.141452)"
2013,106190432,KAISER FDN HOSP - PANORAMA CITY,Los Angeles,Non-Profit,Kaiser Foundation Health,,,218,218,141,$0.00,$0.00,"PANORAMA CITY, California
(34.224701, -118.448898)"
2014,106196405,PALMDALE REGIONAL MEDICAL CENTER,Los Angeles,Investor,Comparable,,,157,102,102,$12931315.00,$12314586.00,"PALMDALE, California
(34.576469, -118.116103)"
2013,106301781,FAIRVIEW DEVELOPMENTAL CENTER,Orange,State,State Hospitals,,,1218,894,324,$0.00,$0.00,"COSTA MESA, California
(33.663857, -117.904765)"
2013,106154160,CRESTWOOD PHF - BAKERSFIELD,Kern,Investor,Psychiatric Health Facilities,,,16,16,16,$0.00,$0.00,"BAKERSFIELD, California
(35.373405, -119.018911)"
2014,106364144,DESERT VALLEY HOSPITAL,San Bernardino,Investor,Comparable,,,148,148,148,$12509882.00,$3039543.00,"VICTORVILLE, California
(34.5121, -117.323632)"
2014,106370755,PALOMAR HEALTH DOWNTOWN CAMPUS,San Diego,District,Comparable,,,679,679,291,$61056543.00,$10393219.00,"ESCONDIDO, California
(33.130363, -117.085357)"
2012,106190568,NORTHRIDGE HOSPITAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,411,411,191,$40386627.00,$47807079.00,"NORTHRIDGE, California
(34.228298, -118.535797)"
2014,106331216,JOHN F. KENNEDY MEMORIAL HOSPITAL,Riverside,Investor,Comparable,,,156,145,67,$6448923.00,$4767329.00,"INDIO, California
(33.718649, -116.218182)"
2013,106374024,AURORA SAN DIEGO,San Diego,Investor,Comparable,,,80,80,66,$426830.00,$533766.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2012,106370875,SHARP CHULA VISTA MEDICAL CENTER,San Diego,Non-Profit,Comparable,,,343,343,266,$5134996.00,$65817333.00,"CHULA VISTA, California
(32.640071, -117.084042)"
2013,106196405,PALMDALE REGIONAL MEDICAL CENTER,Los Angeles,Investor,Comparable,,,157,157,157,$31609381.00,$19714424.00,"PALMDALE, California
(34.576469, -118.116103)"
2014,106521041,ST. ELIZABETH COMMUNITY HOSPITAL,Tehama,Non-Profit,Comparable,,Rural,76,66,66,$12872578.00,$2231921.00,"RED BLUFF, California
(40.176607, -122.234146)"
2012,106331312,RIVERSIDE COMMUNITY HOSPITAL,Riverside,Investor,Comparable,,,372,345,345,$84360209.00,$41348415.00,"RIVERSIDE, California
(33.980534, -117.377025)"
2012,106370730,KAISER FDN HOSP - SAN DIEGO,San Diego,Non-Profit,Kaiser Foundation Health,,,392,392,367,$0.00,$0.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2012,106304113,CHILDREN'S HOSPITAL - MISSION,Orange,Non-Profit,Comparable,,,48,48,48,$4077797.00,$1072757.00,"MISSION VIEJO, California
(33.595018, -117.659099)"
2012,106190298,FOOTHILL PRESBYTERIAN HOSPITAL,Los Angeles,Non-Profit,Comparable,,,105,105,62,$5363472.00,$2921929.00,"GLENDORA, California
(34.136001, -117.865485)"
2012,106580996,RIDEOUT MEMORIAL HOSPITAL,Yuba,Non-Profit,Comparable,,,305,239,156,$20876620.00,$20209236.00,"MARYSVILLE, California
(39.141551, -121.587688)"
2012,106370787,PROMISE HOSPITAL OF SAN DIEGO,San Diego,Investor,Comparable,,,100,100,67,$0.00,$0.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2012,106304079,HEALTHSOUTH TUSTIN REHAB HOSPITAL,Orange,Investor,Comparable,,,48,48,41,$71420.00,$0.00,"TUSTIN, California
(33.742072, -117.818805)"
2013,106190534,OLYMPIA MEDICAL CENTER,Los Angeles,Investor,Comparable,,,204,135,135,$23943936.00,$4548419.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106450936,MAYERS MEMORIAL HOSPITAL,Shasta,District,Comparable,,Rural,121,121,121,$931614.00,$52482.00,"FALL RIVER MILLS, California
(41.003555, -121.439959)"
2013,106190198,LOS ANGELES COMMUNITY HOSPITAL,Los Angeles,Investor,Comparable,,,180,180,180,$8096664.00,$500099.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2012,106364144,DESERT VALLEY HOSPITAL,San Bernardino,Investor,Comparable,,,148,148,148,$27834686.00,$1688035.00,"VICTORVILLE, California
(34.5121, -117.323632)"
2012,106210993,KENTFIELD REHAB HOSPITAL,Marin,Investor,Comparable,,,60,60,44,$387941.00,$0.00,"KENTFIELD, California
(37.956815, -122.549121)"
2014,106540734,KAWEAH DELTA MEDICAL CENTER,Tulare,District,Comparable,,,581,576,425,$6183230.00,$34667849.00,"VISALIA, California
(36.33012, -119.29888)"
2014,106304159,HEALTHBRIDGE CHILDRENS HOSPITAL-ORANGE,Orange,Investor,Comparable,,,27,27,27,$112957.00,$0.00,"ORANGE, California
(33.791489, -117.853096)"
2012,106380868,LANGLEY PORTER PSYCHIATRIC INSTITUTE,San Francisco,Non-Profit,Comparable,,,67,22,22,$710753.00,$0.00,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2013,106304409,KAISER FDN HOSP - ORANGE CO - ANAHEIM,Orange,Non-Profit,Kaiser Foundation Health,,,350,326,310,$0.00,$0.00,"ANAHEIM, California
(33.834492, -117.915638)"
2012,106430905,STANFORD UNIVERSITY HOSPITAL,Santa Clara,Non-Profit,Comparable,Teaching,,613,466,466,$67805146.00,$106782076.00,"PALO ALTO, California
(37.445103, -122.160363)"
2013,106332172,KINDRED HOSPITAL - RIVERSIDE,Riverside,Investor,Comparable,,,40,40,33,$686387.00,$0.00,"PERRIS, California
(33.786558, -117.228201)"
2013,106380960,ST. FRANCIS MEMORIAL HOSPITAL,San Francisco,Non-Profit,Comparable,,,288,150,106,$20836943.00,$38680629.00,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2014,106191306,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION CENTER,Los Angeles,City/County,Comparable,,,289,289,173,$3646091.00,$0.00,"DOWNEY, California
(33.940946, -118.12752)"
2013,106341051,SUTTER MEDICAL CENTER - SACRAMENTO,Sacramento,Non-Profit,Comparable,,,754,754,430,$8430635.00,$85289215.00,"SACRAMENTO, California
(38.582087, -121.50012)"
2013,106190812,VALLEY PRESBYTERIAN HOSPITAL,Los Angeles,Non-Profit,Comparable,,,350,348,196,$10507304.00,$6796541.00,"VAN NUYS, California
(34.186699, -118.448097)"
2013,106434153,KAISER FDN HOSP - SANTA CLARA,Santa Clara,Non-Profit,Kaiser Foundation Health,Teaching,,327,327,268,$0.00,$0.00,"SANTA CLARA, California
(37.352395, -121.953076)"
2013,106191227,LAC/HARBOR-UCLA MEDICAL CENTER,Los Angeles,City/County,Comparable,Teaching,,538,459,329,$1429859.00,$0.00,"TORRANCE, California
(33.836318, -118.340038)"
2012,106184008,BANNER LASSEN MEDICAL CENTER,Lassen,Non-Profit,Comparable,,Rural,38,25,25,$3411025.00,$2980175.00,"SUSANVILLE, California
(40.415483, -120.648932)"
2013,106150788,SAN JOAQUIN COMMUNITY HOSPITAL,Kern,Non-Profit,Comparable,,,259,259,259,$19367416.00,$21159787.00,"BAKERSFIELD, California
(35.373405, -119.018911)"
2013,106084001,SUTTER COAST HOSPITAL,Del Norte,Non-Profit,Comparable,,Rural,49,49,49,$4051313.00,$7177335.00,"CRESCENT CITY, California
(41.754772, -124.204373)"
2012,106190305,KINDRED HOSPITAL - LOS ANGELES,Los Angeles,Investor,Comparable,,,81,81,81,$119812.00,$0.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106190857,DOCTORS HOSPITAL OF WEST COVINA,Los Angeles,Investor,Comparable,,,46,46,46,$62897.00,$0.00,"WEST COVINA, California
(34.068896, -117.938239)"
2012,106194967,STAR VIEW ADOLESCENT - PHF,Los Angeles,Investor,Psychiatric Health Facilities,,,16,16,16,$0.00,$0.00,"TORRANCE, California
(33.836318, -118.340038)"
2014,106554011,SONORA REGIONAL MEDICAL CENTER-GREENLEY,Tuolumne,Non-Profit,Comparable,,Rural,152,152,122,$8155769.00,$4336292.00,"SONORA, California
(37.982943, -120.382117)"
2013,106331152,CORONA REGIONAL MEDICAL CENTER - MAIN,Riverside,Non-Profit,Comparable,,,239,239,108,$21150345.00,$6964291.00,"CORONA, California
(33.875665, -117.568843)"
2013,106374055,SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,San Diego,City/County,LTC Emphasis,,,301,301,248,$0.00,$0.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2012,106190198,LOS ANGELES COMMUNITY HOSPITAL,Los Angeles,Investor,Comparable,,,180,180,180,$9350617.00,$1018275.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106340950,MERCY SAN JUAN HOSPITAL,Sacramento,Non-Profit,Comparable,,,370,370,370,$80193000.00,$25313000.00,"CARMICHAEL, California
(38.636604, -121.327265)"
2012,106331168,EISENHOWER MEDICAL CENTER,Riverside,Non-Profit,Comparable,,,540,380,380,$22687947.00,$17922254.00,"RANCHO MIRAGE, California
(33.742298, -116.410904)"
2014,106190305,KINDRED HOSPITAL - LOS ANGELES,Los Angeles,Investor,Comparable,,,81,81,81,$3027960.00,$0.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106304159,HEALTHBRIDGE CHILDRENS HOSPITAL-ORANGE,Orange,Investor,Comparable,,,27,27,27,$293135.00,$0.00,"ORANGE, California
(33.791489, -117.853096)"
2014,106301357,NEWPORT SPECIALTY HOSPITAL,Orange,Investor,Comparable,,,177,42,22,$2629.00,$0.00,"TUSTIN, California
(33.742072, -117.818805)"
2012,106191216,USC KENNETH NORRIS JR. CANCER HOSPITAL,Los Angeles,Non-Profit,Comparable,,,60,60,0,$1900547.00,$24870.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106301379,WEST ANAHEIM MEDICAL CENTER,Orange,Investor,Comparable,,,219,219,219,$49062328.00,$4968132.00,"ANAHEIM, California
(33.834492, -117.915638)"
2013,106410891,SEQUOIA HOSPITAL,San Mateo,Non-Profit,Comparable,,,189,150,62,$13426337.00,$5506959.00,"REDWOOD CITY, California
(37.484778, -122.22815)"
2012,106014233,EDEN MEDICAL CENTER,Alameda,Non-Profit,Comparable,,,130,130,130,$7620179.00,$5232124.00,"CASTRO VALLEY, California
(37.698547, -122.073956)"
