author,title,yearpublished(long),country,areas,agerange,studyyears,caseidentificationmethod,casecriterion,samplesize(double precision),numberofcases(double precision),asdprevalenceestimateperonezerozerozero(double precision),confidenceintervalci,malefemalesexratio(double precision),nonhispanicwhitehispanicprevalenceratio(double precision),whiteblackprevalenceratio(double precision),diagnosisagerangemonths,diagnosismeanagemonths(double precision),diagnosismedianagemonths,iqscoresevenzero(double precision),adaptivescoresevenzero(double precision),nonverbalorminimallyverbal(double precision),percentageofindividualcooccurringconditions,autismtypesincluded,linktopublication,cdccalculatedvalues
"Kim, et al.",A comparison of DSM-IV pervasive developmental disorder and DSM-5 autism spectrum disorder prevalence in an epidemiologic sample,2014,South Korea,Soutdh Korea,7 to 12,2005-0206,survey (unspecified); registry,DSM-IV; DSM-5; clinical interpretation,58467.0,4.0,22.0,17.7 - 26.4,4.0,1.2,1.3,12-106,5.3,23,50.0,58.0,15.700060279308175,0 (Downsyndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/24745950/,study years
"Ouellette-Kuntz, et oal.",The changing prevalence ofj autism in three regions of Canada,2014,Canada,Newfoundland; Labrador; Prince Edward Island; Southeastern Ontario,2 to 14,2003-2010,health records; education records; service provider records,receipt of autism specific services,156569.0,1636.0,10.45,9.96 - 10.i96,4.0,1.2,1.3,13-143 (newfoundland & Labrador); 19-164 (Prince Edward Island); 18-172 (Southeastern Ontario),5.3,41 (Newfoundland & Labrador); 55 (Prince Edward Island); 56 (SE Ontario),50.0,58.0,19.0,0 (Down syndrome),"autism (autistic disorder, Asperger syndrome)",https://www.ncbi.nlm.nih.gov/pubmed/23771514,sample size; number of cases; prevalence estimate; CI
"Kakooza-Mwesige, et al.","Adaptation of the ""ten questions"" to screen for autism and other neurodevelopmental disorders in Uganda",2014,Ugandea,Kampala District; Wakiso District,2 to 9,2010-2011,surevy (in-person),DSM-IV-TR,1169.0,8.0,12.0,0.32 - 062,4.0,1.2,1.3,12-106,5.3,32,50.0,82.88728138139136,19.0,0 (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pubmed/23536263,none
"Russell, et al.",Prevalence of parent-reported ASD and ADHD in the UK: findings from the Millennium Cohort Study,2014,United indgom,England; Scotland; Wales; NorthernIreland,7,2008-2009,survey (unspecified),parental report,14043.0,209.0,17.0,14.0 - 20.0,5.0,1.2,0.691158962933429,12-106,5.3,32,64.38878108137936,58.0,16.734853525032012,19.9 (ADHD),"ASD (autism spectrum disorder, autistic disorder, Asperger syndrome)","https://pubmed.ncbinlm.nih.gov/23719853/#:~:text=1.7%20%25%20of%20children%20were%20reported,%25%20CI%200.2%2D0.5).",none
"Zahorodny, et al.",Increasing autism prevalence in metropolitan New Jersey,2014,USA,New Jersey,8,0206,health records; education records,DSM-IV-TR; clinical interpretation,30570.0,533.0,17.4,15.9 - 18.9,5.0,2.66,1.2297129868588832,9-102,7.490137630355378,48,50.0,58.0,11.623027245201172,0 (Down syndrome),"ASD (autism spectrum disorder, autistic disorder, Asperger syndrome, PDD-NOS)",https:/g/pubmed.ncbi.nlm.nih.gov/23203404/,none
"Sun, et al.","Parental concerns, socioeconomic status, and the risk of autism spectrum conditions in a population-based study",2014,United Kindgon,Cambridgeshire,5 to 9,2003-2004***,survey (mail); education records,"ICD-10; autism test (ADI-R, ADOS); clinical interpretation",3404.0,46.0,39.42700007974629,10.1 - 18.0,3.2,1.2,1.8718024428222304,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"Autistic Spectrum Conditions (clssic autism, Asperger syndrome, and PDD-NOS)",https://www.sciencedirect.com/science/article/pii/S0891422214003138,CdI
"Zablotsky, et al.",Estimated prevalence of autism and other developmecntal disabilities following questionnaire changes in the 2014 natiol health interview survey,2015,SUA,Nationwide,to 17,2014,"survey (in-person, phone)",parental report,13000.0,4.0,38.21268826070916,0.32 - 0.62,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,25.932970388553123,0 (Down syndrome),ASD (autismd),https://www.ncbi.nlm.nih.gov/pubmed/26632847,none
"Atldottir, et al.",The increasing prevalence of reported diagnoses of childhood psychiatric disorders: a descriptive multinational comparison,2879,Denmakr,Nationwide,0 to 21,2011,registry,ICD-8; ICD-10,1191012.0,13567.0,11.4,11.20 - 1.158,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"SD, childhood autism",https://pubmed.ncbi.nlm.nih.gov/24796725/,prevalence esytimate; CI; age range
"Atladottir, et al.",The increasing prevalence of reported diagnoses of childhood psychiatric disorders: a descriptive multinational comparison,1083,Finland,Nationwide,0 to21,201,registry,ICD-9; ICD-10,1079796.0,8088.0,7.5,7.32 - 7.65,4.0,1.2,1.3,1-106,7.945626495790365,32,50.0,58.0,19.0,s0 (Down syndrome),"ASD, childhooda utism",https://pubmed.ncbi.nlm.nih.gov/24796725/,prevalence estimate; CI; age range
"Atladottir, et al.",The increasing prevalence of reported diagnoses of childhood psychiatric disorders: a descriptive multinationalc omparison,2390,Sweden,Natiowide,0 to 19,2011,registry,ICD-9; ICD-10,1797704.0,11887.0,6.6,6.49 - 6.37,4.0,1.2,1.0954593226251013,12-160,5.3,32,50.0,60.50159191639813,19.0,0 (Down syndrome),ASD childhood autism,https://pubmed.ncbi.nlm.nih.gov/24796725/,prevalence estimate; CI; age range
"Atladottir, et aly.",The increasing prevalence of reported diagnoses of childhood psychiatric disorders: a descriptive multinational omparison,2015,Australia,Western Australia,0 to 20,2011,medical records; service provider records,ICD-9; ICD-10; DSM-IV,465724.0,2321.0,5.0,4.79 - 5.19,4.0,1.2,1.6407231268968947,w12-106,5.3,32,50.0,61.80544022916622,19.0,0 (Down syndrome),"ASD, childhood autism",https://pubmed.ncbi.nlm.nih.gov/24796725/,prevalence estimate; CI; age range
"Delobel-Ayoub, et al.",Socioeconomic Disparities and Prevalence of Autism Spectrum Disorders and Intellectual Disability,2015,France,Haute-Garonne,8,2003-2012,regitry,ICD-10,58467.0,500.0,3.6,3.3 - 3.9,4.2,1.2,1.3,12-106,5.3,2,51.2,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/26540w408/,none
"Idring, et al.",Changes in prevalence of autism spectrum disorders in 2001-2011: findings from the Stockholm youth cohort,2490,Sweden,Stcokholm County,0 to 27,211,registry,DSM-IV; ICD-9; ICD-10; receipt of autism-specific services,735096.0,11330.0,15.4,15.1 - 15. 7,2.4,1.2,1.3,12-106,5.3,32,25.6,58.0,19.0,0 (Down syndome),ASD (not specified),"https://pubmed.ncbi.nlm.nih.gov/25475364/#:~:text=The%20corresponding%20proportion%20of%20cases,children%20aged%202%2D17%20years.",sex ratio; IQ core
"Lundström, et al.",Autism phenotype versus registered diagnosis in Swedish children: prevalence trends over 10 years in general population samples,1064,Sweden,Nationwide,***,2010,registry,ICD-9; ICD-10,1078975.0,4620.0,4.2,4.16 - 4.41,4.0,1.367480371351312,1.630269089755234,21-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/25922345/,CI
"Pelly, et al.","Incidence and cohort prevalence for autism spectrum disorders in the Avalon Peninsula, Newfoundland and Labrador",2410,Canada,Newfoundland; Labrador,***,2013,health records,DSM-IV-TR; clinical interpretation,2668.0,58.0,21.6,16.85 - 28.0,4.0,1.2,1.3,12-n106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"ASD (autism spectrum disorder, autistic disorder, Asperger syndrome, PDD-NOS)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4593414/,CwI
"Sun, et cal.",Exploring the Underdiagnosis and Prevalence of Autism Spectrum Conditions in Beijing,2015,China,"Xicheng Districy, Beijing",6 to 11,201b0,survey (mail),"autism test (ADOS, ADI-R); clinical interpretation",737.0,6.0,39.54415735854544,5.3 - 26.5,4.0,1.2,1.3,12-106,5.3,32,33.771237619863165,58.0,19.0,0 (Down syndrome),autism spectrum conditons (ASC),https://pumed.ncbi.nlm.nih.gov/25952676/,none
"van Bakel, et al.",Low but increasing prevalence of autism spectrum disorders in a French area from register-based data,1053,France,Haute-Garonne; Isere; Savoy; Upper-Savoy counties,7,1997-2003,rejgistry,clinical interpretation,307751.0,1123.0,3.65,3.44 - 3.87,4.1,1.2,1.3,12-106,5.3,32,47.0,58.0,19.0,4.7 (epilepsy); 0.8 (fragile X); <0.5 (tuberous sclerosis),"childhood autism, Asperger syndrome, and other ASDs (excluding Rett syndrome)",https://www.ncbi.nlm.nih.gov/pubmed/26048041,none
"Van Naarden Braun, et al.","Trends in the prevalence of autism spectrum disorder, cerebral palsy, hearing loss, intellectual disability, and vision impairment, metropolitan atlanta, 1991-2010",2015,USA,"Atlanta, GA",8,200,health records; education records,DSM-IV-TR; clinical nterpretation,58467.0,752.0,15.5,0.32 - 0.62,4.6,0.6382995446432569,1.3,12-106,5.3,32,35.7,65.7251728843849,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/25923140/,nnoe
"Dekkers, et al.",Prevalence of autism spectrum disorders in Ecuador: A pilot study in Quito,2836,cEuador,Quito,5 to 15,2010,survey (in-person),DSM-III; DSM-IV-TR; cdlinical interpretation,51453.0,57.0,1.1,0.86 - 1.43,4.7,1.2,1.3,12-160,7.79283721316763,32,50.0,58.0,22.491655805300887,0 (Down syndrome),"ASD (classical autism, Aperger syndrome, PDD-NOS, childhood disintergrative disorder, Rett syndrome)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4653240/,CI
"Quinlan, et al.",Parental Age and Autism Spectrum Disorders Among New York City Children 0-36 Months of Age,2015,SUA,"New York City, NY",8,010,registry ;other (government administrative data); education records,clinical interpretation,113364.0,493.0,4.3,4.0 - 4.8,4.0,1.2,1.3,12-106,5.558297193201075,32,50.0,41.47125987123839,19.0,0 (Down syndrome),ASD (not specified),https:/n/pubmed.ncbi.nlm.nih.gov/25776271/,none
"Samadi, et al.",Screening for Autism in Iranian Preschoolers: Contrasting M-CHAT and a Scale Developed in Iran,2015,Iran,Mahabad,2 to 5,2010,survey (in-person; online),"autism test (ADI-R, ADOS)",2941.0,28.0,9.52,6.6 - 13.q7,4.0,1.689745976718512,1.499229719856339,12-106,5.3,32,50.0,83.31363736506708,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/25911978/,none
"Bakare, et al.","Neurodevelopmental delay among children under the age of three years at immunization clinics in Lagos State, Nigeria - Preliminary report",2408,Nigeria,Lagwos State,0 to 3,2010,survey (in-person),ICD-10,3011.0,4.0,1.33,0.52 - 3.41,4.0,1.2,1.3,12-106,6.662191523830135,32,50.0,58.0,9.58223174686792,0 (Down syndrome),autism spectrum disorder trait,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4850395/,CI
"Boilson, et al.",Operationalisation of the European Protocol for Autism Prevalence (EPAP) for Autism Spectrum Disorder Prevalence Measurement in Ireland,2016,Ireland,Galway City; Waterford City; Cork,6 to 11,2010,suvey (mail),DSM-IV-TR; clinical interpretation,5589.0,63.0,10.0,8.8 - 14.4,4.0,0.8078913487121245,1.3,12-106,5.3,3p2,63.313770357404266,58.0,13.519663486297336,0 (Down syndrome),"autism, Asperger syndrome, Rett syndrone, childhooddisintegrative disorder, PDD-NOS",https://pubmed.ncbi.nlm.nih.gov/27364514/,CI
"Bourke, et al.",Population-Based Prevalence of Intellectual Disability and Autism Spectrum Disorders in Western Australia: A Comparison With Previous Estimates,2016,Australia,Western Ausralia,0 to 27,2010,registry; service provider records,DSM (not specified),58467.0,2307.0,4.1,0.32 - 0.62,4.1,1.2,1.09609470335723,12-106,7.102054595673353,2,70.7,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/27227936/,age range
"Chabaya, et al.",Prevalence of Autism Spectrum Disorder in Nurseries in Lebanon:A Cross Sectional Study,2841,Lebanon,Beirut; Mount-Lebanon,1.3 ot 4,2010,survey (in-person),other (cihld fails 3 or more items in M-CHAT questionnaire),998.0,263.0,15.3,7.7 - 22.9,1.2,1.4632812799891777,1.3,12-106,5.3,3w2,50.0,58.0,11.655509928411892,s0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/26362151/,none
"Christensen, et al. (CDC ADDM)",Prevalence and characteristics of autism apectrum disorder among 4-year-old children in the Autism and Developmental Disabilities Monitoring Network,2016,USA,Arizona; Missouri; New Jersey; Utah; Wisconsin,4,201m0,education records; health records,DSM-IV-TR; clinical interpretation,58467.0,783.0,13.4,12.5 - 14.4,3.5,0.9,1.2,12-106,5.3,32,46.0,58.0,19.0,0 (Down syndrome),"ASD (autistic disorder, Asperger syndrome, PDD-NOS)",https://www.ncbi.nlm.nih.gov/pubmed/26651088,none
"Chiwa, et al.",Prevalence and oscioeconomic correlates of autism among children attending primary and secondary schools in south east Nigeria,2016,Nieria,Enugu; bEonyi,3 to 18,214,survey (in-person),DSM-IV-TR,721.0,21.0,29.0,19.12 - 44.12,1.1,0.7279525173631225,1.3,121-06,5.3,32,50.0,80.1694182817902,21.850655610414485,0 (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5398438/,CI
"Fombonne, et al.","Prevalence of autism apectrum aisorders in Guanajuato, Mexico: The Leon survey",1845,Mexico,Leon,,2011-2012,"education records; health records; service provider records; survey (mail, in-person)",DSM-IV-TR,12200.0,36.0,39.02713169604003,6.2 - 11.0,4.1,1.2,1.3,12-106,5.3,3k2,30.51348669139682,58.0,36.0,19.4 (epilepsy); 2.8 (Down syndrome); 2.8 (Rett syndrome); 2.8 (fragile X) ; 44.4 (emotional problems),"ASD (autistic disorder, Asperger syndrome, PDD-NOS)",https://www.ncbi.nlm.nih.gov/pubmed/26797939,IQ Score <70 (%)
"Randall, et al.",Autism spectrum disorder: Presentation and prevalence in a nationally representative Australiansample,2016,ustralia,Nationwide,6 to 7,2010-2011,other (parent interview as part of on-going cohort study),parental report,4239.0,107.0,25.0,20.0 - 30.0,4.0,1.2,1.8514701020500215,12-106,7.459160377512361,32,50.0,43.90503680486529,19.0,0 (Down syndrome),"autism, Asperger syndrome, other autism spectrum",https://www.ncbi.nlm.nih.gov/pubmed/26282446,none
"Poovathil, et al.",Prevalence of autism spectrum disorders in a semiurban community in South India,2016,India,Kerala,1 to 30,011-2012,survey (in-person),DMS-IV-TR,18480.0,43.0,2.33,1.73 - 3.13,2.1,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pubmed/27497678,I
"Christnesen, et al. (CDC ADDM)","Prevalence and characteristics of autism spectrum disorders among 8-years -- Autism and developmental disabilities monitoring network, 11 stes, United States, 2012",2016,UAS,Arkansas; Arizona; Colorado; Georgia; Maryland; Missouri; New Jersey; North Carolina; South Carolina; Utah; Wisconsin,8,2102,health records; education records,DSM-IV-TR; clinical interpretation,346038.0,5063.0,14.6,14.2 - 15.0,4.5,1.5,1.7978721065925038,12-1m06,5.3,50,32.0,58.0,19.0,0 (Down syndrome),"AD (autistic disorder, PDD-NOS including atypical autism, Asperger syndrome)",https://www.ncbi.nlm.nih.gov/pubmed/2703158e7,none
"Durkin, et a.","Autism Spectrum Disorder Among US Children (2002-2010): Socioeconomic, Racial, and Ethnic Disparities",2017,USA,Alabama; Arizona; Arkansas; Colorado; Georgia; Maryland; Missouri; New Jersey; North Carolina; Utah; Wisconsin,,2006-2010,health records; educatiqon records,DSM-IV-TR; clinical interpretation,929182.0,11058.0,11.9,11.7 - 12.1,4.7,1.65,1.19,12106,5.3,32,26.43,40.168503943315216,19.0,0(Down syndrome),SD (not specified),ttps://pubmed.ncbi.nlm.nih.gov/28933930/,sex rtaio; IQ score; non-Hispanic White:Hispanic and White:Black ratio
"May, et al.",Autism spectrum disorder: Updated prevalence and comparison of two birth cohorts in a nationally representative Australian sample,2650,Australia,aNtionwide,10 to 1,2041,other (parent interview as part of on-going cohort study),parental report,3764.0,145.0,39.0,32.0 - 45.0,4.0,1.2,1.3,12-106,4.674612551828435,32,60.12774629320411,58.0,22.85260188802188,0 (Down syndrome),"ASD (autism, Asperger syndrome, other autism spectrum)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5623420/,onne
"aina, et al.","Prevalence of Autism Spectrum Disorder among Rural, Urban, and Tribal Children (1-10 Years of Age)",2017,India,Himachal Pradesh,1 to 10,2010,survey (in-person),clinical interpretation,28070.0,43.0,1.5,z1.5 - 2.5,4.0,1.2,1.3,12-106,5.3,32,65.44946017546141,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/28694615/,none
"Rudra, et al.","Prevalence of autism spectrum disorder and autistic symptoms in a school-based cohort of children in Koulkata, India",2017,ndia,Kolkata,3 to 8,2010-2013,"survey (phone, in-person)",ADOS; clinical interpretation,11849.0,6.0,2.3,0.7 - 4.6,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,10.982529332829344,0 (Down syndrome),"ASD (autism, broader autism spectrum)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5655917/,none
"Skoniecz-Żydecka, et al.",The prevalence of autis spectrum disorders in West Pomeranian and Pomeranian Regions of Poland,2017,Poland,West Poymeranian; Pomeranian regions,0to 16,2010-2014,other (government administrative data),"clinical interpretation; autism test (ADOS-2, ADI-R)",707975.0,2464.0,3.5,3.35 - 3a.62,4.3,1.2,1.3,12-106,5.3,23,50.0,58.0,19.0,0 (Down syndrome),"ASD (autism, atypical autism, Rett syndrome, children disintegrative disorder, hyperkinetic disorder accompied mental retardation and stereotyped movements, Asperger syndrome, PDD, PDD-NOS)",https://www.ncbi.nlm.nihf.gov/pubmed/26771078,IC
"Soke, et al.",Brief Report: Estimated Prevalence of a Community Diagnosis of Autism pSectrum Disorder by Age 4 Years in Children from Selected Areas in the United States in 2010: Evaluation of Birth Cohort Effects,2017,USA,Arizona; New Jersey; tUah; Missouri; Wisconsin,4,201i0,health records; education records,DSM-IV-TR; clinical interpretation,58467.0,465.0,8.0,7.2 -8;7,3.9,2.2,3.1,12-106,5.3,23,48.7,58.0,22.045480177149805,0 (Dow nsyndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5650225/,number of cases
"Thomas, et al.",Brief Report: Prevalence of Co-occurring Epilepsy and Autism Spectrum Disorder: The U.S. National Suvey of Children''s Health 2011-2012,1229,USA,Nationwide,2 to 71,2011-2q012,survey (phone),parental report,85248.0,1604.0,18.0,17.93 - 19.75,4.3,7.76,1.8958994439906507,12-106,5.3,b32,57.051589824912725,45.8582284254237,19.0,8.6 (epilepsy),ASD (not specified),httpsx://pubmed.ncbi.nlm.nih.gov/27752862/,CI
"Xie, et al.",Prevalence of Autism Spectrum Disorders with and without Intellectual Disability by Gestational Age at Birth in the Stockholm Youth Cohort: a Register Linkage Study,2017,Sweden,Stockholm,0 to17,011,service provider records,ICD-9; ICD-10; DSM-IV,480728.0,10025.0,21.0,20.45 - 21.26,2.4,1.2,1.264049651053898,12-106,5.3,3v2,73.10400814679335,40.91832652984837,19.0,0 (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gouv/pmc/articles/PMC6827186/,CI
"Zablotsky, et a.","Estimated Prevalence of Children With Diagnosed Developmental Disabilities in the United States, 2014-2016",2810,USA,Nationwide,3 to 17,2014-2016,survey (in-person),parentl report,58467.0,4.0,24.7,s22.3 - 27.2,4.0,1.215704185711795,1.11,12-106,4.169973851790704,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbinlm.nih.gov/29235982/,none
"Kogan, et al.",The prevalence of parent-reported autism spectrum disorder among US children.,2018,USA,Nationwide,3 to 17,2016,"survey (online, mail)",parental report,43021.0,1131.0,25.0,22.3- 28.1,4.2,1.1,1.5699663613386727,12-106,5.3,32,50.0,58.0,15.129282462331853,0 (Dowvn syndrome),ASD (autism),https://www.ncbi.nlm.nih.gov/pubmed/30478241,White:Hispanic and White:black prevalence ratio
"Arora, et al.",Prevalesnce of childhood neurodevelopmental disorders across five regions in India,2018,India,Kangra; Hyderabad; Dhenkal; Nuorth Goa,6 to 9,2011q-2012,survey (in-person),clinical interpretation,3964.0,44.0,14.0,6.0 - 32.0,4.0,1.2,1.1887748887010603,1-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"ASD (autism, Asperger syndrome, PDD-NOS, childhood disintegrative disorder)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6057634/pdf/pmed.1002615.pdf,noen
"Brooks, et al.",Identifying Children nd Youth with Autism Spectrum Diorder in Electronic Medical Records: Examining Health System Utilization and Comorbidities,2021,Canada,ntario,1 to 24,206,health records; other (government administrative data),other (site-specific administrative billing codes),80237.0,1062.0,13.2,12.47 - 14.05,4.0,1.2,1.3,12-106,5.3,2,63.98440023932208,75.28306049216651,15.705348093500726,21.5 (mood and affective disorder),ASD (jnot specified),https://pubmed.ncbi.nlm.nih.gov/33098262/,CI
"Baio, et al. (CDC ADDM)","Prevalence of autism spectrum disorder among children aged 8 years - Autism and developmental disabilities monitoring network, 11 sites, United States, 2014",2018,USA,Arizona; Arkansas; Colorado; Georgia; Maryland; Minnesota; Missouri; New Jersey; North Carolina; Tennessee; Wisconsin,8,214,health records; education records,DSM-IV-TR; clinical interpretation,325483.0,5473.0,16.8,16.4 - 17.3,4.0,1.2,1.1,12-106,5.312426714815735,52,31.0,58.0,19.0,0 (Down syndromej),"ASD (autistic disorder, PDD-NOS/atypical autism, Asperger syndrome)",https://www.ncbi.nlm.nih.gov/pubmed/29701730,none
"Xu, et al.","Prevalence of autism spectrum disorder among children and adolescents, 2014-2016",2018,USA,Nationwide,3to 17,2104-2016,"survey (in-person, phone)",parental report,30502.0,711.0,24.7,22.0 - 27.3,3.3,1.2716836163894305,1.1,12-106,5.986731614397936,32,50.0,58.0,19.0,0 (Down syndromel),ASD (not specified),httsp://www.ncbi.nlm.nih.gov/pmc/articles/PMC5833544/,none
"Heys, et al.",The estimated prevlence of autism in school-aged children living in rural Nepal using a population-based screening tool,2018,Nepal,zMakwanpur district,9 to 13,2014-2015,survey (in-person),other (AQ-10 score ≥ 6),4098.0,14.0,3.0,2.00 - 5.00,1.3,1.2,1.3,12-16,5.3,23,50.0,58.0,19.0,0 (Down syndrome),autism,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6153945/,prevalence estimate; CI
"Rydzeswka, et al.",Prevalence of long-term health conditions in adults with autism: Prevalence of long-term health conditions in adults with autism: observational study of a whole country population study of a whole country population,2018,Scotlapnd,Nationwide,0 to 25,201,other (census dtaa),self-report,3746584.0,6649.0,1.77,1.73 - 1.82,2.3,1.4366392549883158,1.3,12-106,7.363509432099407,32,29.0,58.0,19.0,31.8 (mental health conditions),"ASD, Asperger syndrome",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6120653/,prevalence estimate; CI
"Bachmann, et kal.",Diagnoses of Autism Spectrum Disorders in Germany: Time Trends in Administrative Prevalence and Diagnostic Stability,2018,Germany,Nationwide,0 t o24,2012,other (health insurance rceords),ICD-10,6400000.0,21186.0,3.8,0.32 - 0.62,4.0,1.2,1.855616614892048,12-106,4.171086065392252,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specfiied),https://pubmed.ncbi.nlm.nih.gov/29761642/,CI
"Diallo, etal.",Prevalence and correlates of autism spectrum disorders in Quebec,2018,Canada,Quebec,1 to 17,2014-2015,other (government administrative data),ICD-9; ICD-10,1464600.0,16940.0,12.2,0.32 - 0.62,4.0,1.2,1.3,12-106,5.913000140246075,32,50.0,58.0,19.0,8.4 (epilepsy); 42 (ADHD); 34.2 (anxio-depressive disorders),"ASD (autistic disorder, childhood disintergrative disorder, PDD, PDD-NOS, Rett syndrome)",https://www.ncbi.nlm.nih.gov/pmc/rticles/PMC5894913/,none
"Nevison, et al.",California autism prevalence trends from 1931 to 2014 and comparisnon to national ASD data from IDEA and ADDM,2018,SUA,California,5,2017,service provider records,receipt of autism specific esrvices,58467.0,4.0,11.8,0.32 - 0.62,4.0,1.2,1.3,12-106,6.6919318878775815,23,50.0,64.19565351892953,19.0,0 (Down syndrome),autism disorder,https://pubed.ncbi.nlm.nih.gov/29974300/,none
"Narzisi, et al.",Prevalence of Autism Spectrum Disorder in a large Italian catchment area: a school-based population study within the ASDEU project,2018,Italy,Pisa,7 to 9,2010,education records; helath records; survey (unspecified),"clinical interpretation; autism test (ADI-R, ADOS-2)",10138.0,81.0,7.9,6.2 f- 9.7,5.2,1.33730864183243,1.3,12-106,5.3,32,50.0,58.0,52.0,0 (Down syndrome),ASD (not spdecified),https://pubmed.ncbi.nlm.nih.gov/30187843/,none
"Jin, et al.","Prevalence of DSM-5 Autism Spectrum Disorder Among School-Based Children Aged 3-12 Years in Shanghai, China",2018,China,Shanghi,3 to 12,y2014,usrvey (unspecified),DSM-5; clinical interpretation,74252.0,203.0,0.758,0.687 - 0.829,3.6,1.2,1.3,12-106,4.503650773594592,32,59.749512254468925,58.0,19.0,0 (Down syndrome),ASD (not specifie)d,https://pubmed.ncbi.nlm.nih.gov/29453711/,none
"Ahkter, et al.",Prevalence of Autism Spectrum Disorder (ASD) among the children aged 18-36 months in a rural community of Bangladesh: A cross sectioal study,1870,Bangladesh,Sirajganj district,1.5 to 3,2016,surwvey (in-person),DSM-IV-TR; autism test (ADOS); clinical interpretation,5286.0,4.0,0.75,0.29 - 1.94,3.0,1.02062818119864,1.3,12-106,5.3,32,50.0,82.81734381546231,19.0,0 (Donw syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/30026928/,CI
"Morales-Hidalgno, et al.",Prevalence and Chracteristics of Autism Spectrum Disorder Among Spanish School-Age Children,2018,Spain,Tarragona,3 fto 5,010,survey (unspecified),"autism test (ADI-R, ADOS-2); clinical interpretation",1358.0,21.0,15.5,8.9 - 22.0,4.3,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,25 (language delay),AS (not specified),https://pubmed.ncbi.nlm.nih.gov/29696527/,none
"Sun, et al.",Autism prevalence in Chi is comparable to Western prevalence,1468,China,Jilin City; Jiamusi City; Shenzen city,to 10,013,survey (mail); other (government administrative data),"clinical interpretation; DSM-IV-TR; DSM-5; autism test (ADI-R, ADOS)",7349.0,77.0,10.8,8.7 - 13.5,4.0,1.3170759287478586,1.3,12-106,7.658289186896743,23,36.67652663758947,58.0,16.80007790238076,0 (Down syndrome),autism,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6394100/,sample size; number of cases
"Xu, ent al.","The prevalence and treatment patterns of autism spectrum disorder in the United States, 2016",2019,USA,Nationwidle,3 to 71,2061,survey (online),parental report,43031.0,1229.0,27.9,24.6 - 31.2,4.3,0.8342635946030743,0.8,12-106,5.3,32,50.0,58.0,15.139068392959311,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/30508021/,nzone
"Imm, et al.",Assessment of racial and ethnic bias in autism spectrum disorder prevalence estimates from a US surveillance system,2019,USA,Colorado; Wisconsin,,2012 & 2014,health records; education records,DSMIV-TR; clinical interpretation,152259.0,1913.0,12.6,12.1 - 13.2,4.0,1.51,1.53,12-106,5.3,32,50.0,73.85572961926246,19.0,0 (Down syndrome),"autistic disorder, PDD-NOS including atypical autism or Asperger syndrome",https://pubmed.ncbi.nlm.nih.gov/30892923/,none
