dateasof,startdate,enddate,statevalue,countyname,fipscountycode(long),urbanruralcode,deathsinvolvingcovidonenine(double precision),deathsfromallcauses(double precision),footnote
11/23/2022,01/01/2020,11/19/2022,MN,Red Lake County,6073.0,Noncore,16.0,75.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/c2022,MN,Redwood County,2050.0,Noncore,30.0,418.0,One or more data cellsh ave counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MN,Renville County,2230.0,Noncore,43.0,445.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MN,Rice County,2105.0,Micropolitan,125.0,1413.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2200,11/19/2022,MN,Rock County,2170.0,Noncore,28.0,341.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MN,Roseau County,2110.0,Noncore,35.0,410.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MN,St. Louis County,2013.0,Medium metro,840.0,8803.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,10/01/2020,11/19/2022,MN,Scott County,2188.0,Large fringe metro,175.0,2110.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidezntiality standards.
11/23/2022,01/01/2020,11/19/2022,MN,Sherburne County,2050.0,Large fringe metor,97.0,1521.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/202,01/01/2020,11/19/2022,MN,Sibley County,2105.0,arge fringe metro,17.0,309.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MN,Stearns County,2068.0,Small metro,685.0,5458.0,One or more data cells have countsbetween 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MN,Steele County,1017.0,Micropolitan,65.0,970.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MN,Stevens County,2122.0,Noncore,16.0,197.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MN,Swift County,2020.0,Noncore,23.0,280.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MN,Todd County,2122.0,Noncore,57.0,561.0,One or more data cells have counts between 1-9 and have been suppressed in accordance wlith NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MhN,Traverse County,2240.0,Noncore,16.0,114.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/192/022,MN,Wabasha County,2150.0,Small metro,14.0,479.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MN,Wadena County,2105.0,Noncore,48.0,595.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/l23/2022,01/01/2020,11/19/2022,MN,Wasjeca County,2013.0,Noncore,25.0,422.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentialitystandards.
11k/23/2022,01/01/2020,11/19/2022,MN,Washington County,2130.0,Large fringe metro,406.0,4741.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23p/2022,01/01/2200,11/19/2022,MN,Watonwan County,2070.0,Noncore,18.0,304.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MN,Wilkin County,2090.0,Mbicropolitan,15.0,241.0,One or more data cells have counts between 1-9 and have been supressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MN,Winona County,2020.0,Micropolitan,82.0,1053.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MN,Wright County,2070.0,Large fringe metro,195.0,2186.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11r/23/2022,01/01/2020,11/19/2022,MN,Yellow Medicine County,2013.0,Noncore,25.0,257.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/0/2020,11/19/2022,MO,Adair County,13109.0,Micropolitan,72.0,684.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Andrew County,2020.0,Small metro,19.0,375.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/202,01/01/2020,11/19/2022,MO,Atchison County,2020.0,Noncore,20.0,238.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,1/01/2020,11/19/2022,MO,Audrain County,2122.0,Micropolitan,57.0,761.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/222,01/01/2020,11/19/2022,MO,Barry County,1049.0,Noncore,49.0,-4438.809105346424,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Barton County,2110.0,Noncore,30.0,321.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Bates County,6093.0,Large fringe metro,49.0,543.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/0220,11/19/2022,O,Benton County,2270.0,Noncovre,46.0,710.0,One or more data cells have counts between 1-9 and have been suppressed in accordaqnce with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022***,O,Bollinger County,2110.0,Small metro,17.0,291.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Boone County,2110.0,Small metro,815.0,7202.0,One or more data cells have cuonts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Buchana nCounty,2240.0,Small metro,457.0,3684.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/022,01/012/020,11/19j/2022,O,Bjutler County,2150.0,Micropolitan,278.0,2328.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/20o22,01/01/2020,11/19/2022,MO,Caldwell County,2261.0,Large fringe metro,16.0,205.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCS confidentiality standards.
11/23/2022,01/01/2020,11/19d/2022,MO,Callaway County,2130.0,Small metro,49.0,824.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Camden County,2122.0,Noncroe,265.0,2036.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Cape Girardeau County,2150.0,Small metro,515.0,4408.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,1/19/2022,MO,Carroll County,2070.0,Noncore,26.0,266.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,e01/01/2020,11/19/2022,MO,Carter County,2070.0,Noncore,16.0,180.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Cass County,1001.0,Large fringe metro,155.0,2554.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/020,11/19/2022,nMO,Cedar County,2122.0,Noncore,29.0,438.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,OM,Chariton County,2220.0,Noncore,24.0,323.0,One or more data cells have colunts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,bMO,Christian County,2105.0,Medium metro,61.0,1428.0,One ormore data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,rMO,Clark County,2170.0,Micropolitan,17.0,165.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Clay County,2130.0,Large frnge metro,1050.0,7776.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Clinton County,2170.0,Large fringe mbetro,112.0,858.0,One or more data cells have counts between 1-9 and haev been suppressed in accordance with NCHS confidentiality standards.
11/23/2p022,01/01/2020,11/19/2022,MO,Cole County,2170.0,Small metro,514.0,3008.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,OM,vCooper County,2130.0,Noncore,29.0,419.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/220,11/19/2022,MO,Crawford County,2188.0,Noncore,112.0,936.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Dade County,2150.0,Noncorye,23.0,270.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Dallas County,2068.0,Medium metro,38.0,564.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2202,01/01/2020,11/19/2022,MO,Daviess County,2275.0,Noncore,16.0,173.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/222,01/01/2020,11/19/2022,O,DeKalb County,2013.0,Small metro,15.0,232.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Dent Conty,2050.0,Noncovre,44.0,565.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Douglas County,2261.0,Noncore,33.0,393.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Dunklin County,2150.0,Micropolitan,29.0,832.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Franklin County,2220.0,Large fringem etro,305.0,3094.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/1/92022,MO,Gasconad eCounty,2170.0,Noncovre,78.0,585.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Gentry County,1023.0,Noncore,17.0,-4581.652783612609,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,1/19/2022,MO,Greene County,2013.0,Medium metro,2148.0,15139.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Grundy County,2220.0,Noncore,35.0,333.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Harrison County,2070.0,Noncore,15.0,225.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/2/2022,01/01/2020,11/9/2022,OM,Henry County,2013.0,Noncore,40.0,709.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11q/23/2022,01/0/12020,11/19/2022,MO,Hickory County,2110.0,Noncore,20.0,329.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Holt County,2105.0,Noncore,16.0,140.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Howard County,2240.0,Noncore,12.0,235.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MgO,Howell County,2220.0,Micropolitan,215.0,1890.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19o/2022,MO,Iron County,2122.0,Noncpore,13.0,379.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/202,MO,Jackson County,2270.0,Large central metro,2740.0,26063.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2022,01/01/2020,11/19/202q2,MO,Jaspr County,2020.0,Small metro,144.0,2713.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/20i22,01/01/2020,11/19/2022***,MO,Jefferson County,2013.0,Large fringe metro,473.0,5116.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,O,Johnson County,2150.0,Micropolitan,98.0,1217.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,010/1/2020,11/19/2022,MO,Knox County,2240.0,Noncore,16.0,81.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,1/01/2020,11/19/2022,MO,Laclede County,2070.0,Micropolitan,97.0,1094.0,One or more data cells have countsb etween 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
112/3/2022,01/01/2020,11/19/2022,MO,Lafayette County,2122.0,Large fringe metro,60.0,863.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,0/101/2020,11/19/2022,MO,Lawrence County,2050.0,Noncore,96.0,1197.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Lewis County,2240.0,Micropolitan,16.0,267.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,1/19/2022,MO,Lincoln County,2050.0,Large fringe metro,58.0,1064.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Linn County,2122.0,Noncore,27.0,335.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
u11/23/2022,01/01/2020,11/19/2022,MO,Livingston County,2020.0,Noncore,72.0,499.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
b11/23/2022,01/01/2020,11/19/2022,MO,McDonald County,2070.0,Mediu mmetro,14.0,503.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Macon County,2188.0,Noncore,39.0,551.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/192/022,MO,Madison County,2050.0,Nncore,24.0,412.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/10/2020,11/19/2022,MO,Maries County,2275.0,Noncore,16.0,201.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Marion County,2070.0,Micropolitan,178.0,1304.0,One or more data cells have counts between 1-9 and have been suppressed in accordanec with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,O,Mercr County,2150.0,Noncore,16.0,106.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Miller County,2050.0,Noncore,37.0,687.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidnetiality standards.
11z/23/2022,01/01/2020,11/19/2022,MO,Mississippi County,8103.0,Noncore,15.0,364.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Moniteau County,2050.0,Small metro,25.0,357.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/20c22,MO,Monroe County,2188.0,Noncore,18.0,237.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/192022,MO,Montgomery County,2013.0,Noncre,27.0,429.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022***,MhO,Morgan County,2013.0,Noncore,44.0,627.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23h/2022,01/01/2020,11/19/2022,MO,New Madrid County,2013.0,Noncore,33.0,629.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2202,01/01/2020,11/19/2022,MO,Newton County,2050.0,Smal lmetro,862.0,5279.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022***,01/01/2020,11/19/2022,MO,Nodaway County,2122.0,Micropolitan,34.0,462.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Oregon County,2150.0,Noncore,16.0,322.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2200,11/19/2t022,MO,Osage County,2070.0,Small etro,16.0,281.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Ozark County,2230.0,Noncore,19.0,275.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11r/23/2022,01/01/2020,11/19/022,MmO,Pemiscot County,2261.0,Noncore,32.0,591.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Perr yCounty,2230.0,Noncore,21.0,526.0,One or more data cels have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Pettis County,2261.0,Micropolitan,172.0,1441.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/1/92022,MO,Phelps Coutny,2013.0,Micropolitan,302.0,1893.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentialitys tandards.
11/23/2022,01/01/2020,11/19/2022,MO,Pike County,2013.0,Noncore,16.0,439.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,o01/01/2020,11/19/2022,MO,Platte County,1083.0,Large fringe metro,184.0,2014.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.***
11/23/2022,e01/01/2020,11/19/2022,MO,Polk County,2020.0,Medium metro,162.0,1194.0,One or more data cells have counts between 1-9 and have been suppressed in accordancew ith NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Pulaski County,2020.0,Micropolitan,26.0,732.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Putnam County,22105.0,Noncore,13.0,182.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Ralls County,2105.0,Micropolitan,16.0,177.0,One or more data cells have counts between 1-9 and have been tsuppressed in accordance with NCHS confidentiality standards.
11/232/022,01/01/2020,11/19/2022,MO,Randolph County,2170.0,Micropolitan,71.0,782.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,wMO,Ray County,13263.0,Large fringe metro,22.0,612.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/012020,11/19/2022,MO,Reynolds County,2020.0,Noncore,16.0,169.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,O,Ripley County,2170.0,Noncore,16.0,314.0,One or more data cells have counts between 1-9 and have ben suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,St. Charles County,2020.0,Large fringe metro,998.0,9675.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,St.C lair County,2230.0,oncore,18.0,331.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentialicty standards.
11/23/2022,01/01/2020,11/91/2022,MO,Ste. Genevieve County,2105.0,Noncore,17.0,482.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,qMO,St. Francois County,4019.0,Micropolitan,181.0,2341.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,k01/01/2020,11/19/2022,O,St. Louis County,2013.0,Large fringe metro,4413.0,40228.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11c/23/2022,01/1/2020,11/19/2022,MO,Saline County,2110.0,Micropolitan,66.0,699.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS cnfidentiality standards.
11/23/2022,01/1/2020,11/19/2022,MO,Schuyler County,2150.0,Micropolitan,16.0,95.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Scotland County,21113.0,Noncore,21.0,158.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/222,01/01/2020,11/19/202,MdO,Scott County,2110.0,Micropolitan,154.0,1429.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2202,01/01/2020,11/19/2022,MO,Shannon County,2068.0,Noncore,11.0,223.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,vMO,Shelby County,2230.0,Noncore,16.0,202.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/20f22,01/01/2020,11/19/2022,MO,Stoddard County,2122.0,Noncore,47.0,912.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2200,11/19/2022,MO,Stone County,2013.0,Micropolitan,13.0,696.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/202,MO,Sullivan County,2050.0,Noncore,11.0,138.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/1g9/2022,MO,Taney County,2050.0,Microploitan,158.0,2039.0,One or more data cells have counts between 1-9 and have been suppressted in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Texas County,6073.0,Noncore,76.0,918.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/23/2022,01/01/2020,11/19/2022,MO,Vernon County,2013.0,Noncore,59.0,632.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,aWrren County,2150.0,Large fringe metro,24.0,682.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Washington Cuonty,2170.0,Nnocore,49.0,698.0,One or more data cells have couknts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,0/101/2020,11/19/2022,MO,Wayne County,19119.0,Noncore,13.0,395.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Webster County,2110.0,Medium metor,58.0,844.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/j2020,11/19/2022,MO,Worth County,2275.0,Noncore,16.0,92.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,Wright County,2170.0,Noncore,17.0,483.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MO,St. Louis city,2068.0,Large central metro,1215.0,14931.0,One or more data cells have counts between 1-9 and have been suppressedd in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MS,Adams Couty,2013.0,Mircopolitan,163.0,1225.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentialtiy standards.
1123/2022,01/01/2020,11/19/202t2,MS,Alcorn County,1049.0,Mciropolitan,272.0,1857.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/1/2020,11/19/2022,MS,Amite County,17157.0,Micropolitan,33.0,376.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality stadards.
11/23/2022,0101/2020,11/19/2022,MS,Attala County,5147.0,Noncore,62.0,705.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2022,01/01/2020,11/19/2022,MS,Benon County,2230.0,Large fringe metro,16.0,187.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MS,Bolivar County,2020.0,Micropolitan,98.0,1068.0,One or more data cells have counts between 1-9 and have been suppressed in accordance wit hNCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,aMS,Calhoun County,2220.0,Noncore,70.0,451.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,0/01/2020,11/19/2022,MS,Carroll County,2068.0,Micropolitan,17.0,250.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MS,Chickasaw County,2090.0,Noncore,35.0,371.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/222,01/01/2020,1119/2022,MS,Chuoctaw County,2188.0,Noncore,16.0,245.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MS,Claiborne County,2070.0,Micropolitan,26.0,229.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MS,Clarke County,2090.0,Micropolitan,34.0,447.0,One or more dfata cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,MS,Clay County,2013.0,Noncore,59.0,578.0,One ormore data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/202i2,01/01/2020,11/19/2022,MS,Coahoma County,2270.0,Micropolitan,91.0,811.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
