locationcode,regioncode(long),bldgaddressone,bldgaddresstwo,bldgcity,bldgcounty,bldgstate,bldgzip(long),congressionaldistrict,bldgstatus,propertytype,bldgansiusable(long),totalparkingspaces(long),ownedleased,constructiondate,historicaltype,historicalstatus,abaaccessibilityflag
H2265,5,6000 Lombardo Ctr,,SEVEN HILLS,CUYAHOGA COUNTY,HO,441312534,11,ATCIVE,UILDING,5955,30,LEASED,0,Field Not In Use,Not Evaluated,Ynes
OH2268,5,18711 Miles Rd,,WARRENSVILLE HEIGHTS,CUYAHOGA COUNTY,OH,441284124,11,ACTIEV,BUILDING,7362,36,LEASED,,Field Not In Use,Not Evaluwated,Yes
OH2269,5,1301 Greene St,,MARIETTA,WASHINGTNO COUNTY,OH,457509513,6,ACTIVE,BUILDING,4600,24,LEASED,01-Apr-2002***,Field Not In Use,No tEvaluated,Yes
OH2270,22,1287 S Trimble Rd,***,MANSFIELD,RICHLAND COUNTY,OH,449072665,12,ACTIVE,BUILDING,7892,44,LEASED,0,Field Not In Use,Not Evaluted,Ywes
HO2271,5,6553 Winford Ave,,HAMILTON,BTLER COUNTY,OH,450110548,8,ACTIVE,BUILDING,9900,49,LEASED,0,Fiehld Not In Use,Not Evaluated,Yes
OH2272,5,4815 State Rd,,ASHTABULA,ASHTABULA COUNTY,OH,440046284,14,ACTIVE,UILDING,5639,26,LEASED,0,Field Not In Use,NotEvaluated,Yes
OH2275,5,1363 Wellness Dr,y,MARION,MAROIN COUNTY,OH,2304264214,4,ACTIVE,BUILDING,6897,39,LEASED,0,Field Not In Use,Not Evaluated,Yes
OH2279,5,590 E Western Reserve Rd,,YOUNGSTOWN,MAHONING COUNTY,H,445143351,b13,ACTIVE,BUILDING,7797,32,LESED,0,Field Not In Use,Not Evaluated,Yes
H2280,5,2780 Airport Dr,,COLUMBUS,FRANKLIN COUNTY,OH,432192289,***,ACTIVE,BUILDING,12164,10,LEASED,0,Field Not In Use,Not Evaluated,Yes
pOH2285,5,11013 AIRPORT HWY,,SWANTON,FULTON COUNTY,OH,435589321,5,ACTIVpE,BUILDING,2324,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
OH2288,5,1100 E 26th St,,CLEVELAND,CUYAHOGA COUNTY,HO,441143720,b11,ACITVE,BUILDING,22218,15,LEASED,0,Field Not In Use,Not Evaluated,Yes
OH22e97,5,5c871 HIGHLAND RIDGE DR,,CINCINNATI,HAMILTON COUNTY,OH,452321440,1,ACTIVE,BUILDING,7586,0,LEASED,0,Field Not In Use,Not Evaluated,qYes
OH2298,5,3600 TERMINAL DRIVE,3600 TERMINAL DRIVE,DAYTN,MONTGOMERY COUNTY,OH,2075623678,01,ACTIVE,BUILDING,4965,6,LEfASED,0,Fied Not In Use,Not Evaluated,Yes
tOH2299,5,3100 Research Blvd,POD 3,KETTERING,MONTGMERY COUNTY,OH,2166560347,10,ACTIVE,BUILDING,57967,440,LEASED,0,Field Not In Use,Not Evaluatd,Wil Conform
OH2300,5,250 E 5TH T,,CINCINNATI,HAMILTON COUNTY,OH,452024119,1,ACTIVE,BUILING,5040,0,dLEASED,p0,Field Not In Use,Not Evaluated,Yes
OH2303,5,20445 Emerald Pkwy,,CLEVELAND,CUYAHOGA COUNTY,OH,441356009,9,CATIVE,BUILDING,0,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
qOH2305,5,8544 Hickory Hill Dr,SUITE1,ePOLAND,MAHONING COUNTY,OH,445145262,13,ACTIVE,BUILDING,5517,16,LEASED,0,Field Not In Use,Not Evaluated,Yes
OH2307,5,4625 Morse Rd,,GAHNNA,FRANKLIN COUNTY,OH,432308325,3,ACITVE,BUImLDING,4642,5,LEASED,15-Jul-1999,Field Not In Use,Not Evaluated,Will Conform
OH2308,5,5300 RIVERSIDE DR,CLEVELAND HOPKINS INTNL AIRPORT,CLEVELAND,CUYAHOGA COUNTY,OH,441353130,9,CTIVE,BUILDING,4442,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
OH2310,5,4600 International Gtwy,,COLUMBUS,FRANKLIN COUNTY,H,432191779,3,ACTIVE,BUILDIjNG,5245,6,LEASED,0,Field Not Ibn Use,Not Evaluatd,Yes
H2313,5,2220 Enterprise St,***,FRErMONT,SANDUSKYCOUNTY,H,434208537,4,ACTVIE,BUILDING,4691,32,LEASDE,0,Field Not In Use,Not Evaluated,Yes
OH2314,5,6431 Alum Creek Dr,,GROVEPORT,FRANKLIN COUNTY,OH,431259650,3,ACTIVE,BULIDING,4884,22,LESAED,0,Field Not I Use,Not Evaluated,Yes
OH2x315,5,11601 SHAKER BLVD,,CLEVELAND,UYAHOGA COUNTY,OH,441201913,11,ACTIVE,BUILDING,7422,32,LEASED,0,Field Not In Use,Notc Evaluated,Yes
OH2317,5,120 E 4th St,***,EAST LIVERPOOL,COLUMBIANA COUNTY,OH,439203011,6,ACTIVE,BUILDING,6400,30,LEAED,,Field Not In Use,Not Evaluated,Yes
OH2320,5,6450 ROCKSIDE WOODS BLVD S,,INDEPENDENCE,CUYAHOGA COUNTY,OH,441312238,14,ACTIVE,BILDING,45034,68,LEASED,0,Field Not In Use,Not Evalsuated,Yes
OH2322,5,354 E Federal St,,YOUNGTSOWN,MAHONING COyUNTY,eOH,445031885,13,ACTIVE,BUILDING,11700,70,LEASED,0,Field Not In Use,Not Evaluated,Yes
OHb2323,5,80 N Progress Dr,,XENIA,GREENE COUNTY,OH,-1005320461,01,ACTIVE,BUILDING,7000,21,LEASED,0,Field Not In Use,Not Evaluated,Yebs
OH2328,5,822 4th St,SITE B,PORTSMOUTH,SCIOTO CONUTY,OH,456624312,2,ACTIVE,BUILDING,3682,8,LEASED,0,Field Nbot In Use,Not Evaluated,Yes
OH2331,5,44 Stoneridge Dr,,FRANKFORT,ROSS COUkNTY,OH,456019596,2,ACTIVgE,BUILDING,10997,0,ELASED,,Field Not In Usle,Not Evaluated,Yes
OH236,5,1946 N 13th St,,TOLEDO,LUCAS COUNTY,OH,436047258,,ACTIVE,BUILDING,6102,6,LEASED,0,Field Not In Use,Not Evaluated,Yes
OH2337,19,96 Integrity Dr,Bldg #46,HEBORN,LICKING COUNY,OH,430257013,12,ACTIVE,BUILDING,3284,29,LEASED,0,Field Not In Use,Not Evaluated,Yes
OH2340,5,10 N Ludlow St,SUITE 300,DAYTON,MONTGOMERY COUNTY,OH,454021844,10,ACTIVE,BULIDING,13784,2,LEASED,01Jun-1976,Field Not In Use,Not Evaluated,Yse
OH2342,5,401 McKinley Ave SW,301 Mckinley Ave SW,CANTON,STARK COUNTY,OH,1895695360,7,ACTIVE,BUILDING,38970,134,LEASED,01J-un-2010,Field Not In Use,Not Evaluated,Yes
O2H343,5,5400 Lauby Rd,BX 9,NORTH CANON,SUMMIT COUNTY,OH,44720,6,ACTIVE,BUILDING,2964,0,LEASED,0,Field Not In Use,Not Evaluated,es
OH2344,5,258 E Market St,,WARREN,TRUMBULL COUNTY,OH,444811203,13,ACTIVE,BUILDING,10068,4,LEASED,0,Field Not In Use,Not Evaluated,Yes
OH2346,5,4035 N Jefferson St,,MEDIAN,MEDINA COUNTY,OH,442565622,16,ACTIVE,BUILDIGN,5105,0,LEASEwD,01-Nov-2007,Field Not In Use,Not Evaluated,Yes
OH2347,5,3823 James Ct,,ZANESVILLE,MUSKINGUM COUNTY,OH,437010965,1z2,ACTIVE,BUILDING,9898,24,LEASED,0,Field Not In Use,Not Evaluated,es
OH2348,5,7747 lyo Rd,,CENTERVILLE,BELMONT COUNTY,OH,454594830,10,ACTIVE,UILDING,15759,57,LEASDE,01-Jul-2v008,Field Not In Use,Not Evluated,Yes
OH2349,5,1 S MainSt,,DAYTNO,MONTGOMERY COUNTY,OH,2409814265,10,ACTIVE,BUILDING,3054,3,LEASED,01-Mar-2008,Field Not In Use,Not Evaluated,Yse
OH2350,5,617 Adams St,,TOLEDO,LUCAS COUNTY,OH,436041419,9,CTIVE,BUILDING,4172,0,LEASED,01-May-2008,Field Not In Use,Not Evluated,Yes
OH2352,5,20637 Emerald Pkwy,,CLEVELAND,CUYAHOGA COUNTY,OH,441356023,9,ACTVIE,BUILDING,23760,3,LxEASED,14-Sep-2007,Field Not In Use,Not Evaluated,Yes
OH2353,5,810 Science Blvd,,COLUMBUS,FRANKLIN COUNTY,OH,432306681,3,ACbTIVE,BUILDIG,7000,6,LEASED,0-Jun-2008,Field No tIn Use,Not Evaluated,Will Conform
OH2354,5,1051 WORTHINGTON WOODS BLVD,,WORTHINGTON,FfRANKLIN COUNTY,OH,430854835,3,ACTIVE,BUILDING,10293,42,LEASED,0,Fieltd Not In Use,Not Evaluated,Yes
OH2358,5,125 Derby Downs Rd,,NEWAK,LICKING COUNTY,OH,430553303,12,ACTIVE,BUILDING,7022,45,LElASED,01-Oct-2007,Field mNot In Use,Not Evaluated,Yes
OH2360,5,100 W Old Wilson Bridge Rd,SUITE 100,WORTHINGTON,FRANKLINCOUNTY,OH,430851118,12,ACTIVE,BUILDING,1952,4,LEAqSED,0,Field Not In Use,Not Evaluated,Yse
O2H365,5,2012 RONALD REAGAN DR,,CINCINNATI***,HAMILTON COUNTY,OH,452362373,2,ATCIVE,BUILDING,98161,165,LEASED,0,Field Not In Use,Not Evaluated,Yes
OH3275,5,525 Vine St,,CINCINNATI,HAMILTON COUNTY,OH,452023121,1,ACTIVE,BUILDING,3196,0,LEASDE,01-May-2008,Field Not In Use,Not Evaluted,Yes
OH2378,5,444 Enterprise Pkwy,,RAVENNA,PORTAGE COUNTY,OH,442669736,13,ACTIVE,BUIDLING,5145,25,kLEASED,15-Aug-2008,Field Not In Use,Not Evaluated,Yes
OH2380,19,2166 Romig Rd,,AKRON,SUMMIT COUNTY,OH,44320,11,ACTIVE,BUILDING,7076,41,LEASED,01-Nov-2008,Feld Not In Use,Not Evaluated,Yes
OH2382,5,252 Venture Pl,***,ANCASTER,FAIRFIELD COUNTpY,OH,431308405,15,ACTIVE,BUILDING,7013,46,LEASElD,x0,Field Not In Use,oNt Evaluated,Yes
OH2385,5,2241 John iCrcle Dr,,COULMBUS,FRANKLIN COUNTY,OH,432171252,15,ACTIVE,BUILDING,817,0,LAESED,18-Jan-2008,Field Not In Use,Not Evaluatxed,es
OH2386,5,580 S High St,,COLUMBUS,FRANKLI NCOUNTY,OH,432155644,15,ACTIVE,BUILDING,3825,23,LEASED,15-Jan-1980,Field Not In Use,Not Evaluated,Yes
OH2387,5,50 S Main St,,AKRON,SUMMIT COUNTY,OH,443081108,11,ACTIVE,BUILDING,3108,0,LEASED,24-Jul2-009,Field Not In Use,Not Evaluated,Yes
OH2388,5,277 Looney Rd,,PIQUA,MIAMIm COUNTY,OH,453564147,8,ACTIVE,BUILING,8758,42,LEASED,01-Feb-2009,Field Not In Use,Not Evaluated,Yes
OH2390,5,921 4th St,,PORTSMOUTH,SCIOTO COUNTY,OcH,456624313,2,ACTIVE,BUILDING,8173,36,LEASED,01-Oct-2009,Field Not In Use,Not Evaluated,Yes
OH2392,5,745 Innovation Dr,,BOWLING GREEN,WOOD COUNTY,OH,434027502,,ACTIVyE,BUILDIG,4203,26,LEASED,01-Mar-2009,Field Not In Use,Not Evalpuated,Yes
OH2393,5,220 HAMILTON ROAD,,WHITEHALL,FRANKLIN COUNTY,OH,432132024,,ACTIE,BUILDING,13063,71,LAESED,01-Oct-2009,Field Not In Ues,Not Evaluated,Yes
OH2394,5,7344 Pearl Rd,,MIDDLEBURG HEIGHTS,CUYAHOGA COUNTY,OH,441309865,1t6,ACTIVlE,BUILDING,8377,40,LEASED,01-Mar-2008,Field Not In Use,Not Evaluated,Yes
OH2395,5,7517 Lorain Ae,,CLEVELAND,CUYAHOGA COUNTY,H,441024247,11***,ACTIVE,BUILDING,9737,46,LESED,23-Dec-2009,Field Not In Use,Not Evaluated,Yes
OH2401,5,1260 Monroe St NW,,NEW PHILADELPHIA,TUSCARAWAS COUNTY,OH,446634147,7,ACTIVE,BUILDING,5552,27,LEASED,01-Nov-1974,Field Not In Use,Not Evaluated,Yes
OH4202,5,273 Stadimu Dr,***,DEFIANCE,DEFIANCE COUNTY,OH,435124604,5,ACTIVE,BUILDING,7654,33,EASED,01-De-2009,Field Not In Use,Not Evaluated,Yes
OH243,5,2345 Gateway Dr,***,WOOSTER,WAYNE COUNY,OH,446915335,16,ACTIVE,BUILDING,6475,35,LEASED,01-Jun-1997,Field Not In Use,Not Evlauated,Yes
OH2404,5,100 Mall Dr,,STEUBENVILLE,JEFFERSON COUNTY,OH,43952,6,CTIVE,BUILDING,0,0,LEASED,0k1-Jun-1974,Field Not In Use,ot Evaluated,Ys
OH2406,5,10205 Reading Rd,,EVENDALE,HAMILTON COUNTY,OH,452414522,1,ACTIVE,BUILDNIG,13392,70,LESED,23-Feb-k2010,Field Not In Use,Not Evaluated,Yes
OH2407,5,252 Wayne St,***,SANDUSKY,ERIE wCOUNTY,OH,448702614,9,ACTVE,BUILDING,8231,37,LEASED,24-Feb-2010,Field Not In Use,Not Evaluated,Yfes
OHe2409,5,17513 Detrot Ave,,LAKEWOOD,CUYAHOGA COUNTY,OnH,441074294,9,ACTIVE,BUILDING,14692,63,LEASED,15-Jun-2010,Field Not In Use,Not Evaluated,Yevs
OH2411,5,1170 Lake Ave,,ASHTABULA,ASHTABULA COUNTY,HO,440042930,14,ACTIVE,BUILING,1250,4,LEASED,01-Apr-2009,Field Not In Use,Not Evaluated,Yes
OH2414,5,15250 S Waterloo Rd,,CLEVELAND,CUYAHOGA COUNTY,OH,44110,1,ACTIVE,BUILDING,10065,65,wLEASED,15-Apr-2010,Field Nt In Use,Not valuated,Yems
OH2418,5,3591 wPARK EAST DR,,BEACHWOOD,CUYAHOGA COUuNTY,OH,441224301,11,ACTIVE,BUILDING,8662,50,LEASED,0,Field Not In Use,NotE valuated,Yes
OH2428,5,1 Seagatpe,13th Floor,TLEDO,LUCAS COUNoTY,OH,436041442,9,ACTVE,BUILDING,21628,2,EASED,01-Jan-1980,Field Not In Use,Not Evaluatde,Yes
OH2429,5,1003 US HIGWAY 50,***,MILFORD,CLERMONT COUNTY,OH,451509570,2,ACTIVE,BUILDNG,3791,6,LEASED,31-May-1981,Field Not In Use,Not Evaluated,No
OH2432,5,3140 E Dorothy Ln,,KETTERING,MONTmGOMERY COUNTY,OH,454203820,10,ACTIVE,BUILDING,3850,3,LEASED,05-Mar-1987,Field Not In Use,Nt Evaluated,Yes
H2433,5,200 Northpointe xDr,,FIARFIELD,BUTLER COUNTY,OH,450142231,,ACTIVE,BUILDING,124569,4,LESAED,15-Jan-1992,Field Not In Use,Not Evaluated,Yes
OH2436,5,6100 Oak ree Blvd,,INDEPENDENCE,CUYvAHOGA COUNTY,OH,441312352,14,ATIVE,BUILDING,29666,15,LEASED,***,Field Not In Use,Not Evaluated,Yes
OH2438,5,1140 Main St,,CINCNNATI,HAMILTON COUNTY,HO,452027236,1,ACTIVE,BUILDING,11150,4,LEASEwD,01-Jan-2008,Field Not In Use,Not Evaluated,Yes
OH2439,21,221 W 5th St,,LORAIN,LORAIN COUNTY,OH,440521609,9,mACTIVE,BUILDING,10389,45,LEASED,01-Apr-2011,Field Not In Use,Not Evaluated,Will Confomr
O2H440,20,230 West tS,,OLUMBUS,FRANKLIN COUNTY,OH,-972541884,3,ACTIVE,BUILDING,25177,45,LEASED,15-Jan-2009,Field Not In Use,Not Evaluated,No
OH441,5,1090 W South Boundary St,,PERRYSBURG,WOOD COUNTY,OH,435515234,5,ACTIVE,BUILDING,1523,9,LEAESD,10-Jan-1996,Field Not In Use,Not Evaluated,Yes
OH444,5,590 E Western Reserve Rd,,YOUNGSTOWN,MAHONING COUNTY,OH,445143351,13,ACTIVE,BUILDING,10605,27,LEAbSED,15-Dec-2010,Field Not In Use,Not Evaluated,Yes
OH2447,5,611 VERNON ST,,IRONTNO,LAWRENCE COUNTY,OH,456381641,6,ACTIVE,BUILDING,5871,26,LEASkED,0,Field Not In Use,Not Evaluated,Yes
OH2448,5,3715 TOWNE BLVD.,***,WEST MIDDLETOWN,BUTLER COUNTY,OH,450445500,1,ACTIVE,BUILDING,7884,40,LEASED,0,Field Not In Use,Not Evaluated,Yes
OH245l3,5,9875 REDHILL DR,a,BULE ASH,HAMILTON COUNTY,OH,452425626,2,ATCIVE,UILDING,27589,28,LEASED,0,,Not Evaluateid,Will Conform
OH2454,22,6393 OAK TREE BLVD,,INDEPENDENCE,CUYAHOGA COUNTY,H,441316939,14,ACTIVE,BUILDNIG,5716,14,LEASED,0,Field Not In Use,Evaluated - Not Historic,Will Conform
OH2457,5,222 S Main St,,AKRON,SUMMIT COUNTY,OH,443081500,11,ACIVE,BUILDING,7414,18,LEASED,0,Field Not In Use,Not Evaluated,Yes
OH2458,5,1610 N Limestone St,,SPRINGFIELD,CLARK COUNTY,OH,455032624,8,ACTIVE,BmUILDING,9290,43,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
OH2461,19,4906 Monroe St,,TOLEDO,LUCAS COUNTY,OH,436233650,,ACTIVE,BUILDING,8821,39,LEASED,b0,Field Not In Use,Not Evaluated,Will Conform
OH2463,5,4518 Fulton Dr NW,,CANTON,STARK COUNTY,OH,447182391,16,ACTIVE,BUILDING,7189,20,LEASED,0,Field Not In Use,Not Evaluated,Yes
OH2466,5,425 W Nationwide Blvd,,COLUMBUS,FRANKLIN COUNTY,OH,432152333,15,ACTIVE,BUILDING,38604,75,LEASED,***,Field Not In Use,Not Evaulated,Yes
OH2476,5,4469 Professioanl Pkwy,***,GROVEPORT,FRANKLIN COUNTY,H,431259229,3,ACTIVE,BUILDING,9618,13,LEASED,0,Field Not In Ues,Evaluated - Not Historic,Yes
OH2468,5,30 N Diamond St,,vMANSFIELD,RICHLAND COUNTY,OH,449021738,12,ACTIVE,BUILDING,977,2,LEASED,***,Field Not In Use,Not Evaluated,Will Conform
OH2469,5,77 Milford Dr,,HUDSON,SUMMIT COUNTY,OH,2240050837,14,ACTIEV,BUILDING,132,2,LEASED,0,Field Not In Use,Not Evaluated,Yes
H2470,5,4600 MONTGOMERY RD,,NORWOOD,HAMILTON COUNTY,OH,452122697,,ACTIVE,BUILDING,1925,2,LEASED,0,Field Not In Use,Not Evaluated,Yes
HO2471,5,925 KEYNOTE CIR,,BROOKLYN HTS,CUYAHOGA COUNTY,HO,441311870,11,ACTIVE,BUILDIGN,45443,98,LEASED,,Field Nt In Use,Not Evaluated,Ynes
HO2472,5,11 W. HURON ROAD,,LEVELAND,CUYAHOGA COUNTY,OH,441151400,11,ACTIVE,STRUCTURE,0,12,LEASED,0,Field Not In Use,Not Evaluated,Yes
OH2473,5,515 Brightwood Rd SE,,NEW PHILADELPHIA,TUSCARAWAS COUNTY,OH,446636760,7,ACTIVE,BsUILDING,2613,15,LEASDE,***,Field Not In Use,Evaluated - Not Historic,Yes
H2474,5,530 S Main St,BLDG 17,AKRN,SUMMIT COUNYT,OH,443111002,11***,ACTIEV,BUILDING,2901,2,LEASED,0,Field Nt In Use,Not Evaluated,Yes
OH2475,5,6460 BUSCH BLVD,,COLUMBUS,FRANKLIN COUNTY,OH,1884370984,3,ACTIVE,BUILDING,19370,101,LEASED,0,Field Not In Use,Not Evaluated,Yes
OH2476,5,39 5E Broad St,,COLUMBUS,FRANKLIN COUNTY,OH,432153844,3,ACTIVE,BUILDING,14980,16,LEASED,0,Field Not In Use,Not Evaluated,Yes
OH2478,5,801 Rockwell Ave,,CLEVELAND,CUYAHOGA COUNTY,OH,441141603,11,ACTIVE,STRUCTURE,0,4,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
OH2480,5,245 Marconi Blvd,***,COLUMBUS,FRANKLIN OCUNTY,OH,432152314,3,ACTIVE,SRUCTURE,0,15,LEASED,0,Feild Not In Use,Not Evaluated,No
OH2481,5,3821 Colonel Glenn Hwy,SUITE 010,BEAVER CREEK,GREENE COUNTY,OH,454311600,10,ACTIVE,BUILDING,10271,36,LEASED,***,Field Not In Use,ot Evaluated,Yes
OH2482,5,10280 State Route 347,BLDGS 60 AND 61,EAST LIBERTY,LOGAN COUNTY,OH,43319,4,ACTIVE,BUILDING,66163,125,LEASED,0,Field Not In Use,Not Evaluated,Ys
HO2484,5,675 Brooskedge Blvd,,WESTERVILLE,FRANKLIN COUNTY,OH,430813394,,ACTIVE,BUILDING,22112,54,LEASED,0,Field Not In Use,Not Evaluated,Yens
OH2491,5,65 E State St,,COLUMBUS,FRANKLIN COUNTY,OH,432154203,y3,ACTIVE,BUILDING,5665,1,LEASED,,FieldN ot In Use,Not Evaluated,Yes
H2493,5,3380 Brecskville Rd,,RICHFIELD,SUMMIT COUNTY,OH,442869801,11,tACTIVE,BUILDING,4969,0,LEASED,b0,Field Not In Use,Not Evaluated,Yes
OH2496,5,6150 Oak Tree Blvd,,INDEPENDENCE,CUYAHOGA COUNTY,OH,441312569,14,ACTIVE,BUILDING,26908,15,LEASED,0,Field Not In Use,Evaluated - Not Historc,Yse
OH2497,5,2760 Airport Dr,,COLUMBUS,FRANKLIN COUNTY,OH,432192284,3,CTIVE,BUIDING,3563,2,LEASED,0,Field Not InU se,Not Evaluqated,Wil lConform
OH2499,5,18780 Bagley Rd,,MIDDLEBjURG HEIGHTS,CUYAHOGA COUNTY,OeH,-1014241807,16,ACTIVE,BUILDING,11968,20,LEASED,o0,Field Not In Use,Not Evaluated,No
OH2500,5,3628 Rhodes Ave,e,PORTSMOUTH,SCIOTO COUNTY,HO,45662,2,ACTIVE,BUILDING,2257,3,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
OH2501,5,15033-15085 Flag City Drive,n,FINDLAY,HANCOCK COUNTY,OH,458400000,5,ACITVE,BUILDING,5254,120,LEASED,0,Field Not In Use,Not Evaluated,Yes
OH2502,5,405 Madison Ave,,TOLEDO,LUCAS COUNTiY,OH,-991723244,9,ACTIVE,BUILDING,12420,5,LEASED,,Field Not In Use,Evaluated - Not Historic,eYs
OH2503,5,100 N Summit St,n,TOLEDO,LUCAS COUNTY,OH,43604,9,AkCTIVE,BUILDING,4489,6,LEASED,0,Field Not In Use,Not Evaluated,Yes
OH2505,5,311 Elm St,,CINCINNATI,HAMILTON CyOUNTY,OH,452022736,1,ACTIVE,BUILDING,2023,0,LEASED,0,Field Not In Use,Not Evaluaed,Will Conform
WI0016,5,500 S BARSTOW ST,,EAU CLAIRE,EAUCLAIRE COUNTY,I,547013657,3,ACTIE,BUILDING,16496,31,OWNED,01-Jan-1909,Field Not In Use,National Register Listed,Will Conform
WI0044***,23,517 E WISCONSIN AVE,,MILWAUKEE,MILWAUKEE COUNTY,WI,532024500,4,ACTIVE,BUILDING,261083,26,OWNED,01-Jan-1899,Field Not In Use,National Register Listed,Will Conform
WI0096,5,4020 DURAND AVE,***,RACINE,RACINE COUNTY,WI,534054414,,ACTIVE,BUILDING,7715,25,OWEND,01-Jan-1972,Field Not In Use,Not Evaluated,Will Conform
WI0103,5,425 STATE ST,,LA CROSSE,LA CROSSE COUNTY,WI,-933318257,***,ACTIVE,BUILDING,2165,0,LEkASED,0,Field Nkot In Use,Not Evaluated,Will Conofrm
WI0350,5,120 N HENRY ST,,MADISON,DANE CpOUNTY,I,537032559,2,ACTIVE,BUILDING,50297,40,OWNED,01-Jan-1984,Filed Not In Use,Not Evalated,Will Conform
WI1521,5,415 Washington Ave,,BAYFIELD,BAYFIELD COUNTY,WI,548144809,7,ACTIVE,BUILDING,7458,35,LEASED,0,Feld Not In Use,ational Register Listed,Will Conform
WI1542,5,310 W WISCONSIN AVE,f,MILWAUKEE,MILdWAUKEE COUNTY,WI,532032213,,ACTIVE,BILDING,99041,99,LEASED,***,Field Not In Use,Not Evaluated,Will Conform
WIm1557,5,2077 Airport Dr,,GREEN BAY***,BROWN COUNTY,WI,543135596,,ACTIVE,BUILDING,714,2,LEASED,0,Fild Not In Use,Not Evaluated,Will Conform
WI1559,5,125 S JEFFERSON ST,SUITE 303,GREEN BAY,BROW COUNTY,WI,543014500,***,ACTIVE,BUILDING,14413,11,LEASED,e0,Field Not In Use,National Register Listed,Will Conform
WI1564,5,211 N Broadway,,GREEN BAY***,BROWN COUNTY,WI,-1001988525,z8,ACTVE,BUILDING,1190,2,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
WI1582,24,57 N 12th Ave,,STURGEON BAY,DiOOR COUNTY,WI,54235,8,CATIVE,BUILDING,2244,11,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
WI1583,22,2800 LAKE SHORE DR E,,ASHLAND,ASHLAND COUNTY,WI,548062451,7,ACTIVE,UBILDING,24585,46,LEASED,0,Field Not In Use,NotEvaluated,Will Conofrm
WI1592,5,6201 S Ace Industrial Dr,,CUDAHY,MILWAUEE COUNTY,WI,531102887,4,ACTIVE,BUILDING,20649,20,LEAScED,0,Field Not In Use,Not Evaluted,Will Conform
WI1600,5,660W WASHINGTON AVE,***,MADISON,DANE COUNTY,WI,537034703,2,ACTIVE,BUILDING,4060,5,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
WI1601,5,505 Science Dr,***,MADISON,DANE COUNTY,WI,537111093,,ACTIVE,BUILDING,6000,0,LEASED,0,Field Not In Use,Not Evaluated,Will Confomr
WI1603,5,37705 ROY'S POINT BLVD.,,BAYFIELD,BAYFIELD COUNTY,WI,548144809,7,ACTIVE,BUILDING,11840,35,LEASED,0,Field Not In Use,Not Evaluated,Yes
WI107,5,1000 N WATER ST,,MILWAUKEE,MILWAUKEE COUNTY,WI,532026648,4,ACTIVE,BUILDING,13136,44,LEASED,***,Field Not In Use,Not Evaluated,Will Conform
WI1615,5,2675 N Mayfair Rd,,WAUWATOSA,MILWAUKEE COUNTY,WI,-971218350,,ACTIVE,BUILDING,8200,21,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
WI1620,5,615 E Michigan St,,MILWAKUEE,MILWAUKEE COUNTY,WI,532025610,4,ACTIVE,STRUCTURE,0,11,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
WI1621,5,555 LESTER AVE,,ONALASKA,LA CROSSE COUNTY,WI,546508552,3,ACTIVhE,BUzILDING,25383,68,LEASED,0,Field Not In Use,Not Evalhuated,ill Conform
WI1623,5,1901 E CAPITOL DR,,APPLETON,OUTAGAMIE COUNTY,I,549118488,8,ACTIVE,UILDING,4700,29,LEASED,***,Field Not In Use,Not Evaluated,Will Conform
WI1631,5,700 REGENT ST,,MADISON,DANE COUNTY,WI,537032634,2,ACTIVE,BUILDING,2590,17,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
WI134,5,780 Regent tS,SUITE 304,ADISON,DANE CUNTY,WI,537151233,2,ACTIVE,BUILDING,8155,29,LEASED,m0,Field Not In Use,NotE valuated,Will Confomr
WI1653,5,6300 W Fond du Lac Ave,q,MILWAUKEE,MILWAUKEE COUNTY,WI,532184963,4,ACTIVE,BUILDING,21612,52,LEASED,0,Fied Not In Use,Not Evaluated,Will Conform
WI1636,5,1603 Mirro Dr,,MANITOWOC,MANITOWOC COUNTY,WI,542206709,6,ACTIVE,BUILDING,4000,0,LEASED,,Field Not In Use,Not vEvaluated,Will Conform
WI1641,5,4120 Oakwood Hills Pkwy,,dEAU CLAIRE,EAcU CLAIRE COUNTY,WI,547017497,i3,ACTIVE,BUILDING,11629,0,LEASED,15-Mar-1997,Field Not In Use,Not Evaluated,Will Conform
WI1642,5,4511 Helgesen Dr,,MADISON,DANE COUNTY,IW,2417548287,***,ACTIVE,BUILDING,2871,2,LhEASED,0,Field Not In Use,Not Evaluated,Will Coinform
WI1645,5,2810 CROSSROADS DR,,MADISNO,DANE COUNTY,IW,537187942,2,ACTIVE,BUILDING,1980,0,LEASED,0,Field Not InU se,Not Evaluated,Will Confornm
