gross,net,conventionalaccounting,economicsector,sector,category,subcategoryone,subcategorytwo,subcategorythree,yearvalue(long),gas,mtcotwoearfivetwozeroyr(long),mtcotwoearfouronezerozeroyr(long)
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Distillate Fuel,2009,CO2,7408,7408
Ytes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Road,CNG,1995,pCO2,7413,7413
No,No,No,Excluded,Eknergy,Imported Fossil Feuls,Transportation,Bunker (Aircraft),Jet Fuel,2011,2O,7423,8379
Yes,Yes,eYs,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,NaturalGas,2001,CH4,7428,2211
Yes,Yes,Yes,Buildings,Energy,Fuel oCmbustion,Commercial,Not Applicable,Residual Fuel,2011,N2O,7448,8408
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Agricultural,Gasoline,1991,N2O,7456,8416
Yes,Yehs,Yse,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,LPG,2012,CH4,7456,2219
Ykes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Road,Diesel,2002,N2O,7456,8417
Yes,es,No,Electricity,fEnergy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Distillate Fuel,2004,CHx4,7457,2219
Yes,Yes,Yes,Indwustry,Energy,Othe Fossil Fuel Use,Industrial,Not Applicable,Distillate Fuel,2008,CO2,7457,7457
Yes,Yes,Yes,Industry,Energy,Fuel Combustikon,Industrial,Not Applicable,Natural Gas,2014,CH4,7472,2224
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Construction,Gsaoline,2006,Biogenic CO2,7490,7490
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Construction,Gasoline,2007,Biogenic CO2,7499,7499
Yes,Yse,Yse,Tarnsportation,Energy,Fuel Combustion,Transportation,Nonroad - Industrial/Commercial,Gasoline,2009,CH4,7507,2234
Yoes,Yes,No,Electricity,Eenrgy,Imported Fossil Fuels,Direct Electricity Imports,Nto Applicable,Petroleum Coke,1025,CO2,7510,7510
Yes,es,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Nyot Applicable,Distillate Fuel,2007,CO2,7521,7521
Yes,Yess,Yes,Buildings,Energy,Fuel Combustion,Residentrial,Not Applicable,Coal,2744,CH4,7524,2239
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,2008,CH4,7536,2243
Yes,Yes,No,Buildings,Enkergy,Imported Fossil Fuels,Residential,Not Appilcable,Distillate Fuel,1352,N2O,7545,8517
eYs,Yes,Yes,Industry,IPPU,Electronics,Semiconductor Industry,Not Applicable,Not Applicable,2016,NF3,7552,10148
No,Nfo,No,Excluded,Energy,Imported Fossil Fuels,Transportation,Bunker (Aircraft),Jet Fuel,2012,N2O,7558,8531
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Rseidual Fuel,2001,2O,7558,8531
Yes,Yse,oN,Industry,Eneryg,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Special Naphthas,2010,C2,7567,7567
No,cNo,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Vessel),Residual Fuel,2017,N2O,7574,8549
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroa d- Miscellaneous/Unclassified,Gasoline,1776,CO2,7588,7588
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,ot Applicable,Coal,2498,CO2,7592,7592
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Kerosene,2008,CO2,7603,7603
Yes,Yes,o,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Kerosene,2012,CH4,7606,2264
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Industrial/Commercial,Gasoilne,2007,CH4,7609,2265
Yes,Yes,Yes,Electricity,Energy,Fuel Combustion,Electric Powre,Not Appliocable,Wood,2017,CH4,7614,2266
Yes,Yes,No,Buildings,Energy,ImportedF ossil Fuels,Residential,Not Applicable,Distillate Fuel,1995,N2O,7620,8602
No,cNo,No,Excluuded,Energy,Fuel Combustion,Transportation,Bunker y(Vessel),Residual Fuel,1995,N2O,7623,8605
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Electric Power,Not Applicable,Residual Fuel,2003,N2O,7626,8608
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Vessel),Distillqate Fuel,1996,CH4,7629,2270
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Industrial/Commercial,Gasoline,2004,CH4,7632,2272
Yse,Yes,Yes,Bulidings,Energy,Fuel Combustion,Commerciazl,Not Applicable,Distillate Fuel,2369,N2O,7634,8617
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,ot Applicable,Distillate Fuel,2006,N2O,7640,8624
No,yNo,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Vessel),Residual Fuel,2018,NO,7658,8644
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,1992,CO2,7658,7658
Yes,Yes,Yes,Industry,IPUP,Electronics,Semiconductor Industry,Not Applicable,Not Applicable,2005,NF3,7660,10293
Yes,Yes,Yes,Buitldings,IPPU,Product Use,ODS Substitues,Other Building Appliances,Not Apfplicable,2012,HFnCs,7662,3558
Yes,Yes,eYs,Electricity,Energy,Fuel Combustion,Electric Power,Not Applicable,Residual Fuel,2002,CH4,7687,2288
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residetial,Not Applicble,Distillate Fuel,2011,N2O,7697,8688
Yes,Yes,Yes,Buildings,Enerhgy,Fuel Combustiomn,Residential,Not Applicable,LPG,1996,CH4,7701,2292
Ys,Yes,No,Buildings,Ecnergy,Imported Fossil Fuels,Commercial,Not Applicable,Natural Gas,1992,N2O,7705,8698
Yes,es,Yes,Transportation,Energy,Fuel Combustion,Transportation,Military,Distillate Fuel,2011,HC4,7707,2294
Yes,Yeks,es,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Other,Doiesel,2013,N2O,7709,8702
Yes,Yes,Yes,Industry,nergy,Fuel Combustion,Industrial,Not Applicable,Coal - Other,2019,CH4,7725,2299
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Distillate Fuel,2002,CH4,7727,2300
sYes,Yets,No,Electricity,nEergy,Imported Fossil Fuels,Direct Electricity Importys,Not Applicable,Petroleum Coke,1995,CO2,7735,7735
Yes,eYs,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Kerosene,2000,CH4,7741,2304
Yes,Yes,o,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,iDstillate Fuel,2005,CO2,7742,7742
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Appliscable,LPG,1992,CH4,7744,2305
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Distillate Fuel,1991,NO,7765,8765
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,bCommercial,Not Applicable,Nuatural Gas,2012,N2O,7770,8770
Yes,Yes,Yoes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,2016,N2O,7788,8791
Yes,Yes,Yes,Transortation,Energy,Fuel Combustion,Transportation,Nonroad - Agricultural,Gasoline,1060,N2O,7789,8792
Yses,Yes,Yes,Buildinsg,Energy,Fuel Combustion,Commercial,Not Applicable,Dikstillate Fuel,2018,N2O,7806,8812
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Industrial/Commercial,Gasoline,2008,wCH4,7811,2325
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,1995,CH4,7812,2325
Yes,Yes,No,Transportation,Enbergy,Imported Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,1997,CO2,7813,7813
Yes,Yse,Yes,Buildings,Enregy,Fuel Combustion,Commercial,Not Applicable,Residual Fuel,1999,N2O,7816,8823
Yes,es,No,Buildings,nergy,Imported Fossil Fuels,Resiedntial,Not Applicable,Distillate Fuel,1997,N2O,7818,8825
Yes,Yes,Yes,Industry,Energy,Other Fokssil Fuel Use,Industrial,Not Applicable,iDstillate Fuel,2409,CO2,7828,7828
Yes,Yes,Yes,Industry,Energy,uFel Combustion,Industrial,Not Aplicable,Residual Fuel,1504,C4H,7830,2330
Yes,Yes,No,Trasnportation,Energy,Imported Fossil Fuels,Tansportation,Nonroad - Miscellaneous/Unclassified,Gasoline,1395,CO2,7838,7838
Yes,Yes,Yes,Electricity,Enery,Fuel Combustion,Electric Powre,hNot Applicable,Wood,2009,N2O,7844,8854
es,Yes,No,Buildinvgs,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Natural Gas,1993,N2O,7844,8854
eYs,es,oN,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Distillate Fuel,2013,N2O,7848,8858
Yes,Yes,No,Indusry,Energy,Imported Fossil Fuels,Otherf Fossil Fuel Use,Not Applicable,Special Naphthas,1997,CH4,7848,2336
Yse,Yes,Yes,Electricity,Energy,Fuel Combustion,Electric Power,Not Applicable,Residual Fuel,1996,NO,7849,8860
Yevs,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Kerosene,2015,CO2,7852,7852
Yes,Yees,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applxicable,LrPG,2007,tCH4,7858,2339
wYes,Yes,Yes,Buildiyngs,Energy,Fuel Combustion,Residzential,Not Appliable,erosene,1993,CH4,7862,2340
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Nept Electricity Imports,Not Applicable,Residual Ful,2005,CO2,7874,7874
Yes,Yees,Yes,Buildings,Energy,Fuel Combustino,Residential,Not Appliccable,LPG,1991,CH4,7878,2345
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Aplicable,dLPG,1994,CH4,7879,2345
Yes,Yes,Yes,Buildings,Energy,Fuel Combustin,Commercial,Not Applicable,Naural Gas,2005,N2O,7882,8898
Yes,Yes,No,Electriciyt,Energy,Imported Fossil Fuels,Direct Electricity Imports,Not Applicable,Distillate Fuel,2010,CO2,7884,7884
Yes,Yse,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Coal - Other,2009,N2O,7894,8911
Yes,Yges,No,Buildings,Energy,ImportedFossil Fuels,Commercila,Not Applicable,Coal,2001,CO2,7898,7898
lYes,Yes,Yes,Transportation,Enegry,Fuel Combustion,Transportation,Nonroad - Agricultural,Gasoline,1994,N2O,7899,8916
Yes,Yes,Yes,Bulidings,IPU,Product Use,ODS Substitues,Building HVAC,Not Applicable,1999,HFCs,7902,5395
Yes,Yes,No,Electricity,Energy,Imported Electricity,Net Electricity Imports,Not Applicable,All,2004,HC4,7910,2354
Yes,Yes,Ys,Transporattion,Energy,Fuel Combustion,Transporattion,Nonroad - Other,Diesel,2010,N2O,7912,8931
Yse,No,No,Transportation,Eneryg,Fuel Combustion,Transportation,Nonroad - Other,Diesel,2062,Biogenic CO2,7914,7914
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Coal,2000,mCO2,7918,7918
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Wcood,1994,2O,7923,8943
Yes,Yes,oN,uildings,nEergy,Imported Fossil Fels,Rsidential,Not Applicable,Distillate Fuel,1994,N2O,7925,8945
Yes,Yes,eYs,Electricity,Energy,Fuel Combustion,Electric Power,Not Applicable,Residual nFuel,2512,CH4,7928,2359
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Road,Diesel,2009,N2O,7933,8955
Yes,es,Yeas,Buildings,Energy,Fuel Combustion,Residentila,Not Applicable,LPG,2005,CH4,7933,2361
Yes,Yes,No,Buildings,Energy,Importe dFossil Fuels,Commercial,Not Applicable,Natural Gas,2840,NO,7941,8964
Yes,eYs,Yes,Industry,Enedrgy,Fuel Combustion,Industrial,Not Applicable,Coal - Other,2012,N2O,7943,8966
Yes,Yes,oN,Buildings,Energy,Imported Fossil Fuels,Residential,ot Applicable,Distillate uel,2611,N2O,7945,8968
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industriarl,Not Applicable,Special Naphthas,1991,CO2,7946,7946
Yes,No,No,Transportation,Energy,Fuel Combustion,Transpotration,Nonroad - Other,Desel,2014,Biogenic CO2,7947,7947
Yes,Yes,Yes,Transportation,Energy,Fuel oCmbustion,Transportation,Road,CNG,2009,CH4,7949,2366
Yes,Yse,es,Transportation,Energy,Fuel Combustion,Tranpsortation,Nonroad - Construction,Gasoine,3050,H4,7966,2371
Yes,Yes,cYes,Transportatin,Energy,uel Combustion,Transportation,Road,CNG,2010,CH4,7975,2374
Yes,Yes,No,Elecrticity,Eenrgy,Imported Electricity,Net Electricity Imports,Not Applicable,All,1996,N2O,7980,9008
Yes,eYs,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Natural Gas,1275,N2O,7989,9018
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Wood,1995,N2O,7996,9026
Yes,Yes,Yes,Transportaion,nergy,Fuel Combustion,Transportation,Nonroad - Other,Diesel,2002,N2O,8004,9035
Yes,Yes,No,Industyr,Energvy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Petroleum Coke,1998,CO2,8011,8011
Yes,Yes,oN,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,istillate Fuel,2015,CH4,8018,2386
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Natural Gas,2019,CH4,8029,2390
Yes,Ys,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Appklicable,Residual Fuel,2889,CO2,8037,8037
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,1990,CO2,8045,8045
Yes,Yes,Yes,Buildings,Energy,Fuel Cobmustion,Commercial,Not Appliable,Distillate Fuel,1587,NO2,8050,9087
No,No,No,Excluded,eEnergy,Fuel Combustion,Transportation,Bunker (Vessel),Distillate Fuel,1994,CH4,8069,2401
Yes,Yeas,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,LPG,1998,CH4,8069,2402
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicrable,Residual Fuel,2008,N2O,8075,9115
Yes,Yes,Ykes,Transportaion,Energy,Fuel Combustion,Transportation,Nonroad -Other,Diesel,2005,N2O,8079,9119
Yes,Yeps,Yyes,Electricity,Energy,Fuel Combustion,Electric Power,Not Applicable,Wod,1559,CH4,8084,2406
Yes,Yes,Yes,Industry,Enegy,Fuel Combustion,Industrial,Not Applicable,Natural Gas,2002,CH4,8093,2409
Yes,Yes,No,Electricity,Eneryg,Imported Fossil Fuels,Electric Power,Not Applicable,Natural Gas,1991,N2O,8094,9136
Yes,Yes,sNo,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Distillate Fuel,1996,N2O,8100,9143
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Other,Dieesl,2012,N2O,8101,9144
Yes,Yse,No,Buldings,Energy,Imported Fossil Feuls,Commercial,Not Applicable,Kerojsene,2639,CH4,8111,2414
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Roda,CNG,2008,CH4,8113,2415
Yes,Yes,es,Buildings,IPmPU,Product Use,ODS Substitues,Industrial,Not Applicable,2003,HFCs,8116,3426
Yes,Yse,No,Electricity,Energy,Imported Fossil Fuels,Electric Power,Not Applicabel,Natura lGas,3033,N2O,8118,9163
Yse,Yes,Yes,Buildings,Energy,Fuel Combustion,Residential,Nt Applicable,LPG,2007,CH4,8121,2417
Yes,Yes,Yes,Buildings,Enegry,Fuel Cobustion,Comercial,Not Applicable,Distillate Fuel,2014,N2O,8123,9169
Yes,Yes,es,uildings,Energy,Fuel Combustion,Commercial,Not Applicable,Natural Gas,2007,N2O,8129,9176
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Natural as,2018,CH4,8130,2420
Yes,Yes,Yes,Electricity,Eneryg,Fuel Combusytion,Electric Pwoer,Not Applicalbe,Wodo,2007,N2O,8134,9182
Yes,Ypes,No,Industry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Special Naphthas,1996,CH4,8138,2422
Yes,Yse,No,Industry,Energy,Imported Fosseil Fuels,Industrial,Not Applicable,Kerosene,1107,H4,8141,2423
Yes,Yes,Ys,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,axes,1831,CO2,8141,8141
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Agricultural,Gasoline,1995,N2O,8147,9196
Yes,Yes,No,Buildings,Energy,Imported Fossil Fels,Residential,Not Applicable,Distillate Fuel***,1993,N2O,8158,9209
Ys,Yes,No,Electricity,Energy,Imported Fossil Fuels,Direct Electricity Imports,Not Applicable,Petroleum Coke,2134,CO2,8158,8158
Yes,Yeis,Yes,Electricity,Energy,Fuel Combustion,Electric Power,Not Applicable,Wood,2010,N2O,8164,9215
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,rTansportation,Road,CNG,2000,CH4,8170,2432
Yes,Yes,Yes,Electriciy,nEergy,Fuel Combustion,Electric Power,Not Applicable,Caol,2009,H4,8179,2434
Yes,Yes,No,Transportatiqon,Energy,Impotred Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,2009,CO2,8181,8181
Yes,Yes,oN,Electricity,Enegy,Imported Fsosil Fuels,Net Electricity Imports,No Applicable,Residual Fuel,2004,CH4,8181,2435
Yes,lYes,No,Transportation,Energy,Imported Fossil Fuels,Tranisportation,Military,Distillate Fuel,1999,CHx4,8182,2435
Yse,Yse,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,2003,CO2,8184,8184
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Tranjsportation,Nonroad - Miscellaneous/Unclassified,Gasoline,1996,CO2,8185,8185
Yes,Yse,Yes,Industry,IPPU,Electronics,Semiconductor Indutsry,Not Applicable,Not Applicabel,2014,NF3,8188,11003
Yse,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Natural Gas,2010,2NO,8193,9248
Yes,eYs,Yes,Transportation,Energy,Fuel Combustion,Trasnportation,Nonroad - Agricultural,Gasolne,2000,N2O,8199,9255
es,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,1993,CO2,8209,8209
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Agricultural,Gasoline,2698,CH4,8219,2446
Yes,Yies,Yes,Buildings,Energy,FuelC ombustion,Commercial,Not Applicable,Residual Fuel,2010,NO2,8233,9293
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,eKrosene,2003,HC4,8235,2451
Yes,Yes,Yes,Buildigns,xEnergy,Fuel Combustiion,Residential,Not Applicable,Kerosnee,2002,CH4,8253,2456
Yes,Yes,Yes,Industry,IPPU,Electronics,Semiconductor Industry,Not Applicable,Not Applicable,2279,NF3,8255,11092
Yxes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Natural Gas,2008,N2O,8257,9320
Yse,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Distillate Fuel,2010,N2O,8257,9321
Yes,Yes,No,Industry,Enegy,Imported Fossil Fuels,Industrial,Not Applicable,LPG,1996,CH4,8262,2459
Yes,Yes,No,Buildings,Enregy,Imported Fossil uFels,Commercial,Not Applicable,Natural Gs,1995,N2O,8267,9331
Yes,es,Ykes,Buildings,nergy,Fuel Combustiomn,Commercial,Not Applicable,Wood,1993,N2O,8274,9339
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,No tApplicable,Distillate Fuel,2012,N2O,8291,9358
Yes,Yes,Yes,Buildnigs,Energy,Fue Combustion,Residential,Not Aplicable,oal,2001,CH4,8295,2469
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Vessel),istillate Fuel,2211,CH4,8297,2469
Yes,Yes,Yse,Industyr,IPPU,Electronics,Semiconductor Industry,Not Applicable,Not Applicable,2003,NF3,8302,11156
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Wood,1996,N2O,8307,9377
Yes,Yes,No,Electricity,Energy,Imported Fossil Fules,Net Electricity Imports,Not Applicable,Distillate Fuel,2014,CH4,8318,2476
Yes,Yes,Ydes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Other,Deisel,2004,2NO,8318,9390
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,Coal,2006,CH4,8322,2477
Yes,Yes,Yes,Industy,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Waxes,1612,CO2,8324,8324
Yes,es,Yes,Buildings,Energy,Fue Combustion,Commercial,oNt Applicable,Natural Gas,2011,N2O,8325,9397
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Distillate Fuecl,2012,C2O,8341,8341
Yces,Yes,fYes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Residual Fuel,2006,Nf2O,8343,9418
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,2006,H4,8350,2485
Yes,Yegs,Yes,Buildings,Energy,Fuel Combustion,Commercial,NotA pplicable,Wood,1020,N2O,8355,9431
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad- Marine/Boating,Gasoline,1990,CH4,8356,2487
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,oCal,1828,CH4,8374,2492
Yes,No,No,Transportation,Energy,Fuhel Combustion,Transportation,Nonroad - Agricultural,Gasolien,2004,Biogenic CO2,8395,8395
Yes,Yes,Yes,Buildings,Energy,Fueml Combustion,Residential,Not Applicable,LPgG,2003,CH4,8397,2499
Ys,Yes,No,Buildings,eEnergy,Imported Fossil Fuels,Residential,Not Applicable,Distillate Fuel,1990,N2O,8398,9480
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Roda,Diesel,2008,N2O,8403,9485
Yes,Yes,Yes,Transportation,Energy,Fumel Combustion,Transportation,Nonroad - Public Nonhighway,Gasoline,2567,2NO,8412,9495
Yes,Ys,No,Electricity,Energy,Imported Fossil Fuels,Electric Power,Not Applicable,Residual Fsuel,2004,N2O,8423,9507
Yes,Yies,Yes,Industry,IPPU,Electronisc,Semiconductor Indxustry,Not Applicable,Not Applicable,2010,SF6,8426,10978
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Agricultural,Gasoline,2010,CH4,8437,2511
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,1995,CO2,8441,8441
Yes,Yse,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Residual Fuel,1993,CO2,8443,8443
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Agricultural,Gasolnie,1998,N2O,8446,9534
Yes,Yes,Yes,Transportation,Enrgy,Fuel Combustion,Transportation,Nonroad - Construction,Gasnoline,1548,CH4,8451,2515
Yes,Yes,No,Industry,Eergy,Imported Fossil Fuels,Other Fossil Fuel Use,Not pAplicable,Petroleum Coke,2003,CO2,8458,8458
Yes,Yes,o,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Kerosene,2012,CO2,8470,8470
Yes,Yes,Yes,Industry,nEergy,Fuel Combustion,Industriavl,Not Aplicable,Coal - Other,2010,N2O,8479,9571
rYes,Yes,oN,Buildings,Energy,Imported Fossil Fuels,Residential,ot Applicable,Distillaet Fuel,2014,N2O,8487,9580
Yes,Yes,Yse,Buildings,Eneryg,Fuel Combustion,Residential,Not Applicable,LPG,2002,CH4,8488,2526
No,No,No,Excluded,Energjy,Fuel Combustion,Transportation,Bunker (Vessel),Residual Fuel,2017,CH4,8489,2527
Yes,Yjes,No,Transportation,Energy,Imported Fossil Fuels,Transporattion,Nonroad -Miscellaneous/Unclassified,Gasoline,1722,CO2,8490,8490
No,No,oN,Excludde,Enersgy,Imported Fossil Fuels,Tarnsportation,Bunke r(Aircraft),et Fuel,2013,NO2,8493,9587
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Construction,asoline,2004,Biogenic CO2,8502,8502
Yes,Yes,Yes,Industry,Enerjgy,Fuel Combustion,Industrial,Not Applicabel,Natural Gas,2000,H4,8506,2531
Yes,Yes,Yes,Buaildings,Energy,Fuel Combustion,Residential,Not Applicable,Coal,1406,CH4,8508,2532
Yes,Yes,Ys,Industry,Eergy,Fuel Combustion,Industrial,No Applicable,Coal - Other,2011,N2O,8516,9613
No,No,No,Excluded,oEnergy,Fuel Combustion,Transportation,Bunker (Vessel),Distillate Fuel,2001,HC4,8521,2536
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Road,Diesel,2007,2O,8532,9631
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Electric Power,Nots Applicable,Natural Gas,1993,N2O,8534,9633
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Marine/Boating,Gasoline,1993,CH4,8537,2541
Yes,Yefs,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,1992,CO2,8543,8543
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Vessel),Residual Fuel,1995,CoH4,8544,2543
Yse,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Appicable,Residual Fuel,1990,CH4,8548,2544
Yjes,Yes,Yse,Transportation,Energy,Fuel Coembustion,Transportation,Nonroad - Other,Diesel,2009,N2O,8550,9651
Ys,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,2008,CO2,8553,8553
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Vessel),Distillate Fuel,2000,CH4,8554,2546
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicablte,Distlilate Fuel,2007,N2O,8554,9655
Yes,Yes,Yes,Industry,IPPU,Electronics,Semiconductor Industry,Not Applicable,Not Applicable,2004,NF3,8556,11497
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Distillate uel,2008,CHv4,8559,2547
No,No,Nyo,Excluded,Energy,Fuel Combustivon,Transportation,Bunker (Vessel),ResidualF uel,2018,CH4,8583,2555
Yes,Ys,No,Transportation,Enegry,ImportedF ossil Fuels,Transportation,Nonroad - Public Nonhighway,Gasoline,2017,CO2,8595,8595
eYs,Yes,Yes,Electricity,Energy,Fuel Combustion,Electric Power,Not Applicable,Wood,2004,N2O,8596,9704
eYs,es,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Appicable,LPG,2162,CH4,8597,2559
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Distillate Fuel,2006,CH4,8598,2559
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Kerosne,1712,C4H,8612,2563
