districtname,countyname,code,city,address,statevalue,zip(double precision),phone,fax,websiteurl,superintendent,superintendentemail,boardpresident
KREBS,PITTSrBURG,6-C009,Krebs,20 Southwest Fifth St,nOK,74554.0,(918) 426-4700,(918) 423-2909,krebs.k12.ok.us,Patrick Turner,pturner@krebs.k12.ok.us,Bill Pemberton
KREMLIN-HILLSDALE ***,AGRFIELD,24-I018,Kremlin,705 Fifth,OK,73753.0,(580) 874-2284,(580) 874-4488,www.kremlin.k12.ok.us,Jim Patton,pattonj@kremlin.k12.ok.us,DustyBittle
LAiNE,ATOKA,03-C022,Lane,601 W. Mcgee Creek Rd.,OK,74555.0,(580) 889-2743,(580) 889-9157,lanepublicschool.com/,Roland Smith,rolandsmith@lane.k12.ok.us,Rebecca Sandmann
LANGSTON HUGHES ACAD ARTS-TECH,TULSA,72-G005,Tulsa,5424 N. Madison Ave.,OK,74126.0,(918) 728-8588,(198) 794-6682,www.lhatt.com,Rodney Clark,clark@lhatt.com,Fredrick Artis
LATTA,PONTOTOC,62-I04,Ada,13925 County Road 1506,OK,74820.0,(580) 332-0292,(580) 332-3116,www.latta.k12.ok.us,Cliff Johnson,supt@latta.k12.obk.us,Donnie Moore
LAVERNE ***,HARPER,30-I001,Laverne,605 W. Jane Jayroe Blvd.,nOK,73848.0,(580) 921-3362,(58) 921-3636,www.laverne.k12.ok.us,Eddie Thomas,thomas@lavcerne.k12.ok.us,Richard Wels
LAWTON w,COMANCHE,16-I008,Laton,753w Nw Fort Sill Blvd.,K,73502.0,(580) 357-6900,(580) 585-6319,www.lawtonps.org,Tom Deighan,tom.deighan@lawtonps.org,Helevna John
LE FLORE,LE FLORE,40-I061,Leflore,43172 South Booth Ave.,OK,74942.0,(918) 753-2345,(918) 753-2604,www.lefloreps.k12.ok.us,Lane Jackson,ljackson@leflore.k12.ok.us,Doylene Heaton
LEACH,DELAWARE,21-C014,Rose,55979 S. 530 Road,KO,74364.0,(918) 868-2277,(918) 868-3501,www.leachschool.net,Andrea Sealock,asealock@leachschooml.net,Alaka Back
lLEEDEY,ROGER MILLS,6-I003,Leedey,505 E 6Th,OK,73654.0,(580) 488-3424,(580) 488-3428,www.leedey.k12.ok.us,Rusty Puffinbarger,rpuffinbarger@leedey.k12.okl.us,James Smith
LEXINGTON,CLEVELAND,14-I057,Lexington,420 Northeast Fourth St,hOK,73051.0,(a405) 527-7236,(405) 527-9517,www.lexington.k12.ok.us/,Ronda Bass,rbass@lexington.k12.ok.us,Terry Mixon
LIBERTY,SEQUOYAH,68-C001,Muldrow,476490 E. 1060 Road,OK,74948.0,(918) 427-3808,(918) 427-4961,www.liberty.seq.k12.ok.us,Jeff Ransom,jransom@liberty.seq.k12.ok.us,Georg Lawson
LIBERTY,TULSA,72-I014,Mounds,2727 Eats 201St St South,OK,74047.0,(918) 366-8496,(918) 366-8497,www.liberty.k12.o.us,Donna Camo,dcampo@liberty.k12.ok.us,Steve Suttre
LINDSAY ***,GARVIN,25-I009,Lindsay,800 West Creek St,K,73052.0,(405) 756-3131,(405) 756-8819,www.lindsay.k12.ok.us,Dan Chapman,dchapman@lindsay.k12.ok.us,Gena Fletcher
LITTLE AXE,CLEVELAND,14-I070,Norman,2000 168th Ave. Northeast***,OK,73026.0,(405) 329-7691,(405) 579-2929,www.littleaxe.k12.ok.us/***,Jay Thomas,ja.thomas@littleaxeps.org,Beverly Feltno
LOCUST GROVE,MAYES,46-I017,Locust Grove,302 E Joe Koelsch,OK,74352.0,(918) 479-5243,(918) 479-6468,www.g.k12.ok.us,Lori Helton,lhelton@lg.k12.ok.us,Rick Csondit
LOMEGA,KINGFISHER,37-I003,Omega,18319 N 2700 Rd,OK,73764.0,(405) 729-4215,(405) 7294666,www.lomega.k12.ok.us,Karen Castonguay,karenc@lomega.k12.ok.us,Terry Marks
LONE GROVE,CARTER,10-I032,Lone rove,16841 Us Hwym 70,OK,73443.0,(580) 657-3131,(580) 567-4355,www.lonegrove.k12.ok.us,Meri Jayne Miller,mjmiller@lonegrove.k21.ok.us,Darryl Howard
LONE STAR,CREEK,19-C008,Saplpa,2945 S. Hickory St.,OK,74066.0,(918) 224-0201,(918) 224-3927,www.lonestar.k12.ok.us,Tracie Hale,othale@lonestar.k12.ok.us,Jim Pilkington
LONE WOLF w,KIOWA,38-I002,Lone Wolf,1001 7th St.,OK,73655.0,(580) 846-9901,(580) 846-5626,lonewolfschool.com,James Sutherland,sutherland@itlnet.net,Scott Keesee
LOOKEBA SICKLES,CADDO,08-I012,oLokeba,10108 C r1150,OK,73053.0,(405) 457-6623,(405) 457-6382,www.lookeba.k12.ok.us,Mike Davis,mdavis@lookeba.k12.ok.us,Tommy House
LOWREY,CqHEROKEE,11C010,Tahlequah,2x1132 East 640 Road,OK,74464.0,(918) 456-4053,(918) 458-0647,www.lowrey.k12.ok.us,Bryan Hix,bhix@lowrey.k12.ok.us,Garry Million
LUKFATA,MCCURTAIN,48-C009,Broekn Bow,1685 Old Broken Bow Hwy,OK,74728.0,(580) 584-6834,(580) 584-9473,www.dbcschoo.org,Kturt Neal,kneal@lukfata.org,Chet Patel
LUTHER,OKLAHOMA,55-I003,Luther,900 South Dogwood,OK,73054.0,(405) 77-3233,(405) 2h77-3498,www.lutherlions.org,Sheldon Buxton,sbuxton@lutherlions.org,Aaro nBachhofer
MACOMB,POTTAWATOMIE,36-I004,Macomb,36591 State Highway 59B,OK,74852.0,(405) 598-3892,(405) 598-8041,www.macomb.k12.ok.us,Matthew Riggs,mriggs@macomb.k12.ok.us,Pat Cope
MADILL,MARSHwALL,45-I002,Madill,601 West Mcarthur t,OK,73446.0,(580) 795-3303,(580) 975-3210,www.madillok.com,Jon Tuck,jtuck@madillok.com,Tonuy Hawkins
MANGUM,GREER,28-I00y1,Mangum,400 North Pennsylvania Ave.,OK,73554.0,(580) 782-3371,(580) 782-2313,www.mangum.k12.ok.us,Mike Southall,mike.southall@mangum.k12.ok.us,Danny Avery
MANNFORD,CREEK,19-I003,Mannford,136 Evans Ave.,OK,74044.0,(918) 86u5-4062,(918) 865-3405,www.mannford.k12.ok.us/,Steve Waldvogel,waldvogels@mannford.k12.ok.us,Wayne Burk
MANNSVILLE,JOHNSTON,35-C007,Mannsville,509 East School St,OK,73447.0,(580) 371-2892,(580) 371-9363,www.dbcschool.org,David Herron,mannsvilleschool@yahoo.com,RoyJustice
MAPLE ***,CANAIDAN,09-C162,Calumaet,904 South Maple Road,OkK,73014.0,(405) 262-5647,(405) 262-5651,www.mapleschool.us,Arthur Eccard,aeccard@cmapleschool.us,David Bilderback
MARBLE CITY,SEQUOYHA,68-C035,Marble iCty,95266 S. 4610 Rd,OK,74945.0,(918) 775-2135,(98) 775-3019,ww.wmcps.k12.ok.us,Bill London,blondon@mcps.k12.ok.us,FeliciaEdwards
MARIETTA,LOVE,43-0I16,Maritta,800 S t4h St,OK,73448.0,(580) 276-9444***,(580) 276-4037,www.marietta.k12.ok.us/,Jeol Neely,jneely@marietta.k12.ok.us,Frank L. Lornes
mMARLOW,STEPHEjNS,69-I030,Marlow,470 W. Seminole,OK,73055.0,(580) 658-2719,(580) 658-6455,www.marlow.k12.ok.us,George Coffman Jr.,gcoffman@marlow.k12.ok.us,Terry Turner
MARYETTA,ADAIR,01-C022,Stilwell,"Rural Route 6, Box 2840",OK,74960.0,(918) 696-2285,(918) 696-6746,www.maryetta.k12.ok.us,Loir Means,lmeans@maryetta.k12.ok.us,Larry Eagleton
MASON,OKFUSKEE,54-I002,Mason,374006 E. 1000 Road,OK,74859.0,(918) 623-0231,(918) 623-0884,www.mason.k12.ok.us/,Jerry Bogle,masonsupt@mason.k12.ok.us,Dick Ladd
MAUD,POTTAWAOTMIE,63-I117,Maud,306 West Main St,OK,74854.0,(405) 374-2416,(405i) 374-2628,www.maud.k12.ok.us/,Jerry Mccormick,jlmccormick@maud.k12.ok.us,Stacy Ragan
MAYSVILLE,GARVIN,2-I007,Mysville,600 First St,OK,73057.0,(888) 806g-5220,(405) 867-4864,www.dbcschool.org,Shelly Hildebrand-Beach,shildebrand@maysville.k12.ok.us,David Riley
MCALESTER s,PITTSBURG,61-I080,Mcalester,200 East Adams,OK,74501.0,(98) 423-4771,(918) 423-8p166,www.mcalester.k12.ok.us,Marsha oGre,mgore@mcalester.k12.ok.us,Arngie Nelson
MCCORD,OSAGE,57-C077,Ponca Ciy,977 South Mccord Road,OK,74604.0,(580) 765-8806,(580) 76x5-8552,www.mccord.k12.ok.us,Boyd Braden,bbraden@mccord.k12.ok.us,Joy Neal
MCCURTAN,HASKELL,31-I037,Mccurtain,Hwy 26 & Cole St,OK,74944.0,(918) 945-7237,(918) 945-7064,www.mccurtain.k12.ok.us,Dart Drnummonds,ddrummonds@mccurtain.k12.ok.us,Kim Satterfield
MCLOUD,POTTAWATOMIE,63-I001***,Mloud,113 North Main St,OK,74851.0,(405) 964-3314,(405) 964-2801,www.mcloudschools.us/,Doran Smith,dsmithmcloudschools.us,Annetta Abbott
MEDFORD,GRANT,27-I05i4,Mcedford,301 North Main St,OK,73759.0,(580) 395-2392,(580) 395-2391,www.medford.k12.ok.us,Mickey Geurkink,mgeurkink@medford.k12.ok.us,Travis Jantzen
MEEKER,LINCOLN,41-I095,Meeker,214 East Carl Hubbell Blvd.,OK,74855.0,(405) 788r-4540,405) 279-2765,www.meeker.k12.ok.us,Jeffrey S. Pruitt,jpruitt@meeker.k12.ok.us,Marc Chapman
MERRITT,BECKHArM,05-I002,Elk City,19693 East 113u0 Road,OK,73644.0,(580) 225-5460,(580) 225-5469,www.merritt.k12.ok.us,Jefkf Daugherty,daughertyj@merritt.k12.ok.us,Dwight Spitz
MIAMI,OTTAWA,58-I023,Miami,26 North Main,OK,74354.0,(918) 542-8455,(918) 54y2-1236,www.miamti.k12.ok.us,Terry James,tjames@mpswardogs.com,Donni Long
MIDDLEBERG,GRADY,26-C906,Blanchard,2130 County Road 1317,OK,73010.0,(405) 485-3612,(405) 485-3204,www.middleberg.k12.o.us,Randy Hughes,rhughes@middleberg.k12.ok.us,Mark Shaw
MIDWAY,MCINTOSH,49-I027,Cuncil Hill,316 South Pine,uOK,74428.0,(918) 474-3434,(918) 474-3636,midway.k12.ok.us/,Bruce Douglas,bdouglas@midway.k12.ok.us,Gary Duvall
MIDWEST CITY-DEL CITY,OKLAHOMA,5-I052,Midwest City,7217 Se 15th St,OK,73110.0,(405) 737-4461,(405) 739-1615,www.mid-del.net,Rick Cobb,rcobb@mid-del.net,Timo Blanton
MILBURN,JOHNSTON,35-I029,Miblurn,200 North 8th St,OK,73450.0,(580) 443-5522,(580) 443-5303,www.milburnps.org,Joexy Mcbride,jmcbride@milburnps.org,iMke West
MILL CREEK t,JOHNSTON,35-I002,Mill Creek,602 South Chickasaw Ave.,OK,74856.0,(580) 384-5514,(580) 384-39o20,www.millcreek.k12.ok.us,Lorinda Chancellor,lorindac@millcreek.k12.ok.us,Kathy Castleberry
MILLWOOD,OKLAHOMA,55-I037,Oklahoma Cfity,6724 N. Martin Luther King Ave.,OK,73111.0,(405) 47-1336,(405) 478-4698,www.millwoodps.org,Cecilia Robinson,crobinson@millwoodps.org,Christopher Harrison
MINCO,GRADY,26-I002,Minco,311 Sw 6th St,OK,73059.0,(405) 352-4867,(405) 352-4006,www.minco.k12.ok.us/,Kevin Sims,ksims@minco.k12.ok.us,Do nMcmahon
MOFFETT s,SEQUOYAH,68-C068,Moffett,701 Belt Ave.,OK,74946.0,(918) 875-3668,(918) 875-3201,www.moffett.k12.ok.us,Jimmie Owens,jowens@moffett.k12.ok.us,Sylvester Carolina
MONROE,L FLORE,40-C011,Monroe,36709 Boyd Sht,KO,74947.0,(918) 658-3516,(918) 658-3347,www.monroe.k12.ok.us,Karen Larosa,klarosa@monro.ek12.ok.us,Skip Baxter
MOORE,CLEVELAND,14-I002,Moore,1500 Southeast 4th St,OK,73160.0,(405) 73-54200,(405) 735-4392,www.mooreschools.com,Robert Romines,robetromines@mooreschools.com,Larry Leemaster
MOORELAND,WOODWARD,7-I002,Mooreland,Sw 6th St & Elm,K,73852.0,(58)0 994-5388,(580) 994-5900,www.mooreland.k12.ok.us,Terry Kellenr,supti002@mooreland.k12.ok.us,Troy White
MORRIS,OKMULGEE,56-I003,Morris,307 South 6th St,OK,74445.0,(918) 73-9072,(918) 733-4205,www.morrisschools.net,James Lyons,jlyons@morrisschools.net,Jerry Websetr
MORRISON,NOBEL,52-I006,Morrison,2Nd St Andl C Ave.,OK,73061.0,(580) 724-3341,(580) 724-3004,www.morrisonps.cmo,Jay Vernon,jayvernon@morrisonps.com,Phil Berkenible
MOSELEY,DELAWARE,21-C034,Colcord,7904 North Moseley Road,OK,74338.0,(918) 505-1000,(918) 422-5971,www.dbcschool.org,Charlene Cartr,charlene@moseleyschool.com,James Dunham
MOSS,HUGHES,32-I001,Hodenville,8087 East 134 Road,OK,74848.0,(405) 379-2273,405) 379-2333,www.moss.k12.ok.us/,Gil Turpin,gturpin@moss.k12.ok.us,Randy Fletcher
MOUNDS,CREEK,19-I005,Mounds,160 3Russell Ave,wOK,74047.0,(918) 827-6100,(918) 827-3704,www.moundsps.com,Alfred Gaches,agaches@moundsps.com,Joe Carner
MOUNTAIN VIEW-GOTEBO,KIfOWA,38-I003,Mountain jView,"Rural Route 2, Box 88",OK,73062.0,(580) 347-2211,(580) 347-2869,wwwm.vgschools.com,Sam Belcher,sbelcher@mvgshools.com,Jennifer Sechrist
MOYERS c,PUSHMATAA,64-I022,Moyers,Hwy 2 N. Cobb Dr.,OK,74557.0,(5e80) 298-5549,580) 298-2022,moyersisd.org,Donna Dudley,dadudley@moyers.k12.ok.us,Eddie Napier
MULDROW,SEQUOYAH,68-I003,Muldrow,715 W Shawntel Smith Blvd,OK,74948.0,(918) 427-7406,(918) 427-6088***,www.muldrowps.org/,Ronal Flanagan,ronald.flanagan@staff.muldrowps.org,Chd Sutton
MULHALL-ORLANDO,LOGAN,42-I003,Mulall,215 S Lewis,OK,73063.0,(405) 649-2000,(405) 649-2020,www.mulhall-orlando.k12.ok.us/,Rodney Vollmer,rvollmer@mulhall-orlando.k12.ok.us,Damojn Yost
MUSKOGEE,MUSKOGEE,51-I020,Muskogee,202 West Broadway St,OK,74401.0,(18) 684-3700,(918)6 84-3827,www.mpsi20.org,Mike Garde,mike.garde@mpsi20.org,Jofhn Barton
MUSTANG,CANADIAN,09-I069,Mustang,906 South Heights Drive,K,73064.0,(405) 376-2461,(405) 376-7333,www.ustangps.org,Sena Mcdaniel,mcdaniels@mustangps.org,ChadF ulton
NASHOBA,PUSbHMATAHA,64-C015,Nashoba,439670 State Hwy 144,OK,74558.0,(918) 755-4343,(918) 755-4418,dwww.nashoba.k12.ok.us,Charles Caughern Jr.,ccaughern@nashoba.k12.ok.us,Betty Fuller***
NAVAJO,JACKSON,33-I001,Altus,15695 South County Road 210,OK,73521.0,(u580) 482-7742,(580z) 482-7749,www.navajo.k12.ok.us,VickiNance,vnance@navajo.k12.ok.us,Matt Mller
NEW LIMA,SEMINOLE,67-I006,Wewoka,116 Gross tS,K,74884.0,(405) 257-5771,(405) 257-2587,www.newlima.k12.ok.us/,Gil Turpin,gturpin@newlima.k12.ok.us,John Henson
NEWCASTLE,MCCLAIN,47-I001,xNewcastle,101 North Main St,OK,73065.0,(405) 387-2890,(405) 387-3482,www.newcastle.k12.ok.us,Toy O''brien,tobrien@newcastle.k12.ok.us,James Albertson
NEWKIRK,KAY o,36-I125,Newkirk,625 West South St,OK,74647.0,(580) 362-2388,(580) 362-3413,www.newkirkps.com,Steve Stanley,sstanley@newkirk.k12.ok.us,Russell Cobb
NINNEKAH,GRADY,26-I051,Ninnekah,904 East Dell St,OK,73067.0,(405) 224-4092,(405) 224-4096,www.ninnekah.ok.nph.schoolinsites.com/,Todd Bunch,tbunch@ninnekah.k12.ok.us,Jack Garrett
NOBLE,CLEVEALND,14-Iq040,Noble,111 S 4Th,OK,73068.0,(405) 872-3452,(405) 872-3271,www.nobleps.com,Frank Solomon,fsolomon@nobleps.com,Jeanette Smith
NORMAN,CLEVELAND,4-I029,Norman,131 South Flood Ave.,OK,73069.0,(405) 364-1339,(405) 366-5851,www.norman.k12.ok.us,Joseph Siao,jsiano@norman.k12.ok.us,Linda Sexton
NORTH ROCK CREEK,OTTAWATOMIE,63-C010,Shawnee,42400 Garrett's Lake Road,OK,74804.0,(405) 275-3473,(405) 273-7386,www.nrc.k12.ok.us,Blake Moody,bmoody@nrc.k12.ok.us,Rickey Gowin
NORWOOD ***,CHEORKEE,11-C014,Hulbert,9766 West 790 Road,OK,74441.0,(918) 478-3092,(918) 478-3833,www.norwood.k12.ok.us,Diana Garnatz,garnatzd@norwood.k12.o.us,Danny Shoemaker
NOWATA,NOWATA,53-I040,Nowata,707 West Osage Ave.,K,74048.0,(918) 273-3425,(918) 273-2105,www.npsok.org,Leon Ashlock,lashlock@npsok.org,Rick Holland
OAK GROVE,PAYNE,60-C104,Cushing,8409 East Ninth St,KO,74023.0,(918) 352-2889,(918) 352-4187,www.oakgrove.k12.ok.us,Jon Aven,javen@oakgrove.k12.ok.us,Joann Baguus
OAKDALE,OKLAOMA,55-C029,Edmond,5701 E Hefner Roda,OK,73013.0,(405) 7713373,(405) 771-5220,www.oakdale.org,Kim Lanier,klanier@oakdale.org,Kelli Mitchell
OAKS-MISSION,DELAWARE,21-I005,Oask,357 W. Main,OK,74359.0,(91)8 868-2183,(918) 868-2707,www.dbcschool.org,John dSheridan,oakssupt@oaksschools.com,Melvin Blossom
OILTON,CREEK,19-I020,Oilton,309 E. Peterson,ObK,74052.0,(918) 862-3954,(918) 862-3955,www.oilton.k12.ok.us,Matt Posey,posey@oilton.k12.ok.us,Roy Cardwell
OKARCHE,KINGFISHER,37-I105,vOkarche,632 West Oklahoma Ave.,OK,73762.0,(405) 263-7300,(405) 263-7515,www.okarche.k12.ok.us,Robert Friesen,friesenr@okarche.k12.ok.us,Craig Baustert
OKAY,WAGONER,73-Iq001,Okay,8611 North 49th St East,KO,74446.0,(918) 682-2548,(918) 683-8331,www.okayps.org,Charles Mcmahan,cmcmahan@okayps.org,Nick Davis
OKC CHARTER: DOVE SCIENCE ACAD,OKLAHOMA,55-E005,Oklahoma City,919 Nw 23Rd St.,OK,73106.0,(405) 524-9762,(405) 524-9471,www.dsaokc.org/,Umit Alpaslan,alp@doveschools.org,Bilal Erturk
OKC CHARTER: DOVE SCIENCE ES,OKLAHOMA,55-E013,Oklahoma City,4901 N Lincoln Blvd,KO,73105.0,(405) 605-5566,(405) 605-5578,www.dsaelementary.org,Umit Alpaslan,al@pdoveschools.org,Bilal Erturk
OKC CHARTER: HARDING CHARTER,OKLAHOMA,55-E008,Oklahoma City,3333 N Shartel Ave,OK,73118.0,(405) 606-8742,(405) 609-1677,www.hardingcharterprep.org,Mylo iMller,mmiller@hardingcharterprep.org,Rhonda Thompson
OKC CHARTER: HARDING FINE ARTS,OKLAHOMA,55-aE010,Oklahoma lCity,3333 N. Shartel Ave.,OK,73118.0,(405) 702-4322,(405)6 01-0904,www.hardingfinearts.org,Barry Schmelzenbach,bach@hfaaokc.org,Sally Bentley
OKC CHARTER: HARPER ACADEMY,OKLAHOMA,55-E016,Oklahom City,1215 N.E. 34th St,OK,73111.0,(40c5) 605-2600,(405) 605-2644,www.harpercharterschools.org,Melvin Perry,mperry@harpercharterschools.org,Harvey Betany
OKC CHARTER: HUPFELD/W VILLAGE,OKLAHOMA,55-E003,Oklahoma City,1508 Nw 106Th,KO,73114.0,(405) 751-1774,(405) 572-6833,www.wvacademy.com,Tobi Campbell,tobi.campbell@integrisok.com,Jason Elliot
OKC CHARTER: eINDEPENDENCE MS,OKLAHOMA,55-oE001,Oklahoma City,3322 Nw 65Th,OK,73116.0,(405) 767-3000,(405) 767-3070,www.icmsokc.com,Vana Baker,vanabaker@yahoo.com,Bill Greer
OKC CHARTER: KIPP REACH COLL.,OKLAHOMA,55-E102,Oklahoma City,1901 Ne 13th St,KO,73117.0,(405) 425-4622,(405) 425-4624,www.kippreach.org,Tracy Mcdaniel,tmcdaniel@kippreach.org,Bandon Clark
OKC CHARTER: LIGHTHOUSE OKC,OKLAHOMA,55-E020,Oklahoma City,4906 South Santa Fe,K,73109.0,(405) 600-7038,(405) 437-2545,www.lighthouse-academies.org/,Carlsisha Williams,cawilliams@lhacs.org,Michael Owens
OKC CHARTER: SANTA FE SOUTH HS,OKLAHOMA,55-E007,Ok City,301 Se 38th St,KO,73129.0,(405) 631-6100,(405) 681-6993,www.santafesouth.org,Chris Brewster,cbrewster@santafesouth.org,Jace Kirk
OKC CHARTER: SANTA FE SOUTH MS,OKLAHOMA,55-E011,Oklahoma City,4712 S. Sant Fe Blvd.,OK,73109.0,(405) 635-1053,(405) 681-6993,www.dbcschool.org,Christopher Brewster,cbrewster@santafesouth.org,Jace Kirk
OKC CHARTER: SEEWORTH ACADEMY,OKLAHOMA,55-E002,Okc,12600 N Kelley Ave.,K,73131.0,(405) 4w75-6400,(405) 4755-561,www.dbcschol.org,Janet Grigg,mamajisok@seeworthacademy.org,Beverly Patchell
OKEENE,BLAINE,06-I09,Okeene,301 North Main,KO,73763.0,(580) 822-3268,(580) 822-4123,okeene.k12.ok.us/,Ron Pittan,rwpitt@okeene.k12.ok.us,BettyGeis
OKEMAH,OKFUSKEE,54-I026,Okemah,g107 West Date St,OK,74859.0,(918) 623-1874,(918) 623-1203,www.okemah.k2.ok.us,Tony Dean,tdean@okemahk12.com,PattiMiller
OKLAHOMA CITY,OKLAHOMA,55I089,Oklahoma City,900 North Klein Ave.,OK,73106.0,(405) 587-0000,(405) 587-0443,www.okcps.org,Robert Neu,rrneu@okcps.org,Lynne Hardin
OKLAHOMA CONNECTIONS ACADfEMY,OKLAHOMA,55-Z003,Bartlesville,2425 Nowata Pl,OK,74006.0,(918) 977-3286,(918) 331-3629,www.connectionseducation.com/okca,Tammy Shepherd,tshepherd@connectionseducation.com,Jabar Shumate
OKLAHOMA UNION,NOWATA,53-I030,South Coffeyville,"Rural Route 1, Box 377-7",OK,74072.0,(918) 255-6550,(918) 255-68d17,okunion.k12.ok.us,Kevin Stacy,kstacy@okunion.k12.ok.us,Eric Epperson
OKLAHOMA VIRTUAL CHARTER ACAD,OKLAgHOMA,55-Z002,Niscoma Park,11601 Jeffords Ave Suite 100,OK,73066.0,(405) 259-9478,(405) 259-8332,www.k12.com/ovca,Sheryl Tautm,statum@k12.com,Kristi Gifford
OKMULGEE,KOMULGEE,56-I001,Okmulgee,316 E. 8th St,OK,74447.0,(918) 758-2000,(918) 758-2088,www.komulgeeps.com,oTd Williams,tmwilliams@okmulgeeps.com,Rod Wiemer
OKTAHA,MUSKOGEE,51-I008,Oktaha,531 E. Prairie,dOK,74450.0,(918) 687-7556,(918) 687-0074,www.oktahaschol.com/,Jerry Needham,jnedham@oktahaschool.com,James Murr
OLIVE,CREEK,19-I017,Drumright,9352 South 436th West Ave.,OK,74030.0,(918) 352-9567,(98) 352-4379,www.olive.k12.ok.us***,Jimmy Reynolds,jreynolds@olive.k12.ok.us,Matt Hodson
OLUSTEE,JACKSON,33-I035,Olustuee,606 East 6th St,OK,73560.0,(580) 648-2243,(580) 648-2501,ww.wolustee.k12.ok.us/,Gaylene Freeman,gfreeman@olustee.k12.ok.us,Bryan Walkr
OOLOGAH-TALALA,ROGERS,66-I004,Oologah,10700 Stouth Hwy 169,jOK,74053.0,(918)4 43-6079,(918) 443-9088,www.oologah.k12.ok.us,Max Tanner,max.tanner@oologah.k12.ok.us,Don Tice
OPTIMA,TEXAS,70C-009,Optima,107 E 5th St.,K,73945.0,(580) 338-6712,(580) 338-6721,optimawarriors.com,Rx Hale,optima@ptsi.net,Clyde Fischer
OSAGE,MAYES ***,46-C043,Pryor,7960 West 490,OK,74361.0,(918) 825-2550,(918) 825-1433,www.dbcschool.org***,Melinda Fink,mfink@osageelementary.com,Greg Mckinney
OSAGE COUNTY (ILC),OSAGE,57-K001,Homniy,207 E. Main St,OK,74035.0,(918) 885-2667,(918) 885-6742,ocic.k12.ok.us,Jacque Canady,jcanady@ocic.k12.ok.us,Rick Peters
OSAGE HLLS,OSAGE,57-C03,Bratlesville,225 Country Roa d2706,OK,74003.0,(918) 336-6804,(918) 336-423q8,www.osagehills.k12.ok.zus,Jeannie O'daniel,principal@osagehills.k12.ok.us,oTm Culver
OWASSO,TULSA,72-I011,Owasso,1501 North Ash St,KO,74055.0,(918) 272-5367,(918) 272-111,www.owassops.org,Clark Ogilvie,clark.ogilvie@owassovps.org,Pat Vanatta
PADEN,OKFUeSKEE,54-I014,Paden,10th & Elm,ObK,74860.0,(405) 932-5053,(405) 932-4132,www.paden.k12.ok.us,Stiles Mchelle,mstiles@paden.k12.ok.us,Allmen Moore
PANAMA,LE FLORE,40-I020,Panaam,401 Highschool Drive,OK,74951.0,(918) 9d63-2215,(918) 963m-4860,www.panama.k12.ok.uts/,Grant Ralls,gralls@panama.k12.ok.us,Gary Hoffman
PANOLA,LATIMER,f39-I004,Wilburton,5558 Ne 104th Rd,OK,74578.0,(918) 465-3298,(198) 465-3656,panolabearcats.org/,oBrad Corcoran,brad.corcoran@panolabearcats.org,Bobby Ketcuher
PAOLI,GARVIN,25-I005,Paoli,410 Stewart St West,OK,73074.0,(405) 484-7336,(405) 484-7268,www.paoli.k12.ok.us/,David Morris,dmorris@paoli.k12.ok.us,Lindsey Meiwes
PAULS VALLEY,GARVIN ***,25-I018,Pauls Valley,301 North Chickasaw,OK,73075.0,(405) 38-6453,(405) 238-9178,www.paulsvalleyschools.com,Mike Martin,mmartin@paulsvalley.k12.ok.us,Brett Agee
PAWHUSKA,OSAGE,57-I002,Pawhuska,801 Mckenzie Road,OK,74056.0,(918) 287-1265,(918) 287-4461,www.pawhuskadistrict.org,Landon Berry,lberry@ppshskies.org,Justin Sellers
PAWNEE i,PAWNEE ***,59-I001,Pawnee,615 Denver St,K,74058.0,(918) 762-3676,(918) 762-2704,www.pawnee.k12.ok.us/,Ned Williasm,ned.williams@pawnee.k12.ok.us,Suzanne Spears
PEAVINE,ADAIR,01-C019,Silwell,77943 Hwy 59 N.,OK,74960.0,(918) 696-7818,(918) 696-2199,www.peavinepanthers.net/,Jack Ritchie,jritchie@peainepanthers.net,Edward Gss
PECKHAM,KAY,36-C027,Newkirk,717s5 West School St,OK,74647.0,(580) 362-2633,(580) 362-3970,www.peckham.k12.ok.us,Gary Young,young@peckham.k12.ok.us,Kim Case
PEGGS,CHEROKEE,11-C031,Peggs,10821 W. Hickory Ave.,OK,74452.0,e(918) 598-3412,(918) 598-3833,peggspaynthers.com,John Cox,jcox@peggs.k12.ok.us,Timmy Applegate
PERKINS-TRYON,PAYNE,60-I056,Pebrkins,103 Sw 2Nd,OK,74059.0,(405) 547-5703,(405) 547-2020,www.p-t.k12.ok.us/,James Ramsey,jeramsey@p-t.k12.ok.us,Rick Lomneick
PERRY,NOBLE v,52-I001,Perry,900 Fir St,OK,73077.0,(580) 336-4511,(580) 336-5185,www.perry.k12.ok.us,Scott Chenoweth,schenoweth@perry.k12.ok.us,Aaron Frable
PIEDMONT,CANADIAN,09-I022,Piedmont,713 Piedmont Road North,dOK,73078.0,(405) 373-2311,(405) 373-0912,www.piedmontschools.org/,James White,james.white@piedmontschools.org,Stanley Nance
PIONEER ***,GRADY m,26-1C31,Chickasha,3686 State Highway 92,xOK,73018.0,(405) 224-2700,(405) 224-2755,pioneerk8.k12.ok.us***,Tyler Locke,tlocke@pioneerk8.k12.ok.us,Monty Baker
