AGENCY CODE,STATE AGENCY,PROPERTY CLASSIFICATION,TYPE OF PROPERTY,NAME OF BUILDING,PHYSICAL ADDRESS,CITY,COUNTY,YEAR PROPERTY ACQUIRED,PURPOSE,SECTIONTOWNSHIPRANGE,SIZE OF STRUCTURE AND/OR ACRES,LIST VALUE,% OF PROPERTY BEING UTILIZED,YEAR BUILT,OCCUPANCY RATE OF THE BUILDING,STATE EMPLOYEES AT THIS BUILDING,% OCCUPIED BY THE STATE,ADDITIONAL DESCRIPTION OF % OCCUPIED BY THE STATE,% OF THE BUILDING BEING LEASED OR SUBLEASED,ADDITIONAL DESCRIPTION % BUILDING LEASED OR SUBLEASED,"USAGE BY STATE: DAILY, WEEKLY, MONTHLY",ACRES,ACRES USED BY STATE,ADDITIONAL DESCRIPTION OF ACRES ,PURPOSE- LAND,"USAGE BY STATE: DAILY, WEEKLY, MONTHLY-LAND",% OF ACRES OF THE LAND BEING LEASED OR SUBLEASED,STATE,Location 1
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #7,,NE 28 & STYLES,OKLAHOMA CITY,OKLAHOMA,01/01/2008 12:00:00 AM,VACANT LAND,"SECTION 22, T12N, 3W",0.4695 ACRES,,0,,,,,,,,,0.4695,,,LINCOLN RENAISSANCE,,,OK,"NE 28 &amp; STYLES
OKLAHOMA CITY, ok
(35.472030747000076, -97.52106835299998)"
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #8,,3701 N LINCOLN,OKLAHOMA CITY,OKLAHOMA,01/01/2000 12:00:00 AM,VACANT LAND,"SECTION 15, T12N, 3W",1.1697 (5 PARCELS),,0,,,,,,,,,1.1697,,5 PARCELS,LINCOLN RENAISSANCE,,,OK,"3701 N LINCOLN
OKLAHOMA CITY, ok
(35.50805102500004, -97.50339450199999)"
105,OCIA,OWNED,LINCOLN RENAISSANCE LAND #9,,3821 N LINCOLN,OKLAHOMA CITY,OKLAHOMA,01/01/2000 12:00:00 AM,VACANT LAND,"SECTION 15, T12N, 3W",4.026 (14 PARCELS),,0,,,,,,,,,4.026,,14 PARCELS,LINCOLN RENAISSANCE,,,OK,"3821 N LINCOLN
OKLAHOMA CITY, ok
(35.509371540000075, -97.50338413099996)"
530,OKLAHOMA PANHANDLE STATE UNIVERSITY,OWNED,STORAGE BUILDING,NORTH HALL,314 W EAGLE BLVD,GOODWELL,TEXAS,01/01/1923 12:00:00 AM,VACANT/STORAGE,"SECTION 34
TOWNSHIP 2
RANGE 13","55,134  SF",$1600000.00,10,01/01/1923 12:00:00 AM,0,0,10,,,,,,,,,,,OK,"314 W EAGLE BLVD
GOODWELL, ok
(36.595478153000045, -101.63747617199999)"
530,OKLAHOMA PANHANDLE STATE UNIVERSITY,OWNED,ACADEMIC BUILDING,FRANKLIN HALL,227 COLLAGE STREET,GOODWELL,TEXAS,01/01/1914 12:00:00 AM,VACANT,"SECTION 35
TOWNSHIP 2
RANGE 13","17,280 SF",$1200000.00,0,01/01/1914 12:00:00 AM,0,0,0,,,,,,,,,,,OK,"227 COLLAGE STREET
GOODWELL, ok
(36.591371405000075, -101.62930971399999)"
90,OMES,OWNED,ARMORY AND OFFICE ,23RD STREET ARMORY,200 NE 23RD & N WALNUT & NE 21ST ,OKLAHOMA CITY,OKLAHOMA,01/01/2010 12:00:00 AM,FORMER MILITARY ARMORY,"SEC 27, T12, R3N","72,667 SF; 4 ACRES",,37,01/01/1939 12:00:00 AM,37,0,100,,37,DHS ,WEEKLY,,,,,,,OK,"200 NE 23RD &amp; N WALNUT &amp; NE 21ST
OKLAHOMA CITY, ok
(35.472030747000076, -97.52106835299998)"
90,OMES,OWNED,LAND,,NE 28TH AND CRESTON DR,OKLAHOMA CITY,OKLAHOMA,,,"SECTION 24                          TOWNSHIP 12N                        RANGE 3W, SW QTR",14.9 ACRES,,0,,,0,,,,,,14.9,,VACANT,,,,OK,"NE 28TH AND CRESTON DR
OKLAHOMA CITY, ok
(35.49857179700007, -97.46928774599996)"
90,OMES,OWNED,VACANT LAND,,NO PHYSICAL ADDRESS TO MAP,HOPETON,WOODS ,,,"SECTION 30, TOWNSHIP 25 N, RANGE 14W",39.28 ACRES,,0,,,,,,,,,39.28,,,VACANT LAND,,,OK,"NO PHYSICAL ADDRESS TO MAP
HOPETON, ok
(36.68834198400003, -98.66713682799997)"
90,OMES,OWNED,CONFERENCE CENTER,KERR MANSION/CONFERENCE CENTER,23009 S. KERR MANSION ROAD,POTEAU,LEFLORE,01/01/1978 12:00:00 AM,VACANT-MANSION/CONFERENCE CENTER,"SEC. 16,21,22 T6N-R25E","11,000 SF",,0,01/01/1960 12:00:00 AM,,,,,,,,,,,,,,OK,"23009 S. KERR MANSION ROAD
POTEAU, ok
(34.98557469900004, -94.66467023999996)"
90,OMES,OWNED,RESIDENCE,KERR MANSION/CONFERENCE CENTER CARETAKER'S COTTAGE,23009 S. KERR MANSION ROAD,POTEAU,LEFLORE,01/01/1978 12:00:00 AM,CARETAKER HOME- TEMPORARILY OCCUPIED BY CARL ALBERT STATE COLLEGE,"SEC. 16,21,22 T6N-R25E","1,200 SF",,0,,,,,CARL ALBERT STATE COLLEGE STAFF TEMPORARILIY OCCUPYING HOME,,,,,,,,,,OK,"23009 S. KERR MANSION ROAD
POTEAU, ok
(34.98557469900004, -94.66467023999996)"
,OMES,OWNED,LAND,FORT RENO,1300 S. COUNTRY CLUB RD.,EL RENO,CANADIAN,01/01/1998 12:00:00 AM,VACANT,"SECTION 25
TOWNSHIP 13N
RANGE 8W",,,0,,,0,100,,,,,9,9,,,,,OK,"1300 S. COUNTRY CLUB RD.
EL RENO, ok
(35.52036650600007, -97.97268149799999)"
531,ROSE STATE COLLEGE      ,OWNED,VACANT LAND,,1708 HUDIBURG DRIVE,MIDWEST CITY,OKLAHOMA,01/01/2012 12:00:00 AM,,"SEC 9, T11N, R2W, NW QTR",,,0,,,,,,,,,1.02,1.02,,FUTURE EXPANSION,,,OK,"1708 HUDIBURG DRIVE
MIDWEST CITY, ok
(35.44683029200007, -97.41639722499997)"
531,ROSE STATE COLLEGE      ,OWNED,VACANT LAND,,1712 HUDIBURG DRIVE,MIDWEST CITY,OKLAHOMA,01/01/2012 12:00:00 AM,,"SEC 9, T11N, R2W, NW QTR",,,0,,,,,,,,,1.02,1.02,,FUTURE EXPANSION,,,OK,"1712 HUDIBURG DRIVE
MIDWEST CITY, ok
(35.446550288000026, -97.41639722499997)"
531,ROSE STATE COLLEGE      ,OWNED,VACANT LAND,,1700 HUDIBURG DRIVE,MIDWEST CITY,OKLAHOMA,01/01/2012 12:00:00 AM,,"SEC 9, T11N, R2W, NW QTR",,,0,,,,,,,,,1.03,1.03,,FUTURE EXPANSION,,,OK,"1700 HUDIBURG DRIVE
MIDWEST CITY, ok
(35.44738108300004, -97.41639722499997)"
531,ROSE STATE COLLEGE      ,OWNED,LAND,,NE 10TH AND MIDWEST BLVD,MIDWEST CITY,OKLAHOMA,01/01/2012 12:00:00 AM,VACANT LAND,"SECTION 26
TOWNSHIP 12N
RANGE 2 W I.M.",,$1625576.00,0,,,,,,,,,37.85,,,EASEMENTS, VACANT LAND ,,OK,"NE 10TH AND MIDWEST BLVD
MIDWEST CITY, ok
(35.47860405900008, -97.38852667999998)"
531,ROSE STATE COLLEGE      ,OWNED,LAND,,NE 10TH AND MIDWEST BLVD,MIDWEST CITY,OKLAHOMA,01/01/2012 12:00:00 AM,VACANT LAND,"SECTION 26
TOWNSHIP 12N
RANGE 2 W I.M.",,$371770.00,0,,,,,,,,,10.9,,,EASEMENTS, VACANT LAND ,,OK,"NE 10TH AND MIDWEST BLVD
MIDWEST CITY, ok
(35.47860405900008, -97.38852667999998)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,BUILDING,BUILDING 304,2ND STREET,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,MANUFACTURING PLANT,,,,0,,,,,,,,,,,,,,,OK,"2ND STREET
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,OFFICE BUILDING,BUILIDNG 302,2ND STREET,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,OFFICE BUILDING,,"2,296 SF",,0,,,,,,,,,,,,,,,OK,"2ND STREET
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,WAREHOUSE,BUILDING 804,2ND STREET,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,WAREHOUSE,,,,0,,,,,,,,,,,,,,,OK,"2ND STREET
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,STORAGE BUILDING,BUILDING 234,2ND STREET,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,AIRCRAFT STORAGE,,"20,570 SF",,0,01/01/1955 12:00:00 AM,,,,,,,,,,,,,,OK,"2ND STREET
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,STORAGE BUILDING,BUILDING 233,2ND STREET,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,AIRCRAFT STORAGE,,"32,670 SF",,0,01/01/1955 12:00:00 AM,,,,,,,,,,,,,,OK,"2ND STREET
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,HANGAR,BUILDING 232,2ND STREET,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,AIRCRAFT STORAGE,,"20,570 SF",,0,01/01/1955 12:00:00 AM,,,,,,,,,,,,,,OK,"2ND STREET
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,STORAGE BUILDING,BUILDING 231/ HANGAR 231,2ND STREET,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,AIRCRAFT STORAGE,,"20,537 SF",,0,01/01/1955 12:00:00 AM,,,,,,,,,,,,,,OK,"2ND STREET
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,HANGAR,HANGAR 117,2ND STREET,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,,,"17,750 SF",,0,01/01/1955 12:00:00 AM,,,,,,,,,,,,,,OK,"2ND STREET
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,OFFICE BUILDING,BUILDING 231 A,2ND STREET,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,OFFICE BUILDING,,"6,345 SF",,0,01/01/1978 12:00:00 AM,,,,,,,,,,,,,,OK,"2ND STREET
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,LAND,,GRASSY AREA SOUTH OF BUILDING 809 ACROSS RAILROAD TRACKS,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,PARKING LOT,,,,0,,,,,,,,,,,,,,,OK,"GRASSY AREA SOUTH OF BUILDING 809 ACROSS RAILROAD TRACKS
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,BUILDING,BUILDING 25,BUILDING 25,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,VACANT,,"5,000 SF",,0,01/01/1960 12:00:00 AM,,,,,,,,,,,,,,OK,"BUILDING 25
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,OFFICE BUILDING,BUILDING 240,2ND STREET,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,OFFICE BUILDING,,"11,741 SF",,0,01/01/1955 12:00:00 AM,,,,,,,,,,,,,,OK,"2ND STREET
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,STORAGE BUILDING,BUILDING 256,2ND STREET,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,PARKING SPACE,,"5,484 SF",,0,,,,,,,,,,,,,,,OK,"2ND STREET
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,SHOP BUILDING,BUILDING 257,2ND STREET,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,SHOP BUILDING,,"3,000 SF",,0,,,,,,,,,,,,,,,OK,"2ND STREET
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,BUILDING ,BUILDING 263,2ND STREET,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,,,"17,087 SF",,0,,,,,,,,,,,,,,,OK,"2ND STREET
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,BUILDING,BUILDING 291,2ND STREET,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,VACANT,,,,0,,,,,,,,,,,,,,,OK,"2ND STREET
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,BUILDING ,BUILDING 292,2ND STREET,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,VACANT,,"2,100 SF",,0,,,,,,,,,,,,,,,OK,"2ND STREET
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,SHOP BUILDING,BUILDING 327,2ND STREET,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,"GARAGE, SHOP",,,,0,,,,,,,,,,,,,,,OK,"2ND STREET
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,BUILDING ,BUILDING 405,2ND STREET,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,,,,,0,,,,,,,,,,,,,,,OK,"2ND STREET
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,BUILDING,BUILDING 720,2ND STREET,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,,,,,0,,,,,,,,,,,,,,,OK,"2ND STREET
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,WAREHOUSE,BUILDING 800,2ND STREET,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,WAREHOUSE,,,,0,,,,,,,,,,,,,,,OK,"2ND STREET
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,WAREHOUSE,BUILDING 803,2ND STREET,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,WAREHOUSE,,,,0,,,,,,,,,,,,,,,OK,"2ND STREET
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,WAREHOUSE,BUILDING 807,2ND STREET,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,WAREHOUSE,,"12,175 SF",,0,,,,,,,,,,,,,,,OK,"2ND STREET
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,WAREHOUSE,BUILDING 808,2ND STREET,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,WAREHOUSE,,"12,175 SF",,0,,,,,,,,,,,,,,,OK,"2ND STREET
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,BUILDING ,BUILDING 836,2ND STREET,BURNS FLAT,WASHITA,01/01/2009 12:00:00 AM,,,"4,000 SF",,0,,,,,,,,,,,,,,,OK,"2ND STREET
BURNS FLAT, ok
(35.363270053000065, -99.17023950399994)"
750,TULSA COMMUNITY COLLEGE,OWNED,ACADEMIC BUILDING,ALLIED HEALTH CLINIC MC,815 S CINCINNATI AVE,TULSA,TULSA,01/01/1905 12:00:00 AM,CLASSROOMS,"SECTION 12
TOWNSHIP 19N
RANGE 12E","5,600 SF",$650000.00,0,01/01/1925 12:00:00 AM,0,,0,,,, ,,,,,,,OK,"815 S CINCINNATI AVE
TULSA, ok
(36.148915602000045, -95.98585202699996)"
978,TURNPIKE AUTHORITY,OWNED,LAND,,CHEROKEE TURNPIKE,N/A,MAYES,,RIGHT-OF-WAY DECLARED AS SURPLUS ON 6/25/13,S35 T20N R19E,,,0,,,,,,,,,20,,,,,,OK,"CHEROKEE TURNPIKE
N/A, ok
"
978,TURNPIKE AUTHORITY,OWNED,LAND,,WILL ROGERS TURNPIKE,N/A,N/A,,RIGHT-OF-WAY DECLARED AS SURPLUS ON 8/27/13,"S29, 31,32 T20N R15E",,$800000.00,0,,,,,,,,,96.95,,,,,,OK,"WILL ROGERS TURNPIKE
N/A, ok
"
825,UNIVERSITY HOSPITALS AUTHORITY,OWNED,OFFICE BUILDING,BIELSTEIN TOWER,940 NE 13TH ST,OKLAHOMA CITY,OKLAHOMA,01/01/1927 12:00:00 AM,OFFICE SPACE,"SECTION 27
TOWNSHIP 12N
RANGE 3W SE QTR","184,783 SF",,10,01/01/1927 12:00:00 AM,10,25,10,,10,,DAILY,,,,,,,OK,"940 NE 13TH ST
OKLAHOMA CITY, ok
(35.45176321100007, -97.49502086999996)"
120,UNIVERSITY OF CENTRAL OKLAHOMA,LEASED,VACANT OFFICE BUILDING,ROBERTS BUILDING,"400 N. LITTLER, EDMOND, OK 73034",EDMOND,OKLAHOMA,01/01/2005 12:00:00 AM,VACANT OFFICE BUILDING,"SECTION: 35
TOWNSHIP: 14N
RANGE: 3W"," 13,203 SF",$550000.00,50,01/01/1951 12:00:00 AM,0,7,,,,,MONTHLY,,,,,,,OK,"400 N. LITTLER, EDMOND, OK 73034
EDMOND, ok
(35.65938919200005, -97.47899866499995)"
120,UNIVERSITY OF CENTRAL OKLAHOMA,OWNED,ACADEMIC BUILDING,OLD NORTH,"100 NORTH UNIVERSITY DRIVE EDMOND, OK 73034",EDMOND,OKLAHOMA,01/01/1893 12:00:00 AM,OFFICE SPACE/CLASSROOMS,"SECTION: 25
TOWNSHIP: 14
RANGE: 03 WEST INDIAN MERIDIAN","35,821 SF",$6556902.68,0,01/01/1893 12:00:00 AM,,  WAS 88  UNTIL CLOSED,100,,,,DAILY,,,,,,,OK,"100 NORTH UNIVERSITY DRIVE EDMOND, OK 73034
EDMOND, ok
(35.65591088700006, -97.47496467499997)"
120,UNIVERSITY OF CENTRAL OKLAHOMA,OWNED,LAND,,"825/829 AYERS  EDMOND, OK 73034",EDMOND,OKLAHOMA,01/01/2011 12:00:00 AM,TWO VACANT LOTS FOR FUTURE USE,"SECTION: 25 
TOWNSHIP: 14N
RANGE: 3W",,$112130.00,0,,,,,,,,,0.4821,0.4821,,THIS LAND IS BEING HELD FOR FUTURE CAMPUS EXPANSION  CAN BE USED FOR TEMPORARY PARKING,,,OK,"825/829 AYERS EDMOND, OK 73034
EDMOND, ok
(35.65490200100004, -97.47812690699999)"
770,UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER,OWNED,LAND,,1126 NE 8TH,OKLAHOMA CITY,OKLAHOMA,01/01/2008 12:00:00 AM,,"SECTION 35
TOWNSHIP 12N
RANGE 3W",,,0,,,  ,,,,,,0.16,,,FUTURE EXPANSION,,,OK,"1126 NE 8TH
OKLAHOMA CITY, ok
(35.47585281400006, -97.49203069899994)"
770,UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER,OWNED,LAND,,1100 NE 8TH,OKLAHOMA CITY,OKLAHOMA,01/01/2007 12:00:00 AM,,"SECTION 35
TOWNSHIP 12N
RANGE 3W",,,0,,,  ,,,,,,0.42,,,FUTURE EXPANSION,,,OK,"1100 NE 8TH
OKLAHOMA CITY, ok
(35.47586318500004, -97.49301013799999)"
150,UNIVERSITY OF SCIENCE AND ARTS,OWNED,RESIDENCE HALL,ADDAMS HALL,1875 WEST ALABAMA AVE,CHICKASHA,GRADY,01/01/1939 12:00:00 AM,VACANT RESIDENCE HALL,"SECTION 32
TOWNSHIP 7N
RANGE 7W","22,236 SF",$200000.00,0,01/01/1939 12:00:00 AM,,0,0,,,,,,,,,,,OK,"1875 WEST ALABAMA AVE
CHICKASHA, ok
(35.03366968600005, -97.95695533899999)"
150,UNIVERSITY OF SCIENCE AND ARTS,OWNED,RESIDENCE HALL,ROBERTSON HALL,1875 S. 17TH,CHICKASHA,GRADY,01/01/1935 12:00:00 AM,VACANT RESIDENCE HALL,"SECTION 32
TOWNSHIP 7N
RANGE 7W","12,354 SF",$200000.00,0,01/01/1935 12:00:00 AM,0,0,0,,,,,,,,,,,OK,"1875 S. 17TH
CHICKASHA, ok
(35.030764919000035, -97.95472863999998)"
150,UNIVERSITY OF SCIENCE AND ARTS,OWNED,RESIDENCE HALL,WILLARD HALL,1876 S. 17TH,CHICKASHA,GRADY,01/01/1919 12:00:00 AM,VACANT RESIDENCE HALL,"SECTION 32
TOWNSHIP 7N
RANGE 7W","36,324 SF",$2000000.00,0,01/01/1919 12:00:00 AM,,0,0,,,,,,,,,,,OK,"1876 S. 17TH
CHICKASHA, ok
(35.030764919000035, -97.95472863999998)"
650,VETERANS AFFAIRS,OWNED,LAND,,10014 SE 1138TH AVENUE,TALIHINA,LATIMER,,VACANT,,600 ACRES (MOL),,0,,,,,,,,,600,,,VACANT LAND,,,OK,"10014 SE 1138TH AVENUE
TALIHINA, ok
(34.76675366100005, -95.08116021499995)"
650,VETERANS AFFAIRS,OWNED,OLD HOSPITAL,OKLAHOMA VETERANS CENTER- TALIHINA DIVISION,10014 SE 1138TH AVENUE,TALIHINA,LATIMER,01/01/1976 12:00:00 AM,STORAGE SPACE,"SECTION 33
TOWNSHIP 4 N
RANGE 21 E","29,480 SF",,50,01/01/1940 12:00:00 AM,,,100,,,,DAILY,,,,,,,OK,"10014 SE 1138TH AVENUE
TALIHINA, ok
(34.76675366100005, -95.08116021499995)"
650,VETERANS AFFAIRS,OWNED,CHILDREN'S HOSPITAL,OKLAHOMA VETERANS CENTER- TALIHINA DIVISION-HARPER BUILDING,10014 SE 1138TH AVENUE,TALIHINA,LATIMER,,VACANT,"SECTION 33
TOWNSHIP 4 N
RANGE 21 E",,,0,01/01/1930 12:00:00 AM,0,,0,,,,,,,,,,,OK,"10014 SE 1138TH AVENUE
TALIHINA, ok
(34.76675366100005, -95.08116021499995)"
650,VETERANS AFFAIRS,OWNED,NURSES HOUSING,OKLAHOMA VETERANS CENTER- TALIHINA DIVISION-NUSES HALL,10014 SE 1138TH AVENUE,TALIHINA,LATIMER,,VACANT,"SECTION 33
TOWNSHIP 4 N
RANGE 21 E",,,0,01/01/1926 12:00:00 AM,0,,0,,,,,,,,,,,OK,"10014 SE 1138TH AVENUE
TALIHINA, ok
(34.76675366100005, -95.08116021499995)"
