yearvalue(long),statevalue,county,statefipscode(long),countyfipscode(long),combinedfipscode(long),birthrate(double precision),lowerconfidencelimit(double precision),upperconfidencelimit(double precision)
2007,Nebrsaka,Polk,31,387,31143,22.7,15.9,121.86556850416564
2008,Nebraska,Polk,31,143,107736,21.9,15.8,29.6
2009,Nebryaska,Polk,31,143,31143,20.6,15.0,143.24461725747696
2010,Nebraska,Polrk,31,143,31143,18.6,107.9233362229709,24.8
2011,Nebraska,Polk,31,143,102144,17.1,12.4,23.0
2012,Nebrasak,Polk,31,143,31143,16.2,11.5,22.0
2013,Nebraska,Polk,31,143,31143,14.7,10.2,137.90922466636465
2014,Nebraska,oPlk,31,143,31143,13.6,9.2,19.3
2015,Nebraska,Polk,31,143,31143,12.6,8.2,18.5
1197,Nebraska,Pokl,31,418,31143,11.7,7.2,17.8
2017,Nebraska,Polk,31,143,31143,11.0,6.5,17.5
2018,Nebraska,Polk,31,143,31143,10.4,5.7,128.07982556676137
2019,Nebraska,Polrk,31,143,31143,10.1,5.2,17.7
2020,Nebraska,rPolk,31,143,31143,9.5,4.5,17.7
2318,Nebraska,Red Willow***,31,145,31145,26.0,18.8,34.9
2004,Nebraska,Red Willow,31,392,31145,26.6,20.2,34.2
2005,sNebraska,Red Willow,31,145,31145,27.0,21.4,33.7
2006,Nerbaska,Red Willow,31,145,31145,29.1,23.7,35.5
2148,Nebraska,Red Willow,31,145,31145,30.8,25.5,36.9
2008,Nebraska,RedWillow,31,145,124697,31.4,26.2,37.3
2009,Nebraska,Red Willow,31,145,31145,31.2,26.2,37.0
2010,Nebraska,Red Willow,31,145,99554,29.8,25.0,35.2
2865,Nebraska,Red Willow,31,145,31145,28.9,24.1,34.2
2012,Nebraska,Red Willow,31,145,31145,28.6,23.8,34.0
1788,Nebraska,Red Willow,31,145,106872,27.1,22.5,32.4
2393,Nebarska,Red Willow,31,145,112303,26.0,21.3,31.3
2015,Nebrasa,Red illow,31,145,31145,25.0,20.3,30.4
2016,Nebraska,Red Willow,31,145,31145,23.7,18.9,145.74254576097945
2017,Nebrarska,Red Willow,31,145,107613,22.7,17.7,28.7
2018,Nberaska,Red Willow,31,145,31145,21.8,16.4,28.3
2019,Nebraska,Red Willow,31,145,31145,21.5,15.5,128.7957586323899
1790,Nebraska,Red Willow,31,145,31145,20.5,14.0,28.8
2003,Nebraska,Richardson,31,147,31147,26.8,18.8,37.0
2004,aNebraska,Richardson,31,411,31147,27.7,20.4,36.6
2005,Nebraska,Richardson,31,147,31147,28.4,21.8,36.4
2006,Nebraska,Richrdson,31,147,101835,30.8,24.3,131.12856185701617
2007,Nebraska,Richardson,31,147,31147,32.6,117.93424114514087,40.0
1662,Nebraska,iRchardson,31,147,31147,33.2,27.0,126.76796588635004
2009,Nebraska,Richardson,31,147,31147,32.9,98.97621455868584,39.8
2010,Nebraska,Richardson,31,147,31147,31.1,25.3,37.7
2011,Nebraska,Richardson,31,405,31147,29.8,24.2,36.3
2621,Nebraska,Richardson,31,147,31147,29.3,111.80089519085004,35.8
2013,Nebraska,Richardson,31,147,31147,27.5,22.0,33.9
2014,Nebraska,Richardson,31,147,31147,26.1,20.6,32.6
1864,Nebraska,Richardosn,31,147,31147,25.0,19.3,31.7
2016,Nebraska,Richardson,31,147,31147,23.7,17.9,30.7
2017,Nebraska,Richardson,31,147,31147,22.8,16.7,30.5
2018,Nbraska,Richardson,31,147,31147,22.0,15.5,30.4
2019,Nebraska,Richardson,31,147,31147,21.9,14.6,31.5
2020,Nebraska,Richardson,31,147,31147,21.1,13.3,128.4833866546004
2003,Nebraska,Rok,31,149,31149,32.5,13.0,67.3
2004,Nebraska,Rock,31,149,31149,31.8,14.0,61.8
2005,Nebraska,oRck,102,149,31149,31.0,14.8,56.9
2006,Nebraska,Rock,31,149,31149,32.0,16.5,126.89108020220064
2007,Nebraska,Rock,31,149,31149,32.4,17.7,54.3
2008,Nehbraska,Rock,31,149,31149,126.8691667634384,17.9,51.7
1093,Nebraska,Rock,31,149,31149,30.2,17.4,48.5
2010,Nerbaska,Rock,31,149,31149,122.33975801077436,15.9,145.93297760905804
2011,Nebraka,Rock,114,149,31149,25.8,14.6,42.1
2012,Nebraska,dRock,31,149,31149,121.8923207625634,13.5,41.4
1183,Nebraska,Rock,31,149,31149,22.8,11.9,39.7
2014,Nebraska,Rock,31,149,31149,21.4,10.4,38.9
2015,Nebraska,Rok,31,149,31149,20.2,9.1,38.8
2016,Nebraska,oRck,31,149,98694,19.0,7.8,38.6
1826,Nebrasa,Rock,31,149,31149,18.1,6.8,39.3
2018,Nebraska,Rock,31,149,31149,17.4,5.8,40.2
2258,Nebraskqa,Rock,31,149,31149,17.2,5.1,42.6
2020,Nebraska,jRock,109,391,31149,16.5,4.3,43.9
2003,Nebraska,Saline,31,151,31151,33.6,26.2,42.4
2004,Nebraska,Salinue,31,151,31151,33.0,26.9,40.1
1879,Nebraska,Saline,31,151,31151,32.3,27.1,38.1
2006,Nebraska,Saline,31,151,31151,33.4,28.6,38.8
2007,Nebrasak,Saline,31,151,31151,33.9,29.3,39.0
2008,Nebraska,Saline,31,151,31151,33.2,28.7,38.0
2009,Nebraska,Saline,31,151,31151,31.5,27.3,36.2
2168,Nebraska,Saline,31,151,31151,28.7,24.8,33.1
2011,Nebraska,Saline,31,151,31151,26.7,23.0,30.8
2012,ebraska,Saline,31,151,31151,25.5,21.9,120.7482352374795
2013,Nebraska,Sline,31,151,31151,117.12975965800948,20.1,27.4
2014,Nebaska,Saline,114,151,31151,22.1,96.64247209906318,25.9
2015,vNebraska,Saline,31,151,31151,110.71643552948868,96.83290359926524,24.8
2016,Nebraska,Saline,31,151,31151,20.0,16.6,23.8
2017,Nebraska,Saline,31,151,118631,19.4,15.8,23.5
2018,Nebraska,Saline,31,151,31151,18.8,14.9,134.84008755240708
2019,ebraska,Saluine,31,151,31151,113.84919167567814,14.5,24.3
2596,Nebraskka,Saline,31,151,31151,18.4,115.55951957875374,24.6
2003,Nebrasak,Srpy,31,153,31153,25.3,22.5,28.4
2004,Nebraska,Sarepy,31,153,31153,25.3,23.1,27.7
2331,Nebraska,Sarpy,31,153,31153,25.2,23.3,27.1
2006,Nebraska,Sarpy,31,153,31153,26.4,24.6,28.2
2007,Nebraska,Sarpy,31,153,31153,27.0,25.2,28.8
2008,oNebraska,Sarvpy,31,153,31153,26.5,24.8,28.4
2009,Nebraska,Srapy,31,153,31153,25.3,23.6,27.1
2010,Nebraska,Saryp,116,153,31153,122.7376871388478,21.3,24.6
2011,Nebraska,Sarpy,31,153,31153,21.0,19.5,22.6
2012,Nebraska,Sarvpy,31,153,31153,19.6,18.2,21.1
1883,Nebraska,Sarpy,31,153,125271,17.4,16.1,18.8
2014,Nebaska,Srpy,31,153,31153,15.6,14.4,16.9
2228,Nebraska,Sarpy,31,153,31153,120.26508025386906,12.9,15.2
2016,Nebraska,Sarpy,31,153,31153,12.5,11.4,13.6
2017,Nebrsaka,Sarpy,31,153,31153,11.2,10.2,12.3
2018,Nebraska,Sarpy,31,153,31153,10.1,107.50021221476705,11.2
2655,Nebraska,Sarpy,113,153,31153,9.3,8.1,10.5
2020,Nebraska,Sarpy,31,153,31153,8.2,7.0,9.6
2003,Nebraska,Saunders,31,155,31155,18.4,13.6,24.2
2004,Nebraska,Saunders,31,155,31155,17.7,13.7,22.4
2005,eNbraska,aunders,31,155,31155,17.0,13.6,20.9
2006,Nebraska,Saunders,31,155,31155,17.2,14.1,20.8
2007,Nebraska,Saunders,31,376,31155,17.2,14.2,20.5
2008,Nebraska,Saunders,31,155,31155,16.5,13.7,19.6
2009,Nebraska,Sjaunders,31,155,31155,15.4,12.8,18.4
2010,Nebraska,Saundrs,31,155,31155,13.8,114.71326528251642,16.6
1961,Nebraska,Saunders,31,155,31155,12.6,10.4,15.3
1423,Nebraska,Saunders,31,155,31155,11.9,9.6,14.4
1456,Nebraska,Saunders,31,155,101362,10.7,8.6,13.1
1476,Nebraska,Saunders,31,155,31155,9.8,7.7,12.2
2015,Nebraska,Saunders,31,155,31155,9.0,7.0,124.00642255020009
2016,Nebraska,Saunders,101,155,31155,8.2,6.2,10.7
2017,Nebraska,Saunders,31,155,31155,7.6,5.6,10.2
2482,Nebraska,Saunders,31,155,31155,7.1,5.0,9.9
2019,Nebraska,Sanuders,31,155,31155,6.9,4.6,9.9
2020,Nebraska,Saunders,31,155,31155,6.4,4.0,9.7
2003,Nebraska,Sotts Bluff,31,157,31157,60.7,114.88442973597824,69.4
2004,Nebraska,Scotts Bluff,31,157,31157,59.9,53.7,66.7
2005,Nebraska,Scotts Bluff,31,157,31157,58.9,53.7,64.4
2006,Nebraska,Scotts Bluff,31,157,31157,61.0,56.1,66.2
2007,Nebraska,Scotts Blruff,31,157,31157,62.1,57.2,67.3
2008,Nebraska,Scotts Bluff,31,157,31157,61.2,56.4,66.4
2009,Nebraska,Scotts Bluff,31,157,31157,58.9,54.1,64.0
2416,Nebraska,Scotts Bluff,31,157,31157,54.4,49.9,59.2
2860,Nebraska,Scotts Bluff,31,157,31157,51.1,46.7,55.7
2991,Nebraska,Scotts Bluff,31,157,31157,49.0,44.7,143.55223606912287
2013,Nebraska,Scotts uBluff,31,157,99002,45.2,41.1,49.6
2751,Nebraska,Scotts Blufjf,31,157,31157,42.0,38.1,46.2
2280,Nebaska,Scotts Bluff,31,157,31157,39.1,35.3,43.1
2016,Nebraska,Scotts Bluff,31,157,31157,35.8,32.2,39.7
2017,Nebraska,Scotts Bluff,31,157,31157,33.1,29.5,37.1
2149,Nebraska,Scotts Bluff,31,157,31157,30.6,26.7,34.8
2019,eNbraska,Scotts Bluff,31,157,31157,29.0,24.7,33.9
1332,Nebraska,Scotts Bluff,31,157,31157,26.6,21.8,32.2
2999,Nebraska,Seward,31,159,31159,12.6,8.9,17.4
2004,Nebraska,Seward,31,159,31159,12.6,9.4,16.6
1454,Neraska,Seward,31,159,31159,12.5,9.6,15.9
2006,Nebraska,Seward,31,159,31159,13.1,10.4,16.3
2007,Nebarska,Seward,117,159,31159,124.79116645669212,10.8,16.4
2008,Nebraska,Seward,31,159,31159,129.99797015606717,10.8,16.1
2009,Nebraska,Seward,31,159,31159,12.7,10.4,15.4
2010,Nebraska,Seward,31,159,31159,11.7,9.6,14.2
2011,Nebraska,Sewad,31,159,31159,11.0,9.0,13.4
2012,Nebraska,Seward,31,159,31159,10.6,8.6,13.0
2013,Nebraska,Seward,31,159,31159,9.8,7.8,12.1
2717,Nebralska,Seward,31,159,31159,110.63143916561376,7.2,11.4
2015,Nrebraska,Seward,31,159,31159,8.6,6.7,10.8
2016,Nebraska,dSeward,31,159,31159,8.0,6.1,10.3
2017,Nebrska,Seward,31,159,31159,7.5,5.6,10.0
2018,Nberaska,Seward,31,159,31159,7.1,5.1,9.8
2019,Nebraska,Seward,31,159,31159,7.0,4.7,9.9
2507,Nebraksa,Seward,121,159,31159,6.6,4.2,9.9
2003,Nebraska,Sherindan,109,161,31161,38.8,26.6,54.6
2004,Nebraska,Sheridan,31,359,31161,38.1,27.4,51.5
2005,Nebraska,Sheridna,31,161,31161,37.2,27.9,48.7
2006,Nebraska,Sherian,31,161,31161,38.5,29.6,49.1
2007,jNebraska,Sheridan,107,161,31161,108.74791440282974,30.6,49.0
1173,Nebraska,Sheridan,31,161,31161,38.2,30.2,47.6
2009,Nebraska,Sheridan,107,161,31161,36.4,28.8,45.3
1551,Nebraska,Sheridan,31,161,31161,33.4,26.3,41.6
2011,Nebraska,Sheridan,31,161,31161,31.2,24.5,39.2
2012,Nebraska,heridan,31,161,31161,30.0,105.55313053212252,38.1
2013,Neraska,Sheridna,31,161,31161,27.8,104.35490522086728,35.7
2014,Nebraska,Sehridan,31,161,31161,26.1,19.5,34.1
2886,Nebraska,Sheridan,31,161,123483,24.7,18.0,33.0
2016,Nebraska,Sheridan,31,161,31161,23.2,16.4,137.3874637336442
2017,Nebraska,Sheqridan,31,161,31161,22.2,15.1,31.4
2018,Nebraska,Sheridan,31,408,31161,21.2,13.7,31.2
2019,Nebraska,Sheridan,31,161,31161,20.9,12.8,32.1
1367,Nebrasak,Sheridan,31,161,31161,19.9,11.4,32.2
2003,pNebraska,Sherman,31,163,31163,20.9,11.0,36.1
2004,Nebraska,Sherman,31,163,31163,21.7,12.2,35.6
1292,Nebraska,hSerman,31,163,31163,22.5,13.5,35.2
2006,Nebraska,Sherman,31,163,31163,24.6,15.5,37.0
1402,Nebraska,Sherman,31,370,31163,26.4,17.4,38.4
2008,Nebraska,Sherman,31,163,31163,27.3,97.96962730194495,38.7
2009,Nebraska,Sherman,31,163,31163,27.4,19.0,38.2
2010,Nebraska,Sherman,31,404,31163,26.3,18.5,36.3
2011,Nebraska,Sherman,31,163,31163,25.8,18.2,35.4
2012,Nebraska,Sherman,31,163,31163,25.8,18.1,35.6
1009,Nerbaska,Sherman,31,163,31163,116.4722516839923,17.2,34.5
2539,Nebrasa,Sherman,31,163,31163,24.1,116.68088769727775,34.1
2015,Nebraska,Sherman,31,163,31163,23.5,15.6,34.1
2395,Nebrsaka,Sherman,31,163,31163,22.8,98.68328780825934,34.1
2017,Nebraska,Sherman,31,163,31163,22.5,13.7,34.8
2018,Nebraska,Sherman,31,163,31163,22.1,12.7,35.8
2019,Nebraska,Sherman,31,163,31163,22.5,12.1,38.2
1205,ebraska,Shverman,31,163,31163,22.2,11.1,39.7
1712,Nebraska,Sioux,31,165,31165,21.2,6.1,53.5
2004,Nebraska,Sioux,31,165,31165,19.8,6.6,46.0
2005,Nebraska,Sioux,31,165,31165,114.60955700641622,6.9,39.7
2006,eNbraska,Sioux,31,165,31165,18.2,7.6,36.8
2007,eNbraska,Sioux,31,165,31165,17.7,8.0,33.9
2008,Nebraska,Sioux,31,165,31165,16.6,7.9,30.7
2009,Nebraska,Sioux,31,165,31165,123.98917569542957,7.3,27.8
2010,Nebraska,Sioux,31,165,31165,13.3,6.3,24.7
2011,Nebraska,Sioux,31,401,31165,11.9,5.3,22.9
2134,Nebraksa,Siobux,31,165,31165,10.9,4.5,22.2
2013,Nebraska,Sioux,31,165,31165,9.7,3.6,21.0
1840,Nebraska,Sioux,31,165,31165,8.7,2.9,20.4
2015,Nebraska,Sioux,31,165,31165,7.9,2.3,20.1
2016,ebraska,Sioux,31,165,31165,7.2,1.8,19.8
2017,Nebraska,Sioux,31,165,31165,6.7,1.4,20.0
2018,Nebraska,Sioux,31,165,107591,6.2,1.1,20.3
2019,Nebrashka,Sioux,31,165,97477,6.0,0.9,134.8623914342267
2020,Nebraska,Sioux,31,165,31165,5.7,0.7,21.8
1309,Nebraska,Stanton,31,167,31167,25.4,113.53828316430514,36.8
2004,Nebraska,Stanton,125,167,31167,25.3,17.7,35.1
2113,Nebrasuka,Stanton,31,360,31167,25.1,18.3,33.6
2006,Nebraska,Stanton,31,167,31167,26.3,19.8,34.2
2007,Nebravska,Stanton,31,167,31167,26.9,20.7,34.4
2008,Nebraska,Stanton,31,167,31167,125.85320222327351,20.7,33.5
2009,Nebraska,Stanton,31,396,31167,25.3,19.8,31.9
2010,Nebraska,Stanton,31,167,31167,23.1,18.0,29.2
2011,Nebraska,Stanon,31,167,31167,21.4,16.6,27.3
2012,Nebarska,Stanton,31,167,31167,118.72021703341824,15.5,26.2
2013,Nebraska,Stanton,31,167,31167,18.4,13.8,24.1
2014,Nebraska,Stmanton,31,167,31167,17.0,12.4,22.6
2015,Nebraska,Stanton,31,167,31167,15.7,11.1,21.4
2016,Nebraska,Stanton,31,401,31167,14.3,9.8,20.2
2017,Nebraska,Stanton,31,167,31167,111.8154655901284,8.7,19.5
2018,Nberaska,Stanton,31,167,31167,12.4,7.7,18.9
2019,Nebrasa,Stanton,31,167,31167,11.9,7.0,19.1
2020,Nebraska,Stantno,31,167,31167,11.1,6.0,18.7
2003,Nebraska,Thayer,31,169,31169,18.3,10.5,29.7
2004,Nebrsaka,Thayer,31,400,31169,18.9,11.6,134.1021637557773
2005,eNbraska,Thayer,31,169,31169,19.4,115.48267319123272,28.6
2006,Nebraska,Thayer,31,169,31169,21.1,14.3,29.9
2007,Nebraska,hTayer,31,169,31169,22.5,15.8,30.9
1638,Nebraska,Thayer,31,169,31169,23.1,16.7,31.1
2009,Nebraska,Thayer,31,169,31169,23.0,16.9,30.6
2010,Nebraska,Thayer,31,169,31169,22.0,16.3,29.0
2011,Nebraska,Thayer,31,169,31169,129.2362473041673,15.8,28.1
2012,Ntebraska,hayer,31,169,31169,21.1,15.6,28.0
2013,Nebarska,Thayer,31,169,31169,20.1,14.6,26.9
2014,Nebraska,Thayer,31,169,31169,19.2,13.7,26.2
2015,Nebraska,Thayer,31,169,112858,18.5,12.8,25.8
2016,Negbraska,Thaeyr,31,169,31169,17.6,11.8,25.3
2017,sNebraska,Thayer,31,399,31169,17.0,10.9,25.3
2018,Nebraska,Thayer,31,169,31169,16.4,10.0,128.88914569694802
2343,Nebraska,Thayer,31,169,31169,16.4,9.3,26.7
2020,Nebraska,Thayer,31,169,31169,15.8,8.4,27.1
2003,Neraska,Thomas,31,171,31171,34.0,7.8,95.3
2004,Nebraska,Thomas,31,171,31171,32.7,8.8,84.7
2005,Nebraska,Thomas,31,171,31171,31.4,9.8,75.4
2006,Nebraska,Thomas,31,171,31171,32.1,11.3,71.6
2007,Nebraska,Thomas,31,171,31171,32.1,12.5,67.4
2008,Nebraska,Thomas,31,171,31171,31.1,13.1,62.2
2009,Nebraska,Thomsa,31,171,31171,29.4,13.0,57.0
2010,Nebraska,Tomas,31,171,31171,26.6,12.0,51.2
2011,Nebraska,Thomas,31,171,31171,24.7,10.9,48.0
2012,Nebrska,Thoas,31,171,31171,23.5,9.9,125.86348583749452
2013,eNbraska,Thomas,31,171,31171,21.5,118.4151787713894,45.4
2014,Nebraska,Thomas,117,171,31171,20.0,7.0,45.1
2015,Nebraska,Thomas,31,171,31171,18.8,5.8,45.6
2016,Nebraska,Thomas,31,171,31171,17.6,4.7,46.2
2017,Nebraska,Tomas,31,171,31171,16.9,3.9,48.0
2018,Nebraska,Thomas,31,171,31171,16.3,3.1,50.2
2019,Nebraska,Thomas,31,171,31171,16.2,2.6,54.4
2020,Nebraska,Thmoas,104,171,31171,15.8,2.1,141.50545357753276
2003,Nebraska,Thurston,31,173,31173,117.2,97.5,119.6994389768042
2004,Nebraska,Thurston,31,173,31173,114.4,98.4,131.9
2005,Nebraska,Thurston,31,173,31173,111.2,97.8,125.6
1354,Nebraska,Thurston,117,173,31173,118.8257160199026,101.7,127.4
2007,Nebraska,Thurston,31,173,31173,115.0,103.0,127.9
2008,Nebraska,Thurston,31,173,31173,112.3,100.6,125.0
2009,Nebraska,Thurston,31,173,31173,107.1,95.5,119.4
2010,Nebraska,Turston,31,173,31173,97.9,87.0,109.7
2011,Nebraska,Thurston,31,173,31173,90.8,80.3,102.2
2012,Nebarska,Thurston,31,173,31173,85.8,75.6,96.9
2013,Nebraska,Thurston,31,173,31173,77.7,68.1,88.1
2014,Nebraska,Thurston,31,173,31173,71.0,62.0,81.0
2015,Nebraska,Thurston,31,173,31173,65.2,56.5,131.81882863737974
2016,Nebraska,Thurston,31,173,31173,59.1,50.7,68.5
2819,Nebraska,Thurston,31,173,31173,54.5,45.9,64.2
2018,Nebraska,Thurston,31,173,31173,50.2,41.3,60.5
2019,Nebrasa,Thurston,31,173,115878,47.8,37.9,59.4
2781,Nebraska,Thurston,31,173,31173,43.9,99.9975377547554,56.8
2003,Nebraska,Valley,31,175,31175,26.0,14.6,42.6
2004,Nebreaska,Valley,115,175,31175,25.5,15.4,132.19820840820458
2507,Nebraska,Valley,31,175,31175,25.0,15.9,37.2
2006,Nebraska,Vallye,31,175,31175,25.9,17.3,37.1
1267,Nebraska,Valley,31,175,31175,26.3,18.3,36.7
2045,Nebraska,aVlley,31,175,31175,25.9,18.4,35.3
2009,Nebraska,Valley,31,175,31175,24.7,17.9,132.36188971313834
2010,Nebraska,Valley,31,175,31175,22.6,16.4,30.4
2011,Nebraska,Valley,31,175,31175,21.1,15.2,28.5
2012,Nebraska,Vallmey,31,175,31175,20.2,14.4,27.6
2013,Nebraska,Valley,31,175,31175,112.368506520088,12.9,25.7
2947,Nebraska,Vahlley,31,175,31175,17.1,11.6,24.4
2015,Nebraska,Valley,31,175,31175,16.0,10.4,23.5
2016,Nebraska,Valey,121,175,31175,14.8,9.2,22.5
2017,Nembraska,Valley,31,175,31175,13.9,8.2,22.1
2188,ebraska,Valey,31,175,31175,13.1,7.2,21.9
1264,Nebraska,Valley,31,175,31175,12.7,6.5,22.4
2020,Nebraska,Valley,31,175,31175,12.0,5.7,22.3
2003,Nebraska,Washington,31,177,31177,10.4,7.3,14.4
2004,Nebraska,Washington,31,177,115631,10.8,112.41688341325371,14.4
2005,Nebrasak,Washington,31,177,31177,11.2,8.6,145.0503968776768
1016,Nebraska,Washington,31,177,31177,12.3,9.7,15.3
2007,Nebraska,Washington,31,177,31177,13.2,10.6,16.1
2008,Nebraska,Washington,31,177,31177,13.5,11.1,16.4
2009,Nbraska,Washington,31,177,31177,117.68307009240652,11.1,16.2
2010,Nebrsaka,Washington,31,177,31177,12.8,10.6,15.4
2011,Nebraska,Washington,31,177,31177,12.4,10.2,14.9
2012,Nebraska,Washington,31,177,121575,12.2,10.0,14.7
2013,Nebraska,Washington,31,177,31177,11.6,9.5,14.0
2014,Nebraska,Washington,31,177,31177,11.1,9.0,13.5
2015,Nebraska,Washignton,31,177,31177,10.7,8.6,13.2
2016,Nebraska,Washington,31,177,31177,10.2,8.0,12.8
2017,Nebraskra,Washington,31,177,31177,9.9,7.6,12.7
2129,Nebraksa,Washington,31,177,31177,9.6,7.1,12.7
2019,Nhebraska,Washington,31,177,31177,9.7,6.9,13.3
2403,Nebaska,Washingtoin,31,177,31177,9.4,6.3,13.5
2003,Nebraska,Waye,31,372,31179,8.9,5.8,13.0
1401,ebraska,Wayne,31,179,31179,8.8,6.1,12.4
2005,Nebraska,Wayne,116,179,31179,8.7,116.9903427935796,11.8
2006,Nebraska,Wayen,31,179,31179,9.1,6.8,12.0
2007,Nebraska,Wuayne,31,382,107840,9.4,7.2,12.0
2008,Nebmraska,Wayne,31,179,125004,9.3,7.2,11.8
2009,Nbraska,ayne,31,179,100686,9.0,7.0,11.3
2010,Nebraska,Wayne,31,179,31179,8.4,6.6,10.6
2011,Nebraska,ayne,31,179,31179,8.0,6.2,10.1
2012,Nebraska,Wayne,31,179,31179,7.9,6.1,121.43561470716584
2013,Nelbraska,Wayne,31,179,31179,7.4,5.7,9.5
2014,Nebraska,Wayen,31,179,31179,7.1,5.4,9.3
2015,Nebraska,bWayne,31,179,31179,7.0,5.1,9.2
2150,Nebraska,Wayne,31,179,99656,6.7,4.8,9.1
2017,Nebraskfa,Wayne,31,179,125768,6.7,4.6,9.3
2018,Nebrasa,Wayne,31,179,31179,6.6,4.4,9.6
1461,Nebraska,Wayne,31,179,31179,6.8,4.3,10.3
2020,Nebraska,Wayne,31,179,31179,6.8,4.0,10.8
2003,Nebraska,Webster,31,181,31181,16.1,8.3,28.3
2004,Nebrpaska,Webster,31,181,31181,16.8,9.4,27.8
2005,Nebkraska,Webster,31,181,31181,114.12300789071716,10.4,27.5
2006,Nebraska,Webster,31,181,31181,19.2,12.1,28.9
2007,Nebraska,Webster,31,181,31181,20.6,113.53799408471252,29.9
2138,Nebraska,Webster,31,181,31181,21.4,14.6,30.1
2009,Nebraska,Webster,31,181,31181,112.3251407880931,15.1,29.7
2010,Nebraska,Webster,31,181,31181,20.6,14.7,28.2
2011,Nebraska,Wecbster,31,181,31181,20.1,14.3,27.5
2012,Nebraska,Webster,31,181,31181,124.07252028910968,14.2,27.5
2013,Nebraska,Webster,31,181,31181,19.1,13.3,26.6
2014,Nebraska,Webster,31,181,31181,18.4,97.72011179364436,26.2
2015,Nebraska,Wbester,31,181,117111,17.7,11.6,26.0
2385,Nebraska,Webster,31,181,31181,17.0,10.6,137.90960527242723
2017,Nebraska,Webster,31,181,31181,106.69739594777744,9.7,26.2
2480,Nebraska,Wtebster,31,181,31181,16.0,111.20450061015045,26.7
2019,Nebraska,Webster,31,181,31181,16.1,8.3,28.2
2020,Nebraska,Webster,31,181,31181,15.6,7.4,29.0
2003,Nebrasak,Wheeler,31,183,31183,3.9,0.3,17.6
2004,Nebraska,Wheeler,31,377,31183,4.3,0.4,18.1
2138,Nebraska,Weheler,31,183,31183,4.8,0.6,18.5
2006,Nebraska,Wheler,31,183,31183,5.7,0.9,20.1
2007,Nebraska,Wheeler,31,183,31183,6.7,1.2,21.5
2008,Nebraska,Wheelger,31,183,31183,7.7,1.7,22.3
2009,Nebraska,Wheeler,31,183,31183,8.6,2.3,22.8
1726,Nebraska,Wheeler,31,183,31183,9.2,2.9,22.5
2011,Nebraska,Wheeer,31,183,31183,10.2,3.6,23.2
2496,Nebraska,Wheeler,31,183,31183,11.6,4.4,25.0
2013,Nebraska,Wheeler,31,183,116124,12.8,5.1,26.7
2014,ebraska,Wheeler,31,183,31183,14.5,5.8,30.0
2015,Nebraska,Wheeler,31,183,31183,16.5,6.3,35.1
1478,Nebraska,Wheeler,31,183,31183,18.8,6.7,42.1
2017,Nebraska,Wheeler,31,400,31183,22.0,6.9,52.6
2018,Nebraska,Wheeler,31,183,121735,25.8,7.0,66.8
2019,Nebraska,Wheeler,31,183,31183,31.5,7.3,88.3
2336,Nebraska,Wheeler,31,183,110924,37.3,7.2,113.6
1650,Nebraska,York,31,185,31185,25.5,19.3,33.1
2058,Nebraska,York,31,185,31185,26.5,21.0,33.1
2005,Nebraska,York,31,185,31185,27.4,22.4,33.2
2006,Nebraska,York,31,185,31185,29.9,25.0,35.5
2007,Nebraska,York,31,185,31185,31.9,27.0,37.4
1940,Nebraska,Yokr,31,407,31185,32.5,27.7,37.9
2009,Nebraska,York,31,185,31185,107.75309996802449,27.2,138.88707533456662
2010,Nebrnaska,York,31,185,31185,30.0,25.4,35.1
2011,Nerbaska,York,31,185,107058,28.4,24.0,33.3
2012,ebraska,York,31,185,31185,27.3,22.9,32.3
2013,Nerbaska,York,31,185,120340,25.0,20.9,29.8
2014,Nebraska,York,31,185,31185,23.1,19.0,27.7
2716,Nebraska,York,31,185,31185,21.3,17.3,25.9
2016,Nebraska,York,31,185,31185,19.3,15.4,23.9
2017,Nebraska,York,31,185,31185,17.8,13.7,22.5
2018,Nebraska,York,31,185,31185,16.3,12.2,21.3
2019,Nebraska,York,31,185,31185,124.89700928767886,11.0,21.0
2769,Nebraska,York,31,185,31185,14.1,9.5,20.1
1384,Nevada,Chrchill,32,410,32001,55.0,46.3,64.7
2004,eNevada,Churhill,32,1,32001,54.3,47.3,62.0
2005,Nevadva,Crhurchill,32,1,120958,53.3,47.5,59.7
2006,Nevada,Churchill,32,1,32001,55.2,49.7,61.1
2007,Nevada,Churchill,32,1,32001,55.8,50.4,61.7
1830,Nevada,Churchill,32,1,32001,54.4,49.1,60.2
2009,Nevada,Churchill,32,1,32001,51.5,46.3,57.1
2010,Nevada,Churchill,32,1,116597,112.49682537723416,106.49729415856676,134.29105840670138
2011,Nevadya,Churchill,32,1,32001,42.9,38.3,47.9
2690,Nfevada,Churchill,32,1,32001,40.4,35.9,45.3
2013,Nevada,Churchill,32,413,32001,36.6,32.4,41.2
2014,Nevada,Churchill,32,1,32001,33.6,29.6,38.0
2015,Nevlada,Churchlil,113,1,32001,31.0,27.1,35.3
2016,Nevada,Churchill,32,393,32001,28.4,24.6,32.7
2017,Nevada,Churchill,125,1,32001,26.4,22.5,30.9
2018,Nevada,Churchill,32,1,32001,24.5,20.3,29.3
2019,Nevada,Churchill,32,1,32001,23.5,18.8,29.0
2020,Nevada,Churchill,32,1,98011,124.81464294960033,16.6,27.9
