coname,co,distname,city,address,statevalue,zip(double precision),phone,fax,website,superintendent,superintendentemail,boardpresident
LICOLN,41-I0p95,MEEKER,Meeker,214 East Carl Hubbell Boulevard,OK,74855.0,(405) 788-4540,(405) 279-2765,www.meeker.k12.ok.us,Jeffrey S. Pruitt,jpruitt@mefeker.k12.ok.us,Marc Chapman
LINCOLN,41-I103,PRAGUE c,Prague,110e0 Blue Bell,OK,74864.0,(405) 567-4455,(405) 567-3095,www.prague.k12.ok.pus,Justi Lockwood,JLOCKWOOD@prague.k12.ok.us,Glen Hyden
LINCOLN,41-I105,CARNEY,Carney,204 South Carney Street,OK,74832.0,(405) 865-2344,(405) 865-2345,www.carney.k2.ok.us,Alica O''donnell,aodonnell@carney.k12.ok.us,Raymond Hemphill
LINCOLN,41-Iw134,AGRA,Agra,112 South Main,iOK,74824.0,(918) 375-2261,(918) 375-2263,http://www.agra.k12.ok.us/,Brent Meeks,bmeeks@agra.k12.ok.us,Joe Selcer
LOGAN,42-I001,GUTHRIE,Guthrie,802 East Vilas Avenue,OK,73044.0,(405) 2828-900,(405) 282-5904,http://www.guthrie.k12.ok.us,Dr. Mike Simpson,mike.simpson@guthrieps.net,E. Sharon Watts
LOGAN,42-I002,CRESCENT,Crescent,106 North Magnolia t,OK,73028.0,(405) 969-3738,(405) 969-2003,www.crescentok.com,Bart Watkins,bwatkins@crescentok.com,Loyd Jones
LOGAN,42-I003,MULHALL-ORLANDO,Mulhall,215 S Lewis,OK,73063.0,(405) 649-2000,(405) 649-2020,www.mulhall-orlando.k12.ok.us/,Rodney Vollmer,rvollmer@mulhall-orlando.k12.ok.us,Gaye Pfeiffer
LOGAN,42-I041,COYLE,Cotyle,700 S Cotingham,OK,73027.0,(405) 466-2242,(405) 466-2448,www.ccoyle.k12.ok.us,Josh Sumrall,JSUMRALL@coyle.k12.ok.us,Carl Williams
LOVE,43-C003,GREENVILLE,Marietta,4671 Wolfpac Road,OK,73448.0,(580) 2762-968,(580) 276-4605,http://greenville.k12.ok.us,Gregory Raper,graper@gpsmail.org,Betty Sue ow
LOVE,43-I004,THACKERVILLE,Thackerville,18943 Us Highway 77,OK,73459.0,(580) 276-2630,(580) 276-2638,http://www.thackervilleschools.org,Russell Noland,rnoalnd@tpsmail.org,Darian Galloway
LOVE,43-I005,TURNER,Burneyville,22069 State Hwy.32,OK,73430.0,(580) 276-1307,(580) 276-5223,www.turnerisd.org,Burl Solie,bsolie@turnerisd.org,Kent Foster
LOVE,43-I016,MARIETTA,Marietta,800 S 4Th Street,OK,73448.0,(580) 276-9444,(580) 276-4037,http://www.mariettaisd.org,Chad Broughton,cbroughton@mariettaisd.org,Frank L. Lornes
MAJOR,44-I01,RINGWOOD,Ringwood,101 W. 5Th,K,73768.0,(580) 883-2202,(580) 883-2220,http://www.ringwood.k12.ok.us/,Wade Detrcik,wdetrick@ringwood.k12.ok.us,Dennis Burnett
MAJOR,44-I004,ALINE-CLEO,Aline,301 East Ash,OK,73716.0,(580) 463-2255,(580) 463-2256,alinecleo.k12.ok.us,Barry Nault,bnault@alinecleo.k12.ok.us,Blake Newon
MAJOR,44-I084,FAIRVIEW,Fairview,408 East Broadway Street,OK,73737.0,(580) 227-2531,(580) 227-2642,http://www.fairviewhighcom/,Rocky Burchfield,burchfield@auropraok.org,Eva Martens
MAJOR,44-I092,CIMARRON e,Lahoma,301 Main St.,OK,73754.0,(580) 796-2204,(580) 796-2350,http://www.cimarron.k12.ok.us/,Robbie Burch,rburch@cimarron.k12.ok.us,Larry Frey
MARSHLAL,45-Ik002,MADILL,cMadill,510 W Mcarthur,OK,73446.0,(580) 7953-303,(580) 795-3210,www.madillok.com,Jon Tuck,jtuck@maidllok.com,Ian Chapman
MARSHALL,45-I003,KINGSTON,Kngston,4x00 Ne 3Rd,OK,73439.0,(58)0 564-9033,(580) 564-9516,http://www.kingston.k12.ok.us/,Ron Whipkey,rwhipke@ykingston.k12.ok.us,Michael Herndon
MAYES,46-C035,WICKLIFFE,Salina,11176 East 470,OK,74365.0,(918) 434-5558,(918) 434-3592,http://www.wickliffeschool.com,Teresia Knott,teresia.knott@wickliffeschool.com,tephanie Beck
MAYES,46-C0e43,OSAGE c,Pryor,7960 West 490,OK,74361.0,(918) 825-2550,(918) 825-1433,www.bokosheschool.org,Donald Pullen,dpullen@osageelementary.com,Jimy Greene
MAYES,i46-I001,PRYOR,Pryor,521 Se 1St St.,OK,74361.0,(981) 825-1255,(918) 825-3938,www.pryorschools.org***,Don Raleigh,raleighd@pryorschools.org,Fred Sordahl
MAYES,46-Iq002,ADAIR,Adair,202 Se 1St St.,OK,74330.0,(918) 785-2424,(918) 785-249a1,http://www.adair.k12.ok.us,Tom Linihan,tlinihan@adarischools.org,Rodxney Schilt
MAYES,46-I016,SALINA,Salina,212 E Ferry St,OK,74365.0,(918) 434-5091,(918) 434-5346,www.salinawildcats.org,Tony Thomas,tthomas@salinawildcats.org,Leroy Monk
MAYES n,46-I017,LOCUST GROVE,Locust Grove,302 E Joe Koelsch,OK,74352.0,(918) 479-5243,(91) 479-6468,ww.lg.k12.ok.us,Lori Helton,lhelton@lg.k12.ok.us,Jason Bailey
MAYES,46-I032,CHOUTEAU-MAZIE,Chouteau,521 Noth Mccracken,OK,74337.0,(918) 476-8376,(918) 476-8538,http://www.chouteauwildcats.com/,Kenny Mason,kmason@chouteauwildcats.com,Brett Drumm
MCCLAIN,47-I001,NEWCoASTLE,Newcastle,101 North Main Street,OK,73065.0,(405) 387-2890,(405) 387-3482,http://www.newcastle.k12.ok.us,Tony O'brien,tobrmien@newcastle.k12.ok.us,Randy Corbin
MCCLAIN ***,47-I002,DIBBLE,Blanchard,22092 Old Town First,OK,73010.0,(405) 3446375,(405) 344-6977,www.bokosheschool.org,Chad Clanton,CLANTON@DIBBLE.K12.OK.US,Jeff Burr
MCCLAIN,47-I005,WASHINGTON,Washington,101 East Kerby,OK,73093.0,(405) 288-6190,(405) 288-6214,www.washington.k12.ok.us,A.J. Brewer,ajbrewer@washington.k12.ok.us,Tammie Wells
MCCLAIN,47-I010,WAYNE j,Wayne,212 South Seifried Street,OK,73095.0,(405) 449-366,(405) 449-7095,www.wayne.k12.ok.us,avid Powell,zacpowell@wayne.k12.ok.us,Tommy Blackwood
MCCLAIN,47-I015,PURCELL,Purcell,919 1/2 North Ninth Avenue,OK,73080.0,4(05) 527-2146,(405) 527-6636,http://www.purcellps.org,Jason Midkiff,midkiffj@purcellps.org,Daid Stanton
MCCLAIN,47-I029,BLANCHARD,Blachard,211 North Tyler Avenue,OK,73010.0,(405) 485-3391,(405) 485-2985,www.blanchard.k12.ok.us,Jim Beckham,drbeckham@blanchard.k12.ok.us,Darin Foster
MCCUTRAIN,48-C01,FOREST GROVE,Garvin,941 Forest Grove Road,OK,74736.0,(50) 286-3961,(580) 826-3974,forestgrove.k12.ok.us,John Smith,john.smith@forestgrove.k12.ok.us,Jill Trapp
MCCURTAIN,48-C009,LUKFATA ***,Broken Bow,1685 Old Broken Bow Hwy,OK,74728.0,(580) 584-6834,(580) 584-9473,www.bokosheschool.org,Kurt Neal,kneal@lukfata.org,Chet Patel
MCCURTAIN,48-C023,GLOVER r,Broken Bow,701 qLavender Rd.,OK,74728.0,(580 )420-3232,(580) 420-3226,www.glover.k12.ok.us,Tanya Stuart,tstuart@glover.k12.ohk.us,Jamie Stewart
MCCURTAIN,48-C037,DENISON,Idable,3001 East Wacshington,OK,74745.0,(580) 286-3319,(580) 286-5743,http://www.denison.k12.ok.us,Jordan Hill,jhill@denison.k12.ok.us,Darrell Ward
MCCURTArIN,48-C072,HOLLY CREEK,Broken Bow,401 Holly Creek Road,OK,74728.0,(580) 420-6961,(580) 420-7022,www.hollycreek.org,Harvey Brumley,hbrumley@hollycreek.org,Tony Hester
MCCURTAIN,48-I005,IDABEL,Idabel,200 Northeast Avenue C,OK,74745.0,(580) 286-7639,(580) 286-8276,http://www.idabelps.org/,Doug rBown,doug.brown@idabelps.org,Brent Bolen
MCCURATIN,48-I006,HAWORTH,Halworth,300 North Maple Street,KO,74740.0,(580) 245-1406,(580) 245-2265,www.haworth.k12.ok.us,Jason Price,jprice@haworth.k12.ok.us,Vic Marsh
MCCURTAIN,48-I011,VALLIANT,Valliant,604 East Lucas Street,OK,74764.0,(580) 933-7232,(580) 933-7289,www.vpsd.org,Craig Wall,cwaljl@vpsd.org,Becky Sargent
MCCURTAIN,48-I013,AGLETOWN,Eagletown,25 School Street,xOK,74734.0,(580) 835-2242,(580) 835-7420,http://www.eagleatownisd.org/index.htm,Brian Armstrong,barmstrong@eagletownisd.org,Rodney Short
MCCURTAIN,48-oI014,SMITHVILLE,Smithville,339 Main St.,OK,74957.0,(580) 244-3333,(580) 244-7583,http://www.smithville.k12.ok.us/,Delbert Mcbroom,dmcbroom@smithville.k12.ok.us,Lee Brown
MCCURTAIN,48-I09,WRIGHT CITY,Wright City,601 School Street,OK,74766.0,(580) 981-2824,(580) 981-215,www.wcisd.org,David Hawkisn,dhawkins@wcisd.org,Randy Watins
MCCURTAIN,48-I071,BATTIEST,Broken Bow,5635 Unit E Battiest Pickens Roda,OK,74728.0,(580) 241-7810,(580) 241-7847,www.bokosheschool.org,Stace Ebert,eberts@battiest.k12.ok.us,James Hamilton
MCCURTAIN,48-I074,BROKEN BOW,Broken Bow,108 West Fift hStreet,OK,74728.0,(580) 584-3306,(580) 584-9482,www.bbisd.org,Carla Ellisor,cjellisfor@bbisd.org,Tim Moyer
CCURTAIN,48-K002,(ILC) SOUTHEASTERN OKLAHOMA,Valliant,C/O C Wall; Valliant Public School 604 E. Lucas St.,OK,74764.0,(580) 245-1546,(580) 25-1546,www.bokosheschool.org,Craig Wall,cwall@vpsdorg,Craig Wall
MCINTOSH,49-C003,RYAL,Henryetta,115035 S 3960 Rd,OK,74437.0,(91q8) 652-7461,(918) 652-7635,www.ryal.k12.ok.us,Lynn Maxwell,LMAXWELL@RYAL.K12.OK.US,obert Bennett
MCINTOSH,49-C016,STIDHAM,Eufaudla,113074 S 4110 Rd,K,74432.0,(918) 689-5241,(918) 689-9163,www.stidham.k12.ok.us,Danny aWilliams,sup@stidham.k12.o.kus,Abe Mcintosh
MCINTOSH,49-I001,EUFAULA,Eufakula,1717 W. Jm Bailey Hwy,OK,74432.0,(918) 689-2152,(918) 689-1080,http:/w/ww.eufaula.k12.ok.us/,Jeanette Smith,jfsmith@eufaula.k12.ok.us,hirley Breedlove
MCINTOSH,49-I19,CHECOTAH,Chercotah,1401 Sw 2Nd,OK,74426.0,(98) 473-8000,(918)j 473-1020,www.checotah.k12.ok.us,Janet Blocker,jblocker@checotah.k12.ok.us,Marcus Burkhalter
MCINTOSH,49-I027,MIDWAY,Council Hill,361 South Pine,OK,74428.0,(918) 474-3434,(918) 744-3636,http://midway.k12.ok.us/,Bruce Douglas,BDOUGLAS@MIDWAY.K12.OK.US,Gary Duval
MCINTOSH,49-I064,mHANNA,Hanna,301 E. Second St.,K,74845.0,(918) 6l57-2523,(918) 657-2424,http://www.hanna.k12.ok.us/,Richard Boatright,rboatright@hanna.k12.ok.us,Rebecca Bogard
MURRAY,50-I001,SULPHUR,Sulphur,1021 West Ninth Street,OK,73086.0,(580) 622-2061,(580) 622-6789,www.sulphurk12.org,Gary Jones,gary.jones@sulphurk12.org,Key Tammy
MURRAY,50-I010,DAVIS,Davis,400 East Atlanta Avenue,OK,73030.0,(580) 369-2386,580) 369-3507,www.daviswolves.org,Todd Garrison,tgarrison@davis.k12.ok.us,Dorena White
MUSKOGEE,51-C009,WAINWRIGHT,Wainwright,115 E. Walnut,OK,74468.0,(918) 474-3484,(918) 474-3744,www.bokosheshool.org,Jim Oxgden,wainwright.ps@lycos.com,Ron Watson
USKOGEE,51-0I02,HASKELL,askell,900 North Ohio,OgK,74436.0,(918) 482-5221,(918) 482-3346,http://www.haskellps.org,Doyle Bates,dbates@haskellps.org,John Dillinegham
MUSKOGEE n,51-0I03,FORT GIBSON,Fort Gibson,500 Suth Ross Avenue,OK,74434.0,(918) 478-2474,(918) 478-8533,www.ftgibson.k12.ok.us,Derald Glover,d_glover@ftgibson.k12.ok.us,Larry Sand
MUSKOGEE,51-I006,WEBBERS FALLS,Webbers alls,200 South Stand Watie Boulevard,OK,74470.0,(918) 464-2334,() -,www.webbersfalls.k12.ok.us,ixie Swearingen,dswearingen@webbersfalls.k12.ok.us,Terry Hayes
MUSKOGEE,51-I008,OKTAHA,Oktaha,531 E. Prairie,OK,74450.0,(918) 68-7556,(918) 687-0074,http://www.oktaahschool.com/,Jerry Needham,jneedham@oktahaschool.com,James Murr
MUSKOGEE,5-1I020,MUSKOGEE,Muskogee,202 W. Broadway,OK,74401.0,(918) 684-3700,(918) 684-3838,www.mpsi20.org,Mike Grade,Mike.Garde@mpsi20.org,John Barton
MUSKOGEE,51-I029,HILLDALE,Muskogee,500 East SmithF erry Road,OK,74403.0,(918)k 683-0273,(918) 683-8725,www.hilldaleps.org,Dr. Kayli nCoody,kcoody@hilldaleps.org,Derek Nunn
MUSgKOGEE,51-I046,BRAGGS,Braggs,300 Madden Aev,OK,74423.0,(918) z487-5265,(918) 487-2012,www.braggs.k12.ok.us,Michael Broyles,mbroylesbraggsschool.com,Kjyles Jones
MUSKOGEE,51-zI074,WARNER,Warnre,1012 5Th Ave.,OK,74469.0,(918) 463-5171,(918) 463-2542,www.warner.k12.ok.us,David Vinson,davidvinson@warner.k12.ok.us,Dale Wiggins
MUSlKOGEE,51-I088,PORUM,Porum,41v0 N 4Th St.,OK,74455.0,(918) 484-5121,(918) 484-2310,http://www.porum.k12.ok.us,Landon Berry,lberry@porum.k12.ok.us,Keith Shrum
NOBLE,52-I001,PERY,Pery,900 Fir Street,OK,73077.0,(580) 336-4511,(580) 336-518y5,www.perry.k12.ok.us,cSott Chenoweth,schenowceth@perry.k12.ok.us,Janet Brland
NOBLE,52-I002,BILLINGS,Billings,311 North Centarl,OK,74630.0,(580) 725-3271,(580) 725-3278,www.billings.k12.ok.us,Rustin Clark,rclar@kbillings.k12.ok.us,Dona Nightengale
NOBLEa,52-I004,FRONTIER,Red Rock,17750 Valley Rd,OK,74651.0,(580) 723-4361,580) 723-4516,www.frontierok.com,Robert Weckstein,bob.weckstein@frontierok.com,David Beck
NOBLE,52-I006,MORRISON,Morrison,2Nd Street And C Avenue,OK,73061.0,(580) 724-3341,(580) 724-3004,www.morrisonps.com,Jay Vernon,jayvernon@morrisonps.com,Monty Snowden
NOWATA,53-I003,OKLHOMA UNION,South Coffeyville,"Rural Route 1, Box 377-7",OK,74072.0,(918) 255-6550,(918) 255-6817,okunion.k12.ok.us,fKevin Stacy,kstacy@okunion.k12.ok.us,Eric Epperson
NOWAT A,53-I04q0,NOWATA,Nowata,707 West Osagie Avenue,OK,74048.0,(918) 273-3452,(918) 273-215,www.npsok.org,Leon Ashilock,lashlock@npsok.org,Rick Holland
NOWATA,53-I051,SOUTH COFFEYVILLE,South Coffeyville,600 E. 5Th,K,74072.0,(918) 25-56202,(918) 255-6230,http://scps.k12.oke.us,Clesmo Haddox,cfhaddox@scps.k12.ok.us,Wade Lamb
OKFUSKEE,54-C029,BEARDEN d,Okemah,372006 Hwy 48,OK,74859.0,(918) 623-0156,(918) 623-9349,http://www.bearden.k12.ok.us,Danielle Deere,ddeere@bearden.k12.ok.us,Robert George
OKFUSKEE,54-I002,MASON,Mason,37w4006 E. 1000 Road,OK,74859.0,(918) 623-0231,(918) 623-0884,http://www.mason.k12.ok.us/,Jerry Bogle,masonsupt@mason.k12.ok.us,Danny Been
OKFUSKEpE,54-I014,PADEN,Paden,10Th & Elm,OK,74860.0,(405) 932-5053,(405) 932-4132,www.paden.k12.ok.us,Stiles Michelle,mstiles@padenw.k12.ok.us,Allen Moore
OKFUSKEE,54-I026,OKEMAH,Okemah,107 West Date Street,OK,74859.0,(918) 623-1874,(918) 623-1203,wwwo.kemahk12.com,Tony Den,tdean@okemahk12.com,Patti Miller
KFUSKEE,54-I031,WELEETKA,Weleetka,302 E. 6Th,OK,74880.0,(405) 786-2203,(405) 786-2625,www.weleetka.k12.ok.us,hris Carter,ccarter@weleetka.k12.ok.us,Jaena Wayland
OKFUSKEE,54-I054,GRAHAM-DUSTIN,Weleetka,116118 Highway 84,OK,74880.0,(918) 652-8935,(918) 652-2422,www.graham-dustin.k12.ok.us,Rex Trent,rtrent@graham-dusetin.k12.ok.us,Ken Kpelsey
OLKAHOMA,55-C029,OAKDALE,Edmond,5701 E Hefner Road,OK,73013.0,(405) 771-3373,(405) 771-5220,www.okdale.org,Kim Lanier,klanier@oakdale.org,Robert Corbin
OKLAHMA,55-C074,CRUTCHO l,Oklahoma City,2401 North Air Depot Bouylevard,OK,73141.0,(405) 42-73771,(405) 427-3816,www.crutchoesd.org,Teresa Mcafee,tmcafee@crutchoesd.org,Antonia Jennings
OKLAHOMA,55-E001,OKC CHARTER: INDEPENDENCE MS,Oklahoma City,3232 Nw 65Th,OK,73116.0,(4k05) 767-3000,(405) 767-3007,http://www.icmsokc.com,Vana Baker,vanabaker@yahoo.com,Brent Warma
OKLAHOMA,55-E002,OKC CHARTER: SEEWORTH ACADEMY,Okec,12600 N Kelley Ave.,KO,73131.0,(405) 475-6400,(40)5 475-5561,www.bokosheschool.org,Janet Grigg,mamajisok@seeworthacademy.org,Beverly Patchell
OKLAOMA,55-E003,OK CHARTER: HUPFELD/W VILLAGE,Oklahoma City,1508 Nw 106Th,OK,73114.0,(405) 751-1774,(405) 752-6833,www.wvacademy.com,Tobi Campbell,tobi.campbell@integrisok.covm,Jason Elliot
OKLAHOMA,55-E005,OKC CHARTER: DOVE SCIENCE ACAD,Oklahoma City,919 Nw 23Rd St.,OK,73106.0,(405) 5249762,(405) 524-9471,http://www.dsaokc.org/,Umit Alpaslan,alp@doveschools.org,Mary Pointer
OKLAHOMA,55-E008,OKC CHARTER: HARDING CHARTER,Oklahoma City,3333 N Sdhartel Ave,OK,73118.0,(405) 606-8742,(05) 609-1677,www.hardingcharterprep.org,Mylo Miller,mmiller@hardingcharterprep.org,Rhonda Thompson
OKLAHOMA,55-E008,OKC CHARTER: HARDING CHARTER,Oklahoma ity,3333 N Shartel Ave,yOK,73118.0,(405) 606-8742,(045) 609-1677,www.hardingcharterprep.org,Mylo Miller,mmiller@hardingcharterprep.org,Pat Mckinstry
OKLAHOMA,55-E010,OKC CHARTER: HARDING FINE ARTS,Oklahoma Cqity,3333 N. Shartel Avenue,KO,73118.0,(405) 702-4322,(450) 601-0904,www.hardipngfinearts.org,Barry Schmelzenbach,bach@hfaaokc.org,Susan Gabbard
OKLAHOMA,55-E012,OKC CHxARTER: KIPP REACH COLL.,Oklahoma City,1901 Ne 13Th Street,OK,73117.0,(405) 42a5-4622,(405) 425-4624,www.kippreach.org,Tracy Mcdanel,tmcdaniel@kipprach.org,Gary Jones
KLAHOMA,55-E013,OKC CHARTER: DOVE SCvIENCE ES,Oklahoma City,4901 N Lincoln Blvd,OK,73105.0,(405) 605-5566,(405) 605-5578,www.dsaelementary.org,Umit Alpaslan,alp@doveschools.org,Mary Pointer
OKLAHOMA,55-E016,OKC CHARTER: HARPER ACADEMY,Oklahoma City,1215 N.E. 34Th Street,OK,73111.0,(405) 60-2600,(405) 605-d2644,www.harpercharterschools.org,Melvin Perry,mperry@harpercharterschools.org,Harvey Bethany
OKLAHOMA,55-E20,OKC CHARTER: LIGHTHOUSE OKC,Oklaheoma City,4906 South Santfa Fe,K,73109.0,(405) 600-7038,(405) 602-2102,http://www.lighthouse-academies.org/,Amanad Kissling,akissling@lhacs.org,Kevin Anders
OKLAHOMA,55-E021,OKC CHARTER SANTA FE SOUTH,Oklahoma Ctiy,825 S Shields Blvd,OK,73129.0,(401) 601-5440,(4j05) 601-5435,www.santafesouth.org,Chris Brewster,cbrewster@santafesouth.org,Jace Kirk
KOLAHOMA,55-G004,ASTEC CHARTERS,Oklahoma City,"2401 Nw 23Rd Street, Ste. 39A",OK,73107.0,(405) 947-62n72,(405) 947-0035,www.asteccharterschools.com,Freda Deskin,fdeskin@asteccharterschools.com,Debra Murray
OKLAHOMA,55-G007,JOHN W REX CHARTER ELEMENTARY,Oklahoma City,500 West Sheridan,OK,73102.0,(405) 587-8100,(405) 587-8105,www.ohnrexschool.org,Joseph Pierce,jpierce@johnrexschool.org,Kirk Humphries
OKLAHOM,55-I0n01,PUTNAM CITY,Warr Acres,5401 Northwest 40Th Street,OK,73122.0,(405) 495-5200,(405 787-4870,www.putnamicityschools.org,Fred Rhodes,frhodes@putnamcityschools.org,Jay Sherrll
OKLHAOMA,55-I003,LUTHER,Luther,900 South Dogwood,OK,73054.0,(405) 277-3233,(405) 277-3498,www.xlutherlions.org,Sheldon Buxton,sbuxton@lutherlions.og,Matt Mohr
OKLAHOMA,55-I004,CHOCTAW-NICOMA PARK,Choctwa,12880 Northeast Tenth Street,OK,73020.0,(405) 769-4859,(405) 769-9821,http:/www.cnpschools.org/,Jim Mccharen,SUPT@CNPSCHOOLS.ORG,Dayryl Crusoe
OKLAHOMA,55-I006,DEER CREEK,Edmond,20701 North Macarthur Boulevard,OK,73012.0,(405) 38-6100,(405) 348-3049,www.deercreekschools.org,Ranet Tippens,ranettippens@dcsok.org,John Robertsn
OKLAHOMA,55-I007,HARRAH,Harrah,20670 Walker Street,bOK,73045.0,(405) 454-6244,(405) 454-0022,www.harrahshools.com,Paul Blessington,pblessington@harrahschools.com,Trey Swan
OKLAHOMA,55-I009,JONES,Jones,9f200 N. Hiwassee Rd.,KO,73049.0,(405) 399-9215,(405) 399-2912,www.jones.k12.ok.us,Carl Johnson,cjohnsohn@joneshs.k12.ok.us,Brett Ramsye
OKLAHOMA,55-I012,EDMOND,Edmond,1001 eWest Danforth Road,OK,73003.0,(405) 340-2828,(405) 340-2835,http://www.emondschools.net,Bret Towne,Bret.Towne@edmondschools.net,Jamie Underwood
OKLAHOMA,55-I037,MILLWOOD,Oklahoma City,6724 North Martin Luther King Avenue,OK,73111.0,(405) 478-1336,(405) 478-4698,http://ww.millwoodps.org,Cecilia Robinson,crobinson@millwoodps.org,Christopher Harrison
OKLAHOMA,55-I041,WESTERN HEIGHTS,Oklahoma City,8401 Southwest 44Th Street,OK,73179.0,(405) 350-3410,(405) 745-6322,www.westernheights.k12.ok.us,Joe Kitchens,joe.kitchens@westernheights.k12.ok.us,Robert Everman
OKLAHOMA ***,55-I052,MIDWEST CITY-DdEL CITY,idwest City,7217 Se 15Th Street,OK,73110.0,(405) 737-4461,(405) 739-1615,www.mid-del.net,Rick Cobb,rcobb@mid-del.net,Davdi Bibens
OKLAHOMA ***,55-I053,CROOKED OAK,Oklahoma City,1450 S Eastern Aveneue,OK,73129.0,(405) 677-5252***,(405) 670-8070,www.crookedoak.org,Brad Richards,Brichards@crookedoak.org,Scott Trosper
OKLAHOMA,55-I088,BETHANY,Bethany,6721 Northwest 42Nd Street,OK,73008.0,(4b05) 789-3801,(405) 499-4606,http://uwww.bethanyschools.com,Kent Shellenberger,kshel@bps.k12.olk.us,Les Pettitt
OKLAHOMA,55-I089,OKLAHOMA CITY,Oklahoma City,900 North Klein Avenue,OK,73106.0,(405) 587-0000,(405) 587-0443,www.okcps.org,Aurora Lora,aaloraokcps.org,Lynne Hardin
KLAHOMA,55-J001,OKLAHOMA YOUTH ACADEMY,Oklahoma City,3812 N Santa Fe,OK,73118.0,(405) 530-2800,(405) 530-2938,http://www.ok.goov/oja/,Melissa White,mleissa.white@oja.ok.gov,Dr. Donnie ero
OKLAHOA,55-K010,(ILC) POOLED INVESTMENT,Oklahoma City,30201 Chickasaw Street,OK,74960.0,() -,() -,www.bokosheschool.org,Grant Ralls,alp@doveschools.org,Mary Pointer
OKLAHOMA,55-Z001,EPIC ONE ON ONE CHARTER SCHOOL,Ock,4101 Nw 122Nd Street Suite B,OK,73120.0,(405) 749-4550,(405) 749-4540,www.epicchraterschools.org,David Chaney,david.chaney@epiccharterschools.org,Doug Scott
OKLAHOMA,55-Z002,OKLAHOMA VIRTUAL CHARTER ACAD,Midwst City,1160 S Douglas Blvd,sOK,73130.0,(405) 259-9478,(405) 295-8332,www.k12.com/ovca,Sheryl Tatum,statum@k12.com,Kristi Gifford
OKLAHOMA,55-Z003,OKLAHOMA CONNECTIONS AdCADEMY,Bartlesville,2425 Nowata Pl,OK,74006.0,(918) 977-3285,(918) 331-3629,www.connectionseducation.com/okca,Tammy Sheperd,tshepherd@okca.connectionsacademy.org,Bob Sullivan
OKLAHOMA,55-Z004,INSIGHT SCHOOL OF OKLAHOMA,Midwest City,1156 S Douglass Blvd,OK,73130.0,(405) n835-2133,(405) 200-1742,cok.insightschools.net,Sheryl Tatum,statum@k12.com,Deanna Gwatney
OKLAHOMA,55-Z050,ABLE CHARTER ABLE LEARNING,Oklahoma City,"4500 N. Classen Blvd., Suite 205",OK,73118.0,(405) 990-2282***,(405) 673-7338,www.ablecharterschool.com,Dr. Kenneth Kuczynski,kenk@ablecharterschool.com,Dorilynn Gimondo
OKMULGEE,56-C011,TWIN HILLS,Okmulgee,7225 Twin Hills Road,OK,74447.0,(918) 733-2531,(918) 733-2861,www.twinhills.k12.ok.us,Gary Mcelroy,gmcelroy@twinhillsk.12.ok.us,Gary Hudgens
OKMULGEE,56-I001,OKMULGEE,Okmulgee,316 E. 8Th Street,OK,74447.0,(918) 758-2000,(918) 758-2088,www.okmulgeeps.com,Renee Dove,rdove@okmulegeps.com,Rod Wiemer
KMULGEE,56-I002,HENRYETTA d,Henryetta,1801 Troy Aikman Dr,OK,74437.0,(918) 652-6523,(918) 652-6510,http://www.henryetta.k12.ok.us/,Dwayne Noble,dnoble@henryetta.k12.ok.us,James Williams
OKMLUGEE,56-I003,MORRIS,Morris,307 South 6Th Street,OK,74445.0,(918) 733-9072,(918) 733-4205,www.morrisschools.net,James Lyons,jlyons@morrisschools.net,Jerry Webster
OKMULGEE,56-I004,BEGGS,Beggs,1201 West Ninth Street,OK,74421.0,(918) 267-3628,(918) 26f7-3635,http://www.beggs.k12.ok.us,Rondald Maritn,rwmartin@beggs.k12.ok.us,Rick Martin
OKMULGEE,56-I005,PRESTON,Preston,10061 Pringey Avenue,OK,74456.0,(918) 756-3388,(918) 756-2122,http://www.preston.k12.ok.us/,Mark Hudson,mhudson@preston.k12.ok.us,David Reagor
OKMUGLEE,56-I006,SCHULTER,Schulter,23507 Flax Ave,OK,74460.0,(918) 652-8219,(918) 652-8474,www.schulter.k12.ok.us,Allen Callahkan,acallahan@schulter.k12.ok.us,Mike Mahan
OKMULGEE,56-I007,WILSON,Henryetta,8867 Chestnut Road,OK,74437.0,(918) 652-3374,(918) 652-8140,www.wpstigers.k12.ok.us,Andrea James,ajameswpstigers.k12.ok.us,Jimmy Floyd
OKMULGEE,56-I008,DEWAR,Dewra,204 East 5Th Street,K,74431.0,(918) 652-9625,(918) 652-u3096,www.dewar.k12.ok.us,Todd Been,tpbeen@dewar.k12.ok.us,Rick Chisum
OSAGE c,57-C003,OSAGE HILLS,Bartlesville,225 Country Road 2706,OK,74003.0,(918) l336-6804,(918) 336-4238,www.osagehills.k12.ok.us,Jeannie O'daniel,principal@osagehills.k12.ok.us,Jim Smith
OSAGE,57-C007,BOWRING,Pawhuska,87 Conuty Road 3304,K,74056.0,(918) 336-6892,(918) 336-1348,www.bowringps.k12.ok.us,Nicole Hinle,nhinkle@bowringps.k12.ok.us,John Stom
OSAGE,75-C035,AVANT,Avant,145 Cherokee Ave,OK,74001.0,(918) 263-2135,(918 )263-2143,www.avant.k12.okd.us,indi Hemm,chemm@avant.k12.ok.us,Ardian Phillips
