"rpt_rec_num","Provider CCN","Facility Name","Street Address","City","State Code","Zip Code","County","Medicare CBSA Number","Rural versus Urban","Fiscal Year Begin Date","Fiscal Year End Date","Type of Control","Total Days Title V","Total Days Title XVIII","Total Days Title XIX","Total Days Other","Total Days Total","Number of Beds","Total Bed Days Available","Total Discharges Title V","Total Discharges Title XVIII","Total Discharges Title XIX","Total Discharges Title Other","Total Discharges Total","SNF Average Length of Stay Title V","SNF Average Length of Stay Title XVIII","SNF Average Length of Stay Title XIX","SNF Average Length of Stay Total","SNF Admissions Title V","SNF Admissions Title XVIII","SNF Admissions Title XIX","SNF Admissions Other","SNF Admissions Total","SNF Days Title V","SNF Days Title XVIII","SNF Days Title XIX","SNF Days Other","SNF Days Total","SNF Number of Beds","SNF Bed Days Available","SNF Discharges Title V","SNF Discharges Title XVIII","SNF Discharges Title XIX","SNF Discharges Title Other","SNF Discharges Total","NF Number of Beds","NF Bed Days Available","NF Days Title V","NF Days Title XIX","NF Days Other","NF Days Total","NF Discharges Title V","NF Discharges Title XIX","NF Discharges Title Other","NF Discharges Total","NF Average Length of Stay Title V","NF Average Length of Stay Title XIX","NF Average Length of Stay Total","NF Admissions Title V","NF Admissions Title XIX","NF Admissions Other","NF Admissions Total","Total RUG Days","Total Salaries From Worksheet A","Overhead Non-Salary Costs","Total Charges","Total Costs","Wage-related Costs (core)","Total Salaries (adjusted)","Contract Labor","Cash on hand and in banks","Temporary Investments","Notes Receivable","Accounts Receivable","Less: Allowances for uncollectible notes and accounts receivable","Inventory","Prepaid expenses","Other current assets","Total Current Assets","Land","Land improvements","Buildings","Leasehold improvements","Fixed equipment","Major movable equipment","Minor equipment depreciable","Total fixed Assets","Investments","Other Assets","Total other Assets","Total Assets","Accounts payable","Salaries, wages, and fees payable","Payroll taxes payable","Notes and Loans Payable (short term)","Deferred income","Other current liabilities","Total current liabilities","Mortgage payable","Notes Payable","Unsecured Loans","Other long term liabilities","Total long term liabilities","Total liabilities","General fund balance","Total fund balances","Total Liabilities and fund balances","Total General Inpatient Care Services Revenue","Inpatient Revenue","Outpatient Revenue","Gross Revenue","Less Contractual Allowance and discounts on patients' accounts","Net Patient Revenue","Less Total Operating Expense","Net Income from service to patients","Total Other Income","Total Income","Net Income","Inpatient PPS Amount","Nursing and Allied Health Education Activities","Allowable Bad Debts"
1240661,045366,HERITAGE SQUARE NURSING CENTER,710 NORTH RUDDLE ROAD,BLYTHEVILLE,AR,72316,MISSISSIPPI,99904,R,11/01/2018,12/31/2018,4,,272,2504,375,3151,86,5246,,6,4,1,11,,45.33,626,286.45,,4,2,6,12,,272,2504,375,3151,86,5246,,6,4,1,11,,,,,,,,,,,,,,,,,,272,329979,437802,178427,89703,51447,329979,48649,-11786,,,599948,,,19951,,575579,,,,,2694,,,2672,,,,578251,314875,76313,,244000,,3193,638381,,,,,,638381,-60130,-60130,578251,764461,942888,,942888,235237,707651,767781,-60130,,-60130,-60130,126894,,
1240663,045439,GOSNELL THERAPY AND LIVING CENTER,700 MOODY STREET,GOSNELL,AR,72319,MISSISSIPPI,99904,R,11/01/2018,12/31/2018,4,,317,2678,789,3784,70,4270,,10,6,4,20,,31.7,446.33,189.2,,9,4,4,17,,317,2678,789,3784,70,4270,,10,6,4,20,,,,,,,,,,,,,,,,,,317,326673,472816,259056,138883,47205,326673,89170,10190,,,671369,,,19074,,749967,,,,,459,,,446,,,,750413,343879,115042,,235000,,2376,696297,,,,,,696297,54116,54116,750413,871551,1130607,,1130607,277002,853605,799489,54116,,54116,54116,165194,,
1240664,045440,HARRIS HEALTH AND REHAB,287 SOUTH COUNTRY CLUB RD.,OSCEOLA,AR,72370,MISSISSIPPI,99904,R,11/01/2018,12/31/2018,4,,334,2450,646,3430,115,7015,,8,15,11,34,,41.75,163.33,100.88,,17,16,9,42,,334,2450,646,3430,115,7015,,8,15,11,34,,,,,,,,,,,,,,,,,,334,319171,520133,212009,96946,45882,319171,62211,3631,,,616025,,,19302,,663878,,,,,1704,,,1685,,,,665563,384908,115299,,220000,,5728,725935,,,,,,725935,-60372,-60372,665563,821999,1034008,,1034008,255076,778932,839304,-60372,,-60372,-60372,144618,,
1240709,155343,LIFE CARE CENTER OF LAGRANGE,0770 NORTH 75 EAST,LAGRANGE,IN,46761,LAGRANGE,99915,R,10/01/2018,12/31/2018,9,,314,3288,1042,4644,83,7636,,18,13,11,42,,17.44,252.92,110.57,,15,11,16,42,,314,3288,1042,4644,83,7636,,18,13,11,42,,,,,,,,,,,,,,,,,,314,515759,738037,189251,116040,86738,515759,21115,84837,,,756077,10693,,79940,,912799,,,,,,,,,,10172,30080,942879,729164,38465,,2818,,2482,772929,,2267,,104809,105052,877981,64898,64898,942879,1146620,1325220,,1325220,6751,1318469,1253870,64599,293,64892,64892,147458,,21105
1240996,366312,LITTLE SISTERS OF THE POOR,5942 RENAISSANCE PL  SUITE A,TOLEDO,OH,43623,LUCAS,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241068,676457,THE BARTLETT SKILLED NURSING,221 BARLETT DRIVE,EL PASO,TX,79912,EL PASO,21340,U,11/02/2018,12/31/2018,5,,22,11,287,320,58,3480,,1,1,3,5,,22,11,64,,1,1,13,15,,22,11,287,320,58,3480,,1,1,3,5,,,,,,,,,,,,,,,,,,22,256403,445531,5140,27326,41334,256403,,-18870,,,-112388,,,,,-131258,,,974,,,-40179,,-51283,,,,-182541,52692,50805,,,,52316,155813,,310000,,,310000,465813,-648354,-648354,-182541,52600,52600,,52600,-979,53579,701934,-648355,,-648355,-648355,11897,,
1241121,275103,BUTTE CENTER,2400 CONTINENTAL DRIVE,BUTTE,MT,59701,SILVER BOW,99927,R,11/01/2018,12/31/2018,6,,451,2875,743,4069,100,6100,,5,9,9,23,,90.2,319.44,176.91,,1,16,5,22,,451,2875,743,4069,100,6100,,5,9,9,23,,,,,,,,,,,,,,,,,,451,370181,787621,240820,163248,109627,370181,,33326,,,854672,18132,8512,47431,22001,534398,,,,,,43766,,40806,,,,575204,484058,112140,30018,,,59869,686085,,,,,,686085,-110881,-110881,575204,1074809,1309545,,1309545,263099,1046446,1157802,-111356,474,-110882,-110882,2,,
1241127,325066,BLOOMFIELD,803 HACIENDA LANE,BLOOMFIELD,NM,87413,SAN JUAN,22140,U,11/01/2018,12/31/2018,4,,356,4740,509,5605,95,5795,,356,7,14,377,,1,677.14,14.87,,22,29,3,54,,356,4740,509,5605,95,5795,,356,7,14,377,,,,,,,,,,,,,,,,,,356,461242,537700,479568,120009,76455,461242,,1900,,,964277,,20565,,,961264,,,,23594,,21700,,45294,,-591804,-579827,426731,191201,93923,,,,41625,326749,,,,66944,66944,393693,33038,33038,426731,1039785,1519353,,1519353,486819,1032534,998942,33592,,33592,33592,156179,,
1241139,445288,HUNTSVILLE HEALTH & REHABILITATION,287 BAKER STREET,HUNTSVILLE,TN,37756,SCOTT,99944,R,11/01/2018,12/31/2018,4,,573,3152,513,4238,96,5856,,16,14,21,51,,35.81,225.14,83.1,,17,7,21,45,,573,3152,513,4238,96,5856,,16,14,21,51,,,,,,,,,,,,,,,,,,573,396215,610826,255819,252622,50777,396215,,44247,,,931867,,,33605,,1009719,,,,12163,3250,5327,,19354,,16078,16078,1045151,452990,19128,106477,,,,911289,,,,,,911289,133862,133862,1045151,1054255,1306986,,1306986,167814,1139172,1007041,132131,1731,133862,133862,246424,,9095
1241155,525336,CHILTON CARE CENTER  LLC,810 MEMORIAL DRIVE,CHILTON,WI,53014-1573,CALUMET,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241193,145039,GENERATIONS AT PEORIA  LLC,5600 GLEN ELM DRIVE,PEORIA,IL,61614,PEORIA,37900,U,11/01/2018,12/31/2018,6,,365,2207,2225,4797,144,8784,,16,10,21,47,,22.81,220.7,102.06,,11,5,21,37,,365,2207,2225,4797,144,8784,,16,10,21,47,,,,,,,,,,,,,,,,,,365,615517,846026,928969,294332,159671,615517,194053,22058,,,952648,,,133466,,1108172,,,,,18543,,,17925,,,9881,1135978,319080,103447,39382,785000,,202129,1449038,,,,,,1449038,-313060,-313060,1135978,960517,1889485,,1889485,741001,1148484,1461543,-313059,,-313059,-313059,165895,,
1241195,145350,THE PEARL OF ROLLING MEADOWS,4225 KIRCHOFF ROAD,ROLLING MEADOWS,IL,60008,COOK,16974,U,11/01/2018,12/31/2018,2,,221,4151,1693,6065,155,9455,,6,9,10,25,,36.83,461.22,242.6,,14,6,8,28,,221,4151,1693,6065,155,9455,,6,9,10,25,,,,,,,,,,,,,,,,,,221,735304,890082,768592,231695,108378,735304,,-2896,,,1154378,25580,,568899,10000,1704801,,,,7453,,33781,,40609,,750000,750000,2495410,928253,24077,74779,,,34187,1061296,,,,,1,1061297,1434113,1434113,2495410,29628516,30397108,,30397108,28937634,1459474,1625386,-165912,25,-165887,-165887,257351,,
1241313,145338,WESTMONT MANOR HEALTH AND REHAB CTR,512 E OGEN AVENUE,WESTMONT,IL,60559,DUPAGE,16974,U,11/01/2018,12/31/2018,6,,100,3869,458,4427,155,9455,,6,2,8,16,,16.67,1934.5,276.69,,24,7,6,37,,100,3869,458,4427,155,9455,,6,2,8,16,,,,,,,,,,,,,,,,,,100,771276,731539,485582,283401,164040,771276,58677,41190,,,1058581,27256,,532467,,1604982,,,,,,10351,,10001,,,,1614983,975201,100995,7836,180650,,673523,1938205,,,,,,1938205,-323222,-323222,1614983,859054,1344636,,1344636,165490,1179146,1502815,-323669,447,-323222,-323222,334722,,
1241504,145608,SOUTH HOLLAND MANOR HEALTH AND REHAB,2145 E 170TH ST,SOUTH HOLLAND,IL,60473,COOK,16974,U,11/01/2018,12/31/2018,6,,1378,5150,628,7156,216,13176,,36,30,13,79,,38.28,171.67,90.58,,45,23,10,78,,1378,5150,628,7156,216,13176,,36,30,13,79,,,,,,,,,,,,,,,,,,1378,1333114,1195327,934896,471532,240452,1333114,3170,89219,,,2124049,48619,,871462,33959,3070070,,,,,,,,,,,,3070070,1481721,335642,,610167,,939159,3366689,,,,,,3366689,-296619,-296619,3070070,1824092,2758988,,2758988,530221,2228767,2528441,-299674,3055,-296619,-296619,1019322,,
1241567,225609,COREY HILL NURSING HOME INC.,249 COREY ROAD,BRIGHTON,MA,02135,SUFFOLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241600,315038,SUMMIT RIDGE CENTER,20 SUMMIT STREET,WEST ORANGE,NJ,07052,ESSEX,35084,U,01/01/2019,01/31/2019,6,,107,3706,403,4216,152,4712,,2,7,16,25,,53.5,529.43,168.64,,4,4,15,23,,107,3706,403,4216,152,4712,,2,7,16,25,,,,,,,,,,,,,,,,,,107,534928,2144066,132601,113081,115154,534928,93129,3502,,,2413921,805806,,-39620,,1203854,,7292878,,879802,90019,738299,,7277595,,-5418435,-5418435,3063014,758529,269211,,90337,8645,290522,1417244,7200867,,,1362,7202229,8619473,-5556459,-5556459,3063014,2030369,2166065,,2166065,1124078,1041987,2678994,-1637007,1246,-1635761,-1635761,53585,,2513
1241626,425402,COVENANT PLACE OF SUMTER,2825 CARTER ROAD,SUMTER,SC,29150-1712,SUMTER,44940,U,10/01/2018,12/17/2018,2,,358,,6317,6675,114,8892,,14,,16,30,,25.57,,67.17,,4,,3,7,,358,,851,1209,28,2184,,14,,4,18,,,,,,,,,,,,,,,,,,358,872618,1027903,156092,116792,152569,872618,,1767005,,,57847,,,100465,,1925317,210338,97541,15328709,1484708,1577644,738972,,4139601,,,,6064918,88199,178355,67071,,,723529,1057154,5285810,,,,5285810,6342964,-278046,-278046,6064918,1000355,1156447,,1156447,67725,1088722,1900521,-811799,668616,-143183,-143183,140765,,
1241649,525274,EDENBROOK OF FOND DU LAC,265 SOUTH NATIONAL AVE,FOND DU LAC,WI,54935,FOND DU LAC,22540,U,11/01/2018,12/31/2018,6,,245,2860,599,3704,108,6588,,13,,,13,,18.85,,284.92,,,,,,,245,2860,599,3704,108,6588,,13,,,13,,,,,,,,,,,,,,,,,,245,426231,444685,385149,141442,61198,426231,,41755,,,806630,,,-3319,,299309,,,,4379,,14622,,174001,,,,473310,279160,183064,,5634,,,467858,,3039,,,3039,470897,2413,2413,473310,804395,1189544,,1189544,316685,872859,870916,1943,470,2413,2413,122770,,
1241731,315047,CINNAMINSON CENTER,1700 WYNWOOD DRIVE,CINNAMINSON,NJ,08077,BURLINGTON,15804,U,01/01/2019,01/31/2019,6,,102,2800,405,3307,114,3534,,6,3,5,14,,17,933.33,236.21,,4,3,7,14,,102,2800,405,3307,114,3534,,6,3,5,14,,,,,,,,,,,,,,,,,,102,321431,1598308,137280,173240,75515,321431,111821,5100,,,1307120,408938,,-8277,,692922,,58364,,605361,26657,517933,,,6632270,-1421189,5211081,5904003,449842,171624,,82326,13306,197291,914389,6562362,,,6682,6569044,7483433,-1579430,-1579430,5904003,1331072,1463339,,1463339,677067,786272,1919739,-1133467,1599,-1131868,-1131868,50875,,1843
1241733,315225,COOPER RIVER WEST,5101 NORTH PARK DRIVE,PENNSAUKEN,NJ,08109,CAMDEN,15804,U,01/01/2019,01/31/2019,6,,304,4019,456,4779,180,5580,,5,7,10,22,,60.8,574.14,217.23,,14,3,16,33,,304,4019,456,4779,180,5580,,5,7,10,22,,,,,,,,,,,,,,,,,,304,455644,1703666,172113,117469,139466,455644,151271,-1127,,,2026366,501745,,-17455,,1254913,,,,,34435,759594,,-119136,,-3175506,-3175506,-2039729,746724,253940,,,6598,156916,1164178,,,,6903,6903,1171081,-3210810,-3210810,-2039729,2006825,2184369,,2184369,1039183,1145186,2159310,-1014124,3053,-1011071,-1011071,142385,,8208
1241778,345288,MAGNOLIA ESTATES SKILLED CARE FACILI,1404 SOUTH SALISBURY AVENUE,SPENCER,NC,28159,ROWAN,16740,U,10/01/2018,12/19/2018,4,,188,4330,550,5068,80,6400,,1,8,7,16,,188,541.25,316.75,,7,2,6,15,,188,4330,550,5068,70,5600,,1,8,7,16,,,,,,,,,,,,,,,,,,188,517969,531933,278198,172278,79720,517969,102491,32450,,,793423,,,1359,,847696,,,,,,,,,,,,847696,85085,,-2120,,,42506,125471,,,,,4709119,4834590,-3986894,-3986894,847696,878543,1174524,,1174524,67256,1107268,1049902,57366,1914577,1971943,1971943,66824,,17650
1241869,676243,REMINGTON TRANS. CARE OF RICHARDSON,1350 E. LOOKOUT DR.,RICHARDSON,TX,75082,DALLAS,19124,U,10/01/2018,12/31/2018,6,,3412,,2721,6133,90,8280,,163,,143,306,,20.93,,20.04,,167,,146,313,,3412,,2721,6133,90,8280,,163,,143,306,,,,,,,,,,,,,,,,,,3412,1074059,2248833,1823760,1123505,170365,1074059,583556,500,,,1982730,,,6050,3737,1993017,,,,13467,,292282,,330949,,-1929887,-1929887,394079,73021,,,125000,,307789,505810,,,,,,505810,-111731,-111731,394079,1387351,3211111,,3211111,,3211111,3322892,-111781,50,-111731,-111731,1996757,,
1241934,135134,BENNETT HEALTHCARE  INC,1220 MONTANA ST,GOODING,ID,83330,GOODING,99913,R,11/01/2018,12/31/2018,4,,258,1370,220,1848,80,4880,,4,1,,5,,64.5,1370,369.6,,6,1,,7,,258,1370,220,1848,80,4880,,4,1,,5,,,,,,,,,,,,,,,,,,258,233157,305814,86153,69133,42315,233157,,1000,,,345872,8388,,25966,,364450,,,,,,,,,-278513,3588,-274925,89525,59848,46979,13692,,,16034,136553,,,,-67241,-67241,69312,20213,20213,89525,475594,561215,,561215,2281,558934,538971,19963,250,20213,20213,106637,,154
1242010,185402,HENDERSON NURSING & REHAB CENTER,2500 NORTH ELM STREET,HENDERSON,KY,42420,HENDERSON,21780,U,10/01/2018,12/31/2018,4,,659,,4325,4984,90,8280,,13,,28,41,,50.69,,121.56,,12,,11,23,,659,,4325,4984,90,8280,,13,,28,41,,,,,,,,,,,,,,,,,,659,551255,947544,737403,138672,99059,551255,,35981,,,553490,,,103951,24986,720760,,,,8575,,2000,,10404,,,,731164,601562,39312,,,,110714,751588,240964,,,,240964,992552,-261388,-261388,731164,1195355,1932758,,1932758,695408,1237350,1498799,-261449,61,-261388,-261388,337863,,19977
1242017,225221,MERCURY OPERATOR  LLC,2 BEAUMONT AVENUE,BROCKTON,MA,02302,PLYMOUTH,14454,U,10/01/2018,12/31/2018,5,,634,6724,2702,10060,123,11316,,28,26,37,91,,22.64,258.62,110.55,,29,28,38,95,,634,6724,2702,10060,123,11316,,28,26,37,91,,,,,,,,,,,,,,,,,,634,1158985,1415748,395118,361596,255678,1158985,200152,107629,,,2048664,65699,,53138,,2168876,,,,10705,,41821,,49942,,2863,2863,2221681,1069643,347819,33371,929469,,157198,2537500,,,,,,2537500,-315819,-315819,2221681,2242044,2637162,,2637162,240243,2396919,2574733,-177814,3,-177811,-177811,448126,,
1242222,525418,EVANSVILLE MANOR,470 GARFIELD AVE,EVANSVILLE,WI,53536,ROCK,27500,U,11/01/2018,12/31/2018,4,,340,1837,1111,3288,71,4331,,16,,,16,,21.25,,205.5,,,,,,,340,1837,1111,3288,71,4331,,16,,,16,,,,,,,,,,,,,,,,,,340,404738,455384,162687,108606,70679,404738,,131011,,,146650,,,-21361,,522793,,,,,,62949,,63718,,-417245,-417245,169266,-237963,88160,,-12059,,,-161862,,184417,,,184417,22555,146711,146711,169266,1023160,1362009,,1362009,382034,979975,860122,119853,26858,146711,146711,168354,,
1242286,145031,THE LOFT REHABILITATION AND NURSING,510 BROADWAY,NORMAL,IL,61761,MCLEAN,14010,U,12/01/2018,12/31/2018,4,,92,1437,377,1906,116,3596,,3,5,5,13,,30.67,287.4,146.62,,3,5,5,13,,92,1437,377,1906,116,3596,,3,5,5,13,,,,,,,,,,,,,,,,,,92,235809,219259,197614,55321,35141,235809,,105537,,,293420,,,11445,,410402,,,,,,,,,,,,410402,228549,45990,5020,,,,279559,,185000,,,185000,464559,-54157,-54157,410402,400911,400911,,400911,,400911,455068,-54157,,-54157,-54157,99091,,
1242359,455718,PEBBLE CREEK NURSING CENTER,11608 SCOTT SIMPSON DR,EL PASO,TX,79936,EL PASO,21340,U,10/01/2018,12/31/2018,4,,1029,6017,1112,8158,120,11040,,16,16,20,52,,64.31,376.06,156.88,,30,10,18,58,,1029,6017,1112,8158,120,11040,,16,16,20,52,,,,,,,,,,,,,,,,,,1029,693165,985597,457731,353486,78932,693165,232514,229633,,,1464434,90437,,8473,,1612103,,,,,,58361,,98888,33576,,66136,1777127,359406,306552,53672,,8292,,1764641,,44125,,,44125,1808766,-31639,-31639,1777127,1523310,1831148,149894,1981042,333918,1647124,1678762,-31638,,-31638,-31638,502877,,
1242467,335640,BUFFALO COMMUNITY HEALTHCARE CENTER,1205 DELAWARE AVENUE,BUFFALO,NY,14209,ERIE,15380,U,10/29/2018,12/31/2018,6,,290,2541,2230,5061,95,6080,,5,14,20,39,,58,181.5,129.77,,2,23,42,67,,290,2541,2230,5061,95,6080,,5,14,20,39,,,,,,,,,,,,,,,,,,290,656538,879371,188693,195239,170668,656538,,74914,,,1049224,,,22603,,1146741,,,,5000,,84421,,55921,,35947,35947,1238609,1298320,202215,,,,,1500535,,,,45890,45890,1546425,-307816,-307816,1238609,1172482,1228093,,1228093,,1228093,1535909,-307816,,-307816,-307816,142412,,
1242481,345129,AUTUMN CARE OF MOCKSVILLE,1007 HOWARD STREET,MOCKSVILLE,NC,27028-2548,DAVIE,49180,U,01/01/2019,02/18/2019,4,,126,2689,660,3475,108,5292,,2,11,10,23,,63,244.45,151.09,,8,5,15,28,,126,2689,660,3475,96,4704,,2,11,10,23,,,,,,,,,,,,,,,,,,126,332385,306424,230053,132313,41565,332385,97510,1007,,,588808,53280,,10946,,547481,,,,42987,,123976,,152676,,16949,17879,718036,168229,48210,61815,,,3480,281734,,,,,1348071,1629805,-911769,-911769,718036,549738,792763,,792763,304004,488759,638809,-150050,475,-149575,-149575,58722,,4188
1242513,495358,AMELIA LLC,8830 VIRGINIA STREET,AMELIA,VA,23002,AMELIA,40060,U,01/01/2019,03/28/2019,4,,1615,5568,998,8181,100,8700,,12,5,8,25,,134.58,1113.6,327.24,,25,11,8,44,,1615,5568,998,8181,100,8700,,12,5,8,25,,,,,,,,,,,,,,,,,,1615,1191910,1114291,498606,300578,183705,1191910,139150,108790,,,1888189,230000,,,,1766979,,,442288,,,736904,,363811,,,,2130790,633339,254852,96530,,,,1075017,,106,,,106,1075123,1055667,1055667,2130790,1648534,2147140,,2147140,103946,2043194,2306201,-263007,1756,-261251,-261251,414547,,
1242632,235595,MISSION POINT NURSING,2102 ORLEANS STREET,DETROI
