ObjectId,Data_Set_Name,Brief_Description_of_Data,Data_Source,Home_Department,Home_Department_Division,Data_Steward__Business__Name,Data_Custodian__Technical__Name,Data_Classification,Data_Format,Frequency_of_Data_Change,Time_Span,Start_Date,End_Date,Geographic_Coverage,Geographic_Granularity,Link_to_Existing_Publication
164,Advanced Planning Project Tracker,"​Summary of active projects for which AP staff is either lead or assist. (Ongoing and updated periodically)

",,Develop Louisville,Advanced Planning,Claire Yates,,Internal,Excel Spread Sheets,Continuous,,,,Citywide,Neighborhood,
165,Aerial Photogrids,​Aerial photo boundaries from 1986 to 2000.,LOJIC,Unknown,Lojic,Lojic,,Public,Lojic,Continuous,,2016/02/25 05:00:00+00,,Citywide,Not applicable,Open Data Link
166,Air Pollution Annual Emissions Estimates for Large Industrial Plants,​Emissions reported to APCD by large industrial facilities as part of APCD's annual point-source emissions inventory,APCD Emissions Inventory System,Econ Growth & Innovation-APCD,Industrial Permitting,Chris Gerstle,Andy Purdon,Public,Access backend,Yearly,,2010/01/01 05:00:00+00,,Citywide,Latitude/longitude,https://www3.epa.gov/enviro/facts/nei/
167,Air Pollution Emission Control Measures at Large Industrial Plants,"​Control measures, including control devices, used to control air pollutant emissions from emission processes at large industrial facilities, identified as part of APCD's annual point-source emissions inventory",APCD Emissions Inventory System,Econ Growth & Innovation-APCD,Industrial Permitting,Chris Gerstle,Andy Purdon,Public,Access backend,Yearly,,2010/01/01 05:00:00+00,,Citywide,Street address,https://www3.epa.gov/enviro/facts/nei/
168,Air Pollution Emission Processes at Large Industrial Plants,​Processes or pieces of equipment that can emit air pollution at large industrial facilities required to report emissions as part of APCD's annual point-source emissions inventory,APCD Emissions Inventory System,Econ Growth & Innovation-APCD,Industrial Permitting,Chris Gerstle,Andy Purdon,Public,Access backend,Yearly,,2010/01/01 05:00:00+00,,Citywide,Street address,https://www3.epa.gov/enviro/facts/nei/
169,Air Pollution Emission Release Points at Large Industrial Plants,​Release points (smokestacks and fugitive release locations) of air pollutant emissions reported by large industrial facilities as part of APCD's annual point-source emissions inventory,APCD Emissions Inventory System,Econ Growth & Innovation-APCD,Industrial Permitting,Chris Gerstle,Andy Purdon,Public,Access backend,Yearly,,2010/01/01 05:00:00+00,,Citywide,"Latitude/longitude;#Not applicable",https://www3.epa.gov/enviro/facts/nei/
170,Air Pollution Emission Units of Large Industrial Plants,"​""Emission Units"" are containers/groupings of emission processes identified by or for large industrial facilities as part of APCD's annual point-source emissions inventory",APCD Emissions Inventory System,Econ Growth & Innovation-APCD,Industrial Permitting,Chris Gerstle,Andy Purdon,Public,Access backend,Yearly,,2010/01/01 05:00:00+00,,Citywide,Street address,https://www3.epa.gov/enviro/facts/nei/
171,All Services,"​All services that are provided through the Office of Resilience and Community Services to include but not limited to the following:
Goodwill Vouchers
TeamKY Funding
CSBG Employment
CSBG Housing
CSBG Supportive Services
CSBG Education
CSBG - Senior Nutrition Transportation
CARES Funding
CDBG Eviction Prevention
Neighborhood Place Emergency Assistance
AcceLOUrate Savings Program
Tenant Based Rental Assistance
COC - Rapid Re-housing Program
Project Life Program
Eviction Prevention
HOME Program
Healthy At Home Program
Metro Council Utility Assistance
Mortgage Assistance
General Funds
Tree Assistance
Permanent Supportive Housing
Emergency Services Block Grant",CASTINET,Community Services,Resilience and community Services,,al.humphries@louisvilleky.gov,Public,Excel Spread Sheets,Continuous,,,,Citywide,Not applicable,Published on Open Data Portal
172,Ambient Air Quality Measurements,"​Measurements of levels of air pollutants, meteorological parameters, and internal instrument health parameters. Some data is in the form of hourly averages. Other data is in the form of 24-hour averages (filter-based particulate sampling). For the pollutants reported in 1-hour averages, raw 1-minute average data is used in the QA process but not reported to the EPA. For the hourly data, both raw data and quality-assured data are stored (as different fields on the same record). (Ongoing, internal database updated hourly and main public linl below updated regularly)",AirVision,Econ Growth & Innovation-APCD,Air Monitoring,Billy DeWitt,Bryan Paris,Internal,SQL Database (stand alone),Continuous,,2006/01/01 05:00:00+00,,Citywide,"Latitude/longitude;#Street address",https://www.epa.gov/outdoor-air-quality-data
173,Animal Bites Data - Bulk,"Records of animal bite cases investigated by Public Health Environmental Services.

",EHMIS-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,csv file,Quarterly,,,,Citywide,Not applicable,Open Data Portal
174,APCD Asbestos Removal Permits,"​Permits to remove or disturb asbestos-containing material in Louisville/Jefferson County. Each permit is for a specific site for a specific time period. Subtypes include: abatement for demolition, abatement for renovation, other abatement, friable blanket (annual), non-friable blanket (annual), and long term (annual). (Moved to Accela)",Hansen 8,Econ Growth & Innovation-APCD,Compliance and Enforcement,Steven Gravatte,Andy Purdon,Public,Oracle Database,Continuous,,2009/01/01 05:00:00+00,,Citywide,"Latitude/longitude;#Street address",https://data.louisvilleky.gov/dataset/asbestos-removal-permits
175,APCD Gasoline Dispensing Construction Permits,​Permits to construct or modify a gasoline dispensing facility in Louisville/Jefferson County. Each permit is effective for one year. The same facility may have multiple construction permits over the years.(Moved to Accela),Hansen 8,Econ Growth & Innovation-APCD,Compliance and Enforcement,Steven Gravatte,Andy Purdon,Public,Oracle Database,Continuous,,2009/01/01 05:00:00+00,,Citywide,"Latitude/longitude;#Street address",https://data.louisvilleky.gov/dataset/gasoline-dispensing-construction-permits
176,APCD Gasoline Dispensing Operating Permits,"​Permits to operate gasoline dispensing facilities (gas stations and fleet fueling stations) in Louisville/Jefferson County. Each permit is for one facility, so one company can have many permits.(Moved to Accela)",Hansen 8,Econ Growth & Innovation-APCD,Compliance and Enforcement,Steven Gravatte,Andy Purdon,Public,Oracle Database,Continuous,,2009/01/01 05:00:00+00,,Citywide,"Latitude/longitude;#Street address",https://data.louisvilleky.gov/dataset/gasoline-dispensing-operating-permits
177,APCD Industrial Construction Permits,"​Permits to construct, modify, or decommission equipment that generates or controls air pollution emissions in Louisville/Jefferson County.(Moved to Accela)",Hansen 8,Econ Growth & Innovation-APCD,Industrial Permitting,Matt King,Andy Purdon,Public,Oracle Database,Continuous,,2010/01/01 05:00:00+00,,Citywide,"Latitude/longitude;#Street address",https://data.louisvilleky.gov/dataset/industrial-construction-permits
178,APCD Industrial Operating Permits,"​Permits to operate issued to the operators of industrial facilities in Louisville/Jefferson County. There is one permit per facility site (""plant""), so one company may have multiple operating permits. A facility site can range in size from a dry cleaner or aut body shop to a large power plant or chemical plant. The plant class indicates the level of potential emissions, which roughly corresponds to the size of the facility site. (moved to Accela)",Hansen 8,Econ Growth & Innovation-APCD,"Industrial Permitting; Compiance and Enforcement",Matt King,Andy Purdon,Public,Oracle Database,Continuous,,1992/01/01 05:00:00+00,,Citywide,"Latitude/longitude;#Street address",https://data.louisvilleky.gov/dataset/industrial-operating-permits
179,APCD Open Burning Permits,"​Permits for outdoor fires in Louisville/Jefferson County. Permits are not required for fires in manufactured or approved fire pits and chimineas or for fires solely for the purpose of cooking food. Subtypes include: recreational fires (bonfires and the like), training fires (for fire-fighting training), and agricultural or other controlled burns.(Moved to Accela)",Hansen 8,Econ Growth & Innovation-APCD,Compliance and Enforcement,(vacant),Andy Purdon,Public,Oracle Database,Continuous,,2009/10/01 03:59:59+00,,Citywide,"Latitude/longitude;#Street address;#Parcel (block/lot)",https://data.louisvilleky.gov/dataset/open-burning-permits
180,Audit Reports Listing,"​This dataset includes all audits from 2003 to present. The purpose is to make the process of viewing particular audit reports, based on the description or other specific criteria, easily acccessible within  minutes.",AgencyWeb,Internal Auditor,Internal Audit,Internal Audit,Tiffany Smith,Public,csv file,Quarterly,,,,Citywide,Not applicable,
181,Ballparc,"​Data concerning sales for events. (Ongoing)
",BallParc,Parking Authority of River City,,,,Internal,Other,Continuous,,,,Citywide,Not applicable,
182,Bikeways,"​Metro bikeways and shared use paths
",LOJIC,PW&A - Streets and Roads,GIS,Metro Public Works GIS,Metro Public Works GIS Supervisor,Public,Oracle Database,Continuous,Current,,,Citywide,Not applicable,
183,Boarding and Cleaning Cases Resolved,"​The total number of cases resolved for the boarding, cleaning and cutting of vacant and abandoned properties.(Link does  not exist, no longer valid just for historical purposes)",Hansen 8,Codes & Regulations,Vacant Lots,Benjamin Anderson,,Public,csv file,Not updated (historical only),,,,Citywide,"Street address;#Not applicable",https://data.louisvilleky.gov/dataset/boarding-and-cleaning-cases-resolved
184,Boarding and Cleaning Requests Received,"​The total number of request received for the boarding, cleaning and cutting of vacant and abandoned properties. (Link does  not exist, no longer valid just for historical purposes)",Hansen 8,Codes & Regulations,Vacant Lots,Benjamin Anderson,,Public,Unknown,Not updated (historical only),,,,Citywide,"Street address;#Not applicable",https://data.louisvilleky.gov/dataset/boarding-and-cleaning-requests-received
185,Bridge inventory,​Inspections of known Metro maintained culverts and bridges (Same),Excel Spreadsheet,PW&A - Streets and Roads,Engineering,Matthew Haines,Matthew Haines,Public,Excel Spread Sheets,Continuous,yearly,,,Citywide,Latitude/longitude,
186,Citation Data,"​Citation tracking to include fines, fees, lien, interests. (Same, no change)
",Excel Spreadsheet,PW&A - Solid Waste Mgmt Srvs,Enforcement,Pete Flood,Rob Lush,Public,Excel Spread Sheets,Weekly,Weekly,2007/01/01 05:00:00+00,,Citywide,Street address,
187,Closed ABC Cases,​Closed ABC Cases (Relying on Accela resolution).,Hansen 8,Codes & Regulations,License and Permits,,,Public,csv file,Not updated (historical only),,,,Citywide,"Street address;#Not applicable",https://data.louisvilleky.gov/dataset/closed-abc-cases
188,Codes and Regulations Portal,"​Database tool that allows searching Property Maintenance Cases, ABC Licenses, and Construction Permits including, Building, Electrical, and HVAC in Louisville Metro. This data set includes date of permit issue, type of permit/case, inspections, violations, fees, and owner information.  (No longer exist, replaced by Accela ACAhttps://aca-prod.accela.com/LJCMG/Default.aspx)",Hansen 8,Codes & Regulations,,Benjamin Anderson,,Public,Oracle Database,Not updated (historical only),,,,Citywide,Street address,http://portal.louisvilleky.gov/codesandregs/mainsearch
189,Community Warning Sirens,"​Point layer of emergency management sirens for Jefferson, Bullitt, Oldham & Shelby County.​

",LOJIC,Emergency Mgt Agency/MetroSafe,,Jim McKinney,Jim McKinney,Public,Oracle Database,Continuous,,,,Regional,Latitude/longitude,
190,Company and Contact Data,"Company address and contact information along with personnel working at the company. 
",,Kentuckiana Works Foundation,,Rider Rodriguez,,Sensitive,Unknown,Continuous,,,,Regional,Street address,https://kydev.my.salesforce.com/
191,COVID-19 Expense Report ,"​
This document details estimated expenditures related to COVID-19.
Please be advised that this information is a fluid, constantly changing report and this is a ONLY snapshot of it on the day in question.
Some of the entries represent encumbrances of intended expenditures which may or may not have occurred.  An hypothetical (not actual) example would be Metro submitting a bid for masks for $600k and we ended up losing the bid.  That estimated expenditure would be listed and “encumbered” on this list but ultimately removed since it was not successful.
Personnel costs are estimates based on daily time entries.  Final personnel costs will be pulled from actual payroll totals which are processed every two weeks.
Additionally, the following monthly reports have been provided to the Louisville Metro Budget Committee to document CARES-related formal drawdown of funds as well as CARES budget updates for both FY20 and FY21.",,OMB - Finance,Office of Management and Budget,Jacinta Scruggs,,Public,Various,Continuous,,2020/05/01 03:59:59+00,,Citywide,Not applicable,Open Data Link
192,COVID-19 in Jefferson County Louisville KY ,"​Tracking COVID-19's impact in Louisville
In response to the COVID-19 pandemic, Louisville Metro Department of Public Health and Wellness is providing the most recent data available on confirmed cases, deceased cases, positivity rate, incidence rate, and utilization of health care from variety of resources, including Contact Tracing and Tracking (CTT), National Electronic Disease Surveillance System (NEDSS), and Hospital Capacity Reporting , etc..",,Public Health & Wellness,LOJIC,LOJIC,LOJIC,Public,CSV and ArcGIS,Continuous,,2020/10/13 03:59:59+00,,Citywide,"Street address;#Neighborhood;#Zip code;#City;#Not applicable",https://data.louisvilleky.gov/dataset/covid-19-jefferson-county-louisville-ky
193,Crime Hot Spot Map,,I/Leads RMS,Metro Police,Technical Services,,,Sensitive,Unknown,Continuous,,,,Citywide,Not applicable,
194,CTIP - Capital Transportation Improvement Projects,"​This dataset is a listing of all projects that require a local match or is totally capital funded. 
",Excel Spreadsheet,PW&A - Streets and Roads,Transportation,Tammy Markert,Tammy Markert,Internal,Excel Spread Sheets,Yearly,1 year,,,Citywide,"Street address;#Not applicable",
195,Curb Mileage of Urban Services District (USD),"​Curb miles swept and tonnage collected for purposes of Anti Litter Fund reimbursement
",Excel Spreadsheet,PW&A - Solid Waste Mgmt Srvs,Street Sweeping,Amy Axsom,,Internal,Excel Spread Sheets,Weekly,Weekly,,,Citywide,Street address,
196,Dashboard Data,"Status of building conditions
",SharePoint lists,OMB - Fleet & Facilities,Facilities,Kathleen Doran,,Internal,SharePoint,Continuous,Ongoing,,,Citywide,Not applicable,
197,Data Inventory Progress,"​This dataset is used to track the progress of all departments in completing the data inventory.  Fields include: Department, Inventory Lead, Number of data sources, Number of Datasets, Designated Lead (y/n), Inventory Progress (0-5), Inventory Verified (0-3), Open Metadata (0-5), Open Percent (0-5), and Total Score (0-20).",Data Governance Member Participation,Metro Technology Services,Civic Innovation,Michael Schnuerle,Michael Schnuerle,Public,Excel Spread Sheets,Monthly,Jan 2018 to today ,,,Citywide,Not applicable,
198,Dead Animal Truck,"​list of dead animals reported, type of animal, location, time and date of pick up (Moved to Accela)
",Hansen 8,PW&A - Solid Waste Mgmt Srvs,Solid Waste,Semone Carter,,Public,Word Document,Continuous,daily,,,Citywide,Not applicable,
199,Demolitions,"​Information pertaining to demolitions initiated by the Vacant and Public Property Administration.  Data is also used to calculate priority score for each property eligible for demolition.
",Sharepoint,Develop Louisville,Vacant and Public Property Administration,Carrie Fry,,Internal,csv file,Daily,Spans back to 2014,,,Citywide,"Street address;#Parcel (block/lot)",https://data.louisvilleky.gov/dataset/jefferson-county-demolitions
200,Development Applications,"​Alternately a GIS feature class or a spreadsheet with information about development applications in Louisville Metro.  Information includes type of development, number of multi-family units or hotel rooms or buildable lots, or square footage of commercial or industrial development.(Hansen replaced by Accela, Updated annually)
",Hansen 8,Develop Louisville,Office of Planning and Design Services,Dante St. Germain,,Public,csv file,Yearly,,2010/01/01 05:00:00+00,,Citywide,Parcel (block/lot),
201,Development Logs,"​Current and historical data on many development types, such as subdivisions and landscape plans.  Much of the data pre-dates Hansen.
",Excel Spreadsheet,Develop Louisville,Office of Planning and Design Services,,,Internal,Excel Spread Sheets,Weekly,,,,Citywide,Not applicable,
202,Dispatch Log,"​​created in share point -- daily start/end times for each route; Driver's name​ (Moved to Accela)
",Sharepoint,PW&A - Solid Waste Mgmt Srvs,,Julia Cole,,Internal,Other,Continuous,daily,,,Subset of city,Not applicable,
203,Dockless Vehicle Data,"Origin and destination data from dockless mobility companies including origin and destination information for scooter rides.

",,Develop Louisville,Advanced Planning,Michael Schnuerle,Michael Schnuerle,Sensitive,MySQL,Bi-Weekly,August 2018 to now,2018/08/01 03:59:59+00,,Citywide,Latitude/longitude,Dockless Vehicles
204,Donation Tracking List,"​Donations made to Facilities Management.
",SharePoint lists,OMB - Fleet & Facilities,Facilities,Kathlenn Doran,,Internal,Other,Continuous,Ongoing,,,Citywide,Not applicable,
205,Employee Engagement Survey,,Excel Spreadsheet,Office of Performance Improvement,,Carmen Moreno-Rivera,,Internal,Excel Spread Sheets,Yearly,Annual,,,Other,Not applicable,
206,Employee List,"​List of employees and job class.
",SharePoint lists,OMB - Fleet & Facilities,Facilities,Kathleen Doran,,Internal,Other,Continuous,ongoing,,,Citywide,Not applicable,
