characteristic,sex,raceethnicity,yearvalue(long),percentage,standarderroronpercentage(double precision),noteonpercentage,countinthousands(double precision),standarderroroncountinthousands(double precision),noteoncount
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2626,11.8%,5.26,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",1444,18.7%,6.05,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,224.8261545305464,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,38.7%,7.66,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,45.5%,10.17,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",1599,22.6%,8.56,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2387,28.1%,-7.015066601757823,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2000,38.4%,0.78,Data not available.,92.0,16.0,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,38.4%,0.78,Data not available.,92.0,248.2463804296498,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",1960,38.4%,0.78,Data not available.,92.0,16.0,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,39.7%,5.1,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,88.0,15.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2946,39.9%,4.88,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,-6139.522794865078,15.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,36.9%,4.82,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,-5848.291250261999,15.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",1061,38.6%,5.04,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,87.0,14.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",3001,36.5%,4.98,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,82.0,14.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,42.9%,4.87,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,107.0,-121.67800713734466,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,37.5%,4.73,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,95.0,15.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,41.2%,6.56,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,91.0,17.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2056,32.3%,-7.349973730236218,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,96.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,35.4%,4.65,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,127.0,19.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"White, non-Hispanic",Female,"White, non-Hispanic",1254,41.3%,0.81,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,3573.0,91.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"White, non-Hispanic",Female,"White, non-Hispanic",1586,41.9%,13.454170359615292,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,3630.0,233.78602280256055,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"White, non-Hispanic",Female,"White, non-Hispanic",2002,42.8%,0.78,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,3717.0,88.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"White, non-Hispanic",Female,"White, non-Hispanic",2003,44.5%,0.78,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,3838.0,89.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"White, non-Hispanic",Female,"White, non-Hispanic",2004,45%,0.78,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,3906.0,90.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"White, non-Hispanic",Female,"White, non-Hispanic",2111,46.1%,0.79,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,3964.0,91.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"White, non-Hispanic",Female,"White, non-Hispanic",2930,44.1%,0.78,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,3846.0,89.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"White, non-Hispanic",Female,"White, non-Hispanic",2007,45.7%,-6.475615882961091,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,3992.0,91.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"White, non-Hispanic",Female,"White, non-Hispanic",2008,46.9%,0.78,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,4127.0,92.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"White, non-Hispanic",Female,"White, non-Hispanic",2009,47.7%,0.78,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,4195.0,93.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"White, non-Hispanic",Female,"White, non-Hispanic",2640,46.1%,1.17,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,4046.0,253.4767471151847,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"White, non-Hispanic",Female,"White, non-Hispanic",2963,47.1%,1.08,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,4128.0,118.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"White, non-Hispanic",Female,"White, non-Hispanic",2012,46%,1.08,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,3899.0,-118.19342277540512,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2000,35.2%,1.72,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,726.0,43.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2263,35.5%,1.71,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,745.0,44.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2002,36.9%,1.68,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,732.0,250.9879872003521,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2561,36%,1.69,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,702.0,40.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2004,36.6%,1.67,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,731.0,41.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Black, non-Hispanic",Female,"Black, non-Hispanic",1564,37.6%,1.69,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,746.0,41.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2006,36.9%,1.65,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,10503.716075466393,252.0604939624274,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2007,34%,1.61,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,705.0,40.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2008,34.2%,1.59,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,731.0,41.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2009,41.9%,1.64,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,912.0,45.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2407,41.4%,2.16,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,910.0,48.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Black, non-Hispanic",Female,"Black, non-Hispanic",1164,39.9%,1.9,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,883.0,44.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2238,38.7%,12.90997412941155,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,870.0,53.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Hispanic,Female,Hispanic,2000,25.4%,-7.097665120393495,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,498.0,38.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Hispanic,Female,Hispanic,1544,26.1%,1.67,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,551.0,40.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Hispanic,Female,Hispanic,1285,24.4%,1.51,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,-5730.413666771058,38.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Hispanic,Female,Hispanic,2003,29.4%,1.6,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,651.0,41.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Hispanic,Female,Hispanic,2004,28.2%,1.56,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,647.0,41.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Hispanic,Female,Hispanic,1474,29.5%,15.11351112789497,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,675.0,42.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Hispanic,Female,Hispanic,2006,27.6%,12.190201935397257,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,660.0,42.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Hispanic,Female,Hispanic,1840,33%,1.57,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,816.0,218.04738988579197,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Hispanic,Female,Hispanic,2008,28.9%,1.5,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,723.0,-104.82289524089808,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Hispanic,Female,Hispanic,2009,31%,1.5,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,10422.368218527708,46.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Hispanic,Female,Hispanic,2010,36.1%,-6.8341692336271445,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,995.0,-109.37992882542233,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Hispanic,Female,Hispanic,1171,39.4%,1.58,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,1073.0,233.69949419374612,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Hispanic,Female,Hispanic,2012,41.7%,1.73,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,1294.0,58.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2669,52.8%,3.45,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,296.0,28.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,58.9%,3.38,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,334.0,29.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,61.9%,3.06,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,377.0,29.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,60.4%,3.15,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,350.0,28.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,57.7%,3.24,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,10778.169135618513,27.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",1285,58.8%,3.28,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,318.0,27.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2937,58.3%,-6.56800453849575,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,320.0,270.49857091533494,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,56.8%,3.17,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,335.0,28.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,63%,3.18,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,350.0,28.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,65.2%,3.08,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,376.0,29.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,65.8%,-5.959929507723574,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,422.0,26.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,60.3%,3.37,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,363.0,27.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,60.4%,3.56,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,446.0,33.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,38.4%,0.78,Data not available.,92.0,16.0,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,38.4%,12.164629158274586,Data not available.,92.0,16.0,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,38.4%,0.78,Data not available.,92.0,-107.2439360933304,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,34.5%,13.76,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,211.48208059282652,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,57.6%,-7.297468829179249,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2311,65.8%,17.09,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,25.8%,-7.548318063715345,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2686,37.3%,12.47,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,32.1%,12.16,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,-112.90105047786766,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2950,35.6%,11.18,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,28.5%,10.9,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,-96.88149065879118,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,42.7%,-5.848807830730275,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,-104.21101101113568,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,40.3%,13.32,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2898,20.5%,7.47,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,24.1%,5.37,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,26.9%,5.75,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,261.45547781117216,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,15.6%,5.77,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,28.1%,6.55,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,29.5%,6.66,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,208.02329023006945,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,35.9%,8.39,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,-120.45665367240876,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,34.5%,6.8,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,24.3%,5.82,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,211.9254923404639,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,20.8%,-7.018815470663929,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,-122.89800933049388,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,36.6%,7.99,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,10719.72599642506,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,24.4%,12.809481071194266,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,-110.116518794117,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,27.6%,13.485117988294208,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,38.4%,0.78,Data not available.,92.0,16.0,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,38.4%,0.78,Data not available.,92.0,16.0,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,38.4%,0.78,Data not available.,92.0,16.0,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",1239,43.3%,5.02,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,102.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",1611,33.4%,4.84,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,77.0,14.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,46.7%,4.99,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,113.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
