X,Y,OBJECTID,ID,LOCAL_ID,ASMNT_DT,ADMIN_ST,ADM_UNIT_CD,RPRN_WTLND_AREA_NM,AREA_ID,NWI_NHD_RCH_CD,ASMNT_APRCH,ACRES,AREA_BREAK_RATIONALE,PTNTL_DESC,ALTR_PTNTL,LENTIC_TYPE,SPRING_TYPE,GEOL_STR_TYPE,PRMRY_LITHOLOGY,DISCHARGE_PERMANENCE,DEV_NOTES,LIVESTOCK_SEASON,COMMENTS,RPRN_WTLND_AREA_SAT,RATIONALE,FLUCTUATE_WTR_LVL_NOT_EXCSVE,RATIONALE_2,RPRN_WTLND_AREA_ENLRGE,RATIONALE_3,WTRSHD_NOT_CONTRIBUTE_DEGRADE,RATIONALE_4,WTR_QLTY_SFCNT,RATIONALE_5,SRFCE_SBSRFCE_FLOW_NOT_ALT,RATIONALE_6,STRCTRE_ACCOMMODATE,RATIONALE_7,DVRSE_AGE_DSTRBN_VEG,RATIONALE_8,DVRSE_CMPSTN_VEG,RATIONALE_9,SPCS_INDCT_MAINT_SOIL,RATIONALE_10,ROOT_WTHSTND_EVENT,RATIONALE_11,RPRN_PLANT_HIGH_VIGOR,RATIONALE_12,VEG_DSPTE_ENERGY,RATIONALE_13,HEAVE_NOT_PRSNT,RATIONALE_14,FVRBL_MICROSITE_CND_MAINT,RATIONALE_15,CHEM_NOT_AFFECT_PLANT,RATIONALE_16,SOIL_SAT_SFCNT,RATIONALE_17,WTR_PERCOLATION_RSTRCT,RATIONALE_18,RPRN_WTLND_AREA_IN_BAL,RATIONALE_19,SHORELINE_CHAR_DSPTE_EVENT,RATIONALE_20,RATE_TREND,RATE_RATIONALE,TREND_MTHD,TREND_RATIONALE,THERMOMETER,PRIORITY,VEG_NOTES,FCTR_PRSNT,FLOW_REGLTN,CHANNELIZATION,DEWATERING,DREDGING,LND_OWN,MINING,ROAD,SPRING_DEV,WTRSHD_CND,OIL_FLD_WTR_DISCH,AGMNT_FLOW,OTHER,FCTR_EXPLN,REPORT,CMLTVE_NOTES,SG_GRS_FRBS,DSTNC_SG_BRSH,CREATE_DATE,MODIFY_DATE,created_date,last_edited_date,GlobalID,SG_GRS_PRSNT,PRFD_FRB_AVLBL
321319.8565,4257115.6745,233,{EFC167DB-C9A1-4FF8-A5E9-D719DCC63464},C-775,2020/06/16 00:00:00+00,CO,COS06000,C-775,Zone 5,,COMPLETE_RECON,0.25,riparian area supported by spring,Helocrene on a hillslope,Stockpond on a hillslope fed by a helocrene,SPRING_SEEP,HELOCRENE,,INTRUSIVE,PERENNIAL,stockpond,,,YES,There is standing water and the presence of obligate species,YES,There is standing water and the presence of obligate species,YES,Reached potential extent,YES,Rationale Not Recorded,YES,Presence of obligate species,NO,It was dug out and there is hoof action,NA,Not Applicable,YES,New willow growth and reproductivity in herbaceous species,YES,Obligate species present,YES,Sedges and obligates are present,YES,Deep rooted sedges,YES, very green with turnover,YES,90% coverage with some bare ground up slope,NA,Not Applicable,YES,"Aspen, willow and juniper",YES,Not visible,YES,Standing water and presence of obligates,YES,Standing water,YES,Some erosion upslope where dugout but not excessive. Some hoof action present,NA,Not Applicable,PFC,,APPARENT,,PFC-UP,LOW,"Aspen, willow, juniper, wild rose, horsetail, sedges, rushes, tall grass",NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,"Presence of cow, deer, songbirds, insects",,,,,2021/09/15 16:03:23+00,2022/01/25 20:54:53+00,{8D34BF4C-F56C-45E1-B276-71012A609FDD},,
320396.7409,4252499.5667,234,{A2BB3274-4B97-425D-B6D4-298D9ED71922},C-807,2020/06/30 00:00:00+00,CO,COS06000,C-807,Zone 5,,COMPLETE_RECON,0.5,riparian area supported by spring,Helocrene in a drainage on a hillslope ,Helocrene in a drainage on a hillslope confined by dugout pond,SPRING_SEEP,HELOCRENE,,INTRUSIVE,PERENNIAL,stockpond,,,YES,Standing water and presence of obligates,YES,Standing water and presence of obligates,YES,Achieved potential,YES,Rationale Not Recorded,YES,Obligates present,NO,Hoof action and earthen berm,NA,Not Applicable,YES/NO,No new willow but old and new herbacious species,YES,Obligates present,YES,Obligates present,YES,Deep rooted sedges present,YES,Green and vigorous,YES,Near 100% except the affect of grazers,NA,Not Applicable,NA,Rationale Not Recorded,YES,Not visible,YES,Standing water supports obligates,YES,obligate species supported by water table. standing water in drought year.,NO,"No excessive erosion or deposition, except hoof action",NA,Not Applicable,PFC,obligate species present,MONITORED,,,,"Yarrow, arctic rush, water sedge, Nebraska sedge, assorted grasses, duckweed",NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,"Cow, burrowers, deer, elk, sagegrouse, snake",,,,,2021/09/15 16:03:23+00,2022/01/25 23:14:01+00,{A961BDF1-AFA1-41B8-B3E3-8E3CECA517B3},,
329530.1868,4246550.2619,235,{A1735A9E-4C08-4073-B947-9E88860DD0AF},C-286,2020/06/30 00:00:00+00,CO,COS06000,C-286,Zone 5,,COMPLETE_RECON,1,riparian area supported by spring,Helocrene emerging from a hillslope,"Helocrene emerging from a hillslope, road cuts through the middle of the system. Alteration possible but not easily visible",SPRING_SEEP,HELOCRENE,,INTRUSIVE,PERENNIAL,Road,,Water Catch - IDT site visit with permit holder?,YES,Standing water and presence of obligates,YES,Standing water and presence of obligates,YES,Achieved potential,YES,Not visible,YES,Obligates present,YES,"Impacts to springhead are absent, Impacts to system are present, road cuts through middle of system downslope of springhead, plants within system are vigorous on both sides of the road",NA,Not Applicable,YES/NO,"No new willow, new and old growth for herbaceous species",YES,Obligates present,YES,Obligates present,YES,Deep rooted sedges,YES,Green and vigorous,YES,95% ground coverage,NA,Not Applicable,NA,Rationale Not Recorded,YES,Not visible,YES,Standing water and presence of obligates,YES,flowing water,YES,No excessive erosion or deposition,NA,Not Applicable,PFC,No impairments to spring head,APPARENT,,PFC-MID,MED,"Yarrow, dandelion, horsetail, cinquefoil, water sedge, Nebraska sedge, Arctic rush, bull rush, timothy, water loving grasses, lupine",NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,"Cow, deer, elk, songbirds, butterfly. Road cutting through middle of the system. Assess road impacts and consider hardening the water crossing",,,,,2021/09/15 16:03:23+00,2022/01/25 23:14:01+00,{07EBA481-F618-4178-A118-7D0C281A2C7D},,
329642.4559,4246569.3021,236,{4D036C12-AEAF-4F70-A518-3B901A669EBF},C-287,2020/06/30 00:00:00+00,CO,COS06000,C-287,Zone 5,,COMPLETE_RECON,4,riparian area supported by spring,Helocrene in a flat valley bottom with multiple sources feeds a possible wet meadow,Helocrene in a wide valley bottom dugout to create a shallow stockpond,SPRING_SEEP,HELOCRENE,,INTRUSIVE,PERENNIAL,Stockpond,,,YES,Standing water and presence of obligates,YES,Standing water and presence of obligates,YES,Achieved potential,YES,Directly off a road,YES,Obligates present,NO,Directly off a road with trailing and hoof action from animals,NA,Not Applicable,YES,New and old growth of willow and herbaceous species,YES,Obligates present,YES,Obligates present,YES,Deep rooted sedges present,YES,Green and vigorous,YES,98% ground coverage with some trailing from animals,NA,Not Applicable,YES/NO,Willows within the system but not near the springhead or pond area,YES,Not visible,YES,Standing water and presence of vigorous obligates,YES,standing water,NO,Lots of hoof action,NA,Not Applicable,PFC,obligates present and adequate ground cover to prevent accelerated erosion,MONITORED,,,,"Willow, iris, dandelion, timothy, water sedge, nebraska sedge, bluegrass, bull rush, arctic rush, pond weed, water loving grasses, FACW grasses, yarrow, cinquefoil, rabbit bush, thistle",NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,"Pond is choked with vegetation, Multiple sources around the valley bottom. Potentially fueling a wet meadow system. Cow, deer, elk, burrowers, flies, songbirds",,,,,2021/09/15 16:03:23+00,2022/01/13 15:44:18+00,{6346C385-EE14-48A0-88BE-77160F9691AA},,
330021.5341,4246182.5993,237,{09AE5873-6393-4BF3-98F2-368E4198A947},C-285,2020/06/30 00:00:00+00,CO,COS06000,C-285,Zone 5,,COMPLETE_RECON,3,riparian area supported by spring,Multiple helocrenes in a relatively flat and wide valley bottom that is edged by bedrock,Multiple helocrenes in a relatively flat and wide valley bottom. Evidence of human interaction through roads,SPRING_SEEP,HELOCRENE,,INTRUSIVE,PERENNIAL,Roads,,,YES,Standing water and presence of obligates,YES,Standing water and presence of obligates,YES,Achieved potential and may be shrinking due to encroaching sagebrush,NO,Directly off a road,YES,Obligates present,NO,"Current road directly off site and there is evidence of multiple roads no longer being used, some hoof action present",NA,Not Applicable,YES,New and old growth of willow and herbaceous species,YES,Obligates present,YES,Obligates present,YES,Deep rooted sedges present,YES,Green and vigorous obligates,YES,98% ground coverage,NA,Not Applicable,YES,Willows present,YES,Not visible,YES,Standing water and presence of vigorous obligates,YES,standing water and OBL,NO,roads and hoof action expose soil causing erosion and sedimentation.,NA,Not Applicable,PFC,,APPARENT,,PFC-LOW,LOW,"Willow, yarrow, cinquefoil, rabbitbrush, currant, dandelion, thistle (multiple kinds)  iris, water sedge, arctic rush, timothy, water loving grasses, FACW grasses, golden pea, cheatgrass",NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,"Cows  deer, elk, burrowing animals, songbirds. Cheatgrass along and in the roadway (heavy on the up valley eastern edge of the system)",,,,,2021/09/15 16:03:23+00,2022/01/13 15:44:18+00,{07B54595-B881-42CC-8B97-3187532D4E2C},,
324223.5854,4244010.2195,238,{E28EFA00-3187-4798-A9CA-B5755901E60D},F-273,2020/07/06 00:00:00+00,CO,COS06000,F-273,Zone 5,,COMPLETE_RECON,0.25,riparian area supported by spring,Helocrene emerging from a hillslope,Dugout stockpond on a hillslope fed by a helocrene,SPRING_SEEP,HELOCRENE,,INTRUSIVE,PERENNIAL,stockpond,,,YES,Standing water and presence of obligates,YES,Standing water and presence of obligates,YES,Achieved its potential,YES,Closed road upslope of the system but doesn't seem to be contributing,YES,Obligates present,NO,Hoof action,NA,Not Applicable,YES,New and old growth in willow and herbaceous species,YES,Obligates present,YES,Standing water and presence of old and new growth in willow and obligates,YES,Deep rooted sedges present,YES,Green and vigorous,YES,90% ground cover,NA,Not Applicable,YES,Shaded by large aspen,YES,Not visible,YES,Standing water and presence of new and old willow and obligates,YES,standing water,NO,Hoof action,NA,Not Applicable,PFC,,APPARENT,,PFC-UP,LOW,"Aspen, willow, water loving grasses, checkermallow, nebraska sedge, bull rush, wild rose, juniper, dandelion",NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,"Flies, chipmunk, bees, songbirds, grazing animals",,,,,2021/09/15 16:03:23+00,2022/01/13 15:44:18+00,{9E0960B2-8505-4C9C-A9D4-E075C89178FB},,
324460.4398,4245112.9671,239,{EFEA3C70-1415-42CA-9099-2B3BDDE800E5},A-556,2020/07/06 00:00:00+00,CO,COS06000,A-556,Zone 5,,COMPLETE_RECON,4,"Maybe an acre was fenced, but the system continues downvalley a substantial distance",Helocrene emerging from a light gradient slope in an aspen stand,"Helocrene emerging from a light gradient slope, impounded in concrete and piped to a trough in a stand of aspens",SPRING_SEEP,HELOCRENE,,INTRUSIVE,PERENNIAL,Trough and concrete stockpond,,,YES,Standing water/ponding with presence of obligate species and well established aspens,YES,"standing water in pond; obligate species. ",YES,Achieved altered potential,YES,Doesn't seem to be anything immediately above the system,YES,Obligates are present,NO,"Concrete impoundment structure with earthen berm, off an old road system, down valley of mining operation",NO,"No spillway, just overflowing impoundment structure",YES/NO,"Herbaceous- new and old growth of obligates and flowering plants, woody- no willows present but new and old growth of aspens",YES,Obligates present,YES,Vigorous obligates present along with new and old growth in aspens,YES,Deep rooted sedges present,YES,Green and vigorous obligates and aspen,YES,Near 100% ground cover below the system with some bare ground above the system and on the earthen berm,NA,Not Applicable,YES,Strong aspen presence,YES,Not visible,YES,Standing water and presence of strong obligates,YES,Standing water,YES,No excessive erosion or deposition,NA,Not Applicable,PFC,,APPARENT,,PFC-MID,LOW,"Aspen, thistle, yarrow, bluegrass, dandelion, water sedge, Arctic rush, iris, algae, horsetail, FACW grasses, wild rose, mustard",NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,"Songbirds, rodents, hummingbird. Leads to trough, trough is full and has little insects and things swimming in it. Pond completely choked with algae. Tree fallen on barbed wire fence",,,,,2021/09/15 16:03:23+00,2022/01/11 23:34:41+00,{5066CB10-6804-4E5B-B079-E2E311A27FCC},,
151341.6186,4314792.3241,240,{4E064197-32C3-4B77-8E42-9D21D27DC5B8},,2011/04/13 00:00:00+00,CO,COG01000,Spring Creek #3,,,,,,,,,,,,,,,,YES,,YES,,YES,,YES,,YES,,YES/NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES/NO,,YES,,YES,,YES,,YES,,NA,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,The spring source is up a steep slope covered with oakbrush. The source area is flatter with abundant willow and rushes. There appears to be historic mining near the source with bare soils on slopes. Erosion into the wetland area does not appear to be affecting it. The spring has been developed but doesn’t seem to be maintained. The lower portion near the road has been used heavily by cattle. There is substantial hoof action. The culvert across the road needs to be replaced. ,,,,,2016/05/23 12:00:05+00,2016/11/07 12:00:05+00,{4064114B-5A48-4C89-9EB2-546ABA81481E},,
327957.2512,4251069.3831,241,{A1AB6865-E727-4680-84D4-A6316185C787},C-260,2020/06/17 00:00:00+00,CO,COS06000,C-260,ZONE 5 ,,COMPLETE_RECON,1.5,riparian area supported by spring,Helocrene with multiple seeps in a valley bottom ,Helocrene with multiple seeps in a valley bottom inside an enclosure and piped to a trough outside the enclosure,SPRING_SEEP,HELOCRENE,,INTRUSIVE,PERENNIAL,"Spring box uncovered but has plants growing inside, Trough outside the enclosure only has a wooden wildlife ramp",,,YES,Standing water and presence of obligate species,YES,OBL & FACW,NO,Some drying due to piping water out of the system ,NO,Up valley drainage feeds directly into the system. Said drainage drains the road,YES,Obligate and FACW species are present,NO,"Spring box and diversion 
",NA,Not Applicable,YES,"New willow, Reproductive herbaceous species",YES,"Sedges, Rushes, Water loving plants",YES,Obligate and water loving species,YES,Deeprooted plants are present ,YES,All plants are vigorous and lush,YES,95% coverage ,NA,Not Applicable,YES,"Willow 
Juniper ",YES,No visible chemical impact,YES,"Ponding is present, Obligate species",YES,"Ponding is present, Obligate species",YES,No excessive erosion or deposition present,NA,Not Applicable,PFC,,APPARENT,,PFC-UP,LOW,"Checkermallow, Thistle, Bluegrass, Water sedge, Baltic rush, Water loving grasses, Yarrow, Silverweed, Willow, Juniper, Other flowers",NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,"Song birds, Insects, Bees, Butterfly",,,,,2021/02/22 21:17:32+00,2022/01/13 15:44:18+00,{4BBEF5E2-B464-4669-8DF9-5FB101792290},,
327865.351,4253146.4546,242,{10660FC2-BE16-4B6B-86CE-DB82A490D3FF},C-252,2020/06/17 00:00:00+00,CO,COS06000,C-252,Zone 5,,COMPLETE_RECON,0.25,riparian area supported by spring,Helocrene on a hillslope,Dugout stockpond fed by a helocrene on a hillslope,SPRING_SEEP,HELOCRENE,,INTRUSIVE,PERENNIAL,stockpond,,,YES,Standing water and presence of obligate species,YES,Standing water and presence of obligate species,YES,Achieved potential,YES,Road down valley doesn't affect the system and shows no signs of recent travel,YES,Presence of obligate species,NO,Hoof action,NA,Not Applicable,YES,New and old growth of willows and herbaceous species,YES,Presence of obligate species,YES,Presence of obligate species,YES,Deep rooted sedges,YES,Green and vigorous,YES,85% coverage,NA,Not Applicable,YES,Willows and juniper,YES,Not visible,YES,Standing water and obligate species present,YES,water ponding,YES,Some erosion from cut bank but not excessive and no deposition,NA,Not Applicable,PFC,,APPARENT,,PFC-UP,LOW,"Willow, juniper, bull rush, water sedge, duckweed, arctic rush, wild rose, cinquefoil, native FACW grasses, water loving grasses, yarrow, iris, lupine, other flowers",NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,"Dead deer, elk shed, mosquitoes, bees, deer, elk, cattle, aquatic insects, songbirds",,,,,2021/02/22 21:17:32+00,2022/01/13 15:44:18+00,{4ED504A0-1EFA-49AF-9B19-852247C54861},,
327147.9606,4251015.7915,243,{EFE15339-2AD5-48C0-A6EB-D1835ED107C4},C-300,2020/06/17 00:00:00+00,CO,COS06000,C-300,Zone 5,,COMPLETE_RECON,0.25,riparian area supported by spring,Helocrene on a hillslope in the sagebrush steppe,Dugout stockpond in the hillslope fed by a helocrene,SPRING_SEEP,HELOCRENE,,INTRUSIVE,PERENNIAL,Stockpond,,,YES,Standing water and presence of vigorous obligates,YES,Standing water and presence of vigorous obligates,YES,Achieved potential,YES,Not visible,YES,Presence of obligates,NO,There's a berm and slight hoof action,YES,No spillway but not necessary,YES/NO,No woody species but new and old growth of obligates,YES,Presence of obligates,YES,Presence of obligates,YES,Deep rooted sedges,YES,Green and vigorous,YES,95% coverage,NA,Not Applicable,NA,Rationale Not Recorded,YES, not visible,YES,Standing water,YES,standing water,NO,Hoof action,NA,Not Applicable,PFC,,APPARENT,,PFC-UP,LOW,"Bluegrass, cattail, bull rush, arctic rush, water sedge, nebraska sedge, pond weed, duck weed, water loving grasses, FACW grasses, lupine",NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,"Dragonflies, flies, burrowing critters, butterflies, deer, elk, cattle, songbird. Looks really good",,,,,2021/02/22 21:17:32+00,2022/01/25 23:14:01+00,{E93D7755-F9C6-4152-98D6-2182CD6E47E8},,
327165.162,4252444.1011,244,{001C7924-D7A3-444E-AB40-2405F5DD17AB},C-264,2020/06/16 00:00:00+00,CO,COS06000,C-264,Zone 5,,COMPLETE_RECON,1.25,riparian area supported by spring,Helocrene on the hillslope ,Two tiered stockpond dug into hillside fed by helocrene,SPRING_SEEP,HELOCRENE,,INTRUSIVE,PERENNIAL,stockpond,,,YES,Ponding at the surface and numerous lush obligate species present,YES,Standing at the surface and numerous lush obligate species present,NO,"Lower stock pond is dry, but the system will not expand into the neighboring sagebrush",YES,Watershed / upslope is without impairment,YES,Obligate and FACW species present,YES,"Two earthen berms creating two stock ponds, Hoof action is also present",YES,Spillway is present and working ,YES,New willows and reproductive herbaceous species,YES,"Sedges, Rushes, Water loving grass, Willow",YES,Obligate species ,YES,Lots of sedges are present,YES,All plants exhibit high vigor,YES,95% coverage by plants,NA,Not Applicable,YES,Willows and juniper are present ,YES,No visible chemical presence,YES,"Ponding present, Obligate species present",YES,ponding water,NO,Hoof action,NA,Not Applicable,PFC,,APPARENT,,PFC-UP,LOW,"Water sedge, Arctic rush, Spike rush, Willow, Juniper, Native grasses, Water loving grasses, Iris, Wild rose, Checkermallow, Yarrow, Thistle",NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,"Butterflies, Flies, Cows, Song birds",,,,,2021/02/22 21:17:32+00,2022/01/11 23:34:42+00,{C79F3E99-8EE1-4376-A35F-1ABDDC25844E},,
327762.5643,4251668.6767,245,{66027AC5-F422-4B49-9329-B950DE77BD20},C-263,2020/06/16 00:00:00+00,CO,COS06000,C-263,Zone 5,,COMPLETE_RECON,0.25,riparian area supported by spring,Helocrene on a hillslope,"Helocrene on a hillslope, dug into the hillside a bit, no berm",SPRING_SEEP,HELOCRENE,,INTRUSIVE,PERENNIAL,Dug into hillside,,,YES,Standing water and presence of obligate species,YES,Standing water and presence of obligate species,YES,Achieved potential,YES,Not visible,YES,Obligate species are present,NO,Dug into hillside,NA,Not Applicable,YES/NO,"No new willow, new herbaceous species throughout",YES,Obligate species present,YES,Obligate species present,YES,Deep rooted sedges,YES,Green and vigorous,YES,100% land cover,NA,Not Applicable,YES,Willlow and juniper,YES,Not visible,YES,Standing water,YES,standing water,YES,No erosion or deposition,NA,Not Applicable,PFC,,APPARENT,,PFC-UP,LOW,"Willow, juniper, cinquefoil, arctic rush, water sedge, wild rose, thistle, bluegrass, checkermallow, waterloving grasses, yarrow, iris",NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,"Birds, bees, flies, cows, elk",,,,,2021/02/22 21:17:32+00,2022/01/13 15:44:18+00,{E6E662F9-7985-42A6-AC31-FCC1FAA36178},,
329474.5126,4253018.5896,246,{7B6393A2-646C-4FB5-A95F-3B163D7FD4F9},C-257,2020/06/16 00:00:00+00,CO,COS06000,C-257,Zone 5,,COMPLETE_RECON,2,riparian area supported by spring,Helocrene emerging from rocks feeding a rocky stream,N/a road at the bottom,SPRING_SEEP,HELOCRENE,,INTRUSIVE,PERENNIAL,None,,,YES,Standing water and presence of obligate species,YES,Standing water and presence of obligate species,YES,Achieved potential,YES,Not visible,YES,Presence of obligate species,YES,Minimal hoof action,NA,Not Applicable,YES,New willows and the grasses are flowering and seeding,YES,Obligate species present,YES,Obligate species present,YES,Deep rooted sedges,YES,Green and vigorous,YES,Near 100% ground coverage,NA,Not Applicable,YES,Willow,YES,Not visible,YES,Standing water,YES,flowing water,YES,"No erosion or deposition, slight hoof action",NA,Not Applicable,PFC,,APPARENT,,PFC-UP,LOW,"Nettle, willow, bluegrass, thistle, checkermallow, cow parsnip, water loving grasses, currant, native grasses, water sedge, cheatgrass, dandelion, rushes",NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,"Elk, cows, ants, songbirds, bees, flies",,,,,2021/02/22 21:17:32+00,2022/01/13 15:44:18+00,{7B80AB31-23A9-4AD0-B756-5C14F42003B8},,
324350.383,4254652.9009,247,{90C42BD9-36FD-4F0E-8CBA-9F88CF957AE4},C-141,2020/06/16 00:00:00+00,CO,COS06000,C-141,Zone 5,,COMPLETE_RECON,1.5,riparian area supported by spring,Helocrene in a seasonal drainage,Helocrene in a seasonal drainage,SPRING_SEEP,HELOCRENE,,INTRUSIVE,PERENNIAL,None,,,YES,Standing water,YES,Standing water and presence of obligates,YES,Achieved potential,YES,Rationale Not Recorded,YES,Presence of obligates,NO,Lots of hoof action,NA,Not Applicable,YES,New herbaceous species. no new willow but new aspen growth,YES,Presence of obligate species,YES,Presence of obligate species,YES,Deep rooted sedges,NO,Green but sparse,YES,65% with all the trailing,NA,Not Applicable,YES,"Willow, aspen",YES,Not visible,YES,Presence of obligates,YES,standing water and obligates,NO,Lots of grazing causing sedimentation,NA,Not Applicable,PFC,,APPARENT,,PFC-LOW,LOW,"Aspen, willow, yarrow, bluegrass, clover, nettle, currant, arctic rush, sedges",NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,"Presence of cows, chipmunk, flies, songbirds, dragonfly, ants, sage grouse. Heavy grazing activity",,,,,2021/02/22 21:17:32+00,2022/01/25 20:54:53+00,{946EC6E6-E84F-4F41-96F0-4C688D3609C8},,
323529.9122,4255273.6159,248,{CA36AB87-26A0-4D81-A3C3-939828F5719D},C-781,2020/06/16 00:00:00+00,CO,COS06000,C-781,Zone 5,,COMPLETE_RECON,0.5,riparian area supported by spring,Helocrene emerging on a hillslope beneath a rock outcropping and contributing to a small rocky drainage,Same as potential except bottom-most part is cut by the road,SPRING_SEEP,HELOCRENE,,INTRUSIVE,PERENNIAL,Road,,,YES,"Moist ground, obligate species ",YES,"Moist ground, obligate species",YES,"Potential extent has been achieved, no sagebrush encroachment",YES,Local watershed does not contribute impairments ,YES,"Obligate, and FACW species present, Water loving plants",YES,No major disturbances are present ,NA,Not Applicable,YES/NO,"No new woody, Reproductive herbaceous species",YES,multiple Obligate species,YES,Obligate species are present ,YES,Deep rooted plants are present ,YES,All plants are lush ,YES,"100% land cover, lots of grasses and clover",NA,Not Applicable,YES,Juniper and willow are present and provide shade to the system ,YES,No visible chemical presence,YES,Soils are moist and support obligate species,YES,standing water and obligate species,YES,No erosion or deposition,NA,Not Applicable,PFC,,APPARENT,,PFC-UP,LOW,"Golden pea, Juniper, Willow, Wild rose, Thistle, Yarrow, Clover, Water loving plants, Arctic rush, Horsetail, Bluegrass, Native grasses, Currant, Dogwood",NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,"Sage grouse scat, Songbirds, Cow, Bees, Flies, Chipmunk, Deer/elk, Jackrabbit",,,,,2021/02/22 21:17:32+00,2022/01/13 15:44:18+00,{CA320802-11BF-4405-9A36-C46EE2FFDDAE},,
322662.7888,4258865.3899,249,{33A6C7B3-D62A-4B55-91AF-3297AF7A7AAA},C-790,2020/06/15 00:00:00+00,CO,COS06000,C-790,Zone 5,,COMPLETE_RECON,0.25,riparian area supported by spring,Helocrene emerging from a hillslope beneath a rock outcropping,"Stockpond on a hillslope. Previously fenced and piped to trough, now open to cattle",SPRING_SEEP,HELOCRENE,,INTRUSIVE,PERENNIAL,stockpond,,,YES,Standing water and presence of obligate species,YES,Standing water and presence of obligate species,YES,Reached potential,YES,No visible impairments,YES,Obligate species,NO,Hoof action and earthen berm,NA,Not Applicable,NO,No willow but there is herbaceous plant reproductivity,YES,"Rushes, sedges, water loving grasses",YES,Obligate species present,YES,Deep rooted sedges present,YES,Fairly green,YES,85% coverage,NA,Not Applicable,NA,Rationale Not Recorded,YES,Not visible,YES,Presence of obligate species,YES,Standing water present,NO,erosion from cattle trailing,NA,Not Applicable,PFC,OBL species and spring heads intact,APPARENT,,PFC-MID,LOW,"Rabbit brush, yarrow, cheat grass, sedges, bull rush, pondweed, water loving grass, thistle, Kentucky bluegrass. Quite a bit of cheat grass",NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,"Presence of cow, butterflies, water skimmers, flies, insects. Trough is dry. There is a fence but no gate (fencing is in poor shape). Springbox is not functioning",,,,,2021/02/22 21:17:32+00,2022/01/25 23:14:01+00,{2B0C67FC-95B9-4C0C-95DD-F7F2A9D5DD03},,
324157.5876,4259439.2705,250,{ED868044-1355-4C0B-BFC4-A809ECE7CD47},C-793,2020/06/15 00:00:00+00,CO,COS06000,C-793,Zone 5,,COMPLETE_RECON,0.5,riparian area supported by spring,Helocrene with multiple sources in a drainage where there is a change in slope,Helocrene emerging from multiple sources fed to a trough and heavily impacted by livestock,SPRING_SEEP,HELOCRENE,,INTRUSIVE,INTERMITTENT,Trough,,,YES,Water present and FACW species along with a few obligate species,YES,Some obligate species present along with presence of moss,NO,Significant headcutting up valley,NO,"Road within 10 feet of the system, no major impairments in local watershed, Adjacent slopes with trailing and consequent erosion and sedimentation",YES,FACW and OBL vegetation,NO,Lots of hoof prints leading to bare ground along with the diversion pipe to the water trough. Could have been dug out as well,NA,Not Applicable,YES,Vascular evidence of reproduction on facw and obligate species. Established and some new growth of willow,YES,Presence of obligate species along with willow,YES,Obligate and fac wet present,YES,Obligate and willow are present and stable,NO,Pretty green but slow growing and trampled,NO,Soil coverage is about 60% and there is quite a bit of erosion due to livestock,NA,Not Applicable,YES,Multiple types of willow and juniper are present,YES,No visible chemical presence,YES,Soil is saturated with obligate species present,YES,Obligate species present along with standing/ponding water,NO,There is headcutting and significant erosion surrounding soils. Knick point above the system where the road drains into system. There's trailing in and slightly upslope of the system,NA,Not Applicable,PFC,,APPARENT,,PFC-LOW,LOW,"Willows (2 types), juniper, wild rose, cinquefoil, currant, yarrow, horsetails, Arctic rush, thistle, wheatgrass, water sedge, nettles",NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,"Chipmunk, crow, magpie, song birds, cows, butterfly, insects, Significant hoof action leading to destabilized banks, Trough missing wildlife ramp",,,,,2021/02/22 21:17:32+00,2022/01/13 15:44:18+00,{34F9B666-B8A0-4AB9-B8A2-19BCAA78D9E0},,
