Year,OSHPD_ID,Facility Name,County,Type of Ownership,Hospital Type,Teaching,Small/Rural,Licensed Beds,Available Beds,Staffed Beds,Patient Days by Payer,Total Patient Days,Total Patient Days Percent,Payer,LTC Patient Days,Location
2010,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES,ALAMEDA,Non-Profit,Comparable,,,527,510,353,$37781.00,128244,29.5%,Other 3rd Party (Private Ins.),8160,"BERKELEY, California
(37.869058, -122.270455)"
2015,106274043,NATIVIDAD MEDICAL CENTER,Monterey,City/County,Comparable,,,172,137,137,$40.00,39499,0.1%,County/Other Indigent,0,"SALINAS, California
(36.676795, -121.656421)"
2011,106331326,SAN GORGONIO MEMORIAL HOSPITAL,Riverside,District,Comparable,,Rural,77,77,77,$95.00,13774,0.7%,County/Other Indigent,0,"BANNING, California
(33.925467, -116.876725)"
2012,106141273,NORTHERN INYO HOSPITAL,Inyo,District,Comparable,,Rural,25,25,7,$62.00,2434,2.5%,County/Other Indigent,0,"BISHOP, California
(37.361412, -118.39527)"
2013,106190525,LONG BEACH MEMORIAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,Teaching,,462,462,293,$25017.00,97633,25.6%,Other 3rd Party (Private Ins.),0,"LONG BEACH, California
(33.767168, -118.193723)"
2015,106190883,WHITTIER HOSPITAL MEDICAL CENTER,Los Angeles,Investor,Comparable,,,178,178,178,$131.00,36441,0.4%,County/Other Indigent,0,"WHITTIER, California
(33.967318, -118.048051)"
2011,106190150,KEDREN COMMUNITY MENTAL HEALTH CENTER,Los Angeles,Non-Profit,Comparable,,,72,72,72,$25679.00,25679,100%,Other 3rd Party (Private Ins.),0,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106361166,MONTCLAIR HOSPITAL MEDICAL CENTER,San Bernardino,Investor,Comparable,,,102,102,102,$228.00,11598,2%,County/Other Indigent,0,"MONTCLAIR, California
(34.077674, -117.693908)"
2015,106190680,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER-SAN PEDRO,Los Angeles,Non-Profit,Comparable,,,356,324,324,$261.00,76012,0.3%,County/Other Indigent,39084,"SAN PEDRO, California
(33.735802, -118.291397)"
2013,106190587,COLLEGE MEDICAL CENTER,Los Angeles,Investor,Comparable,,,157,157,157,$330.00,31050,1.1%,County/Other Indigent,0,"LONG BEACH, California
(33.767168, -118.193723)"
2013,106444029,TELECARE SANTA CRUZ PHF,Santa Cruz,Investor,Psychiatric Health Facilities,,,16,16,16,$38.00,145,26.2%,County/Other Indigent,0,"SANTA CRUZ, California
(36.97414, -122.028795)"
2014,106350784,HAZEL HAWKINS MEMORIAL HOSPITAL,San Benito,District,Comparable,,Rural,181,159,127,$25.00,43290,0.1%,County/Other Indigent,36254,"HOLLISTER, California
(36.852513, -121.402063)"
2013,106190020,BHC ALHAMBRA HOSPITAL,Los Angeles,Investor,Comparable,,,97,97,82,$27.00,30403,0.1%,County/Other Indigent,0,"ROSEMEAD, California
(34.080676, -118.077638)"
2010,106342344,KAISER FND HOSPITAL - SOUTH SACRAMENTO,SACRAMENTO,Non-Profit,Kaiser Foundation Health,,,161,161,151,$38.00,41550,0.1%,County/Other Indigent,0,"SACRAMENTO, California
(38.582087, -121.50012)"
2014,106450940,SHASTA REGIONAL MEDICAL CENTER,Shasta,Investor,Comparable,,,246,246,246,$56.00,29800,0.2%,County/Other Indigent,0,"REDDING, California
(40.574637, -122.38109)"
2012,106491001,PETALUMA VALLEY HOSPITAL,Sonoma,Non-Profit,Comparable,,,80,59,28,$859.00,9298,9.2%,County/Other Indigent,0,"PETALUMA, California
(38.232474, -122.636846)"
2015,106190470,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER-TORRANCE,Los Angeles,Non-Profit,Comparable,,,442,418,418,$710.00,97981,0.7%,County/Other Indigent,23319,"TORRANCE, California
(33.836318, -118.340038)"
2015,106334564,TEMECULA VALLEY HOSPITAL,Riverside,Investor,Comparable,,,140,140,140,$32.00,25364,0.1%,County/Other Indigent,0,"TEMECULA, California
(33.493399, -117.148787)"
2015,106190517,PROVIDENCE TARZANA MEDICAL CENTER,Los Angeles,Investor,Comparable,,,245,245,201,$177.00,55988,0.3%,County/Other Indigent,0,"TARZANA, California
(34.173302, -118.553101)"
2012,106420514,SANTA BARBARA COTTAGE HOSPITAL,Santa Barbara,Non-Profit,Comparable,Teaching,,408,351,351,$27216.00,83311,32.7%,Other 3rd Party (Private Ins.),0,"SANTA BARBARA, California
(34.420867, -119.698342)"
2013,106190429,KAISER FDN HOSP - LOS ANGELES,Los Angeles,Non-Profit,Kaiser Foundation Health,Teaching,,464,464,399,$5.00,113068,0%,County/Other Indigent,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106100697,COALINGA REGIONAL MEDICAL CENTER,Fresno,District,Comparable,,Rural,123,116,90,$24.00,27380,0.1%,County/Other Indigent,26462,"COALINGA, California
(36.139801, -120.360264)"
2012,106491076,SONOMA VALLEY HOSPITAL,Sonoma,District,Comparable,,,83,65,45,$207.00,12617,1.6%,County/Other Indigent,0,"SONOMA, California
(38.291962, -122.458003)"
2013,106190762,ST. VINCENT MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,366,333,333,$187.00,50815,0.4%,County/Other Indigent,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106010967,ST. ROSE HOSPITAL,Alameda,Non-Profit,Comparable,,,217,195,195,$725.00,26729,2.7%,County/Other Indigent,0,"HAYWARD, California
(37.672111, -122.083963)"
2012,106190949,HENRY MAYO NEWHALL MEMORIAL HOSPITAL,Los Angeles,Non-Profit,Comparable,,,238,232,144,$26423.00,53190,49.7%,Medicare,0,"VALENCIA, California
(34.389444, -118.564722)"
2012,106301379,WEST ANAHEIM MEDICAL CENTER,Orange,Investor,Comparable,,,219,219,219,$23801.00,33846,70.3%,Medicare,0,"ANAHEIM, California
(33.834492, -117.915638)"
2015,106204019,VALLEY CHILDREN'S HOSPITAL,Madera,Non-Profit,Comparable,,,356,356,222,$34.00,75490,0%,County/Other Indigent,0,"MADERA, California
(36.961961, -120.059585)"
2014,106500967,OAK VALLEY DISTRICT HOSPITAL,Stanislaus,District,Comparable,,Rural,150,144,144,$20.00,40802,0%,County/Other Indigent,0,"OAKDALE, California
(37.76861, -120.849475)"
2012,106370977,POMERADO HOSPITAL,San Diego,District,Comparable,,,236,236,185,$702.00,67029,1%,County/Other Indigent,43019,"POWAY, California
(32.986369, -117.023491)"
2011,106250956,MODOC MEDICAL CENTER,Modoc,City/County,Comparable,,Rural,87,87,49,$17.00,17908,0.1%,County/Other Indigent,16486,"ALTURAS, California
(41.490967, -120.542538)"
2013,106190766,COAST PLAZA HOSPITAL,Los Angeles,Investor,Comparable,,,117,105,105,$140.00,13682,1%,County/Other Indigent,0,"NORWALK, California
(33.914183, -118.072494)"
2014,106340950,MERCY SAN JUAN HOSPITAL,Sacramento,Non-Profit,Comparable,,,370,370,370,$24794.00,106813,23.2%,Other 3rd Party (Private Ins.),0,"CARMICHAEL, California
(38.636604, -121.327265)"
2010,106560492,LOS ROBLES REGIONAL MEDICAL CENTER,VENTURA,Investor,Comparable,,,359,277,277,$337.00,79053,0.4%,County/Other Indigent,0,"THOUSAND OAKS, California
(34.176083, -118.848743)"
2015,106331293,PARKVIEW COMMUNITY HOSPITAL,Riverside,Non-Profit,Comparable,,,193,193,120,$14.00,42116,0%,County/Other Indigent,0,"RIVERSIDE, California
(33.980534, -117.377025)"
2014,106010967,ST. ROSE HOSPITAL,Alameda,Non-Profit,Comparable,,,217,195,195,$533.00,24779,2.2%,County/Other Indigent,0,"HAYWARD, California
(37.672111, -122.083963)"
2012,106380857,KAISER FDN HOSP - GEARY (S.F.),San Francisco,Non-Profit,Kaiser Foundation Health,Teaching,,247,247,178,$24778.00,50492,49.1%,Other 3rd Party (Private Ins.),0,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2015,106420514,SANTA BARBARA COTTAGE HOSPITAL,Santa Barbara,Non-Profit,Comparable,Teaching,,450,363,255,$27328.00,86311,31.7%,Other 3rd Party (Private Ins.),0,"SANTA BARBARA, California
(34.420867, -119.698342)"
2010,106301097,ANAHEIM GENERAL HOSPITAL,ORANGE,Investor,Comparable,,,143,126,126,$488.00,11620,4.2%,County/Other Indigent,0,"ANAHEIM, California
(33.834492, -117.915638)"
2014,106334564,TEMECULA VALLEY HOSPITAL,Riverside,Investor,Comparable,,,140,140,140,$107.00,14270,0.7%,County/Other Indigent,0,"TEMECULA, California
(33.493399, -117.148787)"
2012,106380842,JEWISH HOME,San Francisco,Non-Profit,LTC Emphasis,,,491,375,357,$182.00,129657,0.1%,County/Other Indigent,126384,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2014,106121002,MAD RIVER COMMUNITY HOSPITAL,Humboldt,Investor,Comparable,,,78,46,42,$179.00,8326,2.1%,County/Other Indigent,0,"ARCATA, California
(40.868186, -124.090548)"
2010,106160787,CENTRAL VALLEY GENERAL HOSPITAL,KINGS,Investor,Comparable,,,49,45,30,$569.00,10953,5.2%,County/Other Indigent,0,"HANFORD, California
(36.327726, -119.645914)"
2012,106034002,SUTTER AMADOR HOSPITAL,Amador,Non-Profit,Comparable,,Rural,52,52,52,$446.00,8186,5.4%,County/Other Indigent,0,"JACKSON, California
(38.347604, -120.772295)"
2015,106341006,UNIVERSITY OF CALIFORNIA - DAVIS MEDICAL CENTER,Sacramento,Non-Profit,Comparable,Teaching,,619,589,589,$48459.00,177481,27.3%,Other 3rd Party (Private Ins.),0,"SACRAMENTO, California
(38.582087, -121.50012)"
2010,106300032,CHILDRENS HOSPITAL OF ORANGE COUNTY,ORANGE,Non-Profit,Comparable,,,235,235,235,$22634.00,59310,38.2%,Other 3rd Party (Private Ins.),0,"ORANGE, California
(33.791489, -117.853096)"
2015,106190555,CEDARS-SINAI MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,Teaching,,886,865,865,$1.00,248425,0%,County/Other Indigent,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2011,106361370,VICTOR VALLEY COMMUNITY HOSPITAL,San Bernardino,Investor,Comparable,,Rural,101,101,101,$369.00,19643,1.9%,County/Other Indigent,0,"VICTORVILLE, California
(34.5121, -117.323632)"
2012,106420514,SANTA BARBARA COTTAGE HOSPITAL,Santa Barbara,Non-Profit,Comparable,Teaching,,408,351,351,$839.00,83311,1%,County/Other Indigent,0,"SANTA BARBARA, California
(34.420867, -119.698342)"
2012,106190170,CHILDREN'S HOSPITAL - LOS ANGELES,Los Angeles,Non-Profit,Comparable,Teaching,,603,347,347,$229.00,99566,0.2%,County/Other Indigent,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106514030,SUTTER SURGICAL HOSPITAL-NORTH VALLEY,Sutter,Non-Profit,Comparable,,,14,14,14,$15.00,1442,1%,County/Other Indigent,0,"YUBA CITY, California
(39.13222, -121.625147)"
2012,106070990,KAISER FDN HOSP - WALNUT CREEK,Contra Costa,Non-Profit,Kaiser Foundation Health,,,233,233,232,$22521.00,53274,42.3%,Other 3rd Party (Private Ins.),0,"WALNUT CREEK, California
(37.901763, -122.061921)"
2015,106481357,NORTHBAY MEDICAL CENTER,Solano,Non-Profit,Comparable,,,182,182,182,$183.00,36384,0.5%,County/Other Indigent,0,"FAIRFIELD, California
(38.251488, -122.049851)"
2014,106430779,GOOD SAMARITAN HOSPITAL - SAN JOSE,Santa Clara,Investor,Comparable,,,474,376,361,$83.00,81019,0.1%,County/Other Indigent,0,"SAN JOSE, California
(37.334807, -121.888128)"
2012,106370744,SCRIPPS MERCY HOSPITAL,San Diego,Non-Profit,Comparable,Teaching,,684,643,428,$66333.00,153229,43.3%,Medicare,0,"SAN DIEGO, California
(32.71576, -117.163817)"
2012,106430905,STANFORD UNIVERSITY HOSPITAL,Santa Clara,Non-Profit,Comparable,Teaching,,613,466,466,$62025.00,141344,43.9%,Medicare,0,"PALO ALTO, California
(37.445103, -122.160363)"
2015,106560529,ST. JOHN'S REGIONAL MEDICAL CENTER,Ventura,Non-Profit,Comparable,,,265,265,153,$130.00,57375,0.2%,County/Other Indigent,0,"OXNARD, California
(34.197663, -119.175947)"
2011,106361110,BEAR VALLEY COMMUNITY HOSPITAL,San Bernardino,District,Comparable,,Rural,30,24,26,$29.00,8284,0.4%,County/Other Indigent,7529,"BIG BEAR LAKE, California
(34.243516, -116.899432)"
2013,106190256,EAST LOS ANGELES DOCTOR'S HOSPITAL,Los Angeles,Investor,Comparable,,,127,127,127,$401.00,16444,2.4%,County/Other Indigent,8526,"LOS ANGELES, California
(34.052238, -118.243344)"
2015,106371256,SCRIPPS GREEN HOSPITAL,San Diego,Non-Profit,Comparable,,,173,173,103,$193.00,36984,0.5%,County/Other Indigent,0,"LA JOLLA, California
(32.847198, -117.2733)"
2012,106010739,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMPUS,Alameda,Non-Profit,Comparable,,,458,458,458,$47533.00,124169,38.3%,Other 3rd Party (Private Ins.),0,"BERKELEY, California
(37.869058, -122.270455)"
2015,106481094,SUTTER MEDICAL CENTER - SOLANO,Solano,Non-Profit,Comparable,,,102,102,61,$115.00,18204,0.6%,County/Other Indigent,0,"VALLEJO, California
(38.101088, -122.254959)"
2010,106560525,SIMI VALLEY HOSPITAL & HEALTH SERVICES-SYCAMORE,VENTURA,Non-Profit,Comparable,,,201,177,150,$382.00,30530,1.3%,County/Other Indigent,4214,"SIMI VALLEY, California
(34.286321, -118.712804)"
2014,106420483,GOLETA VALLEY COTTAGE HOSPITAL,Santa Barbara,Non-Profit,Comparable,,,122,80,80,$26.00,14043,0.2%,County/Other Indigent,0,"SANTA BARBARA, California
(34.420867, -119.698342)"
2012,106300032,CHILDREN'S HOSPITAL - ORANGE COUNTY,Orange,Non-Profit,Comparable,,,238,238,238,$22925.00,58912,38.9%,Other 3rd Party (Private Ins.),0,"ORANGE, California
(33.791489, -117.853096)"
2012,106531059,TRINITY HOSPITAL,Trinity,District,Comparable,,Rural,51,51,40,$71.00,8970,0.8%,County/Other Indigent,7191,"WEAVERVILLE, California
(40.732757, -122.940515)"
2014,106410852,MILLS-PENINSULA MEDICAL CENTER,San Mateo,Non-Profit,Comparable,,,301,301,187,$731.00,58317,1.3%,County/Other Indigent,0,"BURLINGAME, California
(37.584195, -122.366265)"
2014,106150782,RIDGECREST REGIONAL HOSPITAL,Kern,Non-Profit,Comparable,,Rural,98,98,32,$76.00,11661,0.7%,County/Other Indigent,0,"RIDGECREST, California
(35.620715, -117.670069)"
2011,106301342,ST. JUDE MEDICAL CENTER,Orange,Non-Profit,Comparable,,,384,382,285,$22995.00,78270,29.4%,Other 3rd Party (Private Ins.),0,"FULLERTON, California
(33.870345, -117.924302)"
2013,106010856,KAISER FDN HOSP - OAKLAND CAMPUS,Alameda,Non-Profit,Kaiser Foundation Health,Teaching,,391,391,233,$27741.00,60920,45.5%,Other 3rd Party (Private Ins.),0,"OAKLAND, California
(37.804828, -122.27248)"
2012,106190762,ST. VINCENT MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,366,333,333,$53.00,42836,0.1%,County/Other Indigent,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106331288,PALO VERDE HOSPITAL,Riverside,District,Comparable,,Rural,51,42,30,$135.00,3766,3.6%,County/Other Indigent,0,"BLYTHE, California
(33.610437, -114.596827)"
2012,106514001,SUTTER-YUBA - PHF,Sutter,City/County,Psychiatric Health Facilities,,,16,16,16,$152.00,3290,4.6%,County/Other Indigent,0,"YUBA CITY, California
(39.13222, -121.625147)"
2013,106270744,COMMUNITY HOSPITAL OF MONTEREY PENINSULA,Monterey,Non-Profit,Comparable,,,259,209,209,$623.00,50887,1.2%,County/Other Indigent,0,"MONTEREY, California
(36.596808, -121.897127)"
2013,106474007,FAIRCHILD MEDICAL CENTER,Siskiyou,Non-Profit,Comparable,,Rural,28,25,25,$206.00,5285,3.9%,County/Other Indigent,0,"YREKA, California
(41.731582, -122.635649)"
2014,106190708,SHERMAN OAKS HOSPITAL & HEALTH CENTER,Los Angeles,Non-Profit,Comparable,,,153,153,153,$88.00,30604,0.3%,County/Other Indigent,0,"SHERMAN OAKS, California
(34.1511, -118.448303)"
2014,106201281,MADERA COMMUNITY HOSPITAL,Madera,Non-Profit,Comparable,,,106,106,44,$34.00,16906,0.2%,County/Other Indigent,0,"MADERA, California
(36.961961, -120.059585)"
2013,106410891,SEQUOIA HOSPITAL,San Mateo,Non-Profit,Comparable,,,189,150,62,$47.00,21789,0.2%,County/Other Indigent,0,"REDWOOD CITY, California
(37.484778, -122.22815)"
2013,106231396,UKIAH VALLEY MEDICAL CENTER,Mendocino,Non-Profit,Comparable,,Rural,67,48,48,$914.00,11669,7.8%,County/Other Indigent,0,"UKIAH, California
(39.149997, -123.207635)"
2014,106100899,ST. AGNES MEDICAL CENTER,Fresno,Non-Profit,Comparable,,,436,436,436,$402.00,85266,0.5%,County/Other Indigent,0,"FRESNO, California
(36.731654, -119.785856)"
2013,106190170,CHILDREN'S HOSPITAL - LOS ANGELES,Los Angeles,Non-Profit,Comparable,Teaching,,603,347,347,$150.00,102642,0.1%,County/Other Indigent,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2015,106504081,TELECARE STANISLAUS COUNTY  PHF,Stanislaus,Investor,Psychiatric Health Facilities,,,16,16,16,$904.00,4809,18.8%,County/Other Indigent,0,"CERES, California
(37.593215, -120.955691)"
2012,106196405,PALMDALE REGIONAL MEDICAL CENTER,Los Angeles,Investor,Comparable,,,157,157,157,$18615.00,34993,53.2%,Medicare,0,"PALMDALE, California
(34.576469, -118.116103)"
2012,106190475,COMMUNITY HOSPITAL OF LONG BEACH,Los Angeles,Non-Profit,Comparable,,,208,158,55,$451.00,17716,2.5%,County/Other Indigent,0,"LONG BEACH, California
(33.767168, -118.193723)"
2013,106270875,SALINAS VALLEY MEMORIAL HOSPITAL,Monterey,District,Comparable,,,269,233,136,$400.00,46690,0.9%,County/Other Indigent,0,"SALINAS, California
(36.676795, -121.656421)"
2015,106084001,SUTTER COAST HOSPITAL,Del Norte,Non-Profit,Comparable,,Rural,49,49,23,$84.00,6797,1.2%,County/Other Indigent,0,"CRESCENT CITY, California
(41.754772, -124.204373)"
2011,106270777,GEORGE L. MEE MEMORIAL HOSPITAL,Monterey,Non-Profit,Comparable,,Rural,119,119,119,$238.00,29561,0.8%,County/Other Indigent,6172,"KING CITY, California
(36.21432, -121.123656)"
2010,106211006,MARIN GENERAL HOSPITAL,MARIN,Non-Profit,Comparable,,,235,150,150,$21014.00,43030,48.8%,Medicare,0,"GREENBRAE, California
(37.948611, -122.524722)"
2012,106400466,ARROYO GRANDE COMMUNITY HOSPITAL,San Luis Obispo,Non-Profit,Comparable,,,67,67,58,$132.00,12570,1.1%,County/Other Indigent,1031,"ARROYO GRANDE, California
(35.124098, -120.576388)"
2011,106190323,GLENDALE ADVENTIST MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,457,414,298,$62650.00,110183,56.9%,Medicare,0,"GLENDALE, California
(34.148138, -118.246437)"
2010,106311000,SUTTER ROSEVILLE MEDICAL CENTER,PLACER,Non-Profit,Comparable,,,313,313,313,$22599.00,77537,29.1%,Other 3rd Party (Private Ins.),0,"ROSEVILLE, California
(38.74806, -121.285202)"
2012,106070988,JOHN MUIR MEDICAL CTR-WALNUT CREEK,Contra Costa,Non-Profit,Comparable,,,572,399,236,$307.00,88361,0.3%,County/Other Indigent,0,"WALNUT CREEK, California
(37.901763, -122.061921)"
2013,106190198,LOS ANGELES COMMUNITY HOSPITAL,Los Angeles,Investor,Comparable,,,180,180,180,$45.00,53008,0.1%,County/Other Indigent,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2015,106150722,BAKERSFIELD MEMORIAL HOSPITAL,Kern,Non-Profit,Comparable,,,426,403,403,$317.00,67338,0.5%,County/Other Indigent,0,"BAKERSFIELD, California
(35.373405, -119.018911)"
2013,106370673,RADY CHILDREN'S HOSPITAL-SAN DIEGO,San Diego,Non-Profit,Comparable,Teaching,,520,382,310,$36230.00,87076,41.6%,Other 3rd Party (Private Ins.),13729,"SAN DIEGO, California
(32.71576, -117.163817)"
2010,106361318,SAN ANTONIO COMMUNITY HOSPITAL,SAN BERNARDINO,Non-Profit,Comparable,,,279,279,279,$30973.00,55818,55.5%,Other 3rd Party (Private Ins.),0,"UPLAND, California
(34.099737, -117.650985)"
2011,106334025,KAISER FDN HOSP - RIVERSIDE,Riverside,Non-Profit,Kaiser Foundation Health,,,222,222,155,$26529.00,50302,52.7%,Other 3rd Party (Private Ins.),0,"RIVERSIDE, California
(33.980534, -117.377025)"
2014,106364430,BARSTOW COMMUNITY HOSPITAL,San Bernardino,Investor,Comparable,,Rural,30,30,30,$5.00,6610,0.1%,County/Other Indigent,0,"BARSTOW, California
(34.899659, -117.02405)"
2011,106361166,MONTCLAIR HOSPITAL MEDICAL CENTER,San Bernardino,Investor,Comparable,,,102,102,102,$101.00,14583,0.7%,County/Other Indigent,0,"MONTCLAIR, California
(34.077674, -117.693908)"
2010,106364144,DESERT VALLEY HOSPITAL,SAN BERNARDINO,Investor,Comparable,,,83,83,83,$342.00,25168,1.4%,County/Other Indigent,0,"VICTORVILLE, California
(34.5121, -117.323632)"
2015,106190081,BEVERLY HOSPITAL,Los Angeles,Non-Profit,Comparable,,,224,185,105,$46.00,36726,0.1%,County/Other Indigent,0,"MONTEBELLO, California
(34.019457, -118.116473)"
2010,106204019,CHILDRENS HOSPITAL OF CENTRAL CALIFORNIA,MADERA,Non-Profit,Comparable,,,339,338,339,$21452.00,80195,26.7%,Other 3rd Party (Private Ins.),0,"MADERA, California
(36.961961, -120.059585)"
2011,106190555,CEDARS-SINAI MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,Teaching,,947,892,892,$132607.00,265724,49.9%,Medicare,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2011,106301357,NEWPORT SPECIALTY HOSPITAL,Orange,Investor,Comparable,,,177,109,57,$12.00,19359,0.1%,County/Other Indigent,0,"TUSTIN, California
(33.742072, -117.818805)"
2012,106391042,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,San Joaquin,Non-Profit,Comparable,,,359,359,202,$572.00,71263,0.8%,County/Other Indigent,0,"STOCKTON, California
(37.957541, -121.292451)"
2014,106490919,SUTTER MEDICAL CENTER - SANTA ROSA,Sonoma,Non-Profit,Comparable,,,135,135,108,$77.00,21346,0.4%,County/Other Indigent,0,"SANTA ROSA, California
(38.439698, -122.715642)"
2010,106560501,OJAI VALLEY COMMUNITY HOSPITAL,VENTURA,Non-Profit,Comparable,,Small,103,103,66,$287.00,23744,1.2%,County/Other Indigent,20921,"OJAI, California
(34.447966, -119.242981)"
2015,106361323,COMMUNITY HOSPITAL OF SAN BERNARDINO,San Bernardino,Non-Profit,Comparable,,,347,345,306,$133.00,76910,0.2%,County/Other Indigent,31678,"SAN BERNARDINO, California
(34.108323, -117.29415)"
2014,106013619,SAN LEANDRO HOSPITAL,Alameda,City/County,Comparable,,,93,93,93,$57.00,11159,0.5%,County/Other Indigent,0,"SAN LEANDRO, California
(37.728364, -122.158612)"
2010,106190307,PACIFIC ALLIANCE MEDICAL CENTER,LOS ANGELES,Investor,Comparable,,,142,132,132,$93.00,25250,0.4%,County/Other Indigent,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2011,106364014,LOMA LINDA UNIVERSITY BEHAVIORAL MEDICINE CENTER,San Bernardino,Non-Profit,Comparable,,,89,89,89,$771.00,26450,2.9%,County/Other Indigent,0,"REDLANDS, California
(34.055562, -117.182603)"
2015,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,Imperial,District,Comparable,,,107,107,107,$3.00,17653,0%,County/Other Indigent,0,"BRAWLEY, California
(32.978688, -115.539429)"
2010,106391056,SUTTER TRACY COMMUNITY HOSPITAL,SAN JOAQUIN,Non-Profit,Comparable,,,82,80,44,$325.00,15917,2%,County/Other Indigent,0,"TRACY, California
(37.738534, -121.421127)"
2014,106171049,ST. HELENA HOSPITAL - CLEARLAKE,Lake,Non-Profit,Comparable,,Rural,25,25,25,$328.00,5396,6.1%,County/Other Indigent,0,"CLEARLAKE, California
(38.961814, -122.631261)"
2014,106100717,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,Fresno,Non-Profit,Comparable,Teaching,,808,808,672,$70086.00,246263,28.5%,Medicare,34901,"FRESNO, California
(36.731654, -119.785856)"
2014,106331152,CORONA REGIONAL MEDICAL CENTER - MAIN,Riverside,Non-Profit,Comparable,,,238,238,141,$17253.00,49472,34.9%,Medicare,0,"CORONA, California
(33.875665, -117.568843)"
2013,106560529,ST. JOHN'S REGIONAL MEDICAL CENTER,Ventura,Non-Profit,Comparable,,,265,265,123,$209.00,49428,0.4%,County/Other Indigent,0,"OXNARD, California
(34.197663, -119.175947)"
2011,106491076,SONOMA VALLEY HOSPITAL,Sonoma,District,Comparable,,,83,65,45,$162.00,13025,1.2%,County/Other Indigent,0,"SONOMA, California
(38.291962, -122.458003)"
2012,106190243,DOWNEY REGIONAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,199,199,181,$22283.00,42570,52.3%,Medicare,0,"DOWNEY, California
(33.940946, -118.12752)"
2010,106540734,KAWEAH DELTA MEDICAL CENTER,TULARE,District,Comparable,,,581,576,441.75,$65631.00,142715,46%,Medicare,20498,"VISALIA, California
(36.33012, -119.29888)"
2013,106560501,OJAI VALLEY COMMUNITY HOSPITAL,Ventura,Non-Profit,Comparable,,Rural,103,103,64,$55.00,22436,0.2%,County/Other Indigent,19371,"OJAI, California
(34.447966, -119.242981)"
2015,106310791,SUTTER AUBURN FAITH HOSPITAL,Placer,Non-Profit,Comparable,,,64,64,37,$54.00,11235,0.5%,County/Other Indigent,0,"AUBURN, California
(38.897916, -121.074314)"
2012,106370977,POMERADO HOSPITAL,San Diego,District,Comparable,,,236,236,185,$24399.00,67029,36.4%,Other 3rd Party (Private Ins.),43019,"POWAY, California
(32.986369, -117.023491)"
2011,106370745,SHARP MESA VISTA HOSPITAL,San Diego,Non-Profit,Comparable,,,149,149,101,$23275.00,39453,59%,Other 3rd Party (Private Ins.),0,"SAN DIEGO, California
(32.71576, -117.163817)"
2014,106334487,RIVERSIDE COUNTY REGIONAL MEDICAL CENTER,Riverside,City/County,Comparable,Teaching,,439,439,439,$30372.00,108801,27.9%,Other 3rd Party (Private Ins.),0,"MORENO VALLEY, California
(33.917114, -117.261144)"
2015,106430905,STANFORD UNIVERSITY HOSPITAL,Santa Clara,Non-Profit,Comparable,Teaching,,613,474,474,$67274.00,152218,44.2%,Medicare,0,"PALO ALTO, California
(37.445103, -122.160363)"
2014,106190170,CHILDREN'S HOSPITAL - LOS ANGELES,Los Angeles,Non-Profit,Comparable,Teaching,,568,347,347,$24963.00,102424,24.4%,Other 3rd Party (Private Ins.),0,"LOS ANGELES, California
(34.052238, -118.243344)"
2011,106190200,SAN GABRIEL VALLEY MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,269,269,269,$159.00,51563,0.3%,County/Other Indigent,0,"SAN GABRIEL, California
(34.099203, -118.107229)"
2014,106380964,CALIFORNIA PACIFIC MEDICAL CENTER-ST LUKES CAMPUS,San Francisco,Non-Profit,Comparable,,,228,228,108,$165.00,30049,0.5%,County/Other Indigent,4022,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2011,106514001,SUTTER-YUBA - PHF,Sutter,City/County,Psychiatric Health Facilities,,,16,16,16,$170.00,3192,5.3%,County/Other Indigent,0,"YUBA CITY, California
(39.13222, -121.625147)"
