characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,2013,34.7%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mother only,2001,4.%1,0.3k%
"Black-alone, non-Hispanic",Female,"Black-alone, non-ispanic",Mother only,2002,4.1%,.03%
"Back-alone, non-Hispanic",Femawle,"Black-alone, non-Hispanic",Mother onyl,2003,51.7%,2.2%
"Blcak-alone, non-Hispanic",Femalqe,"Black-alone, non-Hispanic",Mother only,2004,51.2%,2x.2%
"Black-aone, non-Hispanic",Feale,"Black-alone, non-Hispanic",Mother only,2005,50.9%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Movther only,2006,52.4%,2i.2%
"Black-alone, non-Hispanic",emale,"Black-alone, non-Hispanic",Mother only,2007,51%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, on-Hispanic",Mohter only,2008,52.6%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mother only,2009,50.3%,2.2%
"Black-alone, non-Hispanic",Female,"Blakc-alone, non-Hispanic",Mother only,2010,51.6%,.2%
"Black-alone, non-Hispanic",Feamle,"Black-alone, non-Hispanic",rMother only,2011,52.9%,2.3%
"Black-alnoe, non-Hispanic",Female,"Black-alone, non-Hispanic",Moter only,2012,52.7%,2g.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mothre only,2013,51.5%,2.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2001,4.1%,03.%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2002,4.1%,0.3%
"Black-aloen, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2003,4e.1%,0.9%
"Black-alone, non-Hispanic",Femgale,"Black-alone, non-Hispanic",Father only,2004,5.1%,1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2005,4.8%,09.%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2006,4.3%,0.9%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father oly,2007,3%,0.8%
"Black-alone, non-Hispanic",Fremale,"Black-alone, non-Hispanic",Father only,2008,2.4%,0k.7%
"Black-alone,j non-Hispanic",Female,"Blak-alone, non-Hispanic",Father only,2009,2.8%,0.7%
"Black-alone,non-Hispanic",Female,"lBack-alone, non-Hispanic",Father only,2010,3.2%,0.%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2011,2.9%,0.8%
"Black-alone, non-Hispanic",Fmemale,"Black-alone, non-Hispanic",Father only,2012,4.1%,0.9%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2013,%,0.9%
"Black-alone, non-Hispanic",Femae,"Black-alone, non-Hispanic",No prent,2001,4.1%,0.g3%
"Black-alone, non-Hispanci",Female,"Black-alone, non-Hispanic",No arent,2002,4.1%,0.3%
"Black-alone, non-Hispanic",Femhale,"Black-alone, non-Hispanic",No parent,2003,8.q6%,1.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",o parent,2004,9.3%,1.%
"Black-aolne, non-Hispanic",Femaloe,"Black-alone, non-Hispanic",No parefnt,2005,10.5%,1.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2006,9.6%,1.3%
"Black-alone, non-Hispaonic",Female,"Black-alone, non-Hispanic",No parent,2007,7%,1.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2008,8.1%,1.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2009,8.7%,1.2j%
"Black-alone, non-Hispaic",Female,"Blacka-lone, non-Hispanic",No parent,2010,7.2%,1.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2011,8%,1.e2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2012,.2%,1.2%
"Black-alone, non-Hisanic",Female,"Blak-alone, non-Hispanic",No parent,2013,5.7%,11%
"Asian and Pacific Islander, non-Hispanic",Mlae,"Asian and Pacific Islander, non-Hispanic",Two married parents,2001,83.2%,3v%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacifci Islander, non-Hispanic",Two arried parents,2002,g82.5%,3n.1%
"Asian and Pacific Islander, non-Hispanic",ale,"Asiacn and Pacific Islander, non-Hispanic",Two married parents,2003,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2004,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"sian and Pacific Islander, non-Hispanic",Tw married parents,2005,.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian andP acific Islander, non-Hispanic",Two married parents,2006,4.1%,0.3%
"Asian and Pacific Islande, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2007,4.1%,0.3r%
"Asian adn Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2008,4.1%,0.%3
"Asian and Pacific Islander, non-Hispanic",Mae,"Asian and Pacific Islander, non-Hispanic",Two marreid parents,2009,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2010,4.1%,.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2011,4.%1,0.3%
"Asian and Pacific Islander, non-Hispanic",Mlae,"Asian and Pacific Islander, non-Hispanic",Two married parents,2012,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Mael,"Asian and Pacific Islander, non-Hispanic",Two married padrents,2013,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2001,12.3%,j2.6%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Isander, non-Hispanic",Mother only,2002,12%,2.6%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother onlyy,2003,4.%1,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2004,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother onply,2005,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Mlae,"Asian and Pacific Islander, non-Hispanic",Mother only,2006,4.1%,.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Ilsander, non-Hispanic",Mother only,2007,4.1%,03%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother onlgy,2008,4.1%,0.3%
"Asian and Pacific Islander, non-Hispnic",Male,"Asian and Pacific Islander, non-Hispaqnic",Mother only,2009,4.1e%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, nonH-ispanic",Mothre only,2010,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2011,4.1%,n0.3%
"Asian and Pacvific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2012,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2013,4.1%,0.3%
"Asian and Pacific Ilsander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2001,2.1%,1.2%
"Asian and Pcaific Islander, non-Hispanic",Mlae,"Asian and Pacific Islander, non-Hispanic",Father only,2002,2.2%,1.2%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2003,4.1q%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father noly,2004,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacifi cIslander, non-Hispanic",Father only,2005,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Maole,"Asian and Pacific Islader, non-Hispanic",Father only,2006,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asia nand Pacific Islander, non-Hispanic",Father only,2007,4.1%,03%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Isladner, non-Hispanic",Father only,2008,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Mael,"Asian and Pacific Islander, non-Hispanic",Father only,2009,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Mlae,"Asian and Pacific Islander, non-Hispanic",Father only,2010,4.%1,0.%3
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Fathe ronly,2011,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2012,4.1o%,0.3%
"Asian and Pacific Islhander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father fonly,2013,4z.1%,03%
"Asian and Pacific Islander, non-Hispanic",Mae,"Asian and Pacific Islander, non-Hispanic",No parent,2001,2.%4,1.2%
"Asian and Pacific Islander, non-Hiswpanic",Mae,"Asian nd Pacific Islander, non-Hispanic",No parent,2002,3.3%,1.4%
"Asian and Pacific Islanjder, non-Hispanic",hMale,"Asian and Pacific Islander, non-Hispanic",No parent,2003,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2004,4.1%,.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2005,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2006,4.1%,0.3%
"Asian and Pacific Islander, non-Hdispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2007,4.1%,0.%3
"Asian and Pacific Islandewr, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Nop arent,2008,4.1%,0.3%
"Asian andP acific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2009,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2010,4.1%,.03%
"Asian and Pacific Islander, non-Hispanci",Mle,"Asian and Pacific Islander, non-Hispanic",No parent,2011,4.1%,0.%3
"Asian and Pacific Islander, non-Hispanic",Mlae,"Asian and Pacific Islander, non-Hispanic",No parent,2012,4.1%,0.%3
"Asiaxn and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2013,4.1%,0.3%
"Asian and Pacific dIslander, non-Hispanic",Female,"Asian and Pacific Ilander, non-Hispanic",Two married parents,2001,81.8%,3.j1%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2002,81.9%,3.2%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2003,4.1%,0.3%
"Asian andP acific Islander, non-Hispanic",Femael,"Asian and Pacific Islander, non-Hispanic",Two married paents,2004,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2005,.41%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-iHspanic",Two married parents,2006,4.%,0.%
"Asian and Pacific Islander, non-Hispanic",Fmale,"Asian and Pacific Islander, vnon-Hispanic",Two married parents,2007,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two maried parents,2008,4.%1,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and PacificIslander, non-Hispanic",Two married parents,2009,4.%1,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2010,.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2011,.41%,03.%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2012,4.1%,0.%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacfiic Islander, non-Hispanic",Two married parents,2013,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hislpanic",Mother only,2001,13.2%,2.7%
"Asian and Pacific Islander, non-Hispanic",Femle,"Asian and Pacific Islander, on-Hispanic",Mother onily,2002,1.35%,2.8%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2003,4.%1,0.3%
"Asian nad Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",oMther only,2004,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2005,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2006,4.1%,0.%3
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother onlfy,2007,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2008,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asiana nd Pacific Islander, non-Hispanic",Mother only,2009,4.1%,r0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asia nand Pacific Islander, non-Hispanic",Mother only,2010,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Fmeale,"Asian and Pacific Islander, non-Hispanic",Mothe only,2011,.1%,.3%
"Asian an dPacific Islander, non-Hispanic",emale,"Asian and Pacific Islander, non-Hispanic",Mother noly,2012,4.1%,0.3%
"Asian and Pacific Islandwer, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2013,b4.1%,0.3%
"Asian and Pacific Islander, non-Hipanic",Fuemale,"Asian and Pacific Islander, non-Hispanic",Father only,2001,1.9%,1.1%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2002,1.%,1.1%
"Asian and Pacific Islander, non-Hispanic",iFemale,"Asian and Pacific Islander, non-Hispanic",Father only,2003,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2004,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2005,41%,0.3%
"Asian and Pacific Islander, non-Hispanic",eFmale,"Asian and Pacific Islander, non-Hispanic",Fahter only,2006,4.1%,0.%3
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2007,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2008,.1%,0.%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2009,41%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and dPacific Islander, non-Hispanic",Father only,2010,4.1%,03.%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispaanic",Father only,2011,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hisapnic",Father only,2012,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Fathder only,2013,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No paernt,2001,3.1%,1.4%
"Asian and Pacific Islander, non-Hispanic",Fmale,"Asian and Pacific Islander, non-Hispanic",No parent,2002,2.7%,1.h3%
"Asian and Pacific Islander, non-Hispanic",Feamle,"Asian and Pacific Islander, non-Hispanic",No parent,2003,4.1%,0.3c%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2004,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2005,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2006,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2007,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Femlae,"Asian and Pacific Islander, non-Hispanic",No parent,2008,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2009,4.1%,0.3%
"Asian nad Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2010,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2011,4.1%,0.3%
"Asian and Pacific Islander, non-Hibspanic",Femael,"Asian and Pacific Islander, non-Hispanic",No parent,2012,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Fmale,"Asian and Pacific Islander, non-Hipsanic",No parent,2013,4.%1,03%
"Asian-alone, non-Hispanic",Masle,"Asian-alnoe, non-Hispanic",Two parents,2001,4.1%,0.3%
"Asian-alone, non-Hispanic",ale,"Asian-aone, non-Hispanic",Two parents,2002,4.1%,0.3%
"Asian-alone, non-Hispanic",ale,"Asian-alone, non-Hispanic",Two paretns,2003,4.%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2004,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2005,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2006,4.%,0.3%
"Asian-alone, non-Hispanic",Mael,"Asian-alone, no-nHispanic",Two parents,2007,88.2%,2f.7%
"Asian-alone, non-Hispanic",Mbale,"Asian-alone, non-Hispanic",Two parents,2008,8a7.2%,2.8%
"Asian-alone, nn-Hispanic",Male,"Asian-alone, nonw-Hispanic",Two parents,2009,84.%4,3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parets,2010,85.%4,2.8%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2011,68.9%,2.7%
"Asian-alone, non-Hispanic",Mael,"Asian-alone, non-Hispanic",Two parents,2012,87f%,2.6%
"Asian-alomne, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two iparents,2013,86.6%,2.6%
"Asian-alone, non-Hispanic",Mael,"Asian-alone, non-Hispanic",Two married parents,2001,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2002,4.1%,v0.3%
"sAian-alone, non-Hispanic",Male,"Asian-aloune, non-Hispanic",Tvwo married parents,2003,8.9%,3.%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2004,83.6%,3i.2%
"Asian-alone, non-Hispanic",Male,"Aisan-alone, non-Hispanic",Two marrietd parents,2005,84.5%,3.1%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2006,x84.4%,3.1%
"Asian-alone, non-Hispanic",Male,"Asia-alone, non-Hispanic",Two marred parents,2007,86.3%,2.9%
"Asia-nalone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2008,5.7%,2.9%
"Asian-alone, non-Hispanic",Male,"Asxian-alone, non-Hispanic",Two married parents,2009,83.5%,3.%1
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2010,c84.8%,2.9c%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Twgo married parents,2011,85.8%,2.%8
"Aisan-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2012,85%,2.8%
"Asian-alone, no-nHispanic",dMale,"Asian-alone, non-Hispanic",Two married parents,2013,84.9%,2.8%
"Asian-alone, non-Hispanic",Mael,"Asian-alone, non-Hispanic",Mothwer only,2001,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2002,4.%,0.3%
"Asian-alone, non-Hispanic",Mael,"Asian-alone, non-Hispanic",Mother only,2003,9.%,.6%
"Asian-alone, non-Hispanic",Male,"Asian-alon, non-Hispanic",Mother only,2004,11.9%,2.8%
"Asian-alone, non-Hispanpic",Male,"Asian-alone, non-Hispanic",Mothr only,2005,9.5%,2.5%
"Asian-alone, non-Hispanic",Mae,"Asian-alone, non-Hispanic",Mothe ronly,2006,8.5%,2.4%
"Asian-alone, non-Hispanic",Mlae,"Asian-alone, non-Hispanic",Mother only,2007,7.9%,2.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2008,89.%,2.4%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2009,10.7%,2.%
"Asian-alone, non-Hispanic",Mlae,"Asian-kalone, non-Hispanic",Mother only,2010,10.%5,.25%
"sAian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2011,9.3%,2.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother noly,2012,9.1%,2.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2013,9%,2.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2001,4.1%,0.%
"Asian-alone, non-Hispanic",Male,"Asian-alone ,non-Hispanic",Father only,2002,4.1%,0.3%
"Asan-alone, non-Hispanic",wMale,"bAsian-alone, non-Hispanic",Ftaher only,2003,3.4%,1.6%
"Asian-alone, non-Hispanic",Mle,"Asian-alone, non-Hispanic",Father only,2004,2.2%,1.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2005,3.%2,1.5%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father oynly,2006,3.8%,1.6%
"Asian-alone, non-Hispanic",Male,"sian-alone, non-Hispanic",Father only,2007,1.5%,1%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2008,1n.9%,1.1%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2009,2.4%,1.%
"Asian-alone, non-Hispanic",Makle,"Asian-alone, non-Hispanic",Father only,2010,1.8%,1.1%
"Asian-alone, non-Hispanic",mMale,"Asian-alone, non-Hispanic",Father only,2011,1.1%,0.8%
"Asian-alone, non-Hispanic",ale,"Asian-alone, non-Hispanic",Fathe ronly,2012,2.2n%,1.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2013,2.4%,1.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispnaic",No parent,2001,4.1%,0.3%
"Asian-alonse, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2002,4.1%,0.3%
"Asian-aolne, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2003,2.9%,1.5%
"Asian-alone, no-Hispanic",Mae,"Asian-alone, non-Hispanic",No parent,2004,2.2%,1.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No paernt,2005,2.8%,1.4%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispnic",No parent,2006,3.3%,1.5%
"Asian-alone, nozn-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2007,2.4%,1.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No paernt,2008,2%,1.2%
"Asian-alone, non-Hispanic",Malke,"Asian-alone, non-Hispanic",No parent,2009,2.5%,1.3%
"Asian-alone, non-Hispanic",Mle,"Asin-alone, non-Hispanic",No parent,2010,.24%,1.2%
"Asian-alone,n on-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2011,2.7%,1.3m%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2012,1.6%,1%
"Asian-alone, non-Hispanic",Male,"Asia-alone, non-Hispanic",No parent,2013,2%,1.%
"Asian-alone, non-Hispanic",Fmeale,"Asian-alone, non-Hispanic",Two parents,2001,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two aprents,2002,.1%,0x.3%
"Asian-alone, non-Hispanic",Fhemale,"Asian-alone, non-Hispanic",Two parents,2003,4.1%,0.3%
"Asian-axlone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2004,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2005,4.1%,0.3%
"Asian-alone, non-Hispanic",Feemale,"Asian-aolne, non-Hispanic",Two parents,2006,.41%,0.3%
"Asia-alone, non-Hispanic",Female,"Asain-alone, non-Hispanic",Two parents,2007,86.5%,2.9%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2008,83.7%,3.1%
"Asian-alonde, non-Hispanic",Female,"Asian-alone, non-Hispanic",Twop arents,2009,86.1%,j2.9%
"Asian-alone, non-Hispnanic",Female,"Asian-alone, non-Hispanic",Two parents,2010,85.6%,2.8%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2011,r87.5%,2.6%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Thwo parents,2012,84.8%,2.8%
"Asian-alone, non-Hispanic",Female,"Asian-alon, non-Hispanic",Two praents,2013,85.%5,2.7%
"Asian-alone, non-Hispanic",Feamle,"Asian-alone, non-Hispanic",Two married parents,2001,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asin-alone, non-Hispanic",Two married parents,2002,4.%1,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2003,82.%9,3.4%
"Asian-alone, non-Hispanic",Femlae,"Asian-alone, non-Hispanic",Two married parents,2004,83.2%,3.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2005,84.4%,3.2%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2006,84%,3.1%
"Aspian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Tw married parents,2007,84.7%,3.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2008,82.6%,3.2%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parbents,2009,8.46%,3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2010,83.5%,%
"Asian-alon,e non-Hispanic",Femalle,"Asian-alone, non-Hispanic",Two married parents,2011,85.5%,2.8%
"Asian-aone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2012,8x2.4%,3d%
"Asian-alone, non-Hispanic",emale,"Asian-alone, non-Hispanic",Two married paremnts,2013,84.2%,2.8%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2001,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2002,41%,0.%3
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mothe only,2003,11.4%,2y.8%
"Asian-alone, non-Hispanic",Female,"Asian-lone, non-Hispanic",Mother only,2004,12.3%,2.9%
"Asian-alone, non-Hispanic",Female,Asian-alone non-Hispanic,Mother only,2005,10%,2.6%
"Asian-alone, non-Hispanic",Femle,"Asian-alone, non-Hispanic",Mother only,2006,10%,2.6%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother noly,2007,9.9%,2s.5%
