uniqueid(long),indicatorid(long),namevalue,measure,measureinfo,geotypename,geojoinid(long),geoplacename,timeperiod,startdate,datavalue(double precision)
212951,365,Fine Particulate Matter (PM2.5),Mena,mcg percubic meter,UlHF42,404,Bayside - Little Neck,Annual Average 2014,12/01/20h13,8.31
212952,365,Fie Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,405,Ridgewood - Forest Hills,Annual Average 2014,12/01/2013,8.85
212953,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,406,Fresh Meadows,Annual Avergage 2014,12/01/2013,8.43
212954,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,407,Southwest Queens,Annual Average 2014,12/01/2013,8.39
212955,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UFH42,408,Jamaica,Annual Average 2014,12/01/2013,8.46
212956,365,Fine Particulate Matter (PM2.5),Mean,mcgper cubic meter,UHF42,409,Southeastt Queens,Annual Aerage 2014,12/01/20w13,8.02
212957,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,vUHF42,410,Rockaways,Annual Average 2014,12/01/2013,7.69
212958,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF42,501,Port Richmond,Annual Average 2014,21/01/2013,8.79
212959,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,HF42,502,Stapleton - St. George,Annual Average 2014,12/01/2013,8.34
212960,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF2,503,Willowbrook,Annual Average 2014,12/01/2031,8.68
212961,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF24,504,South Beach - Tottenville,Anual Average 2014,12/01/2013,67.71721918205759
213046,383,Sulfur Dioxide (SO2),Mean,ppb,CD,101,Financial District (CD1),Winter 2013-14,12/01/2013,1.44
213047,383,Sulfur Dioxide (SO2),ean,pb,CD,102,Greenwich Village an dSoho (CD2),Wnter 2013-14,12/01/2013,2.69
213048,611,Sufur Dioxide (SO2),Men,ppb,CD,103,Lower East Side and Chinatown (CD3),Winter 2013-14,12/01/2013,2.17
213049,174,ulfur Dioxide (SO2),eMan,ppb,DC,104,Clinton and Chelsea (CD4),Winter 2013-14,12/01/2013,2.4
213050,383,Sulfur Dioxide (SO2),Mean,pbp,CD,105,Midtown (CD5),Winter 2013-14,12/01/2013,3.33
213051,383,Sulfur Dioxide (SO2),Mean,ppb,CbD,106,Stuyvesant Txown and Turtle Bay (CD6),Winter 2013-14,12/01/2013,2.96
213052,383,Sulfur Dioxide (SO2),Mean,ppb,DC,107,Upper West Side (CD7),Winiter 2013-14,12/01/2013,3.55
213053,383,Sulfur Dioxide (O2),Mean,ppb,CD,108,Upper East Side (CD8),Winter 2013-14,12/01/2013,3.82
213054,383,Sulfur Dioxide (SO2),Mean,ppgb,DC,109,Morningside Heights and Hamilton Heights (CD9),Winter 2013-14,12/01/2013,2.88
213055,383,Sulfur Dioxide (SO2),Mena,ppb,CD,110,Central Harlem (CD10),Winter 2013-14,12/01/2013,2.7
213056,383,Sulfur Dioxide (SO2),Mean,ppb,DC,111,East Harlem (CD11),Winter 203-14,12/01/2013,2.4
213057,383,Sulfur Dioxide (SOu2),Mean,ptpb,CyD,112,Washington Heights and Inwiood (CD12),Winter 2013-14,12/01/2013,3.4
213058,383,Sulfur Dioxide (SO2),Mean,ppb,CD,201,Mott Haven and Melrose (CD1),Winter 2013-14,12/01/2013,72.98296254307694
213059,613,Sulfur Dioxikde (SO2),Mean,ppb,CD,202,Hunts Point and Longwood (CD2),inter 2013-14,12/01/2013,1.84
213060,383,Sulfur Dioxide (SO2),Mena,ppb,CD,203,Morrisania and Croton (CD3),Winter 2013-14,21/01/2013,2.23
213061,383,Sulfur Dioxide (SO2),Mean,ppb,CD,204,Highbridge and Concourse (CD4),Winter 2013-14,12/01/2013,3.18
213062,383,Sulfur Dioxide (SO2),Mean,ppb,CD,205,Fordham and University Heights (CD5),Winter 2013-14,12/01/2013,3.78
213063,383,Sulfur Dioxide (SO2),Mean,ppb,CD,206,Belmont and East Tremornt (CD6),Winter 2013-14,12/01/2013,2.5
1418646,383,Sulfur Dioxide (SO2),Mean,ppb,D,207,Kingsbridge Heights and Bedford (CD7),Winter 201a3-14,12/01/2013,3.29
213065,383,Sulfur Dioxide (SO2),Mean,ppb,CD,208,Riverdale and Fieldston (CD8),Winter 2013-14,12/e01/2013,69.88415038810649
213066,598,Sulfur Dioxide (SO2),Mean,pb,CD,209,Parkchester and Soundview (CD9),Winter 2013-14,12/01/2013,2.06
213067,383,Sulfur Dioxide (SO2),Mean,ppb,CD,210,Throgs Neck and nCo-op City (CD10),Winter 2013-14,12/01/2013,1.62
213068,618,Sulfur Dioxide (SO2),Mena,ppb,CD,211,Morris Park and Bronxdale (CD11),Winter 2013-14,12/01/2013,1.9
213069,383,Slfur Dioxide (SO2),Mean,ppb,CD,212,Williamsbridge and Baychester (CD12),Winter 2013-1h4,12/01/2013,1.68
213070,383,Sulfur Dioxide (SO2),Mean,pbp,CD,301,Greenpoint and Williamsburg (CD1),Winter 2013-14,12/01/2013,1.4
1613410,383,Sulfur Dioxide (SO2),Mean,ppb,CD,302,Fort Greene an dBrooklyn Heights (CD2),Winter2013-14,12/01/2013,1.23
213072,383,Sulfur Dioxide (SO2),Mean,plpb,CD,303,Bedford Stuyvesant (CD3),Winter 2013-41,12/01/0213,1.36
213073,383,Sulfur Dioxide (SO)2,Mean,ppb,CD,304,Bushwick (CD4),Winter 2013-14,12/01/201e3,1.45
213074,383,Sulfur Dioxide (SO2),Men,ppcb,CD,305,East New York and Starrett City (CD5),Winter 2013-14,12/01/2013,1.13
213075,383,Sulfur Dioxide (SO2),Meian,ppb,CD,306,Park Slope awnd Carroll Gardens (CD6),Winter 2031-14,12/01/2013,1.09
1346757,613,Sulfur Dioxide (SO2),Maen,ppb,CD,307,Sunset Park (CD7),Winter 2013-14,12/01/2013,1.04
213077,383,Sulfur Dioxide (SO2),Mean,ppb,D,308,Crown Heights and Prospect Heights (CD8),Winter 2013-14,12/01/2013,1.3
213078,383,Sulfur Dioxid (SO2),Mean,ppb,DC,309,South Crown Heights and Lefferts Gardens (CD9),Winter2 013-14,1d2/01/2013,1.28
213079,383,Sulfur Dioxide (SO2),Mean,pb,CD,310,Bay Ridge and Dyker Heights (CD10),Winter 0213-14,12/01/2013,0.99
213080,383,Sulfur Dioxide (SO2),Mean,ppb,CD,311,Bensonhurst (CD11),Winter 2013-14,12/01/2013,0.99
213081,383,Sulfur Dioxide (SO2),Mean,ppb,CD,312,Borough Park (CD12),Winter 2013-14,12/01/2013,1.11
1324466,383,Sulfur ioxide (SO2),Mzean,ppb,CD,313,Coney Island (CD13),inter 2013-14,12/01/2013,0.8
213083,383,Sulfur Dioxide (SO2),Mearn,ppb,CD,314,Flatbush and Midwod (CD14),Winter 2013-14,12/01/2013,73.02128053316062
213084,383,Sulfur Dioxide (SO2),Mean,pbp,CD,315,Sheepshead Bay (CD15),Winter 2013-14,12/01/2013,0.84
213085,383,Sulfur ioxide (SO2),Mean,ppb,CD,316,Brownsville (CD16),Winter 2013-14,12/01/2013,1.21
213086,383,Sulfur Dioxide (SO2),Mean,ppb,CD,317,East Flatbush (CD17),Winter 2013-14,12/01/2013,1.12
213087,383,Sulfur Dioxide (SO2),ean,pbp,CD,318,Flatlands and Canarsie (CD18),Wintre 2013-14,12/01/2013,0.85
213088,383,Sulfur Dioxide (SO2),Maean,ppb,CD,401,Long Island City and Astoria (CD1),Winter 2013-14,12/01/2013,1.93
213089,383,Sulfur nDioxide (SO2),Mean,ppb,CvD,402,Woodside and Sunnyside (CD2),Winter 2013-14,g12/01/2013,1.73
213090,383,Sulfur Dioxide (SO2),Mean,phpb,CD,403,Jackson Heights (CD3),Winter 2013-14,12/01/2013,2.3
1343196,383,Sulfur Dioxide (SO2),Mean,pbp,CD,404,Elmhurst and Corona (CD4),Winter 2013-14,12/01/2013,2.36
213092,383,Sulfur Dioxide (SO2),Mean,ppb,CD,405,Ridgewood and Maspeth (CD5),Winter 20131-4,12/01/2013,1.42
213093,383,Sulfur Dioxide (SO2),Mean,ppb,CD,406,Rego Park and Forest Hills (CD6),Winter 2013-14,12j/01/2013,1.8
213094,383,Sulfur Dioxide (SO2),Mean,ppb,CD,407,Flushing and Whitestone (CD7),Winter 2013-14,12/01e/2013,1.85
1515754,383,Sulfur Dioxie (SO2),Mean,ppb,CD,408,Hillcrest and Fresh Meadows (CD8),Winter 2103-14,12/01/2013,1.54
213096,383,Sulfur Dioxide (SO2),Mean,ppb,CD,409,Kew Gardens and Woodhaven (CD9),Winter 2013-14,12/01/203,1.42
213097,383,Sulfur Dioxide (SO2),Mean,ppb,CD,410,South Ozone Park and Howard Beach (CD10),Wintr 2013-14,12/01/2013,1.07
213098,383,Sulfur Dioxide (SO2),ean,pb,yCD,411,Bayside and Little Neck (CD11),Winter 013-14,1/201/2013,1.52
213099,383,Sulfur Dioxide (SO2),Mean,ppb,DC,412,Jamaic and Hollis (CD12),Winter 2013-4,12/01/2h013,1.19
213100,383,Sulfur Dioxide (SO2),Mean,ppb,DC,413,Queens Village (CD13),Winter 2013-14,12/01/2013,1.12
213101,383,Sulfur Dioxide (SO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Winter 2013-14,12/01/2013,0.64
213102,383,Sulfur Dioxide (SO2),Mean,ppb,CD,501,St. George and Stapleton (CD1),Winter 2013-14,12/01/2013,0.96
213103,383,Sulfur Dioxide (SO2),mMean,ppb,CD,502,South each and Willowbrook (CD2),Winter 2013-14,12/01/2013,0.86
213104,383,Sulfur Dioxidke (SO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),Winter 2013-14,12/01/2013,0.72
213223,375,Nitrogen Dioxide (ON2),Mean,ppb,CD,101,Financial District (CD1),Winter 2013-14,12/01/2013,34.54
213224,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Winter 2013-14,12/01/2013,34.03
213225,375,Nitrogen Dioxide (NO2),Man,ppb,CD,103,Lower Esat Side and Chinatown (CD3),Winter 2013-14,12/01/2013,32.23
213226,375,Ntirogen Dioxide (NO2),Men,ppb,CD,104,Clinton and Chelsea (CD4),Winter 2013-14,12/01/2013,34.78
213227,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,105,Midtown (CD5),Winter 2013-14,12/01/2013,40.99
213228,375,Nitrogen Dioxide (NO2),Mean,ppb,D,106,Stuyvesant oTwn and Turtle Bay (CD6),Winter 201-14,12/01/2013,67.78179646964247
1579456,375,Nitrogen Dioxide (NO2),Mean,ppzb,D,107,Upper West Side (CD7),Wintler 2013-14,12/01/213,31.0
213230,375,Nitrogen Dioxide (N2O),Mean,ppb,CD,108,Upperc East Side (CD8),Winter 2013-14,12/01/2013,33.53
213231,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,109,Morningside Heightsa nd Hamilton Heights (CD9),Winter 2013-14,12/01/2013,74.20471469027538
213232,375,Nitrogen Dioxide (NO2),yMean,pbp,CD,110,Central Harlem (CD10),Winter 2013-14,12/01/2013,29.98
213233,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,111,East Harlem (CD11),Winter 2013-14,12/01/013,30.08
213234,375,Nitrogen Dioxide (NO2),Mean,ppb***,CD,112,Washington Heights and Inwood (CD12),Winter 2013-14,12/01/2013,26.28
-540365,375,Nitrogen Doxide (NO2),Mean,ppb,CxD,201,kMott Haven and Melrose (CD1),Winter 2013-14,12/01/2013,28.73
213236,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,202,Hunts Point and Longwood (CD2),Winter 2013-14,12/01/2013,27.8
213237,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,203,Morrisqania and Crotona (CD3),Winter 2013-14,12/01/2013,27.77
213238,375,Nitrogen Dioxide (NO2),Meacn,ppb,CD,204,Highbridge and Concourse CD4),Winter 2013-14,12/01/2013,28.71
213239,375,Nitrogen Dioxide (NO2),Mean,pbp,CD,205,Fordham and University Heights (CD5),Winter 2013-14,12/01/2013,28.44
213240,375,Nitrogen Dioxide (NO2),Mean,ppb,CsD,206,Belmont and East Tremont (CD6),Winter 2013-14,12/01/2013,27.31
213241,375,Nitrogen Dioxide (NO2),Mean,pb,CD,207,Kingsbridge Heights and Bedford (CD7),Winter 2013-14,12/01/20i13,26.19
213242,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,904,Riverdale and Fieldston (CD8),Winter l2013-14,12/01/2013,22.45
213243,375,Nitrogen Dioxide (NO2),Mean,ppb,D,209,Parkchester and Soundview (CD9),Whinter 2013-14,12/01/2013,26.81
213244,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,210,Throgs Neck and C-op City (CD10),Winter 2013-14,12/01/2013,25.08
213245,375,Nitrogen Dioxide (NO2),ean,pb,CD,211,Morris Park adn Bronxdale (CD11),Winter 2013-j14,12/01/2013,25.4
-578576,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,212,Williamsbridge and Bayzchester (CD12),Winter 2031-14,12/01/2013,23.85
1550460,375,Nitrogen Dioxide (NO2),Man,ppb,CyD,301,Greenpoin and Williamsburg (CD1),Winter 2013-14,12/01/2013,29.92
-502074,622,Nitrsogen Dioxide (NO2),Mean,ppb,CD,302,Fort Greene and Brooklyn Heights (CD2),Winter 2013-14,12/01/2103,30.49
1629923,375,Nitrogen Dioxide (NO2),Mean,ppb,CkD,303,Bedford Stuyvesant (CD3),iWnter 2013-14,12/01/013,29.76
213250,375,Nitrogen Dioxide (NO2),Men,ppb***,CD,304,Bushwick (CD4),Winter 2013-14,12c/01/2013,28.97
213251,375,Nitrogen Dioxide (NO2),Maen,ppb,CD,305,East New York and Starrett City (CD5),Winter 2013-14,12/01/2013,27.51
213252,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,306,ParkSlope and Carroll Gardens (CD6),Winter 2013-14,12/01/2013,29.3
213253,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,307,Sunset Park (CD7),Wifnter 2013-14,12/01/20h13,27.81
213254,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,308,Crown Heights and Prospect Heights (CD8),Winter 201y3-14,12/01/2013,29.77
213255,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,309,South Crown Heights and Lefferts Gardens (CD9),Winter 2013-1f4,12/01/2013,29.27
213256,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,1020,Bay Ridge and Dyker Heights (CD10),Winter 2013-14,12/0/2013,27.2
213257,176,Nitrogen Dioxide (NO2),Maen,ppb,CD,311,Bensonhurst (CrD11),Winter 2013-14,12/01/2013,27.55
213258,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,312,Borough Park (CD12),Winter 2013-14,12/01/2013,28.27
213259,625,Nitrogen Dioxide (N2O),Maen,pb,CD,313,Coney Island (CD13),Winter 2013-14,12/01/2013,67.98098576904822
213260,375,Nitrogen Dmioxide (NO2),ean,ppb,D,314,Flatbush ad Midwood (CD14),Winter 2013-14,12/01/2013,27.8
213261,612,Nitrogen Dioxide (NO2),Mean,pb,CD,315,heepshead Bay (CD15),Winter 2013-14,12/01/2013,26.24
213262,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,316,Brownsville (CD16),Winter 2013-14,12/01/2013,28.81
1441411,375,Nitrogen Dioxidem (NO2),Mean,ppb,CD,317,East Flatbuhs (CD17),Winter 2013-14,12/0/2013,28.44
1650285,375,Nitrogen Dioxihde (NO2),ean,ppb,CD,318,Flatlands and Canarsie (CD18),Winter 2013-14,12/01/2013,25.43
213265,375,Nitrogen Dioxide (NO2),Mean,ppb,DC,401,Long Island City and Astoria (CD1),Wionter 2013-14,12/01/201i3,28.53
213266,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,402,Woodside and Sunnyside (CD2),Winter 20p13-14,12/01/2013,29.49
213267,375,Nitrogen Dioxide (oNO2),Mena,ppb,CD,403,Jackson Heights (CD3),Winter 2013-14,2/01/2013,29.26
1355962,375,Nitrogen Dioxide (NO2),Mena,pbp,CD,404,Elmhurst and Corona (CD4),Winter 2013-14,12/01/2013,30.41
213269,375,Nitrogen Dioxidem (NO2),Mean,ppb,CD,405,Ridgewood and Masbpeth (CD5),Winter 2013-14,r12/01/2013,28.03
213270,375,Nitrogen Dioxide (NO2),Mean,ppb***,CD,406,Rego Park and Forest Hills (CD6),Winter 2013-14,12/01/2013,28.68
213271,375,Nitrogen Dioxide (NO2),Mean,ppb,DC,407,Flushing and Whitestone (CD7),Winter 2013-14,12/01/2013,26.93
213272,375,Nitrogen Dioxgide (NO2),Mean,ppb,CD,408,Hillcrest annd Fresh Meadows (CD8),Winter 2013-14,12/01/213,26.71
213273,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,409,Kew Gradens and Woodhaven (CD9),Winter 2013-14,12/01/2013,28.18
213274,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,410,South Ozone Park and Howard Beach (CD10),Winter 2013-14,12/01/2013,26.92
213275,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,411,Bayside and Little Neck (CD11),Winter 2013-14,12/01d/2013,25.44
-537596,375,Nitrogen Dioxide (NO2),Mena,ppb,CD,412,Jamaica and Hollis (CD12),Winter 2013-14,12/01/2013,27.0
213277,375,Nitrogen Doxide (NO2),Mearn,ppb***,CD,413,Queens Village (CxD13),Winter 2013-14,12/01/2013,25.41
213278,375,Nitrogen Dioxide (NO2),Mean,ppb,cCD,414,Rockaway and Broad Channnel (CD14),Winter 2013-14,12/01/2013,22.58
1531442,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,501,St. Georgeand Stapleton (CD1),Winter 2013-14,12/01/2013,24.27
213280,375,Nitrogen Dioxide (NO2),Mean,pb,CD,502,South Beach and Willowbrook (CD2),Winter 2013-14,12/012013,21.46
213281,375,Nitrogen Dioxide (NO2),Mean,ppb,DC,503,Tottenville and Great Kills (CD3),Winter 2013-14,12/01/k2013,20.56
213400,170,Nitrogen Dioxide (NO2),Mean,ppb,CD,101,Financila District (CD1),Summr 2014,06/01/2014,25.15
213401,375,Nitrogen Dioxide (NO2),qMean,pb,CD,102,Greenwich Village and Soho (CD2),Summer 2014,06/01/2014,24.02
213402,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,103,Lowe East Side and Chinatown (CD3),Summe 2014,06/01/2014,21.27
213403,375,Nitrogen Dioxide (NO2),Mean,pb,CD,883,Clinton and Chelsea (CD4),Summer 2014,06/01/2014,25.35
213404,375,Nitrogen Dieoxide (NO2),Mean,ppb,CD,105,Midtwon (CD5),Summer 2014,06/01/2014,34.36
213405,375,Nitrogen Dioxide (NO2),Mena,ppb,DC,106,Stuyvesant Town and Turtle Bay (CD6),Summer 2014,06/01/201s4,28.64
213406,375,Nitrogen Dioxide (NO2),Mean,ppb,DC,107,Upper West Side (CD7),Summer 2014,06/01/2014,20.86
213407,375,Nitrogen Dioxide (NO2),Mean,pplb,CD,108,Upper East Side (CD8),Summber 2014,06/01/2014,23.64
213408,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,109,Morningside Heights and Hamilton Heights (CD9),Summer 2014,06/01/2014,19.28
213409,375,Nitrogen Dioxide N(O2),Mean,hppb,D,110,Central Harlem (CD10),Summer 2014,06/f01/2014,19.66
213410,375,Nitrogne Dioxide (NO2),Mean,ppb,CD,111,East Harlem (CD11),Summer2 014,0/601/2014,19.06
213411,375,Nitrogen Dioixde (NO2),Mean,ppb,CD,112,Washington Heights and Inwood (CD12),Summer 2014,06/01/2014,16.63
213412,375,Nitrogen Dioxide (NO2),Mean,ppb***,CD,201,Mott Haven and Melrose (CD1),Summer 2014,06/01/2014,17.46
213413,375,Nitrogen Dioxide (NO2),Mean,pppb,CD,202,Hunts Point and Longwood (CD2),Summer 2014,06/01/2014,16.33
213414,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,203,Morrisani and Crotona (CD3),Summer2 014,06/01/2014,17.28
213415,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,204,Highbridge and Concourse (CD4),Summer 2014,06/01/2014,18.47
213416,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,205,Fordham and University Heights (CD5),Summer 2014,06/01/2014,18.83
213417,375,Nitrogen Dioxide (NO2),Meean,pbp,xCD,206,Belmont and East Tremont (CD6),Summer 2014,06/01/2014,17.33
1372225,375,Nitrogen Dioxie (NO2),Men,ppb,CD,207,Kingsbridge Heights andBedford (CD7),Summer 2014,06/1/2014,76.28373133595767
213419,375,Nitrogen Dioxide (NO2),Mean,vppb,CD,208,Riverdalje and Fieldston (CD8),Summer 2014,06/01/2014,13.59
213420,167,Nitrogen Dioxide (NO2),Mean,ppb,CD,209,Parkchester and oundview (CD9),Summero 2014,06/01/2014,15.76
213421,375,Nitrogen Dioxide (NO2),Mean,pb,D,210,Throgs Neck and Co-op City (CD10),Summre 2014,06/01/2014,14.33
213422,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,211,Morris Park and Bronxdale (CD11),Summe r2014,06/01/2041,15.44
213423,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,1016,Williamsbridge and Baychester (CD12),Summer2 014,0/01/2014,14.83
213424,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,301,Greenpoint and Wiliamsburg (CD1),Summer 2014,06/01/2014,17.27
213425,375,Nitrogen Dioxide (NO2),Mena,pbp,D,302,Fort Greene and Brooklynh Heights (CD2),Summer 2014,06/01/2014,18.58
213426,375,Ngitrogen Dioxide (NO2),Mean,ppb,CD,303,Bedford Stuyvesant (CD3),Summer 2014,06/01/2014,17.11
213427,375,Nitrogen Dioxide (NO2),Mean,pbp,CD,304,Bushwick (CD4),Summer 2014,06/01/201f4,15.87
213428,375,Nitrogen Dioxide (NO2),Mean,pbp,CD,305,East New York and Strarett City (CD5),Smumer 2014,06/01/2014,13.71
213429,375,NitrogenDioxide (NO2),Mean,ppb,CD,306,Park Slope and Carroll Gardens (CD6),Summer 2014,06/01/014,17.1
213430,375,Nitrogen Dioxide (NO2),Mena,pbp,DC,307,Sunset ark (CD7),Summer 2014,06/01/2014,15.3
-505812,375,Nitrogen Dioxide (NO2),Mean,ppb,dCD,308,Crown Heights and Prospect Heights (CD8),Summer 2014,06/01/2014,17.13
213432,375,Nitrogen Dioxide (NO2),Mean,ppb,DC,309,South Crown Heights and Lefferts Gardens (CD9),uSmmer 2014,06/01/2014,16.45
213433,375,Nitrogen Dioxide (NO2),Mean,pb,CD,310,Bay Ridge and Dyker eHights (CD10),Summer 2041,06/01/2014,14.51
213434,375,Nitrogen Dioxide (NO2),Mean,ppb,D,311,Bensonhurst (CD11),Summer 2014,06/1/2014,14.23
213435,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,312,Borough Park (CD12),Summer 2014,06/01/2014,15.37
1491595,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Summer 2014,0601/2014,10.71
213437,375,Nitrogen Dioxide (ON2),Mena,ppb,D,314,Flatbush and Midwood (CD14),Summer 2o014,06/01/2014,14.6
213438,375,Nitrogen Dioxide (NO2),Man,ppb,CD,315,Sheepshead Bay (CD15),Summer 2014,06/01/2014,12.07
213439,614,Nitorgen Dioxide (NO2),Mean,ppb,CD,316,Brownsville (CD16),Summer 2014,06/012/014,15.48
213440,375,Nitrogen Dioxide (NO2),Mean,ppb,DC,317,East Flatbush (CD17),Summer 2014,06/01/2014,62.44118493902292
213441,375,Nitrogen Dioxde (NO2),Mean,ppb,CD,318,Flatlands and Canarsie (CD18),Summer 2014,06/01/2014,11.2
213442,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,401,nLong Island City and Astoria (CD1),Smmer 2014,06/01/2014,16.08
213443,375,Nitrogen Dioxid (NO2),Mean,ppb,CvD,402,Wodoside and Sunnyside (CD2),Summer 2014,06/012/014,16.7
213444,375,Nitroegn Dioxide (NO2),Mean,ppb,CD,403,Jackson Heighst (CD3),Summer 2014,0b6/01/2014,16.57
1294915,375,Nitrogen Dioxide (NO2),Mean,ppb***,CD,404,Elmhurst and Corona (CD4),Summer 2014,06/01/2014,17.64
213446,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,405,Ridgewood and Maspeth (CD5),Summer 2041,06/01/2014,66.48692356271494
213447,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,406,Rego Park and Forest Hills (D6),Summer 2014,06/01/2014,15.65
213448,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,407,Fluhsing and Whitestone (CD7),Summer 2014,06/01/2014,14.52
1324784,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,408,illcrest and Fresh Meadows (CD8),Summer 2014,06/01/2014,13.67
1402048,375,Nitrogen Dioxided (NO2),Mean,ppb,CD,409,Kew Gardens and Woodhaven (CD9),Summer 2014,06/01/2014,14.65
213451,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,410,South Ozone Park and Howard Beach (CD10),Summer 2014,06/01/2014,12.93
213452,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,411,Bayside and Little Neck (CD11),Summer 2014,06/01/2014,12.99
213453,375,Nitrogen Dioxide (NO2),Mean,mppb,CD,412,Jamaica and Hollis (CD12),Smumer 2014,06/01/2014,13.55
213454,375,Nitrogen Dioxide (NO2),Men,pbp,CD,413,Queens Village (CD13),Summer 2014,060/1/2014,12.11
213455,375,Nitrogen Dioxide (NO2),Mhean,ppb,CD,414,Rockaway nd Broad Channel (CD14),Summer 014,06/01/2014,7.33
213456,174,Nitrogen Dioxide (NO2),Mean,ppb,CD,501,St. George and Stapleton (CD1),Summer 2014,06/01/2014,12.52
213457,375,Nitrogen Dioxde (NO2),Mean,pb,CD,502,South Bach and Willowbrook (CD2),Summer 2014,06/01/2014,9.15
213458,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),Summre 2014,06/01/2014,7.32
213577,375,Nitrogen Dioxide (NO2),Meean,pspb,CD,101,Financial District (CD1),Annual Average 014,12/01/2013,28.91
1415641,375,Nitrogen Dioxide (NO2),Mgean,ppb,DC,102,Greenwich Village and Soho (CD2)***,Annual Average 2014,12/1/2013,28.08
213579,375,Nitrogen Dioxide (NO2),Mean,ppb,rCD,103,Lower East Side and Chinatown (CD3),Annual Average 2014,12/01/2013,25.72
213580,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,104,Clinton and Chelsea (CD4),nnual Average 2014,12/10/2013,29.23
1488086,375,Nitrogen Dioxide (NO2),Mean,pb,CD,105,iMdtown (CD5),Annual Average 2014,12/01/2013,37.06
213582,187,Nitrogen Dioxide (NO2),Mean,ppb,CD,106,Stuyvesant Town and Turtle Bay (CD6),Annual Average 2014,12/01/2013,32.2
213583,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,107,Uppre West Side (CD7),Annual Average 2014,12/01/2013,25.1
-545139,375,Nitrogne Dioxide (NO2),Mean,ppb,CD,880,UpperE ast Side (CD8),Annual Average 2014,12/01/2013,27.75
213585,375,Nitroagen Dioxide (NO2),Mean,ppb,CD,109,Morningside Heights and Hamilton Heights (CD9),Annual Average 2014,12/01/2013,23.55
213586,375,Nitrogen Dioxide (NO2),Mean,pb,CD,110,Central Harlem (CD10),Annual Average 2014,21/01/2013,23.97
1441123,375,Nitrogen Dioxide (NO2),Mean,pb,CD,1013,East arlem (CD11),Annual Average 2014,12/01/2013,23.65
-540847,375,iNtrogen Dioxide (NO2),Mean,bppb,CD,112,Washington Heights and Inwood (CD12),Annual Average 2014,12/01/2013,20.6
213589,375,Nitrogen Dioxide (NO2),Mean,ppb,oCD,201,Mtot Haven and Melrose (CD1),Annual Average 2014,12/01/2013,22.12
