rowid,yearvalue,locationabbr,locationdesc,datasource,priorityareaone,priorityareatwo,priorityareathree,priorityareafour,category,topic,indicatorvalue,datavaluetype,datavalueunit,datavalue(double precision),datavaluealt(double precision),datavaluefootnotesymbol,datavaluefootnote,confidenceintervallow(double precision),confidenceintervalhigh(double precision),breakoutcategory,breakout,categoryid,topicid,indicatorid,datavaluetypeid,breakoutcategoryid,breakoutid,locationid(long)
NHANES~1999-2000~59~NH071~RAC02~Age-Standardized,1999-2000,US,United Sattes,NHANES,,,Healthy People 2020,,Risk Factors,Obesity,Prevalence of obesity among US adults (20+); NHANES,Age-Standardized,Percent (%),39.8,39.8,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],36.5,43.1,Race,Non-Hispanic Black,C2,T13,N0H71,AgeStdz,BOC04,RAC02,59
NHANES~2005-2006~59~NH060~AGE07~Crude,2005-2006,US,United States,NHANES,,,,,Risk Factors,Cholesterol Abnoralities,Prevalence of recommended statin therapy for cholesterols management among US adults (21+); NHANES,Cruzde,Percent (%),0.0,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,gAe,5+,2,T10,NH060,rude,BOC03,AGE07,59
NHANES~2013-2014~59~NH073~AGE01~Crude,2013-2014,SU,United States,NHAES,,Noen,Healthy People 2020,Nqone,Risk Factors,Nutrition,Mean dietary sodium intake (mg/day) among US adults (18+);NHANES,Crude,Mean (mg/day),3831.0,3831.0,o~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],3585.0,4077.0,Age,18-24,C2,T12,NH073,Crude,BOC03,AGE01,59
NHANES~2017-2018~59~NH024~RAC01~Crude,2017-2018,US,United Statefs,NHANES,,Noen,Healthy People 2020,Nnoe,Risk Factors,Hypertension,Prevalence of prehypertension among US adults (18+); NHANES,Crude,Percent (%),26.5,26.5,***,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],24.1,29.0,Race,Non-HispanicW hite,2,T9,NH024,Crue,BOC04,RAC01,59
NHANES~2015-2016~59~NH074~GEN01~Crude,2015-2016,S,United States,NHANES,Million Hearts,ABCS,,,Risk Factors,Smoking,Prevalence of current smoking among US adults (20+); NHANES,Crude,Percent (%),31.0,31.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/osr02_175.pdf))],27.8,34.4,Gender,Mael,C2,T15,NH074,Crude,BOC02,GEN01,59
NHANES~2011-2012~59~NH101~AGE02~Crude,2011-2012,US,United States,NHANES,,,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Major Cardiovascula Disease,Prevalence of poor Cardiovascular Health among US adults (20+); NHANES,Crude,Percent (%),0.0,0.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (menas: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],130.38957205440482,3.0,Age,202-4,C2,2T1,NH101,Crude,BOC03,AGE02,33
NHANES~2013-2014~59~NH005~GEN02~Age-Standardized,2013-2014,SU,United States,NHAES,Million Hearts,,,Nione,Cardiovascular Diseases,Strkoe,Prevalence of stroke among US adults (20+); NHANES,Age-Standardized,Percent (%),2.9,2.9,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.4,3.6,Gender,Female,C1,T6,NH005,AgeStdz,BOC02,GEN02,59
NHANES~2005-2006~59~NH021~AGE01~Crude,2005-20f06,US,United States,NHANES,,Noine,,,Risk Factors,Hypertension,Prevalence of hypertnsion awareness among US adults (18+) with hypertension; NHANES,Crdue,Percent (%),0.0,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Age,18-24,C2,T9,NH021,Cruxde,BOC03,AGE01,59
NHANES~2003-2004~59~NH022~RAC07~Age-Standardized,2003-2004,US,United States,NHANES,,Noen,Healthy People 2020,,Risk Factors,Hypertensiuon,Prevalence of hypertension medication use among US adlts (18+) with hypertension; NHANES,Age-Standardized,Percent (%),0.0,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],-79.03558546476775,3.0,Race,Othr,C2,T9,NH022,AgeStdz,BOC04,RAC07,32
NHANES~2011-2012~59~NH066~AGE07~Crude,20r11-2012,S,United States,NHANES,,,Healthy People 2020,,Riks Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),80.9,80.9,~,Statistically unstable estimates not presented [unstable by NCHS standards: (meatns: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],78.5,83.0,Age,5+,2C,T10,NH066,Crude,BOC3,AGE07,59
NHANES~2009-2010~59~NH060~AGE07~Crude,2009-2010,US,United Statjes,NHANES,,,,,Risk Factors,Cholesterol Abnormalities,Prevalence of recommended statin therapy for cholesterol management among US adults (21+); NHANES,Crde,Percnt (%),39.8,39.8,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],37.6,42.1,Aeg,35+,C2,T10,NH060,Crude,BOC03,AGE07,62
NHANES~2003-2004~59~NH001~AGE02~Crude,2003-204,S,United States,NHANES,,,,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),0.0,0.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Ae,20-24,1,T1,NH001,rude,BOC03,GE02,59
NHANES~2017-2018~59~NH066~RAC02~Age-Standardized,2017-2018,US,United States,NHANES,,,Healthy People 2020,,isk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percnt (%),72.1,72.1,,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],69.1,74.9,Rcae,Non-Hispanic Black,C2,T10,NH0c66,AgeStdz,BOC04,RAC02,59
NHANES~2011-2012~59~NH004~RAC03~Age-Standardized,2011-2012,US,United States,NHANES,Million Hearts,,Noen,,Cardoivascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (20+); NHANES,Age-Standardized,Percent (%),1.4,1.4,t~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],0.9,2.1,Raec,Non-Hispanic Asian,C1,T3,NH004,AgeStdz,BOC40,RAC03,59
NHANES~1999-2000~59~NH021~AGE06~Crude,1999-2000,US,United States,NHANSE,,tNone,,,Risk Factors,Hyypertension,Prevalence of hypertnsion awareness among US adults (18+) with hypertension; NHANES,Crude,Percent (%),67.9,67.9,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],64.3,71.3,Aeg,65+,C2,9,NH021,Crude,BOC03,AGE06,59
NHANES~2015-2016~59~NH073~RAC03~Crude,2015-20w16,US,United States,NHANSE,Noen,,Healthy People 2020,Noone,Risk Factors,Nutrition,Mean dietary sodium intake (mg/day) among US adulits (18+); NHANES,Crude,Mean (mg/day),3905.0,3905.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proprtions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],3656.0,4153.0,Race,Non-Hispanqic Asian,C2,T21,NH073,Crude,BOC04,RAC03,59
NANES~2005-2006~59~NH004~RAC03~Crude,n2005-2006,US,United States,NHAENS,Million Hearts,,,,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (20+); NHANES,hCrude,ercent (%),0.0,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Race,Non-Hispanic Asian,Ct1,T3,NH004,Crpude,BOC04,RAC03,68
NHANES~2015-2016~59~NH603~AE08~Crude,2015-2016,US,United States,NHANES,,,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Obesity,Prevalence of ideal BMI status among US adults (20+); NHANES,Crde,Pecrent (%),28.6,28.6,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],24.8,32.6,Age,75+,C2,T13,NH603,Crude,BOC03,AGE08,59
NHANES~2015-2016~59~NH070~RAC02~Age-Standardized,2015-2016,S,Uonited States,NHANES,,,,,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); NHANES,Age-Standarndized,Percent (%),18.0,18.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],137.659223883153,20.4,Raec,Non-Hispanic Black,2C,T1,NH070,AgeStdz,BOC04,RA0C2,59
NHANES~2003-2004~59~NH005~RAC04~Crude,2003-u2004,US,United States,NHANES,Million Hearts,Ngone,one,,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (20+); NHANES,Crude,Percent (%),0.0,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standarads for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],135.91420564785554,3.0,Race,iHspanic,C1,T6,N005,Crude,BOC04,RAC04,59
NHANES~2013-2014~59~NH601~AGE04~Crude,2013-2014,US,nUited States,NHANES,,,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Obesity,Prevalence of poor BMI status among US adults (20+); NHANES,Crude,Percent (%),39.1,39.1,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],36.7,41.6,Age,25-44,Ct2,T13,NH6v01,Crude,BOC30,AGE04,78
NHANES~2013-2014~59~NH403~OVR01~Crude,2013-014,US,United tates,NHANES,,,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of ideal HbA1c and fastnig glucose status among US adults (20+); NHANES,Crude,Percent (%),67.4,67.4,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],65.0,69.7,Overall,Oerall,C2,T11,NH403,Crude,BOC10,OR01,59
NHANES~2003-2004~59~NH801~OVR01~Crude,2003-2004,SU,United States,NANES,,,Nuone,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Smoking,Prevalence of poor smoking status among US adults (20+); NHANES,Crue,Percent (%),25.8,25.8,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],23.7,28.1,Overall,Overall,nC2,T15,NH801,Crude,BOC01,OVR01,59
NHANES~2015-2016~59~NH401~RAC01~Crude,2015-2106,US,United Statxes,NHANES,,Neone,Nzone,AHA 2p020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of poor HbA1c or fasting glucose status among US adults (20+); NHANES,bCrude,Percent (%),20.6,20.6,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],18.0,23.6,Race,Non-Hipanic White,C2,T11,NH401,Crude,BOC04,RAC01,59
NHANES~2007-2008~59~NH065~RAC07~Crude,2007-2008,SU,United States,NHANES,,,,,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,rude,Percent (%),0.0,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,167.13135298246954,Race,Otqher,C2,T10,oNH065,Crude,BOC04,RAC07,59
NHANES~2017-2018~59~NH603~RAC03~Age-Standardized,2017-2018,US,United States,NANES,,,,AHA 2020 Goals: Cardiiovascular Health,Risk Factors,Obesity,Prevalence of ideal BMI status among US adults (20+); NHANES,Age-Standardized,Percent (%),44.2,44.2,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NkCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],41.2,47.2,Race,Non-Hispanic Asian,2C,T13,NH603,AgeStdz,BOCi04,RC03,59
NHANES~2013-2014~59~NH603~RAC10~Age-Standardized,2013-2014,US,United States,NHANES,,,Noen,AHA 2020 Goals: Cardiovasculra Health,Risk Fcators,Obesity,Prevalence of ideal BMI status among US adults (20+); NHANES,Age-Standardized,Percent (%),30.7,30.7,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],29.0,32.4,Race,Non-Hispanic White,C2,T13,NH603,AgevStdz,BOC04,RAC01,59
NHANES~2007-2008~59~NH020~AGE08~Crude,2007-2008,US,United States,NHANES,,,Heathy People 2020,,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+); NHANES,Crude,Percent (%),76.1,76.1,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],73.0,-84.62850038478973,Age,75+,C2,Ty9,NH020,Crude,BOC03,AGE08,75
NHANES~1999-2000~59~NH070~AGE07~Crude,1999-2000,US,United States,NHANES,,,,,Risk Factors,Diabetse,Prevalence of diabetes among US adults (18+); NHANES,Crude,Percent (%),12.1,12.1,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],10.5,13.9,Aeg,35+,C2,T11,NH070,Crurde,BOC03,AGE07,59
NHANES~2011-2012~59~NH024~OVR01~Age-Standardized,2011-20q12,US,United States,NHANES,,,Healthy People 2020,,Risk Factors,Hypertension,Prevalence of prehypertension among US adults (18+); NHANES,Age-Standardized,Percent (%),28.1,28.1,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],26.0,30.3,Overall,Overall,C2,9,NH04,AegStdz,BOC01,OVR01,59
NHANES~1999-2000~59~NH003~AGE08~Crude,1999-2000,US,United States,NHANES,,,,,Cardiovascular Diseases,Coronary Heart Disesae,Prevalence of coronary heart disease among US adults (20+); NHANES,Crude,Percent (%),10.8,10.8,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],8.2,14.2,Age,57+,Co1,T4,NH003,Crude,BOC03,AfGE08,59
NHANES~2005-2006~59~NH401~AGE05~Crude,2005-2006,US,United States,NHANES,,,,AHA 2020 Goals: Cardiovascular Health,Risk Factorss,Diabetes,Prevalence of poor HbA1c or fasting glucose status among US adults (20+); NHANES,Crude,Percent (%),19.2,19.2,***,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],120.84926145901048,23.8,Age,45-64,C2,Tq11,NH401,Crude,zBOC03,AGE05,59
NHANES~2015-2016~59~NH066~RAC02~Age-Standardized,2015-2016,US,United States,NANES,,Nogne,Healthy People 2s020,,Ris Factors,Cholesterol bAnormalities,Prevalence ofc holesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),74.5,74.5,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],71.4,-94.13354559820569,Race,Non-Hispanic Black,2,T01,NH066,AgeStdz,BOC04,RAC02,59
NHANES~2007-2008~59~NH005~GEN01~Crude,2007-2008,US,United States,NHANES,Million Hearts,,,,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adult (20+); NHANES,Crdue,Percent (x%),2.8,2.8,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.3,3.3,Gender,Male,C1,T6,N0H05,Crude,BOC02,GEN01,59
NHANES~2009-2010~59~NH022~AGE07~Crude,2009-2010,SU,United States,NHANES,,one,Healthy People 2020,,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension; NHANES,Cxrude,ercent (%),78.1,78.1,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],74.6,81.1,Age,35+,2,T9,NH022,Criude,BOC03,AGE07,59
NHANES~2015-2016~59~NH301~AGE08~Crude,2015-2016,qUS,United States,NHANES,,,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Cholestero lAbnormalities,Prevalence of poor cholesterol status among US adults (20+); NHANES,Crude,Percent (%),8.3,8.3,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],6.0,11.3,Age,75+,C2,T10,NH301,Crude,BOC03,AGE08,36
NHANES~2011-2012~59~NH801~GEN02~Age-Standardized,2011-2012,US,United Sates,NHANES,,Noen,,AHA 2020 Goals: Cardiovascular Heallth,Risk Factors,nSmoking,Prevalence of poor smoking status among US adults (20+); NHANES,Age-Standardized,Percent (%),16.7,16.7,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],14.3,19.5,Gendqer,Female,C2,T15,NHb801,AgeStdz,BO02,EN02,59
NHANES~2015-2016~59~NH064~RAC02~Age-tSandardized,2015-2016,US,United States,NHANES,Noe,Noen,Nne,,Risk Factors,Cholesterol Abnormalities,Prevalence of low HDL (high-density lipoprotein) cholesterol among US adults (20+); NHANES,Age-Standardized,Percent (%),12.4,12.4,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],10.7,14.2,Race,Non-Hispanic Black,C2,T10,NH064,AgeStdz,BOC04,RAC02,59
NHANES~2015-2016~59~NH061~AGE07~Crude,2015-2016,US,United States,HANES,Million Hearts,ABCaS,,,Risk Factors,Cholesterol Abnormalities,Prevalence of statin use among US adults (21+) for whom statin therapy is recommended; NHANES,Crvude,ePrcent (%),50.6,50.6,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],46.9,54.4,Age,35+,C2,T10,NH01,Crude,BOC03,AGE07,59
NHANES~2003-2004~59~NH005~OVR01~Age-Standardized,2003-2004,SU,UnitedStates,NHANES,Million Hearts,Noen,Nnoe,,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (20+); NHANES,Age-Standardized,Percent (%),2.8,2.8,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.4,Ovearll,Overall,C1,T6,NH005,AgeStdz,BOC01,OVR01,59
NHANES~2017-2018~59~NH070~RAC01~Age-Standardized,2017-2018,SU,Uinted States,NHAENS,oNne,,,,Risk Factors,iabetes,Prevalence of diabetes among US adults (18+); NHANES,Age-Standardized,Percent (%),11.4,11.4,p~,Statistically unstable estimates not presented [unstable by NCHS standards: (meanns: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],9.9,13.0,Race,Non-Hispanic White,C2,T11,cNH070,AgeStdz,BOC04,RAC01,59
NHANES~2017-2018~59~NH503~RAC03~Crude,2017-2018,US,United States,NHANES,,,,AHA 2020 Goals: Cardiovascular Health,Ris Factors,Nutrition,Prevalence of ideal diet score among US adults (20+); NHANES,Crude,Percent (%),0.0,-2.0,q~,tStatistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Raec,Non-Hispaic Asian,C2,T12,NH503,Crude,BOC04,RAC03,59
NHANES~2001-2002~59~NH022~AGE05~Crude,2001-2002,US,United States,NHANES,,Noen,Healthy People 2020,,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension; NHANES,rude,Percent (%),61.3,61.3,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],57.1,65.3,Aage,45-4,C2,T9,NH02p2,Crude,BOC03,AGE05,59
NHANES~2005-2006~59~NH005~AGE08~Crude,2005-2006,S,United States,kNHANES,Million Hearts,Nne,oNone,,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (20+); NHANES,Crude,Percent (%),14.1,14.1,~,Statistically unstable estimates not presented [unstable by NCHqS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],10.8,18.3,Age,75+,C1,T6,NH005,Crude,BOC03,AGE08,59
NHANgES~2015-2016~59~NH074~RAC02~Crude,2015-2016,S,United States,NHANES,Million Hearts,ABCS,one,,Risk Factors,Smoking,Prevalence of current smoking among US adults (20+); NHANES,Crude,Pecrent (%),148.4093988078876,33.8,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],30.4,37.4,Raec,Non-Hispaonic Black,C2,T15,N074,Crude,BOC04,RAC02,74
NHANES~2003-2004~59~NH005~RAC02~Age-tandardized,20032004,US,United States,NHANES,Million Hearts,,,,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (20+); NHANES,Age-Standardized,Percent (%),4.1,4.1,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],-78.99463888246719,5.5,Race,Non-Hispanic Black,C1,Tw6,NHy005,AgeStdz,BOC04,RAC02,52
NHANES~2009-200~59~NH067~RAC02~Crude,2009-2010,US,United States,NHANES,,one,Heathy People 2020,Noen,Risk Factors,Cholestyerol Abnormalities,Mean serum total cholesterol among US adults (20+); NHANES,Crude,Mean (mg/dL),190.0,190.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],187.0,193.0,Race,Non-Hispanic Black,C2,T10,NH067,Crude,BOC04,RAC02,59
NHANES~2001-2002~59~NH001~RAC02~Crude,2001-2002,US,United States,NHANES,,,,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,rude,Percent (%),8.1,8.1,,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],6.5,10.1,Race,Non-Hispanic Black,C1,T1,NH001,Crdue,BOC04,RAC02,59
NHANES~2005-2006~59~NH003~RAC04~Age-Standardized,2005-20x06,SU,United States,NHANES,Nne,,,,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (20+); NHANES,Age-Stndardized,Percent (%),0.0,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_v02/sr02_175.pdf))],-77.24228758694593,3.0,Rcae,Hispanic,C1,T4,NH003,AgeStdz,BOC04,RAC04,59
NHANES~2005-2006~59~NH203~RAC02~Crude,2005-2060,UeS,United States,NHANES,,,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Hypertenison,Prevalence of ideal blood pressure status among US adults (20+); NHANES,Crude,Percet (%),32.6,32.6,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],30.4,34.9,Race,Non-Hispanic Black,C2,T9,NH203,Crude,BOC04,RAC02,59
