OBJECTID,TRBG80,TRACT80,BLKGRP80,AREA_SQFT,AREA_ACRES,SF1LOGRECNO,SF3LOGRECNO,SHAPE_Length,SHAPE_Area
610,26500.1,26500,1,3349691.74610512,76.9,,,9371.00339476047,3349691.82673489
611,11200.2,11200,2,4927334.46563754,113.1,06741,03331,12750.1931497278,4927334.36518055
612,9399.1,9399,1,2663.23625822,0.1,06330,03194,236.190566499177,2663.2450275081
613,5899.2,5899,2,2663.28310622,0.1,05796,02982,236.19120342667,2663.27920917998
614,6699.2,6699,2,2672.39075205,0.1,05906,03037,236.553082328522,2672.37694141027
615,5799.2,5799,2,2663.27839294,0.1,05766,02967,236.19138608977,2663.28555289125
616,3299.1,3299,1,2672.22394646,0.1,05456,02812,236.547992775538,2672.22048725583
617,9999.1,9999,1,2610.27917401,0.1,06477,03243,226.746358405122,2610.28069983274
618,5899.1,5899,1,2672.39584958,0.1,05794,02981,236.55356361973,2672.4045650043
619,5499.1,5499,1,2667.92373159,0.1,05724,02946,236.372197176847,2667.91409480367
620,6400.2,6400,2,1239100.06064263,28.4,05872,03020,7955.21013262111,1239100.07893014
621,6400.5,6400,5,406813.14479873,9.3,05878,03023,3266.28636320073,406813.138278476
622,26400.4,26400,4,605615.03315601,13.9,,,5893.50816766913,605615.017959624
623,9900.6,9900,6,1109026.99963895,25.5,06470,03241,5467.33344048358,1109026.83547931
624,600.1,600,1,4349150.29123251,99.8,05150,02659,11526.0882755772,4349150.15317107
625,300.2,300,2,4124200.10672758,94.7,05118,02643,8587.62534180645,4124200.34595583
626,6300.4,6300,4,941017.30253522,21.6,05862,03015,4244.35189285046,941017.318920289
627,26300.1,26300,1,526467.83596116,12.1,06914,03389,3041.78915697339,526467.791240705
628,11900.1,11900,1,4749228.7257771,109,06863,03372,16214.3977214405,4749228.96660225
629,9500.1,9500,1,6197214.14254553,142.3,06356,03203,21818.0593302156,6197214.07843471
630,1600.2,1600,2,659978.70180458,15.2,05254,02711,3482.75726184951,659978.694695295
631,5801.7,5801,7,4371102.69652571,100.3,05774,02971,11033.0604673264,4371102.56411735
