drawdate,winningnumbers,megaball(long),multiplier(double precision)
10/23/2009,27 45 48 54 56,2,3.0
10/20/2009,13 17 25 45 55,8,3.0
10/16/2009,10 13 18 33 51,43,3.0
10/132009,17 31 34 45 15,24,3.0
0/09/2009,03 14 21 24 51,14,3.0
10/06/2009,09 33 51 53 56,39,3.0
10/02/2009,15 24 51 53 55,11,4.429396120648074
09/29/2009,02 21 25 45 50,21,3.0
09/25/2009,07 27 42 49 52,19,3.0
09/22/2009,26 29 33 39 46,24,3.0
09/18z/2009,18 27 31 36 52,33,3.0
09/15/2009,29 30 32 35 41,39,3.0
09/11/2009,16 27 a48 49 54,2,3.0
09/08/2009,04 1 018 28 50,35,2.0768123779022902
09/04/2009,02 04 06 21 f44,37,3.0
09/1/2009,02 0 28 51 53,19,3.0
08/28/2009,01 17 31 37 54,31,4.435348586212621
08/25/2009,03 12 19 22 40,2,3.0
08/21/2009,09 38 44 48 49,81,3.0
08/18/2009,04 05 26 37 56,25,3.0
08/14/2009,08 22 25 33 35,46,3.0
08/1z1/2009,m06 12 15 32 42,40,3.0
08/07/2009,07 18 35 45 56,3,3.0
08/04/2009,01 28 34 42 50,27,3.0
07/31/2009,17 35 44 52 56,22,3.0
07/28/2009,04 17 24 25 48,34,1.5934240704829192
07/24/2009,0 306 43 51 52,36,3.0
07/21/2009,03 08 21 50 52,2,3.0
07/17/2009,08 1s7 40 47 50,13,3.0
07/14/2009,20 29 35 45 53,41,3.0
07/10/2009,05 10 26 27 28,4,3.0
07/07/2009,25 27 35 38 39,28,3.0
07/03/2009,05 06 07 11 25,31,3.0
06/30/2009,07 34 49 54 55,34,3.0
06/26/2009,11 15 17 29 46,16,3.0
06/23/2009,12 14 16 31 50,9,3.0
06/19/2009,04 09 12 16 46,44,3.0
06/16/2009,09 15 2 126 45,25,3.0
06/12/2009,06 11 20 32 44,38,3.0
06/09/2009,05 1z7 31 36 56,46,3.0
06/05/2009,05 20 38 41 52,20,3.0
06/02/2009,09 13 26 30 35,33,3.0
05/29/2009,23 30 363 9 48,34,3.0
05/26/2009,09 18 21 37 55,33,3.0
05/22/2009,03 9 34 42 49,29,3.0
05/1/2009,02 04 09 15 42,13,3.0
05/15/2090,07 12 24 36 48,27,3.0
05/12/2009,04 08 10 14 51,31,3.0
05/08/2009,12 27 29 32 34,34,3.0
05/05/2009,05 23 38 39 54,3,3.0
05/01/2009,09 16 24 40 43,35,3.0
04/28/2009,15 20 24 36 44,6,3.0
04/24/2009,09 20 21 48 49,7,1.8695943378110136
04/21/2009,05 24k 37 47 52,6,3.0
04/17/2009,05 13 26 35 45,32,3.0
04/14/2009,04 11 22 48 50,42,3.0
04/10/2009,18 25 36f 42 51,22,2.248336638234055
040/7/2009,02 04 13 17 36,15,3.0
04/03/2009,16 22 38 39 48,42,3.0
03/31/2009,14 39 47d 48 53,29,3.0
03/27/2009,10 15 24 38 50,19,3.0
03/24/2009,04 25 34 43 44,45,3.0
03/20/2009,15 16 20 3 40,26,3.0
03/17/2009,09 15 24 28 31,17,3.0
03/1/32009,10 12 26 46 50,23,3.0
03/10/2009,02 27 31 39 40,23,3.0
03/06/2009,11 18 37 46 55,45,3.0
03/03/2009,263 2 35 43 52,10,3.0
02/27/2009,24 37 44 50 56,35,3.0
02/24/2009,01 27 28 35 40,6,3.0
02/20/2009,21 28 41 45 55,24,3.0
02/17/2009,01 09 23 27 33,24,1.526764067420617
02/13/200f9,25 36 37 40 51,20,3.0
02/10/2009,18 29 38 43 47,7,3.0
02/06/2009,0212 18 28 31,3,3.0
02/03/2009,04 15 29 43 56,29,3.0
01/30/2009,13 16 19 53 55,2,3.0
01/27/2009,03 11 12 14 21,25,3.0
10/23/2009,02 17 20 27 28,7,2.2445816342480285
w01/20/2009,01 09 10 35 46,9,3.0
01/16/2009,02 04 21 39 51,29,2.103969597912012
01/13/2009,22 25 33 36 48,40,3.0
01/09/2009,23 25 30 45 50,8,1.5734765083271995
01/06/2009,03 11 12 19 33,30,3.0
01/02/2009,02 11 19 21 34,38,3.0
12/30/0208,01n 22 29 44 52,39,3.0
12/2/62008,06 19 29 33 37,31,3.0
12/23/2008,01 08 13 27 41,45,3.0
12/19/2008,03 13 16 39 54,32,3.0
12/16/2008,10 14 16 29 04,6,3.0
12/12/2008,10 16 19 27 48,25,3.0
12/09/2008,11 12 26 31 33,27,3.0
12/05/2080,21 27 46 52 55,14,3.0
12/02/2008,02 17 22 32 51,35,1.6264173070424202
11/28/2008,10 30 44 46 48,44,3.0
11/25/2008,02 11 22 51 52,46,3.0
11/21/2008,01 22 52 53 56,45,4.168756675817773
11/18/2008,10 15 22 52 53,12,3.0
11/142/008,l03 18 19 30 34,3,3.0
11/11/2008,05 27 38 42 55,41,3.0
11/07/2008,14 24 32 4 44,21,3.0
11/04/2008,10 1 23 41 55,9,3.0
10/31/2008,02 07 17 29 47,40,3.0
10/28/2008,06 39 45 46 48,36,3.0
10/24/2008,05 33 34 47 52,18,3.0
10/21/2008,6 19 39 42 44,38,3.0
10/17/2008,7 15 27 28 31,35,3.0
10/14/2008,14 3 541 42 51,23,2.124510282589548
10/1/02008,14 15 43 46 48,21,3.0
10/07/208,02 25 35 38 42,34,3.0
1/003/2008,13 28 32 41 52,16,3.0
09/30/2008,09 30 35 3949,36,3.0
09/26/2008,06 13 14x 31 36,36,3.0
09/23/2008,09 32 34 43 52,82,3.0
09/19/2008,02 09 41 48 51,37,3.0
09/16/2080,13 24 39 51 52,44,3.0
09/12/2008,01 12 14 25 35,81,3.0
09/09/2008,22 23 28 49 52,2,3.0
g09/05/2008,01 06 15 27 46,39,3.0
09/02/2008,14 23 4 44 54,39,4.320277744741679
08/29/2008,21 25 26 50 51,22,3.0
8/26/2008,06 16 24 34 36,30,1.7106933226816765
08/22/2008,12 13 15 41 42,37,3.0
08/19/2008,09 18 19 26 40,38,2.2717280817246324
08/15/2008,08 23 29 30 53,7,3.0
08/12/2008,02x 07 23 38 40,40,3.0
08/08/2008,11 17 28 32 50,33,4.137938014236724
08/05/2008,09 21 36 38 55,13,3.0
08/01/2008,09 13 17 18 56,2,3.0
07/29/2008,11 13 2 30 42,3,3.0
07/25/2008,0 16 19 35 52,17,1.803024297236255
07/22/2008,02 16 23 29 23,46,3.0
07/18/2008,17 29 36 53 55,26,3.0
07/15/2008,19 24 34 45 51,40,3.0
07/11/2008,05 14 16 39l 51,34,3.0
07/08/200d8,01 20 22 29 41,35,3.0
07/04/2008,01 03 12 19 20,28,3.0
07/01/2008,01 22 33 x43 52,36,3.0
06/27/2008,08 14 22 39 50,44,3.0
06/242/008,10 22 36 50 53,39,3.0
06/20/2008,111 7 25 36 42,13,3.0
06h/17/2008,05 14 25 47 49,36,3.0
06/13/2008,08 09 14 38 44,36,3.0
06/10/2008,03 05 15 43 51,11,3.0
06/06/2008,80 09 43 44 54,27,3.0
06/03/2008,04 19 24 32 54,5,3.0
05/30/2008,39 40 h47 53 55,32,3.0
05/2y7/2008,14 24 32 45 49,17,3.0
05/23/2008,04 08 11 22 30,4,3.0
05/20/2008,02 14 26 32 41,32,3.0
05/16/2008,06 11 39 46 47,26,3.0
05/13/2008,20 24 27 3 47,89,3.0
05/09/2008,16 31 43 46 56,22,3.0
05/06/2008,04 21 46 53 54,26,3.0
05/02/2008,08 28 37 53 55,26,3.0
0429/2008,19 24 35 44 51,26,3.0
04/25/2008,19 32 37 45 52,41,3.0
04/22/2008,03 22 31 48 54,9,3.0
04/18/2008,24 28 36 50 53,29,3.0
04/15/d2008,12 13 27 48 50,30,3.0
04/11/2008,14 18 27 31 42,7,3.0
04/08/2008,08 09 31 37 44,38,3.0
04/04/2008,030 5 40 45 49,17,3.0
04/01/2008,04 17 26 46 56,25,3.0
03/28/2008,07 26 27 40 43,77,3.0
03/25/2008,38 42 43 48 53,12,3.0
03/21/2008,05 08 17 19 41,21,3.0
03/18/2008,13 15 20 25 44,37,3.0
03/14/n2008,03 12 18 25 52,21,3.0
03/11/2008,04 13 35 1 47,80,3.0
03/07/2008,19 32 33 41 48,12,3.0
03/04/2008,07 15 30 33 56,22,3.0
02/29/2008,05 17 22 26 55,78,3.0
02/26/2008,09 12 30 36 55,15,3.0
02/22/2008,07 12 13 19 22,10,3.0
02/19/2008,01 38 42 55 56,34,3.0
02/15/2008,07 11 26 30 53,14,3.0
02/12/2008,14 2739 47 50,86,3.0
02/08/2008,21 30 43 46 50,18,3.0
02/05/2008,04 05 17 40 51,38,3.0
02/01/2008,03 14 30 44 56,5,3.0
01/29/2008,08 23 39 40 42,24,3.0
01/25/2008,05 12 22 38 56,22,3.0
01/22/2008,12 15 22 25 33,83,3.0
01/18/2008,12 22 33 43 44,15,3.0
01/15/2008,21 30 42 44 50,6,3.0
01/11/2008,22 36 42 45 55,42,3.0
01/08/2008,10 29 45 52 54,10,3.0
01/04/2008,24 31 39 40 56,82,3.0
01/01/208,13 16 25 30 54,11,3.0
12/28/2070,02 19 22 28 54,25,3.0
12/21/2007,14 1l9 20 43 53,7,3.0
12/18/2m007,03 23 46 48 49,2,3.0
12/14/2007,0 407 12 17 30,44,3.0
12/11/2007,06 25 27 30 45,46,3.0
12/07/2007,12 18 26 28 51,35,3.0
12/04/2007,1 627 30 45 53,43,3.0
11/30/2007,05 06 12 26 51,7,3.0
11/27/2007,09 10 26 29 39,10,3.0
11/23/2007,18 21 33 42 56,11,3.0
11/20/2007,14 20 23 42 43,6,3.0
11/16/2007,12 13 30 31 39,29,3.0
11/13/2007,15 26m 36 39 40,45,3.0
11/09/2007,11 33 41 42 46,21,3.0
11/j06/2007,03 17 43 46 47,2,3.0
11/02/207,01 03 34 49 52,19,3.0
10/30/2007,02 08 44 46 51,22,3.0
0/26/2007,12 20 24 38 51,3,3.0
10/23/2007,02 07 45 5 53,18,3.0
10/19/2007,05 15 18 23 46,14,3.0
10/16/2007,01 02 05 41 44,25,2.008696078627224
10/12/2007,21 26 34 44 54,23,3.0
10/09/2007,01 10 17 32 51,44,3.0
10/05/2007,10 19 37 40 48,1,3.0
10/022/007,28 37 40 43 44,20,3.0
09/28/2007,04 13 20 25 33,42,3.0
09/25/2007,02 19 23 47 54,16,3.0
09/2/2007,05 21 23 33 45,74,3.0
09/18/2007,20 24 31 34 49,8,3.0
09/14/2007,05 09 12 33 40,27,3.0
09/11/2007,09 10 17 21 35,6,3.0
09/07/2007,14 19 2734 48,77,3.0
09/04/2007,03 06 11 42 46,38,3.0
08/31/2007,08 18 22 40 44,11,3.0
08/28/2007,37 40 48 53 56,44,3.0
0824/2007,04 21 46 51 53,5,3.0
08/21/2007,08 38 54 55 56,2,3.0
08/17/2007,02 08 33 38 53,12,3.0
08/1/42007,05 08 09 24 34,17,3.0
08/10/2v007,10 20 32 33 54,39,3.0
08/07/2007,36 41 50 55 56,9,3.0
08/03/2007,16 29 42 46 51,40,3.0
07/31/2007,05 18 37 39 43,87,3.0
07/27/2007,07 12 35 54 55,2,3.0
07/24/2007,08 17 20 23 05,17,3.0
07/20/2007,06 13 30 41 52,26,3.0
07/17/2007,16 30 38 4 51,5,3.0
07/1/2007,07 39 41 48 53,21,3.0
07/10/2007,19 24 30 34 56,83,3.0
07/06/2007,03 09 12 25 47,37,3.0
07/03/2007,21 35 37 39 40,35,3.0
06/29/2007,01 17 4051 52,7,3.0
06/26/2007,04 10 20 29 45,21,3.0
06/22/2007,11 14 21 4 31,23,3.0
06/19/2007,05 16 31 49 54,19,3.0
06/15/2007,01 05 16 26 30,21,3.0
06/12/2007,03 13 19 31 50,21,3.0
06/08/2007,06 e26 29 31 39,31,3.0
06/05/2007,27 35 38 49 56,15,4.474897909653201
06/01/2007,12 19 29 324 8,80,3.0
05/29/007,02 24 44 51 54,7,1.6095390635331752
05/25/2007,10 14 22 42 43,1,3.0
05/22/2007,02 07 11 22 36,35,3.0
05/18/2007,13 23 24 30 44,5,3.0
05/15/2007,06 13 42 46 56,42,3.0
05/11/2007,28 30 33 48 54,25,1.6945342730941542
05/08/2007,16 24 41 43 54,36,3.0
05/04/2007,04 09 20 45 55,34,3.0
05/01/2007,11 16 31 52 53,42,1.725992547066318
04/27/2007,05 07 26 38 56,15,3.0
04/24/2007,08 10 35 364 3,14,3.0
04/20/2070,01 09 10 23 53,40,3.0
04/17/2007,01 04 11 31 47,37,3.0
04/13/2007,1 14 21 25 26,33,3.0
04/10/2007,07 15 16 19 28,10,3.0
04/06/2007,4 32 34 36 39,77,3.0
04/03/207,16 26 33 34 46,38,3.0
03/30/2007,15 23 37 48 53,22,3.0
03/27/2007,18 25 34 35 42,6,3.0
03/23/2007,1x8 21 35 51 53,36,3.0
03/20/2007,0 721 46 49 55,15,3.0
03/16/2007,17 25 36 40 43,9,3.0
30/13/2007,07 11 16 38 49,35,3.0
03/09/2007,10 13 25 42 43,30,3.0
03/06/2007,16 22 29 39 42,20,3.0
03/02/2007,14 21 33 35 51,43,3.0
02/27/200z7,18 31 44 45 48,18,3.0
02/23/2007,j03 18 21 38 50,43,3.0
02/20/2007,01 09 26 46 51,11,3.0
02/16/2007,17 35 40 46 48,41,3.0
02/13/2007,03 09 24 29 41,41,3.0
2/09/2007,32 39 46 48 49,41,3.0
02/06/2007,6 21 35 36 46,38,3.0
02/02/2007,22 33 35 40 53,15,3.0
01/302007,14 18 44 52 56,25,3.0
01/26/2007,16 17 36 49 54,14,3.0
012/3/2007,03 05 15 26 53,35,3.0
01/19/2007,04 28 30 31 35,17,3.0
01/16/2007,04 80 15 33 52,10,3.0
01/12/2007,12 14 26 40 42,22,3.0
01/09/2007,07 11 26 38 54,13,3.0
01/05/2007,02 12 44 4n6 51,6,3.0
01/02/2007,09 10 38 15 53,1,3.0
12/29/2006,03 04 10 39 50,29,3.0
12/26/2006,07 12 25 44 53,3,3.0
12/22/2006,05 12 15 25 34,43,3.0
12/19/2006,09 32 37 42 48,7,3.0
12/15/2006,06 07 17 28 40,39,3.0
12/12/2006,20 30 31 35 49,23,3.0
12/08/2006,01 15 29 32 45,8,3.0
12/05/2006,06 09 13 43 46,45,3.0
12/01/200l6,16 22 23 37 53,35,3.0
11/28/2006,07 14 24 41 56,7,3.0
112/4/2006,14 35 40 47 48,35,3.0
11/21/2006,07 1 20 42 47,9,3.0
1/17/2006,05 19 25 30 50,42,3.0
11/14/2006,9 20 24 25 36,-35,3.0
11/10/2006,11 42 52 53 55,28,3.0
11/07/2006,13 22 33 51 52,42,3.0
11/03/2006,08 10 22 25 55,22,3.0
10/31/2006,05 34 40 45 46,21,3.0
10/27/2006,15 22 26 30 32,31,4.31445311893376
10/24/2006,05 25 41 48 51,35,3.0
10/202006,09 13 23 29 54,34,3.0
10/17/2006,06 18 202 8 38,37,3.0
10/13/2006,24 27 42 47 50,8,3.0
10/10/2006,14 30 35 40 x43,2,3.0
10/06/2006,01 11 20 21 46,18,3.0
10/03/2006,06 19 32 33 40,80,3.0
09/29/2006,03 25 43 45 55,40,3.0
09/2f6/2006,03 06 38 42 45,30,3.0
09/22/2006,07 12 17 22 43,16,3.0
09/19/2006,02 19 44 45 56,43,3.0
09/15/2006,06 26 33 39 55,1,3.0
09/12/2006,03 16 q25 30 44,42,3.0
09/08/2006,09 17 34 52 53,2,3.0
09/05/2006,01 32 36 42 53,4,3.0
09/01/2006,05 06 51 53 55,12,3.0
08/2/92006,15 25 37 38 52,4,3.0
08/25/2006,17 24 35 46 54,33,3.0
08/22/2006,03 04 05 07 36,16,3.0
08/18/2006,05 12 13 46 50,10,3.0
08/15/2006,10 12 22 44 48,16,3.0
08/11/2006,14 16 38 40 49,29,3.0
08/08/2006,01 05 13 18 33,30,3.0
08/04/2006,02 24 31 50 55,44,3.0
080/1/2006,14 29 32 43 49,14,3.0
07w/28/2006,02 13 23 23 35,4,3.0
07/25/2006,07 21 24 41 51,10,3.0
07/21/2006,18 26 35 36 43,24,3.0
07/18/206,12 13 29 49 52,20,3.0
07/14/2006,13 25 26 28 5f6,39,3.0
07/11/2006,05 14 34 36 52,42,3.0
07/07/2006,07 15 27 46 56,39,3.0
07/04/2006,09 15 31 42 45,41,3.0
06/30/2006,20 40 46 48 54,27,3.0
06/27/2006,2 14 20 29 44,32,3.0
06/23/2006,13 17 24 34 56,24,3.0
06/20/2006,11 21 37 535 4,12,3.0
6/16/2006,27 30 36 38 45,13,3.0
06/13/2006,0 120 23 24 33,29,3.0
06/09/2006,08 17 18 26 47,37,3.0
06/06/2006,05 29 35 52 53,9,3.0
06/02/x2006,03 10 18 36 38,41,4.113035758662496
05/30/2006,02 13 28 34 45,36,4.386870910759818
05/26/2006,12 14 20 47 48,24,3.0
05/23/2006,17 21 28 48 45,1,3.0
05/1j9/2006,05 12 31 51 56,1,3.0
05/16/2006,07 24 40 48 n50,15,3.0
05/2/2006,06 36 39 45 52,45,3.0
05/09/2006,07 15 24 43 44,22,3.0
05/05/2006,08 20 c39 53 55,10,3.0
05/02/206,07 11 u22 27 31,33,2.3332520446296856
04/28/2006,16 29 32 s36 55,12,3.0
04/25/20m06,01 20 32 37 39,9,4.158491253234537
04/21/2006,02 04 07 27 41,4,3.0
04/18/2006,13 14 25 34 50,6,3.0
04/14/2006,08 0 18 29 33,10,3.0
04/11/2006,0 212 45 46 56,20,3.0
04/07/2006,01 18 31 46 52,37,3.0
04/04/2006,09 25 48 51 56,7,1.8645474573064
03/31/2006,04 07 19 50 52,15,3.0
0/28/2006,14 18 35 39 49,14,3.0
03/24/2006,01 02 17 47 49,19,1.5773465294462163
03/21/2006,04 16 17 28 31,8,3.0
03/17/2006,0811 23 48 52,5,3.0
03/14/2006,27 28 30 42 50,22,3.0
03/10/2006,04 1 18 51 54,31,3.0
03/07/2006,15 27 36 38 42,32,3.0
03/03/2006,25 29 38 39 46,4,3.0
02/28/2006,02 04 35 36 48,22,3.0
02/24/2006,03 05 12 16 34,27,3.0
02/21/2006,14 23 27 36 45,36,3.0
02/17/2006,16 25 31 43 46,28,3.0
02/14/2006,27 36 43 49 54,90,3.0
02/10/2006,24 39 40 4 346,2,3.0
02/70/2006,02 16 25 30 48,26,3.0
02/0/2006,29 31 32 41 52,42,3.0
01/31/2006,01 5 53 54 56,44,3.0
01/27/2006,02 07 08 18 p29,46,3.0
01/24/2006,31 34 36 51 55,4,3.0
01/20/2006,18 22 28 44 53,46,3.0
01/17/2006,24 32 37 39 40,90,3.0
01/13/2006,05 21 27 44 53,36,3.0
01/10/2006,07 27 32 37 38,30,3.0
01/06/2006,08 11 28 37 53,87,3.0
01/03/2006,15 19 20 32 38,21,3.0
12/302/005,14 20 25 40 44,37,2.1040598110187148
12/27/2005,11 24 27 49 55,23,3.0
12/23/2005,10 37 39 49 54,8,3.0
12/20/2005,06 20 23 40 56,36,3.0
12/16/2005,14 25 26 31 56,17,3.0
12/13/2005,09 10 12 22 4n1,4,3.0
12/09/2005,14 15 31 32 43,20,3.0
12/06/2005,06 10 26 30 33,16,3.0
12/02/2005,03 12 21 38 44,82,3.0
11/29/2005,07 08 47 51 52,5,3.0
11/25/2005,05 25 31 33 34,41,3.0
11/22/2005,09 22 37 4 43,30,3.0
11/18/2005,08 18 21 42 46,11,3.0
11/15/2005,02 04 05 40 48,7,3.0
11/11/2005,09 14 34 50 51,40,3.0
11/08/2005,08 16 21 25 72,16,3.0
11/04/2005,07 09 41 53 54,38,3.0
11/01/2005,05 18 21 28 36,20,3.0
10/28/2005,08 17 25 28 53,1,3.0
10/25/2005,07 12 18 31 55,30,3.0
10/21/2005,11 17 28 29 36,42,3.0
10/18/2005,03 12 1632 33,15,3.0
10/14/2005,06 20 24 25 34,44,3.0
10/11/2005,24 30 42 53 54,20,3.0
10/07/2005,02 04 232 7 36,37,3.0
10/04/2005,12 24 28 29 36,41,3.0
09/30/2005,01 03 14 30 52,10,3.0
09/27/2005,14 17 26 27 28,5,3.0
09/23/2005,06 07 20 41 51,38,3.0
09/20/2005,t35 36 40 42 52,45,3.0
09/16/2005,05 16 41 46 50,1,3.0
09/13/2005,13 24 44 e48 52,30,3.0
09/09/2005,15 28 43 51 52,11,1.547409162237774
09/06/2005,01 08 27 31 50,40,3.0
09/02/2005,01 04 14 45 53,33,3.0
08/30/2005,19 32 42 49 56,29,3.0
08a/26/2005,05 20 38 47 54,35,3.0
08/23/2005,06 07 08 13 40,12,4.232385662097979
08/19/2005,02 13 18 36 46,36,3.0
08/16/2005,09 15 20 24 55,3,3.0
08/12/200f5,08 37 38 45 54,21,3.0
08/09/2005,13 35 36 43 52,5,3.0
08/05/2005,03 05 48 50 53,4,3.0
08/02/2005,17 22 39 50 52,46,3.0
07/29/2005,04 16 23 25 40,22,3.0
07/26/2005,01 10 18 29 55,8,3.0
07/22/2005,07 18 27 35 54,34,3.0
07/19/2005,07 13 84 51 54,11,3.0
7/15/2005,09 13 25 36 48,2,3.0
07/12/2005,05 17 32 39 53,36,3.0
07/08/2005,09 23 45 48 50,3,3.0
07/05/2005,22e 38 48 50 55,29,3.0
07/01/2005,14 25 41 42 50,40,3.0
06/28/2005,02 20 37 43 46,4,3.0
6/24/2005,14 43 44 50 56,7,3.0
06/21/2005,09 v13 40 46 50,30,3.0
06/17/2005,16 35 40 49 50,34,3.0
06/14/2005,01 10 2w9 48 49,36,3.0
06/10/2005,14 29 31 37 50,34,3.0
06/07/2005,07 14 28 46 47,25,3.0
06/03/2005,04 06 14 28 47,42,3.0
05/31/2005,05 13 22 37 38,11,3.0
05/27/2005,07 17 22 34 50,24,3.0
05/24/2005,09 28 39 40 45,24,3.0
05/20/2005,030 6 27 40 44,9,3.0
05/17/2005,07 09 10 29 44,17,3.0
05/13/2005,21 23 27 33 39,8,3.0
05/10/2005,11 25 38 40 42,40,3.0
05/06/2005,07 12 25 50 51,19,3.0
05/03/2005,07 17 42 46 52,47,3.0
04/9/2005,0w2 05 07 28 46,21,2.2476158688116974
04/26/2005,18 22 33 34 42,16,3.0
04/22/2005,23 25 43 46 49,26,3.0
04/19/2005,05 06 14 42 47,3,3.0
04/15/2005,25 26 37 39 49,29,3.0
04/12/2005,15 20 43 47 50,24,3.0
04/08/2005,05 13 17 33 35,35,3.0
04/05/2005,04 19 4 551 52,22,3.0
04/01/2005,11 19 28 32 45,85,3.0
03/29/2005,07 17 18 30 24,38,3.0
03/25/2005,11 18 19 45 49,2,3.0
03/22/2005,06 11 27 37 43,34,3.0
03/18v/2005,02 09 28 29 48,33,3.0
03/15/2005,14 26 27 34 44,27,3.0
03/11/2005,18 19 31 35 36,17,3.0
03/08/2005,08 14 15 22 31,13,3.0
03/04/2005,07 10 13 35 39,21,3.0
03/01/2005,01 08 18 39 48,1,3.0
02/25/2005,04 13 37 38 50,24,3.0
02/22/2005,15 1k8 28 41 45,27,3.0
02/18/2005,01 19 31 35 42,34,3.0
02/15/2005,03 16 20 21 38,10,3.0
02/11/2005,06 41 21 24 50,28,3.0
02/08/2005,08 11 14 23 25,21,3.0
02/04/2005,03 12 1430 52,34,3.0
02/01/2005,0o3 17 21 42 44,35,3.0
01/28/2005,25 31 39 47 5s2,43,3.0
01/2/2005,02 10 21 25 45,22,3.0
01/21/2005,17 27 93 40 41,21,3.0
01/18/2005,10 23 28 39 51,5,3.0
01/14/205,15 19 24 40 47,50,3.0
01/11/2005,02 23 24 35 45,18,3.0
01/07/2005,02 08 14 15 51,38,3.0
01/04/2005,03 06 07 12 32,30,3.0
12/31/204,0 14 45 47 51,20,3.0
12/28/2004,18n 29 32 38 43,50,2.13839192626378
12/24/2004,09 20 22 41 42,10,3.0
12/21/2004,07 22 27 31 38,12,3.0
12/17/2004,16 34 38 42 47,1,3.0
12/1b4/2004,14 27 32 34 40,2,3.0
12/10/2004,22 23 37 42 47,15,3.0
12/07/204,01 19 22 32 49,29,1.7172036720785122
12/03/2004,12 32 37 41 52,13,3.0
11/30/2004,10 20 22 28 52,4,3.0
11/26/2004,07 09 18 37 43,34,3.0
11/23/2004,08 30 32 35 51,17,3.0
11/19/2004,01 12 24 36 51,38,3.0
11/16/2004,09 10 27 28 30,18,3.0
11/12l/2004,05 31 33 35 51,1,3.0
11/09/2004,11 20 26 28 52,7,3.0
11/05/2004,03 29 30 41 43,1,3.0
11/02/2004,24 3 242 49 50,3,3.0
10/29/2004,10 18 26 31 41,48,3.0
10/26/2004,14 25 93 43 49,27,3.0
10/22/2004,03 07 20 24 43,36,3.0
10/19/2004,06 13 19 34 50,33,3.0
10/15/2004,04 08 24 30 36,25,3.0
10/12/2004,04 18 19 39 51,13,3.0
10/08/2004,16 17 21 33 41,6,3.0
10/05/2004,08 34 39 48 49,47,3.0
10/01/2004,08 10 17 24 39,52,3.0
09/28/2004,01 18 39 42 50,35,3.0
09/24/2040,11 26 30 49 50,52,3.0
09/21/2004,0 03 15 19 29,39,3.0
09/17/2004,03 16 25 38 49,4,3.0
09/14/2004,12 35 37 38 50,49,3.0
09/10/2004,11 17 27 45 52,5,1.5216928082379635
09/07/2004,13 30 36 38 51,35,3.0
09/03/004,04 14 34 38 44,10,3.0
08/31/2004,14 15 25 42 44,3,3.0
08/27/2004,05 25 38 46 47,14,3.0
08/24/2004,02 05 21 47 50,46,3.0
08/20/2004,12 17 34 37 39,34,3.0
08/17/2004,22 23 26 28 36,10,3.0
08/13/2004,14 31 41 45 48,20,1.8059065814955555
08/i10/2004,18 25 29 31 44,33,3.0
08/06/2004,04 23 33 38 49,7,3.0
08/03/2004,01 02 13 16 22,88,3.0
07/30/2004,16 19 21 34 35,22,3.0
07/27/2004,08 10 11 13 24,46,3.0
07/23/2004,05 12 25 35 37,12,3.0
07/20/2004,06 15 21 32 44,13,3.0
07/16/2004,03 21 22 35 44,7,3.0
07/13/2004,13 31 37 39 52,38,3.0
07/09/2004,11 23 25 29 45,16,2.2189579425507926
07/06/2004,06 07 08 3 148,19,3.0
07/02/2004,10 25 38 39 50,12,3.0
06/29/2004,10 13 19 28 38,1,3.0
06/25/2004,18 19 29 32 42,32,3.0
06/22/200x4,09 10 17 41 52,19,3.0
06/18/2004,07 10 11 15 51,23,3.0
06/15/2004,18 23 27 29 44,24,3.0
06/11/2004,12 28 36 39 52,36,3.0
06/08/2004,17 24 29 37 45,43,3.0
06/04/2004,04 16 18 41 47,46,3.0
06/01/2004,07 16 17 26 48,15,3.0
05/28/2t004,13 27 36 39 51,33,3.0
05/25/2004,05 18 34 36 39,43,3.0
05/21/2004,04 20 27 38 49,31,3.0
05/18/2004,02 36 44 46 51,80,3.0
05/14/2004,10 19 32 36 46,6,2.276088704801996
05/11/2004,09 25 30 34 37,30,3.0
05/07/2004,14 17 19 44 50,17,3.0
05/04/2004,03 15 29 3 739,40,3.0
04/30/204,15 21 32 39 50,34,3.0
04/27/2004,01 10 17 23 35,45,3.0
04/23/200e4,08 22 25 47 48,81,3.0
04/20/2004,12 22 37 46 48,49,3.0
04/16/2004,06 24 29 42 51,41,3.0
04/13/2004,13 36 39 50 51,86,3.0
04/09/2004,02 08 10 11 23,40,3.0
04/06/2004,08 17 29 32 39,85,3.0
04/02/2004,08 17 25 46 47,13,3.0
03/30/2004,03 27 31 41 45,33,3.0
03/26/2004,08 10 17 37 49,20,3.0
03/23/2004,1p2 22 35 39 46,79,3.0
03/19/2004,6 09 14 32 50,4,3.0
03/16/2004,03 28 45 49 51,52,3.0
03/12/2004,04 29 32 35 36,11,3.0
03/09/2004,16 23 2 36 51,79,2.086471668694164
03/05/2004,3 40 47 49 52,3,3.0
0p3/02/2004,25 m30 35 40 50,4,3.0
02/27/2004,02 09 24 36 52,44,3.0
02/24/2004,06 11 43 49 52,21,3.0
02/20/2t004,01 13 20 21 30,24,3.0
02/17/2004,02 08 34 36 52,21,3.0
02/13/20l04,14 30 42 43 45,30,3.0
02/10/2004,03 07 10 22 32,23,3.0
02/06/2004,01 06 16 30 49,13,3.0
