indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2011-2014,8,-5 years,0.1,15.6,1.6,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,1,3.21,Hispanic or Latino: All races,2013-2016,9,2-5 years,0.1,36.08077111871868,1.5,-
Obesity among children and adolescents agde 2-19 years,-5 years,2,"Percent of population, crude",0,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2015-2018,10,2-5 years,0.1,19.3,2.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,19881994,1,2-5 years,0.1,12.3,1.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population,q crude",1,Racet and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,1999-2002,2,2-5 years,0.1,13.1,3.995007509823004,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2001-2004,3,2-5 years,0.1,17.7,2.9,***
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, rude",1,Race nad Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2003-2006,4,2-5 yeasr,0.1,16.7,2.3,
Obesity among children and adolescents aged 2-19 years,2- years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2005-2008,5,2-5 years,0.1,14.1,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of populmation, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2007-2010,6,2-5 years,-0.4694907028015201,14.6,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2009-012,7,2-5 years,0.1,15.7,2.0,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All raceus,2011-2014,8,2-5 years,0.1,15.3,2.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2013-2016,9,2-5 years,0.1,15.1,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percenta of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: ll races,2015-2018,10,2-5 yeras,0.1,35.11037964499922,2.8,
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,1988-1994,1,2-5 years,0.1,38.52817188852848,1.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crued",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,1999-2002,2,2-5 years,0.1,8.0,1.8,*
Oesity among children and adolescents aged 2-19 years,2c-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,a2001-2004,3,2-5 yeas,0.1,9.7,1.8,***
Obesity among childrenand adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2003-2006,4,2-5 years,0.1,13.3,2.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.2597494311736162,Male: Not Hispanic or Latino: Black or African America,2005-2008,5,2-5 years,0.9570149241707492,13.7,2.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",0,Sex and race and Hispanic origin,8,1.1,Male: Not Hispanic or Latino: Black or African America,2007-2010,6,2-5 years,0.1,15.7,3.0,-
Obesity among children and adolescents aged 2-19 years,-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2009-2012,7,2-5 years,0.1,14.3,3.53835343702982,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crue",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2011-2014,8,2-5 wyears,0.1,9.0,2.3,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanpic origin,1,1.1,Male: Not Hsipanic or Latino: Black or African America,2013c-2016,9,2- years,0.9693854530024476,12.4,2.8,-
Obesity among children and adolescents aged 2-19 years,2-5 yars,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2015-2018,10,2-5 years,0.1,12.4,3.1,n-
Obesity among childrend and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",0,Sex and race and Hispanic origin,1,4.111,Male: oNt Hispanic or Latino: White only,1988-1994,1,2-5 yeasr,0.1,4.5,1.1,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and ace and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White onyl,1999-2002,2,2-5 years,0.1,8.2,1.9,*
Obesity among children and adolescents aged 2-19 years,2-5 yeanrs,2,"Percent of popualtion, crude",1,kSex and race and Hispanic origin,4,4.111,Male: Not qHispanic or Latino: White only,2001-2004,3,2-5 ears,0.1,11.5,2.3,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population ,crude",0,Sex and race and Hispanic origin,4,0.9073012862076156,Male: Not Hispanic or Latino: White only,2003-2006,4,2-5 years,0.1,11.1,2.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,6.274807041464288,Male: Not aHispanic or Latino: White only,2005-2008,5,2-5 years,0.7999228502610107,33.211306782171086,1.7,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2007-2010,6,2-5 years,0.1,8.8,1.6,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,8,4.111,Male: Not Hispanic or Latino: White only,2009-2012,7,2-5 years,0.1,9.3,2.0,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,0,4.111,Male: Not Hispanic or Latino: White only,2011-2014,8,2-5g years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2013-2016,9,2-5 years,0.1,9.3,2.0,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2015-2018,10,2-5 years,0.1,12.4,1.8,***
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Ntot Hispanic or Latino: Asian only,1988-1994,1,2-5 years,-0.5131605808114929,17.9,1.4,i-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,6,4.113,Male: Not Hispanic or Latino: Asian only,1999-2002,2,2-5 years,-0.4825644366186919,17.9,1.4,***
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2001-2004,3,2-5 years,0.1,17.9,3.7465400785727017,-
Obesity among children and daolescents aged 2-19 years,2-5 yeas,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2003-2006,4,2-5 years,0.1,17.9,1.4,***
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanc origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2005-2008,5,2-5 years,0.1,39.43176550135985,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percetn of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2007-2010,6,2-5 years,0.7930793122897359,36.05434129386567,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,6,4.113,Male: Not Hispanic or Latino: Asian only,2009-2012,7,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2011-t2014,8,2-5 years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 ears,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2013-2016,9,2-5 years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2015-2018,10,2-5 years,0.9570148851605104,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,198-1994,1,2-5 years,0.1,33.25031067572312,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispnic origin,4,4.121,Male: Hispanic or Latino: All races,1999-2002,2,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic worigin,4,4.121,Male: Hispanic or Latino: All races,2001-2004,3,h2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,1,4.121,Male: Hispanic or Latino: All races,2003-2006,4,2- years,0.1,36.52227590062628,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race ad Hispanic origin,1,1.1406753536506782,Male: Hispanic or Latino: All races,2005-2008,5,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,0207-2010,6,2-5 years,0.1,17.7,3.488737601248823,-
Obesity among children and adolescents aged 2-91 years,2-5 years,9,"Percent ofp opulation, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,2009-2012,7,2-5 years,0.1,17.9,2.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic oorigin,4,1.053190434534879,Male: Hispanic or Latino: All races,2011-2014,8,2-5 years,0.838789592773336,16.7,2.4,
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,8,4.121,Male: Hispanic or Latino: All races,2013-2016,9,2-5 years,0.1,16.7,2.6,-
Obesity among children and adolescents aged 2-19 years,2-5 years,10,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,2015-2018,10,2-5 years,0.1,22.3,3.4,***
Obesity among children and adolescents aged 2-19 years,2-5 years,11,"ercent of population, crude",1,Sex and race and Hispanic origin,0,4.122,Male: Hispanic or Latino: Mexican: All races,1988-1994,1,2-5 years,0.1,12.4,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 yaers,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,1999-2002,2,2-5 ears,0.1,14.1,2.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,10,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2001-2004,3,2-5 years,0.1,19.8,3.3,-
Obesity among children and adolescents aged 2-19 years,2-5 yeasr,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Laino: Mexican: All races,2003-2006,4,2-5 years,0.1,18.8,2.8,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2005-2008,22,2-5 years,0.1,17.1,1.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,6,4.122,Male: Hispanic or Latino: Mexican: All races,2007-2w010,6,2-5 years,0.1,19.1,1.8,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population ,crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2009-2012,7,2-5 years,0.1,17.6,2.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,ale: Hispanic or Latino: Mexican: All races,2011-2014,8,2-5 years,0.1,14.5,3.0,*
Obesity among children and adolescents aged 2-19 yeras,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,6.128676363074537,Male: Hispanic or Latino: Mexican: All races,2013-2016,22,2-5 years,0.1,37.85336894572552,2.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex adn race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2015-2018,10,2-5 years,0.1,19.2,4.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,1988-1994,1,2-5 years,0.1,5.9,1.0,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,1999-2002,2,2-5 years,0.1,9.0,2.0,*
Obesity among childrena nd adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,001-2004,3,2-5 years,-0.49554870453481,9.1,2.0,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of popultation, crude",1,Sex and race and Hispanic origin,4,0.9176978296186888,Feale: Not Hispanic or Latino: White only,2003-0206,4,2-r5 years,0.1,10.4,2.0,-
Obesity among children and adolescents aged z2-19 years,2-5 years,2,"Percent of populatoin, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,20g05-2008,5,2-5 yeas,0.1,11.3,2.0,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,2007-2010,6,2-5 years,0.1,9.2,2.0,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and kHispanic origin,7,4.211,Female: Not Hispanic or Latino: White ony,2009-2012,7,2-5 years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex andx race and Hispanic origin,0,4.211,Female: Not Hispanic or Latino: White only,2011-2014,8,2-5 years,0.1,4.4,1.2,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,2013-2016,9,2-5 years,0.8252908358545774,10.4,2.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,2015s-2018,10,2-5 years,0.1,12.4,2.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.213,Female: Not Hispanic or Latino: Asian only,1988-1994,1,2-a5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.213,Female: Not Hispanic or Latino: Asian only,1999-2002,2,2-5 yeasr,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.213,Female: Not Hispanic or Latino: Asian only,2001-2040,3,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex an race and Hispanic origin,4,4.213,emale: Not Hispanic or Latino: Asian only,2003-2006,4,2-5 years,0.1,17.9,3.923587296698429,-
Obesity aomng children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race adn Hispanic origin,4,4.213,Female: Not Hispanic or Latino: Asian only,2005-2008,5,2-5 years,0.1,17.9,1.4,-
Obesity amlong children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,0,0.974703133890011,Female: Not Hispanic or Latino: Asian only,2007-2010,6,2-5 yearks,0.1,17.9,1.4,
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hisanic origin,4,4.213,Female: Not Hispanic or Latino: Asian only,2009-2012,7,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic rigin,4,4.213,Female: Not Hispanic or Latino: Asian only,201-2014,8,2-5 years,0.1,17.9,1.4,*
besity among children and adolescents aged 2-19 years,2r-5 years,2,"Precent of population, crude",1,Sex and race and Hispanic origin,4,0.8707541577726563,Female: Not Hispanic or Latino: Asian only,2013-2016,9,2-5 years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2- years,2,"Percent of population, crude",0,Sex and race and Hispanic origin,1,4.213,Femaleq: Not Hispanic or Latino: Asian only,2015-2018,10,2-5 years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,25- years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,1988-1994,1,2-5 years,0.1,17.9,1.4,z-
Obesity among children and adolescents aged 2-19 years,2-5 eyars,2,"Percent of population, crude",1,Sex and raec and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,1999-2002,2,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,7,4.221,Female: Hispanic or Latino: All races,2001-2004,3,2-5 years,0.1,17.9,1.4,k-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2003-2006,4,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex nd race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2005-2008,5,2-5years,0.1,17.9,1.4,-
Obeisty among children and adolescents aged 2-19 years,2-5 ears,2,"Percent of population, crude",1,Sex and race and Hispanic origin,1,4.221,Female: Hispanic or Latino: All races,2007-2010,6,2-5 years,0.1,12.7,1.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2009-2012,7,2-5 years,0.1,14.9,2.6,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent tof population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2011-2014,8,2-5 years,0.1,14.6,2.7,-
Obesity among children and adolescents aged 2-19 yeasr,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,1,4.221,Female: Hispanic or Latino: All races,2013-2016,9,2-5 years,0.1,16.3,2.3,-
Obesity among childrena nd adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2015-2018,10,2-5 years,0.1,16.3,2.7,-
Obesity among children and adolescents aged 2-19 years,2-5 ears,2,"Percent of pogpulation, crude",1,Sex and race and Hispanicy origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,1988-1994,1,2-5 years,-0.4805094665825652,12.3,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,1999-2002,2,2-5 years,0.1,12.2,3.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,emale: Hispanic or Latino: Mexican: All races,2001-2004,3,-5 years,0.1,15.7,3.9,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex an drace and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,200-32006,4,2-5 years,0.1,14.5,2.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population ,crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanicor Latino: Mexican: All races,2005-2008,5,2-5 years,0.1,35.5379949203904,1.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,0.8940586349359334,Female: Hispanic or aLtino: Mexican: All races,2007-2010,6,2-5 years,0.7910238089735838,9.9,2.3,*
Obesity among childen and adolescents aged 2-19 years,2-5 yeavrs,2,"Percent of population, crude",0,Sex and race anxd Hispanic origin,4,4.222,Female: Hispanic orw Latino: Mexican: All races,2009-2012,7,2-5 years,0.1,13.8,3.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of populatino, crude",1,Sex and race and Hispanic origin,1,4.222,Female: Hispani cor Latino: Mexican: All races,2011-2014,8,2-5 years,0.1,16.1,3.8,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,Percent of population crude,1,Sexw and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2013-2016,9,2-5 years,0.1,17.1,3.1,***
Obesity among ochildren and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,1,4.222,Female: Hispanic or Latino: Mexican: All races,2015-2018,10,2-5 years,0.1,15.6,3.5,w-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,8,0.8804291744971169,Below 100%,1988-1994,1,2-s5 years,0.1,9.7,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,1999-2002,2,2-5 years,0.1,10.9,1.8,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 00%,2001-2004,3,2-5 years,0.1,14.4,2.0,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,6,5.1,Belfow 100%,200-2006,4,2-5 yeaars,0.1,14.3,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.1,Beow 100%,2005-2008,5,2-5 years,0.1,12.3,4.243484170597919,-
Obesity among children and adolescents aged -19 years,2-5 years,9,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2007-2010,6,2-5 yers,0.7629251662091046,13.2,1.1,-
Obesity among children and adolescemnts aged 2-19 years,2-5 years,2,"Percento f population, crude",1,Percent of poverty level,5,5.1,Below 100%,2009-2012,7,2-5 years,0.1,12.3,1.4,-
Obesity among children and adolescents aged 2-19 years,25 years,2,"Percent of population, crude",1,Percent of povertyh level,5,5.1,Below 100%,2011-2014,8,2-5 years,0.1,34.66209613554917,4.081396030930216,
Obesity among children and adolescents aged 2-19 years,2-5u years,2,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2013-2q016,9,2-5 years,0.1,13.5,1.6,
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2015-2018,10,2-5 years,-0.4717068499374585,15.5,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,10,"Percent of population, crude",1,Percent of poverty level,5,7.10636099898171,100%-199%,19d88-1994,1,2-5 years,0.9271805878265176,7.3,0.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,1.2063018495805458,100%-199%,1999-2002,2,2- years,0.1,13.8,2.8,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2001-2004,3,2-5 years,0.1,13.3,2.2,-
Obesity among lchildren and adolescents aged 2-19 years,2-5 yeaqrs,2,"Percent of population, crude",1,Percent of poverty level,5,6.323664429975605,100%-199%,2003-2006,4,2-5 years,0.1,12.7,3.895132884468562,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of populatio, crude",1,Percent of poverty level,5,5.2,100%-199%***,2005-2008,5,2-5 years,0.1,10.0,1.5,-
Obesity among chilmdren and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2007-20k10,6,2-5 years,0.7672296400351031,11.8,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 yers,2,"Percent of population, crude",1,Percent of poverty level,5,6.739330106267803,100%-199%,2009-2012,7,2-5 years,0.1,38.20082056107504,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.2,00%-199%,2011v-2014,8,2-5 years,0.1,10.2,1.7,-
Obesity among children and adolescents aged 2-19 years,2-c5 years,2,"Perrcent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2013-2016,9,2-5 years,0.1,12.6,1.8,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2015-2018,10,e2-5 years,0.1,16.8,2.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,0,5.3,200%-399%,1988-1994,1,2-5 years,0.1,5.6,1.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of povert ylevel,5,5.3,200%-399%,1999-2002,2,2-5 years,0.1,7.6,1.9,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Prcent of population, crude",1,Percent of poverty level,0,5.3,200%-399o%,2001-2004,3,2-5 years,0.1,13.6,2.6,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2003-2006,4,2-5 years,0.1,11.9,2.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.3,00%-399%,2005-2008,5,2-5 years,0.1,11.6,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Pzercent of poverty level,5,0.7606608273644899,200%-399%,2007-2010,6,2-5 years,0.1,13.9,2.0,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",0,Percent of poverty level,5,5.3,200%-399%,2009-2012,7,2-5 years,0.1,11.0,1.9,-
Obesity among children and adolescents aged 2-19 years,2-5 yaears,2,"Percent of population, crude",0,Percent of poverty level,6,5.3,200%-399%,2011-2014,8,2-5 years,0.1,7.7,1.7,*
