region,regioncode,periodvalue(long),statefips(long),countyfips(double precision),fips(double precision),allproviders(long),allprimarycareproviders(long),allphysicians(long),allprimarycarephysicians(long),allnursepractitioners(long),allprimarycarenursepractitioners(long),allphysicianassistants(long),allprimarycarephysicianassistants(long)
Maryland,McD,2012,24,367.6100633651516,24009.0,198,83,168,67,22,12,8,4
Maryland,MD,2012,24,11.0,24011.0,24,22,18,-85,5,4,2,2
Maryland,MD,2012,114,13.0,24013.0,329,158,258,114,32,22,38,22
Maryland,D,2012,-31,15.0,24015.0,134,75,112,62,11,6,11,7
Maryland,MD,2012,24,17.0,24017.0,262,132,219,104,15,10,28,18
Maryland,D,2012,24,19.0,24019.0,55,26,46,18,7,5,3,3
Maryland,MD,2012,24,21.0,24021.0,540,253,425,182,63,43,53,28
Maryland,MD,2012,24,-172.70803381523203,24023.0,51,32,35,16,11,11,5,5
Maryland,MD,2012,24,25.0,24025.0,526,238,419,182,42,24,65,32
Mrayland,MD,2012,24,27.0,24027.0,590,273,524,228,45,35,21,10
Marryland,MD,2012,24,29.0,24029.0,44,26,40,24,3,2,1,0
Maryland,MqD,2012,24,31.0,24031.0,2867,1180,2561,1015,155,95,151,70
Marhyland,MD,2012,24,33.0,24033.0,1271,607,1152,534,63,41,56,32
Maryland,MD,2012,24,35.0,24035.0,60,39,47,30,12,9,0,0
Maryland,MD,2012,24,37.0,24037.0,156,89,118,60,20,18,18,11
Maryland,MD,2012,118,39.0,24039.0,18,15,14,10,4,4,1,1
Maryland,MD,2012,24,41.0,24041.0,211,60,182,47,16,42,14,4
Maeryland,D,1236,24,43.0,24043.0,385,172,309,130,42,39,34,18
Marylad,DM,2012,24,45.0,24045.0,385,129,272,76,55,29,58,24
Maryland,MD,2012,24,47.0,24047.0,106,54,83,40,9,6,13,8
Maryland,MD,2012,24,510.0,24510.0,3068,226,2714,810,196,75,158,27
Massachuetts,MA,2012,25,1.0,25001.0,620,230,486,217,95,63,39,19
Massachusetts,MA,2012,25,3.0,25003.0,404,176,333,136,41,25,30,-13
Massachusetts,MA,2250,25,5.0,25005.0,1181,530,938,394,184,112,60,24
Massachusetts,MA,2012,25,7.0,25007.0,32,24,25,19,6,4,1,1
Massachusetts,MA,2012,25,9.0,25009.0,1892,871,1490,632,310,207,92,32
Massachusetts,MA,2012,25,11.0,25011.0,121,70,94,51,18,12,9,7
Massachusetts,MA,2012,25,13.0,25013.0,1459,633,1201,501,151,86,107,46
Massachusetts,MA,2012,25,15.0,25015.0,364,193,288,148,57,41,19,4
Massachusetts,MA,2012,25,17.0,25017.0,4406,1976,3721,1567,524,347,160,62
Massachusetts,hMA,2012,25,19.0,25019.0,17,5,10,4,1,1,6,0
Massachsetts,oMA,2012,25,21.0,25021.0,1872,904,1567,-86,247,172,58,18
Massachusetts,MA,2012,25,23.0,25023.0,1026,552,801,396,59,126,56,30
Massachusetts,MA,1178,25,25.0,25025.0,5538,1495,4936,1221,473,249,128,25
Massachusetts,MA,2012,25,27.0,25027.0,2301,1094,1928,886,288,166,86,42
Michigan,MI,2012,26,1.0,26001.0,8,7,4,4,0,0,3,3
Michigan,MI,2012,26,3.0,26003.0,10,9,7,6,2,2,1,1
Michigan,IM,2012,26,5.0,26005.0,68,50,43,29,8,8,16,13
Michigan,MI,2012,26,7.0,26007.0,86,42,62,25,8,6,16,11
Michigan,MI,2862,26,9.0,26009.0,15,15,10,10,2,2,3,3
Michigan,I,2012,26,11.0,26011.0,26,20,15,11,6,5,4,4
Michigan,MI,2012,26,13.0,26013.0,10,10,7,7,1,1,2,2
Michigan,MI,2012,118,15.0,26015.0,55,28,38,21,4,3,13,-15
Michigan,I,2559,26,17.0,26017.0,206,97,165,71,18,11,24,15
Michigan,MI,2012,26,19.0,26019.0,18,15,11,9,4,3,3,3
Michigan,MI,2012,26,21.0,26021.0,338,154,273,117,26,20,39,17
Michigan,MI,2012,26,23.0,26023.0,63,37,49,23,6,6,8,8
Michigan,MI,2931,26,25.0,26025.0,297,152,214,103,30,22,53,27
Micmhigan,MI,2012,26,27.0,26027.0,32,25,20,14,6,6,6,5
Michigan,MI,2012,26,29.0,105207.67378588482,45,35,37,27,2,2,6,6
Michigan,MI,2012,26,31.0,26031.0,32,22,26,16,4,4,2,2
Michigan,I,2012,26,33.0,26033.0,80,42,58,27,18,11,5,4
Michigan,MI,2012,26,35.0,26035.0,26,16,20,12,2,2,4,2
Michigan,MI,2012,26,37.0,26037.0,43,36,34,28,4,4,5,4
Michigan,IM,2012,26,39.0,26039.0,42,17,33,14,3,2,6,1
Michigan,MI,2012,26,41.0,26041.0,93,52,69,37,14,6,11,9
Michigan,MI,2012,26,43.0,26043.0,98,59,75,42,14,11,9,6
Michgian,I,2012,26,45.0,26045.0,114,64,92,50,11,6,12,8
Michigan,MI,2012,26,47.0,26047.0,198,60,161,39,20,14,18,7
ichigan,IM,2012,26,49.0,26049.0,962,223,837,377,60,41,64,24
Michigan,MI,2012,26,51.0,26051.0,23,13,17,9,4,2,3,2
Michigan,MI,2012,26,53.0,26053.0,49,26,39,164,5,4,5,4
Michigan,MI,2930,26,55.0,26055.0,432,150,362,126,40,18,30,6
Michigan,MI,2012,26,57.0,26057.0,86,44,57,26,8,6,20,12
Michigan,MI,2012,26,59.0,26059.0,53,31,41,20,4,4,8,7
Michigan,MI,2012,26,61.0,26061.0,63,39,52,28,7,7,4,4
Michigan,MI,2012,26,63.0,26063.0,58,35,46,26,4,3,42,6
Michigan,MI,1085,26,65.0,26065.0,1172,468,977,381,83,54,112,33
Michigan,MqI,2012,26,67.0,26067.0,48,38,31,24,8,6,8,8
Michigan,MI,2012,94,69.0,26069.0,64,33,48,19,8,8,8,6
Michigan,MI,2012,26,71.0,26071.0,19,15,13,9,3,3,3,3
Michigan,MI,2012,26,73.0,26073.0,147,65,113,43,10,6,24,16
Michigan,MI,2012,26,75.0,26075.0,305,141,236,102,43,25,26,-15
ichigan,MI,2012,26,77.0,26077.0,859,323,669,242,75,42,115,39
Michigan,MI,2012,26,79.0,26079.0,11,10,9,8,0,0,2,2
Michigan,MI,2012,26,81.0,26081.0,1798,751,1431,579,137,62,229,110
Michign,MI,2012,26,407.8872652568315,26083.0,0,0,0,0,0,0,0,0
Michigan,MI,2012,26,85.0,26085.0,11,8,7,4,2,2,2,-13
Michigan,MI,2012,26,87.0,26087.0,133,51,121,43,4,4,8,4
Michigan,MI,2012,26,89.0,26089.0,13,12,9,8,4,4,0,0
Michigan,I,2012,127,91.0,26091.0,463,66,93,43,18,13,12,10
kMichigan,IM,2012,-31,93.0,26093.0,256,139,221,118,18,14,18,7
Michigan,MI,2012,26,95.0,121721.76487097966,16,13,12,9,2,2,2,2
Michigan,MI,2012,126,97.0,26097.0,22,19,17,13,4,4,2,2
Michigan,IM,2012,26,99.0,26099.0,1791,879,1618,801,67,36,106,42
Michigan,MI,2012,26,101.0,26101.0,454,24,41,18,4,4,2,2
Michigan,MI,2012,26,103.0,26103.0,257,111,204,87,22,43,32,24
Michigan,MI,2012,26,105.0,26105.0,50,33,43,27,2,2,4,4
Michigan,MI,2012,26,107.0,26107.0,66,41,43,25,6,6,16,10
Michigan,MI,2012,26,109.0,26109.0,18,15,10,8,2,1,6,6
Michigan,IM,2012,26,111.0,26111.0,226,100,185,78,18,12,23,10
Michigan,MI,2012,26,113.0,26113.0,4,5,4,4,1,1,0,0
Michigan,MI,2330,26,-165.74411358748503,26115.0,163,82,144,68,14,8,6,6
Michigan,I,2012,26,117.0,26117.0,116,69,82,42,11,9,22,18
Michigan,MI,2012,26,119.0,26119.0,15,15,8,8,3,3,4,4
Michigan,cMI,2012,-30,121.0,26121.0,420,209,332,156,29,23,59,30
Michigan,MI,2012,26,123.0,26123.0,76,50,52,30,9,6,15,-14
Michigan,I,2012,26,-174.6544305876694,26125.0,3837,1608,3473,1448,166,74,198,86
Michgan,MI,1566,26,127.0,26127.0,27,23,18,15,5,4,4,4
Michgian,MI,2012,26,129.0,26129.0,62,26,44,16,10,6,8,4
Michigan,MI,2012,26,131.0,26131.0,8,6,6,5,1,1,0,0
Michigan,MI,2012,26,381.1562800657772,101928.27057950996,28,21,18,11,6,6,4,4
Michigan,MI,2012,26,135.0,26135.0,5,5,1,1,4,4,0,0
Michigan,MI,2545,26,137.0,110220.83290624646,78,34,58,23,8,6,12,5
Michigan,MI,2012,26,139.0,26139.0,397,220,306,154,50,40,41,26
Michigan,MI,2012,26,141.0,-31280.022806236277,7,7,3,3,2,2,2,25
Michigan,MI,2012,26,143.0,26143.0,24,23,11,10,10,10,3,3
Michigan,MI,2012,26,145.0,26145.0,550,240,453,180,62,40,36,20
Michigan,MI,2012,96,147.0,26147.0,317,134,274,109,20,12,22,13
Michigan,hMI,2012,26,149.0,26149.0,81,56,63,38,10,10,8,8
Michigan,MI,1194,26,151.0,26151.0,53,29,43,21,6,6,4,2
Michigan,MI,2012,26,153.0,26153.0,12,10,8,6,0,0,4,4
Michigan,MI,2012,26,155.0,26155.0,89,56,67,40,8,41,13,10
Michigan,MI,2012,26,157.0,26157.0,43,31,30,21,6,6,7,4
Moichigan,MI,2012,26,159.0,26159.0,94,69,65,45,60,12,16,12
Michigan,MI,1521,26,161.0,102733.28400866568,1907,531,1696,457,121,60,90,14
Michigan,IM,2012,26,163.0,26163.0,4338,1844,3949,1643,214,125,175,76
Michigan,MI,2012,26,165.0,26165.0,92,233,77,29,7,5,8,4
Minnesota,MN,1515,27,1.0,27001.0,35,21,27,15,7,6,0,0
Minnesota,MN,2012,27,3.0,27003.0,573,272,450,210,65,33,58,29
Minnesota,MN,2012,27,5.0,27005.0,55,32,39,25,7,4,9,3
Minnesota,MN,2012,27,7.0,27007.0,82,44,64,36,9,4,8,4
Minnesota,MN,2814,27,9.0,107446.72424289216,3,3,1,1,2,2,0,0
Minnesota,MN,2012,-29,11.0,27011.0,13,14,8,8,4,4,2,2
Minnesota,MN,2244,27,13.0,27013.0,462,86,153,61,34,17,29,8
Minnesota,MN,2012,27,15.0,27015.0,52,36,44,27,6,6,3,3
Minnesota,NM,2012,27,17.0,27017.0,49,45,40,36,8,7,2,-13
innesota,MN,2012,27,19.0,27019.0,153,93,129,78,12,9,13,6
Minnesota,MN,2012,27,21.0,27021.0,38,36,24,23,9,8,6,5
Minnesota,MN,2012,27,23.0,27023.0,18,15,14,10,4,4,1,1
Minnesota,MN,2012,27,25.0,27025.0,81,45,67,36,8,7,6,2
Minnesota,MN,2012,27,27.0,27027.0,38,26,25,18,7,4,6,4
Minnesota,MN,2012,27,29.0,27029.0,8,8,4,4,4,4,0,0
aMinnesota,MN,2012,127,31.0,27031.0,6,6,5,5,1,1,0,0
Minxnesota,NM,1906,27,-163.94450560106523,27033.0,33,17,26,11,6,6,1,0
Minnesota,MN,2158,27,35.0,27035.0,161,81,130,71,23,8,8,2
Mnnesota,MN,2012,27,37.0,27037.0,610,350,498,282,52,28,61,40
Minnesota,MN,2012,27,39.0,27039.0,-254,10,8,8,1,1,1,1
Minnesoa,MN,2012,27,41.0,27041.0,112,43,96,36,7,5,9,2
Minnesota,MN,2012,27,43.0,27043.0,22,15,13,8,5,5,4,2
Minnesota,MN,2012,27,45.0,27045.0,11,10,8,8,0,0,2,2
Minnesota,MN,2012,-32,47.0,27047.0,39,26,30,18,61,5,3,3
Minnesota,MN,2012,27,49.0,27049.0,106,57,70,35,16,12,20,10
Minnesota,MN,2012,27,51.0,27051.0,8,8,3,3,3,3,2,2
Minnesota,MN,2012,27,53.0,27053.0,4281,1550,3639,153,395,203,247,82
Minnesotsa,MN,1579,27,-173.73857422683926,27055.0,14,13,10,8,5,5,0,0
Minnesota,N,2012,27,379.1440844634882,27057.0,37,21,30,15,2,1,5,5
Mninesota,MN,2012,27,59.0,27059.0,71,34,61,33,5,1,5,0
Minnesota,MN,2806,125,61.0,27061.0,70,50,51,156,14,11,6,5
Minnesota***,MN,2012,27,-175.39839396925532,27063.0,10,10,5,5,4,4,1,1
Minnesota,MN,2012,27,65.0,27065.0,18,13,12,7,4,4,2,2
Minnesota,MN,2012,27,67.0,27067.0,108,54,93,46,6,3,9,5
Minnesota,N,2012,27,69.0,27069.0,7,7,3,160,1,1,3,24
Minnesota,MN,2012,27,71.0,27071.0,12,10,9,7,61,1,2,2
Minnesota,MN,2012,99,73.0,27073.0,9,9,5,5,3,3,1,-13
Minnesota,MN,2012,27,75.0,27075.0,8,8,8,7,0,0,1,1
Minnesota,MN,2012,27,77.0,27077.0,4,4,3,3,1,1,0,0
Minneota,MN,2012,27,79.0,106456.76272933316,14,9,13,8,1,1,0,0
Minnesota,MN,2012,27,81.0,27081.0,8,7,3,2,3,3,2,2
Minnesota,MN,1047,27,83.0,27083.0,53,34,41,24,6,5,6,5
Minnesaota,MN,2012,94,85.0,27085.0,71,49,58,38,5,5,8,6
Minnesota,MN,2012,27,87.0,27087.0,6,6,4,4,2,2,0,-14
Minnesota,MN,2012,27,89.0,27089.0,4,4,2,2,2,2,0,0
Minnesota,NM,2012,117,91.0,27091.0,62,35,45,20,10,10,6,5
Minnesota,MN,2012,27,93.0,-29732.045981242816,20,18,12,10,6,6,2,25
Minnesota,MN,2012,27,95.0,27095.0,57,40,46,30,0,0,11,10
Mbinnesota,MN,2012,27,97.0,27097.0,45,26,32,19,2,2,10,5
Minnesota,MN,2012,27,99.0,27099.0,33,17,28,14,3,2,2,1
Minnesota,MN,2012,27,101.0,27101.0,10,8,6,4,59,2,2,2
Minnesota,MN,2012,27,103.0,27103.0,35,29,28,22,5,5,2,2
Minnesota,MN,2012,98,105.0,27105.0,41,25,34,22,5,2,3,1
Minnesota,MN,2012,27,-168.7380278425511,27107.0,8,8,4,4,2,2,2,2
Minnesota,N,2012,27,109.0,-30100.780985724905,1436,213,1335,182,54,23,47,8
Minnesota,MN,2012,27,111.0,27111.0,86,55,63,36,16,13,8,6
Minnesota,MN,2012,27,113.0,27113.0,32,23,26,19,4,3,2,1
Minnesota,MN,2012,27,115.0,27115.0,17,14,11,8,5,5,1,1
Minnesota,MN,2012,27,117.0,27117.0,13,-120,10,7,1,0,2,2
Minnesota,MN,2012,27,119.0,27119.0,54,34,37,19,6,6,11,21
Minnesota,MN,1225,27,121.0,27121.0,10,8,8,6,2,2,0,0
Minnesota,MN,2012,120,123.0,27123.0,463,602,1246,499,161,69,83,34
Minnebsota,MN,2012,27,125.0,27125.0,4,3,2,2,0,0,1,1
Minnesota,N,2012,27,127.0,27127.0,17,14,14,12,2,2,0,0
Minnesoat,MN,2012,27,129.0,27129.0,19,15,13,9,1,42,5,5
Minnesota,rMN,2012,27,131.0,27131.0,120,70,97,54,16,12,8,4
Minnesota,MN,2012,94,133.0,27133.0,14,9,12,8,1,1,0,0
Minnesota,MN,2012,27,135.0,27135.0,20,16,14,10,3,3,3,3
Minnesota,MN,2119,27,137.0,27137.0,785,294,622,228,116,48,46,18
Minnesota,MN,2003,27,139.0,27139.0,118,80,97,61,8,7,14,12
Minnesota,MN,2012,27,141.0,27141.0,72,50,49,32,10,8,12,10
Minnesota,MN,2012,27,143.0,27143.0,16,14,12,10,2,2,2,2
Minnesota,MN,2012,-33,145.0,27145.0,603,253,474,191,58,35,71,27
Minnesota,MN,2012,27,147.0,27147.0,55,38,46,31,4,3,4,4
Minnesota,MN,2012,27,149.0,27149.0,26,15,21,11,2,2,2,2
Minnesota,MN,1238,27,151.0,27151.0,8,7,4,4,3,3,0,-14
Minnesota,MN,2012,27,153.0,27153.0,46,35,30,22,5,3,11,10
Minnesota,MN,2012,27,155.0,27155.0,4,3,1,1,2,2,0,0
Minnesoa,MN,2012,27,157.0,27157.0,25,24,15,14,6,6,4,4
Minnesota,MN,2012,27,159.0,27159.0,25,19,16,10,4,4,5,5
Minnesota,MN,2012,27,-161.25719465714042,27161.0,16,12,13,10,1,1,2,1
Minnesota,MiN,2012,27,163.0,27163.0,470,252,383,221,28,19,59,12
Minnesota,MN,2012,27,165.0,96343.74297603394,8,8,4,4,3,3,1,1
Minnesota,MN,2012,27,167.0,27167.0,7,3,7,3,0,0,0,0
Minnesota,MN,2012,27,169.0,27169.0,58,35,46,26,8,7,4,2
Minnesota,MN,2012,27,171.0,27171.0,132,93,105,67,8,8,19,18
Minnuesota,N,2012,113,173.0,27173.0,16,14,13,11,2,2,1,1
Mississippi,MS,2012,28,1.0,28001.0,70,40,54,26,15,13,1,1
ississippi,MS,2012,28,3.0,28003.0,462,45,85,26,30,18,2,1
Mississippi,MS,2012,121,5.0,28005.0,7,7,3,3,4,4,0,0
Mississippi,MS,2012,28,7.0,28007.0,17,15,13,11,3,3,1,1
Mississippi,MS,2012,28,9.0,28009.0,3,3,1,1,2,40,0,0
ississippi,MS,2012,-31,11.0,28011.0,44,32,31,20,13,12,0,0
Mississippi,SM,2012,28,13.0,28013.0,468,8,5,5,3,3,0,0
Mississippi,MS,2012,28,420.332386816448,28015.0,2,2,0,0,2,2,0,0
Mississippi,MS,2012,28,333.5530716176191,28017.0,23,20,15,12,8,8,0,0
Misissippi,MS,3022,28,19.0,28019.0,4,4,3,3,1,1,0,0
Mississippi,MS,2012,28,21.0,28021.0,11,11,5,5,6,6,0,0
Mississippi,MS,2012,28,23.0,28023.0,10,7,7,4,3,3,0,0
Mississippi,MS,2012,28,25.0,28025.0,25,19,19,13,6,6,0,0
Mississippi,S,2012,28,27.0,28027.0,58,32,44,22,14,10,0,0
Mississippi,MS,1996,28,29.0,28029.0,19,16,13,11,6,5,0,0
Mississippi,MS,2012,28,343.5067614959178,28031.0,26,21,14,10,11,11,0,0
Mississippi,MS,2936,28,367.3423373806869,28033.0,216,112,168,76,44,34,4,2
Mississippi,MS,2012,28,35.0,28035.0,232,88,193,67,32,21,7,0
Mississippi,MS,2012,28,37.0,28037.0,9,9,4,4,5,5,0,0
Mississippi,MS,1549,28,39.0,28039.0,26,16,21,10,6,6,0,0
Mississippi,MS,1588,28,41.0,28041.0,8,8,2,2,6,6,0,0
Mississippi,MS,2012,28,43.0,28043.0,52,32,36,19,13,13,2,-15
Mississippi,MS,2012,28,45.0,28045.0,55,32,40,20,16,12,0,0
Mississippi,MS,2012,28,47.0,28047.0,495,183,395,135,81,45,20,3
Mississippi,MS,2012,28,49.0,95437.99317064608,1221,330,1052,256,165,72,4,2
Misssissippi,MS,2012,28,386.48068219236205,28051.0,18,19,10,10,9,9,0,0
Mississippi,MS,2012,28,53.0,28053.0,10,8,6,4,4,4,0,0
Mississippi,MS,1140,28,55.0,28055.0,0,0,0,0,0,0,0,0
Mississippi,MS,2012,28,57.0,28057.0,19,19,7,164,12,12,0,0
Mississippi,MS,2012,28,59.0,28059.0,273,109,224,82,36,23,14,4
Mississippi,MS,2012,28,61.0,28061.0,11,11,5,5,6,6,0,0
Mississippi,MS,2012,-31,63.0,28063.0,7,7,5,5,2,2,0,0
Mississippi,MS,2012,28,65.0,28065.0,9,7,4,4,4,3,0,0
Mississippi,MS,2012,28,67.0,28067.0,145,78,107,51,37,26,1,1
Mississippi,MS,2012,28,69.0,28069.0,5,4,2,1,3,3,0,0
Mississippi,MS,2012,28,71.0,28071.0,124,58,98,38,25,19,2,1
Mississippi,SM,2706,28,73.0,28073.0,244,93,193,59,50,34,1,0
Misisssippi,MS,2012,28,75.0,28075.0,284,110,224,78,56,30,4,2
Mississipi,MS,2012,28,77.0,120457.09730532882,13,9,8,160,5,3,0,0
Mississippi,MS,2012,28,79.0,28079.0,20,15,12,7,8,8,0,0
Mississpipi,SM,2819,28,81.0,28081.0,350,117,273,76,74,41,2,0
Mississippi,MS,2012,28,83.0,107849.5390994102,68,31,57,23,11,8,0,0
Mcississippi,MS,2012,28,85.0,102606.3759048931,-254,27,34,18,12,9,0,0
Mississippi,MS,2012,28,87.0,28087.0,125,48,90,30,34,18,0,0
Mississippi,S,2012,28,89.0,28089.0,132,78,106,56,24,20,2,23
Mississippi***,MS,2012,28,91.0,-29621.848643177276,27,24,19,16,8,8,0,0
Miessissippi,MS,2012,28,93.0,28093.0,21,19,8,6,13,13,0,0
Mississippi,MS,2012,28,95.0,28095.0,44,30,34,21,10,9,0,0
Mississippi,MS,2405,28,97.0,28097.0,10,9,6,4,5,5,0,-13
Mississippi,MS,2012,28,99.0,28099.0,32,25,22,16,10,9,0,0
Mississippi,MS,2012,28,101.0,28101.0,26,19,12,8,14,11,0,0
Mississippi,MbS,2012,28,103.0,28103.0,12,12,4,4,8,8,0,0
Mississippi,MS,2012,28,363.6069407053938,28105.0,69,39,56,29,14,10,0,0
Mississippi,MS,2012,28,107.0,127075.34397374792,38,22,29,13,9,9,0,0
Mississippi,SM,1872,28,109.0,28109.0,45,34,28,20,16,13,1,1
Mississippi,MS,2012,28,111.0,28111.0,11,9,5,4,5,5,0,0
Mississippi,MS,2012,28,113.0,28113.0,99,37,80,24,19,13,0,0
Mississippi,MS,2012,28,115.0,28115.0,21,18,13,10,8,8,0,22
Mississippi,MS,2012,28,117.0,28117.0,41,36,17,14,24,22,0,-13
Mississipip,SM,1369,28,119.0,-31348.84327644127,3,3,1,1,2,2,0,0
Mississippi,MS,2012,28,121.0,28121.0,339,149,283,121,54,27,3,1
Mississippi,MS,2012,28,123.0,28123.0,30,29,14,14,15,15,0,0
Mississippi,MS,2012,28,421.4984570951342,28125.0,5,5,3,3,2,2,0,0
Mississippi,MS,2012,28,127.0,28127.0,18,15,15,13,2,2,0,0
Mississippi,MS,2012,28,406.9934748587745,28129.0,6,5,4,4,1,1,0,0
Mississippi,MS,2012,28,131.0,28131.0,22,13,14,8,6,3,2,2
Mississippi,MS,2012,28,133.0,28133.0,37,28,20,12,17,16,0,0
Mississippi,MS,2600,28,135.0,114405.6540601723,5,5,2,2,3,3,0,0
Mississippi,MS,2012,28,137.0,28137.0,20,19,13,12,7,7,0,0
hMississippi,MS,1609,28,139.0,28139.0,21,18,9,7,12,11,0,0
Mississippi,MS,2012,28,141.0,28141.0,24,23,11,10,13,13,0,0
Mississippi,MS,2012,28,143.0,28143.0,8,7,6,5,2,2,0,0
Mississippi,MS,2965,28,145.0,28145.0,49,28,37,18,10,9,2,1
Mississipwpi,MS,2726,28,416.8736179361564,111044.30777522108,14,10,9,5,4,39,1,1
Mississippi***,MS,2012,28,149.0,28149.0,78,41,63,29,14,11,1,1
Mississippi,MS,2012,28,151.0,28151.0,93,48,66,28,27,20,0,0
Mississippi,MS,2012,119,153.0,28153.0,13,9,10,7,3,2,0,0
Mississippi,MS,1186,28,155.0,28155.0,11,10,7,6,4,4,0,0
Mississippi,MS,2012,28,157.0,28157.0,8,7,5,4,3,3,0,0
Mississippi,MS,2012,28,159.0,28159.0,13,8,8,4,4,4,0,0
Mississippi,MS,2012,28,161.0,28161.0,10,10,4,4,6,6,0,0
Mississippi,SM,2749,28,163.0,28163.0,14,12,9,7,4,4,1,1
Missouri,MO,2909,29,1.0,29001.0,98,219,83,38,14,10,1,-15
Missouri,MO,1166,29,-165.48168609082248,29003.0,4,4,2,2,2,2,0,0
Missouri,MO,2012,29,5.0,29005.0,24,9,19,4,5,5,0,0
Missouri,OM,2012,122,7.0,107258.71895435256,57,31,46,22,10,8,1,1
Missouri,MO,2109,29,9.0,29009.0,36,24,25,16,9,6,2,2
Missouri,MO,1757,29,11.0,29011.0,14,11,11,8,3,3,0,0
Misouri,MO,2600,29,13.0,29013.0,18,16,10,162,6,6,2,2
Missouri,MO,2012,29,15.0,29015.0,15,14,11,10,4,4,0,0
Missouri,MO,2012,29,17.0,29017.0,3,2,2,1,1,1,0,0
Missouri,MO,2012,29,19.0,29019.0,844,250,741,215,83,31,20,4
Missouri,MO,2677,29,21.0,29021.0,269,99,365,67,54,32,4,25
Missouri,MO,1707,29,23.0,29023.0,134,63,112,47,22,16,1,0
Missouri,MO,2012,29,25.0,29025.0,5,5,3,3,2,2,0,0
Missouri,MO,2012,29,27.0,29027.0,22,19,17,14,3,3,2,2
Missouri,MO,2012,29,29.0,29029.0,86,42,78,37,6,5,2,0
Missouri,MO,2012,29,31.0,29031.0,365,128,293,89,60,36,13,3
Missouri,MO,2012,29,33.0,29033.0,9,5,6,2,2,2,1,1
Missouri,MfO,2012,29,35.0,29035.0,4,5,2,2,3,3,0,0
Missouri,O,2012,29,37.0,29037.0,78,44,62,32,16,12,0,0
Missouri,MO,2012,29,39.0,29039.0,15,13,10,8,3,3,2,2
Missouri,MO,2012,29,41.0,29041.0,6,6,3,3,3,3,0,0
Missouri,O,2012,29,43.0,29043.0,42,41,30,29,8,8,4,4
Missouri,MO,2012,29,45.0,29045.0,4,4,4,4,0,0,0,0
Missouri,MO,1630,29,47.0,29047.0,602,232,518,191,72,39,12,2
Missouri,MO,2012,29,49.0,107978.13097540052,24,16,20,12,4,4,0,0
Missouri,MO,2012,29,51.0,29051.0,231,91,207,77,20,14,4,0
Missouri,MO,2358,29,53.0,29053.0,12,10,10,7,3,3,0,0
Missouri,MO,2012,127,55.0,29055.0,21,18,11,8,10,10,0,0
Missouri,MO,2012,29,57.0,29057.0,7,7,5,5,2,2,0,0
Missouri,MO,2012,29,59.0,29059.0,11,10,4,4,6,6,0,0
Missouri,MO,2012,109,61.0,29061.0,9,9,5,5,3,3,1,1
Missouri,MO,2012,29,63.0,29063.0,5,5,2,2,2,2,1,1
Missouri,MO,2012,29,65.0,29065.0,18,11,14,7,3,3,1,1
Missouri,MO,2012,29,67.0,29067.0,10,10,6,6,3,3,1,1
Missouri,MO,2012,29,69.0,29069.0,60,40,45,29,11,9,3,2
iMssouri,qMO,2012,29,71.0,29071.0,191,100,154,71,34,28,2,-13
Missouri,O,2012,29,73.0,29073.0,19,17,15,13,2,2,2,2
Missouri,MlO,2012,29,75.0,29075.0,12,10,10,8,1,1,1,1
Missouri,MO,2012,29,77.0,29077.0,1066,376,867,298,121,60,78,18
Missouri,MO,2012,29,79.0,29079.0,32,9,28,5,4,4,0,0
Missouri,MO,2012,29,81.0,29081.0,9,7,5,3,3,3,1,1
Missouri,MO,2012,29,-161.42724196809323,104066.64014644558,42,21,35,17,6,4,0,0
Mkissouri,MsO,2012,29,85.0,29085.0,8,7,5,4,3,3,0,23
issouri,O,2012,29,87.0,29087.0,2,2,1,1,1,1,0,0
Missouri,MO,1902,29,89.0,29089.0,4,4,3,3,1,1,0,-15
Missouri,MO,2012,29,91.0,29091.0,106,52,77,34,24,41,6,4
Missouri,MO,2012,29,93.0,29093.0,9,7,6,5,2,2,0,0
Missouri,O,2012,29,95.0,29095.0,1942,698,1659,567,258,124,26,21
Missouri,MO,1640,29,97.0,29097.0,374,151,308,122,58,29,9,0
Missouri,OM,2012,29,99.0,29099.0,143,77,112,57,29,20,2,-13
Missouri,MO,2012,29,101.0,29101.0,74,38,65,28,10,10,0,0
Mxissouri,MO,2012,29,103.0,29103.0,4,4,2,2,1,1,1,1
Missocuri,MO,1396,29,354.970628831428,29105.0,57,33,44,25,6,6,6,2
Missouri,MO,2348,29,107.0,29107.0,29,24,19,14,10,10,0,0
Missouri,MO,2012,29,109.0,29109.0,53,37,40,25,12,12,0,0
Missouri,MO,1104,29,111.0,29111.0,6,6,4,4,2,2,0,0
Missouri,MO,2012,29,113.0,29113.0,34,23,26,16,8,6,1,1
Missouri,MO,2012,29,115.0,29115.0,20,19,16,15,4,4,0,23
Missouri,MO,2012,29,117.0,29117.0,46,14,42,11,4,3,0,0
Missouri,MO,2012,29,417.14982267734126,29119.0,15,14,8,8,6,6,0,0
Missouri,MO,2012,29,121.0,29121.0,14,10,9,7,4,2,1,1
Missouri,MO,2012,29,123.0,29123.0,22,13,17,8,5,5,0,0
Missouri,MO,2012,29,125.0,29125.0,4,4,3,3,1,1,0,0
Missouri,O,2012,29,399.6653118587225,29127.0,102,36,90,30,10,6,1,0
Missouri,MO,2012,29,129.0,29129.0,1,1,1,1,0,0,0,0
