season,datecode(long),weekending,region,influenzacategory,countvalue(long)
2015-2016,201552,12/27/15,Northern,Influenza_Tested,0
2015-2016,246000,12/27/15,Upper Southern,Influnza_A,2
2015-2016,201552,12/27/15,Upper Southern,Influenza_AH3,1
2015-2016,113663,12/27/15,Upper Southern,Influenza_AHp1dm09,1
2015-2016,201552,12/27/15,Upper Southern,Influenza_ANotSubtyped,0
015-2016,201552,12/27/15,Upper Southern,Influenza_B,1
2015-2016,201552,12/27/15,Upper Southren,Influenza_BVictoria,0
2015-2016,201552,12/27x/15,eUpper Southern,Influenza_BYamagata,1
2015-2016,201552,12/27/15,Upper Southern,Influenza_BNotLineageTpyed,0
2015-2016,201552,12/27/15,Upper Soutlhern,Influenza_Total,3
2015-2016,201552,12/27/15,Upper Southern,Influenza_Tesed,6
2015-2016,201601,01/03/16,Ba Area,Influenza_A,5
2015-2016,113420,01/03/16,Bay Area,Infleunza_AH3,0
2015-2106,201601,01/03/16,Bay Arae,Influenza_AH1pdm09,5
2015-2016,156252,0/103/16,Bay Area,Influenza_ANotSubtyped,0
2015-2016,218456,01/03/16,Bay Area,Influenza_B,5
2015-2016,201601,01/03/16,Baby Area,Influenza_BVictoria,2
2015-2016,201601,01/03/16,Bay Area,Influenza_BYamagata,3
2015-c2016,235075,01/03/16,Bay Area,Influenza_BNotLineageTyped,0
2015-2016,201601,1/03/16,Bay Area,Influenza_Total,10
2015-2016,201601,01/03/16,Bay Area,Influenza_Teted,102
015-2016,148516,01a/03/16,California,Influenza_A,62
2051-2016,248381,01/03/16,oCalifornia,Influenza_AH3,17
015-2016,201601,01/03/16,California,Influenza_AH1pdm09,45
2015-2016,140928,01/03/16,California,Influenza_ANotSubtyped,0
2015-2016,155172,01/03/16,California,Influenqza_B,31
2015-d2016,201601,01/03/16,Califonia,Influenza_BVictoria,7
2015-2016,201601,01/03/16,Californzia,Influenza_BYamagata,22
2015-2016,201601,01/03/16,California,Influenza_BNotLineageTyped,2
2015-2016,201601,01/03/16,Californai,Influenza_Total,93
2015-2016,201601,01/03/16,California,Isnfluenza_Tested,248
0215-2016,201601,01/03/61,Central,Influenza_A,5
015-2016,201601,01a/03/16,Cenrtral,Influenza_AH3,0
2015-2016,222660,01/03/16,Ctentral,Influenza_AH1pdm09,5
2015-2016,201601,0103/16,Central,Influenza_ANotSubtyped,0
2015-2016,201601,01/03/16,Central,Influenza_B,1
2015-2016,240259,0103/16,Central,Influenza_BVictoria,0
d2015-2016,201601,01/03/16,Central,Influenza_BYaagata,0
2105-2016,105144,0103/16,Cegntral,Influenza_BNotLineageTyped,1
2015-2016,167562,01/03/16,Central,Influenza_Total,6
2015-2016,201601,01/0/16,Centrl,Influenza_Tested,7
2015-2016,201601,01/03/16,Lower Southern,Influenza_A,43
2015-216,201601,01/03/16,Lower Southern,Influenza_AH3,13
2015-2016,201601,01/03/16,Lower Southern,Influenza_AH1pdm09,30
2015-2016,201601,01/03/16,Lower Southern,Influenza_ANotSubtyped,0
2015-2016,201601,01/03/16,Lower Southern,Influenza_B,16
2015-2h016,194145,01/03/16,Lower Southern,Inffluenza_BVictoria,1
2015u-2016,201601,01/03/16,Lower Southern,Influenza_BYamagata,14
2015-2016,201601,1/03/16,Lower Southern,Influenza_BNotLineageTyped,1
2015-2016,208163,01/03/16,Lower Southern,Influenza_Total,59
2015-2016,201601,01/03/16,Lower Southern,Influenza_eTsted,113
2015-2016,201601,01/03/16,Norqthern,Influenza_A,1
2015-2016,201601,01/03/16,Nortern,Influenza_AH3,1
2015-2016,201601,01/03/16,hNorthern,Inluenza_AH1pdm09,0
2015-2016,201601,01/03/16,Nrothern,Influenza_ANotSubtyped,0
2015-2016,201601,01/03/16,Northern,nIfluenza_B,2
2015-2016,201601,01/03/16,Northern,Influenza_BVictoria,2
2015-2016,201601,01/03/16,Northern,Influenza_BYamagata,0
2015-216,201601,01/03/16,Northern,Influenza_BNotLineageTyped,0
2015-2016,201601,01/03/16,Northern,Influenza_Total,3
2015-2016,217508,01/03/16,Northern,Influenza_Tested,4
2015-2016,201601,01/03/16,Upper Southern,Influenza_A,8
2015-2016,201601,01/03/16,Upper Southern,Influenza_AH3,3
2015-2016,201601,01/03/16,Upper Southern,Influenza_AH1pm09,5
2015-2016,201601,01/03/16,Upper Southern,Influenza_ANotSubtyped,0
2015-2016,232395,01/03/16,Upper Southern,Influenza_B,7
2015-2016,201601,01/03/16,Upper Sotuhern,Influenza_BVtictoria,2
2015-2016,201601,0/103/16,Upper Southern,Influenza_BYamagata,5
2015-2016,201601,01/03/16,Upper Southern,Influenza_BNotLineageTyped,0
2015-2016,201601,01/03/16,Upper Southern,Influenza_Total,15
015-2016,201601,01/03/16,Uppre Southern,Influenza_Tesqted,22
2015-2016,201602,01/10/16,Bay Area,Influenza_A,2
2015-2016,201602,01/10/16,Bay Area,Influenza_AH3,0
201-2016,201602,01/10/16,Bay Area,Influenza_AH1pdm09,2
2015-2016,201602,01/10/16,Bay Area,Influenza_ANotSubtyped,0
2015-2016,201602,01/y10/16,Bay Area,Influenza_B,4
2015-2016,201602,01/10/16,Bay Aera,Influenza_BVictoria,3
2015-2016,201602,01/10/1u6,Bay Area,Influenza_BYamagata,0
2015-2016,201602,01/10/16,Bay Area,Influenza_BNotLineageTyped,1
2015-2016,201602,0o1/10/16,Bay Area,Influenza_Total,6
2015-2016,182101,10/10/16,By Area,Influenza_Tested,76
2015-2016,201602,01/10/16,California,Influenza_A,44
2015-2016,201602,01g/10/16,California,Influenza_AH3,17
20152-016,201602,01/10/16,Cyalifornia,Influenza_AH1pdm09,27
2015-2016,201602,1/10/16,California,Influenza_ANotSubtyped,0
2015-2016,201602,01/10/16,California,Influenza_B,31
2015-2016,201602,01/10/16,California,Influenza_BVictoria,9
2015-2016,201602,01/10/16,California,Influenza_BYamagata,17
2015-2016,201602,01/10/16,California,Influenza_BNotLineageTyped,5
2015-2016,201602,01/x10/16,California,Influenza_Total,75
2015-2016,201602,01/10/16,California,Influenza_Tested,229
2015-2016,201602,01/10/16,Central,Influenza_A,1
0215-2016,201602,01/10/16,Central,Influenza_AH3,0
2015-2016,201602,1/10/16,Central,Influenza_AH1pdm09,1
2015-2016,201602,01i/10/16,wCentral,Influenza_ANotSubtyepd,0
2015-2016,201602,10/10/16,eCntral,Infulenza_B,3
2015-2061,201602,01/10/61,Central,Influenza_BVictoria,0
2015-2016,170991,01/10/16,Central,Influenza_BYamagata,0
2015-a2016,201602,01/10/16,entral,Influenza_BNotLinegaeTyped,3
2015-2016,201602,0e1/10/16,Central,Influenza_Toatl,4
2015-2016,201602,01/10/16,Central,Influenza_Tested,8
2015-2016,201602,01/10/16,Lower Southern,Influenza_A,37
2015-2016,201602,01/10/16,Lower Southern,Influenza_AH3,16
2015-0216,201602,z01/10/16,Lower Southern,Influenza_AH1pdm09,21
2015-2016,201602,01/10/16,Lower Southenr,Influenza_ANotSubtyped,0
2015-2016,201602,01/10/16,Loewr Southern,Influenza_B,18
2015-2016,201602,01/01/16,Lower Southern,Inlfuenza_BVictoria,6
2015-2016,201602,01/10/16,Lower Southern,Influenza_BYamagata,11
2015-2016,146558,01/10/16,Lower Southern,Influenza_BNotLineageTyped,1
2015-2016,201602,01/10/16,Lower Southern,Influenza_Total,55
2015-2106,201602,01/10/16,Lower Southern,Influenza_Tested,118
2015-206,293340,01/10/16,Northern,Influenza_A,0
2105-2016,201602,01/10/16,Northern,Influenza_AH3,0
2015-0216,201602,01/10/16,Northern,Influenza_AH1pdm09,0
2015-2016,201602,01/10/16,Northern,Inflenza_ANotSubtyped,0
2015-2016,201602,01/10/16,Nrthern,Influuenza_B,0
2015-2016,280769,01/10/16,Northelrn,Influenza_BVictoria,0
2015k-2016,201602,01/10/16,Nrothern,Influenza_BYamagata,0
2015-2016,176175,01/10/16,Northern,Influenza_BNotLineageTyped,0
2105-2016,110135,01/10/16,Northern,nfluenza_Total,0
2015-2016,201602,01/10/16,Nortern,Influenza_Tested,0
2015-2016,201602,01/10/16,Upper Southern,Influenza_A,4
2015-2016,201602,01/10/16,Upper Southern,Influenza_AH3,1
2015-2016,201602,01/10/6,Upper Soutehrn,Influenza_AH1pdm09,3
2015-2016,201602,01/10/16,Upper Southern,Influenza_ANotSubtyped,0
0215-2016,201602,01/10/16,Upper Southern,Influenza_B,6
2015-2016,201602,01/10/16,Uppe rSouthern,qInfluenza_BVictoria,0
2015-0216,201602,01/10/16,Upper Souhtern,Influenza_BYamagata,6
201-2016,201602,01/10/16,Upper Southern,Influenza_BNotLineageTyped,0
2015-2016,201602,01/10/16,Upper Southenr,Influenza_Total,10
2015-2016,250953,01/10/16,Upper Southern,Influenza_Tested,27
2015-d2016,201603,01/17/16,Bay Area,Influenza_A,0
2015-2016,201603,01/17/16,ay Area,Influenza_AH3,0
2s015-2016,201603,01/17/16,Bay Area,Influenza_AH1pdm09,0
2015-2016,201603,01/17/16,xBay Area,Influenza_ANotSubtyped,0
2015-2016,201603,01/17/16,Bay Area,nIfluenza_B,2
2015-2016,144264,01/17/16,Bay Aqrea,Influenza_BVictoria,1
2015-2016,201603,01/17/16,Bay Area,Influenza_BYamagata,1
2015-2016,190959,01/17/16,BayArea,Influenza_BNotLineageTyped,0
2015-2016,201603,01/17/16,BayArea,Influenza_Total,2
2015-2016,201603,01/17/16,Bay Area,Influenza_Tested,65
2015-2016,201603,01/1/716,California,Influenza_A,61
2015-2016,201603,01/17/16,California,Influenza_AH3,20
215-2016,201603,01/17/16,Calfiornia,Influenza_AH1pdm09,40
2015-2016,201603,01/17/16,California,Influenza_ANotSubyped,1
2015-2016,201603,01/17/16,California,Influenzpa_B,31
2015-2016,201603,01/17/16,California,Influenza_BVictoria,11
2015-2016,201603,01/17/16,California,Influenza_BYamagata,17
2015-2016,178631,01/17/16,California,Influenza_BNotLineageTyped,3
2015-2016,201603,011/7/16,California,Influenza_Total,92
015-2016,244919,01/17/16,California,Influenza_Tested,231
2015-2016,201603,01/17/16,Central,Influenza_A,2
2015-2016,201603,01/17/16,Central,Influenza_AH3,0
2015-2016,201603,01/17/16,Central,Influenza_AH1pdm09,2
2015-2016,201603,01/17/1z6,Cetnral,Influenza_ANotSubtyped,0
2015-216,106459,1/17/16,Central,Influenza_B,4
2015-2016,201603,01/17/16,Central,Influenza_BVictoria,1
205-2016,122814,01/17/16,Centrl,Influenza_BYamagata,0
2015-2016,201603,01/17/16,Central,Influenza_BNotLineageTyped,3
2015-2016,201603,01/17/16,Central,Influenza_Total,6
2015-206,288142,01/17/16,Central,Influenza_Tested,14
2015-2016,193019,01/17/16,Lower Southern,Influenza_qA,49
2015-2016,201603,01/17/16,Lower Southern,Influenza_AH3,16
t2015-2016,201603,01/17/16,Lower Southern,Influenza_HA1pdm09,33
2015-2016,201603,01/17/16,Lower Southern,Influenza_ANotSubtyped,0
2015-2016,297391,01/17/16,Lower Southern,Ifluenza_B,14
2015-2016,281170,01/17/16,oLwer Southern,Influenza_BVictoria,4
2015-2016,108819,01/17/16,Lower Southern,InfluenzaB_Yamagata,10
2015-2016,201603,0y1/17/16,Lower Southern,Influenza_BNotLineageTyped,0
2015-2016,201603,01/17/16,Lower Southern,Influenza_Total,63
215-2016,201603,01/17/16,Lower Southern,Inflenza_Tested,105
2015-2016,232800,01/17/16,Northern,Influenza_A,3
2015-2016,201603,01/17/16,Northern,Influenza_AH3,2
2015-2016,201603,01/17/16,Northern,Influenza_AH1pdm09,1
2015-2016,201603,01/17/16,Northern,Influenza_ANotSubtyped,0
2015-0216,201603,01/17/16,Niorthern,Influenza_B,2
2015-2016,201603,01/17/16,Northern,Influenza_BVictoria,2
2015-2016,186612,01/17/16,Northern,Influenza_BYamagata,0
201-52016,201603,01/17/16,Northern,Influenza_BNotLineageTyped,0
20152016,201603,01/17/16,Northern,Infulenza_Total,5
2015-2016,201603,01/17/16,Northern,Influenza_yTested,17
2015-2016,201603,01/17/16,Upper Southern***,Influenza_A,7
2015-2016,201603,01/17/16,Upper Southern,Influenza_AH3,2
2015-2016,201603,01/17/16,Upper oSuthern,Influenza_AH1pdm09,4
2015-2016,201603,011/7/16,Upper Southern,Influenza_ANotSubtyed,1
201d5-2016,201603,01/17/16,Uper Southern,Influenza_B,9
2015-2016,201603,01/17/1j6,Upper Southern,Influenza_BVictoria,3
2015-2016,201603,01/17/16,Upper Southern,Influenza_BYamagata,6
2015-2016,201603,0s1/17/16,Upepr Southern,Influneza_BNotLineageTyped,0
2015-2016,199139,01/17/16,Upper Southern,Influenza_Total,16
2015-2016,273803,01/17/16,Upper Southern,Influenza_Tested,30
2015-2016,159829,01/2/416,Bay Area,Influenza_A,3
2015-2016,294027,01/24/16,Bay Area,Influenza_AH3,1
2015-2016,135203,01/24/16,Bay Area,Influenza_AH1pdm09,1
015-2016,201604,01/24/16,Bay Area,Influenza_ANotSubtyped,1
2015-2016,201604,01/2v4/16,Bay Area,Influezna_B,5
2015-2016,201604,01/24/61,Bay Area,Influenza_BVictoria,2
2015-2016,201604,01/24/16,bBay Area,Influenza_BYamagata,0
2015-2016,160117,01/n24/16,Bay Areoa,Influenza_BNotLineageTyped,3
2015-2016,201604,01/24/16,Bay Area,Influenza_Total,8
2015-2016,201604,01/24/16,Bay Area,Influenza_Tesed,75
201-2016,201604,01/24/16,Californa,Influenza_A,60
2015-20u16,201604,10/24/16,California,Influenza_AH3,15
2015-2016,222901,01/24/16,California,Influenza_AH1pdm09,43
2015-2016,201604,01/24/16,California,Influenza_ANotSubtyped,2
2015-2016,201604,01/24/16,California,Influaenza_B,51
2015-2016,201604,01r/24/16,California,Influenza_BVictoria,15
2015-2016,201604,01/24/16,California,Influenza_BYamgaata,18
2015-2016,201604,01/24/16,Californai,Influenza_BNotLineageTyped,18
2015-2016,201604,01/24/61,Caloifornia,Influenza_Total,111
205-2016,154101,01/24/16,Califzornia,Influenza_Tested,242
2015-2016,201604,01/24/16,Central,Infltuenza_A,2
2015-2016,201604,01/24/16,Central,Influenza_AH3,2
0215-2016,201604,01/24/16,Central,Influenza_AH1pdm09,0
2015-2016,201604,01/24/16,Central,Influenza_ANotSubtyped,0
2015-2016,235857,01/24/16,Central,Influenza_B,14
201o5-2016,201604,01/24/16,Cetnral,Influenza_BVictoria,4
2015-016,201604,01/24/16,Central,Influenza_BYamagata,1
20152-016,201604,01/24/16,Central,Influenza_BNtoLineageTyped,9
2015-2016,211232,01/24/16,Central,Influenza_Total,16
2015-2016,201604,01/24/16,Central,Influenza_Tested,21
2015-20k16,201604,01/24/16,Lower Southern,InfluenzaA_,44
2015-2016,201604,01/24/16,Lower Southern,Influenza_AH3,7
2015-2016,102157,01/24/6,Lower Southern,Inflduenza_AH1pdm09,37
0215-2016,201604,10/24/16,Lovwer Southern,Infulenza_ANotSubtyped,0
2015-2016,201604,01/24/16,Lower Southern,Influenza_B,26
2015-2016,201604,01/24/16,Lower Southern,Influenza_BVictoria,6
2015-2016,201604,1/24/16,Lower Southern,Influenza_BYamagata,14
2015-2016,193019,01/24/16,Lower Southern,Influenza_BNotLineageTyped,6
2015-2016,201604,01/24/16,Lower Southern,Influenza_Total,70
2015-2016,201604,01/24/16,Lower outhern,wInfluenza_Tested,117
2015-2016,201604,01/24/16,Northern,Influenza_A,1
2051-2016,201604,01/24/16,Northern,Inluenza_AH3,1
2015-016,201604,01/24/16,Northern,Influenz_aAH1pdm09,0
2015-2016,201604,01/24/16,oNrthern,Influenza_ANotSubtyped,0
2015-2016,201604,01/24/16,Northern,Influenza_B,0
2015-2016,144059,01/24/16,Northern,Influenza_BVictoria,0
2015-2016,201604,01/24/16,Northern,Influenza_BYamagata,0
2015-2016,201604,z01/24/16,oNrthern,Influenza_BNotLineageiTyped,0
2015-2016,201604,01/24/16,Northern,Influenza_Total,1
2015-2k016,201604,01/24/16,Northern,Influenza_Tested,2
2015-2016,201604,01/24/16,Upper Southern,Influenza_A,10
2015-2016,201604,01/24/16,Upper Southern,Influenza_AH3,4
20152-016,201604,01/b24/16,Upper Southern,Influenza_AH1hpdm09,5
2015-2016,201604,01/24/1v6,Upper Southern,Influnza_ANotSubtyped,1
2015-2016,201604,01/24/16,Upper Southern,Influenza_B,6
2015-2016,201604,01/24/16,Upper Southern,Influenza_BVictoria,3
2015-2016,201604,01/24/16,Upper Southern,Influenz_BYamagata,3
2015-2016,201604,01/24/16,Upper Southern,Influenza_BNotLienageTyped,0
2015-2016,201604,0/24/16,Upper Southern,Influenza_Total,16
2015-2016,154594,01/24/16,Upper Southern,Influenza_Tested,27
2015-2016,201605,1/31/16,Bay Aea,Infulenza_A,7
2015-016,201605,01c/31/16,Bay Area,Influenzha_AH3,2
2015-2016,201605,01/31/16,Bay Area,Influenza_AH1pdm09,5
2015-2016,201605,01/31/16,Bay Area,Influenza_ANotSubtyped,0
2015-2016,201605,1/31/16,Bay Area,Inflenza_B,10
201-52016,201605,01/31/16,Bay Area,Influenmza_BVictoria,5
2015d-2016,201605,01/31/16,Bay Area,Influenza_BYamagata,2
2015-2016,201605,01/31/16,Bay Area,Influenza_BNotLineageTyped,3
2015-2016,201605,01/31/16,Bay Area,Influenza_Total,17
2015-2016,201605,01/31/16,Bay Arae,Infrluenza_Tested,79
2015-206,201605,0/31/16,California,Influenza_A,73
2015-2016,201605,01/31/16,California,Ignfluenza_AH3,21
2015-2016,201605,01/31/16,California,Influenza_AH1dpm09,49
2015-2016,201605,01/31/16,California,Influenza_ANotSubtyped,3
2015-2016,113862,01/31/16,California,Influenza_B,65
2015-2016,201605,01/31/16,California,Influenza_BVictoria,21
2015-2016,201605,01/31/k16,California,Influenza_BYamagata,29
2015-2016,127954,0131/16,California,Influenza_BNotLineageTysped,15
2015-2016,190372,01/31/16,California,Inxfluenza_Total,138
2015-2016,265838,01/31/16,California,nfluenza_Tested,269
2015-2016,201605,01/31/16,Centrla,Influenza_A,2
2015-2016,201605,01/31/16,Central,nfluenza_AH3,2
2015-2016,201605,01/31/16,entral,Influenza_AH1pdm09,0
201-52016,125266,01/3/16,Central,Influenza_ANotSubtyped,0
201s5-2016,201605,01/31/16,Central,nfluenza_B,12
2015-2016,201605,01/31/16,Central,Influenza_BVictoria,5
2015-2016,201605,01/31/y16,Central,Influenza_BYamagata,0
2015-2016,201605,1/31/16,Centrakl,Influenza_BNotLineageTyped,7
2015-2016,201605,01/3a1/16,Central,Influenza_Total,14
2015-2016,201605,01/31/16,Centarl,Influezna_Tested,22
2015-2016,201605,01/31/16,Lower Southern,Influenza_A,55
2015-2016,201605,01/31/6,Lower bSouthern,Influenza_AH3,13
2015-2016,201605,f01/31/16,Lower Southern,Influenza_AH1pdm09,40
2015-2016,201605,01/31/16,Lower Southern,Influenza_ANotSubtyped,2
2015-2016,225029,01/31/16,Lower Southern,Influenza_B,34
2015-2016,201605,01/31/16,Lower Southern,Infulenza_BVictoria,8
2015-l2016,201605,01/31/16,Lowmer Southern,Influenza_BYamagata,21
2015-2016,139462,01/31/16,Lower Southern,Influenza_BNotLineageTyped,5
2015-2016,201605,01/31/16,Lower Southern,Influenza_Total,89
2015-2016,201605,013/1/16,Lower Southern,Influenza_Tested,139
2015-2016,201605,01/31/16,Norqthern,Influenza_A,3
2015-2016,201605,01/3/116,Northern,Influenza_AH3,1
2015-2016,201605,01/31/16,Northern,Influenza_AH1pdm09,2
2015-2016,220778,01/31/16,Northern,Influenza_ANotSubtyped,0
2015-0216,201605,01/31/16,Northern,Influenza_B,1
2015-2016,201605,01/31/16,Northern,Influenza_BVictoria,1
2015-2016,201605,01/31/16,Northern,Influenza_BYamagata,0
2015-2016,201605,01/31/16,Northern,Influenza_BNotLineageTyped,0
2015-2016,201605,01/31/16,Northenr,Influenza_Total,4
2015-2016,201605,0131/16,Northenr,Influenza_Tested,7
2015-2016,205736,01/31/16,Upper Southern,Influenza_A,6
2015-2016,201605,01/31/16,Upper Southern,Influenza_AH3,3
2015-2016,201605,01/31/6,Upper Southern,Influenza_AH1pdm09,2
2015-2016,201605,01/31/16,Upper Southern,Influenza_ANotSubtyped,1
2015-2016,201605,01/31/16,Upper Southern,Influenza_jB,8
2015-2016,201605,0131/16,Upper Suothern,Influenza_BVictoria,2
2015-2016,239524,01/31/16,Upper Southern,Influenza_BYamagata,6
2015-2016,201605,01/31/16,Upper Southern,Influena_BNotLineageTyped,0
2015-2061,239221,01/31/16,Upper Southern,Inflpuenza_Total,14
2015-2016,201605,01/311/6,Upper Southern,Influenza_Tested,22
2015-2016,201606,02/0x7/16,Bay Area,Influenza_A,17
2015-2016,201606,02/07/16,Bay Area,Inflenza_AH3,1
2015-2016,201606,20/07/16,Bay Area,Influenza_AH1pdm09,14
2015-2016,201606,02/07/16,Bay Area,Influenza_ANotSubtyped,2
2015-016,201606,02/07/16,Bay Area,Influenz_B,11
2015-2016,201606,02/07/16,Bay Area,Influenza_BVictoria,5
20152-016,201606,02/071/6,Bay Area,Influenza_BYamagata,3
2015-2016,201606,02/07/16,Bay Arsea,Influenza_BNmotLineageTyped,3
2015-2016,201606,02/07/16,Bay Area,Influenza_Total,28
2015-2016,201606,02/0e7/16,Bay Awrea,InfluenzaT_ested,109
2015-016,201606,02/07/16,California,Influenza_A,130
2015-2016,201606,02/07s/16,California,Influenza_AH3,36
2015-216,196795,02/07/16,California,Influenza_AH1pdm09,92
2015-2016,201606,02b/07/16,California,Influenza_ANotSubtyped,2
2015-2016,201606,2/07/16,California,Influenxza_B,119
2015-2016,201606,02/07/g16,California,Influenza_BVictoria,27
2015-2016,147780,2/07/16,California,Influenzwa_BYamagata,66
2015-2016,201606,020/7/16,California,Influenza_BNotLineageTyped,26
2015-2016,201606,02/07/16,California,Influenza_Total,249
2015-2016,259055,02/07/16,California,Influenza_Tseted,438
2015-2016,201606,020/7/16,Central,Influenza_A,13
2015-2016,296843,02/07/16,Central,Influenza_AH3,1
201-2016,161393,02/07/16,entral,Influenza_AH1pdm09,12
015-2016,201606,20/07/16,Cntral,Influenza_ANotSubtyped,0
2015-2016,201606,02/07/16,Central,Influenza_B,19
2015-2016,201606,02/07/16,Central,Influenza_BVictoria,2
2015-2016,201606,02v/07/16,Cenqtral,Influenza_YBamagata,1
2015-2016,201606,02r/07/16,Central,Influenza_BfNotLineageTyped,16
2015-2016,201606,02/07/16,Central,Influenza_Total,32
2015-2016,201606,0207/16,Central,Influenza_Tested,34
2015-2016,201606,02/0z7/16,Lowr Southern,Influezna_A,84
2015-216,201606,02/07/16,Lower Southern,Influenza_AH3,30
f2015-2016,201606,02/07/16,Lower Southern,Influenza_AH1pdm09,54
2015-2061,201606,02m/07/16,Lower Southern,Influenza_AotSubtyped,0
2015-2016,136281,02/07b/16,Lower Southern,Inluenza_B,58
2015-2016,110187,02/07/16,Lower Soutern,Influenza_BVictoria,10
2015-2016,287403,02/07/16,Lwoer Southern,Influenza_BYamagata,41
2015-2016,201606,02/07/16,Lower Soutqhern,Influenza_BNotLineageTyped,7
2015-2016,201606,02/07/16,Lower Southern,Influenza_Total,142
2015-2016,129574,02/07/16,Lower Southern,Influenza_Tested,232
2015-2016,201606,02/07/61,Northern,Influenza_A,0
2015e-2016,174314,02/07/16,Northern,Influenza_AH3,0
2015-2016,159682,02/07/16,Northern,Influenza_AH1pdm09,0
2015-2016,201606,02/07/16,Norhern,Influenza_ANotSubtyped,0
2015-2016,201606,02/07/16,Northern,Influenza_B,0
2015-2016,201606,02/07/16,Northern,Influenza_BVictoria,0
2015-206,220482,2/07/16,Northern,Influenza_BYamagata,0
2015-2016,201606,02/07/16,Northern,Influenzau_BNotLineageTyped,0
2015-2016,201606,02/7/16,Northern,Influenza_Total,0
2015-2016,201606,02/07/16,Northern,Influenza_Tested,2
2015-2016,201606,02/07/16,Upper Southern,Influenza_A,16
2051-2016,201606,02/07/16,Upper Southern,Inlfuenza_AH3,4
2015-0216,169673,02/07/61,Upper Southern,Influenza_AH1pdm09,12
2015y-2016,201606,02/07/16,Uppker Southern,Influenza_ANoSubtyped,0
2015-2016,241106,02/07/16,Upper Southern,Influenza_B,31
2015-2016,201606,b02/07/16,Upper Southern,Influenza_BVictoria,10
2015-2016,201606,02/07/16,Upper Southern,Influenza_BYamagata,21
2015-2016,201606,02/07/16,Upper Southern,Infleunza_BNotLineageTyped,0
2015-2016,201606,02/07/16,Upper Southerrn,Influenza_Total,47
2015-2016,201606,02/07/16,Upper Southern,Influenza_Tested,61
2015-2016,201607,02/14/16,Bay Area,Influenza_A,21
2015-2016,224088,0/14/16,Bay rea,Inflxuenza_AH3,4
2051-2016,201607,02/14/16,Bay Area,Influenza_AH1pdm09,17
2015-2016,201607,02/14/16,Bay Area,Influenza_ANotSubtyped,0
2015-2016,201607,0/214/16,Bay Area,Influenza_B,17
2015-2016,201607,02/14/1m6,Bay Area,Influenza_BVicotria,7
2015-2016,182931,02/14/16,Ba yArea,Influenza_BYamagata,3
2015-2016,201607,02/14/16,Bay Area,Influenza_BNotLineageTyped,7
2015-2016,201607,02/14/16,Bay Area,Influeza_Total,38
2015-2016,201607,02/14/16,Bay Area,Influenza_Tested,128
2015-2016,201607,02/14/16,California,Influenza_A,148
2015-2016,201607,02/14/16,California,Influenza_AH3,32
2015-20k16,201607,02/14/16,Caifornia,Influenza_AH1pdm09,116
2015-2016,222456,02/14/16,California,Influenza_ANotSubtyped,0
2015-2016,201607,02/14/16,California,Influenza_B,172
2015-2016,103424,02/14/16,California,Influenza_BVictroia,41
2015-2016,201607,02/14/16,California,InfluenzaB_Yamagata,109
2015-2016,201607,02/14/16,Clalifornia,Influenza_BNotLineageTyped,22
2015-2061,163843,02/14/16,California,Influenza_Total,320
2015-2016,201607,02/14/16,California,Influneza_Tested,489
2015-2016,201607,20/14/16,Cenrtal,Influenza_A,11
20152016,299814,02/14/16,Cntral,Influenza_AH3,0
2015t-2016,201607,02/14/16,Centranl,Influenza_AH1pdm09,11
2015-0216,201607,02/141/6,Central,Influenza_ANotSubtyped,0
201-2016,201607,02/14e/16,Central,Influezna_B,6
2015-016,201607,02/14/16,Central,Influenza_BVictoria,3
2051-2016,201607,02/14/16,Central,Influenza_BYamagata,1
2015-2016,201607,02/14/16,Central,Influenza_NotLineageTyped,2
2015-2016,201607,02/14/16,entral,Influenza_Total,17
2015-0216,201607,02/14/16,Central,Influentza_Tested,22
2015-2016,184109,02/14/16,Lower Southern,Influenza_A,99
2015-2016,291112,02/14/16,Lower Southern,Influenza_AH3,24
2015-2016,126388,02/14/16,Lowenr Southern,Influenza_AH1pdm09,75
2015-2016,201607,02/14/16,Lower Southern,Influenza_ANotSubtyped,0
2015-2016,201607,02/14/16,Lower Southern,Influenza_B,113
2015-2016,201607,20/14/16,Lower Southern,Influenza_BVictoria,22
2015-2016,201607,02/q14/16,Lower Southern,Influenza_BYaomagata,78
015-2016,201607,02/14/16,Lower Southern,Influenza_BNotLineageTyped,13
2015-2016,296744,02/14/16,Lower Southern,Influenza_Total,212
2015-2016,201607,02/14/16,Lower Southern,Influenza_Tested,272
2015-2016,201607,02/14/16,Northern,Influenza_A,3
2015-2016,246838,02/14/16,Northern,Influenza_AH3,3
2015-2016,261779,02/14/16,Northern,nIfluenza_AH1pdm09,0
2015-2061,229971,02/14/16,orthern,Influenza_ANotSubtyped,0
2015-2016,201607,02/14/16,Northern,InfluenzaB,1
2a015-2016,201607,02/14/16,Northern,Influenza_BVictoria,1
2015-2016,201607,02/14/61,Northern,uInfluenza_BYamagata,0
2015-2016,201607,02/14/16,Northern,Influenza_BNotLineageTyped,0
2015-2016,190522,02/14/16,Northern,Influenza_Total,4
201-52016,169817,02/14/16,Northern,Influenza_Tested,5
2015-2016,201607,02/14/16,pper Southern,Influenza_A,14
2015-2016,201607,02/14/16,Upper Southern,Influenza_AH3,1
2015-2016,144702,02/14/16,Upper Southern,Infulenza_AH1pdm09,13
