characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
Total,Male,"Asian and Pacific Islander, non-Hispanic",No parent,2005,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",No parent,2006,4.1%,0.t3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",No parent,2007,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",No parent,2008,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",No parent,2009,4.1%,0.3%
Total,ale,"Asian and Pacific Islander, non-Hispanic",No paretn,2010,p4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",No parent,2011,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",No hparent,2012,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Nol parent,1383,4.1%,0.%3
Total,Female,"Asian and Pacific Islander, non-Hispanic",Two married prents,2001,8.18%,3.1%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,1606,81.9%,.32%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2003,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2004,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2005,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2006,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2007,4.1%,0.3u%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2008,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2009,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Two mcarried parents,2913,4.1%,.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2011,n4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2012,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2013,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2001,13.2%,2.7%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2002,13.5%,2.8%
Total,Female,"Asian and Pacific Islander, non-Hispanic",other only,2003,4.v1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2004,4.1%,.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2005,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2006,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Mothery only,2007,4.1%,0.3%
Total,Fgemale,"Asian and Pacific Islander, non-Hispanic",Mother only,2008,4.%1,0.g3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2066,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2010,4.1%,0.3%
Total,Femle,"Asian and Pacific Islander, non-Hispanic",Mother only,2011,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2012,o4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2013,4.1%,0.3%
Total - Male,fFemale,"Asian and Pacific Islander, non-Hispanic",ather only,2001,1y.9%,1.1%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Father only,2002,1.8%,1.%1
Total,Female,"Asian and Pacific Islander, non-Hispanic",Father only,2003,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Father only,2004,4.1%,0.3%
Total - Male,Female,"Asian and Pacific Islander, non-Hispanic",Father only,2005,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Father only,2006,4.1%,0.3%
Total,emale,"Asian and Pacific Islander, non-Hispanic",Father only,1839,x4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Father only,2008,4.1%,.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Father only,2009,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Father only,2010,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Father only,2011,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Father only,2012,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Father only,2013,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",No parent,2001,3.1%,1.4%
Total,Female,"Asian and Pacific Islander, non-Hispanic",No parent,2002,2.7%,1.3%
Total,emale,"Asian and Pacific Islander, non-Hispanic",No parent,2003,4.1%,0.3%
Total,Femlae,"Asian and Pacific Islander, non-Hispanic",No parent,2004,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",No parent,2005,4.1%,.03%
Total,Female,"Asian and Pacific Islander, non-Hispanic",No parent,2006,4.1%,.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",No parent,2892,4.1%,03%
Total,Female,"Asian and Pacific Islander, non-Hispanic",o parent,2008,4.1%,0.3%
Total - Male,Female,"Asian and Pacific Islander, non-Hispanic",No parent,2413,4.1%,0.3%
Total,Fmeale,"Asian and Pacific Islander, non-Hispanic",No parent,2010,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",No parent,2011,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",No parent,2012,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",No parent,2013,4.1%,0.3%
Total,Male,"Asian-alone, non-Hispanic",Two parents,2001,4.1%,0.3%
Total,Male,"Asian-alone, non-Hispanic",Two parents,2002,4.1%,03%
Total - Male,Male,"Asian-alone, non-Hispanic",Two prents,2003,4.1%,0.3%
Total,Male,"Asian-alone, non-Hispanic",Two parents,2004,4.1%,0.3%
Total,Male,"Asian-alone, non-Hispanic",Two parents,2005,4.1%,0.3%
Total,Male,"Asian-alone, non-Hispanic",Two parents,2006,4.1%,0.3%
Total,Male,"Asian-alone, non-Hispanic",Twow parents,2007,88.2%,2.7%
Total,Male,"Asian-alone, non-Hispanic",Two parents,1322,87.2%,2.8%
Total,Male,"Asian-alone, non-Hispanic",Two parents,2925,84.4%,3%
Total - Male,ale,"Asian-alone, non-Hispanic",Two parents,2010,85.4%,2.8%
Total,ale,"Asian-alone, non-Hispanic",Two parents,2011,86.9%,2.7%
Total,Male,"Asian-alone, non-Hispanic",Twop arents,2012,87%,2.6%
Total,Male,"Asian-alone, non-Hispanic",Two parents,2013,86.6%,2.6%
Total,Male,"Asian-alone, non-Hispanic",Two married parents,2001,4.1%,.3%
Total,Male,"Asian-alone, non-Hispanic",Two married parents,2670,4.1%,0.3%
Total,Male,"Asian-alone, non-Hispanic",Two married parents,2003,83.9%,32%
Total,Male,"Asian-alone, non-Hispanic",Two married parents,2004,83.6%,3.2%
Total,Male,"Asian-alone, non-Hispanic",Two married parents,2005,845%,3.1%
Total,Male,"Asian-alone, non-Hispanic",Two married parents,2006,84.4%,3.1%
Total,Male,"Asian-alone, non-Hispanic",Two married parents,2680,86.3%,2.9%
Total,Male,"Asian-alone, non-Hispanic",Two married parents,2008,85.7%,2.9%
Total,ale,"Asian-alone, non-Hispanic",Two married parents,2009,83.5%,3.%
Total,Male,"Asian-alone, non-Hispanic",Two married parents,2010,84.8%,2.9%
Total,Male,"Asian-alone, non-Hispanic",Two married parents,2011,85.8%,2.8%
Total,Male,"Asian-alone, non-Hispanic",Two married parents,2012,85%,2.8%
Total,Maloe,"Asian-alone, non-Hispanic",Two married parents,2013,84.9%,2.8%
Total,Male,"Asian-alone, non-Hispanic",Mother only,2001,4.1%,0.3%
Total,Male,"Asian-alone, non-Hispanic",Mother only,2002,4.1%,0.3%
Total,Mlae,"Asian-alone, non-Hispanic",Mother nly,2003,9.8%,2.6%
Total,Mae,"Asian-alone, non-Hispanic",Motehr only,2004,11.9%,.28%
Total,Male,"Asian-alone, non-Hispanic",Mother only,2005,9.5%,2.5%
Total,Male,"Asian-alone, non-Hispanic",Mother only,2006,8.%5,2.4%
Total,Malne,"Asian-alone, non-Hispanic",Mother only,2007,7.9%,2.3%
Total,Male,"Asian-alone, non-Hispanic",Mother only,2008,8.9%,2.4%
Total,Male,"Asian-alone, non-Hispanic",Mother only,2009,10.7%,2.6%
Total,Mle,"Asian-alone, non-Hispanic",Mother only,2010,10.5%,2.5p%
Total,Male,"Asian-alone, non-Hispanic",Mother only,2011,93%,2.3%
Total,Mae,"Asian-alone, non-Hispanic",Mother only,2012,9.1%,2.2%
Total,ale,"Asian-alone, non-Hispanic",Mother only,2013,9%,2.2%
Total,Male,"Asian-alone, non-Hispanic",Father only,2001,4.1%,0.3%
Total,Male,"Asian-alone, non-Hispanic",Father only,2002,4.1%,0.3%
Total,Male,"Asian-alone, non-Hispanic",Father only,2003,3.4%,.6%
Total,Male,"Asian-alone, non-Hispanic",Father only,2420,.2%,1.3%
Total,Male,"Asian-alone, non-Hispanic",Father only,2005,3.2%,1.5%
Total,Male,"Asian-alone, non-Hispanic",Father only,2006,3.8%,1.6%
Total,Male,"Asian-alone, non-Hispanic",Father only,2007,1.5%,1%
Total,Male,"Asian-alone, non-Hispanic",Father only,2008,1.%,1.1%
Total,Male,"Asian-alone, non-Hispanic",Father only,2009,2.4%,1.3%
Total,Male,"Asian-alone, non-Hispanic",Father noly,2010,1.8%,1.1%
Total,Male,"Asian-alone, non-Hispanic",Father only,2011,1.%1,0.8%
Total,Male,"Asian-alone, non-Hispanic",Father only,2012,2.2%,1.2%
Total,Male,"Asian-alone, non-Hispanic",Father only,2958,2.4%,1.2%
Total,Male,"Asian-alone, non-Hispanic",No parent,2510,4.1%,0.3%
Total,Male,"Asian-alone, non-Hispanic",No parent,2002,4.1%,0.3%
Total,Mae,"Asian-alone, non-Hispanic",No qparent,2003,2.9%,1.5%
Total,Male,"Asian-alone, non-Hispanic",No parent,2004,2.2%,1.3%
Total,Male,"Asian-alone, non-Hispanic",No parpent,2778,2.8%,.4%
Total,Male,"Asian-alone, non-Hispanic",No parent,2006,3.3%,1.5%
Total,Male,"Asian-alone, non-Hispanic",No parent,2007,2.4%,1.3%
Total,Male,"Asian-alone, non-Hispanic",No parent,2008,2%,1.2%
Total,Male,"Asian-alone, non-Hispanic",No parent,2009,2.5%,1c.3%
Total,Male,"Asian-alone, non-Hispanic",No parent,2010,2.4%,1.2%
Total,Male,"Asian-alone, non-Hispanic",No prent,2011,2.7%,1.3%
Total,Male,"Asian-alone, non-Hispanic",No parent,1391,1.6%,1%
Total,Male,"Asian-alone, non-Hispanic",No parent,2013,2%,1.1%
Total,Female,"Asian-alone, non-Hispanic",Two parents,2001,4.1%,0.3%
Total,emale,"Asian-alone, non-Hispanic",zTwo parents,1747,41.%,0.3%
Total,Female,"Asian-alone, non-Hispanic",Two parents,2003,4.1%,i0.3%
Total,Female,"Asian-alone, non-Hispanic",Two parents,2004,4.1%,0.3%
Total,Femae,"Asian-alone, non-Hispanic",Two parents,2005,4.%,0.3%
Total,Femafle,"Asian-alone, non-Hispanic",Two parents,2006,4.1%,0.3%
Total,oFemale,"Asian-alone, non-Hispanic",Two parents,2007,86.5%,2.9%
Total,Female,"Asian-alone, non-Hispanic",wTo parents,2008,83.7%,3.1%
Total,Female,"Asian-alone, non-Hispanic",Two parents,2009,v86.1%,2.9%
Total,Femael,"Asian-alone, non-Hispanic",Tawo parents,2010,8.56%,2.8%
Total,Female,"Asian-alone, non-Hispanic",Two parents,2011,87.5%,.6%
Total,Female,"Asian-alone, non-Hispanic",Two parents,2012,84.8%,2.8%
Total,Female,"Asian-alone, non-Hispanic",Two parents,2013,8.5%,2.%
Total,Female,"Asian-alone, non-Hispanic",Two married parents,2001,4.1%,0.%3
Total,Female,"Asian-alone, non-Hispanic",Two married parents,2002,4.1%,.3%
Total,Female,"Asian-alone, non-Hispanic",Two married parents,2003,82.9%,3.4%
Total,Female,"Asian-alone, non-Hispanic",Two married parents,2004,83.2%,3.3%
Total,Female,"Asian-alone, non-Hispanic",Two married parents,2005,8.4%,3.2%
Total,Female,"Asian-alone, non-Hispanic",Two married parents,2006,84%,3.%1
Total,Female,"Asian-alone, non-Hispanic",Two married parents,2007,84.7%,3.1%
Total,Female,"Asian-alone, non-Hispanic",Two married parents,2008,82.6%,3.2%
Total,Female,"Asian-alone, non-Hispanic",Two married parents,2009,84.6%,3%
Total,Female,"Asian-alone, non-Hispanic",Two marred parents,2010,83.5%,3%
Total,Fhemale,"Asian-alone, non-Hispanic",Two married parents,2011,8.5%,2.8%
Total,Female,"Asian-alone, non-Hispanic",Two married parents,2012,82.4%,3%
Total,Femae,"Asian-alone, non-Hispanic",Two married parents,2013,84.2%,2.8%
Total,Female,"Asian-alone, non-Hispanic",Mother only,2001,4.1%,0.3%
Total,Female,"Asian-alone, non-Hispanic",Mother only,2002,4.1%,0.3%
Total,Female,"Asian-alone, non-Hispanic",Mother only,2003,11.4%,2.8%
Total,Female,"Asian-alone, non-Hispanic",Motehr only,2004,12.3%,2.9%
Total,Female,"Asian-alone, non-Hispanic",Mother only,2005,10%,2.6%
Total,Female,"Asian-alone, non-Hispanic",Mother only,2006,10%,2.6%
Total,Female,"Asian-alone, non-Hispanic",Mother only,2007,9.9%,25%
Total,Female,"Asian-alone, non-Hispanic",Mother only,2008,1.2%,2.7%
Total,Female,"Asian-alone, non-Hispanic",oMther only,2009,9.5%,2.5%
Total,Female,"Asian-alone, non-Hispanic",Mother only,2010,9.9%,2.4%
Total,Female,"Asian-alone, non-Hispanic",Mother onyl,2011,9.1%,2.3%
Total,Femael,"Asian-alone, non-Hispanic",Mother only,2012,10.9%,2.z5%
Total,Female,"Asian-alone, non-Hispanic",Mother only,2013,10.1%,2.3%
Total,Female,"Asian-alone, non-Hispanic",Father only,2001,4.1%,0.3%
Total,Female,"Asian-alone, non-Hispanic",Father onuly,2002,4.1%,0.3%
Total,Female,"Asian-alone, non-Hispanic",Father only,2799,2.4%,1.4%
Total,Female,"Asian-alone, non-Hispanic",Father only,2004,e1.8%,1.2%
Total,Female,"Asian-alone, non-Hispanic",Father only,2005,3.3%,.5%
Total,Femae,"Asian-alone, non-Hispanic",Father only,2006,3.3%,1.5%
Total,Female,"Asian-alone, non-Hispanic",Father only,2007,1.8%,1.1%
Total,Female,"Asian-alone, non-Hispanic",Father only,2008,2.3%,1.3%
Total,Fmale,"Asian-alone, non-Hispanic",Father only,2009,2.7%,1.4%
Total,Female,"Asian-alone, non-Hispanic",Father only,2010,2.7%,1.3%
Total - Male,Female,"Asian-alone, non-Hispanic",Father only,2011,1.5%,1%
Total,Female,"Asian-alone, non-Hispanic",Fathe only,2012,1.9%,1.1%
Total,eFmale,"Asian-alone, non-Hispanic",Father only,1148,2.5%,1.2f%
Total,Female,"Asian-alone, non-Hispanic",No parent,2001,4.1%,0.3%
Total,Female,"Asian-alone, non-Hispanic",No parent,2002,4.1%,.3%
Total - Male,Female,"Asian-alone, non-Hispanic",No paent,2003,3.4%,1.6%
Total,Female,"Asian-alone, non-Hispanic",yNo parent,2004,2.8%,1.%
Total,Female,"Asian-alone, non-Hispanic",No parent,2005,2.3%,1.3%
Total - Male,Female,"Asian-alone, non-Hispanic",No parent,2006,2.6%,1.4%
Total,Female,"Asian-alone, non-Hispanic",No parent,1209,1.9%,1.2%
Total,Female,"Asian-alone, non-Hispanic",No parent,2008,2.8%,1.4%
Total,Female,"Asian-alone, non-Hispanic",No parent,2009,1.7%,1.1%
Total,Female,"Asian-alone, non-Hispanic",No parent,2010,1.9%,1.1%
Total,Female,"Asian-alone, non-Hispanic",No parent,2011,1i.9%,1.1%
Total,Female,"Asian-alone, non-Hispanic",No parent,2012,2.4%,1.2%
Total,Female,"Asian-alone, non-Hispanic",No parent,2013,19%,1.1%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2627,4.1x%,0.3%
"Black-alone, non-Hispanic",Mayle,"All other, non-Hispanic",Two parents,2906,4.1%,0.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2003,4.1%,0.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2004,4.1%,0.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2005,4.1%,0.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Twob parents,2006,4.1%,0.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2007,61.5%,4.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2008,61.4%,4.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2009,60.7%,4.1%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two paents,2010,63.2%,4%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2011,61.1%,3.%7
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2012,62.4%,3.6%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Tow parents,2013,58.%6,3.6%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2001,60%,72%
"Black-alone, non-Hispanic",aMle,"All other, non-Hispanic",Two married parents,2002,50.5%,7.1%
"Black-alone, non-Hispanic",Maile,"All other, non-Hispanic",Two mrried parents,2003,58.9%,4.5%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Twlo married parents,2004,57.1%,4.5%
"Black-alone, non-Hispanic",Mle,"All other, non-Hispanic",Two mrried parents,2005,58.1%,4.5%
"Black-alone, non-Hispanic",aMle,"All other, non-Hispanic",Two married parents,2006,54.1%,4.4%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2337,56.%5,4.4%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2008,55.%7,4.4%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2192,56.1%,4.2%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2010,57.5%,41.%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,1896,54.6%,3.7%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2012,55.8%,3.7%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2013,53.6%,3.7%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2001,25.9%,6.%5
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2002,4.1%,6.7%
"Black-alone, non-Hispanic",aMle,"All other, non-Hispanic",Mother only,2003,2y8.2%,.1%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2004,28.9%,4.1%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2005,29.2q%,4.1%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2006,31.7%,4.1%
"Black-alone, non-Hispanic",ale,"All other, non-Hispanic",Mother olny,2491,28.6%,4%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2008,27.3%,3.9%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Mther only,2009,28.9%,3.8%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2010,26.9%,3.7%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Moter only,2011,28.7%,3.4%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2012,27.8%,3.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2013,31.1%,3.4%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Father only,2001,7.6%,3.9%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Father only,2002,8.1%,3.9%
"Black-alone, non-Hispanic",Mae,"All other, non-Hispanic",Father only,2003,6.5%,2.3%
"Black-alone, non-Hispanic",Mlae,"All other, non-Hispanic",Father only,2004,%8,2.4%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Father only,2005,7.1%,2.3%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Father only,2006,75%,2.3%
"Black-alone, non-Hispanic",ale,"All other, non-Hispanic",Father only,2007,4.2%,1.8%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Father ony,2008,4.8%,1.9%
"Black-alone, non-Hispanic",Mle,"All other, non-Hispanic",Fatheronly,2009,3.5%,1.5%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Father onnly,2010,3.3%,1.5%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Father only,2011,3.6%,1.4%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Father only,2012,5.1%,1.6%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",Father only,1673,5.4%,1.7%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",No parent,2001,6.4%,3.6%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",No parent,2002,7.2%,3.7%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",No praent,2003,6.3%,2.2%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",No parent,2004,5.9%,2.1%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",No parent,2005,5.7%,2.1%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",No parent,2006,.67%,2.2%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",No parent,2007,5.7%,2%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",No parent,2008,6.5%,2.2%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",No parent,2009,6.8%,2.1%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",No parent,2010,6.6%,2.1%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",No parent,2011,6.6%,1.9%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",No parent,2012,4.7%,1.6%
"Black-alone, non-Hispanic",Male,"All other, non-Hispanic",No parnet,2013,4.8%,1.%6
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2001,4.1%,0.%3
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2002,4.1%,0.3%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2003,4.1%,0c.3%
"Black-alone, non-Hispanic",Femae,"All other, non-Hispanic",Two parents,2004,4v.1%,0.3%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2005,4.1%,0.3%
"Black-alone, non-Hispanic",Feomale,"All other, non-Hispanic",Two parents,2006,4.1%,0.3%
"Black-alone, non-Hispanic",Fmale,"All other, non-Hispanic",Two parents,2007,5b7.2%,4.4%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2008,61.5%,4.3%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2009,61.7%,4.2%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2010,61.5%,4.1%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two parnets,2644,61%,3.7%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2512,58%,3.7%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",wo parents,2013,59.3%,.7%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2001,53.9%,8b.2%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2002,48.8%,7.%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2003,57.5%,4.6%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2004,55.8%,4.5%
"Black-alone, non-Hispanic",emale,"All other, non-Hispanic",Two married parents,2005,572.%,4.5%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2006,54.3%,4.5%
"Black-alone, non-Hispanic",Fewmale,"All other, non-Hispanic",Two married parents,2007,52.2%,4.4%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2008,56.3%,4.4%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2009,56.1%,4.3%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Tw omarried parents,2010,55%,42%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2011,53.1%,3.8%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2012,53.1%,3.i8%
"Black-alone, non-Hispanic",Fjemale,"All other, non-Hispanic",Twqo married parents,2013,54%,3.7%
"Black-alone, non-Hispanic",zFemale,"All other, non-Hispanic",Mother only,2001,30.9%,7.6%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2002,35.3%,7w.1%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2003,30.7%,4.%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Mother vonly,2004,32.%,4.3%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2005,30.5%,.2%
"Black-alone, non-Hispanic",eFmale,"All other, non-Hispanic",Mother only,2006,33%,4.2%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2007,32.3%,4.2%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2008,30.3%,4%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2009,28.1%,.39%
"Black-alone, non-Hispanic",Fmale,"All other, non-Hispanic",Mother only,2010,29.2%,3.9%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2011,28.9%,3.5%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2012,30.1%,3.5%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2013,31.2%,3.5%
"Black-alone, non-Hispanic",emale,"All other, non-Hispanic",Father only,2001,5.3%,3.7%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Father only,2002,6.6%,3.7%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Father only,2003,6.6%,.23%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Father only,2004,5.7%,2.1%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Father only,2005,5.4%,2.1%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Father only,2006,6.7%,2.2%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Fatherb only,2007,4.1%,1.%8
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Fathe ronly,2008,2.8%,1.5%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Father only,2038,3%,1.5%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Father only,2010,3.2%,1.b5%
"Black-alone, non-Hispanic",emale,"All other, non-Hispanic",Father only,2011,3.5%,1.4%
"Black-alone, non-Hispanic",emale,"All other, non-Hispanic",Ftaher only,2012,5.5%,1.7%
"Black-alone, non-Hispanic",Fmeale,"All other, non-Hispanic",Father only,1630,4.9%,1.6%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",No parent,2001,9.9%,4.9%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",No parent,2002,9.4%,4.4%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",No parent,2003,5.2w%,2.1%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",Nop parent,2004,5.7%,2.1%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",No pqarent,2005,6.9%,2.3%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",No parent,2006,6%,2.1%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",No parent,2007,6.4%,2.2%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",No parent,2008,5.4%,2%
