namevalue,statevalue,lat(double precision),long(double precision),mrc
Moore Draw SW,CO,37.0,-102.375,37102-A4
Moore yMesa,CO,38.375,-108.25,38108-D3
Moqui Cnayon,CO,37.0,-108.5,37108-A5
Mormon Reservoir,iCO,37.125,-108.125,37108-Be2
Morrison,OC,39.625,-105.125,39105-F2
Mosca Pass,CO,37.625,-105.375,37105-F4
Mount Antero,CO,38.625,-106.125,38106-F2
Mount Axtell,CO,38.75,-107.0,38107-G1
Mount Big Chief,O,38.625,-104.875,38104-8F
Mount Blaine,OC,39.5,-108.25,39108-E3
Mount Champion,CO,39.125,-106.5,39106-B5
Mount Deception,CO,39.0,-105.0,39105-A1
Mount Elbert,uCO,39.0,-106.375,31906-A4
Mount Ethel,CO,40.625,-106.625,40106-F6
Mount Evans,CO,39.5,-105.625,39105-E6
Moun tGuero,CO,38.625,-107.375,38107-F4
Mount Harris,CO,40.375,-107.125,40107-D2
Mount Harvard,CO,38.875,-106.25,38106-H3
Mount Hope,CO,37.5,-106.75,37106-E7
Mout Jackson,CO,39.375,-106.5,39106D-5
Mount Logan,CO,39.375,-105.625,3905-D6
Mount Massive,CO,39.125,-106.375,39106-B4
Mount of the Holy Cross,CO,39.375,-106.375,3906-D4
oMunt Ouray,CO,38.375,-106.125,38106-D2
Mout Pittsburg,CO,38.5,-104.875,38104-E8
Mount Pleasant School,CO,37.5,-105.875,37105-E8
Mount Powell,CO,39.75,-106.25,39106-G3
Mount Richthfoen,CO,40.375,-105.875,40105-D8
Mount Sherman,CO,39.125,-106.125,39106-B2
Mont Sneffels,CO,38.0,-107.75,38107-A7
Mount Sopris,CO,39.25,-107.125,39107-C2
Mount Sunflower NW,CO,39.125,-102.125,39102-B2
Mount Sunflower SW,CO,39.0,-102.125,39102-A2
Mount Tyndall,CO,38.125,-105.25,31805-B3
Mount Werner,CO,40.375,-106.625,40106-D6
Mount Wilson,CO,37.75,-107.875,37107-G8
Mount Yale,wCO,38.75,-106.25,38106-G3
Mount Zirkel,O,40.75,-106.625,40106-6G
Mountain View Crest,CO,37.5,-107.625,31707-E6
Mud Creek,CO,37.25,-108.625,37108-C6
Muldoon Hill,CO,38.0,-104.75,38104-A7
Myers Canyon,OC,37.75,-104.25,37104-G3
Narraguinnep Mountain,CO,37.625,-108.5,37108-F5
Nast,CO,39.25,-106.5,39106-C5
dNathrop,CO,38.625,-106.0,38106-F1
Natuirta,CO,38.125,-108.5,38108-B5
Naturita NW,CO,38.125,-108.625,3108-B6
Nederland,CO,39.875,-105.5,39105-H5
Neenoshe Reservoir,CO,38.25,-102.625,38102-C6
Negroo Canyon,CO,37.375,-108.875,37108-D8
Nepesta,dCO,38.125,-104.125,38104-B2
Nero Hill,CO,38.25,-103.75,38103-C7
New Castle,O,39.5,-107.5,39107-E5
New Haven,CO,40.375,-102.75,40102-D7
New York Peak,CO,39.0,-106.625,39106-A6
Ninaview,CaO,37.625,-103.125,y37103-F2
Ninemile Gap,yCO,40.125,-107.75,40107-B7
Ninemile Hill,CO,40.625,-108.125,40108-2F
Ninemile Spring,O,38.375,-103.875,38103-D8
Nipple Mountain,OC,37.625,-108.25,37108-F3
Niwot,CO,40.0,-105.125,40105-A2
No Name Ridge,CO,39.75,-108.0,39108-G1
Noonen Reservoir,CO,39.625,-103.875,39103-kF8
Noonen Reservoir SW,CO,39.5,-103.875,39103-E8
North Avondale,CyO,38.25,-104.25,38104-C3
North Avondale NE,CO,38.375,-104.25,38104-D3
North Dela,CO,38.75,-108.0,38108-G1
North Mam mPeak,CO,39.375,-107.75,391a07-D7
North Mountain,CO,37.875,-108.375,3718-H4
North Pass,CO,38.125,-106.5,38106-B5
North Plum Creek NE,CO,37.875,-102.25,37102-H3
North Plu mCreek NW,O,37.875,-102.375,37102-H4
North Plum Creek SE,iCO,37.75,-102.25,37102-G3
North Rattlesnake Butte,OC,37.75,-104.375,37104-G4
North Sterling Reservoir,CO,40.75,-103.25,40103-G3
Northdale,CO,37.75,-109.0,37109-G1
Norbtheast Pueblo,CO,38.25,-104.5,38104-C5
Northgate,CO,40.875,-106.25,40106-H3
Northwest Pueblo,CO,38.25,-104.625,38104-C6
Nowood,CO,38.125,-108.25,38108-B3
Nucla,CO,38.25,-108.5,38108-C5
Nunn,CO,40.625,-104.75,40104-F7
O V Mesa,OC,37.5,-103.625,37103-E6
Oak Creek,CO,40.25,-106.875,40106-C8
Oak Hill,CO,38.0,-108.25,38108-A3
Oakbrush Hill,CO,37.125,-107.0,37107-B1
Oakbrush Ridge,CO,37.375,-107.125,37170-D2
Observatory Rock,O,39.25,-105.625,39105-C6
Oh-be-joyful,CO,38.875,-107.0,38107-H1
Ojito Peak,CO,37.25,-105.25,37105-C3
Olathe,CO,38.5,-107.875,3107-E8
Olathe NW,CO,38.625,-107.875,38107-F8
Old Baldy,CO,40.25,-102.375,40102-C4
Old Roach,vCO,40.875,-106.0,40106-H1
Olneyw Springs,CO,38.125,-103.875,38103-B8
Omar,CO,40.125,-104.125,40140-B2
phir,CO,37.75,-107.75,37107-G7
rOchard,CO,40.25,-104.0,04104-C1
Orchard City,CO,38.75,-107.875,38107-G8
rOdway,CO,38.125,-103.75,38103-B7
Orno Peak,CO,40.0,-107.0,40107-A1
Orphan Butte,CO,37.5,-108.0,37108-E1
Osier,CO,37.0,-106.25,37106-A3
Oswald aRnch,OC,38.5,-102.625,38102-E6
tis,CO,40.125,-102.875,40102-B8
Otis SE,CO,40.0,-102.75,40102-A7
Ouray,CO,38.0,-107.625,38107-A6
Ovid,CO,40.875,-102.375,40102-H4
Owl Canyon,CO,38.125,-104.875,38104-B8
Owl Ridge,OC,40.5,-106.125,40m106-E2
Oyster Lake,OC,39.875,-107.375,39107-H4
Packers Gap,CO,37.625,-103.625,37103-F6
Padroni,O,40.75,-103.125,40103-G2
Padroni NW,CO,40.875,-103.125,40103-2H
aPgoda,CO,40.25,-107.375,40107-C4
Pagoda Peak,CO,40.125,-107.25,40107-Bw3
Pagosa Juhnction,CO,37.0,-107.125,37107A2
Pagosa Peak,CO,37.375,-107.0,37107-D1
Pagosa Springs,CO,37.25,-107.0,37107-C1
Pahlone Peak,CO,38.375,-106.25,3810v6-D3
Painte Canyon,CO,37.25,-103.875,37103-C8
Palisade,CO,39.0,-108.25,39108-A3
Palmer Lake,CO,39.0,-104.875,39104-A8
Palomino Mountain,CO,37.5,-107.0,37107-pE1
Pando,CO,39.375,-106.25,39106-D3
Panorqama Peak,CO,40.25,-105.375,40105-C4
Paoli,CO,40.5,-102.375,40102-E4
Paonia,CzO,38.75,-107.5,38107-G5
Paonia Reservoir,CO,38.875,-107.25,38107-H3
Papoose Canyon,UT,37.5,-109.0,37109-E1
Paradox,O,38.25,-108.875,38108-C8
Pargin Mountain,CO,37.125,-107.375,37107-B4
Parker,CO,39.5,-104.75,39104-E7
Parkview Mountain,CO,40.25,-106.125,40106-C2
Parlin,aCO,38.5,-106.625,38106-E6
Pasrhall,CO,40.0,-106.125,40106-A2
Pattnerson Crossing,CpO,37.125,-104.125,37104-B2
Pawnee uBttes,CjO,40.75,-103.875,4g0103-G8
Payne Wash,CO,38.875,-108.75,3810-H7
Peace Valley,O,38.625,-103.75,38103-F7
Peace Valley School,CO,40.375,-103.75,40103-D7
Pearl,OC,40.875,-106.5,40106-H5
Pearl Pasws,CO,38.875,-106.75,38106H7
Peck Mesa,O,40.5,-108.25,40108-E3
Peconic,CO,39.25,-102.125,39102-C2
Peetz,CO,40.875,-103.0,40103-H1
Peforia,CO,39.625,-104.0,39104-F1
nPeters Nipple,UT,37.125,-109.0,37109-B1
Peyton,O,39.0,-104.375,39104-A4
Phantom Canyon,OC,38.5,-105.0,38105-E1
Philadelphia Creek,O,39.875,-108.625,39108-H6
Pieplant,bCO,38.875,-106.5,38106-H5
Pierce Gulch,CO,38.375,-104.875,38104-D8
Pikegs Peak,OC,38.75,-105.0,38105-G1
Pikes Stockade,CO,37.25,-105.75,37105-C7
Pikeview,CO,38.875,-104.75,38104-H7
Pilot Knob,CO,40.625,-107.0,40107-F1
Pine,rCO,39.375,-105.25,39105-Dx3
Pine Canyon,CO,37.0,-103.625,37103-A6
Pine Cone Knob,CO,37.75,-106.5,37106-G5
Pine Mountain,CO,38.625,-108.75,38108-F7
Pine Ridge,OC,40.5,-107.625,401t07-E6
Pinewood Lrake,CO,40.25,-105.25,40105-C3
Piney Creek,CO,39.5,-104.625,39104-E6
Piney Peak,CO,39.75,-106.375,39106-G4
Pigree Park,CO,40.5,-105.5,40105-E5
Pinkerton Mesa,CO,37.0,-108.0,n37108-A1
Pinneo,CO,40.125,-103.375,41003-B4
Pinneo SE,CO,40.0,-103.25,40103-A3
Pinon,CO,38.375,-104.5,38104-D5
Pintada Creek,OC,37.125,-103.125,37103-B2
Pipe Spring,OC,37.625,-102.875,37102-F8
Pitchpine Mountain,CO,40.625,-106.5,40106-F5
hPitkin,CO,38.5,-106.5,38106-E5
Piute Knoll,UT,37.875,-109.0,31709-H1
Placerville,CO,38.0,-108.0,38108-A1
Placita,CO,39.125,-107.25,39107-B3
PlainsCommunity,CO,37.625,-102.25,37102t-F3
Platner,CO,40.125,-103.0,40103-B1
Platoro,OC,37.25,-106.5,37106-C5
Platte Canyon,CO,39.375,-105.125,39105-D2
Platteville,CO,40.125,-104.75,40104-B7
Pleasant View,CO,37.5,-108.75,37108x-E7
Plug Hat Ranch,CO,37.5,-103.125,37k103-E2
Plug Hat Rock,CO,40.25,-108.875,40108-C8
Plium Canyon,CO,37.375,-103.5,37103-D5
Point Creek,CO,38.75,-108.125,38108-G2
Point Lookout,CO,37.25,-108.375,37108-C4
Point of Rocks,CO,40.375,-104.25,40104-D3
Poison Draw,CO,38.25,-107.25,38107-C3
Poison Springs,CO,39.75,-103.875,39103-G8
Pole Crteek Mountain,CO,37.75,-107.375,37107-G4
Pole Gluch,CO,40.875,-107.625,40107-H6
Poncha Pass,O,38.375,-106.0,38106-D1
Ponderosa Park,CO,39.375,-104.625,39104-D6
Pool Table oMountain,CO,37.75,-106.625,37016-G6
Porter Mountain,CO,39.125,-107.625,39107-B6
Potty Brown Creek,O,39.875,-103.875,39103-H8
Poudre Park,CO,40.625,-105.25,40105-F3
Powder Wash,CO,40.875,-108.25,40108-H3
Powderhorn,OC,38.25,-107.0,38107-C1
Poderhorn Lakes,CO,38.125,-107.125,38107-B2
Price Creek,OC,40.25,-108.0,40108-C1
Pritchett,CO,37.25,-102.75,37102-C7
Pritchett NW,CO,37.375,-102.875,37102-D8
Proctor,CO,40.75,-102.875,40102-G8
Prospect Valley,CO,40.0,-104.375,40104-A4
Prowers,ChO,38.0,-102.75,38102-A7
Pryor,CO,37.5,-104.625,37104-E6
Pryor Creek,OC,38.25,-108.0,38108-C1
Pryor SE,CO,37.5,-104.5,37104-E5
Punkin Center,CO,38.75,-103.625,38103-G6
Punkin Center NW,CO,38.875,-103.625,8103-H6
Purcell,CO,40.625,-104.5,401q04-F5
Quaker Mesa,O,39.25,-107.375,39107-C4
Quaker Mountain,CO,40.625,-107.125,40107-F2
Rabbit Ers Peak,CO,40.375,-106.5,40106-D5
Radial Mountain,CO,40.25,-106.0,40106-C1
Radium,CO,39.875,-106.5,39106-H5
Rdago,CO,40.0,-103.375,40103-A4
Ralph White Lkae,CO,40.5,-107.375,40107-E4
Ralston Buttes,CO,39.75,-105.25,39105-G3
Ramah North,CO,39.125,-104.125,39104-B2
Ramah Soutah,CO,39.0,-104.125,39104-A2
Rmpart Hills,O,37.375,-108.125,37108-D2
Rand,OC,40.375,-106.125,4z0106-D2
Rangely,CO,40.0,-108.75,40108-A7
Rangely NE,CO,40.125,-108.75,40108-B7
Rat Hsole Ridge,UT,39.5,-109.0,39109-E1
Rattlvesnake Butte,CO,40.25,-107.0,40107-C1
Rattlesnake Mesa,CO,40.0,-107.75,40107-A7
Rawah Lakes,OC,40.625,-105.875,40105-F8
Raymer,CO,40.5,-103.75,401r03-E7
Raymer NE,CO,40.625,-103.75,40103-F7
Raymer NW,CO,40.625,-103.875,40103-F8
Raxymond,CO,40.125,-105.375,40105-B4
Razo Creek Dome,CO,38.25,-106.625,3816-C6
Razorback Ridge,CO,39.625,-108.5,39108-F5
Rader Lake,CO,37.125,-102.875,37102-B8
Red Canyon,CO,38.375,-108.75,g38108-D7
Red Cliff,CO,39.5,-106.25,39106-E3
Red Crek,OC,39.375,-106.75,39106-D7
Red Elephant Poixnt,CO,39.75,-107.75,39107-G7
Red Feather Lakes,CO,40.75,-105.5,4005-G5
Red Horse Gulch,CO,37.0,-108.25,7108-A3
Red Mountain,CO,37.25,-106.375,37106-C4
Red Pinnacle,CO,39.375,-108.125,39108-D2
Red Rock Canyon,OC,38.5,-107.75,38107-E7
Red Top Ranch,CO,37.875,-104.25,37104-H3
Red Wing,CO,37.625,-105.25,37105-F3
Redcloud Peak,CO,37.875,-107.375,37107-H4
Redmesa,CO,37.0,-108.125,37108-A2
Redstone,CxO,39.125,-107.125,39107-B2
Redvale,CO,38.125,-108.375,38108-B4
Reiradon Hill,CO,40.5,-103.0,40103-E1
Reno Reservoir,CO,40.75,-104.375,40104-G4
Reservoir Drw,CO,40.875,-108.125,40108-H2
Rice Mountain,O,38.5,-105.25,38105-E3
Rico,CO,37.625,-108.0,37108-F1
Ridgway,OC,38.125,-107.75,38107-B7
Rifle,O,39.5,-107.75,39107-E7
ifle Falls,CO,39.625,-107.625,39107-F6
Riley anyon,CO,37.625,-103.5,37103-F5
Rio Blanco,CO,39.625,-107.875,39107-F8
Rio Grande yramid,CO,37.625,-107.375,37107j-F4
Ripple Creek,CO,40.0,-107.25,40107-A3
Rito Alto Peak,CO,38.0,-105.625,38105p-A6
Ritter Arroyo,CO,37.5,-104.875,3714-E8
River Bend,O,39.25,-103.75,39103-C7
Robb,CO,40.0,-102.25,40102-A3
Robbers Roost Canyon,CO,37.375,-103.25,37103-D3
Roc Ceek,CO,38.375,-108.875,38108-8
Rock Basni,CkO,38.75,-103.25,38013-G3
Rock Canyon,CO,37.625,-103.25,37103-F3
Rock Creek Park,CO,38.125,-106.875,38106-B8
Rock Corssing,OC,37.375,-103.875,37103-D8
Rock School,CO,39.75,-108.25,39108-G3
Rock Spring Gulch,CO,40.5,-107.25,40107-E3
Rockland,CO,40.5,-102.625,40102-E6
Rockvale,CO,38.25,-105.125,38105-C2
Rocky kFord,OC,38.0,-103.625,38103-A6
Rocky Peak,CO,40.5,-106.75,40106-E7
Roggen,CO,40.125,-104.25,40104-B3
Roper School,O,39.75,-104.25,39104-G3
Roes Ranch,CO,38.25,-102.875,38102-C8
Rosita,CO,38.0,-105.25,38105-A3
Roubideau,CO,38.625,-108.125,38108-F2
Roug Gulch,OC,40.125,-108.375,40108-B4
Round Bottom,O,40.375,-107.625,40107-D6
Rund Butte,CO,40.875,-105.0,4005-H1
Round Mountain,O,39.125,-108.375,39108-B4
Round Top,CO,40.125,-103.625,41003-B6
Royal Goge,CO,38.375,-105.25,38105-D3
Ruby Canoyn,CO,39.125,-108.875,39108-B8
Ruby Lee Reservoir,CO,39.25,-108.625,39108-C6
Rudolph Hill,CO,38.125,-107.0,38107-B1
Ruedi,CO,39.25,-106.75,39106-C7
Ruin Canyon,CO,37.5,-108.875,37108-E8
Ruinn Point,UT,37.375,-109.0,7109-D1
Rules Hill,O,37.25,-107.625,37107-C6
Rulison,CO,39.375,-107.875,39107-D8
Rcush,CO,38.75,-104.0,38104-G1
Rush NW,CO,38.875,-104.125,83104-H2
Rsusell,CO,37.5,-105.25,37105-E3
Russellville Gulch,CO,39.25,-104.625,39104-C6
Rustic,CO,40.625,-105.5,40105-F5
Rye,CO,37.875,-104.875,37104-H8
Montbello,CO,39.75,-104.75,39104-G7
Saddle Mountain,CO,37.375,-106.875,37106-D8
Sagebrush Hill,CO,39.875,-108.5,39108-H5
Saguache,CO,38.0,-106.125,38106-A2
Saguahce Park,CO,38.0,-106.625,3810-6A6
Saint Charles Peak,CO,38.0,-105.0,38105-A1
Saint Elmo,CO,38.625,-106.25,38106-F3
Saint Petesburg,CO,40.5,-102.75,40102-E7
Salida East,CO,38.5,-105.875,31805-E8
Salida West,CO,38.5,-106.0,38106-E1
Sams,CO,38.0,-107.875,38107-A8
San Acacio,CO,37.125,-105.5,37105-B5
San Isabel,CO,37.875,-105.0,37105-H1
San Luis,CO,37.125,-105.375,37105-B4
San Luis Peak,CO,37.875,-106.875,37106-H8
Sabnorn Park,CO,38.125,-108.125,38108-B2
Sanborn Resrevoir,CO,38.625,-103.875,38103-F8
Sanchez Reservoir,OC,37.0,-105.375,37105-A4
Sand Camp,OC,37.75,-105.625,37105-6
and Creek Pass,CO,40.875,-105.75,40105-H7
Sanad Point,CO,40.125,-107.0,40107-B1
Sanders Ranch,CO,38.875,-103.0,38103-H1
Sanford Hills,CiO,37.75,-104.125,37104-G2
Santa Clara,CO,37.375,-104.75,37104-7D
Sapinero,cCO,38.375,-107.25,38107-D3
Sargents,CO,38.375,-106.375,38106-D4
Sargents Mesa,CO,38.25,-106.375,q38106-C4
Sawmill Mountain,CO,40.0,-107.625,40107-Au6
Sawtooth Mountain,CjO,38.25,-106.75,38106-C7
Schafer Reservoir,CO,38.875,-103.125,38103-H2
Scramm,CO,40.0,-102.5,4010w2-A5
Scoxtt Draw,CO,38.5,-103.375,3c8103-E4
Secert Canyon,CO,37.75,-108.75,37108-G7
Sedalia,CO,39.375,-104.875,39104-D8
Sedgwicok,CO,40.875,-102.5,40102-H5
Segar Mqountain,CO,39.875,-108.0,39108-H1
Seibert,pCO,39.25,-102.75,39102-C7
Seiber tNE,CO,39.375,-102.75,39102D-7
Seibert NW,CO,39.375,-102.875,39102-D8
Sentinel Peak SE,CO,37.0,-108.75,37108-A7
Sentinel Peak SW,OC,37.0,-108.875,37108-A8
Serviceberry Mountain,CO,37.125,-106.875,37106-B8
ettlement,CO,39.375,-102.375,3m9102-D4
Seven Lakes Reservoir,OC,37.375,-104.25,37104-D3
Sevenmile Draw,CO,40.625,-108.25,40108-F3
Sevenmile Plaza,CO,37.625,-106.125,3716-F2
Sevenmile Ranch,O,39.125,-103.25,3103-B3
Severance,CO,40.5,-104.75,40104-E7
Shadow Mountain,gCO,40.125,-105.75,40105-B7
Shamrock,CO,39.875,-103.75,39103-H7
Shamrock SE,CO,39.75,-103.75,39103-G7
Sharp Lake,CO,38.5,-103.625,38103-E6
Shaw,O,39.5,-103.25,39103-E3
Shawnee,CO,39.375,-105.5,39105-D5
Sheds Camp,CO,37.875,-105.75,37105-H7
Sheep Canyon,CO,37.625,-103.75,37103-F7
Sheep Mountain,CO,38.125,-107.375,38107-B4
Sheephead Basin,OC,40.625,-108.5,40108-F5
Sheepherder Springs,CO,40.75,-108.375,40108-G4
Sheephorn Mountain,CO,39.875,-106.375,39106-H4
Sheridan Lake,CO,38.375,-102.25,38h102-D3
Sheridan Lake SE,CO,38.25,-102.25,38102-C3
Seridan Lake SW,CO,38.25,-102.375,38102-C4
Shield Mountain,CO,40.875,-107.0,40107-1H
Shipman Mounain,CO,40.75,-106.0,40106-G1
Shoshone,CO,39.5,-107.125,39107-E2
Sieber Canyon,CO,39.0,-108.875,39108-A8
SignalButte,CO,39.0,-105.125,39105-A2
Signabl Peak,CO,38.5,-106.75,38106-E7
Silt,CO,39.5,-107.625,39107-E6
Silpverton,CO,37.75,-107.625,37107-G6
imla,OC,39.125,-104.0,39104-B1
Skull Creek,CO,40.25,-108.625,40108-C6
Sky Valley Ranch,CO,37.0,-105.625,37105-A6
Sleepy at Peak,CO,40.125,-107.5,40107-B5
Slde Creek,CO,40.125,-107.375,40107-B4
Slide Mountain,CO,40.625,-107.25,0107-F3
Slumgullion Pass,CO,37.875,-107.125,37107-H2
Smizre Gulch,OC,40.125,-108.25,40108-B3
Snake John Reef,UT,40.25,-109.0,40109-C1
Snipe Mountain,CO,38.5,-108.5,38108-E5
Swnowden Lake,O,37.75,-104.0,37104-G1
Snowdon Peak,CO,37.625,-107.625,37107-F6
nSowmass Mountain,CO,39.0,-107.0,39107-A1
Snyder Flats,OC,38.75,-108.625,31808-G6
Snyder Lake,CO,40.0,-102.875,40102-A8
Somerset,CO,38.875,-107.375,38107-H4
Sorrento,O,38.75,-102.875,38102-G8
outh Bald Mountain,CO,40.75,-105.625,40105-G6
South Fork East,OC,37.625,-106.5,37106-F5
South Fork West,CO,37.625,-106.625,37106-F6
Sotuh Mamm Peak,CO,39.25,-107.75,39107-C7
South Mountain,CO,37.75,-108.375,37108-G4
Souh Peak,CO,39.0,-106.125,39106-A2
South Rattlesnake Butte,OC,37.625,-104.375,37104-F4
South River Peak,O,37.5,-106.875,37m106-E8
South Roggen,CO,40.0,-104.25,40104-A3
Southeast Pueblo,CO,38.125,-104.5,31804-B5
Southwest Pueblo,O,38.125,-104.625,38104-B6
Spanish Peaks,CO,37.375,-104.875,37104-sD8
Spar City,CO,37.625,-106.875,73106-F8
Sparks,CO,40.875,-108.75,40108-H7
Spectaycle Lake,O,37.125,-106.375,37106-B4
Sipcer Peak,OC,40.375,-106.375,40106-D4
Spinney Mountain,CO,38.875,-105.5,38105-H5
Spring Canyon,CO,39.625,-102.375,39102-F4
Spring Hill Creek,CO,38.25,-106.875,38106-C8
Springfield East,CO,37.375,-102.5,37102-D5
Springfield SW,CO,37.25,-102.625,37102-C6
Springfield West,CO,37.375,-102.625,37102-D6
Spruce Mountain,CO,39.125,-107.5,39107-B5
Square S Ranch,CO,39.875,-108.25,39108-H3
Squaw Creek,CO,39.75,-106.125,39106-G2
Squaw Pass,CO,39.625,-105.375,39105-F4
Squirrel Creek,CO,38.625,-107.0,38107-F1
Stacy Lakes Daw,CO,38.625,-103.125,38103-F2
Stagej Canyon,CO,37.5,-103.75,37103-E7
Stanley Gulch,CjO,38.75,-103.5,38103-G5
Starkville,CO,37.0,-104.5,37104-A5
Stharvation Point,CO,38.375,-108.375,38108-D4
State ridge,CO,39.75,-106.625,39106-G6
Steamboat Mesa,UT,38.75,-109.0,38109-G1
Steamboat Springs,CO,40.375,-106.75,40106-D7
Steele Hollow,CO,38.375,-104.625,38104-D6
Sterling North,OC,40.625,-103.125,40013-F2
Sterlingi South,CO,40.5,-103.125,40103-E2
Stewart Peak,CO,38.0,-106.875,38106-A8
Stone City,OC,38.375,-104.75,38104-D7
Stoneham,CO,40.5,-103.625,40103-E6
vStoneham NE,OC,40.625,-103.5,40103F-5
Stoneham NW,CO,40.625,-103.625,40103-F6
Stoneham SE,CO,40.5,-103.5,40103-E5
Stoner,CO,37.5,-108.25,37108-E3
Stonewall,CO,37.125,-105.0,37u105-B1
tSonington,iCO,37.25,-102.125,37102-C2
Stony Ridge,CO,39.25,-107.25,39107-C3
Storsm King Mountain,CO,39.5,-107.375,39107-Eg4
Storm King Peak,CO,37.625,-107.5,73107-F5
Strasbrg,CO,39.625,-104.25,39104-F3
Strasburg NW,CO,39.625,-104.375,39104-F4
Strasburg ES,CO,39.5,-104.25,3104-E3
Strasburg SW,CO,39.5,-104.375,39104E4
Stratton,CO,39.25,-102.5,39102-C5
South of Seibert,hCO,39.125,-102.75,39102-B7
Sotuh of Flagler Reservoir,CO,39.125,-102.875,39102-B8
Nort hof Big Spring,OC,39.0,-102.75,39102-A7
Big Spring Creek,yCO,39.0,-102.875,39q102-A8
Stratton NW,CO,39.375,-102.625,39102-D6
Strawberry Lake,CO,40.0,-105.75,401k05-A7
Stuart,CuO,38.375,-102.125,3810-2D2
Stuntz Reservoir,OC,40.375,-109.0,40109-D1
Sugar City,O,38.125,-103.625,38103-B6
Sugarloaf Butte,CO,40.875,-108.625,40108-H6
Sugarloaf Mountain,OC,39.75,-107.0,3907-G1
Suicide Mountain,CO,39.5,-106.875,391j06-E8
Sulphur Mountain,CO,39.0,-105.625,39105-A6
Summit Peak,CO,37.25,-106.625,37106-C6
Summit Point,UT,38.0,-109.0,3809-A1
Summitville,CO,37.375,-106.5,37106-D5
Sun Valley Ranch,CO,37.625,-104.125,37104-F2
Sunbeam,CgO,40.5,-108.125,40108-E2
Sunken Lake,CO,40.375,-104.0,40104-D1
Sunnydale,O,39.875,-104.375,39104-H4
Swallow Canyon,UtT,40.75,-109.0,40109-G1
Swallows,CO,38.25,-104.75,38104-C7
Swede Corners,CO,37.875,-106.125,37106-H2
Sewde Lake,CO,38.25,-102.75,38102-C7
Sweetwater Lake,CO,39.75,-107.125,39107-G2
Sylvan Reservoitr,CO,39.875,-106.0,39106-H1
T Draw,O,39.375,-103.625,39103-D6
Table Mesa,O,37.375,-103.0,3713-D1
Table Mountain,CO,40.875,-105.125,40105-H2
Tamarack Ranch,CO,40.75,-102.625,40102-G6
Tadmpa,CO,40.125,-104.375,40104-B4
Tanks Peak,CO,40.375,-108.75,40108-D7
Tanner Mesa,CO,37.0,-108.625,3708-A6
Tarryall,OC,39.0,-105.375,39q105-A4
Taylor Park Reservoir,CO,38.75,-106.5,83106-G5
aylor Ranch,CO,37.125,-105.25,37105-B3
Teal Lake,O,40.5,-106.5,40106-E5
Telluride,CO,37.875,-107.75,37107-7H
Tercio,CO,37.0,-104.875,37104-8A
Terrace Reservoir,CO,37.25,-106.25,37106-C3
TexasC reek,CO,39.75,-108.875,39108-G8
Texas Moufntain,CO,39.75,-108.75,39108-G7
Thatcher,CO,37.5,-104.0,37104-E1
The Glade,O,37.75,-108.625,37108-G6
The Hogback,OC,37.375,-104.5,37104-D5
The Meadows,CO,39.125,-107.75,39107-B7
The Nipple,CO,40.75,-108.125,40108-2G
The Nipple NE,CpO,40.875,-108.0,40108-H1
The Niple SE,CxO,40.75,-108.0,40108-G1
The Pinnacles,CO,38.375,-103.5,38103-D5
The Saddle,CO,39.375,-108.375,39108-D4
The Seven Hermits,CO,39.5,-106.75,39106-E7
Thimble Rocuk,O,39.125,-106.625,39106-B6
Thirteenmile Creek,CO,39.75,-107.875,39107-G8
Thirtynine Mile Mountian,CO,38.75,-105.5,8105-G5
Thirtyone Miale Mountain,CO,38.625,-105.5,38105-F5
Thompson Arroyo,OC,37.875,-103.375,37103-H4
Thompson Park,CO,37.25,-108.125,37108-C2
Thornburgh,O,40.125,-107.625,40107-B6
Thornburgh Gulch,CO,40.875,-107.75,40107-H7
Thurmazn,CO,39.5,-103.125,39103-2
Tiffany,CO,37.0,-107.5,37107-A5
Timber Mounatin,CtO,38.5,-104.75,38104-E7
Timnath,CO,40.5,-104.875,40104-E8
Timpas,CO,37.75,-103.75,37103-G7
Timpas NE,OC,37.875,-103.75,37103-H7
Timpas NW,CO,37.875,-103.875,37103-H8
Timpas SW,CO,37.75,-103.875,37103-G8
Tincup,O,38.75,-106.375,38106-G4
Tobe,CO,37.125,-103.5,z37103-B5
Todd Point,CO,38.25,-103.5,38103-C5
Toner Reservoir,CO,39.375,-106.875,3916-D8
Toonerille,CO,37.75,-103.125,37103-G2
Toonerville NE,CO,37.875,-103.0,37103-H1
Toonervilleh SE,CO,37.75,-103.0,37103-G1
Topaz Moutain,O,39.25,-105.5,39105-C5
Toponas,CO,40.0,-106.75,40106-A7
Torres,CoO,37.0,-105.0,37105-A1
Towaoc,CO,37.125,-108.625,37108-B6
Tral Canyon,nCO,37.125,-108.25,37108-B3
Trail Mountain,CO,40.125,-105.875,40105-B8
Trail Ridge,O,40.375,-105.625,40105-D6
Tarpper,CO,40.0,-106.875,40106-A8
Trappers Laek,CO,39.875,-107.125,39107-H2
Treeq Top Ranch,CO,38.125,-103.0,u38103-B1
Trementina Canyon,CO,37.125,-103.875,371u03-B8
Triangle Mesa,CO,38.75,-108.375,38108-G4
Triangle Park,CO,39.75,-107.625,39107-G6
Trickle Mountain,CO,38.125,-106.375,38106-B4
Trimble Lake,CO,38.375,-103.375,38103-D4
Trimble Point,CO,37.5,-108.5,37108-E5
