AGENCY NO,STATE AGENCY,PROPERTY CLASSIFICATION,TYPE OF PROPERTY,NAME OF BUILDING,PHYSICAL ADDRESS,CITY,COUNTY,YEAR PROPERTY ACQUIRED,PURPOSE - BUILDING,SECTION,TOWNSHIP,RANGE,LEGAL DESCRIPTION,SQUARE FEET OF STRUCTURE (NUMBER ONLY),ACRES ASSOCIATED WITH A STRUCTURE (NUMBER ONLY),ADDITIONAL DESCRIPTION OF SIZE/SPACE (TEXT AND NUMBER),LIST VALUE,ADDITIONAL DESCRIPTION OF LIST VALUE,% OF PROPERTY BEING UTILIZED,YEAR BUILT,OCCUPANCY RATE OF THE BUILDING,ADDITIONAL DESCRIPTION OF OCCUPANCY RATE,STATE EMPLOYEES AT THIS LOCATION (FTE) NUMBER ONLY,ADDITIONAL DESCRIPTION OF FTE,% OCCUPIED BY THE STATE,ADDITIONAL DESCRIPTION OF % OCCUPIED BY STATE,% OF THE BUILDING BEING LEASED OR SUBLEASED,ADDITIONAL DESCRIPTION % BUILDING LEASED OR SUBLEASED,"USAGE BY STATE: DAILY, WEEKLY, MONTHLY - BUILDING",ACRES,ACRES USED BY STATE,ADDITIONAL DESCRIPTION OF ACRES (TEXT AND NUMBER),PURPOSE - LAND,"USAGE BY STATE: DAILY, WEEKLY, MONTHLY - LAND",% OF ACRES OF THE LAND BEING LEASED OR SUBLEASED,ADDITIONAL DESCRIPTION % LAND LEASED OR SUBLEASED,VACANT SQUARE FOOTAGE,LISTED ON THE NATIONAL REGISTER OF HISTORIC PLACES,LISTED WITH THE NATIONAL TRUST FOR  HISTORIC PRESERVATION,PROPERTY IS OF POTENTIAL HISTORIC SIGNIFICANCE,RISK MGMT #,AGENCY INVENTORY ID,ESTIMATED VALUE
105,OCIA,OWNED,,,323 N 13TH STREET,KINGFISHER,KINGFISHER,2013,VACANT LAND,15,16N,7WIM,,,,,"$180,000.00",PURCHASE PRICE,0,,,,,,0,,,,,,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,203 S 13TH STREET,KINGFISHER,KINGFISHER,2013,VACANT LAND,15,16N,7WIM,,,,,"$89,600.00",PURCHASE PRICE,0,,,,,,0,,,,,,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,423 W. SHERIDAN,KINGFISHER,KINGFISHER,2013,VACANT LAND,15,16N,7WIM,,,,,"$53,000.00",PURCHASE PRICE,0,,,,,,0,,,,,,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,519 W BROADWAY AVENUE,KINGFISHER,KINGFISHER,2013,VACANT LAND,15,16N,7WIM,,,,,"$72,100.00",PURCHASE PRICE,0,,,,,,0,,,,,,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,320 C. AVENUE,KINGFISHER,KINGFISHER,2013,VACANT LAND,15,16N,7WIM,,,,,"$33,100.00",PURCHASE PRICE,0,,,,,,0,,,,,,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,202 S. 10TH STREET,KINGFISHER,KINGFISHER,2013,VACANT LAND,15,16N,7WIM,,,,,"$37,700.00",PURCHASE PRICE,0,,,,,,0,,,,,,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,524 W BROADWAY,KINGFISHER,KINGFISHER,2013,VACANT LAND,15,16N,7WIM,,,,,"$80,475.00",PURCHASE PRICE,0,,,,,,0,,,,,,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,502 N MAIN,KINGFISHER,KINGFISHER,2013,VACANT LAND,15,16N,7WIM,,,,,"$82,000.00",PURCHASE PRICE,0,,,,,,0,,,,,,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,416 N MAIN,KINGFISHER,KINGFISHER,2013,VACANT LAND,15,16N,7WIM,,,,,"$217,300.00",PURCHASE PRICE,0,,,,,,0,,,,,,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,402 W. BROADWAY,KINGFISHER,KINGFISHER,2013,VACANT LAND,15,16N,7WIM,,,,,"$28,130.00",PURCHASE PRICE,0,,,,,,0,,,,,,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,124 N 9TH STREET,KINGFISHER,KINGFISHER,2013,VACANT LAND,15,16N,7WIM,,,,,"$69,950.00",PURCHASE PRICE,0,,,,,,0,,,,,,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,421 N 9TH STREET,KINGFISHER,KINGFISHER,2013,VACANT LAND,15,16N,7WIM,,,,,"$85,000.00",PURCHASE PRICE,0,,,,,,0,,,,,,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,202 W ROBERTS AVENUE,KINGFISHER,KINGFISHER,2013,VACANT LAND,15,16N,7WIM,,,,,"$158,000.00",PURCHASE PRICE,0,,,,,,0,,,,,,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,217 S 11TH STREET,KINGFISHER,KINGFISHER,2013,VACANT LAND,15,16N,7WIM,,,,,"$167,300.00",PURCHASE PRICE,0,,,,,,0,,,,,,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,114 S 11TH STREET,KINGFISHER,KINGFISHER,2013,VACANT LAND,15,16N,7WIM,,,,,"$40,800.00",PURCHASE PRICE,0,,,,,,0,,,,,,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,706 W DON BLANDING AVENUE,KINGFISHER,KINGFISHER,2013,VACANT LAND,15,16N,7WIM,,,,,"$146,200.00",PURCHASE PRICE,0,,,,,,0,,,,,,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,603 N 6TH STREET,KINGFISHER,KINGFISHER,2013,VACANT LAND,15,16N,7WIM,,,,,"$51,000.00",PURCHASE PRICE,0,,,,,,0,,,,,,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,424 N 7TH STREET,KINGFISHER,KINGFISHER,2013,VACANT LAND,15,16N,7WIM,,,,,"$205,900.00",PURCHASE PRICE,0,,,,,,0,,,,,,,,LAND,,,,,,,,,,0
105,OCIA,OWNED,,,619 N. MAIN STREET,KINGFISHER,KINGFISHER,2013,VACANT LAND,15,16N,7WIM,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2013-004689,0
105,OCIA,OWNED,,,320 EAST C AVENUE,KINGFISHER,KINGFISHER,2013,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2013-002171,0
105,OCIA,OWNED,,,600 N 5TH STREET,KINGFISHER,KINGFISHER,2013,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2013-001542,0
105,OCIA,OWNED,,,603 N 6TH STREET,KINGFISHER,KINGFISHER,2014,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2014-001340,0
105,OCIA,OWNED,,,114 EAST SYKES,KINGFISHER,KINGFISHER,2013,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2013-001825,0
105,OCIA,OWNED,,,505 N MAIN STREET,KINGFISHER,KINGFISHER,2013,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2013-008115,0
105,OCIA,OWNED,,,124 9TH STREET,KINGFISHER,KINGFISHER,2013,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2013-004852,0
105,OCIA,OWNED,,,418 N. MAIN STREET,KINGFISHER,KINGFISHER,2013,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2013-004877,0
105,OCIA,OWNED,,,420 N. MAIN STREET,KINGFISHER,KINGFISHER,2013,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2013-004879,0
105,OCIA,OWNED,,,510 N. MAIN STREET,KINGFISHER,KINGFISHER,2013,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2013-007912,0
105,OCIA,OWNED,,,202 W. ROBERTS AVE,KINGFISHER,KINGFISHER,2013,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2013-006759,0
105,OCIA,OWNED,,,320 W. ROBBERTS AVE.,KINGFISHER,KINGFISHER,2013,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2013-006763,0
105,OCIA,OWNED,,,421 N. 9TH STREET,KINGFISHER,KINGFISHER,2014,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2014-000708,0
105,OCIA,OWNED,,,323 N. 13TH STREET,KINGFISHER,KINGFISHER,2013,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2013-006757,0
105,OCIA,OWNED,,,201 & 223 N. 13TH STREET,KINGFISHER,KINGFISHER,2014,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2014-000693,0
105,OCIA,OWNED,,,114 S. 11TH STREET,KINGFISHER,KINGFISHER,2014,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2014-000706,0
105,OCIA,OWNED,,,511 & 517 W. BROADWAY AVE,KINGFISHER,KINGFISHER,2013,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2013-008112,0
105,OCIA,OWNED,,,519 W. BROADWAY AVE,KINGFISHER,KINGFISHER,2013,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2013-006761,0
105,OCIA,OWNED,,,402 (AKA 422) W BROADWAY AVE,KINGFISHER,KINGFISHER,2013,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2014-106356,0
105,OCIA,OWNED,,,518 W. BROADWAY AVE.,KINGFISHER,KINGFISHER,2014,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2014-000710,0
105,OCIA,OWNED,,,524 W. BROADWAY,KINGFISHER,KINGFISHER,2013,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2013-004498,0
105,OCIA,OWNED,,,202 N. 10TH STREET,KINGFISHER,KINGFISHER,2013,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2013-007910,0
105,OCIA,OWNED,,,305 N. 12TH STREET,KINGFISHER,KINGFISHER,2013,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2013-001533,0
105,OCIA,OWNED,,,203 S. 13TH STREET,KINGFISHER,KINGFISHER,2013,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2013-007916,0
105,OCIA,OWNED,,,706 W. DON BLANDING AVE,KINGFISHER,KINGFISHER,2014,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2014-001097,0
105,OCIA,OWNED,,,217 S. 11TH STREET,KINGFISHER,KINGFISHER,2014,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2014-000704,0
105,OCIA,OWNED,,,423 W. SHERIDAN AVE.,KINGFISHER,KINGFISHER,2013,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2013-007914,0
105,OCIA,OWNED,,,202 S. 10TH STREET,KINGFISHER,KINGFISHER,2014,VACANT LAND,,,,,,,,,,0,,,,,,0,,,,,,,,LAND,,,,,,,,,I-2014-001094,0
011,OSU-AGRICULTURE RESEARCH STATION,OWNED,SERVICES/SUPPORT BLDG,LINDLEY RESEARCH - PUMP HOUSE AT SHOP,,VALIANT,MCCURTAIN,2014,SERVICES--UTILITIES,,7S,21E,,,,,,,0,,,,,,0,,,,DAILY,,,,,,,,,,,,,2351,0
011,OSU-AGRICULTURE RESEARCH STATION,OWNED,STORAGE BLDG,LINDLEY RESEARCH - STORAGE SHED,,VALIANT,MCCURTAIN,2014,ACADEMIC--STORAGE,,7S,21E,,,,,,,0,,,,,,0,,,,DAILY,,,,,,,,,,,,,2353,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,BUILDING,BUILDING 304,2ND STREET,BURNS FLAT,WASHITA,2006,MANUFACTURING PLANT,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,346-14053,,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,LAND,,GRASSY AREA SOUTH OF BUILDING 809 ACROSS RAILROAD TRACKS,BURNS FLAT,WASHITA,2006,PARKING LOT,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,BUILDING,BUILDING 291,2ND STREET,BURNS FLAT,WASHITA,2006,VACANT,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,SHOP BUILDING,BUILDING 327,2ND STREET,BURNS FLAT,WASHITA,2006,"GARAGE, SHOP",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,BUILDING,BUILDING 405,2ND STREET,BURNS FLAT,WASHITA,2006,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,346-14049,,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,BUILDING,BUILDING 720,2ND STREET,BURNS FLAT,WASHITA,2006,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,WAREHOUSE,BUILDING 800,2ND STREET,BURNS FLAT,WASHITA,2006,WAREHOUSE,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,OFFICE BUILDING,BUILDING 240,2ND STREET,BURNS FLAT,WASHITA,2006,OFFICE BUILDING,,,,,11741,,,,,0,1955,,,,,,,,,,,,,,,,,,,,,,,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,WAREHOUSE,BUILDING 804,AVENUE A,BURNS FLAT,WASHITA,2006,WAREHOUSE,,,,,"12,175",,,,,0,,,,,,,,,,,,,,,,,,,,,,346-14046,,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,WAREHOUSE,BUILDING 803,AVENUE A,BURNS FLAT,WASHITA,2006,WAREHOUSE,,,,,"12,175",,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,WAREHOUSE,BUILDING 807,AVENUE A,BURNS FLAT,WASHITA,2006,WAREHOUSE,,,,,12175,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,WAREHOUSE,BUILDING 808,AVENUE A,BURNS FLAT,WASHITA,2006,WAREHOUSE,,,,,12175,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,BUILDING,BUILDING 263,2ND STREET,BURNS FLAT,WASHITA,2006,,,,,,17087,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,HANGAR,HANGAR 117,2ND STREET,BURNS FLAT,WASHITA,2006,,,,,,17750,,,,,0,1955,,,,,,,,,,,,,,,,,,,,,346-14040,,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,HANGAR,BUILDING 231/ HANGAR 231,2ND STREET,BURNS FLAT,WASHITA,2006,HANGAR,,,,,20537,,,,,0,1955,,,,,,,,,,,,,,,,,,,,,346-14041,,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,HANGAR,BUILDING 234,2ND STREET,BURNS FLAT,WASHITA,2006,HANGAR,,,,,20570,,,,,0,1955,,,,,,,,,,,,,,,,,,,,,346-14044,,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,HANGAR,BUILDING 232,2ND STREET,BURNS FLAT,WASHITA,2006,AIRCRAFT STORAGE,,,,,20570,,,,,0,1955,,,,,,,,,,,,,,,,,,,,,346-14042,,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,BUILDING,BUILDING 292,2ND STREET,BURNS FLAT,WASHITA,2006,VACANT,,,,,2100,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,OFFICE BUILDING,BUILIDNG 302,2ND STREET,BURNS FLAT,WASHITA,2006,OFFICE BUILDING,,,,,2296,,,,,0,,,,,,,,,,,,,,,,,,,,,,346-14052,,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,SHOP BUILDING,BUILDING 257,2ND STREET,BURNS FLAT,WASHITA,2006,SHOP BUILDING,,,,,3000,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,HANGAR,BUILDING 233,2ND STREET,BURNS FLAT,WASHITA,2006,HANGAR,,,,,32670,,,,,0,1955,,,,,,,,,,,,,,,,,,,,,346-14043,,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,BUILDING,BUILDING 836,2ND STREET,BURNS FLAT,WASHITA,2006,,,,,,4000,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,BUILDING,BUILDING 25,BUILDING 25,BURNS FLAT,WASHITA,2006,VACANT,,,,,5000,,,,,0,1960,,,,,,,,,,,,,,,,,,,,,,,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,STORAGE BUILDING,BUILDING 256,2ND STREET,BURNS FLAT,WASHITA,2006,PARKING SPACE,,,,,5484,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
346,SPACE INDUSTRY DEVELOPMENT AUTHORITY,OWNED,OFFICE BUILDING,BUILDING 231 A,2ND STREET,BURNS FLAT,WASHITA,2006,OFFICE BUILDING,,,,,6345,,,,,0,1978,,,,,,,,,,,,,,,,,,,,,,,0
345,TRANSPORTATION DEPARTMENT,OWNED,TOWER,SHARPS MOUNTAIN,OFF NINEPINE RD ON CLAYTON TRAIL,TUSKAHOMA,PUSHMATAHA,2007,COMMUNICATIONS TOWER,1,1N,19E,,80,,,10000,,0,1978,0,,,,0,,,,NONE,,,,,,,,,,,,,264,0
650,VETERANS AFFAIRS,OWNED,CHILDREN'S HOSPITAL,OKLAHOMA VETERANS CENTER- TALIHINA DIVISION-HARPER BUILDING,10014 SE 1138TH AVENUE,TALIHINA,LATIMER,,VACANT,33,4N,21E,,,,,,,0,1930,0,,,,0,,,,,,,,,,,,,,,,650-04762,,0
650,VETERANS AFFAIRS,OWNED,NURSES HOUSING,OKLAHOMA VETERANS CENTER- TALIHINA DIVISION-NUSES HALL,10014 SE 1138TH AVENUE,TALIHINA,LATIMER,,VACANT,33,4N,21E,,,,,,,0,1926,0,,,,0,,,,,,,,,,,,,,,,,,0
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,OFFICE BUILDING,GRIFFIN MEMORIAL HOSPITAL- HOPE HALL,,NORMAN,CLEVELAND,1930,OFFICE SPACE,29,9N,2W,"NE/4 OF SECTION 29, T9N, R2W","100,000",2.68,,,,10,1930,0,,,,10,STORAGE,,,,,,,,,,,,,,,,,
530,OKLAHOMA PANHANDLE STATE UNIVERSITY,OWNED,STORAGE BUILDING,NORTH HALL,314 W EAGLE BLVD,GOODWELL,TEXAS,1923,VACANT/STORAGE,34,2,13,,"55,134",,,"1,600,000",,10,1923,0,,,,10,,,,,,,,,,,,"55,134 (storage)",,,,530-04380,,
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING,JAMES CRABTREE CORRECTIONAL CENTER HOUSING UNIT 7,3RD & MURRAY,HELENA,ALFALFA,1968,HOUSING UNIT,16,24N,10W,,3750,,,"1,250,000",,20,1968,100,,,,100,,,,DAILY,,,,,,,,3720,no,no,no,131-08641,,
420,LANGSTON UNIVERSITY,OWNED,HOUSE,OLD PRESIDENT HOUSE,701 SAMMY DAVIS DRIVE,LANGSTON,LOGAN,1969,RESIDENT,"12,13",17N,1W,,"4,000",,,"800,000",,20,1969,0,,,,0,,,,WEEKLY - STORAGE,,,,,,,,,,,,420-09127,,
131,CORRECTIONS DEPARTMENT,OWNED,OFFENDER HOUSING,OKLAHOMA STATE PENITENTIARY F. CELL,WEST & STONEWALL,MCALESTER,PITTSBURG,,INMATE HOUSING,35,6N,14E,,67200,,,"20,781,685",,25,,100,,8,,100,,,,DAILY,,,,,,,,,,,,131-02655,,
420,LANGSTON UNIVERSITY,OWNED,DAY CARE BUILDING,BREAUX,1239 NE SUCCESS AVE,LANGSTON,LOGAN,1968,DAY CARE,"12,13",17N,1W,,"58,268",,,"3,031,200",,25,1968,25,,5,,100,,,,DAILY,,,,,,,,,,,,420-04147,,
420,LANGSTON UNIVERSITY,OWNED,STORAGE BUILDING,BROWN HALL,1238 NE SUCCESS AVE,LANGSTON,LOGAN,1965,STORAGE,"12,13",17N,1W,,"17,948",,,"11,653,600",,35,1965,0,,,,0,,,,WEEKLY,,,,,,,,,,,,420-04146,,
090,OMES,OWNED,ARMORY AND OFFICE,23RD STREET ARMORY,200 NE 23RD & N WALNUT & NE 21ST,OKLAHOMA CITY,OKLAHOMA,2010,FORMER MILITARY ARMORY,27,12,3N,,72667,4,,"REPLACEMENT VALUE 9,592,044",,37,1939,37,,,,100,,80,DHS,WEEKLY,,,,,,,,14500,,,YES,580-14355,,
308,BUREAU OF INVESTIGATION,OWNED,OFFICE BUILDING,CENTRAL LABORATORY,2132 N.E. 36TH,OKLAHOMA CITY,OKLAHOMA,1972,LABORATORY/OFFICE SPACE,24,12N,3WIM,SECTION 24NW,"19,000",1.816,,"688,000; BUILDING REPLACEMENT VALUE: 5,700,000",,50,1972,50,,,,100,,,,DAILY FOR STORAGE - WEEKLY USED BY STAFF,1.1860,1.1860,,Land building sits on,DAILY,,,,,,,308-03244,,
131,CORRECTIONS DEPARTMENT,OWNED,WAREHOUSE,JOHN LILLEY CORRECTIONAL CENTER CENTRAL SUPPLY,105150 N 3670 ROAD,BOLEY,OKFUSKEE,1930,SUPPLY/WAREHOUSE (PLANS IN PLACE FOR THE OTHER 50%),28,12N,8E,,11964,,,"1,050,000",,50,1930,,,1,,,,,,DAILY,,,,,,,,Approx. 6000,NO,NO,NO,131-02324,,
350,HISTORICAL SOCIETY,OWNED,MUSEUM,STATE CAPITAL PUBLISHING MUSEUM,301 W. HARRISON,GUTHRIE,LOGAN,1975,MUSEUM/HISTORIC SITE,8,16N,2W,,"50,000",,,5634232,,50,1902,20,,0,,,,,,NONE,,,,,,,,50000,YES,NHL,,350-03572,,
,MIDWESTERN OKLAHOMA DEVELOPMENT AUTHORITY,OWNED,OFFICE BUILDING,MODA ADMINISTRATION BUILDING,500 N HOLCOMB,BURNS FLAT,WASHITA,1981,OFFICE SPACE,11,10N,19W,,,2.4,,100000,,50,1981,50,,2,,50,,50,,DAILY,,,,,,,,2000,,,,57-0001,,
650,VETERANS AFFAIRS,OWNED,OLD HOSPITAL,OKLAHOMA VETERANS CENTER- TALIHINA DIVISION,10014 SE 1138TH AVENUE,TALIHINA,LATIMER,1976,STORAGE SPACE,33,4N,21E,,29480,,,,,50,1940,,,,,100,,,,DAILY,,,,,,,,,,,,650-04769,,
,Lead-Impacted Communities Relocation Assistance Trust,OWNED,LAND,,,picher,ottawa,,,,,,,,276.75,,,,,,,,,,,,,,,276.75,,,,,,,,,,,,,
