characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mother only,2010,51.6%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mother only,2011,52.9%,2.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mother only,2012,52.7%,2.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mother only,2013,51.5%,2.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2001,4.1%,0.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2002,4.1%,0.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2003,4.1%,0.9%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2004,5.1%,1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2005,4.8%,0.9%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2006,4.3%,0.9%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,1231,3%,0.8%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2008,2.4%,0.7%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2880,2.8%,0.7%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2010,3.2%,0.8%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2011,2.9%,0.8%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,1663,4.1%,0.9%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2013,4%,0.9%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,1855,4.1%,0.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2872,4.1%,0.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,1765,8.6%,1.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2004,9.3%,1.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2005,10.5%,1.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2006,9.6%,1.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,1442,7%,1.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,1219,8.1%,1.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2009,8.7%,1.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2373,7.2%,1.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2011,8%,1.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2012,7.2%,1.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2013,5.7%,1.1%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,1420,83.2%,3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2002,82.5%,3.1%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2003,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2004,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,1204,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2006,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2007,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2008,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2009,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2010,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2011,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2012,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2013,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2001,12.3%,2.6%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2002,12%,2.6%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2003,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2004,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,1111,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2006,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2007,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2008,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,1615,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2068,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2011,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2012,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2013,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,1281,2.1%,1.2%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2002,2.2%,1.2%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2401,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2004,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,1493,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2006,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2007,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2008,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2588,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2970,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2011,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2012,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Father only,2013,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2001,2.4%,1.2%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2002,3.3%,1.4%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2003,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,1688,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2005,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,1553,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2007,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,1210,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2009,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2010,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2027,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2012,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",No parent,2013,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2001,81.8%,3.1%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2002,81.9%,3.2%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2003,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2662,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,1319,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,1637,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2007,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2008,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2009,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2010,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2446,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2012,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,1751,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2001,13.2%,2.7%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2002,13.5%,2.8%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2003,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2004,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2005,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,1398,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,1005,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2720,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2009,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2010,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2011,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2012,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Mother only,2013,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,1452,1.9%,1.1%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2002,1.8%,1.1%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2003,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2484,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2005,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2006,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2007,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2008,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2009,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2671,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2011,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2012,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",Father only,2013,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2001,3.1%,1.4%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2002,2.7%,1.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2003,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2004,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2005,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2006,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2007,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2008,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2009,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2010,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2093,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2012,4.1%,0.3%
"Asian and Pacific Islander, non-Hispanic",Female,"Asian and Pacific Islander, non-Hispanic",No parent,2013,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2001,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2724,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,1379,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2004,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2005,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2595,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2007,88.2%,2.7%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2008,87.2%,2.8%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2856,84.4%,3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2010,85.4%,2.8%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,1287,86.9%,2.7%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2012,87%,2.6%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two parents,2013,86.6%,2.6%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2001,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2002,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2003,83.9%,3.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2004,83.6%,3.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2005,84.5%,3.1%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2006,84.4%,3.1%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2452,86.3%,2.9%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2008,85.7%,2.9%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,1934,83.5%,3.1%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2164,84.8%,2.9%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2011,85.8%,2.8%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2012,85%,2.8%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Two married parents,2013,84.9%,2.8%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2001,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2002,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2003,9.8%,2.6%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2004,11.9%,2.8%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2005,9.5%,2.5%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2006,8.5%,2.4%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2007,7.9%,2.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2008,8.9%,2.4%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2009,10.7%,2.6%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,1238,10.5%,2.5%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2011,9.3%,2.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,1798,9.1%,2.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Mother only,2843,9%,2.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2001,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2002,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2003,3.4%,1.6%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2004,2.2%,1.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2005,3.2%,1.5%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,1365,3.8%,1.6%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2725,1.5%,1%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2008,1.9%,1.1%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2009,2.4%,1.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2010,1.8%,1.1%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2011,1.1%,0.8%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2012,2.2%,1.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",Father only,2013,2.4%,1.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2001,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2002,4.1%,0.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2003,2.9%,1.5%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2004,2.2%,1.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2005,2.8%,1.4%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2006,3.3%,1.5%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2007,2.4%,1.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2008,2%,1.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2009,2.5%,1.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2092,2.4%,1.2%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2424,2.7%,1.3%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2012,1.6%,1%
"Asian-alone, non-Hispanic",Male,"Asian-alone, non-Hispanic",No parent,2013,2%,1.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,1016,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,1235,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2003,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2004,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2005,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2006,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2007,86.5%,2.9%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2008,83.7%,3.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2266,86.1%,2.9%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2010,85.6%,2.8%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2011,87.5%,2.6%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2012,84.8%,2.8%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two parents,2013,85.5%,2.7%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2001,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2002,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2003,82.9%,3.4%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2004,83.2%,3.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2005,84.4%,3.2%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2006,84%,3.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2007,84.7%,3.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2008,82.6%,3.2%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2009,84.6%,3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2010,83.5%,3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2011,85.5%,2.8%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2012,82.4%,3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Two married parents,2013,84.2%,2.8%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2001,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2002,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2003,11.4%,2.8%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2004,12.3%,2.9%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,1320,10%,2.6%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,1651,10%,2.6%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2007,9.9%,2.5%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2135,11.2%,2.7%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2009,9.5%,2.5%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2010,9.9%,2.4%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2011,9.1%,2.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2012,10.9%,2.5%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2013,10.1%,2.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2001,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2002,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2003,2.4%,1.4%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2728,1.8%,1.2%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2005,3.3%,1.5%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2006,3.3%,1.5%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2007,1.8%,1.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2008,2.3%,1.3%
